A GRENOBLE,	À GRENOBLE,
& je conuois vingt Commis en chef qui u’ont jamais fait ailleurs leuts exercices.	et je convois vingt Commis en chef qui ouv'ont jamais fait ailleurs luts exercices.
COLOMBINE.	COLOMBINE.
Je ſuis ravy Monſieur, de connoiſtre da detdindumcate que diouuuro uaue unc Academie ſi fleuriſſante, appatamment vous ſçavez faire l'exercice du ſlambeau.	Je suis ravi Monsieur, de connaître da détindumcate que diouvro œuauté un Académie si fleurissante, appatamment vous savez faire l'exercice du slambeau.
ARLEQUIN.	ARLEQUIN.
Ouy Iay ta mauuulMtd (chemin faiſant ] une femme de Robbe, une fenime Gardenotte, & la Concierge d’un Abbé.	Oui Iba ta mauuulMtd (chemin faisant ] une femme de Robe, une fenime Gardenotte, et la Concierge d'un Abé.
COLOMBINE.	COLOMBINE.
La Concierge d’un Abbé, voilà un plaiſant employ.	La Concierge d'un Abbé, voilà un plaisant emploi.
ARLEQUIN.	ARLEQUIN.
Elle prenoit ſoin des meubles de Monſieur.	Elle prenait soin des meubles de Monsieur.
broyoit ſon rouge, baſſinoit ſou lit, & le friſoit tous les ſoirs.	broyait son rouge, bassinait sou lit, et le frisait tous les soirs.
COLOMRINEIl n’y a pas grand ouvrage à friſer des ſueveunen dulege commeceur la.	COLOMRINEIl n'y a pas grand ouvrage à friser des sueveunen dulège commeceur la.
VRLEQUIN.	VRLEQUIN.
Oh!	Oh!
malepeſte ne vous y trompez pas, j’aimerois mieux friſer trois teſtes de femeiles cuecucies, que cemmle due seule téte d’Abbé en marons.	malépeste ne vous y trompez pas, j'aimerais mieux friser trois têtes de femeiles cueccies, que camle due seule tête d'Abé en marons.
COLOMBINE.	COLOMBINE.
Il y a quelqueſois plus d’aſſaires auprés de ces Meſſieurs là qu’auprés des femmes.	Il y a quelquesais plus d'assaires auprès de ces Messieurs là qu'auprès des femmes.
ARLEQUIN.	ARLEQUIN.
Oneu uit ia tagc des ſemmies, mais pour moy je ne les trouve pas ſi dévergoudées que les hommes.	Oneu uit ja tagc des semmies, mais pour moi je ne les trouve pas si dévergoudées que les hommes.
COLOMBINE.	COLOMBINE.
Elles ſont pourtant bien expoſées au peril;	Elles sont pourtant bien exposées au péril;
car pour peu qu’une femme ait d’enjoüement, un homme luy donne vivement la chaſſe, elle évite un temps l’écüeil dangereux des preſens, elle reſiſte à la tempeſte, mais à la fin il vient une bouraſque de tiue ibûpirs;	car pour peu qu'une femme ait d'enjouement, un homme lui donne vivement la chasse, elle évite un temps l'écueil dangereux des présents, elle résiste à la tempête, mais à la fin il vient une bourasque de tive ibûpirs;
un amant fait force de voile, il double le cap de bonne eſperance, une femme veut ſe ſauver, elle donne contre un rocher, voilà la barque renverſée, & dans cette extremité-là l’honneur a bien	un amant fait force de voile, il double le cap de bonne espérance, une femme veut se sauver, elle donne contre un rocher, voilà la barque renversée, et dans cette extrémité-là l'honneur a bien
de la peine à ſe ſauver à la nage.	de la peine à se sauver à la nage.
ARLEQUIN.	ARLEQUIN.
L'honneur d’apreſent eſt pourtant bien mince, & bien leger, il devroit aller ſur I’eau comme du liege.	L'honneur d'aprésent est pourtant bien mince, et bien léger, il devrait aller sur J'eau comme du liège.
COLOMBINE.	COLOMBINE.
Et cette femme de Robbe, par exemple, que vous avez eclairée, ton honneur ſçavoitil nager?	Et cette femme de Robe, par exemple, que vous avez eclairée, ton honneur sçavoitil nager?
ARLEQUIN.	ARLEQUIN.
Oh!	Oh!
pour celui-là il faiſoit quelquefois le plongeon;	pour celui-là il faisait quelquefois le plongeon;
Elle n’avoit jamais étudié, & ſi muln quuone datant ao lno[ue lon ſhary, c’étoit elle qui faiſoit l’Extrait de tous les ptocés dont Mouſieur étoit rapporteur.	Elle n'avait jamais étudié, et si muln quuone datant ao lo[ue lon shari, c'était elle qui faisait l'Extrait de tous les ptocès dont Mousieur était rapporteur.
Oode ds Mlicds Eh!	Ode ds Mlicds Eh!
cette femme Gardenotte n’a-t’elle jamais fait de fauſſeté dans ſon miniſtete?	cette femme Gardenotte n'a-t-elle jamais fait de fausseté dans son ministette?
ARLEQUIN.	ARLEQUIN.
Il ne faut jamais dire de mal des gens donſ on a mangé le pain;	Il ne faut jamais dire de mal des gens dons on a mangé le pain;
mais ſi on avoit gardé minutte dans l’Ftude de tout ce qui ſe paſſoit dans la Chambre, il auroit fallu plus de vingt Clercs pour en délivrer des expeditions.	mais si on avait gardé minute dans l'Ftude de tout ce qui se passait dans la Chambre, il aurait fallu plus de vingt Clercs pour en délivrer des expéditions.
COLOMBINE.	COLOMBINE.
C’eſt-à-dire qu’il y avoit quelqu’un daus la maiſon qui ſignoit en ſecond.	C'est-à-dire qu'il y avait quelqu'un daus la maison qui signait en second.
ARLEQUIN.	ARLEQUIN.
.	.
YOuYavcz dit.	YOuYavcés dit.
COLOMBINE.	COLOMBINE.
Pour moy tout ce que je voyois m’échauffoit ſi tort le ſang, que je me ſuis faite Cnnonadde pool ne randiemts la coitſcience.	Pour moi tout ce que je voyais m'échauffait si tort le sang, que je me suis faite Cnnonadde pool ne randiemts la coitscience.
ARLEQUIN.	ARLEQUIN.
C'eſt-à dire que vous avez preſentement la conſcience à la glace, & moy pour le repo, de la mienne j’attrape icy l’aigent du paſſant, c’eſt moy qui fais voir la bonche de la verité, la mort de Lucrece, le Quadran du Loaſaque, le Sertail de l’Empereur du Cap verd, & autres niaiſeries lucratives Huroute datatorlos	C'est-à -dire que vous avez présentement la conscience à la glace, et moi pour le répo, de la mienne j'attrape ici l'aigent du passant, c'est moi qui fais voir la bonche de la vérité, la mort de Lucrece, le Quadran du Loaque, le Sertail de l'Empereur du Cap verd, et autres niaiseries lucratives Huroute datorlos
COLOMBINE.	COLOMBINE.
Quoy Celt toy qui.	Quoi Celt toi qui.
ARLEQUIN.	ARLEQUIN.
C’eſt moy-même.	C'est moi-même.
COLOMBINE.	COLOMBINE.
voilà cinquante Piſtolles qui te vont ſaûter au collet ſi tu veux ayder à de ſabuſer un vieux Docteur, & renvoyer un Provinctal à Pont-l’Evêque.	voilà cinquante Pistoles qui te vont saûter au collet si tu veux aider à de sabuser un vieux Docteur, et renvoyer un Provinctal à Pont-l'Évêque.
ARLE	ARLE
ARLEQUIN.	ARLEQUIN.
Je ne ſuis point intereſſé, mais je n’ay amais rien refuſé pour cinquante Piſtolles.	Je ne suis point intéressé, mais je n'ai amais rien refusé pour cinquante Pistoles.
SCENE II.	SCÈNE II.
ARLEQUIN, LA BOUCHE DE LA VERITE, LE DOCTEUR.	ARLEQUIN, LA BOUCHE DE LA VÉRITÉ, LE DOCTEUR.
ARLEQUIN.	ARLEQUIN.
JOicy le Rendez- vous de tous les Cutieux.	JOici le Rendez- vous de tous les Cutieux.
C’eſt ici qu’on voit tout pourvû qu’on ait des yeux.	C'est ici qu'on voit tout pourvu qu'on ait des yeux.
Ici l’on entend tout quand on a des oreilles, Et de l’argent, s’entend.	Ici l'on entend tout quand on a des oreilles, Et de l'argent, s'entend.
O Bouche ſans pareille!	Ô Bouche sans pareille!
Vous effort de mon art, mitacle de ma main, Vous ne ceſſerez pas d’eſtre mon Gâgnepain, Tant que la Ville En Badaux ſera fertile.	Vous effort de mon art, mitacle de ma main, Vous ne cesserez pas d'être mon Gâgnepain, Tant que la Ville En Badaux sera fertile.
Vous eſtes, il eſt vray, de bois & de carton Vuide de ſens commun, ſans eſprit, ſans raifon;	Vous êtes, il est vrai, de bois et de carton Vuide de sens commun, sans esprit, sans raison;
Cependant vous allez prononcer des Oracles.	Cependant vous allez prononcer des Oracles.
Mais on voit tous les jours de ſemblables miracles;	Mais on voit tous les jours de semblables miracles;
En effet combien voyons-nous De ces teſtes tant conſultées, Decider de nos Deſtinées, Quen ont pas plus d'erprit ce de raiſon que vous.	En effet combien voyons-nous De ces têtes tant consultées, Déider de nos Destinées, Quen ont pas plus d'erprit ce de raison que vous.
LACHANTEUSE, chante.	LACHANTEUSE, chante.
Venez à nous, accourez tous, Rien n’eſt ſi doux Que d’apprendre ſa Deſtinée;	Venez à nous, accourez tous, Rien n'est si doux Que d'apprendre sa Destinée;
Mais dans l’Himenée I’ignorance eſt d’un grand ſecours;	Mais dans l'Hyménée J'ignorance est d'un grand secours;
Epoux ignorez toûjours.	Époux ignorez toujours.
LE DOCTEUR.	LE DOCTEUR.
Monſieur, unn certaine Fille nomméé Colombine, m’a dit que je pourrois avoir chez vous des nouvelles d’une Fille que je cherche, & que j’ay fait affither.	Monsieur, un certaine Fille nommé Colombine, m'a dit que je pourrais avoir chez vous des nouvelles d'une Fille que je cherche, et que j'ai fait affither.
ARLEQUIN.	ARLEQUIN.
Voila noſtre homme.	Voilà votre homme.
Et n vous l’aviez trouvée qu’en feriez-vous?	Et n vous l'aviez trouvée qu'en feriez-vous?
LE DOCTEUR, Ce que j’en ferois, je l’épouſerois.	LE DOCTEUR, Ce que j'en ferais, je l'épouserais.
ARLEQUIN.	ARLEQUIN.
Eh!	Eh!
Monſieur l’Epouſeur, de quelle qua, lité eſtes-vous?	Monsieur l'Épouseur, de quelle qua, lité êtes-vous?
LE DOCTEUR.	LE DOCTEUR.
yy ides Mucetut.	y ides Mucetut.
ARLEQUIN.	ARLEQUIN.
Bens, bent.	Bens, bent.
Ah que voilà une qualité d’une grande reſource pour une femme.	Ah que voilà une qualité d'une grande ressource pour une femme.
Eh, quel âge avez-vous?	Eh, quel âge avez-vous?
LE DOCTEUR.	LE DOCTEUR.
Soixante & dix ans.	Soixante et dix ans.
ARLEQUIN.	ARLEQUIN.
Optime, Ottime:	Optime, Otême:
Voilà un âge bieni:	Voilà un âge bieni:
gliſſant;	glissant;
vous courez riſque de vous y caſſer le col.	vous courez risque de vous y casser le col.
Et la Fille quel age a-t-elle?	Et la Fille quel age a-t-elle?
LE DOCTEUR.	LE DOCTEUR.
Vingt ans	Vingt ans
ARLEQUIN.	ARLEQUIN.
Ah!	Ah!
Que c’eſt bien fait.	Que c'est bien fait.
Quand on n'à plusde deilto cuuojautore prendre de la, viande trop tendre.	Quand on n'à plusde deilto cuojautore prendre de la, viande trop tendre.
Vous voulez ſans doute ſçavoir ſi elle vous enrôllera dans le grand;	Vous voulez sans doute sçavoir si elle vous enrôllera dans le grand;
Catalogue ou Vulcain eſt à la teſte.	Catalogue ou Vulcain est à la tête.
LE DOCTEUR.	LE DOCTEUR.
Juſtement.	Justement.
ARLEQUIN.	ARLEQUIN.
Je m’en vais vous eſſayer le Bonnet de la verité, Il luy met le Bonnet de la verité, qui prend ſur ſa teſte la figure a nn aroiante	Je m'en vais vous essayer le Bonnet de la vérité, Il tu met le Bonnet de la vérité, qui prend sur sa tête la figure a nn artoyante
LA BOUCHE DE LA VERITE, chante.	LA BOUCHE DE LA VÉRITÉ, chante.
Conſoles-toy d’avoir ſur ton Turban, Le Croiſſant qu’on revece en l’Empire Ottoman;	Consoles-toi d'avoir sur ton Turban, Le Croissant qu'on revece en l'Empire Ottoman;
On le porte par tout le monde;	On le porte par tout le monde;
Et j’en vois, Qui malgté leur Perruque blonde, Ne ſont pas mieux coëffez que toy.	Et j'en vois, Qui malgté leur Perruque blonde, Ne sont pas mieux coiffez que toi.
SCENE III.	SCÈNE III.
COLOMBINE, eu petite fille.	COLOMBINE, eu petite fille.
ARLEQUIN, LA BOUCHE DE LA VERITE'	ARLEQUIN, LA BOUCHE DE LA VÉRITÉ
COLOMBINE.	COLOMBINE.
L y a long-temps, Monſieur, que la I curioſité m'auroit amenée ici, ſi la crainte ne m’avoit retenuë.	L y a longtemps, Monsieur, que la I Juriosité m'aurait amenée ici, si la crainte ne m'avait retenue.
eRdol randos La curioſité meneroit les Filles hien loin, ſi la crainte ne les retenoit, Mais c’eſt une Bride qui n’eſt pas toûjours la plus forte.	éRdol randos La curiosité mènerait les Filles hien loin, si la crainte ne les retenait, Mais c'est une Bride qui n'est pas toujours la plus forte.
COLOM	COLOM
COLOMBINE.	COLOMBINE.
Je ne crois pas qu’au monde il y ait une Fille plus craintive que moy, je n’o erois demeuret ſeule;	Je ne crois pas qu'au monde il y ait une Fille plus craintive que moi, je n'ô erais demeuret seule;
& la nuit j’ay ſi peur des Eſprits, qu’il faut que j’aille coucher avec ma Mere pour me raſſeurer.	et la nuit j'ai si peur des Esprits, qu'il faut que j'aille coucher avec ma Mère pour me rassurer.
ARLEQUIN.	ARLEQUIN.
Si vous aviez la connoiſſance de certains Eſprits palpables, ce ne ſeroit pas voſtre Mere que vous chercheriez le plus:	Si vous aviez la connaissance de certains Esprits palpables, ce ne serait pas votre Mère que vous chercheriez le plus:
Je gage que vous venez ſçavoir ſi voſtre beaucé durera long temps.	Je gage que vous venez savoir si votre beaucé durera long temps.
COLOMBINE.	COLOMBINE.
Mais, Monſieur, je crois qu’elle durera autant que ma jeuneſle.	Mais, Monsieur, je crois qu'elle durera autant que ma jeunes.
ARLEQUIN.	ARLEQUIN.
Ete lcumuer a surcuta hay poulſent la jeuneſſe bien loin;	Éte lumuer a surcuta ha houlsent la jeunesse bien loin;
& j’en counois qui ſuivant leur calcul ſont encore plus jeunes que leurs Fllles.	et j'en counais qui suivant leur calcul sont encore plus jeunes que leurs Fllles.
de lla d alsd.	de lla dig alsd.
Cela eſt vray.	Cela est vrai.
C’eſt pour cela que je renonceray à la jeuneſſe dés que j’auray vingt ans.	C'est pour cela que je renoncerai à la jeunesse dès que j'aurai vingt ans.
ARLEQUIN.	ARLEQUIN.
Vous compterez de bonne foy juſques à dix-huit, mais vous ſerez terriblemeut dols demns tut la Slaanemes	Vous compterez de bonne foi jusques à dix-huit, mais vous serez terriblemeut dols demns tut la Slaanères
COLOMBINE.	COLOMBINE.
J’ay une vieille tante, qui veut abſolument paſſer pour ma ſœui, elle dit que la glace de ſon niroir eſt ridée, & qu’on n’eu fait plus de ſi belle qu’au temps paſſé.	J'ai une vieille tante, qui veut absolument passer pour ma sœui, elle dit que la glace de son niroir est ridée, et qu'on n'eu fait plus de si belle qu'au temps passé.
ARLEQUIN.	ARLEQUIN.
Allez, dites-luy que je fais travailler à anoinahatacture ue Glaces pour les vieilles:	Allez, dites-lui que je fais travailler à anoinahatacture ouvre Glaces pour les vieilles:
vous voulez ſçavoir apparamment ſi vous aurez des amans:	vous voulez Savoir apparamment si vous aurez des amants:
COLOMBINE.	COLOMBINE.
Des amans, & qu’eſt-ce que des amans?	Des amants, et qu'est-ce que des amants?
ARBEGUIN.	ARBEGUIN.
Vous ne ſçavez pas ce que c’eſt qu’un tomienes vous	Vous ne savez pas ce que c'est qu'un tomienes vous
COLOMBINE.	COLOMBINE.
Non vraiment.	Non vraiment.
ARLEQUIN.	ARLEQUIN.
Vous eſtes pourtant de taille à le ſçavoir:	Vous êtes pourtant de taille à le savoir:
Un amant eſt un eſpece d’animal qui s’inſinuë auprés d'une fille en chien couchant, qui la mord en mâtin, & s’eufuit en lêvrier.	Un amant est un espèce d'animal qui s'insinue auprès d'une fille en chien couchant, qui la mord en mâtin, et s'eufuit en lêvrier.
COLOMBINE.	COLOMBINE.
Oh!	Oh!
vraiment ſi c’eſt là ce que vous appenlel des amans j'en ay Deaucoup.	vraiment si c'est là ce que vous appenle des amants j'en ai Deaucoup.
ARLEQUIN.	ARLEQUIN.
Je leſçavois bieu mey ;	Je lesçavois bieu me ;
rous urez eſté morduë peut-eſtre.	rous urez été mordue peut-être.
COLOMBINE.	COLOMBINE.
J’ay entr’autres un grand Couſin qui me baiſe toújours les mains dés qu’il les peut attraper, & qui dit qu’il ſe tuëra ſi je ne l’aime.	J'ai entr'autres un grand Cousin qui me baise toujours les mains dès qu'il les peut attraper, et qui dit qu'il se tuera si je ne l'aime.
ARLEQUIN.	ARLEQUIN.
Voilà le chien couchant.	Voilà le chien couchant.
COLOMBINE.	COLOMBINE.
je connoſs aufff un jeune Monſieur qui va à l'armée, & qui me donne toûjours quelque uuols avant de palal.	je connais auff un jeune Monsieur qui va à l'armée, et qui me donne toujours quelque ols avant de palalal.
ARLEQUIN.	ARLEQUIN.
Oh!	Oh!
pour celui là c’eſt le levrier.	pour celui là c'est le lévrier.
COLOMBINE.	COLOMBINE.
C’eſt luy qui m’a donné les Cornettes & les engageantes que vous me voyez.	C'est assez qui m'a donné les Cornettes et les engageantes que vous me voyez.
ARLEQUIN.	ARLEQUIN.
Des cornettes & des engageantes!	Des cornettes et des engageantes!
quand une fille eſt priſe par la teſte & par les bras - i elle ne peut plus deffendre le reſte:	quand une fille est prise par la tête et par les bras - i elle ne peut plus défendre le reste:
mais an que,toulenvens done;	mais an que,toulenvents done;
COLOMBINE.	COLOMBINE.
Je voudrois bien;	Je voudrais bien;
mais n’y a-t-il petſonne qui nous écoute?	mais n'y a-t-il petsonne qui nous écoute?
ARLEQUIN.	ARLEQUIN.
Vous pouvez parler librement, les gens qui ſont icy n’y viennent que pour entendre.	Vous pouvez parler librement, les gens qui sont ici n'y viennent que pour entendre.
COLOMBINE.	COLOMBINE.
Je.	Je.
Je.	Je.
, mais Monſieur je n’oſero.	, mais Monsieur je n'osero.
s vous le dire.	s vous le dire.
ARLEGUIN.	ARLEGUIN.
Oh!	Oh!
parlez donc, ou vous en allez.	parlez donc, ou vous en allez.
a ſe ſa ny Me.	à se sa belle Me.
Je voudrois bien ſçavoir ſi je ſeray mariée cette année.	Je voudrais bien sçavoir si je serai mariée cette année.
ARLEQUIN.	ARLEQUIN.
Pour pouvoir vous dire cela, il faudroit auparavant ſçavoir ſi vous eſtes fille.	Pour pouvoir vous dire cela, il faudrait auparavant savoir si vous êtes fille.
COLOMBINE.	COLOMBINE.
Si je ſuis fille.	Si je suis fille.
ARLEQUIN.	ARLEQUIN.
Oüy, fille, fille, bien des gens uſurpent ce nom là, de tous les tîties c’eſt le plus aiſé à falſifier, & telle porte une lozange en écuſſon qui entoureroit ſes armes de bien des cordons de veuve.	Oui, fille, fille, bien des gens usurpent ce nom -là, de tous les tîties c'est le plus aisé à falsifier, et telle porte une lozange en écusson qui entourerait ses armes de bien des cordons de veuve.
Ecoutez, Il faut mettre voſtie main dans la Bouche de la Verité, ſi vous eſtes Fille elle ne vous ſera point de mal;	Écoutez, Il faut mettre vostie main dans la Bouche de la Vérité, si vous êtes Fille elle ne vous sera point de mal;
mais ſi vous n’eſtiez que demie Fille, elle vous mordera ſi ſerré, qu’elle ne vous tâchera peut-être de dix ans.	mais si vous n'étiez que demie Fille, elle vous mordera si serré, qu'elle ne vous tâchera peut-être de dix ans.
COLOMBINE.	COLOMBINE.
Mais.	Mais.
Mais, Monſieut, qu’eſt-ce done qu’une demie Fille?	Mais, Monsieur, qu'est-ce done qu'une demie Fille?
ARLEQUIN, d’un air embarraſſé.	ARLEQUIN, d'un air embarrassé.
nento toit de riuterogation.	nento toit de riuterogation.
Une demye Fille c’eſt.	Une demie Fille c'est.
comme.	comme.
Par exemple.	Par exemple.
N'avez-vous jamais veu des Caſtors?	N'avez-vous jamais vu des Castors?
COLOMBINE.	COLOMBINE.
Oh qu’oüy!	Oh qu'oui!
ARLEQUIN.	ARLEQUIN.
Il y a des demy-Caſtors auſſi.	Il y a des demi-Castors aussi.
il y a du mélange.	il y a du mêlange.
tout le monde vous dira cela.	tout le monde vous dira cela.
calvens ) asyees	calvends ) asyees
COLOMBINE.	COLOMBINE.
oüy-dà.	oui-dà.
je ne crains tien, & j’y metrray ma main juſqu’au coude.	je ne crains tien, et j'y métrai ma main jusqu'au coude.
Source gallica.	Source galica.
bnffr.	bnffr.
LA BOUCHE DE LA VERITE', chante.	LA BOUCHE DE LA VÉRITÉ, chante.
Prends garde à mes dents C ii Crains ma colere;	Prends garde à mes dents Ç Crains ma colère;
’ay mordu ta mere A quinze ans.	Ç'ai mordu ta Mère A quinze ans.
Prends garde à mes dens, Car en ce temps Out rille n’eſt guére Plu, Fille que ſa Mere.	Prends garde à mes dents, Car en ce temps Out rille n'est guère Plu, Fille que sa Mère.
COLOMBINE.	COLOMBINE.
Mtais, Miomeur.	Mtais, Miomeur.
Mlla boncne eitoit une gourmande qui m’allât moidre ſans ſujet?	Mlla boncne éitait une gourmande qui m'allât moidre sans sujet?
ARLEQUIN.	ARLEQUIN.
C'eſt une Bouche fort ſobre, qui ne mord que fort à propos.	C'est une Bouche fort sobre, qui ne mord que fort à propos.
Il luy preud la main pour la mettre dans la Bouche de la Verité, qui e &uunas pear eu ileraree Il y a là du demy-Caſtor, & voſtr' main n’eſt pas ſi Fille que vous.	Il avait prud la main pour la mettre dans la Bouche de la Vérité, qui e etuunas péar eu ilérarée Il y a là du demi-Castor, et vostr' main n'est pas si Fille que vous.
COLOMBINE.	COLOMBINE.
Monſieur!	Monsieur!
je ſuis tres-humble ſervante à la Bouche de la Verité, mais j’ay trop peur de ſes vilaines dents.	je suis très-humble servante à la Bouche de la Vérité, mais j'ai trop peur de ses vilaines dents.
ACTE SECOND SCENE PREMIERE.	ACTE SECOND SCÈNE PREMIÈRE.
ARLEQUIN, en Femme dans une Vinaigrette.	ARLEQUIN, en Femme dans une Vinaigrette.
MEZETTIN, en Femme dant une autre Vimogrent.	MEZETIN, en Femme dant une autre Vimogrent.
LES DEOA IIOMMES qui les conduiſent.	LES DEA IIOMMES qui les conduisent.
Les Hommes ſe choquent & conteſt ent à qui reculera.	Les Hommes se choquent et contest ent à qui reculera.
PREMIER HOMME.	PREMIER HOMME.
Ecules, Vivant.	Écule, Vivant.
IT SECOND HOMME.	IT SECOND HOMME.
Recules toy-même.	Recules toi-même.
PREMIER HOMME.	PREMIER HOMME.
Holà, l’amy, hors du Paſſage,	Holà, l'ami, hors du Passage,
SECOND HOMME.	SECOND HOMME.
Hors du Paſſage toy-même.	Hors du Passage toi-même.
MEZETTIN.	MEZETIN.
Qu’eſt ce donc, Cocher, eſt-ce que vos Cheveaux tont foutous ?	Qu'est ce donc, Cocher, est-ce que vos Cheveaux tont fout ?
ARLEQUIN.	ARLEQUIN.
Foüettes-douc, Maraut, foüettes-donc, as tu oublié mes allûres?	Foutes-douc, Maraut, fouettes-donc, as tu oublié mes allûres?
PREMIER HOMMEMadame, ily a la un Caſroile qui empêche de paſſer.	PREMIER HOMMEMadame, ili a la un Casroile qui empêche de passer.
ARLEQUIN.	ARLEQUIN.
Un Cartoſſe!	Un Cartosse!
Eh marches luy ſur le ventre.	Eh marches beau sur le ventre.
Mouni venyepvunetere.	Mouni venyepvunetere.
Quelle eſt donc l’Impertinente qui arrête mon Equipage dans ſa courſe.	Quelle est donc l'Impertinente qui arrête mon Équipage dans sa course.
ARLEQUIN, la teſte a la Portere.	ARLEQUIN, la tête a la Portere.
C’eſt moy, Madame, & je vous troure bien ridicule de barrer avec voſtre Fiacre, les Aaancagdoloptas.	C'est moi, Madame, et je vous troure bien ridicule de barrer avec votre Fiacre, les Aaancagédoloptas.
MEZETTIN.	MEZETIN.
Sçavez-vous bien qui je ſuis, ma petite Amie?	Savez-vous bien qui je suis, ma petite Amie?
ARLEQUIN.	ARLEQUIN.
Me counoiſſez, vous bien, ma petite Mignonne?	Me counaissez, vous bien, ma petite Mignonne?
MEZETTIN.	MEZETIN.
Aprenez ſi vous ne le ſçavez que je ſuis la premiere couſine du premier Clerc d’un Huiſſier à verge au Chaſtelet de Paris.	Apprenez si vous ne le savez que je suis la première cousine du premier Clerc d'un Huissier à verge au Châtelet de Paris.
ARLEQUIN.	ARLEQUIN.
Et moy je ſuis la femme du Marguillier de la Villette.	Et moi je suis la femme du Marguillier de la Villette.
MEZETTIN.	MEZETIN.
Reculez-donc.	Reculez-donc.
ARLEQUIN.	ARLEQUIN.
Oh!	Oh!
reculez-vous même, on n’a jamais recnlé dans ma famille.	reculez-vous même, on n'a jamais recnlé dans ma famille.
MEZETTIN.	MEZETIN.
Oh bien Madame, je vous declare que je ne ſuis point preſſée, & que je reſte icy La fuen a ſolencodenaues	Oh bien Madame, je vous déclare que je ne suis point pressée, et que je reste ici La sven a solencodenavez
ARLEQUIN.	ARLEQUIN.
Et moy juſques à lune levante.	Et moi jusques à lune levante.
MEZETTIN.	MEZETIN.
Je n’ay rien à faire, pourveu que j’arrive aux Tuilleries entre chien & loup.	Je n'ai rien à faire, pourvu que j'arrive aux Tuilleries entre chien et loup.
ARLEQUIN.	ARLEQUIN.
Et moy pourveu que je ſois demain au lever de Monſieur le Marquis de la Virgouleuſe.	Et moi pourvu que je sois demain au ver de Monsieur le Marquis de la Virgouleuse.
MEZETTIN.	MEZETIN.
Puis qu’on arrête ainſi ma Caleche je veux me réjoüir à rouër de coups ce maraut-là.	Puis qu'on arrête ainsi ma Calèche je veux me réjouir à rouer de coups ce maraut-là.
Il bat l’homme qui meine la vinaigretl8 a Afitomn.	Il bat l'homme qui mène la vinaigretl8 a Afitomn.
ARLEQUIN.	ARLEQUIN.
