PERSONNAGES de la Comedie.	PERSONNAGES de la Comédie.
Point d’Etats qu’à l’inſtant je ne puſſe inonder Des flots impetueux que mon pouvoir commande.	Point d'Etats qu'à l'instant je ne pusse inonder Des flots impétueux que mon pouvoir commande.
Rien n’en peut arreſter le fier debordement, Et d’une triple digue à leur ſorce oppoſeé On les verrait forcer le ferme empeſchement Et ſe faire en tous lieux une ouverture aiſeé.	Rien n'en peut arrêter le fier débordement, Et d'une triple digue à leur sorce oppose On les verrait forcer le ferme empêchement Et se faire en tous lieux une ouverture aise.
Mais je ſçay retenir la ſureur de ces flots Par la ſage équite du pouvoir que j’exerce, Et laiſſer en tous lieux au gré des Matelots La douce liberté d’un paiſible commerce.	Mais je sais retenir la fureur de ces flots Par la sage équite du pouvoir que j'exerce, Et laisser en tous lieux au gré des Matelots La douce liberté d'un paisible commerce.
On trouve des Ecueils par fois dans mes Etats, On void quelques Vaiſſeaux y perir pur l'orage :	On trouve des Écueils par fois dans mes États, On voit quelques Vaisseaux y périr pur l'orage :
Mais Mais contre ma puiſſance on n’en murmure pas, Et chez moy la l’ertu ne fait jamais naufrage.	Mais Mais contre ma puissance on n'en murmure pas, Et chez moi la l'ertu ne fait jamais naufrage.
Dieu Marin.	Dieu Marin.
’Empire où nous vivons, eſt fertile en treſors, Tous les mortels en foule accourent ſur ſes bords, Et pour faire bien-toſt une haute fortune, Il ne faut rien qu’avoir la faveur de Neptune.	Empiretôt une haute, est fertile en très, Tous les mortels en foule accourent sur ses bords, Et pour faire bientôt une haute fortune, Il ne faut rien qu'avoir la faveur de Neptune.
Pour le Marquis de Villeroy, repreſentant	Pour le Marquis de Villeroy, représentant
un Dieu Marin.	un Dieu Marin.
Vr la foy de ce Dieu de l’Empire flottant on peut vien sempurquer avet toute aſſurance;	Vr la foi de ce Dieu de l'Empire flottant on peut vien sempurquer au toute assurance;
Les flots ont de l’inconſtance;	Les flots ont de l'inconstance;
Mais le Neptune eſt conſiant.	Mais le Neptune est consiant.
Pour le Marquis de Raſſent, repreſentant	Pour le Marquis de Rassent, représentant
un Dieu Marin.	un Dieu Marin.
UOguez ſur cette Mer d’un zele inébranlable, C’eſt le moyen d’avoir Neptune favorable.	OUOguez sur cette Mer d'un zèle inébranlable, C'est le moyen d'avoir Neptune favorable.
LES	LES
LES AMANS MAGNIFIQUES, GOMEDIE.	LES AMANS MAGNIFIQUES, GOMEDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SOSTRATE, CLITIDAS.	SOSTRATE, CLITIDAS.
CLITIDAS.	CLITIDAS.
Il raiſonne tout ſeul.	Il raisonne tout seul.
Helas!	Hélas!
OSTEATE.	OSTEATE.
LITIDAS.	LITIDAS.
Voilà des ſoûpirs qui veulent dire quelque choſe, & ma conjectnre ſe trouvera veritable.	Voilà des soupirs qui veulent dire quelque chose, et ma conjétnre se trouvera véritable.
OSTRATE.	OSTRATE.
Sur quelles chimeres, dy-moy,' pourrois tu bâtir quelque eſpoir, & que peux-tu enviſager que l’affreuſe longueur d’une vie mal-heureuſe, & des ennuis à ne finir que par la mort.	Sur quelles chimères, dis-moi, pourrais -tu bâtir quelque espoir, et que peux-tu envisager que l'affreuse longueur d'une vie malheureuse, et des ennuis à ne finir que par la mort.
LITIDAS.	LITIDAS.
Cette teſte-là eſt plus embaraſſée que la mienne.	Cette tête-là est plus embarrassée que la mienne.
STRATE.	STRATE.
An ?	An ?
inon cœur, an?	inon cœur, an?
mon cœur, où m’avez-vous jetté?	mon cœur, où m'avez-vous jeté?
LITIDAS.	LITIDAS.
Serviteus, segneur cortrate.	Serviteus, segneur cortrate.
STRATE.	STRATE.
Où vas tu, Clitidas?	Où vas -tu, Clitidas?
LITIDAS.	LITIDAS.
Mais vous plûtôt que faites-vous icy, & quelse ſecrete mélancholie, quelle humeur ſombre, ’il vous plaiſt-vous peut retenir dans ces Bois, tandis que tout le monde a couru en foule à la magnificence de la Feſte, dont l’amour du Prince Iphicrate vient de regaler ſur la Mer la promenade des Princeſſes;	Mais vous plutôt que faites-vous ici, et quelse secrète mélancolie, quelle humeur sombre, 'il vous plaît-vous peut retenir dans ces Bois, tandis que tout le monde a couru en foule à la magnificence de la Fête, dont l'amour du Prince Iphicrate vient de régaler sur la Mer la promenade des Princesses;
tandis qu’elles y ont reçu des Cadeaux merveilleux de Muſique, & de dance, & qu’on a vû les Rochers & les Ondes ſe parer de Divinitez pour faire honneur à leurs attraits?	tandis qu'elles y ont reçu des Cadeaux merveilleux de Musique, et de dance, et qu'on a vu les Rochers et les Ondes se parer de Divinités pour faire honneur à leurs attraits?
OSTRATE.	OSTRATE.
je me ngure anez lans la von certe magnificence, & tant de gens d’ordinaire s’empreſſent à porter de la confuſion dans ces ſortes de Feſtes, que j’ay crû a propos de ne pas augmenter le nombre des importuns.	je me négure anez lans la von certe magnificence, et tant de gens d'ordinaire s'empressent à porter de la confusion dans ces sortes de Fêtes, que j'ai cru a propos de ne pas augmenter le nombre des importuns.
CLITIDAS.	CLITIDAS.
Vous ſçavez que vôtre preſence ne gaſte jamais rien, & que vous n’eſtes point de trop en quelque lieu que vous ſoyez Votre viſage eſt bien venu par tout, & il n’a garde d’être de ces viſages diſgraciés, qui ne ſont jamais bien receus des des regards Souverains.	Vous savez que votre présence ne gâte jamais rien, et que vous n'êtes point de trop en quelque lieu que vous soyez Votre visage est bien venu par tout, et il n'a garde d'être de ces visages disgrâces, qui ne sont jamais bien reçus des des regards Souverains.
Vous eſtes également bieu auprés des deux Princeſſes;	Vous êtes également bieu auprès des deux Princesses;
& la Mere, & la Fille vous font aſſez connoiſtre l’eſtime qu’elles font de vous pour n’apprehender pas de fatiguer leurs yeux;	et la Mère, et la Fille vous font assez connaître l'estime qu'elles font de vous pour n'appréhender pas de fatiguer leurs yeux;
& ce men pas cotte eramto, enfin, qui vous a retenu.	et ce men pas cotte eramo, enfin, qui vous a retenu.
TRATE.	TRATE.
j’avoue que je nay pas haturenement grande curioſité pour ces ſortes de choſes.	j'avoue que je nay pas haturenement grande curiosité pour ces sortes de choses.
TIDAS.	TIDAS.
Mon Dieu!	Mon Dieu!
quand on n’auroit nulle curioſité pour les choſes, on en a toûjours, pour aller où l’on trouve tout le monde, & quoy que vous puiſſiez dire, on ne demeure point tout ſeul penuant uue rene à rever pafmy des Arbres comme vous faites, à moins d’avoir en teſte quelque choſe qui embaraſſe.	quand on n'aurait nulle curiosité pour les choses, on en a toujours, pour aller où l'on trouve tout le monde, et quoi que vous puissiez dire, on ne demeure point tout seul penvant uve rene à rêver pafmi des Arbres comme vous faites, à moins d'avoir en tête quelque chose qui embarrasse.
STRATE.	STRATE.
Que voudrois tu que j’y puſſe avoir?	Que voudrais tu que j'y pusse avoir?
DAS.	DAS.
Oüais, je ne ſçay d’où cela vient, mais il fent icy l’amour;	Ouais, je ne sais d'où cela vient, mais il sent ici l'amour;
ce n’eſt pas moy.	ce n'est pas moi.
Ah.	Ah.
par ma foy c’eſt vous.	par ma foi c'est vous.
TRATE.	TRATE.
Que tu es fou, Clitidas.	Que tu es fou, Clitidas.
1111Mb AJa Je ne ſuis point fou, vous eſtes amoureux, j’ay, le nez délicat, & j’ay ſenty cela d’abord.	1111Mb AJea Je ne suis point fou, vous êtes amoureux, j'ai, le nez délicat, et j'ai senti cela d'abord.
TRATE.	TRATE.
Sur quoy prens tu cette penſée.	Sur quoi prends tu cette pensée.
DAS.	DAS.
Surquoy?	Surquoy?
vous ſeriez bien étonné ſ je vous diſois encore de qui vous eſtes amoureux.	vous seriez bien étonné s je vous disais encore de qui vous êtes amoureux.
Moy?	Moi?
SOSTRATE.	SOSTRATE.
CLITIDAS.	CLITIDAS.
Oüy, je gage que je vais deviner tout à l'heure celle que vous aymez.	Oui, je gage que je vais deviner tout à l'heure celle que vous aimez.
J’ay mes ſecrets auſſi E 5 bien bien que nôtre Aſtrologue, dont la Princeſſe Ariſtione eſt enteſtée;	J'ai mes secrets aussi E 5 bien bien que notre Astrologue, dont la Princesse Aristione est entestée;
& s’il a la ſcience de lire dans les Aſtres la fortune des hommes, j'ay celle de liré dans les yeux le nom des perſonnes qu’on ayme.	et s'il a la science de lire dans les Astres la fortune des hommes, j'ai celle de liré dans les yeux le nom des personnes qu'on aime.
Tenez-vous un peu, & ouvrez les yeux.	Tenez-vous un peu, et ouvrez les yeux.
E, par ſoy, e, r, i, eri, p, h, i, eripii, i, e, le, eipmne.	E, par soi, é, r, y, eri, p, h, y' eripii, y' e, st, eipmne.
vous encs ainoureux de la Princeſſe Eriphile.	vous encs ainoureux de la Princesse Ériphile.
OSTRATE.	OSTRATE.
mir entidas,javoue que je ne puis chacher mon trouble, & tû me frapes d’un coup de foudre.	mir entidas,javoue que je ne puis chacher mon trouble, et tu me frappes d'un coup de foudre.
LITIDAS.	LITIDAS.
Vous voyez ſi je ſuis ſçavant?	Vous voyez si je suis sçavant?
STRATE.	STRATE.
Helas!	Hélas!
ſi par quelque avanture tu as pû decouvrir Ie ſecret de mon cœur, je te conjure au moins de ne Ie reveler à qui que ce ſoit, & ſur tout de le tenir caché à la belle Princeſſe, dont tu viens de dire le nom.	si par quelque aventure tu as pu découvrir Je secret de mon cœur, je te conjure au moins de ne Je reveler à qui que ce soit, et sur tout de le tenir caché à la belle Princesse, dont tu viens de dire le nom.
CLITIDAS.	CLITIDAS.
Et ſerieuſement parlant, ſi dans vos actions j’ay bien pû connoiſtre depuis un temps la paſſion que vous voulez tenir ſecrete, penſez-vous que la Princeſſe Eriphile puiſſe avoir manqué de lumiere pour s’en appercevoir?	Et sérieusement parlant, si dans vos actions j'ai bien pu connaître depuis un temps la passion que vous voulez tenir secrète, pensez-vous que la Princesse Eriphile puisse avoir manqué de lumière pour s'en apercevoir?
Les belles, croyez-moy, ſont toûjours les plus clair voyantes à decouvrir les ardeurs qu’elles cauſent, & le langage des yeux & ſoûpirs ſe fait entendre mieux qu’à tout autre à celles à qui il s’adreſſe.	Les belles, croyez-moi, sont toujours les plus clair voyantes à découvrir les ardeurs qu'elles causent, et le langage des yeux et soupirs se fait entendre mieux qu'à tout autre à celles à qui il s'adresse.
SAGATE.	SAGATE.
Laiſſons-la, Clitidas, laiſſons la voir ſi elle peut dans mes ſoûpirs & mes regards l’amour que ſes charmes m’inſpirent, mais gardons bien que par nulle autre voye elle en apprenne jamais rien.	Laissons-la, Clitidas, laissons la voir si elle peut dans mes soupirs et mes regards l'amour que ses charmes m'inspirent, mais gardons bien que par nulle autre voie elle en apprenne jamais rien.
CLITIDAS.	CLITIDAS.
Et qu’apprehendez-vous?	Et qu'appréhendez-vous?
eſt il poſſible que ce meſme Soſtrate qui n’a pas craint, ny Brennus, ny tous les Gaulois;	est il possible que ce même Sostrate qui n'a pas craint, ni Brennus, Seigneur tous les Gaulais;
d uont le blas à n glorieuſement contribué à nous défaire de ce déluge de Barbares qui ravageoit la Grece?	 uont le blas à n glorieusement contribué à nous défaire de ce déluge de Barbares qui ravageait la Grèce?
Eſt-il poſſible dis-je, qu’un homine ſi aſſuré dans la guerre ſoit ſi timide en amour, & que je le voye trembler à dire ſeulement qu’il ayme?	Est-il possible dis-je, qu'un homine si assuré dans la guerre soit si timide en amour, et que je le voie trembler à dire seulement qu'il aime?
OSTRATE.	OSTRATE.
Ah!	Ah!
Clitidas, je tremble avec raiſon, & tous les Gaulois du monde enſemble ſont bien moms feuoutables, que deux beaux yeux pleins de charmes.	Clitidas, je tremble avec raison, et tous les Gaulois du monde ensemble sont bien étés feuoutables, que deux beaux yeux pleins de charmes.
CLITIDAS.	CLITIDAS.
Je ne ſuis pas de cet avis, & je ſçay bien pour moy qu’un ſeul Gaulois l’épée à la main, me feroit beauvouy prus tremoler que cinquante beaux yeux enſemble les plus charmans du monde Mais dites-moy un peu qu’eſperez vous faire?	Je ne suis pas de cet avis, et je sais bien pour moi qu'un seul Gaulais l'épée à la main, me ferait beauvoui prus tremoler que cinquante beaux yeux ensemble les plus charmands du monde Mais dites-moi un peu qu'espérez -vous faire?
SOSTRATE.	SOSTRATE.
Mourir ſans déclarer ma paſſion.	Mourir sans déclarer ma passion.
LITIDAS.	LITIDAS.
L’eſperance eſt belle.	L'espérance est belle.
Allez, allez, vous vous liloequen, ui peurde naidienc leuiſt toûjours aux Amans;	Allez, allez, vous vous liloèquen, ui peurde naidienc leut toujours aux Amants;
il n’y a en amour que les honteux qui perdent, & je dirois ma paſſion à une Déeſſe, moy, ſi j’en devenois amoureux.	il n'y a en amour que les honteux qui perdent, et je dirais ma passion à une Déesse, moi, si j'en ais amoureux.
SSTRATE.	STRATE.
Trop de choſes, helas!	Trop de choses, hélas!
condamnent mes feux à un eternel ſilence?	condamnent mes feux à un éternel silence?
CLITIDAS.	CLITIDAS.
Hé, quoy?	Hé, quoi?
STRATE, I a baſſeſſe de mafortune, dont il plaiſt au Ciel de rabatre l’ambition de mon amour, le rang de la Princeſſe qui met entre elle & mes deſirs une diſtance ſi facheuſe, la concurrence de deux Princes appuyez de tous les grands titres qui peuvent E 6 ſoûſoûtenir les pretentions de leurs flâmes;	STRATE, I a bassesse de mafortune, dont il plaît au Ciel de rabattre l'ambition de mon amour, le rang de la Princesse qui met entre elle et mes désirs une distance si fâcheuse, la concurrence de deux Princes appuyez de tous les grands titres qui peuvent E 6 soutenir les prétentions de leurs flammes;
de deux Princes, qui par mille & mille magnificences ſe diſputent à tous momens la gloire de ſa conqueſte, & ſur l’amour de qui on attend tous les jours de voir ſon choix ſe declarer;	de deux Princes, qui par mille et mille magnificences se disputent à tous moments la gloire de sa conquête, et sur l'amour de qui on attend tous les jours de voir son choix se déclarer;
mais plus que tout, cli11 Ioipconiiiiolaore ou res beatta yeux aſſujettiſſent toute la violence de mon ardeur.	mais plus que tout, cli11 Ioipconiiiiolaore ou rés béata yeux assujettissent toute la violence de mon ardeur.
TIDAS.	TIDAS.
Le reſpect bien ſouvent n’oblige pas tant que l’amiour, & je me trompe fort, ou la jeune Princeſſe a connu voſtre flâme, & n’y eſt pas inſenſible.	Le respect bien souvent n'oblige pas tant que l'amiour, et je me trompe fort, ou la jeune Princesse a connu votre flamme, et n'y est pas insensible.
TRATEI Ah!	TRATEI Ah!
ne t'aviſes point de vouloir flater par pitié le cœur d’un lmiſerable.	ne t'avises point de vouloir flatter par pitié le cœur d'un lisérable.
IDAS.	IDAS.
Ma conjecture eſt fondée, je luy voy reculer beaucoup le choix de ſon époux, & je veux éclaircir un peu cette petite affaire-la.	Ma conjecture est fondée, je peine vois reculer beaucoup le choix de son époux, et je veux éclaircir un peu cette petite affaire-la.
Vous ſçavez que je ſuis auprés d’elle en quelque eſpece de faveur, que j’y ay les accés ouverts, & qu’a force de me tourmenter je me ſuis acquis le privilege de me meſſer à la converſation, & parler à tort & a travers de toutes choſes.	Vous savez que je suis auprès d'elle en quelque espèce de faveur, que j'y ai les accès ouverts, et qu'a force de me tourmenter je me suis acquis le privilège de me messer à la conversation, et parler à tort et a travers de toutes choses.
Quelquefois cela ne me reuſſit pas, mais quelquefois auſſi cela me reüiſſit.	Quelquefois cela ne me réussit pas, mais quelquefois aussi cela me réunissit.
Laiſſez-moy faire, je ſuis de vos amis, ſes gens de merite me touchent, & je veux prendre mon temps pour entretenir la Trinceſſe de.	Laissez-moi faire, je suis de vos amis, ses gens de mérite me touchent, et je veux prendre mon temps pour entretenir la Trincesse de.
OSTRATE.	OSTRATE.
An ?	An ?
de grace quelque bonte que mon malheur t’inſpire, garde toy bien de luy rien dire de ma flâme J’aimerois mieux mourir que de pouvoir eſtre accuſe par elle de la moindre temerité, & ce profond reſpect où ſes charmes divins.	de grâce quelque bonté que mon malheur t'inspire, garde toi bien de lui rien dire de ma flamme J'aimerais mieux mourir que de pouvoir être accuse par elle de la moindre témérité, et ce profond respect où ses charmes divins.
LITIDAS.	LITIDAS.
Taiſons-nous, voicy tout le monde.	Taisons-nous, voici tout le monde.
SCE	SCE
SCENE II.	SCÈNE II.
ARISTIONE, IPHICRATE, TIMOCLES, ANAXARQUE, CLEON.	ARISTIONE, IPHICRATE, TIMOCLES, ANAXARQUE, CLEON.
ARISTIONE.	ARISTIONE.
Rince, je ne puis me laſſer de le dire, il n’eſt point de ſpectacle au monde qui puiſſe le diſputer en magnificence à celuy que vous venez de nous donner Cette Feſte a eû des ornemens qui l’emportent ſans doute ſur tout ce que l’on ſçauroit voir, & elle vient de produire à nos yeux quelque choſe de ſi noble, de ſi grand, & de ſi majeitdeux, que le Ciel meſme ne ſçauroit aller au dela, & je puis dire aſſurement qu’il n’y a rien dans l’Univers qui s’y puine égaler.	Rince, je ne puis me lasser de le dire, il n'est point de spectacle au monde qui puisse le disputer en magnificence à celui que vous venez de nous donner Cette Fête a eu des ornements qui l'emportent sans doute sur tout ce que l'on saurait voir, et elle vient de produire à nos yeux quelque chose de si noble, de si grand, et de si majeitdeux, que le Ciel même ne saurait aller au déla, et je puis dire assurément qu'il n'y a rien dans l'Univers qui s'y puîné égaler.
IMOCLES.	JMOCLES.
Ce ſont des ornemens dont on ne peut pas ciperer que toutes ses Pentes joreiit emoerſies, & je dois fort trembler, Madame, pour la ſimplicite du petit divertiſſement que je m’appreſte à vous donner dans le Bois de Diane.	Ce sont des ornements dont on ne peut pas cipérer que toutes ses Pentes joreiit emoersies, et je dois fort trembler, Madame, pour la simplicité du petit divertissement que je m'apprête à vous donner dans le Bois de Diane.
ARISTIONE.	ARISTIONE.
Je croy que nous n’y verrons rien que de fort agreable, & certes il faut avoüer que la campagne a lieu de nous paroiſtre belle, & que nous n’avons pas le remps de nous ennuyer dans cet agreable ſejour qu’ont celebré tous les Poëtes ſous le nom de Tempé Car enfin, ſans parler des plaiſirs de la Chaſſe que nous y prenons à toute heure, & de la ſolemnité des jeux Pythiens que l’on y celebre tantôt, vous prenez ſoin l’un & l’autre de nous y combler de tous les divertiſſemens qui peuvent charmer les chagrins les plus mélaucholiques.	Je crois que nous n'y verrons rien que de fort agréable, et certes il faut avouer que la campagne a lieu de nous paraître belle, et que nous n'avons pas le remps de nous ennuyer dans cet agréable séjour qu'ont célébré tous les Poètes sous le nom de Tempé Car enfin, sans parler des plaisirs de la Chasse que nous y prenons à toute heure, et de la solennité des jeux Pylethiens que l'on y célèbre tantôt, vous prenez soin lun et 'autre de nous y combler de tous les divertissements qui peuvent charmer les chagrins les plus mélaucholiques.
D’où vient, Soſtrate, qu’on ne vous a point vù dans noſtre promenade?	D'où vient, Sostrate, qu'on ne vous a point vù dans notre promenade?
OSTRATE.	OSTRATE.
Une petite indiſpoſition, Madame, m’a empelent de My dourers	Une petite indisposition, Madame, m'a empelent de My dourers
ITHICRATE.	ITHICRATE.
Soſtrate eſt de ces gens, Madame, qui croient qu’il ne ſied pas bien d’eſtre curieux comme les autres, & il eſt beau d’affecter de ne pas courir où tout le monde court?	Sostrate est de ces gens, Madame, qui croient qu'il ne sied pas bien d'être curieux comme les autres, et il est beau d'affecter de ne pas courir où tout le monde court?
STRATE.	STRATE.
Seigneur, l’affectation n’a gueres de part à tout ce que je fais, & ſans vous faire compliment, il y uimienden cnoies a von dans cette Feſte, qui pouvoient m’attirer, ſi quelque autre motif ne m’avoit fetenn.	Seigneur, l'affectation n'a guère de part à tout ce que je fais, et sans vous faire compliment, il y uimienden cnoies a von dans cette Fête, qui pouvaient m'attirer, si quelque autre motif ne m'avait fenn.
ARISTIONE.	ARISTIONE.
Et Clitidas a-t il vù cela?	Et Clitidas a-t -il vù cela?
C LITIDAS.	Ç CLITIDAS.
Oüy, Madame, mais du Rivage.	Oui, Madame, mais du Rivage.
ARISTTONE.	ARISTONE.
Et pourquoy du Rivage?	Et pourquoi du Rivage?
LITIDAS.	LITIDAS.
Ma foy, Madame, j’ay craint quelqu'un des accidens qui arrivent d’ordinaire dans ces confuſions.	Ma foi, Madame, j'ai craint quelqu'un des accidents qui arrivent d'ordinaire dans ces confusions.
Cette nuit j’ay ſongé de poiſſon mort, & d’œufs caſſez, & j’ay appris du Seigneur Anaxarque, que les œufs caſſez & le poiſſon mort ſignifient mal-encontre.	Cette nuit j'ai songé de poisson mort, et d'œufs cassez, et j'ai appris du Seigneur Anaxarque, que les œufs cassez et le poisson mort signifient mal-encontre.
ANAXARQUE.	ANAXARQUE.
Je remarque une choſe, que Clitidas n’auroit rien à dire s’il ne parloit de moy.	Je remarque une chose, que Clitidas n'aurait rien à dire s'il ne parlait de moi.
CLITIDAS.	CLITIDAS.
C’eſt qu’il y a tant de choſes à dire de vous, qu’on n’en ſçauroit parler aſſez.	C'est qu'il y a tant de choses à dire de vous, qu'on n'en saurait parler assez.
ANAXARQUE.	ANAXARQUE.
Vous pourriez prendre d’autres matieres, puiſque je vous en ay prié.	Vous pourriez prendre d'autres matières, puisque je vous en ai prié.
CLI	CLI
CLITIDAS.	CLITIDAS.
