a ded	a déd
Et cela, MADAME, en diſant ſeulement que vous eſtes de l’illuſtre Sang de BOVRBON ſi Noble & ſi pur, qu’il a moins de taches que le Soleil;	Et cela, MADAME, en disant seulement que vous êtes de l'illustre Sang de BOURBON si Noble et si pur, qu'il a moins de taches que le Soleil;
de ſorte que vous auriez plus de peine à faillir, que les autres n’en ont à bien faire:	de sorte que vous auriez plus de peine à faillir, que les autres n'en ont à bien faire:
Et s’il faut encore adiouſter à cette gloire eſſentielle vne qui vous vienne d’ailleurs;	Et s'il faut encore ajouter à cette gloire essentielle un qui vous vienne d'ailleurs;
apresauoir remarqué que vous auez l’honneur d’appartenir au plus grand Monarque de la terre:	aprèsavoir remarqué que vous avez l'honneur d'appartenir au plus grand Monarque de la terre:
Ie diray que vo eſtes Sœur d’vn Prince, qui poſſede toutes les bonnes qualitez que doit auoir vn homme de la ſienne, & femme d’vn autre, de qui le cœur & l’eſprit diſ putent de grandeur auec ſa naiſſance:	Je dirai que vo êtes Sœur d'un Prince, qui possède toutes les bonnes qualités que doit avoir un homme de la sienne, et femme d'un autre, de qui le cœur et l'esprit dis putent de grandeur avec sa naissance:
C’eſt tout ce que vous peut dire,	C'est tout ce que vous peut dire,
MADAME,	MADAME,
Voſtre tres-humble & tres-obeïſſant ſeruiteur,	Votre très-humble et très-obeïssant serviteur,
Fautes ſuruenuës en l’impreſſion de l’Orante.	Fautes survenues en l'impression de l'Orante.
1 ge 70.	1 ge 70.
vers 2.	vers 2.
le, liſez la.	le, lisez la.
Page 104.	Page 104.
vers 8.	vers 8.
pere, liſez peres.	père, lisez pères.
A V LEOTEV X	À V LEOTEU X
E confeſſe ingenuëment que Ie ma ſterilité vient de l’abon dance d’autruy:	E confesse ingénument que Je ma stérilité vient de l'abon dance 'autrui:
L’on a tant P0A3GV fait d’Auant-propos, qu’il eſt comme impoſſible maintenant que mes penſées ne ſe rencontrent auec celles d’vn autre;	L'on a tant P0A3GU fait d'Avant-propos, qu'il est comme impossible maintenant que mes pensées ne se rencontrent avec celles d'un autre;
& ie ne veux point te donner ſujet d’appeller larcin ce qui ne ſeroit que concurrenee.	et personne ne veux point te donner sujet d'appeler larcin ce qui ne serait que concurrence.
COntemte-toy donc que ie te prie ſeulement d’excuſer mes fautes, & celles de l’Impreſſion.	COntemte-toi donc que je te prie seulement d'excuser mes fautes, et celles de l'Impression.
Adieu.	Adieu.
PRTY ICEGEDP NOY.	PRTY ICÉGEDP NOI.
OVYS PAR LA GRACE DE DIEV Y ROY DE FRANCE ET DE NAVARRE:	OUÏS PAR LA GRACE DE DIEU Y ROY DE FRANCE ET DE NAUARE:
DA nos amez & feaux Conſeillers, les gens tenans nos Couts de Parlement, Maiſtres des Requeſtes ordinaires de noſtre Hoſtel, Baillifs, Seneſchaux, Preuoſts, leurs Lieutenans, & tous autres de nos luſticiers & Officiers qu’il appartiendra;	DA nos âmez et féaux Conseillers, les gens tenants nos Couts de Parlement, Maîtres des Requêtes ordinaires de notre Hôtel, Baillifs, Sénéchaux, Preuôts, leurs Lieutenants, et tous autres de nos lûticiers et Officiers qu'il appartiendra;
Salut.	Salut.
Noſtre bien-aimé AVGVSTIN COVRBE', Marchand Libraire en noſtre bonne ville de Paris, nous a fait remonſtrer qu’il deſireroit imprimer vn Liure intitulé Orante, Tragi-Comedie du Sieur de SCVDERY, s’il nous plaiſoit de luy accorder nos Lettres ſur ce neceſſaires;	Notre bien-aimé AUGUSTIN COVRBE', Marchand Libraire en notre bonne ville de Paris, nous a fait remonstrer qu'il désirerait imprimer un Livre intitulé Orante, Tragi-Comédie du Sieur de SCUDERY, s'il nous plaisait de Seigneur accorder nos Lettres sur ce nécessaires;
humblement nous requerant icelles.	humblement nous requérant icelles.
A CES CAVSES, Nous auons permis & permettons par ces preſentes à l’expoſant, d’imprimer ou faire imprimer, vendre & debiter ledit Liure en tous les lieux de noſtre obeyſſance, durant l’eſpace de ſept ans entiers & accomplis, à comptet du iour qu’il ſera acheué d’imprimer pour la premiere fois.	À CES CAUSES, Nous avons permis et permettons par ces présentes à l'exposant, d'imprimer ou faire imprimer, vendre et débiter ledit Livre en tous les lieux de notre obéissance, durant l'espace de sept ans entiers et accomplis, à comptet du jour qu'il sera achevé d'imprimer pour la première fois.
Et faiſons deffenſes à tontes perſonnes, de quelque qualité qu’elles ſoient, tant de nos ſubiects que des eſtrangers, d’en expoſer en vente aucuns exemplaires contrefaits, à peine de quinze cens liures d’amende, qui ſera payée ſans deport, & nonobſtant oppoſitions ou appellations quelconques, par chacun de ceux qui en ſeront trouuez ſaiſis,ou qui l’auront imprimé ou fait imprimer ſans le conſentement dudit expoſant;	Et faisons défenses à tontes personnes, de quelque qualité qu'elles soient, tant de nos sujets que des étrangers, d'en exposer en vente aucuns exemplaires contrefaits, à peine de quinze cens livres d'amende, qui sera payée sans déport, et nonobstant oppositions ou appellations quelconques, par chacun de ceux qui en seront trouvez saisis,ou qui l'auront imprimé ou fait imprimer sans le consentement dudit exposant;
de confiſcation de tous les exemplaires, & de tous deſpens dommages & intereſts:	de confiscation de tous les exemplaires, et de tous dépens dommages et intérêts:
A condition qu’il en ſera mis deux exemplaires en noſtre Bibliotheque publique;	À condition qu'il en sera mis deux exemplaires en notre Bibliothèque publique;
à faute dequoy les preſentes ſeront de nul effect.	à faute dequoy les présentes seront de nul effet.
Si vous mandons que du contenu en icelles, vous faſſiez ioüir plainement & paiſiblement ledit expoſant, ſans ſouffrit qu’aucun empeſchement luy ſeit donné.	Si vous mandons que du contenu en icelles, vous fassiez jouir plainement et paisiblement ledit exposant, sans souffrit qu'aucun empêchement lui seit donné.
Voulons qu’en mettant au commencement, ou à la fin dudit Liure, vn bref extraict des preſentes, elles ſoient tenuës pour deuëment ſignifiées.	Voulons qu'en mettant au commencement, ou à la fin dudit Livre, un bref extrence des présentes, elles soient tenues pour devement signifiées.
& que foy ſoit adiouſtée aux coppies qui en ſeront collationnées par vn de nos amez & feaux Conſeillers, Secretaires, comme à l’original.	et que foi soit ajoutée aux copies qui en seront collationnées par un de nos âmez et féaux Conseillers, Secretaires, comme à l'original.
Mandons au premier noſtre Huiſſier ou Sergent fur ce requis, de faire pour l’execution d’iceluy, tous exploicts neceſſaires, ſans demander autre permiſſion.	Mandons au premier notre Huissier ou Sergent fur ce requis, de faire pour l'exécution d'icelui, tous exploits nécessaires, sans demander autre permission.
CAR TEL EST noſtre plaiſit, nonobſtant Clameur de Haro, Chartre Normande;	CAR TEL EST notre plaisit, nonobstant Clameur de Haro, Chartre Normande;
& autres lettres à ce contraires.	et autres lettres à ce contraires.
Donné à Paris le dernier iour de luin, l’an de grace mil ſix cens trent ecinq.	Donné à Paris le dernier jour de luin, l'an de grâce mil six cents trent ecinq.
Et de noſtre Regne le vingt-ſixieſme.	Et de notre Reine le vingt-sixième.
Par le Roy en ſon Conſeil.	Par le Roi en son Conseil.
CONRART.	CONRART.
Leſdits Liures ont eſté fournis, ainſi qu’il eſt porté par le Priuilege.	Lesdits Livres ont été fournis, ainsi qu'il est porté par le Privilège.
Les Acteurs.	Les Acteurs.
ISTMANDRE FIis du Gouuerneur de Naples.	ISTMANDRE FIis du Gouverneur de Naples.
ORANTE Dame Napolitaine.	ORANTE Dame Napolitaine.
ROSIMOND Amy d’Iſimandre.	ROSIMOND Ami d'Isimandre.
ORMIN Gouuerneur de Piſe.	ORMIN Gouverneur de Pise.
TABINVCLEM.	TABINCLEM.
POrmin.	POrmin.
EVCINDE Mere dOrante.	EUCINDE Mère dOrante.
FLORANGE Gentil-homme Piſan.	FLORANGE Gentilhomme Pisan.
NERINE Demoiſelle d’Orante.	NERINE Demoiselle d'Orante.
POLIANTE Pere d’Iſimandre.	POLIANTE Père d'Isimandre.
CLINDOR Eſcuyer d’Iſimandre.	CLINDOR Escuyer d'Isimandre.
LINDOMAN Valet de Chambre d’Orante.	LINDOMAN Valet de Chambre d'Orante.
LERISTE Page d’Ormin.	LERISTE Page d'Ormin.
ARGAMOR Braue.	ARGAMOR Brave.
GERTIMANT Braue.	GERTIMANT Brave.
ORANTE	ORANTE
CE A ACTE PREMIER.	CE A ACTE PREMIER.
ROSIMOND, ISIMANDRE, ORMIN, CLINDOR, NERINE, LVCINDE, FLORANGE, PALINICE, ORANTE.	ROSIMOND, ISIMANDRE, ORMIN, CLINDOR, NERINE, LUCINDE, FLORANGE, PALINICE, ORANTE.
DCENE TREMIERE.	DCENE TREMIERE.
ROSIMOND, ISIMANDRE.	ROSIMOND, ISIMANDRE.
ROSIMOND.	ROSIMOND.
Algré le vœu diſcret d’vne bouche muette, MEnfin ie vous connois amoureux & Poëte:	Algré le vœu discret d'une bouche muette, MEnfin ici vous connais amoureux et Poète:
Non, non, ie vous yprends;	Non, non, Seigneur vous yprends;
que ſert de le celer?	que sert de le celer?
C’eſt tropen meſme temps, que ſe taire, & bruſlen Uoyons dans ce Sonnet, qu’on cache comme vn crime;	C'est tropen cy temps, que se taire, et brûlen Uoyons dans ce Sonnet, qu'on cache comme un crime;
Otsnegrtis mefurtz, & des ſouſpirs en rime.	Otsnegris mefurtz, et des soupirs en rime.
I SIMANDRE.	I SIMANDRE.
Rends-le moy cher Amy:	Rends-le moi cher Ami:
ROSIMOND.	ROSIMOND.
I'y ſuis bien reſolu, Mais ce ne ſera pas auant que l’auoir leu.	J'y suis bien résolu, Mais ce ne sera pas avant que l'avoir lu.
ISIMANDRE.	ISIMANDRE.
Comme tous mes plaiſirs ont ueſia fait naufrage, Le deſordre des ſens en met en mon ouurage, Et mes vers ſont confus, autant que mon humeur:	Comme tous mes plaisirs ont uesia fait naufrage, Le ordre des sens en met en mon ouvrage, Et mes vers sont confus, autant que mon humeur:
ROSIMOND.	ROSIMOND.
Icy l’humilité ne ſent point le Rimeur.	Ici l'humilité ne sent point le Rimeur.
Il falloit preparer mes yeux & mes oreilles;	Il fallait préparer mes yeux et mes oreilles;
Me dire qu’a genoux on doit voir des merueilles;	Me dire qu'a genoux on doit voir des merveilles;
Me reciter vos vers en accents releuez;	Me réciter vos vers en accents relevés;
C'est tout leur ornement, & vous les en priuez:	C'est tout leur ornement, et vous les en privez:
Les Maistres du meſtier ont bien vne autre emphaPour vous rauir l’eſprit, ils tombenten extaſe;	Les Maîtres du métier ont bien une autre emphaPour vous ravir l'esprit, ils tombenten extase;
A chaque finde ſtance onles voit ſe paſmer, Pour vous donner le temps qu’ilfaut à l’estimer;	À chaque finde stance onles voit se pâmer, Pour vous donner le temps qu'ilfaut à l'estimer;
Et faiſant les yeux doux, ils ſemblen vouloir dire, Vous deuez m’adorer, parce que ie m’admire;	Et faisant les yeux doux, ils semblen vouloir dire, Vous devez m'adorer, parce que toujours m'admire;
Mais mon viſage froid deſeſpere vn Autheur, Or vous dont ie connois, & l’adreſſe, & la force;	Mais mon visage froid désespérer un Auteur, Or vous dont je connais, et l'adresse, et la force;
dnt juipaniiNrefus, me iettez vne amorce;	dît juipaniNrefus, me iettez H amorce;
En vnmot, ie vœux voir, en voyant ce ſonnet, Ce que vous enfantez dans vostre Cabinet.	En unmot, Seigneur vœux voir, en voyant ce sonnet, Ce que vous enfantez dans votre Cabinet.
SONNET.	SONNET.
V’on me faſſe vn Tombeau, ie ne me puis promettre De viure deſormais l’espace d’vnmoment:	V'on me fasse un Tombeau, on ne me puis promettre De vivre désormais l'espace d'vnmoment:
Mille ans ont fait leur cours depuis l’eſloignement, De l’homme pareſſeux qui doit rendre ma lettre:	Mille ans ont fait leur cours depuis l'éloignement, De l'homme paresseux qui doit rendre ma lettre:
R	R
Dieux, Parques, & Deſtins, me voulez vous permettre, Immortel comme vous, d’eſtre eternellement?	Dieux, Parques, et Destins, me voulez -vous permettre, Immortel comme vous, d'être éternellement?
Si vous estes puiſſans, faites le moy parestre, Me donnant le repos qu’on trouue au monument.	Si vous êtes puissants, faites le moi paraître, Me donnant le repos qu'on trouve au monument.
Auoir veſcu mille ans, n’est-ce pas vn bel âge?	Avoir vécu mille ans, n'est-ce pas un bel âge?
Mais que l’impatience, helas!	Mais que l'impatience, hélas!
me rend peu ſage, Monesprit agité, ſoy-meſme ne s’entend:	me rend peu sage, Monesprit agité, soi-même ne s'entend:
Depuis que i’eſcriuis, i’ay compté mille années;	Depuis que j'écrivis, j'ai compté mille années;
Et tout conſideré, ce n’est que ſix iournées, Dieux!	Et tout considéré, ce n'est que six journées, Dieux!
que le temps estlong pour vn bien qu’on attend.	que le temps estlong pour un bien qu'on attend.
Quoy donc, vous en tenez?	Quoi donc, vous en tenez?
& cette humeur rebelle, Enfin dans l’Uniuers, a pû voir vne Belle?	et cette humeur rebelle, Enfin dans l'Univers, a pu voir une Belle?
Il ſe trouue vn obiect, qui merite vos ſoins?	Il se trouve un objet, qui mérite vos soins?
Si ce diſcours eſt vray, c’eſt Venus pour le moins.	Si ce discours est vrai, c'est Venus pour le moins.
ISIMANDRE.	ISIMANDRE.
Celle dont le Berteau fut pris d’vne Coquille, Pourroit ſeruir de luſtre à cette belle fille;	Celle dont le Berteau fut pris d'une Coquille, Pourrait servir de lustre à cette belle fille;
Et l’on doit confeſſer malgré ſes cruautez, Qu'on n’a veu qu’en ce temps la Reine des beaute La liberté s’enfuit, d’où la Belle ſe treuue;	Et l'on doit confesser malgré ses cruautés, Qu'on n'a vu qu'en ce temps la Reine des beauté La liberté s'enfuit, d'où la Belle se trouve;
Pour les coups de ſes yeux, il n’est rien à l’eſpreuue;	Pour les coups de ses yeux, il n'est rien à l'épreuve;
Et bien qu’vn arbre, vn roc, s’en laiſſaſſent charmer, Elle a plus fait encor, enme faiſant aimer.	Et bien qu'un arbre, un roc, s'en laissassent charmer, Elle a plus fait encor, en faisant aimer.
ROSIMOND.	ROSIMOND.
Deſpauon quetlettit et, te ueui vient ue naiſtre:	Despavon quetletit et, te veui vient ue naître:
ISIMANDRE.	ISIMANDRE.
Sans te dire ſonnom tu la pourras connaistre:	Sans te dire sonnom tu la pourras connaître:
On ne voit rien d’eſgal au moindre de ſes traicts;	On ne voit rien d'égal au moindre de ses traits;
Eſcoute moy parler pour voir de ſes Portraicts.	Écoute moi parler pour voir de ses Portraits.
Forme toy dans l’esprit toutes les belles choſes;	Forme toi dans l'esprit toutes les belles choses;
Meſle confusément, & des Lis, & des Roſes;	Mêle confusément, et des Lis, et des Roses;
Que limaginatiue en ſoy figure encor, L’albastre, le coral, & les perles, & l’or;	Que limaginative en soi figure encor, L'albâtre, le coral, et les perles, et l'or;
Feins toy deux cents Amours qui vont baiſer ſestraces;	Feins toi deux cents Amours qui vont baiser sétraces;
Penſe de voir vn port, qui fait rougir les Gra6695 Songe à tous les attraicts, ſonge à tous les appas, Telle eſt cette Beauté, ne la connois tupas?	Pense de voir un port, qui fait rougir les Gras695 Songe à tous les attraits, songe à tous les appas, Telle est cette Beauté, ne la connais tupas?
ROSIMOND.	ROSIMOND.
Mon ame en eſt rauie, & non moins ignorante:	Mon âme en est ravie, et non moins ignorante:
ISIMANDRE.	ISIMANDRE.
Eſt-il beſoin encor de te nommer Orante?	Est-il besoin encor de te nommer Orante?
A iij Iniurieux amy, confeſſe moy ce point, ongenuu ponttauis eune te connois point.	À jijo Iniurieux ami, confesse moi ce point, ongénu ponttauis eune te connais point.
ROSIMOND.	ROSIMOND.
Le moyen de la voir à trauers la querelle, Et cette inimitié qui vous est naturelle?	Le moyen de la voir à travers la querelle, Et cette inimitié qui vous est naturelle?
ISIMANDRE.	ISIMANDRE.
Ie dois cherir mon pere, & non pas ſes erreurs:	Je dois chérir mon père, et non pas ses erreurs:
Ces vieux reſſentimens que la colere attiſe, N’ont rien de genereux, & chocquent la franchiſe:	Ces vieux ressentiments que la colère attise, N'ont rien de généreux, et chocquent la franchise:
Mon cournoux tientdu foudre, en ce qu’en vn inſtant, Il punit, ou pardonne vn outrage important.	Mon cournoux tientdu foudre, en ce qu'en un instant, Il punit, ou pardonne un outrage important.
Lturuſt uuoldenete mus conto cendinfamie, Ie baiſeray les pas de ma belle ennemie, Mon esprit ne ſçauroit en eſtre diuerti;	Lturût uuoldenete mus conto cendinfamie, Je baiserai les pas de ma belle ennemie, Mon esprit ne saurait en être diverti;
Malgré mon intereſt, il eſt de ſon parti.	Malgré mon intérêt, il est de son parti.
R.	R.
CIMOND.	CIMOND.
Eſtes vous aſſuré, que le ſien eſt du voſtre?	Êtes vous assuré, que le sien est du vôtre?
ISIMANDRE.	ISIMANDRE.
A quiconque aime bien qu’importe l’vn ou l’autre?	À quiconque aime bien qu'importe l'Hommes ou l'autre?
Le veritable amant ne doit rien eſperer;	Le véritable amant ne doit rien espérer;
Rien demander aux Dieux, c’eſt aſſez d’adorer:	Rien demander aux Dieux, c'est assez d'adorer:
Ie me tiens ſatisfait, ſeulement quand i’y penſe;	Je me tiens satisfait, seulement quand j'y pense;
L’amour qui fait ma peine en eſt la recompenſe;	L'amour qui fait ma peine en est la récompense;
Les bonnes actions ont vn certain plaiſir, Qui s'eſleue plus haut que ne fait le deſir,	Les bonnes actions ont un certain plaisir, Qui s'esleue plus haut que ne fait le désir,
ROSIMOND.	ROSIMOND.
Pourquoy donc deſirer reſponce d’vne lettre?	Pourquoi donc désirer réponse d'une lettre?
ISIMANDRE.	ISIMANDRE.
Ha!	Ha!
que ie hay ces vers, parce qu’vn d’eux eſt traiſtre:	que ici hais ces vers, parce qu'un d'eux est traître:
Il apprend vn ſecret qui me deſcouurira;	Il apprend un secret qui me découvrira;
Et le mettant au iour, ta voix m'en priuera, Pardonne Roſimond, à cette violence;	Et le mettant au jour, ta voix m'en privera, Pardonne Rosimond, à cette violence;
Sçache que pour cela, ie craindrois le ſilence;	Sache que pour cela, votre craindrais le silence;
Toutendormy qu’il eſt d’vne froide vapeur;	Toutendormi qu'il est d'une froide vapeur;
Son ſommeil de pauots eſueilleroit ma peur,	Son sommeil de pauls éveillerait ma peur,
ROSIMOND.	ROSIMOND.
Que ma fidelité me pleige, & vous conſole;	Que ma fidélité me pleige, et vous console;
Sçachez que mon deuoir commande à ma parole;	Sachez que mon devoir commande à ma parole;
Un ſecret en mon ame, augmente ſon credit;	Un secret en mon âme, augmente son crédit;
Ne le dire qu’à moy, c’eſtne l’auoir point dit.	Ne le dire qu'à moi, c'estne l'avoir point dit.
ISIMANDRE.	ISIMANDRE.
Ie le crois, cher Amy, tu pleurerois ma perte:	Je le crois, cher Ami, tu pleurerais ma perte:
C’eſt pour toy ſeul außi que mon ame eſt ouuerte;	C'est pour toi seul aussi que mon âme est ouverte;
Ie de ſcouure à toy ſeul l’iniustice du ſort;	Je de scouvre à toi seul l'injustice du sort;
Qui m’eſloigne d’Orante, & me donne la mort.	Qui m'éloigne d'Orante, et me donne la mort.
Ie te monstre vne flame à tout autre inuiſible:	Je te montre une flamme à tout autre invisible:
Voy comme mon mal-heur ſe va rendre inuincible:	Vois comme mon malheur se va rendre invincible:
Le pouuoir de mon pere eſloigne de ces lieux, Celle qui mit au iour la merueille des yeux:	Le pouvoir de mon père éloigne de ces lieux, Celle qui mit au jour la merveille des yeux:
ar Orante & ſa mere ont quitté la Contrée;	ar Orante et sa mère ont quitté la Contrée;
Elles ſont en des lieux où ie n’aypoint d’entrée;	Elles sont en des lieux où ie j'aipoint d'entrée;
Elles ſont chez Ormin, qui leur proche parent, Meſle ſes intereſts dans noſtre different.	Elles sont chez Ormin, qui leur proche parent, Mêle ses intérêts dans notre différent.
Mais ſi le Ciel permet qu’Orante puiſſe lire Les termes pleins de feu qu'Amour m’a fait eſcrire, Et que ſes volontez m’ordonnent de la voir, En despit du malheur ie feray mon deuoir.	Mais si le Ciel permet qu'Orante puisse lire Les termes pleins de feu qu'Amour m'a fait écrire, Et que ses volontés m'ordonnent de la voir, En dépit du malheur Seigneur ferai mon devoir.
ROSIMOND.	ROSIMOND.
Soyez Amant diſeret, ainſi qu’Amant fidelle;	Soyez Amant disèret, ainsi qu'Amant fidèle;
Puis qu’elle vous cherit, conſeruez vous pour elle;	Puis qu'elle vous chérit, conservez vous pour elle;
Si vous allez à Piſe, où gist voſtre bon-heur, Souuenez-vous qu’Ormin en estle Gouuerneur.	Si vous allez à Pise, où gît votre bonheur, Souvenez-vous qu'Ormin en estle Gouverneur.
ISIMANDRE.	ISIMANDRE.
La force de l’Amour rendra la ſienne vaine;	La force de l'Amour rendra la sienne vaine;
Mon cœur tout genereux ſe mocque de ſa haine;	Mon cœur tout généreux se moque de sa haine;
Et ſçache que pour voir ce que i’aime le mieux, L attaquerois l'enfer & forcerois les Cieux.	Et sache que pour voir ce que j'aime le mieux, attaquerais l'enfer et forcerais les Cieux.
SCENE SECONDE.	SCÈNE SECONDE.
2 ORMIN.	2 ORMIN.
Vde & foible raiſon, abandonne mon ame;	Vde et faible raison, abandonne mon âme;
Ta froideur ne ſçauroit s’oppoſer à ma flame:	Ta froideur ne saurait s'opposer à ma flamme:
L’amitié vient du ſang;	L'amitié vient du sang;
& i’espreuue en ce iour, Qu'elle n’eſt qu’vn chemin qui conduit à l’amour.	et j'épreuve en ce jour, Qu'elle n'est qu’ un chemin qui conduit à l'amour.
I'aime (ie le confeſſe) Orante me poſſede;	J'aime (ie le confesse) Orante me possède;
Ie ſuis homme, elle eſt belle, on m'attaque, & it cede:	Je suis homme, elle est belle, on m'attaque, et et cede:
Ses regards ont des traicts qui percent iuſqu’au cœur;	Ses regards ont des traits qui percent jusqu'au cœur;
Le mien eſt bon eſclaue, il aime ſon vainqueur.	Le mien est bon esclave, il aime son vainqueur.
Et pourroit-on blaſmer ce qui n'eſt point blaſmable?	Et pourrait-on blâmer ce qui n'est point blâmable?
Pour estre ma parente, est-elle moins aimable?	Pour être ma parente, est-elle moins aimable?
Loix, qui nous deffendez les plaiſirs innocens, Laiſſez nous l’eſprit libre, ou nous oſtez les ſens.	Lois, qui nous défendez les plaisirs innocents, Laissez nous l'esprit libre, ou nous ôtez les sens.
L’obiect de mon deſir luy peut ſeruir d’excuſe;	L'objet de mon désir ton peut servir d'excuse;
Il arrache de force vn cœur qu’on luy refuſe;	Il arrache de force un cœur qu'on Seigneur refuse;
La raiſon & la crainte ont beau le ſecourir, L’eſperance le flatte, en le faiſant mourir, Et trouuant que l’amour estfille de l’eſtime, Tout ce qu’on luy deffend luy ſemble legitime:	La raison et la crainte ont beau le secourir, L'espérance le flatte, en le faisant mourir, Et trouvant que l'amour estfille de l'estime, Tout ce qu'on a pend tu semble légitime:
Vne conqueste aiſee eſt digne de meſpris;	Une conquête aise est digne de mépris;
La peine est vne amorce aux genereux eſprits;	La peine est assez amorce aux généreux esprits;
Et quoy qu’vn ſot diſcours en pareille aduantuOppoſe aux loix d’Amour celles de la Nature, Il les faut meſpriſer, pour estre poſſeſſeur, Si i’aime vne couſine, vn Dieucherit ſa ſœur.	Et quoi qu’un sot discours en pareille aduantuOppose aux lois d'Amour celles de la Nature, Il les faut mépriser, pour être possesseur, Si j'aime une cousine, un Dieucherit sa sœur.
Ouy, puis qu'Amour le veut, la ſentence eſt donnée:	Oui, puis qu'Amour le veut, la sentence est donnée:
Allumons ſon flambeau par celuy d’Hymenée;	Allumons son flambeau par celui d'Hyménée;
Laiſſons cueillir la fleur, pour recueïllir le fruit;	Laissons cueillir la fleur, pour recuellir le fruit;
Et tirons cent bons iours d’vne mauuaiſe nuit.	Et tirons cent bons jours d'une mauvaise nuit.
Orante ſera mienne estant à ce Florange;	Orante sera mienne étant à ce Florange;
Les deffauts d’vn mary la porceront au change;	Les défauts d'un mari la porceront au change;
Et dedans ſon eſprit toutes ſes actions, Pourront ſeruir de lustre à mes perfections.	Et dedans son esprit toutes ses actions, Pourront servir de lustre à mes perfections.
C’eſt de là que mon bien prendra ſon origine;	C'est de là que mon bien prendra son origine;
Ie baſtis ſur l’espoir de ſa mauuaiſe mine;	Je bâtis sur l'espoir de sa mauvaise mine;
L’entretien d’vn brutal eſt capable d’aider Au deſſein que i’aypris de la perſuader:	L'entretien d'un brutal est capable d'aider Au dessein que j'aipris de la persuader:
I’ay le vent fauorable, & i’appercoy la riue;	J'ai le vent favorable, et j'aperçois la rive;
Pour poſſeder Orante, il faut que ie m'en priue;	Pour posséder Orante, il faut que . m'en prive;
Le Ciel entend mes vœus, & mon bon heur s' lit;	Le Ciel entend mes vœus, et mon bon heur s' lit;
Mais, Amour auec eux n’entre pas dans le lit.	Mais, Amour avec eux n'entre pas dans le lit.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
CLNNDOR, NERINE.	CLNNDOR, NERINE.
CLINDOR.	CLINDOR.
Erine, qu’à propos ie vous ay rencontrée!	Erine, qu'à propos apprendre vous ai rencontrée!
Uous pouuez au Chaſteau me donner libre enat eey Monmaiſtre vous en prie, & l’Amour comme luy, Demande que vos ſoins l’aßistent auiourd’huy.	Uous pouvez au Château me donner libre enat eein Monmaître vous en prie, et l'Amour comme lui, Demande que vos soins l'assistent aujourd'hui.
NERINE.	NERINE.
Ha!	Ha!
fidelle Clindor, vnbon demon t’ameine:	fidèle Clindor, unbon demon t'amène:
Si ton Maistre pãtit, Orante est bien en peine;	Si ton Maître putit, Orante est bien en peine;
Florange la recherche, & ſa Mere y conſent;	Florange la recherche, et sa Mère y consent;
Iuge par là des maux que ſon esprit reſſent.	Juge par là des maux que son esprit ressent.
