TRAGI-COMEDIE.	TRAGI-COMÉDIE.
ISIMANDRE.	ISIMANDRE.
deendecie moj, ener Amy:	deendecie moj, en Ami:
ROSIMOND.	ROSIMOND.
I'j ſais bien reſelu, Mais es ne ſera pas avant que l'auoir leu.	J'j sais bien réélu, Mais es ne sera pas avant que l'avoir lu.
ISIMANDRE.	ISIMANDRE.
Comme tous mes plaiſirs ont deſia fait naufrage, Le deſordre des ſens en met en mon ouurage, Et mes vers ſont con fus autant que mon humeer.	Comme tous mes plaisirs ont déjà fait naufrage, Le désordre des sens en met en mon ouvrage, Et mes vers sont con fus autant que mon humeer.
ROSIMOND.	ROSIMOND.
Icy l’humilité ne ſent point le Rimeur, Il falloit preparer mes yeux & mes oreilles, Me dire qu'à genoux on doit voir des merusilles, Me reciter vos vers en accents releuez:	Ici l'humilité ne sent point le Rimeur, Il fallait préparer mes yeux et mes oreilles, Me dire qu'à genoux on doit voir des mérusilles, Me réciter vos vers en accents relevez:
C’eſt tout leur ornement, & vous les en priuez, Les Maiſtres du meſtier ont bien vne autre emphaze, Pour vous rauir l’eſprit ils tombent en extaze A chaque fin de ſtance on les voit ſe paſmer, Pour vous donner le temps qu’il faut à l’eſtimer, Et faiſants les yeux doux ils ſemblent vonloir dire, Vous deuez m'adorer, par ce que ie m'admire, Mais mon viſage froid deſeſpere vn Autheur, Et ie le fais tomber d vne belle hauteur.	C'est tout leur ornement, et vous les en privez, Les Maîtres du métier ont bien une autre emphase, Pour vous ravir l'esprit ils tombent en extaze A chaque fin de stance on les voit se pâmer, Pour vous donner le temps qu'il faut à l'estimer, Et faisant les yeux doux ils semblent vonloir dire, Vous devez m'adorer, par ce que ie j'admire, Mais mon visage froid désespère un Auteur, Et ie le fais tomber le tomber belle hauteur.
Or vous dont ie connous, & l’adreſſe, & la force, Me faiſant vn refus me iettez vne amorce, En vn mot ie veux voir, en voyant ce ſonnet, Et que vous enfantez uans vojne Caumtt.	Or vous dont Madame connous, et l'adresse, et la force, Me faisant un refus me jetez une amorce, En un mot arrêt veux voir, en voyant ce sonnet, Et que vous enfantez ans vojne Caumt.
SONNET.	SONNET.
V'on me faſſe vn tombeau ie ne me puis 2 promettre De viure deſormais l’eſpace d’vn moment, Mille ans ont fait leur cours depuis l’éloigne ment, De l’homme pariſſeux qui doit lendre mi lettre.	V'on me fasse un tombeau personne ne me puis 2 promettre De vivre désormais l'espace d'un moment, Mille ans ont fait leur cours depuis l'éloigne ment, De l'homme parisseux qui doit lendre mi lettre.
Dieux Dieux, Parques, & Deſtins, me voulez vous permettre, Immortel comme vous d’eſtre éternellement?	Dieux Dieux, Parques, et Destins, me voulez -vous permettre, Immortel comme vous d'être éternellement?
Si vous eſtes puiſſants, faites-le moy pareſtre.	Si vous êtes puissants, faites-le moi paraître.
Me donnãt le repos qu’on trouue au monumẽt.	Me donnant le repos qu'on trouve au monument.
Auoir vécu mille ans, n’eſt-ce pas vn bel âpe Mais que l’impatience nelas.	Avoir vécu mille ans, n'est-ce pas un bel âpe Mais que l'impatience nélas.
me red peu ſage Mon eſprit agité ſoy-meſme ne s’entend.	me red peu sage Mon esprit agité soi-même ne s'entend.
Depuis que i’écriuis, i’ay cõpté mille années Et tout conſideré, ce n’eſt que ſix iournées.	Depuis que j'écrivis, j'ai compté mille années Et tout considéré, ce n'est que six journées.
Dieux!	Dieux!
que le temps eſt long pour vn bien qu’on attend.	que le temps est long pour un bien qu'on attend.
Quoy donc, vous en tenez;	Quoi donc, vous en tenez;
& cette humeur ribille Enſin dans trmuers a pl voir vne Belle?	et cette humeur ribille Ensin dans tramuers a pl voir une Belle?
Il ſe trouue vn objet qui merite vos ſoins, Si ce diſcours eſt vray, c’eſt Venus pour le moins.	Il se trouve un objet qui mérite vos soins, Si ce discours est vrai, c'est Venus pour le moins.
ISIMANDRE.	ISIMANDRE.
Celle dont le Berceau fut pris d’vne Coquille, Pourroit ſeruir de luſtre à cette belle fille;	Celle dont le Berceau fut pris d'une Coquille, Pourrait servir de lustre à cette belle fille;
Et l’on doit confeſſer malgré ſes cruautez, Qu’on n’a veu qu’en ce temps la Reyne des beautez;	Et l'on doit confesser malgré ses cruautés, Qu'on n'a vu qu'en ce temps la Reine des beautés;
La liberté s’onfuit d’où la Belle ſe treuue, Pour les coups de ſes yeux il n'eſt rien à l’eſpreuue, Et bien qu’vn arbre, vn rot, s'en laiſſaſſent charmir, Elle a plus fait encor, en me faiſant aimer.	La liberté s'onfuit d'où la Belle se trouve, Pour les coups de ses yeux il n'est rien à l'épreuve, Et bien qu'Han arbre, un rot, s'en laissassent charmir, Elle a plus fait encor, en me faisant aimer.
ROSIMOND.	ROSIMOND.
De ſçauoir quille elle eſt, la deſir vient de naiſtre.	De sçauoir quille elle est, la désir vient de naître.
ISIMANDRE.	ISIMANDRE.
Sans te dire ſon nom tu la pourras connaiſtre, On ne voit rian d'eſgal au moindre de ſes traicts, Eſcoute-moy parler pour voir de ſes Pourtraicts, Forme-toy dans l’eſprit toutes les belles choſes, Meſle confusément, & des bu, & des Roſes, Que l’imaginatius en ſoy figure encor, L'Albâtre, le Corail, & les Perlis, & l’or, Feins-toy deux cents amours qui vont baiſer ſes tracit Penſe de voir vn port, qui fait rougir les Graces, Songe à tous les attraits ſonge à tous les appas, Leue ej cesle cluada dadeu da paos	Sans te dire son nom tu la pourras connaître, On ne voit rian à égal au moindre de ses traits, Escoute-moi parler pour voir de ses Pourtraits, Forme-toi dans l'esprit toutes les belles choses, Mègle confusément, et des bu, et des Roses, Que l'imaginatius en soi figure encor, L'Albâtre, le Corail, et les Perlis, et l'or, Feins-toi deux cents amours qui vont baiser ses tracit Pense de voir une port, qui fait rougir les Graces, Songe tous les attraits songe à tous les appas, Euge à tous les a paos
ROS MOND.	ROS MOND.
Mon ame en eſt rauie & non moins ignorante.	Mon âme en est ravie et non moins ignorante.
IS MANDRE.	IS MANDRE.
Eſſ-il beſoin encor de te nemmer Orante?	Ess-il besoin encor de te nemmer Orante?
Iniurienx amy, confeſſe-moy ce point.	Injurienx ami, confesse-moi ce point.
d'iuger des pourtraits tu ne te connois point.	d'ivger des pourtraits tu ne te connais point.
ROSIMOND.	ROSIMOND.
Le moyen de la voir à trauers la querelle, Et cette inimitié qui vous eſt naturelle?	Le moyen de la voir à travers la querelle, Et cette inimitié qui vous est naturelle?
ISIMANDRE.	ISIMANDRE.
Eſpouſe qui voudra ſes iniuſtes fureurs, Ie dois cherir mon pere, & non pas ſes erreurs, Ces vieux reſſentimens que la colere attiſe, N’ont rien de genereux, & choquent la franchiſe, Mon courroux tient du foudre, en ce qu’en vn inſiant, Il punit, ou pardonne en ouuuge uapcitant, Et duuſt ma lâcheté me comblis d’infamis, Ie baiſeray les pas de ma belle ennemie, Mon eſprit ne ſçauroit en eſtre diuerty, Malgré mon intereſt, il eſt de ſon party.	Espouse qui voudra ses injustes fureurs, Je dois chérir mon père, et non pas ses erreurs, Ces vieux ressentiments que la colère attise, N'ont rien de généreux, et choquent la franchise, Mon courroux tient du foudre, en ce qu'en un insiant, Il punit, ou pardonne en ouuuge uapcitant, Et duust ma lâcheté me comblis infamis, Ie baiseray les pas de ma belle ennemie, Mon esprit ne sçauroit en être diuerty, Malgré mon intérêt, il est de son party.
ROSIMOND.	ROSIMOND.
Eſtes-vous aſſeuré que le ſien eſt du voſtre?	Êtes-vous assuré que le sien est du vôtre?
ISIMANDRE.	ISIMANDRE.
A quiconque aime bien, qu’importe l’vn ou l’autre?	À quiconque aime bien, qu'importe l'un ou l'autre?
Le veritable amant ne doit rien eſperes, Rien demander aux Dieux, c’eſt aſſez d’adorer, Ie me tiens ſatis fait ſeulement quand i’y penſe, L'amour qui fait ma peine, en eſt la retiuptnſe, Les bonnes actions ont vn certain plaiſir.	Le véritable amant ne doit rien espères, Rien demander aux Dieux, c'est assez d'adorer, Je me tiens satî fait seulement quand j'y pense, L'amour qui fait ma peine, en est la retiuptnse, Les bonnes actions ont un certain plaisir.
Npeue peu vues quint jan is atſr.	Népue peu vues quint jan is atsr.
ROSIMOND.	ROSIMOND.
Pourquoy donc defirer reſponce d'vne lettre?	Pourquoi donc désirer réponse d'une lettre?
ISLMANDRE.	ISLMANDRE.
Ha!	Ha!
que is hay ces vers, parce qu’vn d’eux eſt traiſire, Il apprend vn ſecret qui me deſcouurira, Et le meitent au iour ta voix m'en priuera, Duy ueude nepuuona, a tinit vicinte.	que ais ha ces vers, parce qu'un d'eux est traisire, Il apprend un secret qui me découvrira, Et le mitent au jour ta voix m'en privera, Duy œude nepuuona, a tinit vicinte.
Sçache que pour cela is craindrois le filence, Tout endormy qu’il eſt d’vne froide vapeur, Son ſommeil de pauots éueilleroit ma peur.	Sache que pour cela is craindrais le silence, Tout endormi qu'il est d'une froide vapeur, Son sommeil de pauls éveillerait ma peur.
ROSIMOND.	ROSIMOND.
Que ma fidelité me pleige & veus conſole, Sçachez que mon deuoir commande à ma parole, Vn ſecret en mon ame augmente ſon credit, Ne le dirs qu'à moy, c’eſt ne l’auoir point dit.	Que ma fidélité me pleige et veux console, Scachez que mon devoir commande à ma parole, Un secret en mon âme augmente son crédit, Ne le dirs qu'à moi, c'est ne l'avoir point dit.
ISIMANDRE.	ISIMANDRE.
Ie le crois cher amy, tu pleure ois ma perte, C’eſt pour toy ſeul außi que mon ame eſt ouuirte;	Je le crois cher ami, tu pleure ois ma perte, C'est pour toi seul aussi que mon âme est ouvirte;
Is deſcouure à toy ſeul l’injuſice du ſort, Qui m’eſloigne d’Orante, & me donne la mort.	Is découvre à toi seul l'injusice du sort, Qui m'éloigne d'Orante, et me donne la mort.
Ie te montre vne flâme à tout autre inuiſible, Voy commi mon mal-heur ſe va rendre inuincible, Le pouuoir de mon pere eſtoigne de ces lieux, Celle qui mit au iour la merueille des yeux, Car Orante & ſa mere ont quiité la Contrée, Elles ſont en des lieux où ie n’ay point d’entrée, Elles ſont chez Ormin, qui leur proche parent, Meſle ſes intereſts dans noſtre different, Mais ſi le Ciel permet qu’Orante puiſſe lire, Les termes pleins de feu qu'amour m'a fait eſcrirt Et que ſes volontez m’ordonnent de la voir, En deſpit du mal-heur ie feray mon diueir.	Je te montre une flamme à tout autre invisible, Vois commi mon malheur se va rendre invincible, Le pouvoir de mon père étoigne de ces lieux, Celle qui mit au jour la merveille des yeux, Car Orante et sa mère ont quiité la Contrée, Elles sont en des lieux où on n'ai point d'entrée, Elles sont chez Ormin, qui leur proche parent, Mêle ses intérêts dans notre différent, Mais si le Ciel permet qu'Orante puisse lire, Les termes pleins de feu qu'amour m'a fait écrirt Et que ses tés m'ordonnent de la voir, En dépit du malheur ie ferai mon diueir.
ROSIMOND.	ROSIMOND.
Leqio amuubuijereu uiuje qu'auant fidelle, Puis qu’elle vous cherit, conſeruez-vous pour elle, Si vous allez à Piſe, où giſt voſtre bon-heur, Souuenez-vous qu’Ormin en eſt le Goauerneur.	Léqio amubuijereu uivie qu'avant fidèle, Puis qu'elle vous chérit, conservez-vous pour elle, Si vous allez à Pise, où gît votre bonheur, Souvenez-vous qu'Ormin en est le Goaverneur.
ISIMANDRE.	ISIMANDRE.
La force de l’amour rendra la ſienne vaine, Mon cœur tout genereux ſe mocque de ſa haine, Et ſçache que pour voir ce que i’aime le mieu x, I’aitaquetois l’Enfer, & forcerois les Cieux	La force de l'amour rendra la sienne vaine, Mon cœur tout généreux se moque de sa haine, Et sache que pour voir ce que j'aime le mieu , aitaquetois Enfer, et forcerois les Cieux
CEBRR TI.	CEBR TY.
ORMIN.	ORMIN.
Vde & foible raiſon, abandonne mon ame, N Ta froideur ne ſçauroit s’oppoſer à ma flâme, L’amitié vient du ſang, & i’eſpreuue en ce iour Qu’elle n’eſt qu’vn chemin qui conduit à l’amour.	Vède et faible raison, abandonne mon âme, N' a froideur ne saurait s'opposer à ma flamme, L'amitié vient du sang, et j'épreuve en ce jour Qu'elle n'est qu'un chemin qui conduit à l'amour.
I’aime (is le cenfeſſe) Orante me peſſede, Is ſuis homme, elle eſt belle, on m’attaque & ie cede Ses regaids ont des traicts qui percent iuſqu’ax tœn Le mien eſt bon eſclaue, il aime ſon vainqueur, Et ponrroit-on blaſmer ce qui n’eſt point blaſmable Pour eſtre ma parente eſt-elle moins aimable?	J'aime (is le cenfesse) Orante me pessede, Is suis homme, elle est belle, on m'attaque et et cede Ses regaids ont des traits qui percent jusqu'ax tœn Le mien est bon esclave, il aime son vainqueur, Et ponrait-on blâmer ce qui n'est point blâme Pour est ma parente est-elle moins aimable?
Loix, qui nous deffendez lis plaiſirs innocens, Laiſſez-nous l’eſprit libre, ou nous oſtez les ſens, L’objet de mon deſir luy peat ſeruir d’excuſe, Il arrache de force vn cœur qu’on luy reſuſe, La raiſon & la crainte ont beau le ſecourir, L’eſperance le flatte en le faiſant mourir, Et treuuant que l’amour eſt fille de l’eſtime, Tout ce qu’on luy deffend luy ſemble legitime:	Lois, qui nous défendez lis plaisirs innocents, Laissez-nous l'esprit libre, ou nous ôtés les sens, L'objet de mon désir quelque péat servir d'excuse, Il arrache de force un cœur qu'on accuse résuse, La raison et la crainte ont beau le secourir, L'espérance le flatte en le faisant mourir, Et trouvant que l'amour est fille de l'estime, Tout ce qu'on ç rend était semble légitime:
Vne conqueſte ai ſée eſt digne de mépris:	Une conquête ai zée est digne de mépris:
La peine eſt vne amorce aux genereux eſprits;	La peine est assez amorce aux généreux esprits;
Et quoy qu’vn ſot diſcours en pareille aduanturs, Oppoſe aux loix d'Amour celles de la Naiure, Il les faut mépriſer pour eſtre poſſeſſeur, Si i’aime vne Couſine, vn Dieu cherit ſa ſœur.	Et quoi qu’un sot discours en pareille aduanturs, Oppose aux lois d'Amour celles de la Naiure, Il les faut mépriser pour être possesseur, Si j'aime un Cousine, un Dieu chérit sa sœur.
Ouy, puiſqu’amour li veut, la ſonienes eſt dennée, Allumons ſon flambeau par celuy d’Hrmenée.	Oui, puisqu'amour li veut, la sonienes est dennée, Allumons son flambeau par celui d'Hrmenée.
Laiſſons cuëillir la fleur, pour recuëillir le fruit, Et tirons cent bons iours d’vne mauuaiſe nais, Orante ſira mienne eſtant à ce Florange, Les deffauts d’vn mary la porteront au change.	Laissons cuëillir la fleur, pour recueillir le fruit, Et tirons cent bons jours d'une mauvaise nais, Orante sira mienne étant à ce Florange, Les défauts d'un mari la porteront au change.
Et didans ſon eſprit toutes ſis actions, Pourront ſeruir de luſtre à mes perfections, C’eſt de là que mon bien prendra ſon origins;	Et didans son esprit toutes sis actions, Pourront servir de lustre à mes perfections, C'est de là que mon bien prendra son origins;
Ie baſtis ſur l’eſpoir de ſa mauuaiſe mine, L’entretien d’vn brutal eſt capable d’aider, Au deſſein que i’ay pris de la perſuader, I’ay le vent fauorable, & i’apperçoy la rius, Pour poſſeder Orante, il faut que ie m'en prius, Le Ciel entend mes vœux, & mon bon-heur s’y lit, Mais, amour auic eux n’entre pas dans le lit.	Je bâtis sur l'espoir de sa mauvaise mine, L'entretien d'un brutal est capable d'aider, Au dessein que j'ai pris de la persuader, J'ai le vent favorable, et j'aperçois la rius, Pour posséder Orante, il faut que deux m'en prius, Le Ciel entend mes vœux, et mon bonheur s'y lit, Mais, amour avic eux n'entre pas dans le lit.
SCENE III.	SCÈNE III.
CLINDOR, NERINE.	CLINDOR, NERINE.
CLINDOR.	CLINDOR.
Rine, qu'a propus ie vous aſ rencontrée!	Rine, qu'a propus après vous as rencontrée!
NN Vous pouuez au Chaſteau me dõner libre entrée, Mon maiſtre vous en prie & l’Amour comme luj.	NN Vous pouvez au Château me domme libre entrée, Mon maître vous en prie et l'Amour comme luj.
Demande que vos ſoings l’aſſiſtent anjourd’huy.	Demande que vos soings l'assistent anjourd'hui.
NERINE.	NERINE.
Ha!	Ha!
fidelle Clindor, vn bon demon t’ameine, Si ton Maiſtre pâtit, Orante eſt bien en peine?	fidèle Clindor, un bon démon t'amène, Si ton Maître pâtre, Orante est bien en peine?
Florange la recherche, & ſa mert y couſent, Iuge par là des maux que ſon eſprit reſſint:	Florange la recherche, et sa mert y cousent, Juge par là des maux que son esprit ressint:
nanu que fait (pmnanant en teitt ſongue abſencs,	nanu que fait (pmnanant en teitt songue absencs,
CLINDOR.	CLINDOR.
Il defire la mort, il maudit ſa naiſſance, Il accuſe le ſort, il attaque les Cieux Et croit que pour pleurer Nature fit lis yeux.	Il désire la mort, il maudit sa naissance, Il accuse le sort, il attaque les Cieux Et croit que pour pleurer Nature fit lis yeux.
Son ame ſuit Orante, & n’a point d’autre idée, Son feu ne peut ſeuffrir celuy de Celidé:	Son âme suit Orante, et n'a point d'autre idée, Son feu ne peut seuffrir celui de Celidé:
, Il croit qu’auprés de l'œil, dont le ſien eſt eſpris, Vne Déeſſe meſme, eſt digne de meſpris.	, Il croit qu'auprès de l'œil, dont le sien est épris, Une Déesse igné, est digne de mépris.
Il rend les Bois teſmoins de ſon inquietude, Son vnique recours eſt en la ſolitude, C’eſt là que librement dans le mat qui u point, Il ſe plaint à l’ammr qui ne le quitte point, C’eſt là que ce grand Diru luy dicta les pensé.	Il rend les Bois témoins de son inquiétude, Son unique recours est en la solitude, C'est là que librement dans le mat qui u point, Il se plaint à l'ammr qui ne le quitte point, C'est là que ce grand Diru lui dicta les pensé.
s,	s,
Il luy baille vne lettre.	Il te baille était lettre.
Que garde ce pappier, que ſa main a tracées.	Que garde ce papier, que sa main a tracées.
Et qu’il adreſſe aux yeux qui luy font endurer, Vn mal ſi viotent qu’il ne ſçauroit durer.	Et qu'il adresse aux yeux qui était font endurer, Un mal si viotent qu'il ne saurait durer.
NERINE, Ma Maiſtreſſe auiourd’huy n’eſt point accompagnés, Sa fieure à ce matin a voulu la ſa gnée, Elle garde la chambre, où ie m’en vay courir, Mieux que le Medecin ie la puis ſecourir, Son remedt conſiſte au papier que ie porte, Dont ie vay r’animer ſon eſperance morte, Toy, fidille Clindor ſuü-moy dans le Chaſteas, Paſſe la baſſe-court, le nez dans le manteau Monte au grand eſcalier où ie m’en vais t’attindre.	NERINE, Ma Maîtresse aujourd'hui n'est point accompagnés, Sa fièvre à ce matin a voulu la sa g, Elle garde la chambre, où belle m'en vais courir, Mieux que le Médecin ie la puis secourir, Sonde remèdt consiste au papier que tu porte, Dont iegray ranimer son espérance morte, Toi, fidille Clindor sujet-moi dans le Chasteas, Passe la basse-court, le nez dans le manteau Te au grand escalier où mille m'en vais t'attindre.
CLINDOR.	CLINDOR.
I’oſe tout;	J'ose tout;
ie fau tout, pour ſeruis Iſimandye.	Elle fau tout, pour servis Isimandie.
SCENE IV.	SCÈNE IV.
LVCINDE, FLORANGE, PALINICE,	LUCINDE, FLORANGE, PALINICE,
LVCINDE.	LUCINDE.
JOus l'actuſez à tort, elle a plus de bonté, V Son cœur ne prend de loy que de ma volonté, Mon eſprit eſt fort doux, i’en diſpoſe abſoluë, Florange, elle eſt à vous, ſi i’y ſuis reſoluë Et puis qu’Ormin l'agrée, & Palinice encor, Quand vous auriez les ans que l’on donne à Neſtor.	JOus l'actusez à tort, elle a plus de bonté, VAlon cœur ne prend de loi que de ma volonté, Mon esprit est fort doux, j'en dispose absolue, Florange, elle est à vous, si j'y suis résolue Et puis qu'Ormin l'agrée, et Palinice encor, Quand vous auriez les ans que l'on donne à Nestor.
Quand plus de cert Hyuers horribles en tmpeſte Aurorent urnſe quunn enampe nogeſur voſtre teſſe;	Quand plus de cert Hivers horribles en tmpeste Aurorent urnse quunn enampe nogesur votre tesse;
Croyez (puis qu’il eſt vray) que i’aurou le peuuoir De la mittre en ves bras comme dans ſon deuoir.	Croyez (puis qu'il est vrai) que j'aurou le peuvoir De la mittre en vez bras comme dans son devoir.
FLORANGE.	FLORANGE.
Mon âge luy fait peur ſa triſteſſe m’eſtonne, Et ie plains la douleur que mon plaiſir luy donne, 1.	Mon âge avait fait peur sa tristesse m'étonne, Et tu plains la douleur que mon plaisir quelque donne, 1.
ne ia lrouut point fauorable à mis vœux.	ne ja louut point favorable à mis vœux.
L’or ne ſçauroit cacher l’argent de mes cheueux,	L'or ne saurait cacher l'argent de mes cheveux,
PALINICE.	PALINICE.
La foy de mon mary vous aſſeure la ſitnne.	La foi de mon mari vous assure la sitnne.
LVCINDE.	LUCINDE.
Puis que ie l'ay promis il faut que ie le tienne, On ne peut vous l’oſter, Orante eſt voſtre bien, Eſperez tout Florange, & ne craignez plus rion, Condamnez deſormais cette plainte au ſilence, Außi-toſt que ſon mil perdra ſa violence, Guariſſant la douleur par qui vous ſouſpinta, 2e Jpauraj biin ta meitre où vous ta deſitiz.	Puis que ie l'ai promis il faut que ainsi le tienne, On ne peut vous l'ôter, Orante est quelque bien, Espérez tout Florange, et ne craignez plus rion, Condamnez désormais cette plainte au silence, Aussi-tôt que son mil perdra sa violence, Guérissant la douleur par qui vous soupinta, 2e Jpauraj in ta me vous ta desitiz.
FLORANGE.	FLORANGE.
Ce diſcours me rauit n'en parlons plus, Madame, L’excez di ce plaiſir me deiobυνont l’ame.	Ce discours me ravit n'en parlons plus, Madame, L'excè s ce plaisir me deiobυνont l'âme.
Ie mourrois à vos jeux, & mon cœur a deſſein Ds prendre pour Tombeau l' ilbâtre de ſon ſein, Couronné de lauriers d'vat victoire inſigne Puis qu’il me faut meurir ie veux mourir en Cigne, Et chanter les beautez & vanter les appas Que ie trouue en ſes yeux, que ie gouſit au trépas,	Je mourrais à vos jeux, et mon cœur a dessein Ds prendre pour Tombeau l' ilbattre de son sein, Couronné de lauriers d'évat victoire insigne Puis qu'il me faut mûrir ie veux ai en Si, Et chanter les beautés et vanter les appas De son trouve en ses yeux, que sans goûit au trépas,
SCENE 9 V	SCÈNE 9 V
einue Elle eſt dans ſa chambre le bras en eſcharpe	einue Elle est dans sa chambre le bras en écharpe
STANCES.	STANCES.
Mour ie veux ſuiure l’enuie, A Qui me pouſſe à mourir, Et trouuer pour me ſeçourir, La fin de mes mal-heurs dans celle de ma vie:	Mourc ie veux suivre l'envie, A Qui me pousse à mourir, Et trouver pour me seçourir, La fin de mes malheurs dans celle de ma vie:
Mais puis qu’il me faut vn Tombeau Amour, fais au moins qu’il ſoit beau, Inuiſible Demon de flame, Qui cauſe mon tourment, Parois deſſus ce monument, Mais auſſi triomphãt, que tu l’es dãs mon am	Mais puis qu'il me faut un Tombeau Amour, fais au moins qu'il soit beau, Invisible Démon de flamme, Qui cause mon tourment, Parais dessus ce monument, Mais aussi triomphant, que tu l'es dans mon am
Puis que ie t’ay fait immortel, Prens mon Sepulchre pour Autel.	Puis que ici t'ai fait immortel, Prends mon Sépulcre pour Autel.
Pour éterniſer la memoire Des maux que i’ay ſoufferts, Peinds y bien mes feux & mes fers, Qui ſont les ſeuls tableaux qui font bien voir ta gloire:	Pour éterniser la mémoire Des maux que j'ai soufferts, Peinds y bien mes feux et mes fers, Qui sont les seuls tableaux qui font bien voir ta gloire:
Et fais y paroiſtre mon cœur, Deſſous les pieds de ſon vainqueur.	Et fais y paraître mon cœur, Dessous les pieds de son vainqueur.
Mais pour acheuer la ſtruêture, D’en ſi noble deſſein.	Mais pour achever la struêture, D'en si noble dessein.
Prends le traict qui m’ouurit le ſein, Et graue ces deux vers deſſus ma ſepulture:	Prends le trait qui m'ouvrit le sein, Et grave ces deux vers dessus ma sépulture:
Sa conſtance a cauſé ſa mort, Paſſe, va t’en, & plains ſon ſort.	Sa constance a causé sa mort, Passe, va -t-en, et plains son sort.
Ce n’eſt pas tout, fais qu’Iſimandre, En ſa paſle couleur, Y teſmoigne vn peu de douleur.	Ce n'est pas tout, fais qu'Isimandre, En sa pâle couleur, Y témoigne un peu de douleur.
Pour la perte d’vn bien qu’il n’aura pû deffẽdre;	Pour la perte d'un bien qu'il n'aura pu défendre;
