Suivant la Copie imprimée	Suivant la Copie imprimée
Je ſçay que ton Eſtat encore en ſa naiſſance Ne ſçauroit ſans la guerre affermir ſa puiſſance, Je ſçay qu’il doit s’accroiſtre, & que tes bõs deſtins Ne le borneront pas chez les peuples Latins, Que les Dieux t’ont promis l’Empire de la Terre, Et que tu n’en peux voir l’effet que par la guerre.	Je sais que ton État encore en sa naissance Ne saurait sans la guerre affermir sa puissance, Je sais qu'il doit s'accroître, et que tes bonze destins Ne le borneront pas chez les peuples Latins, Que les Dieux t'ont promis l'Empire de la Terre, Et que tu n'en peux voir l'effet que par la guerre.
Bien loin de m’oppoſer à cette noble ardeur Qui ſuit l’Arreſt des Dieux & court à ta grandeur, Je voudrois deſia voir tes troupes couronnées D’un pas victorieux franemir les Pyfenées.	Bien loin de m'opposer à cette noble ardeur Qui suit l'Arrêt des Dieux et court à ta grandeur, Je voudrais déjà voir tes troupes couronnées D'un pas victorieux franémir les Pyfenées.
Va juſque en l’Orient pouſſer tes bataillons, Va ſur les bords du Rhin planter tes pavillons, Fais trembler ſous tes pas les colomnes d’Hercule, Mais reſpecte une ville à qui tu dois Romule:	Va jusque en l'Orient pousser tes bataillons, Va sur les bords du Rhin planter tes pavillons, Fais trembler sous tes pas les colomnes d'Hercule, Mais respecte une ville à qui tu dois Romule:
Ingrate, ſouviens-toy que du ſang de ſes Rois Tu tiens ton nom, tes murs, & tes premieres loix.	Ingrate, souviens-toi que du sang de ses Rois Tu tiens ton nom, tes murs, et tes premières lois.
Albe eſt ton origine, arreſte, & conſidere Que tu portes le fer dans le ſein de ta mere;	Albe est ton origine, arrête, et considère Que tu portes le fer dans le sein de ta mère;
Tourne ailleurs les efforts de tes bras triomphans, Sa joye éclatera dans l’heur de ſes enfans, Et ſe laiſſant ravir à l’amour maternelle, Ses vœux ſerõt pour toy, ſi tu n’es plus contre elle.	Tourne ailleurs les efforts de tes bras triomphants, Sa joie éclatera dans l'heur de ses enfants, Et se laissant ravir à l'amour maternelle, Ses vœux seront pour toi, si tu n'es plus contre elle.
ULIE.	ULIE.
Ce diſcours me ſurprend, veu que depuis le temps Qu’on a contre ſon peuple armé nos combatans, Je vous ay veu pour elle autant d’indifference Que ſi d’un ſang Romain vous aviez pris naiſſance.	Ce discours me surprend, vu que depuis le temps Qu'on a contre son peuple armé nos combattants, Je vous ai vu pour elle autant d'indifférence Que si d'un sang Romain vous aviez pris naissance.
J’admirois la vertu qui reduiſoit en vous Vos plus chers intereſts à ceux de voſtre époux, Et je vous conſolois au milieu de vos plaintes, Cõme ſi noſtre Rome euſt fait toutes vos craintes.	J'admirais la vertu qui réduisait en vous Vos plus chers intérêts à ceux de votre époux, Et je vous consolais au milieu de vos plaintes, Comme si notre Rome eût fait toutes vos craintes.
SAINE.	SAINE.
Tant qu’on ne s’eſt choqué qu’en de legers cõbats, Trop foibles pour jetter un des partis à bas, Tant qu’un eſpoir de paix a pû flater ma peine, Oüy, j’ay fait vanité d’eſtre toute Romaine.	Tant qu'on ne s'est choqué qu'en de légers combattrez, Trop faibles pour jeter un des partis à bas, Tant qu'un espoir de paix a pu flatter ma peine, Oui, j'ai fait vanité d'être toute Romaine.
Si j’ay veu Rome heureuſe avec quelque regret, Soudain j’ay condamné ce mouvemet ſecret;	Si j'ai vu Rome heureuse avec quelque regret, Soudain j'ai condamné ce mouvement secret;
Et ſi j’ay reſſenty dans ſes deſtins contraires Quelque maligne joye en faveur de mes freres, Soudain pour l’étouffer rappellant ma raiſon, J’ay pleuré quãd la gloire entroit dãs leur fhaiſon.	Et si j'ai ressenti dans ses destins contraires Quelque maligne joie en faveur de mes frères, Soudain pour l'étouffer rappelant ma raison, J'ai pleuré quand la gloire entrait dans leur fhaison.
Mais aujourd’huy qu’il faut que l’une ou l’autre tonide, Qu’Albe deviẽne eſclave, ou que Rome ſuccombe, Et qu’aprés la bataille il ne demeure plus Ny d’obſtacle aux vainqueurs, ny d’eſpoir aux vainJ’aurois pour mon païs une cruelle haine, (cus, Si je pouvois encore eſtre toute Romaine, Et ſi je demandois voſtre triomphe aux Dieux Au prix de tant de ſang qui m’eſt ſi precieux.	Mais aujourd'hui qu'il faut que l'une ou l'autre tonide, Qu'Albe devienne esclave, ou que Rome succombe, Et qu'après la bataille il ne demeure plus Ni d'obstacle aux vainqueurs, ni d'espoir aux vainqu'aurais pour mon pays une cruelle haine, (cus, Si je pouvais encore être toute Romaine, Et si je demandais votre triomphe aux Dieux Au prix de tant de sang qui m'est si précieux.
Je m’attache un peu moins aux intereſts d’un homme, (Rome, Je ne ſuis point pour Albe, & ne ſuis plus pour Je crains pour l’unc & l’autre en ce dernier effort, Et ſeray du party qu’affligera le Sort.	Je m'attache un peu moins aux intérêts d'un homme, (Rome, Je ne suis point pour Albe, et ne suis plus pour Je crains pour l'unc et l'autre en ce dernier effort, Et serai du parti qu'affligera le Sort.
Eſgale à tous les deux juſques à la victoire, Je prendray part aux maux ſans en prendre à la gloire, Et je garde au milieu de tant d’aſpres rigueurs Mes larmes aux vaincus, & ma haine aux vainqueurs.	Égale à tous les deux jusques à la victoire, Je prendrai part aux maux sans en prendre à la gloire, Et je garde au milieu de tant d'âpres rigueurs Mes larmes aux vaincus, et ma haine aux vainqueurs.
JULIE.	JULIE.
Qu’on voit naiſtre ſouvent de pareilles traverſes En des eſprits divers des paſſions diverſes, Et qu’à nos yeux Camille agit bien autrement!	Qu'on voit naître souvent de pareilles traverses En des esprits divers des passions diverses, Et qu'à nos yeux Camille agit bien autrement!
Son frere eſt voſtre époux, le voſtre eſt ſon amant, Mais elle voit d’un œil bien different du voſtre, Son ſang dãs une armée, & ſon amour dans l’autre.	Son frère est votre époux, le vôtre est son amant, Mais elle voit d'un œil bien différent du vôtre, Son sang dans une armée, et son amour dans l'autre.
Lors que vous cõſerviez un eſprit tout Romain, Le ſien irreſolu, le ſien tout incertain, De la moindre meſlée apprehendoit l’orage, De tous les deux partis deteſtoit l’avantage, Au malheur des vaincus donnoit touſiours ſes plaura 3.	Lors que vous cõserviez un esprit tout Romain, Le sien irrésolu, le sien tout incertain, De la moindre mêlée appréhendait l'orage, De tous les deux partis détestait l'avantage, Au malheur des vaincus donnait toujours ses plaura 3.
Et nourriſſoit ainſi d’eternelles douleurs.	Et nourrissait ainsi d'éternelles douleurs.
Mais hier quand elle ſçeut qu’on avoit pris journée, Et qu’enfin la bataille alloit eſtre donnée, Une ſoudaine joye éclatant ſur ſon front.	Mais hier quand elle sçeut qu'on avait pris journée, Et qu'enfin la bataille allait été donnée, Une soudaine joie éclatant sur son front.
SABINE.	SABINE.
Ah!	Ah!
que je crains, Julie, un changement ſi prompt!	que je crains, Julie, un changement si prompt!
Hier dans ſa belle humeur elle entretint Valere, Pour ce rival ſans doute elle quit te mon frere, Son eſprit ébranlé par les objets preſens Ne trouve point d’abſent aimable aprés deux ans.	Hier dans sa belle humeur elle entretint Valère, Pour ce rival sans doute elle quit te mon frère, Son esprit ébranlé par les objets presens Ne trouve point d'absent aimable après deux ans.
Mais excuſez l’ardeur d'une am our hareinelle, Le ſoin que j’ay de luy me fait craindre tout d’elle, Je forme des ſoupçons d’un trop leger ſujet, Prés d’un jour ſi funeſte on change peu d’objet, Les ames rarement ſont de nouveau bleſſées, Et dans un ſi grand trouble on a d’autres penſées;	Mais excusez l'ardeur d'une am our hareinelle, Le soin que j'ai de Les me fait craindre tout d'elle, Je forme des soupçons d'un trop léger sujet, Prés d'un jour si funeste on change peu d'objet, Les âmes rarement sont de nouveau blessées, Et dans un si grand trouble on a d'autres pensées;
hiais on n’a pas auſſi de ſi doux entretiens, Ny de contentemens qui ſoient pareils aux ſiens.	hiais on n'a pas aussi de si doux entretiens, Ni de contentements qui soient pareils aux siens.
ULIE.	ULIE.
Les cauſes, comme à vous, m’en ſemblent fort obſcures, Je ne me ſatisfais d’aucunes conjectures.	Les causes, comme à vous, m'en semblent fort obscures, Je ne me satisfais d'aucunes conjectures.
4 C’eſt aſſez de conſtance en un ſi grand danger Que de le voir, l’attendre, & ne point s’affliger;	4 C'est assez de constance en un si grand danger Que de le voir, l'attendre, et ne point s'affliger;
Mais certes c’en eſt trop d’aller juſqu’à la joye.	Mais certes c'en est trop d'aller jusqu'à la joie.
SABINE.	SABINE.
Voyez qu’un bon Genie à propos nous l’envoye.	Voyez qu'un bon Génie à propos nous l'envoie.
Eſſayez ſur ce point à la faire parler, Elle vous ayme aſſez pour ne vous rien celer, Ie vous laiſſe.	Essayez sur ce point à la faire parler, Elle vous aime assez pour ne vous rien celer, Je vous laisse.
Ma ſœur, entretenez Julie, J’ay honte de montrer tant de melancolie, Et mon cœur accablé de mille déplaiſirs, Cherche la ſolitude à cacher ſes ſoûpirs.	Ma sœur, entretenez Julie, J'ai honte de montrer tant de mélancolie, Et mon cœur accablé de mille déplaisirs, Cherche la solitude à cacher ses soupirs.
SCENE II.	SCÈNE II.
CAMILLE, JULIE.	CAMILLE, JULIE.
CAMILLE.	CAMILLE.
U’elle a tort de vouloir que je vous entretienne !	QU'elle a tort de vouloir que je vous entretienne !
Croit-elle ma douleur moins vive que la ſienne, Et que plus inſenſible à de ſi grands malheuts, A mes triſtes diſcours je meſle moins de pleurs?	Croit-elle ma douleur moins vive que la sienne, Et que plus insensible à de si grands malheuts, À mes tristes discours je mêle moins de pleurs?
De pareilles frayeurs mon ame eſt alarmée, Comme elle je perdray dans l’une & l’autre armée, Je verray mon amant, mon plus unique bien, Mourir pour ſon païs, ou détruire le mien;	De pareilles frayeurs mon âme est alarmée, Comme elle je perdrai dans l'une et l'autre armée, Je verrai mon amant, mon plus unique bien, Mourir pour son pays, ou détruire le mien;
Et cet objet d’amour devenir pour ma peine Digne de mes ſoûpirs, ou digne de ma haine.	Et cet objet d'amour devenir pour ma peine Digne de mes soupirs, ou digne de ma haine.
Helas!	Hélas!
JULIE.	JULIE.
Elle eſt pourtant plus à plaindre que vous, On peut changer d’amant, mais non changer d’époux, oubliez Curiace, & recevez Valere, Vous ne tremblerez plus pour le party contraire, Vous ſerez toute noſtre, & voſtre eſprit remis N’aura plus rien à perdre au camp des ennemis.	Elle est pourtant plus à plaindre que vous, On peut changer d'amant, mais non changer d'époux, oubliez Curiace, et recevez Valère, Vous ne tremblerez plus pour le parti contraire, Vous serez toute notre, et votre esprit remis N'aura plus rien à perdre au camp des ennemis.
CAMILLE, Donnez-moy des cõſeils qui ſoient plus legitimes, Et plaignez mes malheurs ſans m’ordonnner des crimes.	CAMILLE, Donnez-moi des conseils qui soient plus légitimes, Et plaignez mes malheurs sans m'ordonner des crimes.
Quoy qu’à peine à mes maux je puiſſe reſiſter, J’ayme mieux les ſouffrir, que de les meriter.	Quoi qu'à peine à mes maux je puisse résister, J'aime mieux les souffrir, que de les mériter.
ULIE.	ULIE.
Qnoy?	Quoi?
vous appellez crime un change raiſonnable?	Vous appelez crime un change raisonnable?
CEMIDSL.	CEMIDSL.
Quoy?	Quoi?
le manque de foy vous ſemble pardonnable?	le manque de foi vous semble pardonnable?
OLIE.	OLIE.
Envers un ennemy qui peut nous obliger?	Envers un ennemi qui peut nous obliger?
CAMILLE.	CAMILLE.
D’un ſerment ſolemnel qui peut nous dégager?	D'un serment solennel qui peut nous dégager?
ULIE.	ULIE.
Vous déguiſez en vain une choſe trop claire, Je vous vis encor hier entretenir Valere, Et l’accueil gracieux qu’il recevoit de vous Luy permet de nourrir un eſpoir aſſez doux.	Vous déguisez en vain une chose trop claire, Je vous vis encor hier entretenir Vale, Et l'accueil grâce il recevoit de vous Lui permet de nourrir un espoir assez doux.
CAMILLE.	CAMILLE.
Si je l’entretins hier & luy fis bon viſage, It cir mhagmeD rien qu’à ſon deſavantage, De mon contentement un autre eſtoit l’objet;	Si je l'entretins hier et ainsi fis bon visage, It cir mhagèmeD rien qu'à son désavantage, De mon contentement un autre était l'objet;
Mais pour ſortir d’erreur ſçachez-en le ſujet, Je garde à Curiace un amitié trop pure, Pour ſouffrir plus long-temps qu’on m’eſtime parjure.	Mais pour sortir d'erreur sachez-en le sujet, Je garde à Curiace un amitié trop pure, Pour souffrir plus longtemps qu'on m'estime parjure.
Et comme le ſuccez paſſoit mon eſperance, J’abandonnay mon ame à des raviſſemens Qui paſſoient les tranſports des plus heureux amãs.	Et comme le succès passait mon espérance, J'abandonnai mon âme à des ravissements Qui passaient les transports des plus heureux amants.
Il vous ſouvient qu’à peine on voyoit de ſa ſœur Par un heureux Hymen mon frere poſſeſſeur, Quand pour comble de joye il obtint de mon pere Que de ſes chaſtes feux je ſerois le ſalaire.	Il vous souvient qu'à peine on voyait de sa sœur Par un heureux Hymen mon frère possesseur, Quand pour comble de joie il obtint de mon père Que de ses chastes feux je serais le salaire.
Ce jour nous fut propice & funeſte à la fois, Uniſſant nos maiſons il deſ-unit nos Rois, Un meſme inſtant conclud noſtre Hymen, & la guerre, Fit naiſtre noſtre eſpoir & le jetta par terre, Nous oſta tout ſi-toſt qu’il nous euſt tout promis, Et nous faiſant amants, il nous fit ennemis.	Ce jour nous fut propice et funeste à la fois, Unissant nos maisons il des-unit nos Rois, Un même instant conclu tôt Hymen, et la guerre, Fit naître nôtre espoir et le jeta par terre, Nous ôta tout sitôt qu'il nous eût tout promis, Et nous faisant amants, il nous fit ennemis.
Combien nos déplaiſirs parurent lors extrémes, Combien contre le Ciel il vomit de blaſphemes, Et combien de ruiſſeaux coulerent de mes yeux, Je ne vous le dis point, vous viſtes nos Adieux.	Combien nos déplaisirs parurent lors extrêmes, Combien contre le Ciel il vomit de blasphères, Et combien de ruisseaux coulèrent de mes yeux, Je ne vous le dis point, vous vit nos Adieux.
Vous avez veu depuis les troubles de mon ame, Vous ſçavez pour la paix quels vœux a faits ma flame, Et quels pleurs j’ay verſez à châque évenement Tantoſt pour mon païs, tantoſt pour mon amant.	Vous avez vu depuis les troubles de mon âme, Vous savez pour la paix quels vœux a faits ma flamme, Et quels pleurs j'a versez à châque événement Tantôt pour mon pays, tantôt pour mon amant.
Enfin mon deſeſpoir, parmy ces longs obſtacles, M’a fait avoir recours à la voix des Oracles;	Enfin mon désespoir, parmi ces longs obstacles, M'a fait avoir recours à la voix des Oracles;
Eſcoutez ſi celuy qui me fut hier rendu Eut droit de raſſeurer mon eſprit éperdu.	Écoutez si celui qui me fut hier rendu Eut droit de rassurer mon esprit éperdu.
Ce Grec ſi renommé qui depuis tant d’années Au pied de l’Aventin prédit nos Deſtinées, Luy qu’Apollon jamais n’a fait parler à faux, Me promit par ces Vers la fin de mes travaux.	Ce Grec si renommé qui depuis tant d'années Au pied de l'Aventin prédit nos Destinées, Lui qu'Apollon jamais n'a fait parler à faux, Me promit par ces Vers la fin de mes travaux.
Albe & Rome demain prendont une autre face, Tes vœux ſont exaucez, elles auront la Paix, Et tu ſeras unie avec ton Curiace, Sans qu’aucun mauvais ſort t’en ſepare jamais.	Albe et Rome demain prendont une autre face, Tes vœux sont exaucés, elles auront la Paix, Et tu seras unie avec ton Curiace, Sans qu'aucun mauvais sort t'en sépare jamais.
Je pris ſur cet Oracle une entiere aſſeurance, Il me parla d’amour ſans me donner d’ennuy, Je ne m’aperçeus pas que je parlois à luy, Je ne luy pûs montrer de mépris, ny de glace.	Je pris sur cet Oracle une entière assurance, Il me parla d'amour sans me donner d'ennui, Je ne m'aperçus pas que je parlais à Madame, Ne pus montrer de montrer de mépris, ni de glace.
Tout ce que je voyois me ſembloit Curiace, Tout ce qu’on me diſoit me parloit de ſes feux.	Tout ce que je voyais me semblait Curiace, Tout ce qu'on me disait me parlait de ses feux.
Tout ce que je diſois l’aſſeuroit de mes vœux.	Tout ce que je disais l'assurait de mes vœux.
Le combat general aujourd’huy ſe hazarde, l’en ſçeus hier la nouvelle, & je n’y pris pas garde, Mon eſprit rejettoit ces funeſtes objets Charmé des doux penſers d’Hymen & de la Paix.	Le combat général aujourd'hui se hasarde, l'en su hier la nouvelle, et je n'y pris pas garde, Mon esprit rejettait ces funestes objets Charmé des doux pensers d'Hymen et de la Paix.
La nuit a diſſipé des erreurs ſi charmantes, Mille ſonges affreux, mille images ſanglantes, Ou plûtoſt mille amas de carnage & d’horreur M’ont arraché ma joye & rendu ma terreur.	La nuit a dissipé des erreurs si charmantes, Mille songes affreux, mille images sanglantes, Ou plutôt mille amas de carnage et d'horreur M'ont arraché ma joie et rendu ma terreur.
J’ay veu du ſang, des morts, & n’ay riẽ veu de ſuite, Un ſpectre en paroiſſant prenoit loudain la fuite, Ils s’effaçoient l’un l’autre, & châque illuſion Redoubloit mon effroy par ſa confuſion.	J'ai vu du sang, des morts, et n'ai rien vu de suite, Un spectre en paraissant prenait loudain la fuite, Ils s'effaçaient l'un l'autre, et châque illusion Rédoublait mon effroi par sa confusion.
ULIE.	ULIE.
C’eſt en contraire ſens qu’un ſonge s’interprete.	C'est en contraire sens qu'un songe s'interprète.
CAMILEE.	CAMILE.
Je le dois croire ainſi, puiſque je le ſouhaite, Mais je me trouve enfin maigre tous mes ſouhaits Au jour d’une bataille, & non pas d’une paix.	Je le dois croire ainsi, puisque je le souhaite, Mais je me trouve enfin maigre tous mes souhaits Au jour d'une bataille, et non pas d'une paix.
ULIE.	ULIE.
Par-là finit la guerre, & la paix luy ſuccede.	Par-là finit la guerre, et la paix Seigneur succède.
CAMILLE, Dure à jamais le mal s’il y faut ce remede !	CAMILLE, Dure à jamais le mal s'il y faut ce remède !
Soit que Rome y ſuccombe, ou Albe ait le deſſous, Cher amant, n’attens plus d’eſtre un jour mon époux, Jamais, jamais, ce nom ne ſera pour un homme Qui ſoit ou le vainqueur, ou l’eſclave de Rome.	Soit que Rome y succombe, ou Albe ait le dessous, Cher amant, n'attends plus d'être un jour mon époux, Jamais, jamais, ce nom ne sera pour un homme Qui soit ou le vainqueur, ou l'esclave de Rome.
Mais quel objet nouveau ſe preſente en ces lieux?	Mais quel objet nouveau se présente en ces lieux?
Eſt-ce toy, Curiace?	Est-ce toi, Curiace?
en croiray-je mes yeux?	en croirai-je mes yeux?
SCE	SCE
SCENE III.	SCÈNE III.
CURIACE, CAMTLLE, JOLIE.	CURICE, CAMTLE, JOLIE.
N CURIACE.	 NURICE.
’En doutez point, Camille, & revoyez un homme Qui n’eſt ny le vainqueur, ny l’eſclave de Rome.	Çà Le doutez point, Camille, et revoyez un homme Qui n'est ni le vainqueur, notre l'esclave de Rome.
Ceſſez d’apprehender de voir rougir mes mains Du poids honteux des fers, ou du ſang des Romains.	Cessez d'appréhender de voir rougir mes mains Du poids honteux des fers, ou du sang des Romains.
’ay crû que vous aimiez aſſez Rome, & la gloire.	ais cru que vous aimiez assez Rome, et la gloire.
Pour mephermu enanne, ce nuis ma vetoire, Et comme également en cette extremité Je craignois la victoire, & la capitivité.	Pour mephermu enanne, ce nuis ma vétoire, Et comme également en cette extrémité Je craignais la victoire, et la capitivité.
CAMILLE.	CAMILLE.
Curiace, il ſuffit, je devine le reſte.	Curiace, il suffit, je devine le reste.
Tu fuis une bataille à tes vœux ſi funeſte, Et ton cœur tout à moy, pour ne me perdre pas, Dérobe à ton païs le ſecours de ton bras.	Tu fuis une bataille à tes vœux si funeste, Et ton cœur tout à moi, pour ne me perdre pas, Dérobe à ton pays le secours de ton bras.
Qu’un autre conſidere icy ta renommée, Et te blâme, s’il veut, de m’avoir trop aimée;	Qu'un autre considère ici ta renommée, Et te blâme, s'il veut, de m'avoir trop aimée;
Ce n’eſt point à Camille à t’en meſeſtimer, Plus ton amour paroiſt, plus elle doit t’aimer, Et ſi tu dois beaucoup aux lieux qui t’ont veu naiſtre, Plus tu quittes pour moy, plus tu le fais paroiſtre.	Ce n'est point à Camille à t'en mésestimer, Plus ton amour paraît, plus elle doit t'aimer, Et si tu dois beaucoup aux lieux qui t'ont vu naître, Plus tu quittes pour moi, plus tu le fais paraître.
Mais as-tu veu mon pere, & peut-il endurer Qu’aiſii dans là maijon tu t’oies retirer?	Mais as-tu vu mon père, et peut-il endurer Qu'aii dans là maijon tu t'oies retirer?
Ne prefere-t’il point l’Eſtat à ſa famille?	Ne préfère-t-il point l'État à sa famille?
Ne regarde-t’il point Rome plus que ſa fille?	Ne regarde-t-il point Rome plus que sa fille?
Enfin noſtre bonheur eſt-il bien affermy?	Enfin notre bonheur est-il bien affermi?
T’a-t’il veu comme gendre, ou bien cõme ennemy?	T'a-t-il vu comme gendre, ou bien commme ennemi?
CURIACE.	CURICE.
Il m’a veu comme gendre, avec une tendreſſe Qui témoignoit aſſez une entiere allegreſſe, Mais il ne m’a point veu par une trahiſon Indigne de l’honneur d’entrer dans ſa maiſon.	Il m'a vu comme gendre, avec une tendresse Qui témoignait assez une entière allégresse, Mais il ne m'a point vu par une trahison Indigne de l'honneur d'entrer dans sa maison.
Je n’abandonne point l’intereſt de ma ville, l’'ayme encor mon honneur en adorant Camille;	Je n'abandonne point l'intérêt de ma ville, l'aime encor mon honneur en adorant Camille;
Tant qu’a duré la guerre on m’a veu conſtamment Auſſi bon citoyen que veritable amant, D'Albe avec mon amour j’accordois la querelle, Je ſoûpirois pour vous en combatant pour elle;	Tant qu'a duré la guerre on m'a vu constamment Aussi bon citoyen que véritable amant, D'Albe avec mon amour j'accordais la querelle, Je soupirais pour vous en combattant pour elle;
Et s’il faloit encor que l’on en vinſt aux coups, Je combatrois pour elle en ſoûpirant pour vous.	Et s'il fallait encor que l'on en vinst aux coups, Je combatrais pour elle en soupirant pour vous.
Oüy, malgré les deſirs de mon ame charmée, Si la guerre duroit, je ſerois dans l’armée :	Oui, malgré les désirs de mon âme charmée, Si la guerre durait, je serais dans l'armée :
C’eſt la Paix qui chez vous me dõne un libre accez, Le para à qui nos feux doivent ce beau ſuccez.	C'est la Paix qui chez vous me dõne un libre accès, Le para à qui nos feux doivent ce beau succès.
CAMILLE.	CAMILLE.
La paix!	La paix!
& le moyen de croire un tel miracle?	et le moyen de croire un tel miracle?
ULIE.	ULIE.
Camille, pour le moins croyez-en voſtre Oracle, Et ſçachons pleinement par quels heureux effets L’heure d’une bataille à produit cette paix.	Camille, pour le moins croyez-en votre Oracle, Et sachons pleinement par quels heureux effets L'heure d'une bataille à produit cette paix.
CURIACE.	CURICE.
L’auroit-on jamais crû!	L'aurait-on jamais cru!
Deſia les deux Armées D’une égale chaleur au combat animées Se menaçoient des yeux, & marchant fierement, N’attendoient pour donner que le commãdement, Quand noſtre Dictateur devant les rangs s’avance, Demande à voſtre Prince un moment de ſilence, Et l’ayant obtenu, Que faiſons-nous, Romains, Dit-il, & quel Démon nous fait venir aux mains?	Déjà les deux Armées D'une égale chaleur au combat animées Se menaçaient des yeux, et marchant fièrement, N'attendaient pour donner que le commandement, Quand notre Dictateur devant les rangs s'avance, Demande à votre Prince un moment de silence, Et l'ayant obtenu, Que faisons-nous, Romains, Dit-il, et quel Démon nous fait venir aux mains?
