PRIVILEGE DU ROY.	PRIVILÈGE DU ROI.
Le Le grand Titre de ROY n'eſt que ſa moindre rloire, Il eſt encor plus grand par ſes Travaux Guerriers;	Le Le grand Titre de ROY n'est que sa moindre rloire, Il est encor plus grand par ses Travaux Guerriers;
Et ſa propre Valeur a cüeilly les Lauriers Dont il eſt couronné des mains de la Victoire.	Et sa propre Valeur a cueilli les Lauriers Dont il est couronné des mains de la Victoire.
Suivez la noble ardeur Qun v'ou inſpire;	Suivez la noble ardeur Qun v'ou inspire;
Tout ce qu’on void dans ſon Empire	Tout ce qu'on voit dans son Empire
Elpomene qui preſide à la Tragedie, IVI & Euterpe qui a inventé l’Armonie paſtorale s’avancent ſur deux nuages.	Élpomène qui préside à la Tragédie, IVI et Euterpe qui a inventé l'Armonie pastorale s'avancent sur deux nuages.
Melpo-Machines mene paroiſt au milieu de pluſieurs Trophées d’armes;	Melpo-Machines mène paraît au milieu de plusieurs Trophées d'armes;
& Euterpe environnée de Feſtons d’Euterpe.	et Euterpe environnée de Festons d'Euterpe.
& de Couronnes de fleurs.	et de Couronnes de fleurs.
Elles ſont precedées de deux Symphonies oppoſées, dont l’une eſt tres-forte & l’autre extrémement douce, & qui forment une eſpece de combat, tandis que les deux Muſes viennent ſe placer aux deux côtez de Polymnie pour la prier d’embellir les Divertiſſemens qu’Elles veulent preparer.	Elles sont précédées de deux Symphonies opposées, dont l'une est très-forte et l'autre extrêmement douce, et qui forment une espèce de combat, tandis que les deux Muses viennent se placer aux deux côtés de Polymnie pour la prier d'embellir les Divertissements qu'Elles veulent préparer.
JoigneZ à mes chants magnifiques La pompe de vos ornemens;	Joignez à mes chants magnifiques La pompe de vos ornements;
UTERPE.	OUTERPE.
joignez à mes concers ruſtiques Vos agréments Les plus charmants.	joignez à mes concers rustiques Vos agréments Les plus charmants.
MEDTOMENE.	MÉDTOMENE.
Voſtre ſecours m’eſt neceſſaire, Je cherche à divertir le plus Auguſte Roy Qui meritât jamais de tenir ſous ſa Loy Tout ce que le Soleil éclaire.	Votre secours m'est nécessaire, Je cherche à divertir le plus Auguste Roi Qui méritât jamais de tenir sous sa Loi Tout ce que le Soleil éclaire.
LES DEUX MUSES ENSEMBLE.	LES DEUX MUSES ENSEMBLE.
C’eſt à moy, C’eſt à moy, De preienure à luy plaire.	C'est à moi, C'est à moi, De preienure à Ma plaire.
MELPOMENE.	MELPOMENE.
C’est moy dont la voix éclattante A droit de celebrer les Exploits les plus grands;	C'est moi dont la voix éclatante A droit de célébrer les Exploits les plus grands;
Les nobles recits que je chante Sont les plus dignes jeux des fameux Conquerans,	Les nobles récits que je chante Sont les plus dignes jeux des fameux Conquérants,
EUTERPE.	EUTERPE.
C’eſt un doux amuſemin Que d’aimables chanſonnettes;	C'est un doux amusemin Que d'aimables chansonnettes;
Les douceurs n'en ſont pas faites Pour les Bergers ſeulement.	Les douceurs n'en sont pas faites Pour les Bergers seulement.
Les tendres amourettes Que l’on chante à l’ombre des Bois Sur les Muſettes Ne ſont pas quelquefois Des jeux indignes des grands Roys.	Les tendres amourettes Que l'on chante à l'ombre des Bois Sur les Musettes Ne sont pas quelquefois Des jeux indignes des grands Rois.
POLYMNIE.	POLYMNIE.
It faut entre mes faurs que mon ſoin ſe partage:	It faut entre mes saurs que mon soin se partage:
Preparez tour à tour vos plus aimables jeux;	Préparez tour à tour vos plus aimables jeux;
Pour vous accorder je m'engage A vous ſeconder toutes deux.	Pour vous accorder je m'engage À vous seconder toutes deux.
EUTERPE.	EUTERPE.
Commencez de répondre à mon impatience.	Commencez de répondre à mon impatience.
MELPOMENE.	MELPOMENE.
nu premmuu quuejamuuuouce que j'entreprens.	nu premmuu quuejamuuuouce que j'entreprends.
OLYMNIE.	OLYMNIE.
TUminez tous vos differents.	TUminez tous vos différents.
Souffrez qu'en ſa faveur aujourd’huy je com-Polymnie mence, Je reſerve pour vous mes travaux les plugrands.	Souffrez qu'en sa faveur aujourd'hui je comPolimnie menée, Je réserve pour vous mes travaux les plugrands.
Les trois Muſes enſemble.	Les trois Muses ensemble.
Que noſtre accord eſt doux?	Que notre accord est doux?
Que tout ce qui nous ſuit s’accorde comme nous.	Que tout ce qui nous suit s'accorde comme nous.
Es Heros, des Paſtres, & des Ouvriers D des Arts qui ſervent aux Spectacles, obeiſſent aux ordres des Muſes.	Es Héros, des Pastres, et des Ouvriers D des Arts qui servent aux Spectacles, obéissent aux ordres des Muses.
Les Heros font une maniere de Combat avec leurs armes, les Paſtres joüent avec leurs baſtons, les Ouvriers travaillent aux Decorations de la Paſtorale que I’on prepare, & accordent le bruit de leurs Marteaux, Scies & Rabots, avec l’armonie des Violons & des Hautboits, & tous enſemble loimem la leconde Eltiee.	Les Héros font une manière de Combat avec leurs armes, les Pastres jouent avec leurs bâtons, les Ouvriers travaillent aux Décorations de la Pastorale que J'on prépare, et accordent le bruit de leurs Marteaux, Scies et Rabots, avec l'armonie des Violons et des Hautboits, et tous ensemble loimem la leconde Eltiee.
SECONDE ENTRE’E.	SECONDE ENTRE'E.
Quatre Heros.	Quatre Héros.
Quatre Paſtres, & quatre Ouvriers.	Quatre Pastres, et quatre Ouvriers.
„cr oooOCOnOSO	„cr ooOCOnOSO
T Oute la Troupe qui avoit commencé de chanter d’une maniere comique avant l’arrivée des trois Muſes, ſe ſentant animée par leur preſence, tepond a leurs chants par des Chœurs.	 Toute la Troupe qui avait commencé de chanter d'une manière comique avant l'arrivée des trois Muses, se sentant animée par leur présence, tepond à leurs chants par des Chœurs.
Les trois Muſes enſemble.	Les trois Muses ensemble.
Joignons nos ſoins & nos voix Pour plaire au plus grand des Roys.	Joignons nos soins et nos voix Pour plaire au plus grand des Rois.
Les Chœurs repetent.	Les Chœurs répètent.
Joignons nos ſoins & nos voix Pour plaire au plus grand des Roys.	Joignons nos soins et nos voix Pour plaire au plus grand des Rois.
MELPOMENE.	MELPOMENE.
nantons la gloire de ſes Armes.	nantons la gloire de ses Armes.
Un Chœur repete le meſme Vers.	Un Chœur répète le même Vers.
LOIERIE.	LOIÈRIE.
Chantons la douceur de ſes Loix.	Chantons la douceur de ses Lois.
Un Chœur repete le meſme Vers.	Un Chœur répète le même Vers.
POLYMNIE.	POLYMNIE.
Faiſons tout retentir du bruit de ſes Exploits.	Faisons tout retentir du bruit de ses Exploits.
Tous les Chœurs répondent.	Tous les Chœurs répondent.
MELPOMENE.	MELPOMENE.
Formons des concers pleins de charmes.	Formons des concers pleins de charmes.
EUTERPE.	EUTERPE.
nuijome tuttuuioueo mhautbois.	nuijome tuttuuioueo mhautbois.
Es Hautbois & les Muſettes répondent, D & cependant les Heros & les Paſtres rentrent ſur le Theatre avec les Ouvriers qui apportent des ornemens qu’ils ont faits pour ſervir à la Piece qui va commencer, & autour deſquels les Heros & les Paſtres dancent, tandis que les Muſes & tous les Chœurs continuënt leurs chants.	Es Hautbois et les Musettes répondent, D et cependant les Heros et les Pastres rentrent sur le Théâtre avec les Ouvriers qui apportent des ornements qu'ils ont faits pour servir à la Pièce qui va commencer, et autour desquels les Héros et les Pastres dancent, tandis que les Muses et tous les Chœurs continuënt leurs chants.
Ce qui forme un jeu concerté des Muſes qui chantent dans leurs Machines au milieu des Nuages, de la Troupe qui leur repond, placée dans des Balcons, & des Heros, Paſtres, & Ouvriers, qui dancent ſur le Theatre.	Ce qui forme un jeu concerté des Muses qui chantent dans leurs Machines au milieu des Nuages, de la Troupe qui leur répond, placée dans des Balcons, et des Héros, Pastres, et Ouvriers, qui dancent sur le Théâtre.
Tous enſemble.	Tous ensemble.
