LES CHASTES ET LOYALES AMOVRS DE IEIEIECDAV.	LES CHASTES ET LOYALES AMOURS DE IEIEIECDAV.
Si tes vers auec toy dans vne tombe enclos, Luy rauiſſent l’honneur d’admirer les merueilles De tant de trauaux & de veilles, Lors que tu ſeras en repos.	Si tes vers auec toi dans une tombe enclos, Lui ravissent l'honneur d'admirer les merveilles De tant de travaux et de veilles, Lors que tu seras en repos.
I’excuſe ton dépit quand ie me ramentoy Que la France eſt ingrate à ta Muſe immortelle, Et qu’apres auoir fait pour elle, Elle deueu jaue pourtey.	J'excuse ton dépit quand Elle me ramentoi Que la France est ingrate à ta Muse immortelle, Et qu'après avoir fait pour elle, Elle deveu jave pourtey.
Mais quoy?	Mais quoi?
l’homme prudent de malheurs combatu, Qui s’imagine rout moindre que ſon courage, Lors que la fortune l’outrage,	l'homme prudent de malheurs combattu, Qui s'imagine rout moindre que son courage, Lors que la fortune l'outrage,
Fait mieux éclater ſa vertu.	Fait mieux éclater sa vertu.
Ton exemple nous monſtre en ceſietle peruers, où l’ignorance regne, & le ſçauoir ſuccombe, Que c’eſt pour tapiſſer la tombe, Que nous deuons faire des vers.	Ton exemple nous montre en cesietle pervers, où l'ignorance règne, et le savoir succombe, Que c'est pour tapisser la tombe, Que nous devons faire des vers.
Autrement le merite où le plus grand labeur Sert de ioüet infame à l’auare fortune, d 1.	Autrement le mérite où le plus grand labeur Sert de jet infâme à l'avare fortune, d 1.
1.	1.
jun quilimpauune, Ave gaisne laman jajancure	jun quilimpauune, Ave gaisne laman jajancure
AVTRE.	AUTRE.
Nfin noſtre priere a vaincu ta conſtance, PEt le iuſte ſouhait des plus rares eſprits Doit à ceſte faueur tout ce que doit la France Au trauail glorieux de tes doctes eſcrits.	Nfin notre prière a vaincu ta constance, PEt le juste souhait des plus rares esprits Doit à cette faveur tout ce que doit la France Au travail glorieux de tes doctes écrits.
La belle Chariclee & ſon cher Theagene Du Theatre fameux ont reſonné les vers, Pour cueillir auec toy la moiſſon de leur peine Sur celuy que la gloire éleue en l’vniuers.	La belle Chariclée et son cher Théagène Du Théâtre fameux ont résonné les vers, Pour cueillir avec toi la moisson de leur peine Sur celui que la gloire élève en l'Hivers.
Vous dont le nom doit eſtre à iamais memorable, Apres tant de trauaux il vous faut conſoler, Car Hardy vous va rendre Apollon fauorable, Auquel vn Roy cruel vous voulut immoler.	Vous dont le nom doit être à jamais mémorable, Après tant de trauaux il vous faut consoler, Car Hardy vous va rendre Apollon favorable, Auquel Roi cruel vous voulut immoler.
Ce Dieu même eſt le chef du troupeau de Parnaſſe, Hardy ſon Preſtreſaint preſide à ſes autels, Et vous craignez en vain la mort qui vous menace, Puiſque par ſes écrits il vous fait immortels.	Ce Dieu même est le chef du troupeau de Parnasse, Hardi son Prestresaint presde à ses autels, Et vous craignez en vain la mort qui vous menace, Puisque par ses écrits il vous fait immortels.
Vous fuſtes malheureux en la courſe premier	Vous fûtes malheureux en la course premier
Suiuans l’aueuglement de fortune & d’Amour, Mais maintenant le Dieu qui donne la lumiere, Vous ſeruira de guide en vous donnant le iour.	Suivants l'aveuglement de fortune et d'Amour, Mais maintenant le Dieu qui donne la lumière, Vous servira de guide en vous donnant le jour.
Courez heureuſement ſu rla terre & ſur l’onde, Publier vôtre gloire aux climats étrangers, Vôtre amour ſeruira d’exemple à tout le monde, Qui fut touſiours plus ferme au milieu des dangers.	Courez heureusement su ria terre et sur l'onde, Publier votre gloire aux climats étrangers, Votre amour servira d'exemple à tout le monde, Qui fut toujours plus ferme au milieu des dangers.
Que ſi vous arriuez en la noire contrée, Qui voit rougir l’Aurore au point de ſon réueil, On vous éleuera des autels à l’entrée, Afin d’eſtre adoreZ ainſi que le Soleil.	Que si vous arrivez en la noire contrée, Qui voit rougir l'Aurore au point de son réueil, On vous éleuera des autels à l'entrée, Afin d'être adorez ainsi que le Soleil.
L’Amour inuiolable yrendra ſes Oracles, Ses pelerins deuors y porteront leurs vœux, Et les vers du Poëtey diront vos miracles, Arriuez d’áge en âge à nos derniers neueux.	L'Amour inviolable yrendra ses Oracles, Ses pèlerins dévors y porteront leurs vœux, Et les vers du Poètey diront vos miracles, Arrivez d'áge en âge à nos derniers neueux.
NASSE.	NASSE.
A MONSIEVR HARDY.	À MONSIEUR HARDY.
SONNET.	SONNET.
Rand demon du ſçauoir, vemne la plus hardie  Que la muſe honora de ſon affection, HARDY de qui l’eſprit a mis la tragedie Au ſouuerain degré de ſa perfection.	Rand démon du savoir, vemne la plus hardie Que la muse honora de son affection, HARDY de qui l'esprit a mis la tragédie Au souuerain degré de sa perfection.
La Scene n’eut iamais quoy que la Grece die, L’ornement qu’elle a pris de ton inuention, Sur qui Mars & l’Amour font voir leurperfidie, Et les actes ſanglans de leur ambition.	La Scène n'eut jamais quoi que la Grèce die, L'ornement qu'elle a pris de ton invention, Sur qui Mars et l'Amour font voir leurperfidie, Et les actes sanglants de leur ambition.
Ta diuine fureur qui n’a point de pareille Remplit l’ame des Dieux, & nos cœurs de merueille, Les Muſes à ta gloire erigent des autels.	Ta divine fureur qui n'a point de pareille Remplit l'âme des Dieux, et nos cœurs de merveille, Les Muses à ta gloire érigent des autels.
Tu ſerois eſtimé Dieu de la Poëſie, It Utoit ce rang d’honneur où nôtre fantaiſié Met encor Apollon parmy les immortels.	Tu serais estimé Dieu de la Poésie, It Utait ce rang d'honneur où notre fantaisié Met encor Apollon parmi les immortels.
A.	A.
DVBRETON.	DUBRETON.
A MONSIEVR HARDY.	À MONSIEUR HARDY.
EPIGRAMME.	ÉPIGRAMME.
Viſque l’Autheur de ceſte Histoire, I Voulut en preferer la gloire A ſes biens & à ſon credit, HARDY qui la donne à la France, Merite bien de recompance Ce qu'Heliodore perdit.	Visque l'Auteur de cette Histoire, I Voulut en préférer la gloire À ses biens et à son crédit, HARDY qui la donne à la France, Mérite bien de récompance Ce qu'Héliodore perdit.
GABRIEL ANISSON, Aduocar au Parlement de Grenoble.	GABRIEL ANISON, Aduocar au Parlement de Grenoble.
Ar grace & Priuilege du Roy, il eſt permis à AlexanI dre Hardy, Poëte de ſa Majeſté, de faire imprimer par tels Libraires & Imprimeurs que bon luy ſemblera, toutes & chacunes ſes œuures, contenantes pluſieurs poëmes, Tragedies & paſtorales, & ſpecialement (les chaſtes & loyalles amours de Theagene & Cariclée, reduittes du grec de l’hiſtoire d’Heliodore en 8.	Ar grâce et Privilège du Roi, il est permis à AlexanI dre Hardi, Poète de sa Majesté, de faire imprimer par tels Libraires et Imprimeurs que bon lui semblera, toutes et chacunes ses œuvres, contenantes plusieurs poèmes, Tragédies et pastorales, et spécialement (les chastes et loyalles amours de Théagène et Cariclée, réduites du grec de l'histoire d'Héliodore en 8.
poëmes dragmatiques ou Theatres conſecutifs) par luy reueuë & corrigée pour cét effet, auec defences à tous Libraires, Imprimeurs & Relieurs, & autres perſonnes de quelque eſtat & condition qu’ils ſoient, de l’imprimer ou faire imprimer, ny en extraire ou attirer aucune choſe, ny en autres œuures, ſi ce n’eſt du conſentement dudit ſieur Hardy, pendant le tepoopuout aix ans, à peine de 3000.	poèmes dragmatiques ou Théatres consécutifs) par même revue et corrigée pour cet effet, avec défenses à tous Libraires, Imprimeurs et Relieurs, et autres personnes de quelque état et condition qu'ils soient, de l'imprimer ou faire imprimer, ni en extraire ou attirer aucune chose, ni en autres œuvres, si ce n'est du consentement dudit si Hardi, pendant le tepooncuout aix ans, à peine de 3000.
liures d’amẽde, & autres couſtumes en l’original du preſent extraict, dõne te purio le de lour d'Oecoule lozz, igue LANCY, & ſeellé de cire iaune.	livres d'amède, et autres coutumes en l'original du présent extrait, donne te purio le de lour d'Oecle loz, igue LANCY, et seellé de cire jaune.
Tlequel Priuilege a eſté ſignifié, & d’iceluy baillé coEpie, à la requeſte dudit ſieur Hardy, aux Libraires, Imprimeurs & Relieurs de cette ville Paris, par Laurens Tempeſte Sergent à verge au Chaſtelet, les 22.	Tlequel Privilège a été signifié, et d'icelui baillé coÉpie, à la requête dudit sieur Hardi, aux Libraires, Imprimeurs et Relieurs de cette ville Paris, par Laurens Tempeste Sergent à verge au Châtelet, les 22.
23.	23.
&26.	et26.
Nouembre 1622.	Novembre 1622.
Ledit ſieur Hardy a esleu & choiſi pour imprimer ſes dites œuures, Iacques Queſnel, auquel il a fait tranſport dudit Priuilege, ſuiuant l’accord quils ont paſſé enſemblement, pardeuant deux Notaires du Chaſtelet de Paris.	Ledit sieur Hardi a élev et choisi pour imprimer ses dites œuvres, Jacques Quênel, auquel il a fait transport dudit Privilège, suivant l'accord quils ont passé ensemblement, pardeuant deux Notaires du Châtelet de Paris.
DAr grace & Priuilege du Roy, il eſt permis à Iacques Y Queſnel Marchãt Libraire à Paris, d’imprimer ou faire imprimer, Les chaſtes & loyales Amours de Theagene & Cariclée reduite du Grec de i’hiſtoire d’Heliodore en huict poëmes dragmatiques ou Theatres conſecutifs.	DAr grâce et Privilège du Roi, il est permis à Jacques Y Quesnel Marchant Libraire à Paris, d'imprimer ou faire imprimer, Les chastes et loyales Amours de Théagène et Cariclée réduite du Grec de j'histoire d'Héliodore en huit poèmes dragmatiques ou Théatres consécutifs.
