dMmMlM dHO.	dMmlM dHO.
Puiſque chez noſtre Sexe, où l’honneur eſt puiſſant, On ne montre jamais tout ce que l'on reſſent- J’ay voulu, je l’avouë, ajuſter ma conduite, Et voir d’un œil égal, l’un & l’autre merite:	Puisque chez notre Sexe, où l'honneur est puissant, On ne montre jamais tout ce que l'on ressent- J'ai voulue, je l'avoue, ajuster ma conduite, Et voir d'un œil égal, l'un et l'autre mérite:
Mais que contre ſes vœux on combat vainement, Et que la difference eſt connuë aiſément, De toutes ces faveurs qu’on fait avec étude A celles où du cœur fait pancher l’habitude.	Mais que contre ses vœux on combat vainement, Et que la différence est connue aisément, De toutes ces faveurs qu'on fait avec étude A celles où du cœur fait pencher l'habitude.
Dans les unes toûjours, on paroiſt ſe forcer;	Dans les unes toujours, on paraît se forcer;
Mais les autres, helas!	Mais les autres, hélas!
ſe font ſans y penſer, Semblables à ces eaux, ſi pures & ſi belles, Qui coulent ſans effort des ſources naturelles.	se font sans y penser, Semblables à ces eaux, si pures et si belles, Qui coulent sans effort des sources naturelles.
Ma pitié pour D.	Ma pitié pour D.
Sylve, avoit beau l’émouvoir, j’en trahiſſois les ſoins, ſans m’en appercevoir.	Sylve, avait beau l'émouvoir, j'en trahissais les soins, sans m'en apercevoir.
Et mes regards au Prince, en un pareil martyre En diſoient toûjours plus, que je n’en voulois dire.	Et mes regards au Prince, en un pareil martyre En disaient toujours plus, que je n'en voulais dire.
ELISE.	ÉLISE.
Enfin, ſi les ſoupçons de cet illuſtre Amant, Puiſque vous le voulez n’ont point de fondement;	Enfin, si les soupçons de cet illustre Amant, Puisque vous le voulez n'ont point de fondement;
Tour le moins font ils foy d’une ame bien atteinte, Et d’autres cheriroient ce qui fait voſtre plainte.	Tour le moins font ils foi d'une âme bien atteinte, Et d'autres chériraient ce qui fait votre plainte.
Des jaloux mouvemens doivent eſtre odieux, S’ils partent d’un amour qui déplaiſe à nos yeux.	Des jaloux mouvements doivent être odieux, S'ils partent d'un amour qui déplaise à nos yeux.
Mais tout ce qu’un Amant nous peut montrer d’allarmes, (charmes;	Mais tout ce qu'un Amant nous peut montrer d'alarmes, (charmes;
Doit lors que nous l’aimons, avoir pour nous des C’eſt par-la que ſon feu ſe peut mieux exprimer, Et plus il eſt jaloux, plus nous devons l’aimer;	Doit lors que nous l'aimons, avoir pour nous des C'est par-la que son feu se peut mieux exprimer, Et plus il est jaloux, plus nous devons l'aimer;
Ainſi puiſqu’en voſtre ame un Prince magnanime.	Ainsi puisqu'en votre âme un Prince magnanime.
D.	D.
ELUIRE.	ÉLUIRE.
Ah!	Ah!
ne m’avancez point cette étrange maxime.	ne m'avancez point cette étrange maxime.
Par tout la jalouſie eſt un monſtre odieux, Rien n’en peut adoucir les traits injurieux;	Par tout la jalousie est un monstre odieux, Rien n'en peut adoucir les traits injurieux;
Et plus l’amour eſt cher, qui luy donne naiſſance Plus on doit reſſentir les coups de cette offence.	Et plus l'amour est cher, qui avait donne naissance Plus on doit ressentir les coups de cette offense.
Voir un Prince emporté, qui perd a tous momens Le reſpect que l’amour inſpire aux vrais Amans:	Voir un Prince emporté, qui perd a tous moments Le respect que l'amour inspire aux vrais Amants:
Qui dans les ſoins jaloux, où ſon ame ſe noye, Querelle également mon chagrin, & ma joye;	Qui dans les soins jaloux, où son âme se noie, Querelle également mon chagrin, et ma joie;
Et dans tous mes regalds ne peutfren femtartuer, Qu’en Qu'en faveur d’un Rival il ne-veüille expliquer.	Et dans tous mes régalds ne peutfren femtartuer, Qu'en Qu'en faveur d'un Rival il ne-veüille expliquer.
Non, non, par ces ſoûpçons je ſuis trop offencée, Et ſans déguiſement je te dis ma penſee.	Non, non, par ces soupçons je suis trop offensée, Et sans déguisement je te dis ma pensée.
Le Prince D.	Le Prince D.
Gaicie eſt cher à mes deſirs, Il peut d’un cœur illuſtre échaufer les ſoûpirs:	Gaicie est cher à mes désirs, Il peut d'un cœur illustre échauffer les soupirs:
Au milieu de Leon, on a veu ſon courage Me donner de ſa flâme un noble témoignage, Braver en ma faveur des perils les plus grands, M’enlever aux deſſeins de nos lâches tyrans;	Au milieu de Léon, on a vu son courage Me donner de sa flamme un noble témoignage, Brave en ma ur des périls les plus grands, M'enlever aux desseins de nos lâches tyrans;
Et dans ces murs forcez mettre ma deſtinée, A couvert des horreurs d’un indigne hymenée;	Et dans ces murs forcés mettre ma destinée, À couvert des horreurs d'un indigne hyménée;
Et je ne cele point que j’aurois de l’ennuy, Que la gloire en ſuſt deuë à quelqu’autre qu’à luy;	Et je ne cèle point que j'aurais de l'ennui, Que la gloire en sût due à quelque autre qu'à lui;
Car un cœur amoureux prend un plaiſir extrême, A ſe voir redevable, Eliſe, à ce qu’il aime;	Car un cœur amoureux prend un plaisir extrême, À se voir redevable, Élise, à ce qu'il aime;
Et ſa flâme timide oſe mieux éclater, Lors qu’en favoriſant, elle croiſt s’acquiter.	Et sa flamme timide ose mieux éclater, Lors qu'en favorisant, elle crois s'acquitter.
Oüy, j’aime qu’un ſecours qui haſarde ſa teſte Semble à ſa paſſion donner droict de conquelle.	Oui, j'aime qu'un secours qui hasarde sa tête Semble à sa passion donner droit de conquelle.
J’aime que mon peril m’ait jettée en ſes mains, Et ſi les bruits communs ne ſont pas des bruits vains Si la bonté du Ciel nous rameine mon Frere, Les vœux les plus ardens, que mon cœur puiſſe faire C’eſt que ſon bras encor, ſur un perfide ſang Puiſſe aider à ce Frere, à reprendre ſon rang, Et par d’heureux ſuccez d’une haute vaillance Meriter tous les ſoins de ſa reconnoiſſance.	J'aime que mon péril m'ait jetée en ses mains, Et si les bruits communs ne sont pas des bruits vains Si la bonté du Ciel nous ramène mon Frère, Les vœux les plus ardents, que mon cœur puisse faire C'est que son bras encor, sur un perfide sang Puisse aider à ce Frère, à reprendre son rang, Et par d'heureux succès d'une haute vaillance Mériter tous les soins de sa reconnaissance.
Mais avec tout cela, s’il pouſſe mon courroux, S’il ne purge ſes feux de leurs tranſports jaloux, Et ne les range aux loix, que je luy veux preſcrire, C’eſt inutilement qu’il pretend Done Eluire.	Mais avec tout cela, s'il pousse mon courroux, S'il ne purge ses feux de leurs transports jaloux, Et ne les range aux lois, que je a veux prescrire, C'est inutilement qu'il prétend Done Elvire.
L’hymen ne peut nous joindre, & j’abhorre des nœuds, (deux.	L'hymen ne peut nous joindre, et j'abhorre des nœuds, (deux.
Qui deviendroient ſans doute un Enfer pour tous	Qui deviendraient sans doute un Enfer pour tous
ELISE.	ÉLISE.
Bien que l’on puſt avoir des ſentimens tout autres, C’eſt au Prince, Madame, à ſe regler aux voſtres, Et dans voſtre biilet ils ſont ſi bien marquez, Que quand il les verra de la ſorte expliquez.	Bien que l'on pût avoir des sentiments tout autres, C'est au Prince, Madame, à se régler aux vôtres, Et dans votre biilet ils sont si bien marquez, Que quand il les verra de la sorte expliquez.
D.	D.
ELUIRE.	ÉLUIRE.
Je n’y veux point, Eliſe, employer cette lettre.	Je n'y veux point, Élise, employer cette lettre.
C’eſt un ſoin qu’à ma bouche, il me vaut mieux:	C'est un soin qu'à ma bouche, il me vaut mieux:
commettre.	commettre.
La faveur d’un écrit laiſſe aux mains d’un Amant Des teilonis drop conſtans de noifre attachement :	La faveur d'un écrit laisse aux mains d'un Amant Des teilis drop constants de noifre attachement :
Ainſi donc empeſchez, qu’au Prince on ne la livre.	Ainsi donc empêchez, qu'au Prince on ne la livre.
ELISE.	ÉLISE.
vre.	vère.
Toutes vos volontez ſont des loix qu’on doit ſuiJ’admire cependant que le Ciel ait jetté Dans le gouſt des eſprits tant de diverſité, Et que ce que les uns regardent comme outrage, Soit veu par d’autres yeux ſous un autre viſage.	Toutes vos volonté sont des loix on doit suiJ’admire cependant que le Ciel ait jetté Dans le goût des esprits tant de diversité, Et que ce que les uns Toutes vos volonté, Sont par des lois qu' on doit suçage.
Pour moy je trouverois mon ſort tout-à fait doux, Si j’avois un Amant qui puſt eſtre jaloux;	Pour moi je trouverais mon sort tout-à fait doux, Si j'avais un Amant qui pût être jaloux;
Je ſçaurois m’applaudir de ſon inquietude;	Je sçaurois m'applaudir de son inquiétude;
Et ce qui pour mon ame eſt ſouvent un peu rude, C’eſt ue ron Di lamtar ne prendie aucun ſoucy.	Et ce qui pour mon âme est souvent un peu rude, C'est ue ron lamtar ne prendie aucun soucy.
D.	D.
ELUIRE.	ÉLUIRE.
Nous ne le croyions pas ſi proche;	Nous ne le croyions pas si proche;
le voicy.	le voici.
SCENE II.	SCÈNE II.
D.	D.
ELUIRE, D.	ÉLUIRE, D.
ALVAR, ELISE.	ALVAR, ÉLISE.
D.	D.
ELUIRE.	ÉLUIRE.
Voſtre retour ſurprend, qu’avez-vous à m’apprendre?	Votre retour surprend, qu'avez-vous à m'apprendre?
Dom Alphonſe vient-il, a ton lieu de l’attendre?	Dom Alphonse vient-il, a ton lieu de l'attendre?
D.	D.
ALVAR.	ALVAR.
Oüy, Madame, & ce Frere en Caſtille élevé De rentrer dans ſes droits voit le temps arrivé.	Oui, Madame, et ce Frère en Castille élevé De rentrer dans ses droits voit le temps arrivé.
Juſqu’icy D.	Jusqu'ici D.
Loüis qui vit à ſa prudence Par le feu Roy mourant, commettre ſon enfance, A caché ſes deſtins aux yeux de tout l’Eſtat, Pour l’oſter aux fureurs du traiſtre Mauregat.	Louis qui vit à sa prudence Par le feu Roi mourant, commettre son enfance, A caché ses destins aux yeux de tout l'État, Pour l'ôter aux fureurs du traître Mauregat.
Et bien que le Tyran, depuis ſa lâche audace, L’ait L’ait ſouvent demandé pour luy rendre ſa place, Jamais ſon zele ardent n’a pris de ſeureté, A l’appas dangereux de ſa fauſſe équité.	Et bien que le Tyran, depuis sa lâche audace, L'ait ait souvent demandé pour lui rendre sa place, Jamais son zèle ardent n'a pris de sûreté, À l'appas dangereux de sa fausse équité.
Mais les peuples émeus par cette violence Que vous a voulu faire une injuſte puiſſance, Ce genereux Vieillard a creu qu’il eſtoit temps D’éprouver le ſuccés d’un eſpoir de vingt ans.	Mais les peuples émus par cette violence Que vous a voulu faire une injuste puissance, Ce généreux Vieillard a cru qu'il était temps D'éprouver le succès d'un espoir de vingt ans.
Il a tenté Leon, & ſes fidelles trames, Des grands, comme du peuple, ont pratiqué les a.	Il a tenté Léon, et ses fidèles trames, Des grands, comme du peuple, ont pratiqué les a.
mes, Tandis que la Caſtille armoit dix mille bras, Pour redonner ce Prince aux vœux de ſes Eſtats;	mes, Tandis que la Castille armait dix mille bras, Pour redonner ce Prince aux vœux de ses États;
Il fait auparavant ſemer ſa renommée, Et ne veut le monſtrer qu’en teſte d’une armée.	Il fait auparavant semer sa renommée, Et ne veut le montrer qu'en tête d'une armée.
Que tout preſt à lancer le foudre puniſſeur, sous qui doit ſuccomber un lâche raviſſeur.	Que tout prêt à lancer le foudre punisseur, sous qui doit succomber un lâche ravisseur.
On inveſtit Leon, & Dom Sylve en perſonne Commande le ſecours que ſon Pere vous donne.	On investit Léon, et Dom Sylve en personne Commande le secours que son Père vous donne.
D.	D.
ELUIRE.	ÉLUIRE.
Un ſecours ſi puiſſant doit flater noſtre eſpoir;	Un secours si puissant doit flatter notre espoir;
Mais je crains que mon Frere y puiſſe trop devoir.	Mais je crains que mon Frère y puisse trop devoir.
D.	D.
ALVAR.	ALVAR.
Mais, Madame, admirez que malgré la tempeſte Que voſtre uſurpateur oit gronder ſur ſa teſte, Tous les bruits de Leon annoncent pour certain, Qu’à la Comteſſe Ignes il va donner la main.	Mais, Madame, admirez que malgré la tempête Que votre usurpateur oit gronder sur sa tête, Tous les bruits de Léon annoncent pour certain, Qu'à la Comtesse Ignès il va donner la main.
MELARNEA.	MELARNEA.
Il cherche dans l’Hymen de cette illuſtre Fille L’appuy du grand credit, où ſe voit ſa famille;	Il cherche dans l'Hymen de cette illustre Fille L'appui du grand crédit, où se voit sa famille;
Je ne reçois rien d’elle, & j’en ſuis en ſoucy, Mais ſon cœur au Tyran fut toûjours endurcy.	Je ne reçois rien d'elle, et j'en suis en souci, Mais son cœur au Tyran fut toujours endurci.
E LISE.	E LISE.
De trop puiſſant motifs, d’honneur & de tendreſſe, Oppoſent ſes refus aux nœuds dont on la preſſe, Pour.	De trop puissants motifs, d'honneur et de tendresse, Opposent ses refus aux nœuds dont on la presse, Pour.
D.	D.
ALVAR.	ALVAR.
Le Prince entre icy.	Le Prince entre ici.
H.	H.
5	5
SCENE III.	SCÈNE III.
D.	D.
GARCIE, D.	GARCIE, D.
ELUIRE.	ÉLUIRE.
e lina llaa aurona	Je lina la aurona
D.	D.
GARCIE.	GARCIE.
IE viens m’intereſſer, Madame, au doux eſpoir, qu’il vous vient d’annoncer.	JE viens m'intéresser, Madame, au doux espoir, qu'il vous vient d'annoncer.
Ce Frere qui menace un Tyran plein de crimes, Flatte de mon amour les tranſports legitimes.	Ce Frère qui menace un Tyran plein de crimes, Flatte de mon amour les transports légitimes.
Son ſort offre à mon bras des perils glorieux, Dont je puis faire hommage à l’éclat de vos yeux.	Son sort offre à mon bras des périls glorieux, Dont je puis faire hommage à l'éclat de vos yeux.
Et par eux m’acquerir, ſi le Ciel m’eſt propice, La gloire d’un revers, que vous doit ſa juſtice;	Et par eux m'acquérir, si le Ciel m'est propice, La gloire d'un revers, que vous doit sa justice;
Qui va faire à vos pieds cheoir l’infidelité, Et rendre à voſtre ſang toute ſa dignité.	Qui va faire à vos pieds choir l'infidélité, Et rendre à votre sang toute sa dignité.
Mais ce qui plus me plaiſt, d’une atteinte ſi chere, C’eſt que pour eſtre Roy, le Ciel vous rend ce Frere;	Mais ce qui plus me plaît, d'une attente si chère, C'est que pour être Roi, le Ciel vous rend ce Frère;
Et qu’ainſi mon amour peut éclater au moins Sans qu’à d’autres motifs on impute ſes ſoins;	Et qu'ainsi mon amour peut éclater au moins Sans qu'à d'autres motifs on impute ses soins;
Et qu’il ſoit ſoupçonné, que dans voſtre perſonne Il cherche à me gagner les droits d’une Couronne.	Et qu'il soit soupçonné, que dans votre personne Il cherche à me gagner les droits d'une Couronne.
Oüy, tout mon cœur voudroit montrer aux yeux de tous, Qu’il ne regarde en vous autre choſe que vous;	Oui, tout mon cœur voudrait montrer aux yeux de tous, Qu'il ne regarde en vous autre chose que vous;
Et cent fois, ſi je puis le dire ſans offence, Ses vœux ſe ſont armez contre voſtre naiſſance, Leur chaleur indiſcrete a d’un deſtin plus bas Souhaité le partage à vos divins appas, Afin que de ce cœur, le noble ſacrifice Tuſt du Ciel envers vous reparer l’injuſtice;	Et cent fois, si je puis le dire sans offense, Ses vœux se sont armés contre votre naissance, Leur chaleur indiscrète a d'un destin plus bas Souhaité le partage à vos divins appas, Afin que de ce cœur, le noble sacrifice Tût du Ciel envers vous réparer l'injustice;
Et voſtre ſort tenir des mains de mon amour, Tout ce qu’il doit au ſang, dont vous tenez le jour.	Et votre sort tenir des mains de mon amour, Tout ce qu'il doit au sang, dont vous tenez le jour.
Mais puis qu’enfin les Cieux, de tout ce juſte hommage, A mes feux prévenus dérobent l’avantage.	Mais puisque eenfin les Cieux, de tout ce juste hommage, À mes feux prévenus dérobent l'avantage.
Trouvez bon que ces feux prennent un peu d’eſpoir Sur la mort que mon bras s’appreſte à ſaire voir;	Trouvez bon que ces feux prennent un peu d'espoir Sur la mort que mon bras s'apprête à zaïre voir;
Et qu’ils oſent briguer par d’illuſtres ſervices, D'un Frere & d’un Eſtat les ſuffrages propices.	Et qu'ils osent briguer par d'illustres services, D'un Frère et d'un État les suffrages propices.
D.	D.
E LUIRE.	E LUIRE.
Je ſçay que vous pouvez, Prince, en vangeant nos droits Faire par voſtre amour parler cent beaux exploits.	Je sais que vous pouvez, Prince, en vengeant nos droits Faire par votre amour parler cent beaux exploits.
Mais ce n’eſt pas aſſez pour le prix qu’il eſpere Que l’aveu d’un Eſtat, & la faveur d’un Frere.	Mais ce n'est pas assez pour le prix qu'il espère Que l'aveu d'un État, et la faveur d'un Frère.
D.	D.
Eluire n’eſt pas au bout de cet effort, Et je vous vois à vaincre un obſtacle plus fort.	Elvire n'est pas au bout de cet effort, Et je vous vois à vaincre un obstacle plus fort.
D.	D.
GARCIE.	GARCIE.
Oüy, Madame, j’entens ce que vous voulez dire, Je ſçay bien que pour vous mon cœur en vain ſoûpire;	Oui, Madame, j'entends ce que vous voulez dire, Je sais bien que pour vous mon cœur en vain soupire;
Et l’obſtacle puiſſant, qui s’oppoſe à mes feux, Sans que vous le nommiez, n’eſt pas ſecret pour eux.	Et l'obstacle puissant, qui s'oppose à mes feux, Sans que vous le nommiez, n'est pas secret pour eux.
D.	D.
ELUIRE.	ÉLUIRE.
Souvent on entend mal, ce qu’an croit bien entendre, (prendre.	Souvent on entend mal, ce qu'an croit bien entendre, (prendre.
Et par trop de chaleur, Prince, on ſe peut méMais puis qu’il faut parler, deſirez vous ſçavoir, Quand vous pourrez me plaire, & prendre quelque eſpoir?	Et par trop de chaleur, Prince, on se peut méMais puis qu'il faut parler, désirez vous savoir, Quand vous pourrez me plaire, et prendre quelque espoir?
De GARCIE.	De GARCIE.
Ce me ſera, Madame, une faveur extrême.	Ce me sera, Madame, une faveur extrême.
D.	D.
ELUIRE.	ÉLUIRE.
Quand vous ſçaurez m’aimer, comme il faut que l’on aime.	Quand vous saurez m'aimer, comme il faut que l'on aime.
D.	D.
GiinRe 12.	GivinRe 12.
Et que peut on, helas!	Et que peut -on, hélas!
obſerver ſous les Cieux Qui ne cede à l’ardeur, que m’inſpirent vos yeux?	observer sous les Cieux Qui ne cède à l'ardeur, que m'inspirent vos yeux?
D.	D.
ELUIRE.	ÉLUIRE.
Quand voſtre paſſion ne fera rien paroiſtre, Pont ſe puiſſe indigner celle qui l’a fait naiſtre.	Quand votre passion ne fera rien paraître, Pont se puisse indigner celle qui l'a fait naître.
H.	H.
6 D.	6 D.
GAR-	GAR-
D.	D.
GARCIE.	GARCIE.
C’eit-la ſon plus grand ſoin.	C'éit-la son plus grand soin.
D.	D.
ELUIRE.	ÉLUIRE.
Quand tous ſes mouvemens Ne prendront point de moy de trop bas ſentimens.	Quand tous ses mouvements Ne prendront point de moi de trop bas sentiments.
El a a ix di ris Ils vous reverent trop.	El a a ici dix ris Ils vous révèrent trop.
D.	D.
ELUIRE.	ÉLUIRE.
Quand d’un injuſte ombrage Voſtre raiſon ſçaura me reparer l’outrage;	Quand d'un injuste ombrage Votre raison saura me réparer l'outrage;
Et que vous bannirez, enfin, ce monſtre affreux, Qui de ſon noir venin empoiſonne vos feux.	Et que vous bannirez, enfin, ce monstre affreux, Qui de son noir venin empoisonne vos feux.
Cette jalouſe humeur, dont l’importun caprice, Aux vœux, que vous m’offrez, rend un mauvais oifice, S’oppoſe à leur attente, & contre eux à tous coups Arme les mouvemens de mon juſte courroux.	Cette jalouse humeur, dont l'importun caprice, Aux vœux, que vous m'offrez, rend un mauvais oifice, S'oppose à leur attente, et contre eux à tous coups Arme les mouvements de mon juste courroux.
D.	D.
GARCIE.	GARCIE.
Ah!	Ah!
Madame, il eſt vray, quelque effort que je faſſe, Qn’un peu de jalouſie en mon cœur trouve place, Et qu’un Rival abſent de vos divins appas Au repos de ce cœur vient livrer des combats.	Madame, il est vrai, quelque effort que je fasse, Qu'un peu de jalousie en mon cœur trouve place, Et qu'un Rival absent de vos divins appas Au repos de ce cœur vient livrer des combats.
Soit caprice, ou raiſon, j’ay toûjours la croyance Que voſtre ame ences lieux ſouffre de ſon abſence:	Soit caprice, ou raison, j'ai toujours la croyance Que votre âme ences lieux souffre de son absence:
