ECPRIVILEGEDU ROY.	ECPRIVILEGEDU ROI.
Il ſe fait en ſuite une Entrée de Ballet, compoſée de deux Dryades, quatre Sylvains, deux Fleuves, & deux Nayades.	Il se fait en suite une Entrée de Ballet, composée de deux Dryades, quatre Sylvains, deux Fleuves, et deux Nayades.
Aprés laquelle, Vertumne & Palamon chantent te Dialogue.	Après laquelle, Vertumne et Palamon chantent te Dialogue.
VERTUMNE.	VERTUMNE.
Endez-vous, Beautez cruelles, N Soûpirez à vôtre tour.	Endez-vous, Beautés cruelles, N Soûpirez à votre tour.
PALÆMON.	PALÆMON.
Voicy la Reine des Belles, Qui vient inſpiter l’amour,	Voici la Reine des Belles, Qui vient inspiter l'amour,
ERTUMNE.	ERTUMNE.
Un bel Objet toûjours ſevere Ne ſe fait jamais bien aimer.	Un bel Objet toujours sévère Ne se fait jamais bien aimer.
PALÆMON.	PALÆMON.
C’eſt la beauté qui commence de plaire, Mais la douceur acheve de charmer.	C'est la beauté qui commence de plaire, Mais la douceur achève de charmer.
Ils repetent enſemble ces derniers Vers, C’eſt la beaute que commente ue plaire, Mais la douceur acheve de charmer.	Ils répètent ensemble ces derniers Vers, C'est la beauté que commente ue plaire, Mais la douceur achève de charmer.
ERTUMNE.	ERTUMNE.
Souffrons tous qn’Amour nous bleſſe, Languiſſons, puis qu’il le faut.	Souffrons tous -n'Amour nous blesse, Languissons, puis qu'il le faut.
PADALMMOI.	PADALMOI.
Que ſert un cœur ſans tendreſſe?	Que sert un cœur sans tendresse?
Eſt-il un plus grand defaut ?	Est-il un plus grand défaut ?
ERTUMNE.	ERTUMNE.
Un bel Objet toujours ſeven Ne ſe fait jamais bien aimer.	Un bel Objet toujours séven Ne se fait jamais bien aimer.
C’eſt la beauté qui commence de plaire, Mais la douceur acheve de charmer.	C'est la beauté qui commence de plaire, Mais la douceur achève de charmer.
Flore répond au Dialogue de Vertumne & de Palamon, par ce Menuet;	Flore répond au Dialogue de Vertumne et de Palamon, par ce Menuet;
& les autres Divinitez, milent leurs Dances St-on ſage EDans le bel âge, Eſt-on ſage De n’aimer pas?	et les autres Divinités, milent leurs Dances St-on sage ÉDants le bel âge, Est-on sage De n'aimer pas?
Que ſans ceſſe L’on ſe preſſe De goûter les plaiſirs ici bas!	Que sans cesse L'on se presse De goûter les plaisirs ici bas!
La ſageſſe De la Jeuneſſe, C’eſt de ſçavoir joüer de ſes appas.	La sagesse De la Jeunesse, C'est de savoir jouer de ses appas.
A 4	A 4
L’Amour charme.	L'Amour charme.
Ceux qu’il deſarme;	Ceux qu'il désarme;
L’Amour charme, Cedons lui tous, Nôtre peine Seroit vaine De vouloir reſiſter à ſes coups;	L'Amour charme, Cédons lui tous, Notre peine Serait vaine De vouloir résister à ses coups;
Quelque chaine Qu’un Amant prenne, La liberté n’a rien qui ſoit ſi doux.	Quelque chaine Qu'un Amant prenne, La liberté n'a rien qui soit si doux.
Vénus deſcend du Ciel dans une grande Machine avec l’Amour ſon Fils, & deux petites Graces, nommées Ægiale & Phaéne, & les Divinitez de la Terre Ques Hauin irtommentom ue joindre toutes leurs voix, & continuënt par leurs Dances de luy témoigner la joye qu’elles reßentent à ſon abord.	Venus descend du Ciel dans une grande Machine avec l'Amour son Fils, et deux petites Grâces, nommées Égiale et Phane, et les Divinités de la Terre Ques Havin irtommentom ue joindre toutes leurs voix, et continuent par leurs Dances de lui témoigner la joie qu'elles ressentent à son abord.
CHOEUR DE TOUTES LES Diviaitez de la Terre & des Eaux.	CHOEUR DE TOUTES LES Diviaitez de la Terre et des Eaux.
Ous goûtons une Paix profonde;	Ous goûtons une Paix profonde;
N Les plus doux Jeux ſont ici bas:	N Les plus doux Jeux sont ici bas:
On doit ce repos plein d’appas Au plus Grand leurdu Monde.	On doit ce repos plein d'appas Au plus Grand leurdu Monde.
Melcendel y Mere des lliours r Venez nous donner de beaux jours,	Melcendel y Mère des liours r Venez nous donner de beaux jours,
nniuo onaut ſa Machine.	nniuo onaut sa Machine.
Eſſez, ceſſez pour moi tous vos chãts d’allegreſſe De ſi rares honneurs ne m’appartiennent pas, Et l’hommage qu’icy vôtre bonté m’adreſſe Doit être reſervé pour de plus doux appas.	Essez, cessez pour moi tous vos chãts d'allégresse De si rares honneurs ne m'appartiennent pas, Et l'hommage qu'ici votre bonté m'adresse Doit être réservé pour de plus doux appas.
C’eſt une trop vielle methods De me venir faire ſa Cour;	C'est une trop vielle méthods De me venir faire sa Cour;
Toutes les choſes ont leur tour, Et Vénus n’eſt plus à la mode.	Toutes les choses ont leur tour, Et Venus n'est plus à la mode.
Il eſt d’autres attraits naiſſans, Où l’on va porter ſes encens;	Il est d'autres attraits naissants, Où l'on va porter ses encens;
Pſiché, Pſiché la Belle, aujourd’hui tient ma place, Déja tout l’Univers s’empreſſe à l’adorer Et c’eſt trop que dans ma diſgrace Je trouve encor quelqu’un qui me daigne honorer.	Psiché, Psiché la Belle, aujourd'hui tient ma place, Déjà tout l'Univers s'empresse à l'adorer Et c'est trop que dans ma disgrâce Je trouve encor quelqu'un qui me daigne honorer.
On ne balance point eut re nos deux mérites, A quitter mon parti tout s’eſt licencié, Et du nombreux amas de Graces favorites, Dont je traînois par tout les ſoins & l’amitié, Il ne m’en eſt reſté que deux des plus petites:	On ne balance point eut re nos deux mérites, À quitter mon parti tout s'est licencié, Et du nombreux amas de Grâces favorites, Dont je traînais par tout les soins et l'amitié, Il ne m'en est resté que deux des plus petites:
Qui m’accompagnent par pitié.	Qui m'accompagnent par pitié.
Souffrez que ces Demeures ſombres Preſtent leur ſolitude aux troubles de mon cœur, Et me laiſſez parmi leur oumres Cacher ma honte & ma douleur.	Souffrez que ces Demeures sombres Prêtent leur solitude aux troubles de mon cœur, Et me laissez parmi leur oumres Cacher ma honte et ma douleur.
Flore & les autres Deïtez ſe retirent, & Vénus avec ſa Suite ſort de ſa Machine.	Flore et les autres Déités se retirent, et Vénus avec sa Suite sort de sa Machine.
ÆGIALE.	ÆGIALE.
Nous ne ſçavons, Déeſſe, comment faire, Dans ce chagrin qu’on voit vous accabler:	Nous ne savons, Déesse, comment faire, Dans ce chagrin qu'on voit vous accabler:
Nôtre reſpect veut ſe taire, Nôtre zéle veut parler.	Notre respect veut se taire, Notre zèle veut parler.
ENUS.	ENUS.
Parlez, mais ſi vos ſoins aſpirent à me plaire Laiſſez tous vos conſeils pour une autre ſaiſon.	Parlez, mais si vos soins aspirent à me plaire Laissez tous vos conseils pour une autre saison.
Et ne parlez de ma colere, Que pour dire que j’ai raiſon.	Et ne parlez de ma colère, Que pour dire que j'ai raison.
C’étoit-la, c’étoit là la plus ſenfible offence!	C'était-la, c'était là la plus sensible offense!
Que ma Divinité pût jamais recevoir;	Que ma Divinité pût jamais recevoir;
Mais j’en aurai la vengeance, Si les Dieux ont du pouvoir.	Mais j'en aurai la vengeance, Si les Dieux ont du pouvoir.
PHAENE.	PHANE.
Vous avez plus que nous de clartez, de ſageſſe, Pour juger qui peut être digne de vous:	Vous avez plus que nous de clartés, de sagesse, Pour juger qui peut être digne de vous:
Mais poul moi j aurois ciu qu’une grande Déeſſe Dévroit moins ſe mettre en couroux.	Mais poul moi j aurais civ qu'une grande Déesse Dévroit moins se mettre en courroux.
ENUS.	ENUS.
Et c’eſt la raiſon de ce couroux extréme.	Et c'est la raison de ce courroux extrême.
Plus mon rang a d’éclat, plus l’affront eſt ſanglant, Et ſi je n’étois pas dans ce degré ſupréme, Le dépit de mon cœur ſeroit moins violent.	Plus mon rang a d'éclat, plus l'affront est sanglant, Et si je n'étais pas dans ce degré suprême, Le dépit de mon cœur serait moins violent.
Moy la Fille du Dieu qui lance le Tonnerre, Mere du Dieu qui fait aimer;	Moi la Fille du Dieu qui lance le Tonnerre, Mère du Dieu qui fait aimer;
Moy les plus doux ſouhaits du Ciel & de la Terre, Et qui ne ſuis venuë au jour que pour charmer;	Moi les plus doux souhaits du Ciel et de la Terre, Et qui ne suis venue au jour que pour charmer;
Moi, qui par tout ce qui reſpire Ai veu de tant de vœux encenſer mes Autels, Et qui de la Beauté, par des droits immortels, Ai tenu de tout tems le ſouverain Empire;	Moi, qui par tout ce qui respire Aussi vu de tant de vœux encenser mes Autels, Et qui de la Beauté, par des droits immortels, Ai tenu de tout temps le souverain Empire;
Moi, dont les yeux ont mis deux grandes Deïtez Au point de me ceder le prix de la plus belle, Je me voy ma victoire & mes droits diſputez Par une chetive Mortelle !	Moi, dont les yeux ont mis deux grandes Deïtez Au point de me der le prix de la plus belle, Je me vois ma victoire et mes droits disputez Par une chétive Mortelle !
Le ridicule excés d’un folenreſtement Va juſqu’à m’oppoſer une petite Fille !	Le ridicule excès d'un folenrestement Va jusqu'à m'opposer une petite Fille !
our ces traits de les miens pentuitar conſtamment Un temeraire jugement?	our ces traits de les miens pentuit constamment Un téméraire jugement?
Et du haut des Cieux où je brille, J’entendrai prononcer aux Mortels prévenus, Elle eſt plus belle que Venus!	Et du haut des Cieux où je brille, J'entendrai prononcer aux Mortels prévenus, Elle est plus belle que Venus!
ÆGIALE.	ÆGIALE.
10 Voila comme l’on fait, c’eſt le ſtyle des Hommes, Ils ſont impertinent dans leurs comparaiſons,	10 Voilà comme l'on fait, c'est le style des Hommes, Ils sont impertinent dans leurs comparaisons,
PHAENE.	PHANE.
Ils ne ſçauroient loüer dans le Si ecle ou nous ſõmes, Qu’ils n’outragent les plus grands noms.	Ils ne sauraient louer dans le Si éle ou nous sommes, Qu'ils n'outragent les plus grands noms.
ENUS.	ENUS.
Ah que de ces trois mots la rigueur iuſolente Vange bien Junon & Pallas, Et conſole leurs cœurs de la gloire éclatante Que la fameuſe Pomme acquit à mes appas!	Ah que de ces trois mots la rigueur jusolente Venge bien Junon et Pallas, Et console leurs cœurs de la gloire éclatante Que la fameuse Pomme acquit à mes appas!
Je les voi s’applaudir de mon inquietude, Affecter à toute heure un ris malicieux, Et d’un fixe regard chercher avec étude Ma confuſion dans mes yeux.	Je les voi s'applaudir de mon inquiétude, Affecter à toute heure un ris malicieux, Et d'un fixe regard chercher avec étude Ma confusion dans mes yeux.
Leur triomphante joïe au fort d’un tel outrage, Semble me venir dire, inſultant mon couroux, Vante, vante, Venus, les traits de ton viſage, Au jugement d’un ſeul tu l’emportas ſur nous, Mais par le jugement de tous Une ſimple Mortelle a ſur toi l’avantage.	Leur triomphante joïe au fort d'un tel outrage, Semble me venir dire, insultant mon courroux, Vante, vante, Vante, les traits de ton visage, Au jugement d'un seul tu l'emportas sur nous, Mais par le jugement de tous Une simple Mortelle a sur toi l'avantage.
22 Ah!	22 Ah!
ce coup là m’acheve, il me perce le cœur, Je n’en puis plus ſouffrir les rigueurs ſans égales.	ce coup là m'achève, il me perce le cœur, Je n'en puis plus souffrir les rigueurs sans égales.
Et c’eſt trop de ſuscroit à ma vive douleur, Que le plaiſir de mes Rivales.	Et c'est trop de suscroit à ma vive douleur, Que le plaisir de mes Rivales.
Mon Fils, ſi j’eus jamais ſur toi quelque credit Ft ſi jamais je te fus chere, Si tu portes un cœur à ſentir le dépit Qui trouble le cœur d’une Mere, Qui ſi tendrement ce chetir;	Mon Fils, si j'eus jamais sur toi quelque crédit Fait si jamais je te fus chère, Si tu portes un cœur à sentir le dépit Qui trouble le cœur d'une Mère, Qui si tendrement ce chétir;
Employe, employe ici l’effort de ta purſance A ſoûtenir mes intereſts, Et fais à Pſiché par tes traits Sentir les traits de ma vangeance, Pour rendre ſon cœur malheureux, Prens celui de tes traits le plus prqpre à me plaire, Le plus empoiſonné de ceux	Emploie, emploie ici l'effort de ta pursance A soutenir mes intérêts, Et fais à Psiché par tes traits Sentir les traits de ma vengeance, Pour rendre son cœur malheureux, Prends celui de tes traits le plus prqpre à me plaire, Le plus empoisonné de ceux
Que tu lances dans ta colere;	Que tu lances dans ta colère;
Du plus bas, du plus vil, du plus affreux Mortel, Fais que juſqu’à la rage elle ſeit enflammée, Et qu’elle ait à ſouffrir le ſuplice cruel D’aimer & n’être point aimée.	Du plus bas, du plus vil, du plus affreux Mortel, Fais que jusqu'à la rage elle seit enflammée, Et qu'elle ait à souffrir le suplice cruel D'aimer et n'être point aimée.
	
L’AMOUR.	L'AMOUR.
Dans le Mõde on n’entend que plaintes de l’Amour, On m’impute par tout mille fautes commiſes, Et vous ne croiriez point le mal & les ſottiſes Que l’on dit de moi chaque jour.	Dans le Modède on n'entend que plaintes de l'Amour, On m'impute par tout mille fautes commises, Et vous ne croiriez point le mal et les sottises Que l'on dit de moi chaque jour.
Si pour ſervir vôtre colere.	Si pour servir votre colère.
2 N US.	2 N US.
Va ne reſiſte point aux ſouhaits de ta Mere, N’applique tes raiſonnemens Qu’à chercher les plus prompts momens De faire un ſacrifice à ma gloire outragée.	Va ne résiste point aux souhaits de ta Mère, N'applique tes raisonnements Qu'à chercher les plus prompts moments Il faire un sacrifice à ma gloire outragée.
narts, pour toure reponie à mes empreſſemens, Et ne me revoi point que je ne ſois vangée.	narts, pour toure réponie à mes empressements, Et ne me revoi point que je ne sois vengée.
L’Amour s’envole, & Vénus ſe retire	L'Amour s'envole, et Venus se retire
ACTE PREMIER SCENE PREMIERE.	ACTE PREMIER SCÈNE PREMIÈRE.
AGLAURE, CIDIPPE.	AGLAURE, CIDIPPE.
AGLAURE.	AGLAURE.
L eſt des maux, ma Sœur, que le ſilence aigrit, Laiſſons, laiſſons parler mon chagrin & le vôtre, Et de nos cœurs l’un à l’autre Exhalons le cuiſant dépit:	L est des maux, ma Sœur, que le silence aigrit, Laissons, laissons parler mon chagrin et le vôtre, Et de nos cœurs l'un à l'autre Exhalons le cuisant dépit:
Nous nous voyons Sœurs d’infortune;	Nous nous voyons Sœurs d'infortune;
Et la vôtre & la mienne ont un ſi grand raport, Que nous pouvons mêler toutes les deux en une, Et dans nôtre juſte tranſport Murmurer à plainte commune Des cruautez de nôt re ſort.	Et la vôtre et la mienne ont un si grand rapport, Que nous pouvons mêler toutes les deux en une, Et dans notre juste transport Murmurer à plainte commune Des cruautés de not re sort.
Quelle fatalité ſecrete, Ma Sœur, ſoûmet tout l’Univers Aux attraits de nôtre Cadette, Et de tant de Princes divers Qu’en ces lieux la Fortune jette, N’en preſente aucun à nos fers?	Quelle fatalité secrète, Ma Sœur, soumet tout l'Univers Aux attraits de notre Cadette, Et de tant de Princes divers Qu'en ces lieux la Fortune jette, N'en présente aucun à nos fers?
Quoi, voir de toutes parts pour lui rendre les armes, Les cœur ſe précipiter, Et paſſer devant nos charmes, Sans s’y vouloir arrêter?	Quoi, voir de toutes parts pour lui rendre les armes, Les cœur se précipiter, Et passer devant nos charmes, Sans s'y vouloir arrêter?
Quel ſort ont nos yeux en partage, Et qu’eſt-ce qu’ils ont fait aux Dieux, De ne joüir d’aucun hommage, Parmi tous ces tributs de ſoûpirs glorieux, Dont le ſuperbe avantage Fait triompher d’autres yeux?	Quel sort ont nos yeux en partage, Et qu'est-ce qu'ils ont fait aux Dieux, De ne jouir d'aucun hommage, Parmi tous ces tributs de soupirs glorieux, Dont le superbe avantage Fait triompher d'autres yeux?
Eſt-il pour nous, ma Sœur, de plus rude diſgrace, Que de voir tous les cœeurs inepriier nos appas, Et l’heureuſe Pſiché joüir avec audace D’une foule d’Amans attachez à ſes pas?	Est-il pour nous, ma Sœur, de plus rude disgrâce, Que de voir tous les cœeurs inéprier nos appas, Et l'heureuse Psiché joüir avec audace D'une foule d'Amands attachés à ses pas?
CIDIPPE.	CIDIPE.
liu;	liv;
ma oœur, c’eſt un avanture A faire perdre la raiſon, Et tous les maux de la Nature, Ne ſont rien en comparaiſon.	ma oœur, c'est un aventure A faire perdre la raison, Et tous les maux de la Nature, Ne sont rien en comparaison.
AGLAURE.	AGLAURE.
Pour moi j’en ſuis ſouvent juſqu’à verſer des l’armes, Tout plaiſir, tout repos, par là m’eſt arraché, Cõtre un pareil malheur ma conſtance eſt ſans armes, Toûjours à ce chagrin mon eſprit attaché Me tient devant les yeux la houte de nos charmes, Et le triomphe de Pſiché.	Pour moi j'en suis souvent jusqu'à verser des l'armes, Tout plaisir, tout repos, par là m'est arraché, Contre un pareil malheur ma constance est sans armes, Toujours à ce chagrin mon esprit attaché Me tient devant les yeux la houte de nos charmes, Et le triomphe de Psiché.
La nuit il m'en repaſſe une idée éternelle Qui ſur toute choſe prévaut;	La nuit il m'en repasse une idée éternelle Qui sur toute chose prévaut;
Rien ne me peut chaſſer cette image cruelle;	Rien ne me peut chasser cette image cruelle;
Et des qu’un doux ſommeil me vient délivrer d’elle, Dans mon eſprit auſſi-tôt Quelque ſonge la rappelle, Qui me réveille en furlaut.	Et des qu'un doux sommeil me vient délivrer d'elle, Dans mon esprit aussitôt Quelque songe la rappelle, Qui me réveille en furlaut.
CIDIPPE.	CIDIPE.
Ma Sœur, voila mon martire, Dans vos diſcours je me voi, Et veus venelrlade ane.	Ma Sœur, voilà mon martyre, Dans vos discours je me voi, Et veux venelrade ane.
Tout ce qui ſe paſſe en moy.	Tout ce qui se passe en moi.
AGLAURE.	AGLAURE.
Mais encor, raiſonnons un peu ſur cette affaire.	Mais encor, raisonnons un peu sur cette affaire.
Quels charmes ſi puiſſans en elle ſont épars, Et par où, dites-moy, du grand ſecret de plaire, L’honneur eſt il acquis à ſes moindres regards?	Quels charmes si puissants en elle sont épars, Et par où, dites-moi, du grand secret de plaire, L'honneur est il acquis à ses moindres regards?
Que voit-on dans ſa perſonne, Pour inſpirer tant d’ardeurs?	Que voit-on dans sa personne, Pour inspirer tant d'ardeurs?
Quel droit de beauté luy donne L’Empire de tous les cœuis?	Quel droit de beauté avait donne L'Empire de tous les cœuis?
Elle a quelques attraits, quelque éclat de jeuneſſe, On en tombe d’accord, je n’en diſconviens pas;	Elle a quelques attraits, quelque éclat de jeunesse, On en tombe d'accord, je n'en disconviens pas;
Mais lui cede-t-on fort pour quelque peu d’aineſſe, Et ſe voit-on ſans appas?	Mais lui cède-t-on fort pour quelque peu d'aînesse, Et se voit-on sans appas?
Eſt on d’une figure à faire qu’on ſe raille?	Est on d'une figure à faire qu'on se raille?
N’a-t-on point quelques traits, & quelques agrémẽs.	N'a-t-on point quelques traits, et quelques agréments.
Quelque teint, quelques yeux, quelque air & quelque taille A pouvoir dans nos fers jetter quelques Amans?	Quelque teint, quelques yeux, quelque air et quelque taille À pouvoir dans nos fers jeter quelques Amants?
Ma Sœur, faites-moi la grace De ine pailcrhranenemeue:	Ma Sœur, faites-moi la grâce De ine pailcrhranenemeue:
Suis je faite d’un air à vôtre jugement, 2 Que mon mérite au ſien doive ceder la place, Et dans quelque ajuſtement Trouvez-vous qu’elle m’efface?	Suis je faite d'un air à votre jugement, 2 Que mon mérite au sien doive céder la place, Et dans quelque ajustement Trouvez-vous qu'elle m'efface?
CIDIPPE.	CIDIPE.
Qui, vous, ma Sœur?	Qui, vous, ma Sœur?
nullement.	nullement.
Hier à la Chaſſe, pres d’elle, Je vous regardai long temps, Et ſans vous donner d’encens, Vous me parûtes plus belle.	Hier à la Chasse, pres d'elle, Je vous regardai long temps, Et sans vous donner d'encens, Vous me parûtes plus belle.
Mais moi, dites ma Sœur, ſans me vouloir flater, Sont-ce des viſions que je me mets en tête:	Mais moi, dites ma Sœur, sans me vouloir flatter, Sont-ce des visions que je me mets en tête:
Quand je me croi taillée à pour von feriter La gloire de quelque conquête;	Quand je me crois taillée à pour von feriter La gloire de quelque conquête;
AGLAURE.	AGLAURE.
Vous, m’a Sœur, vous avez ſans nul déguiſement, Tout ce qui peut cauſer une amoureuſe flâme;	Vous, m'a Sœur, vous avez sans nul déguisement, Tout ce qui peut causer une amoureuse flamme;
Vos moindres actions brillent d’un agrément Dont je me ſens toutner r'ume, Et je ſerois votre Amant, Si j’étois autre que Femme.	Vos moindres actions brillent d'un agrément Dont je me sens toutner rume, Et je serais votre Amant, Si j'étais autre que Femme.
IDIPPE.	JDIPE.
D’où vient dõcqu’on la voit l’emporter ſur nous deux Qu’à les premiers regards les cœurs rẽdent les armes Et que d’aucun tribut de ſoûpirs & de vœux On ne fait honneur à nos charmes?	D'où vient dõcqu’on la voit l'emporter sur nous deux Qu'à les premiers regards les cœurs ramendent les armes Et que d'aucun tribut de soupirs et de vœux On ne fait honneur à nos charmes?
AGLAURE.	AGLAURE.
Toures les Damles d une voix Trouvent ſes attraits peu de choſe, Et du nombre d’Amans qu’elle tient ſous ſes loix, Ma Sœur, j’ay découvert la cauſe.	Toures les Damles d' une voix Trouvent ses attraits peu de chose, Et du nombre d'Amand qu'elle tient sous ses lois, Ma Sœur, j'ai découvert la cause.
CIDIPPE.	CIDIPE.
Pour moi jela devine, & l’on doit préſumer Qu’il faut que la-deſſous ſoit caché du miſtere:	Pour moi jela devine, et l'on doit présumer Qu'il faut que la-dessous soit caché du mystère:
Ce lecret de tout enffamer N’eſt point de la Nature un effet ordinaire, L’Art de la Theſſalie entre dans cette affaire, Et quelque main a ſçeu ſans doute lui former Un charme pour ſe faire aimer.	Ce lecret de tout enffamer N'est point de la Nature un effet ordinaire, L'Art de la Thessalie entre dans cette affaire, Et quelque main a su sans doute lui former Un charme pour se faire aimer.
AGLAURE.	AGLAURE.
Sur un plus fort appui ma croyance ſe fonde, Et le charme qu’elle a pour attirer les cœurs, C’eſt un air en tout temps deſarmé de rigueurs Des regar s careſſans que la bouche ſeconde, Un ſoûris chargé de douceurs Qui tend les bras à tout le monde, Et ne vous promet que faveurs.	Sur un plus fort appui ma croyance se fonde, Et le charme qu'elle a pour attirer les cœurs, C'est un air en tout temps désarmé de rigueurs Des régar s caressants que la bouche seconde, Un souris chargé de douceurs Qui tend les bras à tout le monde, Et ne vous promet que faveurs.
Nôtre gloire n’eſt plus aujourd’huy conſervée, Et l’on n’eſt plus au temps de ces nobles fiertez, Qui par un digne eſſai d’illuſtres cruautez, Vouloient voir d’un Amant la conſtance éprouvée.	Notre gloire n'est plus aujourd'hui conservée, Et l'on n'est plus au temps de ces nobles fierté, Qui par un digne essai d'illustres cruautés, Voulaient voir d'un Amant la constance éprouvée.
De tout ce noble orgueil qui nous ſeyoit ſi bien, On eſt bien deſcendu dans le Siecle où nous ſommes, Et l’on en eſt reduite à n’eſperer plus rien, A moins que l’on ſe jerte à la tête des Hommes.	De tout ce noble orgueil qui nous seyait si bien, On est bien descendu dans le Siècle où nous sommes, Et l'on en est réduite à n'espérer plus rien, À moins que l'on se jerte à la tête des Hommes.
IDIPPE.	JDIPE.
Oüy;	Oui;
voilà le ſecret de l’affaire, & je voy Que vous le prenez mieux que moi.	voilà le secret de l'affaire, et je vois Que vous le prenez mieux que moi.
C’eſt pour nous attacher à trop de bienſeance, Qu’aucun Amant, ma Sœur, à nous ne veut venir, Et nous ne voulons trop ſeûtenir L’honneur de nôtre Sexe, & de nôtre naiſſance, Les Hommes maintenant aiment ce qui leur rit, L’eſpoir, plus que l’Amour, eſt ce qui les attire, Et c’eſt par-là que Pſiché-nous ravit Tous les A mans qu’on voit ſous ſon empire.	C'est pour nous attacher à trop de bienséance, Qu'aucun Amant, ma Sœur, à nous ne veut venir, Et nous ne voulons trop seintenir L'honneur de notre Sexe, et de notre naissance, Les Hommes maintenant aiment ce qui leur rit, L'espoir, plus que l'Amour, est ce qui les attire, Et c'est par-là que Psiché-nous ravit Tous les A ans qu'on voit sous son empire.
