AVERTISSEMENT.	AVERTISSEMENT.
n’a-t’il point quelque nouvel engagement à Madrid, étes vous bien aſſeurée que ſon cœur ſoit a l’épreuve des charmes des Dames de ce Pais-là.	n'a-t-il point quelque nouvel engagement à Madrid, êtes -vous bien assurée que son cœur soit à l'épreuve des charmes des Dames de ce Pais-là.
CLAUDINE	CLAUDINE
S’Il m’eſt permis de dire nettement ce que j’en penſe, je crois ce Seigneur Eſpagnol un froid amant, il eſt vray qu’il écrit de temps en temps, mais il traite les matieres d’amour avec tant de gravité, que je ne le erois pas fort cenduſfé, & je le ſoupçonne d’un peu d’indifſerence.	S'Il m'est permis de dire nettement ce que j'en pense, je crois ce Seigneur Espagnol un froid amant, il est vrai qu'il écrit de temps en temps, mais il traite les matières d'amour avec tant de gravité, que je ne le erais pas fort cendusfé, et je le soupçonne d'un peu d'indifserence.
CHRISTINE.	CHRISTINE.
On ne te demande pas ton avis impertinente, parle quand on te queſtionnera.	On ne te demande pas ton avis impertinente, parle quand on te questionnera.
JUNIE.	JUNIE.
Ma tante je n’ay point encore fujet de rompre avec luy, il eſt vrai qu’il y a quelques mois que je n’ay point de ſes nouvelles, mais bien loin d’acuſer mon amant de pareſſe & de froideur, je m’en prens aux meſſagers & aux poſtillons.	Ma tante je n'ai point encore sujet de rompre avec Madame, il est vrai qu'il y a quelques mois que je n'ai point de ses nouvelles, mais bien loin d'acuser mon amant de paresse et de froideur, je m'en prends aux messagers et aux postillons.
CHRISTINE.	CHRISTINE.
Je vous louë ma niece, de ſuſpendre ainſi voſtre jugement, & de ne donner pas têtes baiſſée dans les prepremieres aparences, je reconnois ici le fuit de mes ſoins & des ſalutaires avis que je vous ay ſouvent donnez, au reſte ma niece, il me ſouvient que je vous ay promis un mauteau de ces petites étoffes qui ſe fabriquent en France de puis peu & qui ſont fort à la mode, allés vousen chés ma voiſine, à l’enſeigne de la Ville de Paris, c’eſt une marchande bien aſſortie, faites vous en montrer de toutes les couleurs, & vous en choiſiſſez une ſelon voſtre goût, ne perdez point de temps, & ne negligez point ce moment favorable, peut être que je changerois d’avis.	Je vous loue ma nièce, de suspendre ainsi vôtre jugement, et de ne donner pas têtes baissée dans les prépremières apparences, je reconnais ici le fuit de mes soins et des salutaires avis que je vous ai souvent donnés, au reste ma nièce, il me souvient que je vous ai promis un mauteau de ces petites étouffes qui se fabriquent en France de puis peu et qui se fort à la modères, as se chés ma voisine, à l'enseigne de la Ville de Paris, c'est une marchande bien assortie, faites vous en montrer de toutes les couleurs, et vous en choisissez une selon vôtre goût, ne perdez point de temps, et ne perdez point ce moment favorable, peut être que je changerois avis.
ONIE.	ONIE.
J'ayune proronde reconnoiſſance de toutes vos bontez, & j’obeis ſans repliquer d’avantage.	J'aiune proronde reconnaissance de toutes vos bontés, et j'obéis sans répliquer d'avantage.
SCENE IV.	SCÈNE IV.
CHRISTINE, CLAVDINE.	CHRISTINE, CLAUDINE.
CHRISTINE.	CHRISTINE.
Ecoute Claudine tu ſçais que je t’ay toûjours fait la grace de te diſtinguer du commun, & que je ne te conconſidere point comme une ſimple ſoubrette, mais comme une fille de jugement, & de quelque eſprit, & c’eſt pour cette raiſon que je t’ay miſe auprés de ma niece, veille donc un peu ſur ſes actions, examine les moindres de ſes demarches juſqu’à ſes manieres de regarder quand elle void de jeunes hommes, & m’en fais un fidelle raport, je tremble de peur qu’elle ne tombe dans les filets de quelque nouveau venu, étant encore dans une ſi grande jeuneſſe, & ſans experience des choſes du monde, ſonde ſon cœur ſur ſon amant Eſpagnol, car c’eſt un bon party que je tâche de luy conſerver, & la detourne de toute autre inclination.	Écoute Claudine tu sais que je t'ai toujours fait la grâce de te distinguer du commun, et que je ne te conconsidère point comme une simple soubrette, mais comme une fille de jugement, et de quelque esprit, et c'est pour cette raison que je t'ai mise auprès de ma nièce, veille donc un peu sur ses actions, examine les moindres de ses démarches jusqu'à ses manières de regarder quand elle voit de jeunes hommes, et m'en fais un fidèle rapport, je tremble de peur qu'elle ne tombe dans les filets de quelque nouveau venu, étant encore dans une si grande jeunesse, et sans expérience des choses du monde, sonde son cœur sur son a Espagnol, car est un bon party que je tâche de lui conserver, et la detourne de toute autre inclination.
CLAUDINE En verité Mademoiſelle, la confiance que vous daignez avoir en moy, me met ſur le dos une charge bien difficile & bien delicate, une fille de ſon âge ce faite comme elle, n’eſt pas fort facile a marier, & j’aprehende que l’ordre que vous me donnez ne vienne aprés coup.	CLAUDINE En vérité Mademoiselle, la confiance que vous daignez avoir en moi, me met sur le dos une charge bien difficile et bien délicate, une fille de son âge ce faite comme elle, n'est pas fort facile à marier, et j'appréhende que l'ordre que vous me donnez ne vienne après coup.
CHRISTINE Comment cette friponne auroit elle quelque intrigue, &.	CHRISTINE Comment cette friponne aurait -elle quelque intrigue, et.
CLAUDINE Ah Mademoiſelle je ne dis pas cela, c’eſt ſeulement un ſoupçon que j’ay, & je lerois bien fachéc de l’en accuſer la pauvre fille.	CLAUDINE Ah Mademoiselle je ne dis pas cela, c'est seulement un soupçon que j'ai, et je lerais bien fâché de l'en accuser la pauvre fille.
CHRISTINE Enfin, quoy qu’il en ſoit penſe bien à ce que je t’ay dit, il y a mille raiſons importantes qui m’obligent, a veiller ſur les actions de ma Niece, je luy remarque ſi je ne me troinpe quelque penchant à la coquetterie, mais j’y donnerai bou ordre où j’y perdrai mon larin, écoute ſi quelqu’un vient me demander, dis que je ſuis ſortie, je vas me retirer pour quelque temps dans mon cabinet, afin d’y faire mes depêches pour Madrid.	CHRISTINE Enfin, quoi qu'il en soit pense bien à ce que je t'ai dit, il y a mille raisons importantes qui m'obligent, a veiller sur les actions de ma Nièce, je lui remarque si je ne me troinpe quelque penchant à la coquetterie, mais j'y donnerai bou ordre où j'y perdrai mon laryn, écoute si quelqu'un vient me demander, dis que je suis sortie, je vas me retirer pour quelque temps dans mon cabinet, afin d'y faire mes dépêches pour Madrid.
SCENE V.	SCÈNE V.
CLAUDINE, ſeule.	CLAUDINE, seule.
U n'es pas mal tombée vieille folle, en venant t’adreſſer a moy pour un pareil ſujet, non, les intereſt de la niece me ſont beaucoup plus chers que ceux de la tante, elle veut que je luy parle en faveur de ſon Eſpagnol, & je n’en ferai rien, le brave amoureux qu’elle nous propoſe ici, le bel adonis de cinquante ans, quel objet pour être l’amant de ma Maîtreſſe, je ne croi pas dans le fond, qu’elle ſente rien de tendre pour luy, & ſelon moy le jeune homme de tantôt ſeroit bien mieux ſon afaire, il ſuffit d’être ſous la direction d’un vieil oncle ou d’une vieille tante, pour dire adieu à tous les innocens amuſemens de la jeuneſſe, conſoren tous ma jeune Maîtreſſe, étudions nous a tromper de concert vôtre tante pour vôtre profit, & utez les plaiſirs dont elle ne veut vous éloigner, que parce qu’elle enrage d’être hors d’age de les prendre, mais St.	V n'es pas mal tombée vieille folle, en venant t'adresser à moi pour un pareil sujet, non, les intérêt de la nièce me sont beaucoup plus chers que ceux de la tante, elle veut que je suis parle en faveur de son Espagnol, et je n'en ferai rien, le brave amoureux qu'elle nous propose ici, le bel adonis de cinquante ans, quel objet pour être l'amant de ma Maîtresse, je ne crois pas dans le fond, qu'elle sente rien de tendre pour lu, et selon y le jeune homme de tantôt serait bien mieux son afaire, il suffit d'être sous la dire un vieil oncle ou une vieille tante, pour dire adieu tous les innocens amusemens de la jeunesse, consoren ts ma jeune Maîtresse, étudions nous a tromper de concert vôtre tante pour vôtre profit, ' utez les plaisirs dont elle ne veut vous ie, que parce elle enrage être hors age de les prendre, mais St.
j’entens quelcun.	j'entends quelcun.
SCENE VI.	SCÈNE VI.
JUNIE, CLAODIRE,	JUNIE, CLADIRE,
JUNIE.	JUNIE.
A Hma chere Claudine je ſuis perdue, je viens de voir ce Cavallier que nous avons vu paſſer tantôt.	À Hma chère Claudine je suis perdue, je viens de voir ce Cavalier que nous avons vu passer tantôt.
CLAUDINE.	CLAUDINE.
En:	En:
pien quoy ent ce un monſtre ſi horrible qu’il ſoit beſoin de faire tant d’exclamations.	pien quoi ent ce un montre si horrible qu'il soit besoin de faire tant d'exclamations.
IVNIE.	IUNIE.
Non, mais écoute, tu ſauras qu'en allant chez la marchande nôtre voiſine, je l’ai vua dix pas de moy, & me voiant entrer dansla boutique, il m’y aſuivie, & aprés s’être fait déplier quelques marchandiſes pour la forme, il s’eſt tourné vers moy, & m’a demandé d’un air auſſi reſpectueux qu’engageant, ſi je n’étois pas la charmante perſonne qu’il avoit vuë à la fenêtre, je lui ay répandu naivement qu’ouy, ſur cela il m’a fait un diſcours fort éloquent & fort bien bien ſuivi quoy que ce ne fut qu’vr impromtu de ſon eſprit.	Non, mais écoute, tu sauras qu'en allant chez la marchande notre voisine, je l'ai va dix pas de moi, et me voyant entrer dansla boutique, il m'y assivie, et après s'être fait déplier quelques marchandises pour la forme, il s'est tourné vers moi, et m'a demandé d'un air aussi respectueux qu'engageant, si je n'étais pas la charmante personne qu'il avait vue à la fenêtre, je lui ay répandu naïvement qu'oui, sur cela il m'a fait un discours fort éloquent et fort bien bien suivi quoi que 'un fut a impromtu de son esprit.
CLE UDINE.	CLÉ UDINE.
Vous en tenez deja ſur ma parols	Vous en tenez déjà sur ma paroles
JUNIE.	JUNIE.
Laiſſe moy donc achever, il m'a dit qu’il étoit François, & qu’i vouloit voir tous les Pais-bas, mais qu’il avoit deſſein de faire du ſejour ici, j’ay d’abord deviné quel étoit ſon but & je ne m’y ſuis point trom pée, car il s’eſt en fin hazardé de me dire, ſi ce ſeroit pécher contre les loix de l’état, ſi un Cavallier étranger comme luy alloit rendre ſes tres-humbles devoirs à une Dame comme moy chez elle, je t’avoue que j’ay rougi a ce diſcours, & que j’ay été un peu ſurpriſe, mais revenant a moy, je luy ay dit que non, mais que ce ſeroit pécher contre les loix de la bienſeance, & que j’érois reſolue de les obſerver exactement, car en effet quelle aparence, luy ay quiules qu'ui inconnu anie de but en blanc viſiter une Dame, il faut ê.	Laisse -moi donc achever, il m'a dit qu'il était Français, et qu'y voulait voir tous les Pays-bas, mais qu'il avait dessein de faire du séjour ici, j'ai d'abord deviné quel était son but et je ne m'y suis point trom pée, car il s'est en fin hasardé de me dire, si ce serait pécher contre les lois de l'état, si un Cavallier étranger comme lui allait rendre ses très-humbles devoirs à une Dame comme moi chez elle, je t'avoue que j'ai rougi à ce discours, et que j'ai été unpeu rise, mais devenant à mo, je lui ay dit que non, mais que ce seroit pécher contre les loix de la bienséance, et que érois résolu de les observer exactement, car en effet quelle in, m a quiules qu' inconnu anie ce but en blanc visiter une Dame, il faut .
tre François pour le faire, & femme de peu de conduite pour recevoir la viſite.	tre Français pour le faire, et femme de peu de conduite pour recevoir la visite.
CLAUDINE.	CLAUDINE.
Voila qui n’eſt pas tant mal raiſonné pour une jeune fille, mais voyons la ſuite.	Voilà qui n'est pas tant mal raisonné pour une jeune fille, mais voyons la suite.
	
JUNIE.	JUNIE.
Enfin ſa retorique a renverſé la mienne, il m’a allegué cent raiſons, ſans pourtant me convaincre tout a fait, & le reſultat de l’affaire eſt qu’il m’a arraché la permiſſion de me venir voir, je t’avouë que j’ay tort, mais ſi tu avois été a ma place, u n’aurois pû faire autrement, cet homme là a une certaine maniere d’inſinuer les choſes que je crol que ma tante même ne pourroit s’en defendre, la permiſſion que j’ay donnée a été ſuivie de fort prés du repentir, j’ay voulu m’en dédire, mais c eſt un lomme qui icart bien ſe ſervir des ocaſions que le hazard lui préſente, & je t’aſſeure que je le redoute extremement.	Enfin sa retorique a renversé la mienne, il m'a allegué cent raisons, sans tant me convaincre tout a fait, et le résultat de l'affaire est qu'il m'a arraché la permission de me venir voir, je t'avoue que j'ai tort, mais si tu avais été à ma place, aurois faire autrement, cet homme a une certaine maniere insinuer les choses que je crol que ma tante même ne pourroit en défendre, la permission que ay donnée a été suivie de fort prés du repentir, ay voulu en dédire, mais ç est un lomme qui icart bien se servir des ocasions que le hazard lui présente, et je asseure que je le redoute extrêmement.
CLAUDINE.	CLAUDINE.
Eh bien, ſuis une bonne Propheteſſe, que vous ay-je dit, n’en voila t’il pas l’acompliſſement, je s’ay ce que vous m’alez dire, qu’il ſ'en eſt encore rien, que ce ne ſeront ront que de pures civilitez qui ſe rendront de part & d’autre, & que vous en demeurerez là, allez je vous connois mieux que vous même & dans le fonds je ne vous blame pas, dans la perſuaſion ou je ſuis que c’eſt un honnete homme, au reſte y a-t’il une fille à l’epreuve de la fleurette Françoiſe, les François font des gens qui ont un merveilleux talent pour debiter les choſes, & pour ſe faire écouter, ce ſont des gens qui paſſent pour faire beaucoup d’impromtus en amour comme en guerre & qui viennent d’abord about de ce qu’ils entreprennent, je veux qu’ils ſe vantent de bien des choſes qu’ils ne font pas, mais la bonne opinion qu’ils ont d’eux mêmes, leur fait hardiment tout entreprendre, & quelquefois ils en viennent about, je vois déja un grand acheminement entre vous deux a un impromru d’amour, & vous verrez qu’il en ſera quelque choſe.	Eh bien, suis une bonne Prophétesse, que vous ai-je dit, n'en voilà t'il pas l'acomplissement, je s'ai ce que vous m'alez dire, qu'il s'en est encore rien, que ce ne seront ront que de pures civilités qui se rendront de part et d'autre, et que vous en demeurerez là, allez je vous connais mieux que vous -même et dans le fond de ne vous blame pas, dans la persuasion ou je suis que c'est un honnête homme, au reste y a-t-il une les à l'une de la fleurette y, les François font des gens à l' un merveilleux talent pour de les choses, et pour a faire ur, ce sont des gens qui passent pour faire a impromtus en amour ç en guerre et qui viennent a about de ce ils pas, le veux ils se ran de bien des ç ails ne font des, mais la bonne opinion quils ont ueux mêmes,leur fait hardiment tout entreprendre, et ale ils en viennent pou, je vois déja un grand se entre vous deux a un impromru amour, et vous verrez il en sera quelque chose.
JUNIE.	JUNIE.
Enfin la faute eſt faite Claudine, je ne crains que ma tante dans cette cette affaire ici mais qu’entends er vima	Enfin la faute est faite Claudine, je ne crains que ma tante dans cette cette affaire ici mais qu'entends er vima
SCENE VII.	SCÈNE VII.
CHRISTINE, JUNE, CLACDINE.	CHRISTINE, JUNE, CLACDINE.
CHRISTINE.	CHRISTINE.
Perſonne n’eſt-il venu me demandl*	Personne n'est-il venu me demandl*
CLAUDINE.	CLAUDINE.
on.	on.
CHRISTINE.	CHRISTINE.
Qu'on prenne bien garde à tout pendant mon abſence, je vas faire untour en ville, & je ſerai ici dans demie heure, vous ma niéce ne vous éloignez pas de la maiſon, je ſuis toûjours dans des tranſes & des aprehenſions mortelles qu’il ne vous arrive quelqu’accident quand vous n’étes point auprés de moy.	Qu'on prenne bien garde à tout pendant mon absence, je vas faire untour en ville, et je serai ici dans demie heure, vous ma nièce ne vous éloignez pas de la maison, je suis toujours dans des transes et des appréhensions mortelles qu'il ne vous arrive quelqu'accident quand vous n'êtes point auprès de moi.
ACTE II.	ACTE II.
CENE I.	CÈNE I.
JUNIE CLAUDINE.	JUNIE CLAUDINE.
CLAUDINE.	CLAUDINE.
Omme aparemment ce Cavalier François ne manquera point de vous venir voir, je ne ſai comment nous ferons pour faire a valer cette pillule a vôtre tante, ſi elle ſe trouve ici quand il y viendra, comme cela pourra arriver.	Omme apparemment ce Cavalier Français ne manquera point de vous venir voir, je ne sais comment nous ferons pour faire à valer cette pillule à votre tante, si elle se trouve ici quand il y viendra, comme cela pourra arriver.
JUNIE Toy qui es inventive, ſi tu pouvois trouver quelque moyen, mais que disje il eſt impoſſible, Claudine queleun vient, qu’eſt ce j’entens chanter:	JUNIE -Toi qui es inventive, si tu pouvais trouver quelque moyen, mais que disje il est impossible, Claudine queleun vient, qu'est ce j'entends chanter:
SCENE II.	SCÈNE II.
VEPINE, le CHEVALIER, JUNIE,	VEPINE, le CHEVALIER, JUNIE,
CLAUDINE.	CLAUDINE.
l'Epine a Claudine qui s’avance vers la porte.	l'Épine a Claudine qui s'avance vers la porte.
Dites moy ma belle, vôtre charmante Maîtreſſe eſt-elle viſibile.	Dites -moi ma belle, votre charmante Maîtresse est-elle visibile.
CLAUDINE.	CLAUDINE.
Qui la demande, s’eſt ſelon les gens.	Qui la demande, s'est selon les gens.
L’EPINE.	L'ÉPINE.
C'eſt Monſieur le Chevalier de Llllac mon Maître que voici.	C'est Monsieur le Chevalier de Llllac mon Maître que voici.
Le Chevalier entrant ſans attendre la réponſe.	Le Chevalier entrant sans attendre la réponse.
C’eſt moy ma Fille ne me reconnoiſſez vous pas.	C'est moi ma Fille ne me reconnaissez vous pas.
ſtie, & il faut que je m’attende a quelque compliment facheux, mais je tiens qu’il eſt impoſſible a tout homme de bon gouſt de vivre deAime meure rans vous von, apres vous avoir vuë une fois.	stie, et il faut que je m'attende a quelque compliment fâcheux, mais je tiens qu'il est impossible à tout homme de bon goût de vivre deAime meure rans vous von, après vous avoir vue une fois.
CLAUDINE, parlant pour ſa Maîtreſſe un peu interditte.	CLAUDINE, parlant pour sa Maîtresse un peu interditte.
En effet Monſieur je vous avoüe que vos airs ſont un peu Cavalliers, les Dames de Namur ne ſont pas ſi acceſſibles que vous penſez.	En effet Monsieur je vous avoue que vos airs sont un peu Cavaliers, les Dames de Namur ne sont pas si accessibles que vous pensez.
JVNIE.	JUNIE.
Il eſt certain Monſieur que vôtre hardieſſe eſt extreme, & il faut être le premier favori de la Fortune, pour être bien reçu aprés une telle action.	Il est certain Monsieur que votre hardiesse est extrême, et il faut être le premier favori de la Fortune, pour être bien reçu après une telle action.
LE CHEVALIER.	LE CHEVALIER.
Puis-je me flatter Mademoifelle d’être ce favori bien heureux, puisje eſperer d’apaiſer le couroux que je vois dans vos yeux, que faut-il faire pour obtenir mon pardon, parlez Mademoiſelle, je ſuis prêt de ſubir la peine qu’il vous plaira m' impoſer.	Puis-je me flatter Mademoifelle d'être ce favori bien heureux, puisje espérer d'apaiser le courroux que je vois dans vos yeux, que faut-il faire pour obtenir mon pardon, parlez Mademoiselle, je suis prêt de subir la peine qu'il vous plaira m' imposer.
CLAVDINE.	CLAUDINE.
Bon bon, vous allez vous embaraſſer raſſer tous deux de cent frivoles raià Junie.	Bon bon, vous allez -vous embarasser asser tous deux de cent frivoles raià Junie.
ſonnemens, raſſeurez vous Mademoiſelle, ſi Monſieur a fait une incongruité, il en eſt fort repentant, je vous conſeille pour couper court de luy pardonner ſa faute, a condition qu’à l’avenir, dans d’autres conjonctures, il uſe de plus de circirconſpection.	sonnements, rassurez -vous Mademoiselle, si Monsieur a fait une incongruité, il en est fort repentant, je vous conseille pour couper court de lui pardonner sa faute, a condition qu'à l'avenir, dans d'autres conjonctures, il use de plus de circonspection.
LE CHEVALIER Sh ma Fille tu me rends la vie, touſſſient t’apenes-tu, il faut que je mette ton nom ſur mes tablettes, à Junie.	LE CHEVALIER Sh ma Fille tu me rends la vie, tousssient t'apène-tu, il faut que je mette ton nom sur mes tablettes, à Junie.
