Auec priuilege du Roy.	Avec privilège du Roi.
Valet du Capitan.	Valet du Capitan.
du Docteur.	du Docteur.
Amy de Leandre.	Ami de Léandre.
d OMEDIE.	d OMEDIE.
12 *1 L	12 *1 L
HOR TENSE & Nfin ceſſez mes ſoings, les portes de l’aurore, Au brillant char toujourmes ouurent pas enccore, 220 La nuict ſur tous les yeux, preſſe encor ſes pauots, Pour moy ſeul ma lheureux, il n’eſt point de repos Ma feule paßion qui n’a point de pareilles, A d’eternelles nuicts;	HOR TENSE et Nfin cessez mes soings, les portes de l'aurore, Au brillant char toujourmes ouvrent pas encore, 220 La nuit sur tous les yeux, presse encor ses pauots, Pour moi seul ma lheureux, il n'est point de repos Ma feule passion qui n'a point de pareilles, A véternelles nuits;
foint d’eternelles veilles;	foint d'éternelles veilles;
A F.	À F.
Depuis que cét amour poſſede mes eſprits;	Depuis que cet amour possède mes esprits;
Iamais encor, au lict, le jour ne m'a ſurpris, Et depuis, du ſommeil les agreables charmes Ont bouſché voirement le paſſage à mes larmes;	Jamais encor, au lit, le jour ne m'a surpris, Et depuis, du sommeil les agréables charmes Ont bousché voirement le passage à mes larmes;
Mais qu'à propos m'a peur m’a tiré de mon lict, Le jour commence à poindre, & la Lune pallit, Alfonſe, aſſeurement, ne tardera plus guere rbttuupoyem du depart qu’il eſpere;	Mais qu'à propos m'a peur m'a tiré de mon lit, Le jour commence à poindre, et la Lune pallit, Alfonse, assurément, ne tardera plus guère rébttuupoyem du départ qu'il espère;
Mais iu nounoprenmnu quon priuole ſoucy, La mort ſeule a pouuoir de me tirer d’icy.	Mais ju nouvnoprennu quon privole souci, La mort seule a pouvoir de me tirer d'ici.
SCENE II.	SCÈNE II.
ALFONSE.	ÀLFONSE.
HORTENSE.	HORTENSE.
ALFONSE.	ÀLFONSE.
Vel'caprice eſt pareil, à cette extrauagante?	Velcaprice est pareil, à cette extravagante?
An homme de moyens & de noble naiſſance, Eſtimé cheZ les ſiens, chery, craint, reſpecté, Sous le pouuoir d’autruy, ranger ſa liberté;	An homme de moyens et de noble naissance, Estimé cheZ les siens, chéri, craint, respecté, Sous le pouvoir d'autrui, ranger sa liberté;
Et qui plus eſt, andoνs ſout loiſouuoir d’Horace, Le meurtrier de ſon ſang, la hayne de ſa race, L’ennemy conjuré de toute ſa maiſon;	Et qui plus est, andoνs sout loisouuoir d'Horace, Le meurtrier de son sang, la haine de sa race, L'ennemi conjuré de toute sa maison;
Quel ſort, pauure Leandre, a troublé ta raiſon;	Quel sort, pauvre Léandre, a troublé ta raison;
Et qui peut t’obliger à viure de la ſorte?	Et qui peut t'obliger à vivre de la sorte?
Il ne m'a pas manqué;	Il ne m'a pas manqué;
le voyla ſur ſa porte;	le voilà sur sa porte;
Et bien, noſtre depart, n'eſt il pas reſolu?	Et bien, notre départ, n'est il pas résolu?
HORTENSE.	HORTENSE.
Heureux qui comme toy, ſur ſoy-meſme abſolu, Voulant ſans de pendance, execute de meſme;	Heureux qui comme toi, sur soi-même absolu, Voulant sans de pendance, execute de même;
Pour moy, ie ne le puis;	Pour moi, Seigneur ne le puis;
AEPONSE.	APONSE.
Pourquoy?	Pourquoi?
HORTENSE Pource que i’ayme;	HORTENSE Pource que j'aime;
Alfonſe, au nom d’amour, ce tyran de mes ſens, Puis qu’il faut t’auoüer les ennuis que ie ſens, Et puiſque tu prend part en ce qui me regarde, Raconte en peu de mots, quel ſujet me retarde;	Alfonse, au nom d'amour, ce tyran de mes sens, Puis qu'il faut t'auoüer les ennuis que je sens, Et puisque tu prend part en ce qui me regarde, Raconte en peu de mots, quel sujet me retarde;
Et m'epargne vn peu plus, que tu ne fis hier, Que me traictant de fol, (tu ne le peux nier,) Tu t’enfuis, & me dis, qu’entre Florence, & Gennes, Tu preterois l’oreille, au recit de mes peines.	Et m'épargne un peu plus, que tu ne fis hier, Que me traitant de fol, (tu ne le peux nier,) Tu t'enfuis, et me dis, qu'entre Florence, et Gennes, Tu preterois l'oreille, au récit de mes peines.
ALFONSE.	ÀLFONSE.
Ie craignois de te voir, (& non ſans fondement) Plus d’obſtination, que de raiſonnement.	Je craignais de te voir, (1 non sans fondement) Plus d'obstination, que de raisonnement.
Et pour cette raiſon, te m'en voulois deffendre;	Et pour cette raison, te m'en voulais défendre;
Mais, parle maintenant, ie ſuis preſt de t’entendre, Et ſçauoir quel ſujet empeſche ton depart:	Mais, parle maintenant, je suis prêt de t'entendre, Et savoir quel sujet empêche ton départ:
Tirons nous ſeulement vn peu plus à l’ecart.	Tirons nous seulement un peu plus à l'épart,
A ij .	À ij .
2 De peur, qu’eſtant enſemble apperceus de ton maiſtre, Qui, (comme il m'a cogneu) me pourroit reconnoiſtre, Il n’ait lieu de ſoupçon, touchant noſtre entretien, Et que ie ne te nuiſe, en te voulant du bien.	2 De peur, qu'étant ensemble aperçus de ton maître, Qui, (comme il m'a connu) me pourrait reconnaître, Il n'ait lieu de soupçon, touchant notre entretien, Et que je ne te nuise, en te voulant du bien.
Car il ſçait l’intereſt que ie pris en l’affaire, Lors que contre ſon fils, ie ſeconday ton frere:	Car il sait l'intérêt que ie mme en l'affaire, Lors que contre son fils, toujours secondai ton frère:
HORTENSE.	HORTENSE.
Il eſt vray, ton aduis n'eſt pashors de propos, Nous ſerons mieux icy,	Il est vrai, ton avis n'est pashors de propos, Nous serons mieux ici,
ALFONSE.	ÀLFONSE.
Parle donc, en deux mots.	Parle donc, en deux mots.
HORTENSE.	HORTENSE.
Il te ſouuient aſſez d’auoir veu cheZ Horace, Vn parfait abregé, de merueille, & de grace, Vne fille, l’aymant des yeux, & des eſprits, A qui ſur ſes beautez, Gennes donnoit le prix.	Il te souvient assez d'avoir vu chez Horace, Un parfait abrégé, de merveille, et de grâce, Une fille, l'aimant des yeux, et des esprits, À qui sur ses beautés, Gennes donnait le prix.
En vn mot cette aymable, & parfaite Clarice, Que toy-meſme, iugeois digne de mon ſe ruice, Sans le long different, & ſi cogneu de tous, Que mon frere, & le ſien, ont ſemé parmy nous.	En un mot cette aimable, et parfaite Clarice, Que toi-même, jugeais digne de mon se ruice, Sans le long différent, et si connu de tous, Que mon frère, et le sien, ont semé parmi nous.
AFONSE.	AFONSE.
Il eſt vray que Clarice, eſt rare, entre les filles.	Il est vrai que Clarice, est rare, entre les filles.
HORTENSE.	HORTENSE.
Mais quoy que ce malheur diuiſast nos familles, Et de cette diſcorde allumaſt les tiſons, Vn ſeul mur, toutesfois, ſeparott nos maiſons.	Mais quoi que ce malheur divisât nos familles, Et de cette discorde allumât les tisons, Un seul mur, toutefois, séparott nos maisons.
HERAITOL.	HÉRAITOL.
Il m'en ſouuient, apres.	Il m'en souvient, après.
HORTENSE.	HORTENSE.
Tu ſçais qu’vn beau viſage Eſt à de jeunes cœurs, vn mauuais voiſinage, Que l’archer eſtant proche, adreſſe mieux ſes traits, Et qu’il eſt dangereux d’eſtre aſſailly de prés:	Tu sais qu'un beau visage Est à de jeunes cœurs, un mauvais voisinage, Que l'archer étant proche, adresse mieux ses traits, Et qu'il est dangereux d'être assailly de près:
Ie vis donc tant de fois ce jeune astre pareſtre, Sur ſa porte, en la rüe, au temple, à ſa feneſtre, Qu’il n’est pas malayſé de te perſuader Le mat qu'iim arrina de le trop regarder, Dire ie l'adoray, c’eſt vn terme ordinaire, Qui ſent trop ſa tiedeur, & ſon amour vulgaire, Ie pendis tout repos, ie deuins tout de feu, Ie languis, ie mourus, c’eſt dire encor trop peu.	Je vis donc tant de fois ce jeune astre paraître, Sur sa porte, en la rue, au temple, à sa fenêtre, Qu'il n'est pas malaisé de te persuader Le mat qu'iim arrina de le trop regarder, Dire sans l'adorai, c'est un terme ordinaire, Qui sent trop sa tiédeur, et son amour vulgaire, Je pendis tout repos, Seigneur devins tout de feu, Je languis, ie mourus, c'est dire encor trop peu.
ALFONSE.	ÀLFONSE.
C’eſt le ſtyle ordinaire, & pour peu que l’on ayme, On ſouffre, on bruſle, on meurt, tous en diſent de meſme.	C'est le style ordinaire, et pour peu que l'on aime, On souffre, on brûle, on meurt, tous en disent de même.
A iij	À jijà
HORTENSE.	HORTENSE.
De fortune ma chambre & ſon appartement Se trouuoient ſeparés, par vn mur ſeulement, Et qui parle deffaut de certaine joincture, Amon ardent deſir offrit vne ouuerture, Là trouuerent paſſage, & mes yeux, & ma voix, Comme, on dit que Pyrame, en vſoit autrefois, Mon cœur luy fut offert, par cét heureux paſſage, Le ſien (auecques vœux) accepta mon ſeruage, Et mon amour, au ſein de ce jeune ſoleil, Se vid vn frere, & d’âge, & de force pareil.	De fortune ma chambre et son appartement Se trouvaient séparés, par un mur seulement, Et qui parle défaut de certaine jointure, Amon ardent désir offrit une ouverture, Là trouvèrent passage, et mes yeux, et ma voix, Comme, on dit que Pyrame, en usait autrefois, Mon cœur lui fut offert, par cet heureux passage, Le sien (auecques vœux) accepta mon servage, Et mon amour, au sein de ce jeune soleil, Se vit un frère, et d'âge, et de force pareil.
Mais ſongeant au ſuccez des amours de Pyrame, Quoy qu'en meſme beſoing, preſſé de meſme flame, Nous n'en ſuiuiſmes pas la reſolution, Et tinſmes mieux la bride à noſtre paßion.	Mais songeant au succès des amours de Pyrame, Quoi qu'en même besoin, pressé de même flamme, Nous n'en suivîmes pas la résolution, Et tinsmes mieux la bride à notre passion.
Nous creuſmes que le temps finiroit nos miſeres, Auecques les diſcords, eſmeus entre nos peres, Et tous deux aſpirants apres cét heureux jour, Demeuraſmes vnis d’vne immortelle amour.	Nous crûmes que le temps finirait nos misères, Avecques les discords, émus entre nos pères, Et tous deux aspirants après cet heureux jour, Demeurâmes unis d'une immortelle amour.
Nos peres cependant, n’en vſoient pas de meſme, Autant que noſtre amour leur hayne eſtoit extrême, Et cette hayne entr'eux auoit meu des procez, Dont Horace eut ſubjet de craindre le ſuccez;	Nos pères cependant, n'en usaient pas de même, Autant que notre amour leur haine était extrême, Et cette haine entr'eux avait meu des procès, Dont Horace eut sujet de craindre le succès;
De ſorte qu’vne nuit ſuiuy de ſa famille, Il m’osta l’eſperance, & l’ame auec ſa fille, Auec tant de ſurpriſe & ſi ſecretement, Que ie n’en pus auoir vn adieu ſeulement.	De sorte qu'une nuit suivi de sa famille, Il m'ôta l'espérance, et l'âme avec sa fille, Avec tant de surprise et si secrètement, Que notre n'en pus avoir un adieu seulement.
Iuge, ſi ma douleur paſſa toute creance, Le bruit courut enfin, qu’ils tiroient vers Florence, Ou auomtoonap noneuu suncrcuumue pouſpirs, Où bien-tostapres eux, volerent mes deſirs.	Juge, si ma douleur passa toute créance, Le bruit courut enfin, qu'ils tiraient vers Florence, Ou auomtoonap noneuu suncrcuumue pouspirs, Où bien-tostapres eux, volèrent mes désirs.
ALFONSE.	ÀLFONSE.
Tu tins ſoigneuſement cette flame couuerte, Et tu ſceus bien cacher le regret de ſa perte;	Tu tins soigneusement cette flamme couverte, Et tu sut bien cacher le regret de sa perte;
Tu diſparus, en fin, mais le bruit n'estoit pas, Que deuers ce pays s’adreſſaſſent tes pas, Et l’on parloit d’Eſpagne, & non pas de Florence.	Tu disparus, en fin, mais le bruit n'était pas, Que devers ce pays s'adressassent tes pas, Et l'on parlait d'Espagne, et non pas de Florence.
HORTENSE.	HORTENSE.
L’amour m’auoit appris la leçon du ſilence, Et contraignit ſi bien toutes mes actions, Que te le tins caché, parmy cent eſpions.	L'amour m'avait appris la leçon du silence, Et contraignit si bien toutes mes actions, Que te le tins caché, parmi cent espions.
Enfin ſollicité de ce plaiſant martyre, Ie faits deſſein d’aller, où mon aymant m'attire, Et par vn faux eſcrit, que ie laiſſay chez nous, Qui fut creu de mon pêre, & vous abuſa tou,, Ie feicnis de partir, pour dans la Cour d’Eſpagne, Eſprouuer quel malheut, ou quet heurm'accompaMais trouuãt, au contraire, vn nauire étrãger, Igne, Chargé pour tendre à Piſe, & preſt à nauiger, Ie prens l’occaſion, & parts en eſperante:	Enfin sollicité de ce plaisant martyre, Je faits dessein d'aller, où mon aimant m'attire, Et par un faux écrit, que ie laissai chez nous, Qui fut cru de mon père, et vous abusa tou, Je feicnis de partir, pour dans la Cour d'Espagne, Esprouver quel malheut, ou que heurm'accompaMais trouvant, au contraire, un navire étranger, Igne, Chargé pour tendre à Pise, et prêt à naviger, Je prens l'occasion, et parts en esperante:
De prendre port à Piſe, & me rendre à Florence.	De prendre port à Pise, et me rendre à Florence.
ALFONSE.	ÀLFONSE.
Où tuperds, ſans eſpoir, le plus beau de tes iours;	Où tuperds, sans espoir, le plus beau de tes jours;
Car, depuis, le Soleila fait ſept fois ſon cours;	Car, depuis, le Soleila fait sept fois son cours;
O malheureux Leandre!	Ô malheureux Léandre!
Hé quelle eſt ta fortune?	Hé quelle est ta fortune?
HORTENSE.	HORTENSE.
Arreste, ne voicy que la ſixieſme Lune, Que Florence me conte entre ſes habitans.	Arrête, ne voici que la sixième Lune, Que Florence me conte entre ses habitants.
ALFONSE.	ÀLFONSE.
Mais, depuis ton depart, il s’eſt paſſé ſept ans.	Mais, depuis ton départ, il s'est passé sept ans.
HORTENSE.	HORTENSE.
Il eſt vray, mais la nuict que ie partis de Gennes, Noſtre vaiſſeau fut pris, & ie fus mis aux chaiſnes.	Il est vrai, mais la nuit que Seigneur partis de Gennes, Notre vaisseau fut pris, et été fus mis aux chaînes.
ALFONSE.	ÀLFONSE.
O Dieux!	Ô Dieux!
que me dis-tu?	que me dis-tu?
mais ſi toſt, & comment?	mais si tôt, et comment?
HORTENSE.	HORTENSE.
La nuict, la meſme nuict de noſtre embarquement, Nous fuſmes rencontreZ d’vn vaiſſeau de corſaires, De ces costes de mer écumeurs ordinaires, Et depuis i’ay paßé ſix ans entre leurs mains, Et nourry mon amour, parmy ces inhumains.	La nuit, la même nuit de notre embarquement, Nous fûmes rencontrez d'un vaisseau de corsaires, De ces côtes de mer écumeurs ordinaires, Et depuis j'ai passé six ans entre leurs mains, Et nourri mon amour, parmi ces inhumains.
Que	Que
COMEDIE.	COMÉDIE.
ALFONSE.	ÀLFONSE.
Que ne fis-tu ſçauoir ton ſeruage à ton pere, Eui par on prompt raunapt teuſ tiré de miſeres	Que ne fis-tu savoir ton servage à ton père, Eui par on prompt raunapt teus iré de misères
HORTENSE.	HORTENSE.
Il l’euſt fait, ie le croy, mais ie craignis qu’apres.	Il l'eût fait, ie le crois, mais ainsi craignis qu'après.
Me faiſant obſeruer & veiller de plus pres, Il m'oſtaſt les moyens de reuoir ma Clarice.	Me faisant observer et veiller de plus pres, Il m'ôtât les moyens de revoir ma Clarice.
GAanaas Et comment donc le Cielte fut il ſi propice, Que de te retirer des mains de ces voleurs?	GAanaas Et comment donc le Cielte fut il si propice, Que de te retirer des mains de ces voleurs?
HORTENSE.	HORTENSE.
Voicy par quel moyen il changea mes malheurs, Vn jeune Courtiſan des fauoris du Prince, Et des plus renommés dedans cette Prouince, Puijfuunun poiru lſrune & m'ayant par haſard Veu dans vn des vaiſſeaux ſouſpirer à l’écart, Par vn ſecret inſtinct, touché de mes miſeres M’achepta cent ducats du maistre des Corſaires Et quelque temps apres me rendit en ces lieux:	Voici par quel moyen il changea mes malheurs, Un jeune Courtisan des favoris du Prince, Et des plus renommès dedans cette Province, Puijfuunun poiru lâtrune et m'ayant par hasard Veu dans un des vaisseaux soupirer à l'écart, Par un secret instinct, touché de mes misères M'achepta cent ducats du maître des Corsaires Et quelque temps après me rendit en ces lieux:
ALFONSE.	ÀLFONSE.
Il ſçait donc ton amour?	Il sais donc ton amour?
HORTENSE.	HORTENSE.
M'en preſeruent les Dieux:	M'en préservent les Dieux:
Bien moins ie l’aſſeuray de n’auoir connoiſſance De qui, ny de quel lieu, ie tenois ma naiſſance, Et que par quelque ſerf ſouſtrait à mes parens, I'auois eſté vendu dés mes plus ieunes ans.	Bien moins Seigneur l'assurai de n'avoir connaissance De qui, ni de quel lieu, toujours tenais ma naissance, Et que par quelque serf soustrait à mes parents, J'avais été vendu dès mes plus jeunes ans.
Mais ie luy dois encor vne ſeconde grace, Car c’eſt par ſon moyen que ie ſers chez, Horace, Et que i’ay le bonheur d’admirer quand ie veux.	Mais quelque grande dois encor seconde grâce, Car c'est par son moyen que je sers chez, Horace, Et que j'ai le bonheur d'admirer quand personne veux.
Le ſubjet de mes maux, & l’objet de mes vœux.	Le sujet de mes maux, et l'objet de mes vœux.
Ce genereux amy ſe treuua par fortune, (Voy que l’occaſion me fut lors opportune, Et comme de mes maux les Dieux prirent pitié) Auoir auec Horace vne étroite amitié;	Ce généreux ami se trouva par fortune, (Voi que l'occasion me fut lors opportune, Et comme de mes maux les Dieux prirent pitié) Avoir avec Horace quelque étroite amitié;
Et voyant par hazard ce vieillard faire enqueſte De quelque homme d’eſprit;	Et voyant par hasard ce vieillard faire enquête De quelque homme d'esprit;
& de naiſſance honneſte, Sur qui dans ſa debile & penchante ſaiſon, Il ſe püſt décharger des ſoings de ſa maiſon, M'en conjura d’abord, auec autant d’inſtance, Que s’il euſt deu preuoir beaucoup de reſiſtance.	et de naissance honnête, Sur qui dans sa débile et penchante saison, Il se pût décharger des soings de sa maison, M'en conjura d'abord, avec autant d'instance, Que s'il eût de voir beaucoup de résistance.
Et que s’il m'euſtpreßé pour ſon propre intereſt;	Et que s'il m'eustpressé pour son propre intérêt;
Tu ne dois pas douter s’il m'y treuua tout preſt, Veu que par ſon rapport il fiſt qu’Horace meſme, Me vint ſolliciter de ce bon heur extreſme.	Tu ne dois pas douter s'il m'y trouva tout prêt, Veu que par son rapport il fit qu'Horace même, Me vint solliciter de ce bon heur extrême.
I'acceptay ce ſeruage, où i’ay depuis ſix mois, Eu libre, auec Clarice, & la veuë, & la voix, Dù i’eſpere obtenir, par l’accord de nos peres, En la fin de mes vœux, celle de mes miſeres.	J'acceptai ce servage, où j'ai depuis six mois, Eu libre, avec Clarice, et la vue, et la voix, Dù j'espère obtenir, par l'accord de nos pères, En la fin de mes vœux, celle de mes misères.
ALFONSE.	ÀLFONSE.
QQue te dit-elle encor?	QQue te dit-elle encor?
t'a-telle recogneu?	t'a-telle reconnu?
HORTENSE.	HORTENSE.
Non, car mon nom changé, le poil qui m’eſt venu;	Non, car mon nom changé, le poil qui m'est venu;
Et les trauaux ſoufferts durant ce long ſeruage, ubom propquurumumpode monpremier viſage.	Et les travaux soufferts durant ce long servage, ubom propreurumumpode monpremier visage.
Toy-meſme ſçais qu’hier, rencontré ſur mes pas, Tu voulois paſſer outre, & ne me cogneus pas.	Toi-même sais qu'hier, rencontré sur mes pas, Tu voulais passer outre, et ne me connus pas.
Et ſon pere?	Et son père?
ALFONSE.	ÀLFONSE.
HORTENSE.	HORTENSE.
atacaa Maousse;	ataca Maousse;
ALFONSE.	ÀLFONSE.
Et l’on t’appelle?	Et l'on t'appelle?
HORTENSE.	HORTENSE.
Hortenſe.	Hortense.
ALFONSE.	ÀLFONSE.
O Leandre* ô quel tort tu fais à ta naiſſance, Que le honteux eſtat de ta condition, Te faſſe auoir dé toy quelque compaßion.	Ô Leandre* ô quel tort tu fais à ta naissance, Que le honteux état de ta condition, Te asse avoir dé toi quelque compassion.
Ou ſi tu n’es ſenſtble à ta propre miſere, Prend contre ton amour l’interest de ton frere, Conſulte vn peu ton ſang, prens en les differens, Et ne fay rien pour toy, mais fay pour tes parens.	Ou si tu n'es senstble à ta propre misère, Prend contre ton amour l'intérêt de ton frère, Consulte un peu ton sang, prends en les différents, Et ne fais rien pour toi, mais fais pour tes parents.
HORTENSE.	HORTENSE.
Toy-meſme epargne toy cette inutile peine, En choquant mon amour, tu gagnerois ma haine;	Toi-même épargne toi cette inutile peine, En choquant mon amour, tu gagnerais ma haine;
Ie ſçay qu'en me nuiſant tu penſe m'obliger, Et me tirant d’icy, me tirer de danger;	Je sais qu'en me nuisant tu pense m'obliger, Et me tirant d'ici, me tirer de danger;
Mais bien loing de me rendre vn ſalutaire office, Sçache que ie mourois ſeparé de Clarice, Et qu’entre mon treſpas, & ſoneſloignement, A peine ma douleur laiſſeroit vn moment.	Mais bien loin de me rendre un salutaire office, Sçache que tu mourais séparé de Clarice, Et qu'entre mon trépas, et sonesloignement, À peine ma douleur laisserait un moment.
Mais ſi ton amitié me veut prouuer ſon Zele, Tu n’en peux ſouhaitter d’occaſion plus belle;	Mais si ton amitié me veut prouver son Zèle, Tu n'en peux souhaiter d'occasion plus belle;
Entre nos deux maiſons, mets la paix que i’attends, Calmes en les diſcords, fay l’ouurage du temps;	Entre nos deux maisons, mets la paix que j'attends, Calmes en les discords, fais l'ouvrage du temps;
