An Iem ay Chez CLAVDE LE VILLAIN, Libraite, & Relieur du ROY, ruë du Bec, à la bonne Renommée.	An Iem ai Chez CLAUDE LE VILLAIN, Libraite, et Relieur du ROY, rue du Bec, à la bonne Renommée.
„ Ce qui luy plaiſt vn iour l’autre luy peut » Puis ce n’eſt à ce ſiecle à iuger nos ouurages, „ C’eſt la poſterité qui ſans voile où nuages,  Approuuera nos vers:	„ Ce qui était plaît un jour l'autre avait peut " Puis ce n'est à ce siècle à juger nos ouvrages, „ C'est la postérité qui sans voile où nuages, Approuvera nos vers:
ce liure „, C’eſt à ceux qui viendront d’empeſcher que » Ne ſoit mangé des vers, », Où bien à le ietter comme indigne de viure.	ce livre „, C'est à ceux qui viendront d'empêcher que " Ne soit mangé des vers, ", Où bien à le jeter comme indigne de vivre.
» La gloire des Autheurs ne vit qu’apres leur vie:	" La gloire des Auteurs ne vit qu'après leur vie:
» Ils ſont durant leurs iours la butte de l’enuie, » Qui meurt quand & leur mort:	" Ils sont durant leurs jours la butte de l'envie, " Qui meurt quand et leur mort:
» Car Dieu veut que celuy qui ne ſe peut deffendre,	" Car Dieu veut que celui qui ne se peut défendre,
14 Le Berger Inconneu, „ Phebus le canoniZe, & parle pour ſa cendre.	14 Le Berger Inconnu, „ Phebus le canonize, et parle pour sa cendre.
De tant d’œuures diuers qui vollent par la terre, Deux ou trois ſeulement, par vne iuſte guerre.	De tant d'œuvres divers qui vollent par la terre, Deux ou trois seulement, par une juste guerre.
Echaperons au temps:	Échapperons au temps:
Le reſte ſeruira de victime à la Parque, Et l’iniure des ans S’ils ont iamais eſté ne laiſſera la marque.	Le reste servira de victime à la Parque, Et l'injure des ans S'ils ont jamais été ne laissera la marque.
Comme le vieil priam ſous les mufs de ſa ville, Vid mourir ſes enfans ſous le glaiue d'Achile, Auant que de finir:	Comme le vieil priam sous les mûs de sa ville, Vid mourir ses enfants sous le glaiue d'Achille, Avant que de finir:
Pluſieurs verrons mourir deuant eux leurs ou.	Plusieurs verrons mourir devant eux leurs ou.
urages, Qu’ils oſoyent ſoutenir, Deuoir vaincre les ans, les ſiecles, & les âges, Si c’eſt ce vain eſpoir qui de moy te ſepare, Demeure en mon eſtude, & iamais ne t’égar La Dans le monde peruers?	urages, Qu'ils osaient soutenir, Dévoir vaincre les ans, les sièges, et les âges, Si c'est ce vain espoir qui de moi te sépare, Demeure en mon étude, et jamais ne t'égar La Dans le monde pervers?
Meurs pluſtoſt en mon toict, qu’en maiſon Es 3 eſtrangere, C’eſt aſſeZ que mes vers Empeſchent d’eſtre oyſifs les loiſirs de ton pere Et quand tu te verrois en cent lieux eſtimée Dequoy me ſeruira ta vaine renommée En ce ſiecle de fer?	Meurs plutôt en mon toit, qu'en maison Es 3 étrangère, C'est assez que mes vers Empêchent d'être oissifs les loisirs de ton père Et quand tu te verrais en cent lieux estimée Dequoi me servira ta vaine renommée En ce siècle de fer?
Alexandre n’eſt plus, des princes l’exẽplain N	Alexandre n'est plus, des princes l'explain 
Qui pour nous échauffer Donnoit à chaque vers vn talent pour ſalaire.	Qui pour nous échauffer Donnait à chaque vers un talent pour salaire.
Tant d’eſprits ignorans, indignes de Parnaſſe, Ont grimpé ſur ce Mont, qu’ils ont oſté la grace Et l’honneur à Phebus:	Tant d'esprits ignorants, indignes de Parnasse, Ont grimpé sur ce Mont, qu'ils ont ôté la grâce Et l'honneur à Phebus:
Ils ont troublé les eaux des filles de memoire, Et tient-on pour abus D'aller voir Hypocrene, & s’efforcer d’y boire.	Ils ont troublé les eaux des filles de mémoire, Et tient-on pour abus D'aller voir Hypocrène, et s'efforcer d'y boire.
On tient cette ſcience auiourd’huy ſi cõmune, Venir encor du Ciel, mais du Ciel de la Lune, Et ceux que le vieil temps Recourent pour les Dieux, & les Anges du Se tiennent fort contens (monde, Si contre leurs beaux vers l’ignorãce ne grõde.	On tient cette science aujourd'hui si commune, Venir encor du Ciel, mais du Ciel de la Lune, Et ceux que le vieil temps Recourent pour les Dieux, et les Anges du Se tiennent fort contents (monde, Si contre leurs beaux vers l'ignorée ne grande.
Tout conſpire à chaſſer les beaux erts de la terre!	Tout conspire à chasser les beaux erts de la terre!
Mars en pure rapine a fait changer la guerre!	Mars en pure rapine a fait changer la guerre!
La vertu n’a plus lieu:	La vertu n'a plus lieu:
Ce ſiecle depraué de ſa fin nous menace, Et meſme ce grand Dieu N’eſt plus ſeruy de nous que de mine, et de face.	Ce siècle depravé de sa fin nous menace, Et même ce grand Dieu N'est plus servi de nous que de mine, et de face.
Demeure donc, ma fille en ma chambre enfermée!	Demeure donc, ma fille en ma chambre enfermée!
Que le deſir des biens, & de la renommée, Ne l’enchante iamais!	Que le désir des biens, et de la renommée, Ne l'enchante jamais!
D’aucune faim de l’or ie n’ay l’ame geſnée, Ny n'auray deſormais,	D'aucune faim de l'or ie n'ai l'âme gênée, Ni n'aurai désormais,
Le Berger Inconneu, Car mõ ambition dans mes champs eſt bornée, Ainſi me diſt mon pere, à noſtre departie, Afin que ſi i'errois faute d’eſtre aduertie, Il n’en fuſt pas repris:	Le Berger Inconnu, Car mõ ambition dans mes champs est bornée, Ainsi me dît mon père, à notre départie, Afin que si j'errais faute d'être avertie, Il n'en fût pas repris:
Et tu vois bien par là quelle eſtoit ſa penſée, Et cembien ſes eſprits S’élongnoyent du deſir dont ſon ame eſt preßée, Ainſi diſt ceſte fille, & puis ſe delibere, Außi toſt q̃ Phebus deſſus noſtre Hemi-ſphere Ramenera le iour, D’aller voir la contrée ou ſon pere demeure, Afin que ſon retour L’oblige à luy donner vne robbe meilleure.	Et tu vois bien par là quelle était sa pensée, Et cembien ses esprits S'élongnoyent du désir dont son âme est assez, Ainsi dît cette fille, et puis se délibère, Aussi tôt q Phebus dessus ion Hemi-sphère Ramenera le jour, D'aller voir la contrée ou son père demeure, Afin que son retour L'oblige à lui donner une robe meilleure.
4 Ladon, eſt vn donx fleuue ou verdit pour trophée Le roſeau de Syringue, & ſe perd dans Alphée Par ton cours renommé:	4 Ladon, est un donx fleuve ou verdit pour trophée Le roseau de Syringue, et se perd dans Alphée Par ton cours renommé:
Ou pan qui de l’amour auoit ſenti les drmes De douleurs conſommé Fiſt augmẽter les eaux par celles de ſes larmes.	Ou pan qui de l'amour avait senti les drmes Dé douleurs consommé Fît augmeter les eaux par celles de ses larmes.
Aux ſources de cette eau faiſoit ſa demeurance Celuy dont Ly coris recherchoit la preſence, Et qui l’y vint trouuer:	Aux sources de cette eau faisait sa demeurance Celui dont Ly coris recherchait la présence, Et qui l'y vint trouver:
Son ame fut eſmeuë, & changea de viſage, La voyant arriuer Et puis auec reproche il luy tint ce langage.	Son âme fut émue, et changea de visage, La voyant arriver Et puis avec reproche il toujours tint ce langage.
Ma fille, ſi ie puis appeller mienne celle, Qui n’a dedans le cœur vne ſeulle étincelle De deuoir enuers moy :	Ma fille, si belle puis appeler mienne celle, Qui n'a dedans le cœur une seulle étincelle De devoir envers moi :
Ie fuſſe mort cent fois durãt ta longue abſence, N’euſt eſté que ma foy De te reuoir encor me donnoit eſperance.	Je fusse mort cent fois durant ta longue absence, N'eût été que ma foi De te revoir encor me donnait espérance.
L’Ignorance, & l’enuie, aux Muſes aduerſaires, Ont elles point ſouuent des propos temeraires Declamé contre moy?	L'Ignorance, et l'envie, aux Muses adversaires, Ont elles point souvent des propos téméraires Declammé contre moi?
Ouurant leur ſalle bouche en menſonges fecõde, Pour apprendre de toy Quel eſtoit le ſujet qui t’auoit miſe au monde?	Ouvrant leur salle bouche en mensonges fecõde, Pour apprendre de toi Quel était le sujet qui t'avait mise au monde?
Souffre que ie te diſe, oma fille plus chere;	Souffre que Rome te dise, oma fille plus chère;
Que tu n’as pas vangé l’iniure de ton peré, Autant que tu pouuois:	Que tu n'as pas vengé l'injure de ton péré, Autant que tu pouvais:
Tu m’as veu lapider, ſans monſtrer ton courage, Au lieu que tu deuois Brauer la Calomnie, & noircir ſon viſage.	Tu m'as vu lapider, sans montrer ton courage, Au lieu que tu devais Braver la Calomnie, et noircir son visage.
Mais ie pardonne tout a l’honneur virginale, Qui ne ſçauroit oüir, ny parler rien de ſalle, Sans rougir à l’inſtant:	Mais fort pardonne tout à l'honneur virginale, Qui ne saurait ouïr, ni parler rien de salle, Sans rougir à l'instant:
» La vertu ſe deffend ſans faueur de perſonne, », Et l’honneur eſt baſtant „ D’affronter ſe taiſant celuy qui le blaſonne.	" La vertu se défend sans faveur de personne, ", Et l'honneur est bâtant „ D'affronter se taisant celui qui le blasonne.
Ce Berger qui chanta mourant ſes Tdilies Me tira de ce Mont, & des plaines iolies	Ce Berger qui chanta mourant ses Tdilies Me tira de ce Mont, et des plaines jolies
Ls Deiger Icomleu, Où Clion m’amuſoit, Ie n’euſſe iamais creu m’en pouuoir bien diCar tout m’y complaiſoit, (ſtraire Iuſqu’aux moindres oiſeaux de ce lieu ſolitaire.	Lus Deiger Icomleu, Où Clion m'amusait, Je n'eusse jamais cru m'en pouvoir bien diCar tout m'y complaisait, (straire Jusqu'aux moindres oiseaux de ce lieu solitaire.
Mais toy, qui te conduit en la terre inconnuë, Où la ſimple vertu n’a iamais eſté veuë, Sinon que de trauers?	Mais toi, qui te conduit en la terre inconnue, Où la simple vertu n'a jamais été vue, Sinon que de travers?
Crains tu point d’éprouuer le venimeux lãgage D’vn peuple ſi peruers?	Crains tu point d'éprouver le venimeux langage D'un peuple si pervers?
Va t’en ma fille aymée, & fuy de ce riuage.	Va t'en ma fille aimée, et fui de ce rivage.
Garde bien de tõber en leurs mains ſacrileges, Ils tiendroyent tes beaux vers pour quelques ſortileges, Et feroyent ton proceZ:	Garde bien de tomber en leurs mains sacrilèges, Ils tiendraient tes beaux vers pour quelques sortilèges, Et feraient ton procès:
Va m’attendre en ce Mont où la Muſe immorMe fiſt donner acceZ (telle C’eſt là que ie promets de te faire plus belle.	Va m'attendre en ce Mont où la Muse immorMe fît donner accès (telle C'est là que ie promets de te faire plus belle.
Ie voy quelques deffauts qu’il faut que ie corrige, On doit s’aſſujettir aux loix où nous oblige.	Je vois quelques défauts qu'il faut que deux corrige, On doit s'assujettir aux lois où nous oblige.
Phebus tout embelly:	Phebus tout embelli:
Et puis la belle Dame à qui ie te dedie A l’eſprit ſi poly Qu'elle merite bien tout l’honneur d’Arcadie.	Et puis la belle Dame à qui ie te dédie A l'esprit si poli Qu'elle mérite bien tout l'honneur d'Arcadie.
