LA TRAGEDIE DE PRYAM,ROY.	LA TRAGÉDIE DE PRIAM,ROY.
Ouſard mort on te voit de ſa cendre renaiſtre, N comme vn Phænix nouueau, bonneur des bons eſprits, Recognoiſſant auſſi ton nom & tes eſcripts Tour vn RONSARD BTIN FRANC ie veux retognoiſtre.	Ousard mort on te voit de sa cendre renaître, N comme un Phænix nouveau, bonneur des bons esprits, Reconnaissant aussi ton nom et tes écripts Tour un RONSARD BTIN FRANCHum veux retognoistre.
F.	F.
GALLAND Lyonnois,	GALLAND Lyonnais,
Calchas deuin.	Calchas devin.
Hector.	Hector.
LA TRAGEDIE DE PRYAM ROY DE TROVE.	LA TRAGÉDIE DE PRIAM ROY DE -TROUE.
ACTE I.	ACTE I.
ſunon.	sunon.
Panlas.	Panlas.
Venus.	Venus.
Paris.	Paris.
le E ce grand Ciel brillant où les ſoudres ſe ſorgent, Et d’où cent mille eſclairs icy bas ſe deſgorgent, Nous debarrons la porte, enfant de ce grand Roy Qui fait trembler l'Aſie & ployer ſous ſa loy.	le E ce grand Ciel brillant où les soudres se sorgent, Et d'où cent mille éclairs ici bas se dégorgent, Nous débarrons la porte, enfant de ce grand Roi Qui fait trembler l'Asie et ployer sous sa loi.
C’eſt un braue ſuiet qui vers toy nous ameine, 23 Car les Dieux pour un peu ne prẽnẽt tãt de peins C’eſt vn braue ſuiect qui nous bauſſe le cœur, Doncques que l’équité ſurmonte la faueur, Et non ſeduit des biens qui ſeduiſent vn Iuge, Mais ſelon tes beaux yeux iuge nous, & adiuge La Pomme à celle-là qui l’aur a merité, Et qui aura paßé ſa compagne en beauté, Jupiter t’enuoya par ſon enſant Mercure 2	C'est un brave sujet qui vers toi nous ameine, 23 Car les Dieux pour un peu ne prenez tant de peins C'est un brave sujet qui nous bausse le cœur, Doncques que l'équité surmonte la faveur, Et non séduit des biens qui séduisent un Juge, Mais selon tes beaux yeux juge nous, et ajuge La Pomme à celle-là qui l'aur a mérité, Et qui aura passé sa compagne en beauté, Jupiter t'envoya par son ensant Mercure 2
Fils de luy & de Marie alantide la cure Zng petit globe d’or aſin d'en houorer.	Fils de Seigneur et de Marie alantide la cure Zng petit globe d'or asin d'en houorer.
Cille dont les beaux yeux te feront admirer, Et qui ſeule pour eſtre d'nulle autre ſeconde, Parangonne en beauté les plus belles du moude.	Cille dont les beaux yeux te feront admirer, Et qui seule pour être d'nulle autre seconde, Parangonne en beauté les plus belles du moude.
Si tu veux de bien pres contempler les portraicts De mon viſage vni, les attraits, & les traits Qui volent de mes yeux, comme vne ſlamme viue, Qui rendent l’ame morte, & puis la rendent viue, Les graces de ma grace & ficber les rayons a jeune claitte, ſur mon front ſans ſillons, Polly comme la mer que le vent ne tourmenie, Ains qui dort dans ſon lict comme vne languiſſante Ie croy que plein d’amour, & remply d’equite, Tu me douras ce don égal à ma beauté.	Si tu veux de bien pres contempler les portraits De mon visage uni, les attraits, et les traits Qui volent de mes yeux, comme une slamme vive, Qui rendent l'âme morte, et puis la rendent vive, Les grâces de ma grâce et ficber les rayons a jeune claite, sur mon front sans sillons, Polly comme la mer que le vent ne tourménie, Ains qui dort dans son lit comme une languissante Je crois que plein d'amour, et rempli d'une, Tu me douras ' on égal à ma beauté.
Puis couſidere encor' la beaute de l’eſclair, Et la beauté des corps qui ſe forment en l’air, contemple la comette, admire la couronne Qui bien ſouueni la Lune en un cercle enuironne, Quelque ſois le ſoleil, quand ſa lente chaleur Ne bruſle la großiere & terreſtre vapeur.	Puis cousidere encor la beauté de l'éclair, Et la beauté des corps qui se forment en l'air, contemple la compette, admire la couronne Qui bien souveni la Lune en un cercle environne, Quelque sois le soleil, quand sa lente chaleur Ne brûle la grossiere et terrestre vapeur.
Hau ſe les yeux au ciel, & la contemple encores Parmy le ſeu leger, parmy les metheores, Iris ma meſſagere are en ciel qui de pleurs, Tire au clel ſans couleuns mille belles couleurs, Deaut z qui ſont Paris ſeulement les parcelles Des beautez que tu vois en mes yeux, eternelles.	Hau se les yeux au ciel, et la contemple encor Parmi le seu léger, parmi les méthéores, Iris ma message are en ciel qui de pleurs, Tire au clel sans couleuns mille belles couleurs, Deaut z qui sont Paris seulement les parcelles Des beautés que tu vois en mes yeux, éternelles.
Donne-moy, donc la Pomme, & iuge moy ainſi	Donne-moi, donc la Pomme, et juge moi ainsi
Regarde de Pallau le regaid ordinaire:	Regarde de Pallau le raid ordinaire:
Contemple de Venus la lub ique lumiere, L’vn eſt verd, & le verd eſt plein de cruauté, L’autre eſt noit, & le noir plein de lubricité.	Contemple de Venus la lub ique lumière, L'un est verd, et le verd est plein de cruauté, L'autre est noit, et le noir plein de lubricité.
Mais mon œil n’eſt pas verd, ni uoir, ains il aſſemble Diuinemeut en ſoy ces deux couleurs enſemble, Plus belle qu’Artemis & que Cypris außi, Tu ſeras le plus riche, & le plus grand du monde, Le ciel te cherira, les airs, les vents, & l’onde Flechiront ſous ta voix, & malgré Phlegeton, Tu iouyras beureux des threſors de Pluton.	Mais mon œil n'est pas verd, ni uoir, ains il assemble Divinemeut en soi ces deux couleurs ensemble, Plus belle qu'Artemis et que Cypris aussi, Tu seras le plus riche, et le plus grand du monde, Le ciel te chérira, les airs, les vents, et l'onde Fléchiront sous ta voix, et malgré Phlégeton, Tu ouiras beureux des trésors de Pluton.
Paris.	Paris.
2, Les Auaricieux ont ſoing de l’auarice, „ Les vitieux außi ſe plaiſent en leur vice, Mais moy qui ſuu Berger gentil & gracieux, Ie ne ſuis vitieux n’y auaricieux:	2, Les Avaricieux ont soin de l'avarice, „ Les vitieux aussi se plaisent en leur vice, Mais moi qui su Berger gentil et gracieux, Je ne suis vitieux n'y avaricieux:
Ie ne me ſoucy' pas des grandeurs de ce monde, I’ayme mieux les foreſts ou le ſoucy n’abonde, Et franc de paßion puiſer l’eau dans la main, Que d’auoir à ſoubait tout le threſor bumain:	Je ne me souci pas des grandeurs de ce monde, J'aime mieux les forêts ou le souci n'abonde, Et franc de passion puiser l'eau dans la main, Que d'avoir à soubait tout le trésor bumain:
Martomtenl dimorajer ma doucement ſelonne, Q'es combats courtiſer la guerr iere Belonne.	Martomtenl dimorajer ma doucement selonne, QU'es combats courtiser la guerr Le Bélonne.
3 Miſerable eſt celuy en qui l’ambition, », La grandeur & le cœur ſait renaiſtre Ixion, »5 El qui ſur ces deſirs comme ſur vne rouë » Ores bai ores baut douteuſement ſe roüe Garde Iunon ces biens pour ceux qui les voudront, Deſireux de porter leurs ennuis ſur leur front, Ie n’en ſuis enuieux, car toute mon enuie, Eſt d’aymer le ſoleil qui reluit a ma vie.	3 Misérable est celui en qui l'ambition, ", La grandeur et le cœur sait renaître Jxion, »5 Él qui sur ces désirs comme sur une roue " Ores bai ores baut douteusement se roue Garde Junon ces biens pour ceux qui les voudront, Désireux de porter leurs ennuis sur leur front, Je n'en suis envieux, car toute mon envie, Est d'aimer le soleil qui reluit à ma vie.
Pallas.	Pallas.
Paris Prince des bois außi bien que d’honneurs Ame gentille & belle & digne d’vn bon-beur, Eſcoute ma parole, & nourris ta poictrine D’vne ſi ambroſine & cœleſte doſtrine Qui te rendra diuin, & pour Dieu n’entend pas Ces diſcours pleins d’appas, & remplis de treſpas, Fuy-les ſi tu es ſage ainſi que fit Vlyſſe.	Paris Prince des bois aussi bien que d'honneurs Âme gentille et belle et digne d'un bonbeur, Escoute ma parole, et nourris ta poitrine D'une si ambrosine et cœleste dostrine Qui te rendra divin, et pour Dieu n'entend pas Ces discours pleins d'appas, et remplis de trépas, Fuis-les si tu es age ainsi que fit Vlysse.
Qui trompa par l’oreille, & le treſpas, & Cires Meſchante Euc hantereſſe hoſteſſe de la mez	Qui trompa par l'oreille, et le trépas, et Cires Mêchante Euc hanteresse hôtesse de la mis
Qui n’auoit le ſoucy que d’aymer & charmer, Uoy race de Deyam des yeux de la prudence, Contemple de l’eſprit, & de l’œil, l'excellence Du beau, qui b.	Qui n'avait le souci que d'aimer et charmer, Uoi race de Dyam des yeux de la prudence, Contemple de l'esprit, et de l'œil, l'excellence Du beau, qui b.
ille en moy & combien ſont heureux Seux qui de mes vertus ſe rendent amoureux.	ille en moi et combien sont heureux Seux qui de mes vertus se rendent amoureux.
Min œil eſt de l’honneur l’honorable lumiere, La chaſte té s’enferme en ma chaſte piupiere, Et comme clairs ſlambeaux de mon eſſence ſont La vertu dans mon cœur la bonte ſus mon front, Honte qui doit garder aux champs & a la ville L’honueur ineſtimable, & ſacre d’vne ſille.	Min œil est de l'honneur l'honorable lumière, La chaste té s'enferme en ma chaste piupière, Et comme clairs sambeaux de mon essence sont La vertu dans mon cœur la bonté sus mon front, Honte qui doit garder aux champs et à la ville L'honveur inestimable, et sacre d'une sille.
Puis i’ay dedans la teſte vn bien qui ne craint paNy les foudres d’en baut, ny les fureurs d’en bas, Foit contre les ſaiſons, les temps & les annees, Qui deſpite du ciel les fortes deſtinces, J’ay vn entendement qui monſtre comme il ſaut Enfermer dans du bois les ſpheres de la haut, Celle du premier ciel, celles des ſept Planettes Celle du ciel buictieme, & leurs cauſis ſecrettes, Il ſçait de la nature enſeigner les effaits, Let cauſes de l’Eclypſe, il cognoit d’où ſes ſaits Tant de iouvs & de nuicts, & bien que creature, Il diſcourt par raiſou de toute la nature, I’ay vne volonté qui ne deſire rien Que les arts, les vertus, la ſageſſe, & le bien Serue de la raiſon qui ne ſait point la terre, Mais qui tend vers le ciel aſin de le conquerre, Fuyant ſage & diuin tout ce qui eſt mortel Suyuant ſage & diuin oe qui eſt immortel.	Puis j'ai dedans la tête un bien qui ne craint paNi les foudres d'en baut, ni les fureurs d'en bas, Fait contre les saisons, les temps et les années, Qui dépite du ciel les fortes destinées, J'ai un entendement qui montre comme il saut Enfermer dans du bois les sphères de la haut, Celle du premier ciel, celles des sept Planettes Celle du ciel buitième, et leurs causs secrètes, Il sait de la nature enseigner les effaits, Let causes de l'Eclypse, il cognoit d'où ses saits Tant de iouvs et de nuicts, et bien que créature, Il discourt par raisou de toute la nature, ay volonté qui ne de rien Que les arts, les vertus, la sa, et le bien Serue de la raison qui ne sait point la terre, Mais qui tend vers le ciel asin de le conquerre, Fuyant g et diuin tout ce , et mortel Suyuant sage et diuin e qui est immortel.
Pres du petit cerueau reſide la memoire, Qui procede des deux, qui donne de la gloire A celuy qui l’bonore, & qui eſt anobly Per ſa propre vertu qui ne tombe en oubly:	Pres du petit cerveau réside la mémoire, Qui procède des deux, qui donne de la gloire A celui qui l'bonore, et qui est anobli Per sa propre vertu qui ne tombe en oubli:
Outre ies trois, threſore, admirable richeſſe, Miou pere m’a donne la force & la ſageſſe, Lorſque Vulcan ouurãt ſon front d’va grand coutean Me ſiſt comme vn gendarme yſſir de ſou cerueau:	Outre jes trois, trésore, admirable richesse, Miou ère m'a donne la force et la sagesse, Lorsque Vulcan ouvrant son front d'une grand coutean Me zist comme un gendarme yssir de sou cerveau:
Iuge donc bien Paris comme Iuge équitable Des yeux du lugement ma beaute perdurable, Beaute tbreſor de faict, & non tbreſor de nom, Non ſubiecte au deſtin comme celle a Iunon, Qui en ſume ta veue ainſi qu’vne ſumee, Ou coume vne vapeur en va rien conſumee:	Juge donc bien Paris comme Juge équitable Des yeux du lugement ma beauté perdurable, Beaute tbresor de fait, et non tbresor de nom, Non sujet au destin comme celle a Junon, Qui ens même ta vue ainsi qu'une sujet, Ou coume une vapeur en va rien consumée:
Et ſi mes yeux ſont verds iuge par equité Que c’eſt la chaſtelé, & non la cruauté:	Et si mes yeux sont verts juge par équité Que c'est la chastelé, et non la cruauté:
Or ſi en ma ſaueur tu donnes la ſentence, Tu ſeras docte & ſort & plein dec ſapience, Fauory de Python, & trainant apres toy, Les rochers ſous ta volx, les hommes ſous ta loy, Alairants ton eſprit, donne moy donc la Pomme, Vn bieu ie te feray au lieu que tu es homme.	Or si en ma saveur tu donnes la sentence, Tu seras docte et sort et plein déc sapience, Favori de Python, et traînant après toi, Les rochers sous ta volx, les hommes sous ta loi, Alairants ton esprit, donne moi donc la Pomme, Un bieu ie te ferai au lieu que tu es homme.
Paris.	Paris.
Le ſçauoir eſt pour ceux qui veulent ſans ramer Ny le mondecourir luſtrer toute la mer Par leurs doctes eſcrits & ſans bouger de terre, Cheminer parmy l'air en deſpit du tonnerre, Ou qui craiguent la ſaim, & la force eſt pour ceux Qi ſuiuent d’un Mauorsle dr appeau trop douteux, Moy qui ſuis vn Berger n’ay pas beaucoup de cure.	Le sçauoir est pour ceux qui veulent sans ramer Ni le mondecourir lustrer toute la mer Par leurs doctes écrits et sans bouger de terre, Cheminer parmi l'air en dépit du tonnerre, Ou qui craiguent la saim, et la force est pour ceux Qi suivent d'un Mavorle dr appeau trop douteux, Moi qui suis un Berger n'ai pas beaucoup de cure.
D’apprendre les meſtiers ou preſide Mercure, N’y d’eſtre ſi puiſſant, ſi ie ſuis aſſez ſort Pour combatre l’amour & ſurmonter la mors,	D'apprendre les métiers ou preside Mercure, N'y d'être si puissant, si belle suis assez sort Pour combattre l'amour et surmonter la mors,
Venus.	Venus.
Mon mignon, mon Parue, mon tout & ma parcelle Voy image d’amour, combien ma face eſt belle, Et coutemple des yeux de tes affections, Qe tes affections ſont mes perſections:	Mon mignon, mon Parue, mon tout et ma parcelle Vois image d'amour, combien ma face est belle, Et coule des yeux de tes affections, Qe tes affections sont mes perséctions:
Tor ſuc mou frout brunet tout le ciel qui s’aſſem ble	Tor su mou frout brunet tout le ciel qui s'assem blé
Voy dant mon œil veſper, & les aſtres euſemble Ciel dont l'eſclair eſt brun remply d’humitité Roncomme ment lunon, plein d’impudicité.	Vois dant mon œil vesper, et les astres eusemble Ciel dont l'éclair est brun rempli d'humitité Roncomme ment lunon, plein d'impudicité.
Ce grand ſlembeau du ciel qui des choſes diſpoſe A mon œit eſt ſemblable en vne ſeule choſe, L’vn deßide les yeux des hommes par les iours, Et l’autre ouure les cœurs des mortels par amours, Contemple mon poil d’or ou les amours ſe nouent, Mon beau ſein ou les ieux ſolaſtrement ſe iouent:	Ce grand slembeau du ciel qui des choses dispose A mon œit est semblable en une seule chose, L' desside les yeux des hommes par les jours, Et l'autre ouvre les cœurs des mortels par amours, Contemple mon poil d'or ou les amours se nouent, Mon beau sein ou les jeux solâtrement se jouent:
Deux fortes deitez qui dontent tout ſous eux, Pleſſant celuy qui n’ayme & tuant l’amoureux, Voy nerger les beautez s’eſçayer ſur ma ſace Voy Paris s'embellir les graces ſur ma grace, Ma face peut donter le plus audacieux, Et ma grace peut rendre vn hautain gracieux Hars en ſoit le teſmoin qui deueſtant ſes armes Veſtit ſon cœur d’amours, ſon viſage de l’armes.	Deux fortes déité qui dontent tout sous eux, Plessant celui qui n'aime et tuant l'amoureux, Vois nerger les beautés s'esçayer sur ma sace Rois Paris s'embellir les grâces sur ma grâce, Ma face peut donter le plus audacieux, Et ma grâce peut rendre un hautain gracieux Hars en soit le témoin qui devant ses armes Vestit son cœur d'amours, son visage de l'armes.
Que ie ſecuent tes biens que te promet Iunon, Ce ſont maux en eſſect que ces grands biens de nom, Que te ſert le ſçauoir toy qui ſçais toute choſe, Que te ſert la ſageſſe, & puis qu’amour diſpoſe De tes ſages conſeils, & ſi d’en peu de te nps Tu verras en Hyuer ſe changer ton Printemps, Et ſe reduire en rien ta ſageſſe & ta vie, Et ces ſils de la terre auortons de l’enuie, R itte moy tout cela, & conſume tes iours A fuir tant de malheurs, & ſuyure tant d’amours, Ei apres auoir bien regarde mon viſage veu dedaus ton amour, tes ſens, & ton image, Admiré les vertus qui te ſont admicer, Adore les beautez qui te font adorer Les beautez de ta Vymphe, & veu dedans ma veüe, La ſorce ſeulement aux amoureux cognuë, Ta veux bien enſeigné pay ton ſage Demon Preſerer ma beaute à celle de tunon, Acelle de Pallas ſuperbe en ſon Egide, Et m’adiuger auſſi le preſent beſperide, Je ne te feray pas ny riche, ny ſçauant, Ie ne te repaiſtray de baye ny de vent, De grandeurs, de threſors, d'honneur, ny de ſumee, Mais bien d’vne beaute des Anges eſtimee, Scrute l’heur de la terre, & l’ornement des cieux, Que le moriel reuere, & deſicent les dieux, Beauté race du ciel que l’on appelle Heleine, Tu auras de l’amour, & non pas de la peine, Car malgré les eſſorts nous iouyrons un iour, Moy de ce petit monde, & toy de ton amour.	Que était secuentche biens que te promet Junon, Ce sont maux en esssect que ces grands biens de nom, Que te sert le savoir toi qui sais toute chose, Que te sert la sagesse, et puis qu'amour dispose De tes sages conseils, et si d'en peu de te nus Tu verras en Hiver se changer ton Printemps, Et se réduire en rien ta sagesse et ta vie, Et ces sils de la terre avons de l'envie, R itte moi tout cela, et consume tes jours A fuir tant de malheurs, et savoir tant d'une, Et apres avoir bien regarde mon visage dedaus ton amour, tes sens, et ton re, mles vertus qui te sont admicer, Adore les beauté qui te font re Les beautéde ta Vymphe, et dedans m veüe, La ô seulement aux amoureux cognuë, Ta veux bien enseigné a ton sage De Preserer ma beauté celle de tunon, Acelle de Pallas superbe en son Egide, Et adiuger aussi le présent besperide, Je ne te ferai pas ni riche, ni sçauant, Ie ne te repaîtrai de baye ni de vent, De grandeurs, de thresors, 'honneur, ni de sumee, Mais bien beauté des Anges estimée, Scrute lheur de la terre, et lornement des cieux, Que le moriel reuere, et et les dieux, Beauté race du ciel que on appelle Heleine, Tu auras de amour, et non sa de la peine, Car malgré les ô nous iouyrons un iour, de ce petit m, et toi de ton amour.
Prend Paris mon Ceſton dont la puiſſance eſt forte Tu pourras des Enſers briſer froiſſer la porte, Ouurir le ciel bacle, & par luy alumer, Ou le cœur d’vne roche, ou le ſein de la mæ.	Prend Paris mon Ceston dont la puissance est forte Tu pourras des Ensers briser froisser la porte, Ouvrir le ciel bacle, et par lui alumer, Ou le cœur d'une roche, ou le sein de la mæ.
Iuuon s’en eſt ſerui pour deceuoir ſon frere, Arreſtaut ſes deſirs & ſon ame legere.	Juon s'en est servi pour décevoir son frère, Arrêt ses désirs et son âme légère.
Paris.	Paris.
dieux Bons dieux que i’ay d’amours, amours que i’ay de Daus le cœur, dans les os, dans le ſin, dãt les yeux, Dieux i’appelle vne ſorte à mes ſens incognue, Qui ſans m’oſter les yeux me deſrobe la veue Qui ſaus chaſſer mon ame hors ſu freſle priſon Chaſſe de moy mon cœur, mon ame & ma raiſon, Et qui a ſans violence à i’a deſia rauie, Par vn eſſort ſans forte & mes ſens & ma vie.	dieux Bons dieux que j'ai d'amours, amours que j'ai de Daus le cœur, dans les os, dans le sin, dans les yeux, Dieux j'appelle avait sorte à mes sens inconnue, Qui sans m'ôter les yeux me dérobe la vue Qui sa chasser mon âme hors su frêle prison Chasse de moi mon cœur, mon âme et ma raison, Et qui a sans violence à j'a desya ravie, Par un essort sans forte et mes sens et ma vie.
Bõs dieux que i’ay d’amour, au moins ſi ceſt aymer Que de gouſter du miel entre-meſle d'amer, Junon du grand lupin & la ſœur & la ſimme Tu es ſi belle au ciel que ta beaute enſlamme Le cœur de ton mary, & par ſes viſs eſclairs Allume mille ſeux aux regions des airs.	Bons dieux que j'ai d'amour, au moins si cest aimer Que de goûter du miel entre-mêle d'amer, Junon du grand lupin et la sœur et la sime Tu es si belle au ciel que ta beauté enslamme Le cœur de ton mari, et par ses viss éclairs Allume mille seux aux régions des airs.
Tu ls fort belle auſi Ariemis, & te iure Que i’ayme mieux mourir que de te ſaire iniure Toy qu’aux bois ie reuere, & honore, & pour moj Je ſuiurois bien ton traia ſi i’aymois bien ta loy, Mais une ſolle erreur qui va iuſqu’à l’extreme, Qui ſans ſortir de moy me rend bors de moy-meſme, Eſgare ma raiſou, & ie ne ſçay plus rien, Tant ie ſuis eſperdu, ſoit de mal ou de bien, Tu produis ces effects amoureuſe Deeſſe Ou ſoit qu’il ſoit aiuſi, ou ſoit vne traiſtreſſe Imagination, ſeduiſe mon penſer, Tu produis ces effects afiu de m’oſſencer, Prend donc mere d'amour ceſte ſatale Pomme Un amant te la donne, & non pas vn vray bomme.	Tu l fort belle ausi Ariemis, et te jure Que j'aime mieux mourir que de te zaïre injure Toi qu'aux bois sens révère, et honore, et pour mo Je suivrais bien ton traia si j'aimais bien ta loi, Mais une solle erreur qui va jusqu'à l'extrême, Qui sans sortir de moi me rend bors de moi-même, Esgare ma raisoume, et ie ne serai plus rien, Tant ie suis rdv, soit de mal ou de bien, Tu Taillis ces effets amoureuse Deesse Ou soit qu'il soit aiusi' il soit été traîtresse Imagination, séduise monpenser,Ion , se re afiu de mon, Pen donc mere d'aiceste anse m Un amant te adonne, et non pas vrai bomme.
LE CHOEVR.	LE CHOEUR.
Ve iaoperçoy de maux, de morts, & de turie Qu’amour braſſe aux Troyẽs, va Troyen aux Simo cœur ſe ſubmerge au ſãg de leur furie (amours Mes yeux dedans leurs pleurs offuſque leurs beaux Dix ans de cruautez ſeront les recompenſes (iours Que le d ſtin promet à ces rauiſſimens, Le ciel plore pour nous cognoiſſant nos ſouffrances, Paris ce rit de nous iguoraut nos tourmens N'eſtais-tu pas contant d’vne ſeule maiſtreſſe Sans te maaſtrer perfide & voleur en vn iour:	Ve iaoperçoy de maux, de morts, et de turie Qu'amour brasse aux Troyens, va Troyen aux Simo cœur se submerge au sãg de leur furie (amours Mes yeux dedans leurs pleurs offusque leurs beaux Dix ans de cruautés seront les récompenses (jours Le dès le stin et à ces ravissiments, Le ciel plore pour nous connaissant nos souffrances, Paris ce rit de nous iguoraut Le tourments N'étais-tu pas contant d'une seule maîtresse Ma te maîtreperfide et voleur en iour:
As-tu le ſrint ſi ſeint, & l'ame ſi traiſtreſſe, De nous laiſſer la baine, & receuois l’amour?	As-tu le srint si seint, et l'âme si traîtresse, De nous laisser la baine, et recevais l'amour?
Aymes-tu tant Paris ceſte amoureuſe haine Subiect de nos trauaux, obiect de tou ſoucy?	Aymes-tu tant Paris cette amoureuse haine Subiect de nos travaux, objet de tou cy?
Qe iu nous vuellles ſaite va Ocean de peine Pour y plonger ta ſlamme & te, deſies auſſix Malheur ſur noſtre cheſ troupe trop miſerable Malheur puis qu’vn enfant nous ourdit ce malheur I faut pour le plorer vne voix deplorable, I pour le ſupporter on tæyr remply de cœur.	Qe ju nous vuellles saite va Océan de peine Pour y plonger ta splamme et te, desies aussix Malheur sur notre chez troupe trop misérable Malheur puis qu'un enfant nous ourdit ce malheur I faut pour le plorer une fort déplorable, I pour le supporter on tyr rempli de cœur.
Helas!	Hélas!
pauure llion, & pauute Roy infame tauure peuple ſçauant aux beaux meſtiers de Mars oy ton fils qui te bruſte au milieu de ſa ſlamme t amour qui ſe tue au milieu de ſes dards.	pauvre lion, et pauvre Roi infâme tauvre peuple savant aux beaux métiers de Mars oi ton fils qui te bruste au milieu de sa slamme t amour qui se tue au milieu de ses dards.
Paris.	Paris.
Mours venez à moy, & quittez voſtre mere, IA Quittez les ieux miguards inuentez daus yAbandonnez ce lieu, & vous venez loger (there, Peliiseapans mp (iuimonde eſtranger, En mon cœur, en mes os, en ma playe proſonde, Car ainſi que l’on dit l’homme eſt vn petit monde.	Mours venez à moi, et quittez votre mère, IA Quittez les jeux miguards inventés daus yAbandonnés ce lieu, et vous venez loger (thère, Peliiseapans m' (juimonde étranger, En mon cœur, en mes os, en ma plaie prosonde, Car ainsi que l'on dit l'homme est un petit monde.
Venez, volez, hachez auec vos auirous Les regions de l’air, & puis nous volerons, Uous de nature iſnels, moy leger par ma ſlamme Ou mon eſpoir s’auiue, ou treſpaſſe mon ame, Du mon penſer m’emporte & le cœur & les yeux, comme l’Aigle emporta le Troyen dans les Cieux ſar l’Aigle & le penſer ont cela de nature Deſtie prompts & legers ſur toute creature.	Venez, volez, hachez avec vos avirous Les régions de l'air, et puis nous volerons, Uous de nature isnels, moi léger par ma samme Ou mon espoir s'auive, ou trépasse mon âme, Du mon penser m'emporte et le cœur et les yeux, comme l'Aigle emporta le Troyen dans les Cieux sar l'Aigle et le penser ont cela de nature Destie prompts et légers sur toute créature.
Ve ſuis-ie pas heureux d’auoir en meſme iour Deſpoüille la fortune en me veſtant d’amour, Dieu qui me ſauoriſe, & me donne aſſeur auce D’un bien, dont ie mourois pour la ſeule eſperance, Ie ſuis-ie pas heureux d’auair en un matiu Perdu ſi peu de choſe, & ſait vu tel butiu?	Ve suis-je pas heureux d'avoir en même jour Despouille la fortune en me vêtant d'amour, Dieu qui me savorise, et me donne assur auce D'un bien, dont ie mourais pour la seule espérance, Je suis-je pas heureux d'avair en un matiu Perdu si peu de chose, et sait vu tel butiv?
Le bon-heur de laſou, le bon-beur de Theſee Dout la fille de Cete à tort ſeut abuſee, Ie ſont que vrais malbeurs, au prix de mõ bon-beur	Le bonheur de lasou, le bon-beur de Thesee Dout la fille de Cette à tort seut abuse, Je sont que vrais malbeurs, au prix de mon bon-beur
Leur bẽ beur malbeureux oien beureux mõ malhes Jaſon dedans Argos accompagué de Princes.	Leur bonne beur malbeureux oien beureux mon malhes Jason dedans Argos accompagué de Princes.
Trauerſa mille mers, paſſa mille Prouinces, Aſſubiectit ſa vie aux rauines des eaux, Endura des douleurs, des langueues des trauaux, Supporta du grand ciel l’iuiure & l’inconſtance, Souſfrir de ſer ſlambeaux la fatale i flience, Courut mille treſpas, courut mille dangers Où tombent ceux qui vont aux pays eſt angers, Et arriue au Phare ou bruſloit ſon cauie, Par l’amour par la mort cuida perdre la vie:	Traversa mille mers, passa mille Provinces, Assubiectit sa vie aux ravines des eaux, Endura des douleurs, des langues des travaux, Supporta du grand ciel l'ivre et l'inconstance, Sousfir de ser slambeaux la fatale y jience, Courut mille trépas, courut mille dangers Où tombent ceux qui vont aux pays est angers, Et arrive au Phare ou brûlait son cavie, Par l'amour par la mort cuida perdre la vie:
