Le tout enrichy de pluſieurs belles remarques, mumunerans;	Le tout enrichi de plusieurs belles remarques, mumunérants;
Il n’eſt celuy qui ne ſcache biẽ que cõme l’eſtre n’eſt point ſans l’agir, ainſi l'agir n’excede point l’eſtre.	Il n'est celui qui ne sache bien que cõme l'est point sans point ainsi l'agir, ainsi l'agir n'excède point l'être.
Que ſi nul n’agit là où il n’eſt pas, & s’il opere & agit en tous lieux, il faut tirer cette conſequence que l’ame de l’Amant n’eſt point en ſoy puis qu’il n’opere hullement en ſoy.	Que si nul n'agit là où il n'est pas, et s'il opère et agit en tous lieux, il faut tirer cette conséquence que l'âme de l'Amant n'est point en soi puis qu'il n'opère hullement en soi.
Or eſt il que n’eſtant point en ſoy, il ne vit point auſſi en ſoy meſme.	Or est il que n'étant point en soi, il ne vit point aussi en soi même.
Que ſi vous m’aduoüez qu’il y a priuation de vie en celuy qui eſt mort, vous ſerez contraints demaccorder que quiconque aime il eſt mort, ou à tout le moins qu’il vit en auduy.	Que si vous m'avouez qu'il y a privation de vie en celui qui est mort, vous serez contraints demaccorder que quiconque aime il est mort, ou à tout le moins qu'il vit en audui.
Doun faut mmerer que la mort eſt inſeparable d’auecques l’Amour.	Doun faut mêmerer que la mort est inséparable d'avecques l'Amour.
Pour ce qui eſt de la Metampſicoſe de Pytagore, c’eſt ſon opinion que l’ame de la perſonne qui a bien veſcu en ce monde s’en reva dans vn corps humain apres ſon treſpas.	Pour ce qui est de la Majetampsicose de Pytagore, c'est son opinion que l'âme de la personne qui a bien vécu en ce monde s'en reva dans un corps humain après son trépas.
Que ſi par vn contraire elle s’eſt laiſſee emporter au vice, le corps d’vne beſte eſt deſtiné pour logis à telle perſonne, affin de punir ſes mefaicts.	Que si par un contraire elle s'est laissée emporter au vice, le corps d'une bête est destiné pour logis à telle personne, afin de punir ses mefaicts.
Il reſte maintenant que nous oſtions tout le voile dont ce myſtere eſt couuert.	Il reste maintenant que nous ôtions tout le voile dont ce mystère est couvert.
La perſonne qui vit bien n’eſt autre que l’Amant vertueux, les affections duquel ſe bornent par les choſes honneſtes.	La personne qui vit bien n'est autre que l'Amant vertueux, les affections duquel se bornent par les choses honnêtes.
D’où vient que s’il œillade quelque obiect vertueux & beau, il ſe rend en meſme inſtant ſuſceptible de ſon Amour.	D'où vient que s'il œillade quelque objet vertueux et beau, il se rend en même instant susceptible de son Amour.
Et parce qu’il meurt en aimant, comme i’ay deſia dict, ſon ame delaiſſe ſon corps pour entrer dans celuy de l’obiect par luy deſiré, & par ainſi il vit dans vn corps humain.	Et parce qu'il meurt en aimant, comme j'ai déjà dit, son âme délaisse son corps pour entrer dans celui de l'objet par Ah désiré, et par ainsi il vit dans un corps humain.
uii quant à la perſonne vieieuſe, de qui l’ame pour chaſtimẽt de ſon vice ſe reueſt du corps d’vne beſte apres ſon treſpas, c’eſt l’Amant perdu d’auarice, lequel preferant les periſſables richeſſes à vne vertueuſe beauté, attache ſes affections ſur vne creature que l’excez de ſon propre vice, & les defauts de nature ont renduë ſi difforme, que ſon corps eſt reueſtu de la depouïlle d'vne beſte.	Çui quant à la personne vieieuse, de qui l'âme pour châtiment de son vice se revêt du corps d'une bête après son trépas, c'est l'Amant perdu d'avarice, lequel préférant les périssables richesses à une vertueuse beauté, attache ses affections sur une créature que l'excès de son propre vice, et les défauts de nature ont rendue si difforme, que son corps est revêtu de la dépouille d'une bête.
Car la condition des brutes eſt telle, & d’ailleurs ce n’eſt pas differer d’vne choſe vicieuſe que d’ẽ auoir emprainte la qualité.	Car la condition des brutes est telle, et d'ailleurs ce n'est pas différer d'une chose vicieuse que d'une avoir emprainte la qualité.
Voilà ce qui m’oblige d’aduertir les Amans bien-aduiſez de ne faire electiõ que de belles & ſages maiſtreſſes pour les aimer, à fin de gauchir à cet horrible ſupplice de viure dans le corps d’vne beſte.	Voilà ce qui m'oblige d'avertir les Amants bien-avisés de ne faire electiõ que de belles et sages maîtresses pour les aimer, à fin de gauchir à cet horrible supplice de vivre dans le corps d'une bête.
I’en dis de meſme auxſages & vercucurts beaucen, ce res uauiſe de n’auoir iamais de l’amour que pour les braues & diſcrets Amats.	J'en dis de même auxsages et vercucurts beaucen, ce rés uavise de n'avoir jamais de l'amour que pour les braves et discrets Amats.
Ce faiſant leur ame ſera couuerte d’vn corps humain & non de celuy d’vne beſte, ſupplice qui na point ſon pareil dans le monde.	Ce faisant leur âme sera couverte d'un corps humain et non de celui d'une bête, supplice qui na point son pareil dans le monde.
Ces belles Nymphes & ces ſages Bergers, deſquels vous ouyrez l'hiſtoire tout maintenant, pratiquans la Metãpſicoſe de Pythagore de cette meſme façõ que ie viens de dire ont aimé les choſes belles & bonnes, & non les difformes & vicieuſes.	Ces belles Nymphes et ces sages Bergers, desquels vous ouyrez l'histoire tout maintenant, pratiquants la Metãpsicose de Pymphagore de cette rendre façõ que tu viens de dire ont aimé les choses belles et bonnes, et non les difformes et vicieuses.
Le deuoir vous oblige à les imiter, & pour moy ie vous y exhorte en particulier, ne vous perſuadant rien de parole que ie ne veuïlle moymeſme executer par effect, afin qu’à mon exemple vous y ſoyez animez dauantage.	Le devoir vous oblige à les imiter, et pour mo ie -vous y exhorte en particulier, ne vous persuadant rien de parole que toute ne veuille moymesme exécuter par effet, afin qu'à mon exemple vous y soyez animez davantage.
AM R TRIOMPHANT, PASTORALLE Comique.	AM R TRIOMPHANT, PASTORALLE Comique.
ACTE PREMIER.	ACTE PREMIER.
SCENE I.	SCÈNE I.
CLEANTHE, PHILODICE, ET L’OREADE.	CLEANTHÉ, PHILODICE, ET L'ORÉADE.
CLEANTHE.	CLÉANTHÉ.
AIS ne ſçaurions-nous cognoiſtre l’Autheur de cés vers que nous venons de treuuer, qui s’adreſſent à noſtre benc Oitaucs re voudrois vrayement qu’il m’euſt couſté quelque choſe de bon, & ſçauoir qui c’eſt;	AIS ne saurions-nous connaître l'Auteur de cet vers que nous venons de trouver, qui s'adressent à notre benc Oitaucs re voudrois vraiment qu'il m'eût cousté quelque chose de bon, et savoir qui c'est;
car il faut aduoüer que quiconque les a compoſez il a l’eſprit grandement beau.	car il faut avouer que quiconque les a composés il a l'esprit grandement beau.
PHILOD.	PHILOD.
Ie n’en doute pas, chere Cleanthe;	Je n'en doute pas, chère Cléanthe;
mais i'oſe bien dire que tout cet eſprit que vous vantez en luy, n’aura iamais de pouuoir ſur les affections de l’Oreade, fut-il encore plus releué.	mais j'ose bien dire que tout cet esprit que vous vantez en Elle, n'aura jamais de pouvoir sur les affections de l'Oreade, fut-il encore plus relevé.
CLEAN.	CLÉAN.
Ie m’eſtõne fort de vous Philodice, qui voulez Iouſtenir ce quevous ignorez, ce me ſemble.	Je m'estõne fort de vous Philodice, qui voulez Joutenir ce quevous ignorez, ce me semble.
PHIL.	PHIL.
Ie ne le ſçay que trop, Cleanthe, comme eſtant bien certaine que du temps que l’Oreade eſtoit des filles d’honneur de la Reine de ceſte Iſle, elle refuſa le fils du Prince de Turlin, qui la recerchoit;	Je ne le sais que trop, Cléanthe, comme étant bien certaine que du temps que l'Oreade était des filles d'honneur de la Reine de cette Isle, elle refusa le fils du Prince de Turlin, qui la recerchoit;
ce qui me fait dire qu’elle ne peut aymer maintenant l’autheur de ces vers ( qui n’eſt qu’vn ſimple Berger) ſans ſe faire tort, & au Prince qui l’a recerchee, s’il eſt vray qu’il ſoit encore viuant.	ce qui me fait dire qu'elle ne peut aimer maintenant l'auteur de ces vers ( qui n'est qu'un simple Berger) sans se faire tort, et au Prince qui l'a recerchee, s'il est vrai qu'il soit encore vivant.
CLEAN.	CLÉAN.
Certes, depuis que i’ay l’honneur d’eſtre de ſes Nymphes, ie n’auois point ouy parler encore de cet amour, & ie voudrois voIontiers en apprendre l’hiſtoire de vous, puis que hous rommes tombées ſur ceſte matiere, car, veu la qualité des Amans, & le rang qu’ils me ſemblent tenir en cette contree, ie m’aſſeure que les euenements en ont eſté remarquables.	Certes, depuis que j'ai l'honneur d'être de ses Nymphes, pleins n'avais point ouï parler encore de cet amour, et ainsi voudrais voIontiers en apprendre l'histoire de vous, puis que hous rommes tombées sur cette matière, car, vu la qualité des Amants, et le rang qu'ils me semblent tenir en cette contrée, était été que les événements en ont été remarquables.
PHIL.	PHIL.
Ie m’offre à vous en faire le recit, pourueu qu’au reciproque vous me promettiés de me taconter vos amours, auec le Berger Aronthe:	Je m'offre à vous en faire le récit, pourvu qu'au reciproque vous me promettez de me taconter vos amours, avec le Berger Aronthe:
ie vous en ay deſià pluſieurs fois priee ſans auoir iamais ſceu gaigner ce ſeul point ſur vos volontez.	Elle vous en ai déjà plusieurs fois prie sans avoir jamais su gagner ce seul point sur vos volontés.
CLEAN.	CLÉAN.
Encore m’en diſpẽſerez vous pour maintenant, Philodice, & m’obligerez de remettre ceſte partie à vn autre iour, auquel le loift me permettra de vous en copter plus que vous n’en voudriez ouyr.	Encore m'en dispẽserez -vous pour maintenant, Philice, et m'obligerez de remettre cette partie à un autre jour, auquel le lois me permettra de vous en copter plus que vous n'en voudriez ouïr.
PHIL.	PHIL.
Voila comme on ſe mocque, Cleanthe.	Voilà comme on se moque, Cléanthe.
A ce que ie voy vos promeſſes courent bien viſte, mais les effets en ſont vn peu trop tardifs.	À ce que ici vois vos promesses courent bien vite, mais les effets en sont un peu trop tardifs.
CLEAN.	CLÉAN.
Ne vous ſouciez (Philodice) deſormais ie ne vous manqueray plus de parolle;	Ne vous souciez (Philodice) désormais ie ne vous manquerai plus de parole;
& n’eſtoit la crainte que i’ay que racontant les veritables amours du fils du Prince de Turlin, & les miennes auec le berger Arontne, l’ilitorre n’en fuit plus longue que le temps à ce deſtiné, ie vousiute que tout maintenant ie ſatisferois à voſtre priere.	et n'était la crainte que j'ai que racontant les véritables amours du fils du Prince de Turlin, et les miennes avec le berger Arontne, l'ilitorre n'en fuit plus longue que le temps à ce destiné, je vousivte que tout maintenant a satisferois à votre prière.
.	.
110741	110741
PHIL.	PHIL.
N’importe;	N'importe;
puis que vous m’en donnez l’aſſeurance, ie m’envay contenter voſtre curioſité, mais gardez de vous ennuyer, car le diſcours en eſt vn peu long.	puis que vous m'en donnez l'assurance, Elle m'envai contenter votre curiosité, mais gardez de vous ennuyer, car le discours en est un peu long.
CLEAN.	CLÉAN.
Au contraire;	Au contraire;
l’extreme deſir que i’ay de le ſçauoit, chaſſe bien loing de moy tout ennuy, fuſſiez vous deux iours entiers à le racontcr.	l'extrême désir que j'ai de le savait, chasse bien loing de moi tout ennui, fussiez vous deux jours entiers à le racontcr.
PHIL.	PHIL.
Afin de vous mieux faire entendre toute l’hiſtoire, il ſera bõ quevous ſçachiez premierement quels ont eſté les pere & mere de l’Oreade.	Afin de vous mieux faire entendre toute l'histoire, il sera bons quevous sachiez premièrement quels ont été les père et mère de l'Oreade.
Son pere fut vn braue & vaillant Cauallier, Seigneur de ce mont Olympe, lequel pour auoir fidellement ſeruy le Roy de cette Iſle de Cypre en pluſieurs guerres qu’il eut contre le Roy de Sicile, le Roy de Cyprele prit en telle affection, que depuis il voulut touſiours l’auoir pres de ſa perſonne.	Son père fut un braue et vaillant Cauallier, Seigneur de ce mont Olympe, lequel pour avoir fidèlement servi le Roi de cette Isle de Cypre en plusieurs guerres qu'il eut contre le Roi de Sicile, le Roi de Cyprele prit en telle affection, que depuis il voulut toujours l'avoir pres de sa personne.
Ses exploicts de valeur qui le rendoient aimable à ſon Prince eſtoient ioints à pluſieurs autres belles parties qui le mettoient en honneur parmy les plus grands.	Ses exploits de valeur qui le rendaient aimable à son Prince étaient joints à plusieurs autres belles parties qui le mettaient en honneur parmi les plus grands.
L’vne de ſes perfections que l’on ne priſe pas beaucoup auiourd’huy, pour eſtre plus cõmune qu’elle ne fut iadis, luy donna le nom d’Amphion.	L'une de ses perfections que l'on ne prise pas beaucoup aujourd'hui, pour être plus commune qu'elle ne fut jadis, lui donna le nom d'Amphion.
Car comme le FabuleuxAmphion fortifia de murs la ville de Thebes par les harmonieux concerts de ſa lyre, cettui-cy par les doux ac cords deſõluth, qu’il pinçoit auecautãt d’Art, que de mignardiſe, baſtiſt vne bonne & riche maiſon:	Car comme le FabuleuxAmphion fortifia de murs la ville de Thébes par les harmonieux concerts de sa lyre, cettui-cy par les doux ac cords desõluth, qu'il pinçoit auecautãt d'Art, que de mignardise, bât une bonne et riche maison:
Ce qu’il fit de ceſte maniere.	Ce qu'il fit de cette manière.
Il aduint qu’eſtant à la Cour, il donna de l’amour à la fille d’vn vieil Caualier fort releué, tãt en hõneur qu’en richeſſes.	Il advint qu'étant à la Cour, il donna de l'amour à la fille d'un vieil Cavalier fort relevé, toujours en honneur qu'en richesses.
Ceſte fille qui mouroit d’amour pour Amphion, ſçeut ſi bien chatouïller l’humeur de ſõ Pere qui l’aimoit comme l’vnique de ſes enfans, qu’il luy permit de l’eſpouſer, bien qu’elle fuſt recerchee de pluſieurs Caualiers, la fortune deſquels al, ioit pardellus cenle d’Ampmion.	Cette fille qui mourait d'amour pour Amphion, sut si bien chatouller l'humeur de son Père qui l'aimait comme l'vnique de ses enfants, qu'il lui permit de l'épouser, bien qu'elle fût recerchée de plusieurs Cavaliers, la fortune desquels al,ait pardellus cenle d'Ampmion.
CLEAN.	CLÉAN.
Mais auant que paſſer outre, dites moy le nom de la fille.	Mais avant que passer outre, dites -moi le nom de la fille.
PHIL.	PHIL.
Elle ſe nommoit Lauſanie, comme vous le verrez par la ſuitte de mon diſcours.	Elle se nommait Lausanie, comme vous le verrez par la suitte de mon discours.
Peu apres que ce mariage fut accordé, Amphion, qui ne pouuoit viure, s’il ne poſſedoit entierement le cœur de ſa Dame, fit prier le pere d’icelle nommé Piſandre, qu’il luy permit de l’emmener en ce lieu, affin d’y conſommer leur mariage.	Peu après que ce mariage fut accordé, Amphion, qui ne pouvait vivre, s'il ne possédait entièrement le cœur de sa Dame, fit prier le père d'icelle nommé Pisandre, qu'il lui permit de l'emmener en ce lieu, afin d'y consommer leur mariage.
Ceſte priere d’Amphion eſtant treuuee iuſte par Piſandre, il n’y conſentit pas ſeulemẽt, mais luy-meſme accompagné d’vn bon nombre de ſes parens, mena Lauſanie en ce lieu, où il fut quelques iours à ſe reſiouyr.	Cette prière d'Amphion étant trouvée juste par Pisandre, il n'y consentit pas seulement, mais a-même accompagné d'vn bon nombre de ses parents, mena Lausanie en ce lieu, où il fut quelques jours à se réjouir.
Bref, au bout de deux ans Lauſanie accouchea de noſtre Oreade, & cinq mois apres (tel fut le plaiſir du Deſtin) la Parque trenchea le fil de ſes iours.	Bref, au bout de deux ans Lausanie accouchea de notre Oreade, et cinq mois après (tel fut le plaisir du Destin) la Parque trenchea le fil de ses jours.
Ceſte mort penetra ſi auant dans le cœur d’Amphion, qu’vn dueil cõtinuel fut ſon plusdoux entretien par l’eſpace d’vn an, ſans donner le moindre relaſche à ſespleintes.	Cette mort pénétra si avant dans le cœur d'Amphion, qu'un deuil comptinuel fut son plusdoux entretien par l'espace d'un an, sans donner le moindre relâche à sespleintes.
En fin voyant que ſes pleurs ne pouuoiẽt r’animer ſa chere Lauſanie, ny ſes ſouſpirs ralumer ce flãbeau d’Amour que le ſort auoit eſteint, ſõ propre iugemẽt, & les remõſtrances des ſiens le firent reſoudre à ſe vaincre en ſon dueil.	En fin voyant que ses pleurs ne pouvaient ranimer sa chère Lausanie, toujours ses soupirs ralumer ce flambeau d'Amour que le sort avait éteint, sommes propre jugement, et les remourstrances des siens le firent résoudre à se vaincre en son deuil.
Et par ce que l’obiect des lieux où la fortune nous a mal traitez, fomente en noſtre memoire l’idee du dõmage receu, ſes amis luy conſeillerent de quitter pour vn temps ſa maiſon du mont Olympe, & de ſe retiter à Famagouſte où lè Roy tiẽt ſa Cour encore à preſent.	Et par ce que l'objet des lieux où la fortune nous a mal traités, fomente en notre mémoire l'idée du donner reçu, ses amis était conseillèrent de quitter pour un temps sa maison du mont Olympe, et de se retiter à Famagouste où lè Roy tiẽt sa Cour encore présent.
Suiuãt dõt cet aduis il s’y en alla, & meſme peu apres y fiſt venir l’Oreade ſa fille.	Suivant donc cet avis il s'y en alla, et même peu après y fît venir l'Oreade sa fille.
Mais comme il euſt demeuré enuiron huict ans à Famagouſte, les ennuys de la Cour & du populaire l’attirerent derechef au mont Olympe.	Mais comme il eût demeuré environ huit ans à Famagoute, les ennuis de la Cour et du populaire l'attirèrent derechef au mont Olympe.
Entre autres eſbats qui l’entretenoient en ce lieu, celuy de la chaſſe eſtoit ſon couſtumier exercice, où ſa fille l’accompagnoit d’ordinaire, à qui ce paſſe-temps eſtoit bien autant agreable qu’à luy.	Entre autres ébats qui l'entretenaient en ce lieu, celui de la chasse était son coutumier exercice, où sa fille l'accompagnait d'ordinaire, à qui ce passe-temps était bien autant agréable qu'à lui.
Le plaiſir d’vne ſi douce vie l’auoit deſià retenu deux ans lors qu’il fut eſpris d’vn nouueau deſir de faire vn ſecond voyage à Famagouſtepour ſe donner l’honneur d’y reuoir le Roy.	Le plaisir d'une si douce vie l'avait déjà retenu deux ans lors qu'il fut épris d'un nouveau désir de faire un second voyage à Famagoutepour se donner l'honneur d'y revoir le Roi.
A cet effet il ſe meit en chemin, ayant donné parauant vne gouuernante à ſa fille pour veiller ſur ſes actions.	À cet effet il se meit en chemin, ayant donné paravant ici gouvernante à sa fille pour veiller sur ses actions.
D’abord qu’il y fut de retour enſuiuant les loix du deuoir & de l’obligation, il fut faluer le Roy, la Royne, enſemble tous les Princes & Seigneurs de la Cour qui l’honordient de leur amitié.	D'abord qu'il y fut de retour ensuivant les lois du devoir et de l'obligation, il fut saluer le Roi, la Reine, ensemble tous les Princes et Seigneurs de la Cour qui l'honordient de leur amitié.
Mais il aduint vn iour qu’eſtant allé voir la Royne, elle s’enquit de ſa fille & luy demanda où elle eſtoit.	Mais il advint un jour qu'étant allé voir la Royne, elle s'enquit de sa fille et mou ra où elle était.
Aquoy le diſcret Caualier ayant faict reſponſe qu’il l’auoit laiſſee au mont Olympe, Ie veux, dict elle, Amphion, que vous me la donniez, pour en accroiſtre le nombre de mes autres filles, & voir en elle l’image de feu ſa Mere voſtre femme qu’il me ſouuient d’auoir fort aymee.	Aquoi le discret Cavalier ayant fait réponse qu'il l'avait laisse au mont Olympe, Je veux, dit -elle, Amphion, que vous me la donniez, pour en accroître le nombre de mes autres filles, et voir en elle l'image de feu sa Mère votre femme qu'il me souvient d'avoir fort aimée.
Amphion, à qui ce com;	Amphion, à qui ce com;
mandement de la Royne eſtoit vn ſuiect de nouuelle reſiouyſſance, ne faillit pas de faire venir en meſme temps l’Oreade ſa fille pour contenter la volonté de la Royne, à laquelle il la preſenta.	mandement de la Royne était un sujet de nouvelle réjouissance, ne faillit pas de faire venir en même temps l'Oreade sa fille pour contenter la volonté de la Royne, à laquelle il la présenta.
Ceſte beauté ne comparut pas ſi toſt deuant la Princeſſe, qu’elle fut receuë auec vne courtoiſie particuliere, & cherie d’vne affection qui n’auoit rien de commun auecques les autres.	Cette beauté ne comparut pas si tôt devant la Princesse, qu'elle fut reçue avec une courtoisie particulière, et chérie d'une affection qui n'avait rien de commun este les autres.
