AVEC PRIVILEGE DU ROY.	AVEC PRIVILÈGE DU ROY.
Puiſque par ſes ardeurs mon cœur tyranniſé Contre elles à preſent ſe voit authoriſé.	Puisque par ses ardeurs mon cœur tyrannisé Contre elles à présent se voit autorisé.
Qu’il en peut juſtement combatre les hommages, Et ſans ſcrupule ailleurs donner tous ſes ſuffrages.	Qu'il en peut justement combattre les hommages, Et sans scrupule ailleurs donner tous ses suffrages.
Mais enfin quelle joye en peut prendre ce cœur, Si d’une autre contrainte il ſouffre la rigueur ?	Mais enfin quelle joie en peut prendre ce cœur, Si d'une autre contrainte il souffre la rigueur ?
Si d’un Prince jaloux l’éternelle foibſeſſe, Reçoit indignement les ſoins de ma tendreſſe;	Si d'un Prince jaloux l'éternelle faibsesse, Reçoit indignement les soins de ma tendresse;
Et ſemble preparer dans mon juſte couroux Un éclat à briſer tout commerce entre nous?	Et semble préparer dans mon juste courroux Un éclat à briser tout commerce entre nous?
6* EDISEM Mais ſi de voſtre bouche il n’a point ſceu ſa gloire, Eſt-ce un crime pour luy que de n’oſer la croire?	6* EDISEM Mais si de votre bouche il n'a point su sa gloire, Est-ce un crime pour lui que de n'oser la croire?
Et ce qui d’un rival a pû flatter les feux, L’authoriſe-t-il pas à douter de vos vœux ?	Et ce qui d'un rival a pu flatter les feux, L'autorise-t-il pas à douter de vos vœux ?
D.	D.
ELUIRE.	ÉLUIRE.
Non, non, de cette ſombre, & lâche jalouſie Rien ne peut excuſer l’étrange freneſie;	Non, non, de cette sombre, et lâche jalousie Rien ne peut excuser l'étrange frénésie;
Et par mes actions je l’ay trop informé, Qu’il peut bien ſe flatter du bon-heur d’eſtre aymé.	Et par mes actions je l'ai trop informé, Qu'il peut bien se flatter du bonheur d'être aimé.
Sans employer la langue, il eſt des interpretes Qui parlent clairement des atteintes ſecretes.	Sans employer la langue, il est des interprètes Qui parlent clairement des atteintes secrètes.
Un ſoûpir, un regard, une ſimple rougeur, Un ſilence eſt aſſez pour expliquer un cœur.	Un soupir, un regard, une simple rougeur, Un silence est assez pour expliquer un cœur.
Tout parle dans l’amour, & ſur cette matiere Le moindre jour doit eſtre une grande lumiere;	Tout parle dans l'amour, et sur cette matière Le moindre jour doit être une grande lumière;
Puiſque chez noſtre Sexe, où l’honneur eſt puiſſant, 1 On ne montre jamais tout ce que l’on reſſent.	Puisque chez notre Sexe, où l'honneur est puissant, 1 On ne montre jamais tout ce que l'on ressent.
J’ay voulu, je l’avouë ajuſter ma conduite, Et voir d’un œil égal, l’un & l’autre merite:	J'ai voulu, je l'avoue ajuster ma conduite, Et voir d'un œil égal, l'un et l'autre mérite:
Mais que contre ſes vœux on combat vainement, Et que la difference eſt connuë aiſément, De toutes ces faveurs qu’on fait avec étude A celles où du cœur fait pancher l’habitude.	Mais que contre ses vœux on combat vainement, Et que la différence est connue aisément, De toutes ces faveurs qu'on fait avec étude A celles où du cœur fait pencher l'habitude.
Dans les unes toûjours, on paroiſt ſe forcer;	Dans les unes toujours, on paraît se forcer;
Mais les autres, helas!	Mais les autres, hélas!
ſe font ſans y penſer, Semblables à ces eaux, ſi pures & ſi belles, Qui coulent ſans effort des ſources naturelles.	se font sans y penser, Semblables à ces eaux, si pures et si belles, Qui coulent sans effort des sources naturelles.
Ma pitié pour D.	Ma pitié pour D.
Sylve, avoit beau l’émouvoir, g en tranmlois les loins, lalis mr’en appercevoir.	Sylve, avait beau l'émouvoir, g en tranmlais les loins, lalis mr’en apercevoir.
Et mes regards au Prince, en un pareil martyre En diſoient toûjours plus, que je n’en voulois dire.	Et mes regards au Prince, en un pareil martyre En disaient toujours plus, que je n'en voulais dire.
D 34	D 34
ELISE.	ÉLISE.
Enfin, ſi les ſoûpçons de cet illuſtre Amant, Puiſque vous le voulez n’ont point de fondement;	Enfin, si les soupçons de cet illustre Amant, Puisque vous le voulez n'ont point de fondement;
Pour le moins font-ils foy d’une ame bien atteinte, Et d’autres cheriroient ce qui fait voſtre plainte.	Pour le moins font-ils foi d'une âme bien atteinte, Et d'autres chériraient ce qui fait votre plainte.
De jaloux mouvemens doivent eſtre odieux,  S’ils partent d’un amour qui déplaiſe à nos yeux.	De jaloux mouvements doivent être odieux, S'ils partent d'un amour qui déplaise à nos yeux.
Mais tout ce qu’un Amant nous peut montrer d’allarmes, charmes;	Mais tout ce qu'un Amant nous peut montrer d'alarmes, charmes;
Doit lors que nous l’aymons, avoir pour nous des C’eſt par-là que ſon feu ſe peut mieux exprimer, Et plus il eſt jaloux, plus nous devons l’aymer;	Doit lors que nous l'aimons, avoir pour nous des C'est par-là que son feu se peut mieux exprimer, Et plus il est jaloux, plus nous devons l'aimer;
Ainſi puiſqu’en voſtre ame un Prince magnanime.	Ainsi puisqu'en votre âme un Prince magnanime.
D.	D.
ELUIRE.	ÉLUIRE.
Ah!	Ah!
ne m’avancez point cette étrange maxime Par tout la jalouſie eſt un monſtre odieux, Rien n’en peut adoucir les traits injurieux;	ne m'avancez point cette étrange maxime Par tout la jalousie est un monstre odieux, Rien n'en peut adoucir les traits injurieux;
Et plus l’amour eſt cher, qui luy donne naiſſance Plus on doit reſſentir les coups de cette offence.	Et plus l'amour est cher, qui avait donne naissance Plus on doit ressentir les coups de cette offense.
Voir un Prince emporté, qui perd à tous momens Le reſpect que l’amour inſpire aux vrais Amans :	Voir un Prince emporté, qui perd à tous moments Le respect que l'amour inspire aux vrais Amants :
Qui dans les ſoins jaloux, où ſon ame ſe noye, Querelle également mon chagrin, & ma joye;	Qui dans les soins jaloux, où son âme se noie, Querelle également mon chagrin, et ma joie;
Et dans tous mes regards ne peut rien remarquer, Qu’en faveur d’un Rival il ne veüille expliquer.	Et dans tous mes regards ne peut rien remarquer, Qu'en faveur d'un Rival il ne veuille expliquer.
Non, non, par ces ſoûpçons je ſuis trop offencée, Et ſans déguiſement je te dis m’a penſée.	Non, non, par ces soupçons je suis trop offensée, Et sans déguisement je te dis m'a pensée.
Le Prince D.	Le Prince D.
Garcie eſt cher à mes deſirs, Il peut d’un cœur illuſtre échaufer les ſoûpirs:	Garcie est cher à mes désirs, Il peut d'un cœur illustre échauffer les soupirs:
Au milieu de Leon, on a veu ſon courage Me donner de ſa flâme un noble témoignage, Braver en ma faveur des perils les plus grands, M’enlever aux deſſeins de nos lâches tyrans.	Au milieu de Léon, on a vu son courage Me donner de sa flamme un noble témoignage, Brave en ma ur des périls les plus grands, M'enlever aux desseins de nos lâches tyrans.
Et dans ces murs forcez mettre ma deſtinée, A couvert des horreurs d’un indigne hymenée;	Et dans ces murs forcés mettre ma destinée, À couvert des horreurs d'un indigne hyménée;
Et je ne cele point que j’aurois de l’ennuy, Que la gloire en fuſt deuë à quelqu’autre qu’à luy;	Et je ne cèle point que j'aurais de l'ennui, Que la gloire en fût due à quelque autre qu'àfois;
Car un cœur amoureux prend un plaiſir extrême, A ſe voir redevable, Eliſe, à ce qu’il ayme;	Car un cœur amoureux prend un plaisir extrême, À se voir redevable, Élise, à ce qu'il aime;
Et ſa flâme timide oſe mieux éclater, Lois qu’en favoriſant, elle croiſt s’acquiter.	Et sa flamme timide ose mieux éclater, Lois qu'en favorisant, elle crois s'acquitter.
Oüy, j’ayme qu’un ſecours qui haſarde ſa teſte Semble à ſa paſſion donner droict de conqueſte.	Oui, j'aime qu'un secours qui hasarde sa tête Semble à sa passion donner droit de conquête.
J’ayme que mon peril in’ait jettée en ſes mains, Et ſi les bruits communs ne ſont pas des bruits vains;	J'aime que mon péril in'ait jetée en ses mains, Et si les bruits communs ne sont pas des bruits vains;
Si la bonté du Ciel nous rameine mon Frere, Les vœux les plus ardens, que mon cœur puiſſe faire;	Si la bonté du Ciel nous ramène mon Frère, Les vœux les plus ardents, que mon cœur puisse faire;
C’eſt que ſon bras encor, ſur un perfide ſang Puiſſe ayder à ce Frere, à reprendre ſon rang.	C'est que son bras encor, sur un perfide sang Puisse aider à ce Frère, à reprendre son rang.
Et par d’heureux ſudcez d’une haute vaillance Meriter tous les ſoins de ſa reconnoiſſance:	Et par d'heureux succès d'une haute vaillance Mériter tous les soins de sa reconnaissance:
Mais avec tout cela, s’il pouſſe mon courroux, S’il ne purge ſes feux de leurs tranſports jaloux, Et ne les range aux loix, que je luy veux preſcrire, C’eſt inutilement qu’il pretend Done Eluire.	Mais avec tout cela, s'il pousse mon courroux, S'il ne purge ses feux de leurs transports jaloux, Et ne les range aux lois, que je a veux prescrire, C'est inutilement qu'il prétend Done Elvire.
miijimen ne peue nous jomdre, e jaonorre des nœuds, ( deux.	mijimen ne peue nous jomdre, e aonorre des nœuds, ( deux.
Qui deviendroient ſans doute un Enfer pour tous	Qui deviendraient sans doute un Enfer pour tous
ELISE.	ÉLISE.
Bien que l’on puſt avoir des ſentimens tout autres, C’eſt au Prince, Madame, à ſe regler aux voſtres, Et dans voſtre billet ils ſont ſi bien marquez, Que quand il les verra de la ſorte expliquez.	Bien que l'on pût avoir des sentiments tout autres, C'est au Prince, Madame, à se régler aux vôtres, Et dans votre billet ils sont si bien marquez, Que quand il les verra de la sorte expliquez.
D.	D.
ELUIRE.	ÉLUIRE.
Je n’y veux point, Eliſe, employer cette lettre, C’eſt un ſoin qu’à ma bouche, il me vaut mieux commettre.	Je n'y veux point, Élise, employer cette lettre, C'est un soin qu'à ma bouche, il me vaut mieux commettre.
La faveur d’un écrit laiſſe aux mains d’un Amant Des témoins trop conſtans de noſtre attachement:	La faveur d'un écrit laisse aux mains d'un Amant Des témoins trop constant de notre attachement:
Ainſi dõc empeſchez, qu’au Prince on ne la livre.	Ainsi dõc empêchez, qu'au Prince on ne la livre.
ELISE.	ÉLISE.
Toutes vos volontez ſont des loix qu’on doit ſuivre.	Toutes vos volontés sont des lois qu'on doit suivre.
J’admire cependant que le Ciel ait jetté Dans le gouſt des eſprits tant de diverſité, Et que ce que les uns regardent comme outrage, Soit veu par d’autres yeux ſous un autre viſage.	J'admire cependant que le Ciel ait jeté Dans le goût des esprits tant de diversité, Et que ce que les uns regardent comme outrage, Soit vu par d'autres yeux sous un autre visage.
Pour moy je trouverois mon ſort tout-à-fait doux, Si j’avois un Amant qui puſt eſtre jaloux;	Pour moi je trouverais mon sort tout-à-fait doux, Si j'avais un Amant qui pût été jaloux;
Je ſçaurois m’applaudir de ſon inquietude;	Je sçaurois m'applaudir de son inquiétude;
Et ce qui pour mon ame eſt ſouvent un peu rude, C’eſt de voir D.	Et ce qui pour mon âme est souvent un peu rude, C'est de voir D.
Alvar ne prendre aucun ſoucy.	Alvar ne prendre aucun souci.
D.	D.
ELUIRE.	ÉLUIRE.
Nous ne le croyions pas ſi proche;	Nous ne le croyions pas si proche;
le voicy.	le voici.
SCENE II.	SCÈNE II.
D.	D.
ELUIRE, D.	ÉLUIRE, D.
ALVAR, ELISE.	ALVAR, ÉLISE.
D.	D.
ELUIRE.	ÉLUIRE.
y Oſtre retour ſurprend, qu’avez-vous à m’apV prendre?	y Ostre retour surprend, qu'avez-vous à m'apU prendre?
Dom Alphonſe vient-il, a-t-on lieu de l’attendre?	Dom Alphonse vient-il, a-t-on lieu de l'attendre?
D.	D.
ALVAR.	ALVAR.
Oüy, Madame, & ce Frere en Caſtille élevé De rentrer dans ſes droits voit le temps arrivé.	Oui, Madame, et ce Frère en Castille élevé De rentrer dans ses droits voit le temps arrivé.
Juſqu’icy D.	Jusqu'ici D.
Loüis qui vit à ſa prudence Par le feu Roy mourant, commettre ſon enfance, A caché ſes deſtins aux yeux de tout l’Eſtat, Pour l’oſter aux fureurs du traiſtre Mauregat.	Louis qui vit à sa prudence Par le feu Roi mourant, commettre son enfance, A caché ses destins aux yeux de tout l'État, Pour l'ôter aux fureurs du traître Mauregat.
Et bien que le Tyran, depuis ſa lâche audace, L’ait ſouvent demandé pour luy rendre ſa place;	Et bien que le Tyran, depuis sa lâche audace, L'ait souvent demandé pour lui rendre sa place;
Jamais ſon zele ardent n’a pris de ſeureté, A l’appas dangereux de ſa fauſſe équité.	Jamais son zèle ardent n'a pris de sûreté, A l'appas dangereux de sa fausse équité.
Mais les peuples émeus par cette violence Que vous a voulu faire une injuſte puiſſance, Ce genereux Vieillard a creu qu’il eſtoit temps D’éprouver le ſuccés d’un eſpoir de vingt ans.	Mais les peuples émus par cette violence Que vous a voulu faire une injuste puissance, Ce généreux Vieillard a cru qu'il était temps D'éprouver le succès d'un espoir de vingt ans.
Il a tenté Leon, & ſes fidelles trames, Des grands, comme du peuple ont pratiqué les Tandis que la Caſtille armoit dix mille brãs, Pour redonner ce Prince aux vœux de ſes Eſtats;	Il a tenté Léon, et ses fidèles trames, Des grands, comme du peuple ont pratiqué les Tandis que la Castille armait dix mille brans, Pour redonner ce Prince aux vœux de ses États;
Il fait auparavant ſemer ſa renommée, Et ne veut le monſtrer qu’en teſte d’une armée.	Il fait auparavant semer sa renommée, Et ne veut le montrer qu'en tête d'une armée.
Que tout preſt à lancer le foudre puniſſeur, Sous qui doit ſuccomber un lâche raviſſeur.	Que tout prêt à lancer le foudre punisseur, Sous qui doit succomber un lâche ravisseur.
On iveſtit Leon, & Don Syive en perſonne Commande le ſecours que ſon Pere vous donne.	On ivestit Léon, et Don Syive en personne Commande le secours que son Père vous donne.
D.	D.
ELUIRE.	ÉLUIRE.
Un ſecours ſi puiſſant doit flater noſtre eſpoir;	Un secours si puissant doit flatter notre espoir;
Mais je crains que mon Frere y puiſſe trop devoir.	Mais je crains que mon Frère y puisse trop devoir.
D.	D.
ALVAR.	ALVAR.
Mais, Madame, admirez que malgré la tempeſte Que voitre uſurpateur oit gronder iui la teſte, Tous les bruits de Leon annoncent pour certain, Qu’à la Comteſſe Ignes il va donner la main.	Mais, Madame, admirez que malgré la tempête Que voitre usurpateur oit gronder jui la tête, Tous les bruits de Léon annoncent pour certain, Qu'à la Comtesse Ignès il va donner la main.
D.	D.
ELUIRE.	ÉLUIRE.
il enerene dans l’Hymen de cette illuſtre Fille L’appuy du grand credit, où ſe voit ſa famille;	il enerene dans Hymen de cette illustre Fille appui du grand crédit, il en voit sa famille;
Je ne reçois rien d’elle, & j’en ſuis en ſoucy, Mais ſon cœur au Tyran fut toûjours endurcy.	Je ne reçois rien d'elle, et j'en suis en souci, Mais son cœur au Tyran fut toujours endurci.
ELISE.	ÉLISE.
De trop puiſſants motifs, d’honneur & de tendreſſe, Oppoſent ſes refus aux nœuds dont on la preſſe, Pour.	De trop puissants motifs, d'honneur et de tendresse, Opposent ses refus aux nœuds dont on la presse, Pour.
D.	D.
ALVAR.	ALVAR.
Le Prince entre icy.	Le Prince entre ici.
SCENE III.	SCÈNE III.
D.	D.
GARCIE, D.	GARCIE, D.
ELUIRE, D.	ÉLUIRE, D.
ALVAR, ELISE,	ALVAR, ÉLISE,
JE viens m’intereſſer, Madame, au doux eſpoir, qu’il vous vient d’annoncer.	JE viens m'intéresser, Madame, au doux espoir, qu'il vous vient d'annoncer.
Ce Frere qui menace un Tyran plein de crimes, Flatte de mon amour les tranſports legitimes.	Ce Frère qui menace un Tyran plein de crimes, Flatte de mon amour les transports légitimes.
Son ſort offre à mon bras des perils glorieux, Dont je puis faire hommage à l’éclat de vos yeux, Et par eux m’acquerir, ſi le Ciel m’eſt propice, La gloire d’un revers, que vous doit ſa juſtice;	Son sort offre à mon bras des périls glorieux, Dont je puis faire hommage à l'éclat de vos yeux, Et par eux m'acquérir, si le Ciel m'est propice, La gloire d'un revers, que vous doit sa justice;
Qui va faire à vos pieds cheoir l’infidelité, Et rendre à voſtre ſang toute ſa dignité.	Qui va faire à vos pieds choir l'infidélité, Et rendre à votre sang toute sa dignité.
Mais ce qui plus me plaiſt, d’une atteinte ſi chere, C’eſt que pour eſtre Roy, le Ciel vous rend ce Frere;	Mais ce qui plus me plaît, d'une attente si chère, C'est que pour être Roi, le Ciel vous rend ce Frère;
Et qu’ainſi mon amour peut éclater au moins Sans qu’à d’autres motifs on impute ſes ſoins;	Et qu'ainsi mon amour peut éclater au moins Sans qu'à d'autres motifs on impute ses soins;
Et qu’il ſoit ſoupçonné, que dans voſtre perſonne Il cherche à me gagner les droits d’une Couronne.	Et qu'il soit soupçonné, que dans votre personne Il cherche à me gagner les droits d'une Couronne.
Oüy, tout mon cœur voudroit montrer aux yeux de tous, Qu’il ne regarde en vous autre choſe que vous;	Oui, tout mon cœur voudrait montrer aux yeux de tous, Qu'il ne regarde en vous autre chose que vous;
Et cent fois, ſi je puis le dire ſans offence, Ses vœux ſe ſont armez contre voſtre naiſſance, Leur chaleur indiſcrete a d’un deſtin plus bas Souhaité le partage à vos divins appas, Afin que de ce Cœur, le noble ſacrifice Puſt du Ciel envers vous reparer l’injuſtice;	Et cent fois, si je puis le dire sans offense, Ses vœux se sont armés contre votre naissance, Leur chaleur indiscrète a d'un destin plus bas Souhaité le partage à vos divins appas, Afin que de ce Cœur, le noble sacrifice Pût du Ciel envers vous réparer l'injustice;
Et voſtre ſort tenir des mains de mon amour, Tout ce qu’il doit au ſang, dont vous tenez le jour.	Et votre sort tenir des mains de mon amour, Tout ce qu'il doit au sang, dont vous tenez le jour.
Mais puis qu’enfin les Cieux, de tout ce juſte hommage, A mes feux prévenus dérobent l’avantage.	Mais puisque eenfin les Cieux, de tout ce juste hommage, À mes feux prévenus dérobent l'avantage.
Trouvez bon que ces feux, prẽnent un peu d’eſpoir Sur la mort que mon bras s’appreſte à faire voir;	Trouvez bon que ces feux, prennent un peu d'espoir Sur la mort que mon bras s'apprête à faire voir;
Et qu’ils olent briguer par d’illuſtres ſervices, D’un Frere & d’un Eſtat les ſuffrages propices.	Et qu'ils olent briguer par d'illustres services, D'un Frère et d'un État les suffrages propices.
D.	D.
ELUIRE.	ÉLUIRE.
Je ſçay que vous pouvez, Prince, en vangeant nos droits 91 Faire par voſtre amour parler cent beaux exploits.	Je sais que vous pouvez, Prince, en vengeant nos droits 91 Faire par votre amour parler cent beaux exploits.
Mais ce n’eſt pas aſſez pour le prix qu’il eſpere Que l’aveu d’un Eſtat, & la faveur d’un Frere.	Mais ce n'est pas assez pour le prix qu'il espère Que l'aveu d'un État, et la faveur d'un Frère.
D.	D.
Eluire n’eſt pas au bout de cet effort, Et je vous vois à vaincre un obſtacle plus fort.	Elvire n'est pas au bout de cet effort, Et je vous vois à vaincre un obstacle plus fort.
D.	D.
GARCIE.	GARCIE.
Oüy, Madame, j’entens ce que vous voulez dire, Je ſçay bien que pour vous mon cœur en vain Ioupire;	Oui, Madame, j'entends ce que vous voulez dire, Je sais bien que pour vous mon cœur en vain Ioupire;
D.	D.
Et l’obſtacle puiſſant, qui s’oppoſe à mes feux, Sans que vous le nommiez, n’eſt pas ſecret pour eux.	Et l'obstacle puissant, qui s'oppose à mes feux, Sans que vous le nommiez, n'est pas secret pour eux.
D.	D.
ELUIRE.	ÉLUIRE.
Souvent on entend mal, ce qu’on croit bien encendle, I prendre.	Souvent on entend mal, ce qu'on croit bien encendle, I prendre.
Et par trop de chaleur, Prince, on ſe peut méMais puis qu’il faut parler, deſirez vous ſçavoir, Quand vous pourrez me plaire, & prendre quelque eſpoir?	Et par trop de chaleur, Prince, on se peut méMais puis qu'il faut parler, désirez vous savoir, Quand vous pourrez me plaire, et prendre quelque espoir?
D.	D.
GARCIE.	GARCIE.
Ce me ſera, Madame, une faveur extrême.	Ce me sera, Madame, une faveur extrême.
D.	D.
ELUIRE.	ÉLUIRE.
Quand vous ſçaurez m’aymer, comme il faut que l’on ayme.	Quand vous saurez m'aimer, comme il faut que l'on aime.
7 2	7 2
D.	D.
GARCIE,	GARCIE,
D.	D.
GARCIE.	GARCIE.
Et que peut-on, helas!	Et que peut-on, hélas!
obſerver ſous les Cieux Qui ne cede à l’ardeur, que m’inſpirent vos yeux?	observer sous les Cieux Qui ne cède à l'ardeur, que m'inspirent vos yeux?
D.	D.
ELUIRE.	ÉLUIRE.
quanld rontre pamon ne fera rien paroiſtre, Dont je puiſſe indigner celle qui l’a fait naiſtre.	quanld rontre pamon ne fera rien paraître, Dont je puisse indigner celle qui l'a fait naître.
D.	D.
GANCIE.	GANCIE.
C’eſt-là ſon plus grand ſoin.	C'est-là son plus grand soin.
D.	D.
ELUIRE.	ÉLUIRE.
Quand tous ſes mouvemens rte preuront point de moy de trop bas ſentimens.	Quand tous ses mouvements rè preuront point de moi de trop bas sentiments.
D.	D.
GARCIE.	GARCIE.
Ils vous reverent trop.	Ils vous révèrent trop.
D.	D.
ELUIRE.	ÉLUIRE.
Quand d’un injuſte ombrage Voſtre raiſon ſçaura me reparer l’outrage;	Quand d'un injuste ombrage Votre raison saura me réparer l'outrage;
Et que vous bannirez, enfin, ce monſtre affreux, Qui de ſon noir venin empoiſonne vos feux.	Et que vous bannirez, enfin, ce monstre affreux, Qui de son noir venin empoisonne vos feux.
Cette jalouſe humeur, dont l’importun caprice, Aux vœux, que vous ſomez, renſd un Mauvais office, S’oppoſe à leur attente, & contre eux à tous coups Arme les mouvemens de mon juſte courroux.	Cette jalouse humeur, dont l'importun caprice, Aux vœux, que vous somez, rends un Mauvais office, S'oppose à leur attente, et contre eux à tous coups Arme les mouvements de mon juste courroux.
D.	D.
GARCIE.	GARCIE.
Ah!	Ah!
