M DC LXIX.	M MC LXIX.
ARGATIPHONTIDAS, NAUCRATES, PDLIDAS, POSICLES, La Scene eſt à Thebes, devant la Maiſon d’Amphitryon.	ARGATIPHONTIDAS, NAUCRATES, PDLIDAS, POSICLES, La Scène est à Thebes, devant la Maison d'Amphitryon.
AMPHITRYON, COMEDIE.	AMPHITRYON, COMÉDIE.
PROLOGUE.	PROLOGUE.
MERCURE ſur un Nuage, la NUIT dans un Char traiſné par deux Chevaux.	MERCURE sur un Nuage, la NUIT dans un Char traîné par deux Chevaux.
2 MC MERCURE.	2 MC MERCURE.
Out-beau, charmante Nuit;	Out-beau, charmante Nuit;
daignez vous arreſter.	daignez -vous arrêter.
Il eſt certain ſecours, que de vous on deſire :	Il est certain secours, que de vous on désire :
Et j’ay deux mots à vous dire, De la palt de juplter.	Et j'ai deux mots à vous dire, De la palt de juplter.
LA NUIT.	LA NUIT.
Ah, ah, c’eſt vous, Seigneur Mercure!	Ah, ah, c'est vous, Seigneur Mercure!
Qui vous euſt deviné là, dans cette poſture?	Qui vous eût deviné là, dans cette posture?
MERGURE.	MERGURE.
Ma foy, me trouvant las, pour ne pouvoir fournir Aux differens Emplois où Jupiter m’engage, je ine ſuis doucement aiiis lur ce Nuagé, Pour vous attendre venir.	Ma foi, me trouvant las, pour ne pouvoir fournir Aux différents Emplois où Jupiter m'engage, je iné suis doucement aiiis lur ce Nuagé, Pour vous attendre venir.
LA NUIT.	LA NUIT.
Vous vous moquez, Mercure, &vous n’y ſongez pas.	Vous vous moquez, Mercure, etvous n'y songez pas.
Sied-il bien à des Dieux de dire qu’ils ſont las?	Sied-il bien à des Dieux de dire qu'ils sont las?
MERCURE.	MERCURE.
Les Dieux ſont-ils de Fer?	Les Dieux sont-ils de Fer?
LA NUIT.	LA NUIT.
Non;	Non;
mais il faut ſans ceſſe larder le decorum de la Divinité.	mais il faut sans cesse larder le décorum de la Divinité.
l eſt de certains mots, dont l’uſage rabaiſſe Cette ſublime qualité;	l est de certains mots, dont l'usage rabaisse Cette sublime qualité;
Et que, pour leur indignité, Il eſt bon qu’aux Hommes on laiſſe.	Et que, pour leur indignité, Il est bon qu'aux Hommes on laisse.
MERGURE.	MERGURE.
A voſtre aiſe vous en parlez;	À votre aise vous en parlez;
Et vous avez, la Belle, une Chaiſe roulante, Où par deux bons Chevaux, en Dame nonchalante, Vous vous faites traîner par tout où vous voulez.	Et vous avez, la Belle, une Chaise roulante, Où par deux bons Chevaux, en Dame nonchalante, Vous vous faites traîner par tout où vous voulez.
Mais de moy ce n’eſt pas de même;	Mais de moi ce n'est pas de même;
Et je ne puis vouloir, dans mon deſtin fatal, Aux Poëtes aſſez de mal, De leur impertinence extréme:	Et je ne puis vouloir, dans mon destin fatal, Aux Poètes assez de mal, De leur impertinence extrême:
D’avoir, par une injuſte Loy, Dont on veut maintenir l’uſage, A chaque Dieu, dans ſon Employ, Donné quelque allûre en partage;	D'avoir, par une injuste Loi, Dont on veut maintenir l'usage, À chaque Dieu, dans son Emploi, Donné quelque alleure en partage;
Et de me laiſſer à pied, Moy, Comme un Meſſager de Village.	Et de me laisser à pied, Moi, Comme un Messager de Village.
Moy qui ſuis, comme on ſçait, en Terre, & dans les Cieux, Le fameux Meſſager du Souverain des Dieux;	Moi qui suis, comme on sait, en Terre, et dans les Cieux, Le fameux Messager du Souverain des Dieux;
Et qui, ſans rien exagerer, Par tous les Emplois qu’il me donne, Aurois beſoin, plus que Perſonne, D’avoir dequoy me voiturer.	Et qui, sans rien exagérer, Par tous les Emplois qu'il me donne, Aurais besoin, plus que Personne, D'avoir dequoy me voiturer.
LA NVIT.	LA NVIT.
Que voulez-vous faire à cela?	Que voulez-vous faire à cela?
Les Poëtes font à leur guiſe.	Les Poètes font à leur guise.
Ce n’eſt pas la ſeule ſottiſe, Qu’on voit faire à ces Meſſieurs-là.	Ce n'est pas la seule sottise, Qu'on voit faire à ces Messieurs-là.
Mais contr’eux toutefois voſtre Ame à tort s’irrite, Et vos ailes aux pieds ſont un don de leurs ſoins.	Mais contr'eux toutefois votre Âme à tort s'irrite, Et vos ailes aux pieds sont un don de leurs soins.
MER	MER
MERCURE.	MERCURE.
Oüy;	Oui;
mais pour aller plus viſte, Elt-ce qu’on s en lanle mons?	mais pour aller plus vite, Élt-ce qu'on s en lanle mons?
LA NUIT.	LA NUIT.
Laiſſons cela, Seigneur Merbure;	Laissons cela, Seigneur Merbure;
Et ſçachons ce dont il s’agit.	Et sachons ce dont il s'agit.
MERCURE.	MERCURE.
C’eſt Jupiter, comme je vous l’ay dit, Qui de voſtre Manteau veut la faveur obſcure, Pour certaine douce avanture, Qu’un nouvel Amour luy fournit.	C'est Jupiter, comme je vous l'ai dit, Qui de votre Manteau veut la faveur obscure, Pour certaine douce aventure, Qu'un nouvel Amour lui fournit.
Ses pratiques, je croy, ne vous ſont pas nouvelles.	Ses pratiques, je crois, ne vous sont pas nouvelles.
Bien ſouvent, pour la Terre, il neglige les Cieux:	Bien souvent, pour la Terre, il néglige les Cieux:
Et vous n’ignorez pas que ce Maiſtre des Dieux Aime à s’humaniſer pour des Beautez mortelles, Et ſçait cent tours ingenieux, Pour mettre à bout les plus cruelles.	Et vous n'ignorez pas que ce Maître des Dieux Aime à s'humaniser pour des Beautez mortelles, Et fait cent tours ingénieux, Pour mettre à bout les plus cruelles.
Des yeux d’Alcméne il a ſenty les coups:	Des yeux d'Alcméne il a senti les coups:
Et tandis qu’au milieu des Beotiques Plaines, Amphitryon, ſon Epous, Commande aux Troupes Thebaines, Il en a pris la forme, & reçoit là-deſſous Un ſoulagement à ſes peines, Dans la poſſeſſion des plaiſirs les plus doux.	Et tandis qu'au milieu des Beotiques Plaines, Amphitryon, son Épous, Commande aux Troupes Thebaines, Il en a pris la forme, et reçoit là-dessous Un soulagement à ses peines, Dans la possession des plaisirs les plus doux.
L’état des Mariez à ſes feux eſt propice:	L'état des Mariés à ses feux est propice:
L’Hymen ne les a joints, que depuis quelquesjours;	L'Hymen ne les a joints, que depuis quelques;
Et la jeune chaleur de leurs tendres amours, A fait que Jupiter à ce bel artifice S’eſt aviſé d’avoir recours.	Et la jeune chaleur de leurs tendres amours, A fait que Jupiter à ce bel artifice S'est avisé d'avoir recours.
con itratageme lcy le douve ſiutane.	con itratageme lcy le douve siutane.
Mais, prés de maint Objet chery, Pareil déguiſement ſeroit pour ne rien faire;	Mais, près de maint Objet chéri, Pareil déguisement serait pour ne rien faire;
Et ce n’eſt pas par tout un bon moyen de plaire, Que la Figure d’un Mary.	Et ce n'est pas par tout un bon moyen de plaire, Que la Figure d'un Mari.
LA MhII.	LA MhII.
J’admire Jupiter;	J'admire Jupiter;
& je ne comprens pas Tous les deguiſemens quiluy viennent en teſte.	et je ne comprends pas Tous les déguisements qu' viennent en tête.
MEE	ME
MERCURE.	MERCURE.
Il veut gouſter par là toutes ſortes d’Etats;	Il veut goûter par là toutes sortes d'États;
Et c’eſt agir en Dieu qui n’eſt pas Beſte.	Et c'est agir en Dieu qui n'est pas Bête.
Dans quelque rang qu’il ſoit des Mortels regardé, Je le tiendrois fort miſerable, S’il ne quittoit jamais ſa mine redoutable, Et qu’au faiſte des Cieux il fût toujours guindé.	Dans quelque rang qu'il soit des Mortels regardé, Je le tiendrais fort misérable, S'il ne quittait jamais sa mine redoutable, Et qu'au faîte des Cieux il fût toujours guindé.
Il n’eſt point à mon gré de plus ſotte methode, Que d’eſtre empriſonné toujours dans ſa grandeur;	Il n'est point à mon gré de plus sotte méthode, Que d'être emprisonné toujours dans sa grandeur;
Et ſur tout, aux tranſports de l’amoureuſe ardeur, La haute Qualité devient fort incommode.	Et sur tout, aux transports de l'amoureuse ardeur, La haute Qualité devient fort incommode.
Jupiter, qui ſans doute en plaiſirs ſe connoiſt, Sçait deſcendre du haut de ſa Gloire ſupréme;	Jupiter, qui sans doute en plaisirs se connaît, Sait descendre du haut de sa Gloire suprême;
Et pour entrer dans tout ce qu’il luy plaiſt, Il ſort tout-à-fait de luy-même, Et ce n’eſt plus alors Jupiter qui paroiſt.	Et pour entrer dans tout ce qu'il cause plaît, Il sort tout-à-fait de m-même, Et ce n'est plus alors Jupiter qui paraît.
LA NUIT.	LA NUIT.
Paſſe encor de le voir de ce ſublime Etage, Dans celuy des Hommes venir, Prendre tous les tranſports que leur Cœur peut fournir, Et ſe faire à leur badinage;	Passe encor de le voir de ce sublime Éthage, Dans celui des Hommes venir, Prendre tous les transports que leur Cœur peut fournir, Et se faire à leur badinage;
Si dans les changemens où ſon humeur l’engage, A la Nature Humaine il s’en vouloit tenir.	Si dans les changements où son humeur l'engage, À la Nature Humaine il s'en voulait tenir.
Mais de voir Jupiter Taureau, Serpent, Cygne, ou quelqu’autre choſe;	Mais de voir Jupiter Taureau, Serpent, Cygne, ou quelque autre chose;
Je ne trouve point cela beau, Et ne m’étonne pas, ſi par fois on en cauſe.	Je ne trouve point cela beau, Et ne m'étonne pas, si par fois on en cause.
MERCURE.	MERCURE.
Laiſſons dire tous les Cenſeurs.	Laissons dire tous les Censeurs.
Tels changemens ont leurs douceurs, Qui paſſent leur intelligence.	Tels changements ont leurs douceurs, Qui passent leur intelligence.
Ce Dieu ſçait ce qu’il fait auſſi-bien là qu’ailleurs;	Ce Dieu Fait ce qu'il fait aussi-bien là qu'ailleurs;
Et dans les mouvemens de leurs tendres ardeurs, Les Beſtes ne ſont pas ſi Beſtes, que l’on penſe.	Et dans les mouvements de leurs tendres ardeurs, Les Bêtes ne sont pas si Bêtes, que l'on pense.
LA NUIT.	LA NUIT.
Revenons à l’Objet, dont il a les faveurs.	Revenons à l'Objet, dont il a les faveurs.
Si par ſon ſtratageme, il voit ſa flame heureuſe, Que peue nlounulter.	Si par son stratagème, il voit sa flamme heureuse, Que peue nounulter.
& quentee que je puis?	et quente que je puis?
MERCURE.	MERCURE.
Que vos Chevaux par vous au petit pas reduits, Pour ſatisfaire aux vœux de ſon Ame amoureuſe, D'une Nuit ſi delicieuſe, Faſſent la plus longue des Nuits.	Que vos Chevaux par vous au petit pas réduits, Pour satisfaire aux vœux de son Âme amoureuse, D'une Nuit si délicieuse, Fassent la plus longue des Nuits.
Qu’a ſes tranſports vous donniez plus d’eſpace;	Qu'a ses transports vous donniez plus d'espace;
Et retardiez la naiſſance du Jour, Oui doit avalicer le fetour De celuy, dont il tient la place.	Et retardiez la naissance du Jour, Oui doit avalicer le fetour De celui, dont il tient la place.
LA NUIT.	LA NUIT.
Voila ſans doute un bel Employ, que le diuna jupiter m’appreſte:	Voilà sans doute un bel Emploi, que le diuna jupiter m'apprête:
Et l’on donne un nom fort honneſte Au ſervice qu’il veut de moy.	Et l'on donne un nom fort honnête Au service qu'il veut de moi.
MERCURE.	MERCURE.
Pour une jeune Déeſſe, Vous eſtes bien du bon temps!	Pour une jeune Déesse, Vous êtes bien du bon temps!
Un tel Employ n’eſt baſſeſſe, Que chez les petites Gens.	Un tel Emploi n'est bassesse, Que chez les petites Gens.
Lors que dalis uit laut feanig on a l’heur de paroître, Tout ce qu’on fait eſt toujours bel, & bon;	Lors que dalis uit laut feanig on a l'heur de paraître, Tout ce qu'on fait est toujours bel, et bon;
Et ſuivant ce qu’on peut eſtre, Les choſes changent de nom.	Et suivant ce qu'on peut être, Les choses changent de nom.
LA NUIT.	LA NUIT.
Sur de pareilles matieres, Vous en ſçavez plus que moy:	Sur de pareilles matières, Vous en savez plus que moi:
Et pour accepter l’Employ, J’en veux croire vos lumieres.	Et pour accepter l'Emploi, J'en veux croire vos lumières.
MERCURE.	MERCURE.
Hé, là, là, Madame la Nuit, Un peu doucement je vous prie.	Hé, là, là, Madame la Nuit, Un peu doucement je vous prie.
Vous avez dans le Monde un bruit, De n’eſtre pas ſi rencherie.	Vous avez dans le Monde un bruit, De n'être pas si renchérie.
On vous fait Confidente en cent Climats divers, De beaucoup de bonnes Affaires;	On vous fait Confidente en cent Climats divers, De beaucoup de bonnes Affaires;
Et je crois, à parler à ſentimens ouverts, Que nous ne nous endevonsgueres.	Et je crois, à parler à sentiments ouverts, Que nous ne nous endevonsguères.
LA NUIT.	LA NUIT.
Laiſſons ces contrarietez, Et demeurons ce que nous ſommes.	Laissons ces contrariétés, Et demeurons ce que nous sommes.
It appreitons point à rire aux Hommes, En nous diſant nos veritez.	It appritons point à rire aux Hommes, En nous disant nos vérités.
MERCURE.	MERCURE.
Adieu, je vais là-bas, dans ma Commiſſion, Dépoüiller promptement la forme de Mercure, Pour y veſtir la Rigure Du Valet d’Amphitryon.	Adieu, je vais là-bas, dans ma Commission, Dépouiller promptement la forme de Mercure, Pour y vêt la Rigure Du Valet d'Amphitryon.
LA T Moy, dans cette Hemiſphere, avec ma Suite obſcure, je vals lanle une Statron	LA T Oi, dans cette Hémisphère, avec ma Suite obscure, je vals lanle une Statron
MERCURE.	MERCURE.
Bon-jour, la Nuit.	Bonjour, la Nuit.
LA NUIT.	LA NUIT.
Adieu, Mercure.	Adieu, Mercure.
Mereure deſcend de ſon Nuage en terre, & la Nuit paſſe dans ſon Char.	Mereure descend de son Nuage en terre, et la Nuit passe dans son Char.
COMEDIE.	COMÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PKEMIERE.	SCÈNE PEMIÈRE.
OSIE.	OSIE.
Ui va là?	Oui va là?
Heu?	Heu?
Ma peur à chaque pas s’accroiſt.	Ma peur à chaque pas s'accroît.
Meſſieurs, Amy de tout le Mohde.	Messieurs, Ami de tout le Mohde.
Ah!	Ah!
quelle audace ſans ſeconde, De marcher à l’heure qu’il eſt!	quelle audace sans seconde, De marcher à l'heure qu'il est!
Que mon Maiſtre couvert de gloire, Me joüe icy d’un vilain tour!	Que mon Maître couvert de gloire, Me joue ici d'un vil tour!
Quoy!	Quoi!
ſi pour ſon Prochain il avoit quelque amour, M’auroit-il fait partir par une Nuit ſi noire?	si pour son Prochain il avait quelque amour, M'aurait-il fait partir par une Nuit si noire?
Et pour me renvoyer annoncer ſon retour, Et le détail de ſa Victoire, Ne pouvoit-il pas bien attendre qu’il fût jour?	Et pour me renvoyer annoncer son retour, Et le détail de sa Victoire, Ne pouvait-il pas bien attendre qu'il fût jour?
Soſie, à quelle ſervitude Tes jours ſont-ils aſſujettis!	Sosie, à quelle servitude Tes jours sont-ils assujettis!
Noſtre Sort eſt beaucoup plus rude Chez les Grands, que chez les Petits.	Notre Sort est beaucoup plus rude Chez les Grands, que chez les Petits.
Ils veulent que pour eux tout ſoit dans la Nature Obligé de s’immoler.	Ils veulent que pour eux tout soit dans la Nature Obligé de s'immoler.
Jour & Nuit, Greſle, Vent, Peril, Chaleur, Froidure, Dés qu’ils parlent, il faut voler.	Jour et Nuit, Grêle, Vent, Péril, Chaleur, Froidure, Dès qu'ils parlent, il faut voler.
Vingt ans d’aſſidu ſervice N’en obtiennent rien pour nous:	Vingt ans d'assidu service N'en obtiennent rien pour nous:
Le moindre petit caprice Nous attire leur courroux.	Le moindre petit caprice Nous attire leur courroux.
Cependant noſtre Ame inſenſée S’acharne au vain honneur de demeurer prés d’eux;	Cependant notre Âme insensée S'acharne au vain honneur de demeurer près d'eux;
Et s’y veut contenter de la fauſſe penſée, Qu’ont tous les autres Gens que nous ſommes heureux.	Et s'y veut contenter de la fausse pensée, Qu'ont tous les autres Gens que nous sommes heureux.
Vers la retraite en vain la Raiſon nous appelle;	Vers la retraite en vain la Raison nous appelle;
En vain noſtre dépit quelquefois y conſent:	En vain notre dépit quelquefois y consent:
Leur	Leur
Leur veuë a ſur noſtre zele Un aſcendant trop puiſſant;	Leur vue a sur notre zèle Un ascendant trop puissant;
la moindre faveur d’un coup d’œil careſſant, Nous rengage de plus belle.	la moindre faveur d'un coup d'œil caressant, Nous rengage de plus belle.
Mais enfin, dans l’obſcurité, voy noſtre Maiſon, & ma frayeur s’évade.	Mais enfin, dans l'obscurité, vois notre Maison, et ma frayeur s'évade.
Il me faudroit, pour l’Ambaſſade, Quelque Diſcours premedité.	Il me faudrait, pour l'Ambassade, Quelque Discours prémédité.
e dois aux yeux d’Alcméne un Portrait Militaire lu grand Combat qui met nos Ennemis à bas:	é dois aux yeux d'Alcméne un Portrait Militaire lu grand Combat qui met nos Ennemis à bas:
Mais comment diantre le faire, Si je ne m’y trouvay pas?	Mais comment diantre le faire, Si je ne m'y trouvai pas?
I’importe, parlons-en, & d’eſtoc, & de taille, Comme oculaire témoin :	J'importe, parlons-en, et d'étoc, et de taille, Comme oculaire témoin :
Combien de Gens font-ils des Recits de Bataille, Dont ils ſe ſont tenus loin?	Combien de Gens font-ils des Recits de Bataille, Dont ils se sont tenus loin?
Pour joüer mon Rôle ſans peine, Je le veux un peu repaſſer:	Pour jouer mon Rôle sans peine, Je le veux un peu repasser:
Voicy la Chambre, où j’entre en Courrier que l’on mene, Et cette Lanterne eſt Alcméne, A qui je me dois adreſſer.	Voici la Chambre, où j'entre en Courrier que l'on mène, Et cette Lanterne est Alcène, À qui je me dois adresser.
Il poſe ſa Lanterne à terre, & luy adreſſe ſon compliment.	Il pose sa Lanterne à terre, et lui adresse son compliment.
Madame, Amphitryon, mon Maiſtre, & voſtre Epous.	Madame, Amphitryon, mon Maître, et votre Épous.
Bon!	Bon!
beau debut!	beau début!
L’Eſprit toujours plein de vos charmes, M’a voulu choiſir entre tous, Pour vous donner avis du ſuccés de ſes Armes, Et du deſir qu’il a de ſe voir prés de vous.	L'Esprit toujours plein de vos charmes, M'a voulu choisir entre tous, Pour vous donner avis du succès de ses Armes, Et du désir qu'il a de se voir près de vous.
Ha!	Ha!
vrayment, mon pauvre Soſie, A te revoir, j’ay de la joye au Cœur.	vraiment, mon pauvre Sosie, À te revoir, j'ai de la joie au Cœur.
Madame, ce m’eſt trop d’honneur, Et mon deſtin doit faire envie.	Madame, ce m'est trop d'honneur, Et mon destin doit faire envie.
Bien répondu !	Bien répondu !
Comment ſe porte Amphitryon?	Comment se porte Amphitryon?
Madame, en Homme de courage, Dans les occaſions, où la Gloire l’engage.	Madame, en Homme de courage, Dans les occasions, où la Gloire l'engage.
COMEDTE.	COMEDTE.
Fort bien!	Fort bien!
belle conception !	belle conception !
Quand viendra-t-il, par ſon retour charmant, Rendre mon Ame ſatisfaite?	Quand viendra-t-il, par son retour charmant, Rendre mon Âme satisfaite?
Le plûtoſt qu’il pourra, Madame, aſſurément;	Le plutôt qu'il pourra, Madame, assurément;
15 Mais bien plus tard que ſon Cœur ne ſouhaite.	15 Mais bien plus tard que son Cœur ne souhaite.
Ah!	Ah!
Mais quel eſt l'état, où la Guerre l’a mis?	Mais quel est l'état, où la Guerre l'a mis?
Que dit-il?	Que dit-il?
que fait-il?	que fait-il?
contente un peu mon Ame.	contente un peu mon Âme.
Il dit moins qu’il ne fait, Madame, Et fait trembler les Ennemis.	Il dit moins qu'il ne fait, Madame, Et fait trembler les Ennemis.
Peſte!	Peste!
où prend mon Eſprit toutes ces gentilleſſes?	où prend mon Esprit toutes ces gentillesses?
Que font les revoltez?	Que font les révoltés?
dy-moy, quel eſt leur ſort?	dis-moi, quel est leur sort?
Ils n’ont pû reſiſter, Madame, à noſtre effort:	Ils n'ont pu résister, Madame, à notre effort:
Nous les avons taillez en pieces, Mis Pterelas leur Chef à mort;	Nous les avons taillez en pièces, Mis Pterrelas leur Chef à mort;
Pris Telebe d’aſſaut, & deja dans le Port Tout retentit de nos proüeſſes.	Pris Telebe d'assaut, et déjà dans le Port Tout retentit de nos proesses.
Ah!	Ah!
quel ſuccés!	quel succès!
ò Dieux!	§ Dieux!
qui l’eût pû jamais croire?	qui l'eût pu jamais croire?
Raconte-moy, Soſie, un tel evenement.	Raconte-moi, Sosie, un tel événement.
Je le veux bien, Madame, & ſans m’enfler de gloire, Du détail de cette Victoire Je puis parler tres-ſçavamment.	Je le veux bien, Madame, et sans m'enfler de gloire, Du détail de cette Victoire Je puis parler très-sçavamment.
Figurez-vous donc que Telebe, Madame, eſt de ce coſté:	Figurez-vous donc que Télèbe, Madame, est de ce côté:
C’eſt une Ville, en verité, Auſſi grande quaſi que Thebe.	C'est une Ville, en vérité, Aussi grande quasi que Thebe.
La Riviere eſt comme là.	La Rivière est comme là.
Icy nos Gens ſe camperent:	Ici nos Gens se campèrent:
Et l’eſpace que voila, Nos Ennemis l’occuperent.	Et l'espace que voilà, Nos Ennemis l'occupèrent.
Sur un haut, vers cet endroit, Eſtoit leur Infanterie;	Sur un haut, vers cet endroit, Était leur Infanterie;
Et plus bas, du coſté droit, Eſtoit la Cavalerie.	Et plus bas, du côté droit, Était la Cavalerie.
Aprés avoir aux Dieux adreſſé les Prieres, Tous les Ordres donnez, on donne le Signal.	Après avoir aux Dieux adressé les Prières, Tous les Ordres donnés, on donne le Signal.
Les Ennemis penſant nous tailler des croupieres, Firent trois pelotons de leurs Gens à cheval:	Les Ennemis pensant nous tailler des croupières, Firent trois pelotons de leurs Gens à cheval:
Mais lais leur chaleur par nous fut bientoſt reprimée, Et vous allez voir comme quoy.	Mais lais leur chaleur par nous fut bientôt reprimée, Et vous allez voir comme quoi.
oila noſtre Avantgarde, à bien faire animée;	oilà votre Avantgarde, à bien faire animée;
Là les Archers de Creon noſtre Roy;	Là les Archers de Creon notre Roi;
Et voicy le Corps d’Armée, Qui d’abord.	Et voici le Corps d'Armée, Qui d'abord.
Attendez, le Corps d’Armée a peur.	Attendez, le Corps d'Armée a peur.
J’entens quelque bruit, ce me ſemble.	J'entends quelque bruit, ce me semble.
On fait un peu de bruit.	On fait un peu de bruit.
MERCURE, SOSIE.	MERCURE, SOSIE.
Ous ce minois, qui luy reſſemble, Cnanons de ces ſieux ce Cauſeur;	Ous ce minais, qui lui ressemble, Cnanons de ces sieux ce Causeur;
Dont l’abord importun troubleroit la douceur, Que nos Amans goûtent enſemble.	Dont l'abord importun troublerait la douceur, Que nos Amans goûtent ensemble.
OSIE.	OSIE.
Mon Cœur tant ſor pou ie luſſure;	Mon Cœur tant sot poucher lussure;
Et je penſe que ce n’eſt rien.	Et je pense que ce n'est rien.
Crainte pourtant de ſiniſtre avanture, Allons chlez nous achever lEſſtrerien.	Crainte pourtant de sinistre aventure, Allons chlez nous achever lEsstrerien.
MERCURE.	MERCURE.
Tu ſeras plus fort que Mercure, Ou je t’en empécheray bien.	Tu seras plus fort que Mercure, Ou je t'en empêcherai bien.
DSIE.	DSIE.
Cettentunt, chionguem, me iemble ſans pareille:	Cettentunt, chionguem, me iemble sans pareille:
Il faut depuis le tems que je ſuis en chemin, Ou que mon Maiſtre ait pris le ſoir pour le matin, Ou que trop tard au Lit le blond Phebus ſommeille, Pour avoir trop pris de ſon Vin.	Il faut depuis le temps que je suis en chemin, Ou que mon Maître ait pris le soir pour le matin, Ou que trop tard au Lit le blond Phebus sommeille, Pour avoir trop pris de son Vin.
MERCURE.	MERCURE.
Comme avec irreverence Parle des Dieux ce Maraut!	Comme avec irrévérence Parle des Dieux ce Maraud!
Mon Bras ſçaura bien tantoſt Chaſtier cette inſolence;	Mon Bras saura bien tantôt Châtier cette insolence;
Et je vais m’égayer avec luy comme il faut, En iay volume ionfrom, avee la Ieenemoiance.	Et je vais m'égayer avec lui comme il faut, En volume ionfrom, avée la Ieenemoiance.
OSIE.	OSIE.
Ah!	Ah!
par ma foy, j’avois raiſon!	par ma foi, j'avais raison!
C’eſt fait de moy, chetive Creature.	C'est fait de moi, chétive Créature.
Je voy devant noſtre Maiſon, Certain Homme, dont l’encolure Ne me preſage rien de bon.	Je vois devant notre Maison, Certain Homme, dont l'encolure Ne me présage rien de bon.
Pour faire ſemblant d’aſſurance, je veux chanter uin peu dicy.	Pour faire semblant d'assurance, je veux chanter uin peu dicy.
Il chante;	Il chante;
& lors que Mercure parle, ſa voix s’affoiblit peu à peu.	et lors que Mercure parle, sa voix s'affaiblit peu à peu.
