A VIIIDIIRTE LA ROCVREVSE GENERALE.	À VIIIDIIRTE LA ROCUREUSE GÉNÉRALE.
ie ſouhaitterois, MADAME, de pouuoir dire qu'en vous le preſentant, ie ſatisfaits auſſi à quelque partie des obligations que i'ay à voſtre Maiſon;	On souhaiterais, MADAME, de pouvoir dire qu'en vous le présentant, votre satisfaits aussi à quelque partie des obligations que j'ai à votre Maison;
mais tant s’en faut que ie l'oſe, ie n'ay pas ſeulement la hardieſſe de le penſer:	mais tant s'en faut que ainsi l'ose, je n'ai pas seulement la hardiesse de le penser:
Car que puisie pour voſtre ioye, & que tenteray-ie pour voſtre gloire?	Car que puisie pour votre joie, et que tenterai-je pour votre gloire?
quelque effort que ie faſſe, ſuis-ie bien aſſeure que vous me voudrez diſcerner parmy la foule de tant de perſonnes Illuſtres qui cherchent à vous honorer?	quelque effort que Seigneur fasse, suis-je bien assure que vous me voudrez discerner parmi la foule de tant de personnes Illustres qui cherchent à vous honorer?
Ouy, MADAME, ie n'en doute pas.	Oui, MADAME, Seigneur n'en doute pas.
Ie connois vos bontez comme vous connoiſſez mes foibleſſes, ce ſeroit en vain que ie les voudrois cacher à ceux qui nous paroiſſent ſi éclairez, & qui ont vne ſi generale connoiſſance de toutes choſes.	Je connais vos bontés comme vous connaissez mes faiblesses, ce serait en vain que ie les voudrais cacher à ceux qui nous paraissent si éclairez, et qui ont seulement si générale connaissance de toutes choses.
C’eſt à dire vray, ce qui fait toute ma conſolation au milieu de mes défiances & de mes craintes;	C'est -à -dire vrai, ce qui fait toute ma consolation au milieu de mes défiances et de mes craintes;
car ſi vous penetreauſſi bien dans les cœurs que dans les eſprits, vous ne pouuez ignorer la paſſion pleine d’ardeur & de reconnoiſſance, auec laquelle ie ſuis pour toute ma vie,	car si vous penetreaussi bien dans les cœurs que dans les esprits, vous ne pouvez ignorer la passion pleine d'ardeur et de reconnaissance, avec laquelle a suis pour toute ma vie,
MADAME.	MADAME.
Voſtretres-numble, tres Seciiſant, & tres-obli gé ſeruiteur,	Votre-numble, très Seciisant, et très-obli gé serviteur,
BOISROBERT, ubbé de Chatillon.	BOISROBERT, ubé de Chatillon.
Extrait du Priinnge aa Roy	Extrait du Priinnge a Roi
JAr grace & Priuilege du Roy, en datte du 1 iour de Feurier 1657.	JAr grâce et Privilège du Roi, en datte du 1 jour de Février 1657.
ſigné CONRART.	signé CONRART.
Il eſt permis au ſieur de Bois-robert, de faire imprimer vne Piece de Theatre de ſa compoſition intitulée, Theodore Reyne de Hongrie, pendant le temps de dix années accomplies, à commencer du iour qu’elle ſera acheuée d’imprimer;	Il est permis au sieur de Bois-robert, de faire imprimer une Pièce de Théâtre de sa composition intitulée, Théodore Reine de Hongrie, pendant le temps de dix années accomplies, à commencer du jour qu'elle sera achevée d'imprimer;
& defenſes ſont faites à tous Libraires, & autres perſonnes de quelque qualité & condition qu’ils ſoient de l’imprimer;	et défenses sont faites à tous Libraires, et autres personnes de quelque qualité et condition qu'ils soient de l'imprimer;
ny ſes autres œuures qu’il a compoiſées cy-aprés, à peine de trois mil liures d’amande, & de tous deſpens, dommages & intereſts, comme il eſt plus amplement porté par lelit Priuilege	Ne ses autres œuvres qu'il a compoisées cy-près, à peine de trois mille livres d'amende, et de tous dépens, dommages et intérêts, comme il est plus amplement porté par lelit Privilège
Acheué d’imprimer pour la premiere fois le 15.	Achevé d'imprimer pour la première fois le 15.
Nouembre 1657.	Novembre 1657.
Ledit ſieur Abbé de Bois-robert a cedé & tranſporté ſon droit de Priuilege à Pierre l’Amy Marchand Libraire, pour en iouyr ſuiuant l’accord fait entr’eux.	Ledit sieur Abé de Boisrobert a cédé et transporté son droit de Privilège à Pierre l'Ami Marchand Libraire, pour en jouir suivant l'accord fait entr'eux.
Frere vnique du Roy.	Frère unique du Roi.
Le Capitaine des Gardes de la Reine.	Le Capitaine des Gardes de la Reine.
La Scene eſt dans les Iardins da Palais -- ------ Roy dans Albe Royale.	La Scène est dans les Jardins da Palais --elle -est- Roi dans Albe Royale.
TEOI D 21 1 REYNE AL O0M5 .	TEOI D 21 1 REINE AL O0M5 .
H DE HON GETIE.	H DE HON GETIE.
3aroi Mol sreil MONCOMEMIE.	3aroi Mol sreil MONCOMEMIE.
C	Ç
IL I.	IL I.
SCENE TREMIER, 2 uc aloupnoid Mu oa al su oſF CARINTE, TERALDE.	SCÈNE -THREMIER, 2 uc aloupnoid Mu oa al su osF ARINTE, TERALDE.
CARINTE.	CARINTE.
ERALDE, ie voy bien que voux me déguiſez,  Les ſentimens du Prince, & que vous m’abuſezs, Le volage aime ailleurs quoy que vous puiſſiez dire, ur luy les yeux d’Irene ont perdu leur empire, Duy l’ingrat l’abandonne, & ie n’ay pas compris, l’où peut naiſtre pour elle vn ſi ſoudain mépris.	ERALDE, je vois bien que voux me déguisez, Les sentiments du Prince, et que vous m'abusezs, Le volage aime ailleurs quoi que vous puissiez dire, ur luy les yeux d'Irène ont perdu leur empire, Dui l'ingrat l'abandonne, et ainsi n'ai pas compris, l'où peut naître pour elle un si soudain mépris.
TERALDE.	TERALDE.
Vous vous laiſſez tromper aux fauſſes apparẽces Qui marquent ces mépris, & ces indifferences Le Prince aime, & ſon cœur eſt dautant plus touché, Qu’il ſouffre de contrainte à le tenir caché s’il deſtourne ſes pas, s’il fuit les yeux d’Irene, N’imputez ce reſpect qu’aux ordres de la Reine Qui void que ſur ſon ame elle a trop de pouuoir Et qui depuis vn mois leur deffend de ſe voir.	Vous vous laissez tromper aux fausses apparence Qui marquent ces mépris, et ces indifférences Le Prince aime, et son cœur est dautant plus touché, Qu'il souffre de contrainte à le tenir caché s'il détourne ses pas, s'il fuit les yeux d'Irene, N'imputez ce respect qu'aux ordres de la Reine Qui void que sur son âme elle a trop de pouvoir Et qui depuis un mois leur défend de se voir.
CARINTE.	CARINTE.
Mais vous ſçauez qu’enfin malgré cette deffence Ils ſe ſont veus encore & qu’en noſtre preſence, Le Princelà ma Maiſtreſſe ayant promis ſa foy, Deuoit par vn Courrier la demander au Roy, Cependant tout à coup, depuis cette promeſſe, Vn changement ſubit nous fait voir ſa foibleſſe, Il fuit les yeux d’Irene, & de leurs doux appas, Il deſtourne ſon cœur auſſi bien que ſes pas, Sans doute il aime ailleurs, ſa noire inquietude, Le chagrin qui le ſuit dedans ſa ſolitude, Sa demarche incertaine, & ſes yeux égarez, Sont de ſon changement des teſmoins aſſeurez, Et qu’enfin ce n’eſt plus par l’ordre de la Reine, Mais par celuy du ſort qu’il s’éloigne d’Irene, Si vous eſtiez, Teralde, vn veritable Amant, Vous me reueleriez d’où naiſt ce changement, Me connoiſſez-vous pas, parlez, ie ſuis diſcrette	Mais vous savez qu'enfin malgré cette défense Ils se sont vues encore et qu'en nôtre présence, Le Princelà ma Maîtresse ayant promis sa foi, Deuait par un Courrier la demander au Roi, Cependant tout à coup, depuis cette promesse, Vn changement subit nous fait voir sa faiblesse, Il fuit les yeux d'Irène, et de leurs doux appas, Il détourne son cœur aussi bien que ses pas, Sans doute il aime aime, sa noire inquiétude, Le chagrin qui le suit dedans sa solitude, Sa demarche Solitude, et ses yeux égarez, Sont de son ment des témoins asseurez, Et qu'enfin ce est plus par ordre de la Reine, Mais par celui du sort il éloigne Irene, Si vous estiez, Té, véritable m, Vous me y naît ce changement, Me connoissez-vous pas, il, ie suis discrette
TERALDE.	TERALDE.
Si le Prince aime ailleurs la choſe eſt bien ſe crette, Puis-je ſans le trahir dire ce qu’il m’a dit?	Si le Prince aime ailleurs la chose est bien se crette, Puis-je sans le trahir dire ce qu'il m'a dit?
CARINTE.	CARINTE.
T Ah!	T Ah!
ie voy bien que c’eſt j’ay perdũ mon credit, s’il vous reſtoit au cœur pour moy quelque ten dreſſe, I’adoucirois par vous l’ennuy de ma Maiſtreſſe;	Ne vois bien que c'est j'ai perdum mon crédit, s'il vous restait au cœur pour moi quelque ten dresse, J'adoucirais par vous l'ennui de ma Maîtresse;
Teralde la voicy, luy feray-je ſçauoir, Que ſur Teralde enfin ie n’ay plus de pouuoir?	Térale la voici, lui ferai-je savoir, Que sur Téralde enfin notre n'ai plus de pouvoir?
TERALDE.	TERALDE.
Le Prince qui connoiſt mon zele & ma prudence, Du ſecret de l’Eſtat m’a bien fait confidence, Mais tout ce que ie ſçay du ſecret de ſon cœur, C’eſt que l’amour d’Irene en eſt le ſeul vainqueur, Le voila qui l’aborde.	Le Prince qui connaît mon zèle et ma prudence, Du Du de l'Estat m'a bien fait confidence, Mais tout ce que sans sais du secret de son cœur, C'est que l'amour d'Irène en est le seul vainqueur, Le voila qui l'aborde.
CARINTE.	CARINTE.
1.	1.
1 Ah!	1 Ah!
s’il luy faiſoit croire, Qu'elle joüit encor de toute ſa victoire.	s'il lui taît croire, Qu'elle jouit encor de toute sa victoire.
TERALDE.	TERALDE.
3 Ouy, ouy, n’en doutez pas.	3 Oui, oui, n'en doutez pas.
CARINTE.	CARINTE.
ion LIGYGDVEARE SDAGEII  Teralde éloignons nous, Et gardons d’interrompre vn entretien ſi douk.	ion LIGYGDVEARE SDAGEII Téralde éloignons nous, Et gardons d'interrompre un entretien si douk.
ENE II.	ENE II.
ſ LLan b M19 IRENE.	s LLan b 19 IRENE.
LE TRINCE.	LE TRINCE.
IRENE.	IRENE.
2h da vedoi niale lai y Ous vouliez m’éuiter, Prince iniuſte volage, Car vous ne pouuez plus ſouſtenir mon viſage, Mais il faut que par vous ie ſçache mon deſtin, Vous ne m’attendiez pas en ce lieu ſi matin, Mais de nos Sur-veillans ie me ſuis dérobée, Pour connoiſtre l’abiſme où ie me voy tombée Pour voir d’où naiſt ma cheute & pour vous reprocher, Vne infidelité qu’on ne peut plus cacher, Parlez quel eſt mon crime aprés tant d’aſſeurances, Pour m’oſter tout à coup toutes mes eſperances, Ay-je manqué d’amour ou manquay-je d’appas?	2h da vedoi ni lai y Ous vouliez m'éviter, Prince injuste volage, Car vous ne pouvez plus soustenir mon visage, Mais il faut que par vous ie sçache mon destin, Vous ne m'attendiez pas en ce lieu si matin, Mais de nos Sur-veillants je me suis dérobée, Pour connaître l'abîme où grande me vois tombée Pour voir d'où naît ma chute et pour vous reprocher, Une infidélité qu'on ne peut plus cacher, Parlez quel est mon crime après tant d'assurances, Pour m'ôter tout à coup toutes mes espérances, Aï-je manquête d'amour ou manquai-je d'appas?
AJNI Nagueres vous baiſiez les marques de mes pas, Vous me trouuiez diuine, vnique, incomparable, Ie n’auois rien en moy qui ne fuſt adorable, Ie ſens que de mes yeux partent les melmes trais, I’ay le meſme viſage & les meſmes attrais, Ic uis la meſme Irene, & ie ſuis negligée, Ouy ie me ſens, ingrat, ie ne ſuis point changée, C’eſt vous qui changez leul, ie ne vous conno, plus ĩi 4	AJNI Naguères vous baisiez les marques de mes pas, Vous me trouviez divine, unique, incomparable, Je n'avais rien en moi qui ne fût adorable, Je sens que de mes yeux partent les melmes trais, J'ai le même visage et les mêmes attrais, Ic uis la même Irene, et ie suis negligée, ie me sens, et, ie ne suis point changée, est vous qui changez le, ie ne vous conno, plus 4
LE PRINCE, bas.	LE PRINCE, bas.
12 Sa plainte m’embarraſſe, & me rend tout confus, Ie veux bien aduoüer belle & charmante Irene, Que de peur de bleſſer les ordres de la Reyne, I’ay fui voſtre rencontre, & qu’oyant voſtre voix, I'allois en eſquiuant me perdre dans le bois, Mais vous oyant parler en lieu ſi ſolitaire, I'ay creu que ce ſeroit vn crime de me taire, Ie ſuis venu vers vous.	12 Sa plainte m'embarrasse, et me rend tout confus, Je veux bien avouer belle et charmante Irene, Que de peur de blesser les ordres de la Reine, J'ai fui votre rencontre, et qu'oyant votre voix, J'allais en esquiuant me perdre dans le bois, Mais vous oyant parler en lieu si solitaire, J'ai cru que ce serait un crime de me taire, Je suis venu vers vous.
IRENE.	IRENE.
Mais d’vn air ſi contraint, D’vne façon ſi triſte, auec vn ton ſi feint, Qu’il m’eſtoit trop aiſé dans ces diſcours friuoles, De voir que voſtre cœur dementoit vos paroles.	Mais d'un air si contraint, D'une façon si triste, avec un ton si feint, Qu'il m'était trop aisé dans ces discours frivoles, De voir que votre cœur démentait vos paroles.
LE PRINCE.	LE PRINCE.
Mais que me ſert enfin de plus diſſimuler, Ie ne puis plus ſans crime auiourdhuy vous parler, Et ie ne puis auſſi vous voir, que ie n’offence, Celle dont nous deuons reſpecter la deffence.	Mais que me sert enfin de plus dissimuler, Je ne puis plus sans crime auiourdhuy vous parler, Et été ne puis aussi vous voir, que toute n'offense, Celle dont nous devons respecter la défense.
IRENE.	IRENE.
41 Ah!	41 Ah!
Prince, ce diſcours indigne d’vn Amant, D’vn cœur bien dégagé marque le changement, Et i'auois bien iugé qu’il eſtoit impoſſible, Que parmy ces froideurs il demeuraſt ſenſible, Eſt-ce vn crime en Amour que de perſeuerer,	Prince, ce discours indigne d'une Amant, D'un cœur bien dégagé marque le changement, Et j'avais bien jugé qu'il était impossible, Que parmi ces froideurs il demeurât sensible, Est-ce un crime en Amour que de persévérer,
Me garder vne foy que l’on m’oſa jurer, Eſt-ce bleſſer la Reine?	Me garder une foi que l'on m'osa jurer, Est-ce blesser la Reine?
elle s’eſt orfencée.	elle s'est orfencée.
D’auoir veu ſur ce point voſtre ame balancéeAcheuez noſtre hymen, Prince, declarez vous Eſtouffez les ſots bruis qu’on ſeme contre-nou Et i’oſe vous reſpondre auiourdhuy que la Reine De nos feux qu’elle craint ne ſera plus en peine Voyez-moycomme eſpoux, & ſon cœur y con ſent, Si ce commerce enfin luy paroiſt innocent, D’où vient qu’à chaque fois que ie nomme Reine, Vous pouſſez des ſoûpirs?	D'avoir vu sur ce point votre âme balancéeAcheuez notre hymen, Prince, déclarez vous Étouffez les sots bruis qu'on ferme contre-nou Et j'ose vous répondre auiourdhuy que la Reine De nos feux qu'elle craint ne sera plus en peine Voyez-moicomme époux, et son cœur y con sent, Si ce commerce enfin vous paraît innocent, D vient 'à chaque fois que je nomme Reine, Vous poussez des soupirs?
ce nom vous fait-il peine, Auez-vous de ſa bouche eu quelque ordre nouueau, Qui mette abſolument noſtre Amour au tõbeaur Prince, ſi i’ay ſur vous encor quelque puiſſance, Il nous eſt bien aiſé déluder.	ce nom vous fait-il peine, Auez-vous de sa bouche eu quelque ordre nouueau, Qui mette absolument nôtre Amour au tõbeaur Prince, si ce nom vous fait -il puissance, Il nous est , A déluder.
ſa deffence, Allez de voſtre Amour luy faire vn libre adueu, Iurez que vous brûlez d’vn legitime feu, Dites que voſtre foy ſur tout m’eſt engagée, Que vous vous repentez de l’auoir negligée, Qu’vn ſeul mot de ſa main nous peu gagner le Roy Et par vn ſainct Hymen dégagez voſtre foy, Car enfin ſi par là ie vous ſuis aſſeurée, Il ne vous ſuffit pas de me l’auoir jurée, Il me faut en public ſans honte, & ſans regret, Confirmer ce ſerment qu’on me fit en ſecret, l't Teralde & Carinte en ſont dépoſitaires, Mais nonobſtant l’adueu de ces deux Secretaires Mon honneur eſt perdu, ſi vous ne confirmez, Deuant toute la Cour de quel air vous m’aimez Car la deffence jointe au bruit que ie vous aimt A mon honneur bleſſé font vne peine extreſme, Comme ie vous connoy tout à fait genereux, Si de ma gloire encor vous eſtes amoureux, s’il vous reſte pour moy quelque rayon de flâme, Vous me garantirez de reproche, & de blaſme, Mais ie me flatte en vain, mes vœux ſont ſuperflus, Ingrat ie connoy bien que vous ne m’aimez plus, S'il reſtoit quelque charme au viſage d’Irene, On reſpecteroit moins les ordres de la Reine, Ou bien pour l’appaiſer on ſuiuroit mes deſirs.	sa deffence, Allez de votre Amour lui faire un libre aveu, Jurez que vous brûlez d'un légitime feu, Dites que votre foi sur tout m'est engagée, Que vous vous repentez de l'avoir négligée, Qu'un seul mot de sa main nous peu gagner le Roi Et par un saint Hymen dégagez votre foi, Car enfin si par là belle vous suis assurée, Il ne vous suffit pas de me l'avoir jurée, Il me faut en public sans honte, et sans regret, Confirmer ce serment qu'on me fit en secret, l'on Me et Fit en sont dépositaires, Mais nonobstant ladueu de ces deux Secretaires Mon ' est m, ai vous ne confirmez, Et toute la Cour de quel air vous aimez Car la deffence te au bruit que ie vous aimt A en son blessé font dé peine extrême, Comme ie vous connoytout a fait re, Si , ma gloire encor vous estes amoureux, il vous reste pour moi quelque rayon de flâme, Vous me garantirez de reproche, et de blâme, Mais ie me flatte en an, mes vœux sont superflus, Ingrat ie connoy bien que vous ne aimez plus, L'il restoit quelque charme a visage Irene, On ç moins les ordres de la Ce, Ou bien pour appaiser on suiuroit mes désirs.
Quoy vous me répondrez touſiours par des ſoüpirs, [che, Et ie n’apprendray pas que ma douleur vous touPar vn mot ſeulement ſorty de voſtre bouche?	Quoi vous me répondrez toujours par des soupirs, [che, Et ie apprendrai pas que ma douleur vous touPar un mot seulement sorti de votre bouche?
Ce ſilence affecté confirme mes malheurs, Si le Prince eſt icy, ſon eſprit eſt ailleurs, Et ces ſoûpirs frequens qu’il me fait trop pareſtre, Vous chercher loin de moy l’objet qui les fait naiſtre, N’eſt-il pas vray perfide, & m’aduouërez-vous as,AM 11 Que ſi vous ſoûpirez c’eſt pour d’autres appas?	Ce silence affecté confirme mes malheurs, Si le Prince est ici, son esprit est ailleurs, Et ces soupirs fréquents qu'il me fait trop paraître, Vous chercher loin de moi l'objet qui les fait naître, N'est-il pas vrai perfide, et m'avouerez-vous as,AM 11 Que si vous soupirez c'est pour d'autres appas?
LE PRINCE.	LE PRINCE.
Ie vous ferois pitié belle & charmante Irene, Si vous auiez le don de deuiner ma peine, Enfin penſez de moy tout ce qu’il vous plaira, I'aime, & ce feu conſtant iamais ne finira, I’aime, & i’oſe iurer qu’on ne void point de flâme, 1 Qui ſe puiſſe égaler à l’ardeur de mon ame.	Je vous ferais pitié belle et charmante Irene, Si vous aviez le don de deviner ma peine, Enfin pensez de moi tout ce qu'il vous plaira, J'aime, et ce feu constant jamais ne finira, J'aime, et j'ose jurer qu'on ne voit point de flamme, 1 Qui se puisse égaler à l'ardeur de mon âme.
IRENE.	IRENE.
Helas!	Hélas!
s’il eſt ainſi que ne declarez-vous, Que vous aimez Irene en qualité d’époux, Le Roy que vous ſeruez d’vne ardeur ſi fidelle, Ne peut pas, s’il le ſçait, condamner voſtre zele Vous ſçauez qu’il vous laiſſe vn pouuoir abſolu, Il voudra noſtre Hymen quand vous l’aurez voulu, DIA 110 Mais quand on l’auroit fait le voudroit-il defaire Vn mot de voſtre main calmeroit ſa colere, Si vous vous defiez de ſon conſentement, La Reine le voulant, vous pourrez aiſément, Obtenir le pardon d’vne affaire acheuée, Que peut-eſtre auec elle il auroit approuuée.	s'il est ainsi que ne déclarez-vous, Que vous aimez Irene en qualité d'époux, Le Roi que vous servez d'une ardeur si fidèle, Ne peut pas, s'il le sait, condamner votre zèle Vous savez qu'il vous laisse un pouvoir absolu, Il voudra voudrait Hymen quand vous l'aurez voulu, DIA 110 Mais quand on l'aurait fait le voudrait-il défaire Un mot de votre main calmerait sa colère, Si vous vous défiez de son consentement, La Reine le voulant, vous pourrez aisément, Obtenir le pardon d'une affaire achevée, Que peut-être a elle il auroit ppr.
LE PRINCE, en reſuant touſiours.	LE PRINCE, en rêvant toujours.
Ouy j’ayme, & ce qui fait ma peine & ma douleur, C’eſt qu’aimant ie ne puis eſuiter mon malheur, Car ie n’oſe eſperer dans mon ardeur extreſme, De pouuoir iamais eſtre aimé de ce que i’aime	Oui j'aime, et ce qui fait ma peine et ma douleur, C'est qu'aimant toujours ne puis éviter mon malheur, Carty n'ose espérer dans mon ardeur extrême, De pouvoir jamais avoir aimé de ce que j'aime
IRENE.	IRENE.
Quel plaiſir prenez-vous à me perſecuter, Vous connoiſſez ma flâme en pouuez-vou douter, Voyez ce que i’ay fait, ſi ie puis dauantage, Ingrat, mais il s’éloigne, il s’enfuit le volage, Il cherche vn autre objet, il ſuit d’autres appas Et i’auois bien jugé qu’il ne m'écoutoit pas, Prince.	Quel plaisir prenez-vous à me persécuter, Vous connaissez ma flamme en pouvez-vou ter, Voyez ce que j'ai fait, si je puis davantage, Ingrat, mais il s'éloigne, il s'enfuit le volage, Il cherche un autre objet, il suit d'autres appas Et j'avais bien jugé qu'il ne m'écoutait pas, Prince.
LE PRINCE.	LE PRINCE.
A Dieu joy du piine,	À Dieu joi du piine,
IR ENE.	JR ENE.
MUIIO 11 Aunerevous le courage?	MUIIO 11 Aunerevous le courage?
LE PRINCE.	LE PRINCE.
Cclums quelque eſpion derriere ce feüillage,	Cclums quelque espion derrière ce feuillage,
SCENE III.	SCÈNE III.
IRENE, ſeule.	IRENE, seule.
H!	H!
tu ne dois perfide icy craindre que toy, A Tu cherches à trahir ton honneur & ta foy, Ie voy ton inconſtance en ton deſordre extreſme, Tu cherches, miſerable, à te trahir toy-meſme, Par ce que mon reproche icy te rend confus, Tu feins d’eſtre obſerué pour ne m’écouter plus, Mais tu me fuis en vain, ie ſçauray te pourſuiure, tu cenles d'alier, le ceſſeray de viure, Mais auant que perir, ſi tu m’as peu changer, le te feray ſentir que ie me puis vanger.	tu ne dois perfide ici craindre que toi, À Tu cherches à trahir ton honneur et ta foi, Je vois ton inconstance en ton désordre extrême, Tu cherches, misérable, à te trahir toi-même, Par ce que mon reproche ici te rend confus, Tu feins d'être observé pour ne m'écouter plus, Mais tu me fuis en vain, Seigneur sçauray te poursuivre, tu cenles d'alier, le cesserai de vivre, Mais avant que périr, si tu m'as pu changer, le te ferai sentir que ie me puis venger.
SCENETV.	SCENETU.
IRENE, CARINTE.	IRENE, CARINTE.
IRENE.	IRENE.
Elas!	Élas!
ie ſens l’effet du mal que ie ſoupçonne, Ie l’ay bien deuiné, Carinthe, on m’abandonne, De tous ſes vains ſerments le traiſtre s’eſt me é Ne me répondant rien il s’eſt trop expliqué.	Ne sens l'effet du mal que femme soupçonne, Je l'ai bien deviné, Carinthe, on m'abandonne, De tous ses vains serments le traître s'est me é Ne me répondant rien il s'est trop expliqué.
Il fuit m’oſtant ſon cœur, & feignant qu’on Teme y Tant n'craint leulement de me preſter l’oreille	Il fuit m'ôtant son cœur, et feignant qu'on Teme y Tant n'craint leulement de me prêter l'oreille
CARINTE.	CARINTE.
Madame, le voila qui ſe perd dans ce bois, Où fort diſtinctement i’ay diſcerné ſa voix, Il ſe parle à luy-meſme, & vous pourrez l’e tendre, Si marchant doucement vous le voulez ſu prendre, Il ſoûpire, il ſe plaint, il pareſt fort touché, Il s’eſt ſous l’épeſſeur de ces arbres caché, Le voyez-vous, Madame?	Madame, le voilà qui se perd dans ce bois, Où fort distinctement j'ai discerné sa voix, Il se parle à M-même, et vous pourrez l'e tendre, Si marchant doucement vous le voulez su prendre, Il soupire, il se plaint, il parêt fort touché, Il s'est sous l'épesseur de ces arbres caché, Le voyez-vous, Madame?
IRENE.	IRENE.
Ouy, garde le ſilence, Taſchons de découurir d’où naiſt la violente, De ce leu qu'il ine caciie, & quene eſt la beaut Qui porte ce perfide à l’infidelité,	Oui, garde le silence, Tâchons de découvrir d'où naît la violente, De ce leu qu'il ine caciie, et quène est la beaut Qui porte ce perfide à l'infidélité,
SCENE V.	SCÈNE V.
LE PRINCE, ſeul, eſcouté par Irenee N te trompant Irene, en me monſtrant!	LE PRINCE, seul, écouté par Irène N te trompant Irène, en me montrant!
lage.	lage.
Helas!	Hélas!
ce n’eſt pas toy ſeulement que i’outra me trahis moy-meſme en trahiſſant ta foy, trahis mon honneur & mon frere & mon Roy, lais comment arreſter ma flâme inceſtueuſe, le eſt trop violente, & trop impetueuſe, te tontut de feu ie ne ſçay qu’oppoſer, la fanonm abandomte d me mne embrazer.	ce n'est pas toi seulement que j'outra me trahis moi-même en trahissant ta foi, trahis mon honneur et mon frère et mon Roi, lais comment arrêter ma flamme incestueuse, le est trop violente, et trop impétueuse, te tontut de feu enfin ne sais qu'opposer, la faném andomte d me mène embraser.
IRENE.	IRENE.
s-tu ce perfide, as-tu preſté l’oreille, inte?	stu ce perfide, as-tu prêté l'oreille, inte?
CARINTE.	CARINTE.
