DVLE PRINCE RECONNV TRAGI-COMEDIE.	DULE PRINCE RÉCONNV TRAGI-COMÉDIE.
Si vous auez crû que voſtre reſolution deuſt choquer mon eſprit, vous auez deu me preuenir par l’éclairciſſement que vous m’offrez, & ſi vons n’auez point eu cette penſée, ie n’ay point deu vous le demander, mais pluſtoſt ſoumettre mon iugement au voſtre.	Si vous avez cru que votre résolution dût choquer mon esprit, vous avez devez me devenir par l'éclaircissement que vous m'offrez, et si vons n'avez point eu cette pensée, je n'ai point dev vous le demander, mais plutôt soumettre mon jugement au vôtre.
Auſſi l’ay-ie fait, & ſi ie vous teſmoigne le contraire aujourd’huy, ce n’eſt que pour vous obliger à me fortifier dans le deſſein que i’ay fait, de croire que vous auez eu droit d’entreprendre vne action qui me paroiſſoit injuſte.	Aussi l'ai-je fait, et si je vous témoigne le contraire aujourd'hui, ce n'est que pour vous obliger à me fortifier dans le dessein que j'ai fait, de croire que vous avez eu droit d'entreprendre une action qui me paraissait injuste.
THESEE.	THESEE.
Encore que mon entrepriſe me ſemble raïſonnable, ie n’oſerois entreprendre de vous prouuer qu’elle l’eſt;	Encore que mon entreprise me semble raïsonnable, tu n'oserais entreprendre de vous prover qu'elle l'est;
quoy que la raiſon ſoit ſouueraine elle n’agit pas ſouuerainement ſur toutes ſortes de ſujets.	quoi que la raison soit souveraine elle n'agit pas souverainement sur toutes sortes de sujets.
Vous pouuez douter de ce dont ie dois eſtre abſolument perſuadé:	Vous pouvez douter de ce dont ici dois être absolument persuadé:
il eſt pourtant des regles à qui tous les peuples ont voulu s’aſſujettir, & c’eſt par elle que ie pretens authoriſer ma reſolution.	il est pourtant des règles à qui tous les peuples ont voulu s'assujettir, et c'est par elle que ie prétends autoriser ma résolution.
Tout le monde generalement demeure d’accord qu’on doit ſecourir les oppreſſez, qu’il faut prendre le party des foibles:	Tout le monde généralement demeure d'accord qu'on doit secourir les oppressez, qu'il faut prendre le parti des faibles:
Athenes eſt dans l’oppreſſion, ſon Prince eſt dans la foibleſſe, ne dois ie pas ſecourir Athenes?	Athène est dans l'oppression, son Prince est dans la faiblesse, ne dois ie pas secourir Athène?
ne dois-ie pas prendre le party de ſon Prince?	ne dois-je pas prendre le parti de son Prince?
PYRITHOVS.	PYRITHOUS.
Dites ſeulement que vous vouiez fecourir Athenes, voſtre volõté me tient lieu d’vne ſouueraine raiſon, mais ſouffrez que ie diſe encor vn mot en faueur d’Antiope, & que ie cõbatte vos maximes generales par d’autres maximes generales.	Dites seulement que vous vouiez secourir Athène, votre volonté me tient lieu d'une souveraine raison, mais souffrez que sans dise encor un mot en faveur d'Antiope, et que ainsi combatte vos maximes générales par d'autres maximes générales.
Toute la terre auouë que nous deuons aimer ceux qui nous aiment, que nous deuons reconnoiſtre les bien-faits:	Toute la terre avoue que nous devons aimer ceux qui nous aiment, que nous devons reconnaître les bienfaits:
Antiope vous aime, pouuez-vous luy refuſer voſtre affection?	Antiope vous aime, pouvez-vous lui refuser votre affection?
Cette Princeſſe vous a obligé, qui eſtce qui vous peut diſpenſer des actes de reconnoiſſance que vous luy deuez?	Cette Princesse vous a obligé, qui estce qui vous peut dispenser des actes de reconnaissance que vous a vez?
THESEE.	THESEE.
Ah!	Ah!
Pyrithous, enfin il faut leuer le maſque, i’aime Antiope, & ce n’eſt pas contre cette adorable Princeſſe que nous venons combattre auiourd’huy, mais contre les ennemis de mon pere.	Pyrithous, enfin il faut lever le masque, j'aime Antiope, et ce n'est pas contre cette adorable Princesse que nous venons combattre aujourd'hui, mais contre les ennemis de mon père.
PYRITHOVS.	PYRITHOUS.
Quoy!	Quoi!
ne m’auez-vous pas dit autrefois que vous ignoriez voſtre naiſſance?	ne m'avez-vous pas dit autrefois que vous ignoriez votre naissance?
Neptune qu’on croit eſtre voſtre pere a-t’il beſoin de voſtre ſecours?	Neptune qu'on croit être votre père a-t-il besoin de votre secours?
THESEE.	THESEE.
Eſcoutez, mais diſpoſez voſtre ame à receauoir le recit que ie m’en vay vous faire, en telle ſorte, que ſi le ſuécez de mon entrepriſe eſt contraire à mes deſirs, vous doutiez ſi c’eſt le ſonge où mes diſcours qui vous ont fait ſçauoir les myſteres de ma fortune, & que vous n’y penſiez iamais que pour les enſeuelir dans vi ctemnerience.	Écoutez, mais disposez votre âme à receavoir le récit que femme m'en vais vous faire, en telle sorte, que si le succès de mon entreprise est contraire à mes désirs, vous doutiez si c'est le songe où mes discours qui vous ont fait savoir les mystères de ma fortune, et que vous n'y pensiez jamais que pour les ensevelir dans vi ctemnerience.
PYRITHOVS.	PYRITHOUS.
Ces proteſtations bleſſent mon amitié.	Ces protestations blessent mon amitié.
THESEE.	THESEE.
Elles font la bien-ſeance & de la couſtume;	Elles font la bienséance et de la coutume;
ſçachezdonc que ie ſuis fils d’Egée.	sachezdonc que ici suis fils d'Egée.
PYRTTHOVS.	PYRTHOUS.
Vous eſtes fils du Roy d’Athenes?	Vous êtes fils du Roi d'Athène?
THESEE.	THESEE.
Oüy, mais ne m’interrompez plus.	Oui, mais ne m'interrompez plus.
Ce Princeeſtant allé en Delphes, pour conſulter l’Oracle dApollon, ſur le ſujet de quelque entrepriſe importante, & en ayant eu vne reſponſe obſcure, paſſa par le Peloponeſe, & voulut en conferer auec Pythée mon ayeul, qui comme vous ſçauez, eſtoit alors l’Interprete des Oracles de toute la Grece.	Ce Princeétant allé en Déléphes, pour consulter l'Oracle dApollon, sur le sujet de quelque entreprise importante, et en ayant eu une réponse obscure, passa par le Peloponese, et voulut en conférer avec Pythée mon aïeul, qui comme vous savez, était alors l'Interprète des Oracles de toute la Grèce.
Il arreſta quelque temps à Trezene;	Il arrêta quelque temps à Trezene;
ce fut là qu’il vit ma mere, & ce fut de cette veuë que naſquit l’amour qui les porta depuis à reſoudre leur mariage, que mon pere voulut tenir ſecret iuſques à ce qu’il euſt terminé la guerre qu’il auoit contie les chfans du Roy Pallas.	ce fut là qu'il vit ma mère, et ce fut de cette vue que nasquit l'amour qui les porta depuis à résoudre leur mariage, que mon père voulut tenir secret jusqu' à ce qu'il eût terminé la guerre qu'il avait contie les chants du Roy Allas.
Cependant ils s’emporterent dans toutes ces agreables licences que la ieuneſſe conſeille, & que l’hymen authoriſe en telle ſorte que mon pere eut ſujet de croire qu’il luy naiſtroit bien toſt vn ſucceſſeur:	Cependant ils s'emportèrent dans toutes ces agréables licences que la jeunesse conseille, et que l'hymen autorise en telle sorte que mon père eut sujet de croire qu'il lui naîtrait bien tôt un successeur:
& ce fut au temps qu’il receut des nouuelles qui l’obligerent à partir pour retourner en Athenes.	et ce fut au temps qu'il reçut des nouvelles qui l'obligèrent à partir pour retourner en Athènes.
Il partit donc, mais auparauant il fit faire vne eſpée, où il fit grauer les plus conſiderables aduantures de ſa vie, & l’ayant remiſe entre les mains de ma mere, la pria de la garder iuſques à ce que ie ſerois en eſtat de la porter, & la conjura en ſuite ſi les grandes guerres qu’il auoit ſur les bras l’empeſchoient de retourner vers elle auparauant ce temps de m’enuoyer à luy auec cette marque de manaiſſance.	Il partit donc, mais auparavant il fit faire une épée, où il fit graver les plus considérables aventures de sa vie, et l'ayant remise entre les mains de ma mère, la pria de la garder jusques à ce que je serais en état de la porter, et la conjura en suite si les grandes guerres qu'il avait sur les bras l'empêchaient de retourner vers elle auparavant ce temps de m'envoyer à luitaît cette marque de manaissance.
Ie ne vous diray point comme ie naſquis, comme ma mere m’éleua dans l’ignorance de mon origine:	Je ne vous dirai point comme ma nasquis, comme ma mère m'éleva dans l'ignorance de mon origine:
comme mon ayeul crut que i’eſtois fils de Neptune, & comme mes premieres entrepriſes authoriſerent cette croyance, vous l’auez ſçeu.	comme mon aïeul crut que j'étais fils de Neptune, et comme mes premières entreprises autorisèrent cette croyance, vous l'avez su.
Oüy.	Oui.
PYRITHOVS.	PYRITHOUS.
THESEE.	THESEE.
Ie vous diray donc que ma mere ne voyant point reuenir Egée, & n’oſant ſe plaindre de luy de crainte de découurir ce qu’elle auoit caché auec tant de bon-heur, ſe laiſſa enfin accabler d’vne ſi grande triſteſſe qu’elle crût d’eſtre au dernier moment de ſa vie.	Je vous dirai donc que ma mère ne voyant point revenir Egée, et n'osant se plaindre de Seigneur de crainte de découvrir ce qu'elle avait caché auec tant de bonheur, se laissa enfin accabler d'une si grande tristesse qu'elle crût d'être au dernier moment de sa vie.
Lors elle me fit appeller, & apres auoir fait ſortir de ſa chambre tous ceux qui nous pouuoient entendre, elle mefit le recit que ie viens de vous faire, & me bailla cette eſpée que vous voyez à mon coſté, qui eſt la meſme que le Roy mon pere luy laiſſa lors qu’il partit de Trezene.	Lors elle me fit appeler, et après avoir fait sortir de sa chambre tous ceux qui nous pouvaient entendre, elle mefit le récit que sans viens de vous faire, et me bailla cette épée que vous voyez à mon côté, qui est la même que le Roi mon père lui laissa lors qu'il partit de Trene.
Ie reçeus auſſi d’elle ce portrait & cette lettre, auec ordre de les rendre au Roy d’Athenes:	Je reçus aussi d'elle ce portrait et cette lettre, avec ordre de les rendre au Roi d'Athène:
vous auez ſçeu comme cette excellente Princeſſe releua de ſa maladie bien-toſt apres mon départ, & vous me voyez en eſtat d’executer ſes commandemens & la volonté de mon pere.	Vous avez su comme cette excellente Princesse releva de sa maladie bientôt après mon départ, et vous me voyez en état d'exécuter ses commandements et la volonté de mon père.
PYRITHOVS.	PYRITHOUS.
Dieux que cette Hiſtoire eſt pitoyable, & qu’elle m’a donné de triſteſſe', & qu’elle medonne de ioye;	Dieux que cette Histoire est pitoyable, et qu'elle m'a donné de tristesse, et qu'elle médonne de joie;
j’acheue aujourd’huy de croire qu’il eſt difficile de bien iuger des actions des hommes par les motifs qui paroiſſent, puiſque bien ſouuent ils n’en ſont que les pretextes.	j'achève aujourd'hui de croire qu'il est difficile de bien juger des actions des hommes par les motifs qui paraissent, puisque bien souvent ils n'en sont que les prétextes.
Mais ne perdons plus de temps, allons voir cét illuſtre pere, montrons-luy l’eſpée qui vous doit également faire reconnoiſtre pour fils, & pour liberateur.	Mais ne perdons plus de temps, allons voir cet illustre père, montrons-lui l'épée qui vous doit également faire reconnaître pour fils, et pour libérateur.
Vous conſultez!	Vous consultez!
THESEE.	THESEE.
THESBE.	THÉSBE.
Arreſtons, il faut eſprouuer ce que nos ſçauansont dit de la force du ſang;	Arrêtons, il faut éprouver ce que nos Savants dit de la force du sang;
ayons le plaiſir de voir ſi le Roy me reconnoiſtra par ces marques inuiſibles que la nature cache aux yeux;	ayons le plaisir de voir si le Roi me reconnaîtra par ces marques invisibles que la nature cache aux yeux;
mais qu’elle découure ſi ſenſiblement à l’eſprit:	mais qu'elle découvre si sensiblement à l'esprit:
ie veux moy-meſme les obſeruer en l’abordant.	Ne veux moi-même les observer en l'abordant.
DCEIVEIE PYRITHOVS, LE HERAVT,	DCEIVEIE PYRITHOUS, LE HÉRAUT,
THESEE.	THESEE.
2 Oicy le Heraut que vous auez enuoyé vers luy.	2 Oici le Héraut que vous avez envoyé vers lui.
LE HERAVT.	LE HÉRAUT.
Seigneur le Roy m’a témoigné par toutes les demonſtrations de ioye dont eſt capable vne perſonne de ſa condition qu’il acepte le ſecours que vous luy venez offrir, & qu’il bruſle de vous embraſſer.	Seigneur le Roi m'a témoigné par toutes les démonstrations de joie dont est capable une personne de sa condition qu'il acepte le secours que vous lui venez offrir, et qu'il brûle de vous embrasser.
Son Palais touche ce rempart:	Son Palais touche ce rempart:
il vous y at tend auec impatience.	il vous y at tend toujours impatience.
THESEE.	THESEE.
Il me ſemble que vous y auez eſté longtemps, n’auez-vous rien appris de l’eſtat de la ville, & du ſiege?	Il me semble que vous y avez été longtemps, n'avez-vous rien appris de l'état de la ville, et du siège?
LE HERAVT.	LE HÉRAUT.
Seigneur, ie n’ay rien ſçeu de ce que vous me demandez:	Seigneur, notre n'ai rien su de ce que vous me demandez:
mais i’ay bien appris vne hiſtoire dont la nouueauté merite voſtre attention.	mais j'ai bien appris une histoire dont la nouveauté mérite votre attention.
THESEE.	THESEE.
Le temps ne nous permet pas d’eſcouter vn long recit;	Le temps ne nous permet pas d'écouter un long récit;
ſi vous pouuez pourtant abreger le diſcours de cette auanture, nous vous eſcouterons en allant.	si vous pouvez pourtant abréger le discours de cette aventure, nous vous écouterons en allant.
LE HERAVT.	LE HÉRAUT.
Sçachez done ocigneur qu’il eſt arriué depuis trois iours à la Cour du Roy vne grande Magicienne, qu’on dit auoir eſté femme de lalonsenrappene tioucer.	Sachez done ocigneur qu'il est arrivé depuis trois jours à la Cour du Roi une grande Magicienne, qu'on dit avoir été femme de lalonsenrappène tioucer.
THESEE.	THESEE.
Ie connoy ce nom, ce fut elle qui trahit ſon pays, & qui nous liura la Toiſon d’or:	Je connais ce nom, ce fut elle qui trahit son pays, et qui nous livra la Toison d'or:
mais pourſuiuez.	mais poursuivez.
LE HERCirVI.	LE HÉRCirVI.
Cette deteſtable femme ayant ſçeu que Iaſon vouloit eſpouſer Creuje Princeſſe de Thebes, empoiſonna vne robbe qu’elle auoit tiſſuë de ſes propres mains, auec vn artifice incomparable, & vne richeſſe digne de la grandeur de ſon extraction;	Cette détestable femme ayant su que Jason voulait épouser Creuje Princesse de Thebes, empoisonna une robe qu'elle avait tissue de ses propres mains, avec un artifice incomparable, et une richesse digne de la grandeur de son extraction;
& la donna à ſa riuale, qui ne l’euſt pas pluſtoſt miſe qu’elle ſe ſentit embraſer d’vne flame mortelle, qui la deuora dans vn inſtant, & auec elle tous ceux de ſa maiſon, qui voulurent s’oppoſer a cét embraſement.	et la donna à sa rivale, qui ne l'eût pas plutôt mise qu'elle se sentit embraser d'une flamme mortelle, qui la dévora dans un instant, et avec elle tous ceux de sa maison, qui voulurent s'opposer a cet embrasement.
A a di ld ndi Dequoy n’eſt point capable vne femmeirritée.	À a di ld nédi Dequoy n'est point capable une femmeirritée.
lQO	LOQO
LE HERAVT.	LE HÉRAUT.
Son reſſentiment ne s’arreſta pas encore là, elle poignarda ſes enfans, & les ayant faits voir à leur pere en ce pitoyable eſtat, s’enuola dans les airs, portéeſur vn Chariot traiſné par des Dragons, & vint fondre dans cette Cour, où l’on croit qu’elle regne en qualité de femme d’Egée.	Son ressentiment ne s'arrêta pas encore là, elle poignarda ses enfants, et les ayant faits voir à leur père en ce pitoyable état, s'envola dans les airs, portéesur un Chariot traîné par des Dragons, et vint fondre dans cette Cour, où l'on croit qu'elle regaine en qualité de femme d'Egée.
h 1t rlomuosA.	h 1t rlomuosA.
THESEE.	THESEE.
En effet, voyla des éuenemens eſtranges, & ie crains bien cher amy, que cette rencontre retarde l’effet de mondeſſein:	En effet, voilà des événements étranges, et tu crains bien cher ami, que cette rencontre retarde l'effet de mondessein:
Mais il me ſemble que ie voy l’armée des Amazones qui ſe prepare à quelque action extraordinaire:	Mais il me semble que ici vois l'armée des Amazones qui se prépare à quelque action extraordinaire:
haſtonsmous de voir le Roy, & faiſons connoiſtre à tout lemonde combien les ſentimens de la nature l’emportent pardeſſus les déreglemens de l’amour.	hâtons de voir le Roi, et faisons connaître à tout lemonde combien les sentiments de la nature l'emportent pardessus les dérèglements de l'amour.
2	2
M v  TIT ANTIOPE, EGERIE.	M vit TIT ANTIOPE, ÉGÉRIE.
5 En doutons plus ma ſœur, ce perfide Theſée eſt entré dans Athenes:	5 En doutons plus ma sœur, ce perfide Thesée est entré dans Athène:
l’auois ſçeu ſon départ de Trezene, j’auois appris les grandes actions qui ont ſignalé ſon paſſagedans les Deſerts du Peloponeſe, & ie m’eſtois flatté de l’eſperance qu’il venoit à noſtre ſecours, mais ie l’ay veu ſur les remparts de nos ennemis;	l'avais su son départ de Trezène, j'avais appris les grandes actions qui ont signalé son passagédants les Des du Péloponse, et avoir m'étais flatté de l'espérance qu'il venait à toujours secours, mais quelque l'ai vu sur les remparts de nos ennemis;
Ce volage a ſçeu ſans doute que Medée a quitté laſon, il veut en faire vne nouuelle conqueſte:	Ce volage a su sans doute que Medée a quitté lason, il veut en faire une nouvelle conquête:
Mais Dieux ſi les ſouhaits qu’vn amour genereux peut faire vous ſont conſiderables, ne permettez pasque Theſée obtienne vne victoire qui ne luy peut eſtre que funeſte:	Mais Dieux si les souhaits qu'un amour généreux peut faire vous sont considérables, ne permettez pâque Thesée obtienne une victoire qui ne le peut être que funeste:
Car quel amour, quelle amitié, quelle fidelité pourroit-il eſperer d’vne fille qui a trahy ſon pere, d’vne femme qui a ruiné tous les deſſeins, & toutes les delices de ſon mary, & d’vne meicqui amaſſacre les propresemralis.	Car quel amour, quelle amitié, quelle fidélité pourrait-il espérer d'une fille qui a trahi son père, d'une femme qui a ruiné tous les desseins, et toutes les délices de son mari, et d'une meicqui amassacre les propresemralis.
EGERIE.	ÉGÉRIE.
Ie vous ay depuis noſtre départ bien ſouuent ouy nommer Theſée, mais ie n’ay iamais ſçeu de quelle façon vous l’auiez connu.	Je vous ai depuis notre départ bien souvent oui nommer Thesée, mais personne n'ai jamais su de quelle façon vous l'aviez connu.
I’ay paſſé, comme vous ſçauez, la plus grande partie de mon âge hors de noſtre Cour, ſi macurioſité ne vous importune, ie ſeray bien aiſe d’apprendre le commencement & le progres de cette connoiſſance.	J'ai passé, comme vous savez, la plus grande partie de mon âge hors de notre Cour, si macuriosité ne vous importune, Seigneur serai bien aise d'apprendre le commencement et le progrès de cette connaissance.
Adame, les ennemis vienhent de receuoir vn ſecours dont ils témoignent vne extreme ioye.	Adame, les ennemis vienhent de recevoir un secours dont ils témoignent une extrême joie.
Ie l’ay ſçeu.	Je l'ai su.
ANTIOPE.	ANTIOPE.
TALESTRIE.	TALÊTRIE.
L’on croit meſme qu’ils ſe diſpoſent à faire vne ſortie.	L'on croit même qu'ils se disposent à faire une sortie.
ANTIOPE.	ANTIOPE.
Courez donc par tout le Camp, dites à nos cheres compagnes, qu’il n’y a point de nouuelle occaſion de craindre, mais qu’il ſera bon d’empeſcher la ſurpriſe;	Courez donc par tout le Camp, dites à nos chères compagnes, qu'il n'y a point de nouvelle occasion de craindre, mais qu'il sera bon d'empêcher la surprise;
ieſuis à vous aux premiers bruits, que ce nouueau ſecours ne vous effraye point, il n’eſt venu parmy nos ennemis ſtrie que pouraugmenter la gloire de nos trauaux.	iesuis à vous aux premiers bruits, que ce nouveau secours ne vous effraie point, il n'est venu parmi nos ennemis strie que pouraugmenter la gloire de nos travaux.
& la honte de leur défaite.	et la honte de leur défaite.
Cependant, chereſœur, eſcoutez vne auanture dont le commencement ſembloit promettre vne fin bien-heureuſe.	Cependant, chèresœur, écoutez une aventure dont le commencement semblait promettre fin bienheureuse.
Vous auez ſans doute ſçeuque noſtis pajorutattaqué par Hercule cét indomptable fils de lupiter, & qu’il ſe contenta de la gloire de nous auoir vaincuës par ſes courtoiſies.	Vous avez sans doute sçeuque nostis pajorutattaqué par Hercule cet indomptable fils de lupiter, et qu'il se contenta de la gloire de nous avoir vaincues par ses courtoisies.
EGERIE.	ÉGÉRIE.
Cét éuenement eſt trop remarquable pour n’auoir pas eſté ſçeu par toute la terre.	Cet événement est trop remarquable pour n'avoir pas été su par toute la terre.
ANTIOPE.	ANTIOPE.
Apprenez aujourd’huy ce que vous ne ſçauez point:	Apprenez aujourd'hui ce que vous ne savez point:
Theſée que l’on croit eſtre fils de Neptune, & parent d’Hercule, fut auſſi de cette entrepriſe:	Thesée que l'on croit être fils de Neptune, et parent d'Hercule, fut aussi de cette entreprise:
& comme il poſſede éminemment toutes les qualitez qui peuuent rendre aimable vne perſonne de ſa condition, j’auoue que ie l’aimay preſque auſſi-toſt que ie le cõnus:	et comme il possède éminemment toutes les qualités qui peuvent rendre aimable une personne de sa condition, j'avoue que sans l'aimai presque aussitôt que je le connus:
Cette affection ne luy parut pas d’abord, mais comme elle luy rendit mon accez plus facile, ie puis dire qu’elle fut la caufe de l’amour qu’il euſt apres pour moy.	Cette affection ne lui parut pas d'abord, mais comme elle avait rendit mon accès plus facile, je puis dire qu'elle fut la cauffe de l'amour qu'il eût après pour moi.
Le diray-je, il m’aima, ie le crûs, ie l’aimay, mesdiſcours auſſi bien que mes regards, luy témoignerent mapaſſion, enfin ie reſolus de le faire Souuerain dãs mes Eſtats auſſi bien qu’il l’eſtoit dans mõ ame:	Le dirai-je, il m'aima, je le crus, jusqu'aimai, mesdiscours aussi bien que mes regards, lui témoignèrent mapassion, enfin nous résolus de le faire Souverain dãs mes États aussi bien qu'il l'était dans mon âme:
Ie voulois en faire la propoſitiõ lors qu’Herculefit deſſein de partir & de le remener en Grece.	Je voulais en faire la propositi nom lorsqu'Herculefit dessein de partir et de le remener en Grèce.
Il reſiſta, mes larmes ayderentlong-temps ſa reſiſtance, l’amour combatit contre le deuoir, la victoire fut Daiancee, mais emm riereuic remporta, Theſée partit, & ie reſtay dans le ſentiment de tout ce que la perte de la perſonne aimee à de rigoureux?	Il résista, mes larmes aidèrentlongtemps sa résistance, l'amour combatit contre le devoir, la victoire fut Daiancee, mais emm riereuic remporta, Thesée partit, et un restai dans le sentiment de tout ce que la perte de la personne aimée à de rigoureux?
EGERIE.	ÉGÉRIE.
Ne vous promit-il pas de reuenir.	Ne vous promit-il pas de revenir.
ANTIOPE.	ANTIOPE.
Il me le promit:	Il me le promit:
mais peut-on refuſer cette foible conſolation à la douleur d’vne amante affligée?	mais peut-on refuser cette faible consolation à la douleur d'une amante affligée?
Il ne me la donna donc que pour me conſoler;	Il ne me la donna donc que pour me consoler;
& l’éuenement a bien motifié cet te penſée, puis qu’il n’eſt point reuenu:	et qu'éuenement à bien motifié cet te pensée, puis qu’ il puisqu'est point revenu:
vn an s’e ſt deſia paſſé depuis le malheureuxiour que cét in fidelle partit de nos terres.	un an s'e st déjà passé depuis le malheureuxiour que cet in fidèle partit de nos terres.
Ie ne vous diray point ce que i’ay ſouffert dans l’attente de ſon retour:	Je ne vous dirai point ce que j'ai souffert dans l'attente de son retour:
car quelque occaſionque i’euſſe d’en deſeſperer, l’extreme deſir que i’auois de le reuoir, renouuelloit tous les iours mes eſperances:	car quelque occasionque j'eusse d'en désespérer, l'extrême désir que j'avais de le revoir, renouvelait tous les jours mes espérances:
il ſuffit que vous ſçachiez que c’eſt auiourd’huy le ſubjet de cette guerre.	il suffit que vous sachiez que c'est aujourd'hui le sujet de cette guerre.
l’ay pris pour pretexte les rauages que le Roy Egée fit dans nos terres auparauant la guerre d’Hercule:	l'ai pris pour prétexte les ravages que le Roi Egée fit dans nos terres auparavant la guerre d'Hercule:
Mais en effet, ie n’attaque la Grece que pour intereſſer ce perfide Grec, & que pour le reuoir en qualité d’ennemy, puiſque ie ne l’ay pu voir en qualité d’amy.	Mais en effet, je n'attaque la Grèce que pour intéresser ce perfide Grec, et que pour le revoir en qualité d'ennemi, puisque je ne l'ai pu voir en qualité d'ami.
EGERIE.	ÉGÉRIE.
Ie vous plains, Madames mais pourtant puiſque Iheſée eſt dans Athenes, ie croy que vous deuez eſtre en quelque ſorte ſatisfaite, de vous voir en eſtat de punir le mépris qu’il a fait de vous.	Je vous plains, Madames mais pourtant puisque Ihesée est dans Athène, était crois que vous devez être en quelque sorte satisfaite, de vous voir en état de punir le mépris qu'il a fait de vous.
ANTIOPE.	ANTIOPE.
Ah ma ſœur!	Ah ma sœur!
ne me propoſez point vne ſatisfaction qui ne le ſçauroit eſtre pour moy;	ne me proposez point une satisfaction qui ne le saurait être pour moi;
i’aime, l’amour peut bien conceuoir des deſirs de vengeance, mais il ne peut les executer.	j'aime, l'amour peut bien concevoir des désirs de vengeance, mais il ne peut les exécuter.
