A PARIS.	À PARIS.
Si que par ce moyen ce ne ſeroit autre choſe que mettre le ſel ſur la playe, ja par quelque longueur de temps aucunement endurcie & encrouſtee, (ſignes & marques premieres denotãtes les inflammations eſteintes, ou pour le moins aucunement appaiſees) Mais ſi armant tes conſiderations à la Françoiſe, & d’vn cœur vrayement François, tu entre dans la cognoiſſance de ton debuoir, ie croy que tu iugeras raiſonnable, ſi en la perſonne d’vn MEGALIN nous de plorons celuy que les plus brillantes perles de la France (nos conſeils d’Eſtat & priué,) pour ſes Heroiques & Martiales vertus ont honoré de ce nom de HENRY LE GRAND, que ſite ſeruant de plus viues & fortes raiſons ou en effect, ou en apparence, tu Iuge les larmes & regretz, ſanglos & autres parties in egrantes de dueil, eſtre mal eſtalees en ce Mois, auquel le gazoüillis des oyſeaux entrecouppe ſes meilleurs fredons, & la terre halenee des germe fleurs Zephirs, ne preſente à nos yeux que le vermeillon des Roſes & des oilletz.	Si que par ce moyen ce ne serait autre chose que mettre le sel sur la plaie, ja par quelque longueur de temps aucunement endurcie et encroûtée, (signes et marques premières denotãtes les inflammations éteintes, ou pour le moins aucunement apaise) Mais si armant tes considérations à la Française, et d’ ce cœur vraiment Français, tu entre dans la connaissance de ton débuoir, je crois que tu jugeras raisonnable, si en la personne d'un MEGALIN nous de plorons celui que les plus brillantes perles de la France (nos conseils d'Estat et y,) pour ses Heroiques et Martiales vertus ont honoré de ce nom de HENRY LE AN, que te servant de plus viues et fortes raisons ou en effect, ou en apparence, tu Guge les larmes et regretz, sanglos et ) parties in egrantes de dueil, être mal estalees en ce Mois, auquel le gazoüillis des oiseaux entrecouppe ses meilleurs fredons, et la terre halenee des germe fleurs Zephirs, ne presente nos yeux que le vermeillon des Roses et des oilletz.
Ie condecendz aucunement à tes deſirs, & d'vne aigre-doulce monodie te fais partiſer le contentemẽt & l’Eſperãce d’vn ELPIS ieune Roy que le Ciel (ne pouuant endurer noſtre ruine totare j nous a reſerue des cendres & embraſement de ce l'hœnix Fiançois.	Je condecendz aucunement à tes désirs, et d'une aigre-doulance monodie te fais partiser le contentement et l'Espérance d'un ELPIS jeune Roi que le Ciel (ne pouvant endurer votre ruine totare j' es a reserue des cendres et embrasement de ce l'hœnix Fiançais.
Abſtulit atra dies & funere merſit acerbe.	Abstulit atra dies et funère mersit acerbe.
c’eſt à dire.	c'est -à -dire.
Qu'vn ſemblable iour coulant A rauy à noſtre France, 4 Ll 3 Pour tout gage nous laiſſant De noſtre LOYS l'enfance.	Qu'un semblable jour coulant A ravi à notre France, 4 Ll 3 Pour tout gage nous laissant De notre LOIS l'enfance.
51 14 De ſorte que te faiſant paſſer les Nones annuelles de ce mois en regretz de noſtre perte, ie te diſpenſe pour aux ſuyuantes Kalendes du meſme mois prendre les habitz de couleur verde pour ſimboliſer, & congratuler à l’Eſperance de noſtre ieune ELPIS, ELPIS (qui ne ſignifiant qu’Eſperance) nous doibt autant apporter de contentement en ſa memoire comme les annuelles parentations ou obſeques que nous faiſons au tombeau de ce Grand MEGALIN nous peuuent donner de triſteſſe.	51 14 De sorte que te faisant passer les Nones annuelles de ce mois en regrets de notre perte, ie te dispense pour aux suivantes Alendes du même mois prendre les habits de couleur verde pour symboliser, et congratuler à l'Esperance de notre jeune ELPIS, ELPIS (qui ne signifiant qu'Espérance) nous doibt autant apporter de contentement en sa mémoire comme les annuelles parentions ou obsèques que nous faisons au tombeau de ce Grand MEGALIN nous peuvent donner de tristesse.
110	110
BOVT DE LAN.	BOUT DE LAN.
PASTORELLE.	PASTORELLE.
M 1 ACTE I.	M 1 ACTE I.
Protatee, Archontas, Agotas.	Protate, Archontas, Agotas.
PROTATEE E ne puis, MEGALIN, l’honneur de l’vniuers, Te dire cet Adieu, ſans ſanglots tous diuers :	PROTATE E ne puis, MEGALIN, l'honneur de l'Hivers, Te dire cet Adieu, sans sanglots tous divers :
Sans eſpandre ſouſpirs, ny ſans qui ſe ruiſſelle Vn grand fleuue de pleurs de ma ſource iumelle, Vndelant tout ainſi que d’vn double canal On voit d’vne belle eau ſerpenter le criſtal.	Sans épandre soupirs, ni sans qui se ruisselle Un grand fleuve de pleurs de ma source iumelle, Undelant tout ainsi que d'un double calan On voit d'une belle eau serpenter le cristal.
Ie ne puis dire a Dieu, qu’inceſſamment ne pleure, Et ay peur que bien toſt de regret ie ne meure.	Je ne puis dire à Dieu, qu'incessamment ne pleure, Et ai peur que bien tôt de regret ie ne meure.
Cr iamais ne pourray Chelas, quture respas	Cr jamais ne pourrai Chélas, quture respas
A i	À y
L’air de ta douce voix, & tes friands appas, Ie ne pourray courir au fredon de ta Muſe Qui peut rendre muets les bois de Syracuſe:	L'air de ta douce voix, et tes friands appas, Je ne pourrai courir au frédon de ta Muse Qui peut rendre muets les bois de Syracuse:
Et ſoubs les verds taillis pour ma ſoif appaiſer, Ie ne pourray ſuccer le nectar d’vn baiſer Qui m’eſtoit biẽ plus doux que les tendres fleurettes Aux eſcadrons creſpez des pillardes Auettes.	Et sous les verds taillis pour ma soif apaiser, Je ne pourrai succer le nectar d'un baiser Qui m'était bien plus doux que les tendres fleurettes Aux escadrons crêpez des pillardes Auettes.
Helas tous ces herbis, compagnons de mes pleurs Comme moy te regrettent, ô Soleil des Paſteurs, Et te diſent à Dieu mes douces camuſettes, Helas!	Hélas tous ces herbis, compagnons de mes pleurs Comme moi te regrettent, ô Soleil des Pasteurs, Et te disent à Dieu mes douces camustes, Hélas!
qui n’iront plus au ſon de tes muſettes.	qui n'iront plus au son de tes musettes.
Miſerables troupeaux qui allez machotans L’herbe demy-bruſlee au milieu de nos champs.	Misérables troupeaux qui allez machotants L'herbe demi-brûlée au milieu de nos champs.
Triſte, te dit à Dieu la troupe vagabonde Des Nymphes, delaiſſant leur cheueleure blonde.	Triste, te dit à Dieu la troupe vagabonde Des Nymphes, délaissant leur cheeleure blonde.
Et les nieux Cheure-pieds de mille & milles ſons Te diſent, MEGALIN, à Dieu de leurs chanſons.	Et les nieux Cheure-pieds de mille et milles sons Te disent, MEGALIN, à Dieu de leurs chansons.
Chaſcun morne & penſif dit à dieu à ta face, A Dieu de MEGALIN & le geſte, & la grace.	Châcun morne et pensif dit à dieu à ta face, À Dieu de MEGALIN et le geste, et la grâce.
Tout ſemble dire à Dieu, & ces Antres mouſſus, Et ces Rocher ſecrets, & ces Coutaux boſſus:	Tout semble dire à Dieu, et ces Antres moussus, Et ces Rocher secrets, et ces Coutaux bossus:
Meſmes c’eſt eau qui coule pres la moiteuſe riue Dit à dieu, murmurant d’vne voix treſ-plaintiue.	Mêmes c'est eau qui coule pres la moiteuse rive Dit à dieu, murmurant d'une voix très -plaintiue.
Donc mes cheris Bergers dõnons vn doux fredon, Diſant à MEGALIN à Dieu noſtre renom.	Donc mes chéris Bergers dõnons er doux frédon, Disant à MEGALIN à Dieu notre renom.
A Dieu noſtre ſupport, à Dieu belle lumiere, A Dieu ſeul prorecteur de noſtre ioye premiere.	À Dieu notre support, à Dieu belle lumière, À Dieu seul prorecteur de notre joie première.
A Dieu cheueux dorez, à Dieu chef precieux, A Dieu threſor d’honneur, le fauory des Cieux.	À Dieu cheveux dorés, à Dieu chef précieux, À Dieu thresor d'honneur, le favori des Cieux.
A Dieu bouche vermeille, & bouche coraline, A Dieu, à Dieu beaute, beauté toute diuine.	À Dieu bouche vermeille, et bouche coraline, À Dieu, à Dieu beauté, beauté toute divine.
Ie ne puis, MECALIN l’honneur de l’vniuers, Vn à Dieu reſonner, de ſons & chans diuers:	Je ne puis, MECALIN l'honneur de l'univers, Un à Dieu résonner, de sons et chans divers:
Car en moy ce ne ſont que des triſtes complainctes Qu’on peut lire par tout dans ces foreſts empreintes.	Car en moi ce ne sont que des tristes complaintes Qu'on peut lire par tout dans ces forêts empreintes.
Vous le ſçauez Taillis, vous le ſçauez Vergers, Et meſme auez pitié des pleurs de vos Bergers.	Vous le savez Taillis, vous le savez Vergers, Et même avez pitié des pleurs de vos Bergers.
Nymphes vous nourriſſez ce ſoucy dans vos veines, Vous ne mignardez plus vos gorges muſiciennes.	Nymphes vous nourrissez ce souci dans vos veines, Vous ne mignardez plus vos gorges musiciennes.
Pauurettes regrettans les anciennes douleurs, Et l’eſmail bigarré d’vne moiſſon de fleurs.	Pauvrettes regrettants les anciennes douleurs, Et l'émail bigarré d'une moisson de fleurs.
Tous te diſent à Dieu.	Tous te disent à Dieu.
Helas!	Hélas!
ces herbis meſme Chantent ce triſte à Dieu, portant la couleur bleſme:	ces herbis même Chantent ce triste à Dieu, portant la couleur blesme:
Le reſte tout remply de ſombre obſcurité Dit que luy eſt oſtée franchiſe & liberte.	Le reste tout rempli de sombre obscurité Dit que tu est ôtée franchise et liberté.
AGOTAS.	AGOTAS.
Ces champs diſent à Dieu, teſmoignãt leur triſteſLes beſtes d’vn accord delaiſſent leur viſteſſe.	Ces champs disent à Dieu, témoignant leur tristesLes bêtes d'un accord délaissent leur vistesse.
[ſe, Ce bois que nous ſoulions animer de nos tons, Et qui ſouloit reſpondre à nos douces chanſons, Ne peut las prononcer cet à Dieu lamentable, Sinon en claquetant ces branches pitoyable.	[se, Ce bois que nous soûlions animer de nos tons, Et qui soûlait répondre à nos douces chansons, Ne peut las prononcer cet à Dieu lamentable, Sinon en claquetant ces branches pitoyable.
Ils ſgauent, MICALIR, e mignon des grands Dieux Que tu n’as plus puiſſance aux hoſtes de ces lieux.	Ils savent, MICALIR, e mignon des grands Dieux Que tu n'as plus puissance aux hôtes de ces lieux.
Meſme les Oyſillons qui parmy le fueillage Souloient en cent façons decoupper leur ramage Le recognoiſſent bien;	Même les Oisillons qui parmi le fueillage Soulaient en cent façons decoupper leur ramage Le reconnaissent bien;
car ils ſont plus muets Que la beſte abbatuë de mille coups de traits.	car ils sont plus muets Que la bête abattue de mille coups de traits.
Ie te dis donc à Dieu, à Dieu ſouuerain Maiſtre, A Dieu tout mon bon-heur, tout mon bien, tout mõ A Dieu, & ſans à Dieu, car tandis que viuray [eſtre Ton image en mon cœur touſiours ie porteray.	Je te dis donc à Dieu, à Dieu souuerain Maître, À Dieu tout mon bonheur, tout mon bien, tout mo A Dieu, et sans Bien, car tandis que vivrai [être Ton image en mon cœur toujours avoir porterai.
La memoire de toy ne me ſera rauie Tant que ſeray cy bas ioüiſſant de la vie.	La mémoire de toi ne me sera ravie Tant que serai cy bas jouissant de la vie.
PROTATEE.	PROTATE.
Helas mes chers amis, vos regrets & vos plaintes Me donnent dans le cœur mille viues attaintes.	Hélas mes chers amis, vos regrets et vos plaintes Me donnent dans le cœur mille vives attaintes.
Vous augmẽtez mes pleurs, hé pauures paſtoureaux Failloit-il que fuſſiez ſubjects à tant de maux?	Vous augment mes pleurs, hé pauvres pastoureaux Faillait-il que fussiez sujets à tant de maux?
Mais, ſoyez courageux, Pan nous ſera propice:	Mais, soyez courageux, Pan nous sera propice:
Continuez touſiours voſtre amiable office.	Continuez toujours votre amiable office.
ARCHONTAS.	ARCHONTAS.
Oüy mais helas!	Oui mais hélas!
touſiours accroiſt noſtre douleur, Vn malheur pas à pas ſuit vn autre malheur:	toujours accroît notre douleur, Un malheur pas à pas suit un autre malheur:
M’affligeant tellement que ie peux à grand peine, Tout matté de trauaux, deſrober mon haleine.	M'affligeant tellement que personne peux à grand peine, Tout matté de travaux, dérober mon haleine.
Et comme vous voyez malade & langoureux, Ie traiſne en ces.	Et comme vous voyez malade et langoureux, Je traîne en ces.
deſerts vn troupeau malheureux.	déserts un troupeau malheureux.
Quant i’y penſe ie meurs;	Quant j'y pense ici meurs;
n’aguere vne cheurette Qui ſur tout entendoit le ſon de la muſette, Q1 Mon plaiſir, mõ ſoulas, l’honneur de mes troupeaux Auorta à ce bord, de deux petits cheureaux Qu'elle laiſſa, non pas dans vne plaine herbué, Mais la pauurette helas!	n'aguère assez cheurette Qui sur tout entendait le son de la musette, Q1 Mon plaisir, mon soûlas, l'honneur de mes troupeaux Auorta à ce bord, de deux petits cheureaux Qu'elle laissa, non pas dans une plaine herbué, Mais la pauvrette hélas!
ſur vne pierre nuë.	sur une pierre nue.
AGOTAS.	AGOTAS.
Helas moy mon grand Bouc qui braue & corpulẽ N’aguere dans ces prez s’en alloit ſautelant, Et qui marchant tantoſt d’vne cadance fiere Esbranloit comme vn bois ſa barbe mentonniere.	Hélas moi mon grand Bouc qui brave et corpulẽ N'aguère dans ces présence s'en allait sautelant, Et qui marchant tantôt d'une cadance fière Esbranlait comme un bois sa barbe mentonnière.
Qui bouquoit bruſquement de ces cornes les Loups Er ne redoutoit point de leur fureur les coups:	Qui bouquait brusquement de ces cornes les Loups Er ne redoutait point de leur fureur les coups:
Mais d’vn pas meſuré comme vn grand Capitaine Conduiſoit mon troupeau parmy la large plaine.	Mais d'autre pas mesuré comme un grand Capitaine Conduisait mon troupeau parmi la large plaine.
Las!	Las!
il eſt maintenant decharné, depoulpé, Commech que la Mort de ion tralt a ſrappe.	il est maintenant décharné, dépoulpé, Commech que la Mort de ion tralt a srappe.
Il a chaſſé bien loing ceſte bell’alegreſſe, Reſentant auec nous la commune triſteſſe.	Il a chassé bien loing cette bell'allégresse, Résentant avec nous la commune tristesse.
ARCHONTAS.	ARCHONTAS.
Il ne faut s’esbahir, encor ſi les Bergers Viuoient en ce malheur, exempts d’autres danger Mais les Loups rauiſſans, les venimeuſes beſtes Braſſent dedans les prez contre nous milles peſtes.	Il ne faut s'ébahir, encor si les Bergers Vivaient en ce malheur, exempts d'autres danger Mais les Loups ravissants, les venimeuses bêtes Brassent dedans les prez contre nous milles pestes.
I’ay veu n’aguere icy vn Serpent ſe traiſner, Et de plis ondoyants la terre ſeillonner:	J'ai vu n'aguère ici un Serpent se traîner, Et de plis ondoyant la terre seillonner:
Ie l’ay veu tout horrible, auecque l’eſtincelle D'vn feu noir & blaffart dans ſa double prunelle:	Je l'ai vu tout horrible, auecque l'étincelle D'un feu noir et blaffart dans sa double prunelle:
Et de ſon front doré la cruellebeauté, Qui menaçoit nos champs de quelque cruauté.	Et de son front doré la cruellebeauté, Qui menaçait nos champs de quelque cruauté.
Ii dardoit cependant ſa langue peſtilante, Et portoit le poiſon dans ſa gorge puante a tapy ſur les fleurs:	Ji dardait cependant sa langue pestilante, Et portait le poison dans sa gorge puante a tapi sur les fleurs:
& ſublant de courroux i vouloit deſcharger ſon venim contre nous.	et sublant de courroux y voulait décharger son venim contre nous.
purd entrarig cane bromionco montera trer funeſte I’vn extreme labeur ie luy briſay la teſte.	purd entrarig cane bromionco montera trer funeste J'un este labeur ie lui brisay la tête.
AGONTAS.	AGONTAS.
Moy trainant mon troupeau par ces lieux ſpacieux, In grand Loup qui ſembloit eſtre vn courroux des out deſcharné de faim, & poinçõné de ragẽſ Dieux qui le meurtre & le ſang portoit en ſon courage, e vint ietter deſſus mes pauurettes brebis, Qui paſturoient alors au milieu des herbis.	Moi traînant mon troupeau par ces lieux spacieux, In ttes Loup qui semblait être un courroux des out décharné de faim, et poinçõné de rendrez Dieux qui le meurtre et le sang portait en son courage, e vint jeter dessus mes pauvrettes brebis, Qui pâturaient alors au milieu des herbis.
la foule venoient ce ranger ſous mes aiſles t fuyoient comme font les doulces Columbelles;	la foule venaient ce ranger sous mes ailes t fuyoient comme font les doulces Columbelles;
luand vn cruel Vautour les talonne & les ſuit, faiſant craqueter ſon aiſle d’vn grand bruit, lors ie me remplis de courage & de force, contre ces aſſaulx importun ie m’efforce;	luand un cruel Vautour les talonne et les suit, faisant craqueter son aile d'un grand bruit, lors ie me remplis de courage et de force, contre ces assaulx importun Seigneur m'efforce;
ie fut ſi vaillant deffendant mon troupeau u’il n’eut pas ſeulement pour ſa proye vn agneau.	On fut si vaillant défendant mon troupeau u'il n'eut pas seulement pour sa proie un agneau.
ACTE II.	ACTE II.
Didocharas, Protathee, Archontas, Agotas,	Didocharas, Protathe, Archontas, Agotas,
DIDOCHARAS.	DIDOCHARAS.
Touſiours ne vont en mer les poſtes Acolins Montagnant de leur ſouffle les rogues flotz marins:	Toujours ne vont en mer les postes Acolins Montagnant de leur souffle les rogues flots marins:
L’Alcion porte paix peut appaiſer leur rage, Et des flottantes caux empeſcher le rauage.	L'Alcion porte paix peut apaiser leur rage, Et des flottantes caux empêcher le ravage.
AGOTAS la douleur qui gourmande ton cœur Me detient comme toy, ſous ſon aſpre rigueur:	AGOTAS la douleur qui gourmande ton cœur Me détient comme toi, sous son âpre rigueur:
L’eſpoir eſt talonné d’vne doureuſe crainte Et la crainte d’eſpoir pour touſiours eſt enceinte.	L'espoir est talonné d'une doureuse crainte Et la crainte d'espoir pour toujours est enceinte.
Si que l’eſpoir touſiours la crainte accompagnant, Et la crainte iamais ſon eſpoir ne quittant:	Si que l'espoir toujours la crainte accompagnant, Et la crainte jamais son espoir ne quittant:
L’vn & l'autre en mon cœur fichent leur reſidence, Et du contrepoidz d’vn l’autre fait la cadence, Ainſi comme incertains mes eſperits flottants, Hier lorſque i’allois mes oüailles paiſſantz, Situé au milieu de ces extremitez, Et ne ſachant à quoy pancher mes volontez, Ie ruminois ſoigneux le funeſte accident Qu’vn de ces iours paſſes tu nous alois contant:	L'autre et l'autre en mon cœur fichent leur résidence, Et du contrepoids d'un este fait la cadence, Ainsi comme incertains mes espérits flottants, Hier lorsque j'allais mes ouïrailles paissants, Situé au milieu de ces extrémité, Et ne an quoi cher mes volontés, Je ruminais soigneux le funeste accident Qu'vn de ces jours passes tu nous alois contant:
Ie tremblottois de pœur, & palliſſois de crainte, Pyiimorne tremble cœur ſoufretatmilleatreintes,	Je tremblottais de pœur, et pâlissais de crainte, Pyiimorne tremble cœur souffretatmilleatreintes,
Et panchant de ſommeil les Saules paſle-verds Enuoyerent à mes ſens milles ſonges diuers:	Et penchant de sommeil les Saules pâle-verds Envoyer à mes sens milles songes divers:
Vne voix peu apres doulcement gazoüillante, I'entendis du deſſus vne Orme palliſſante Me parlant en ces mots.	Une voix peu après doulcement gazoüillante, J'entendis du dessus une Orme pallissante Me parlant en ces mots.
Paſteur qui t’attriſtant De crainte, & de regrets, va touſiours ſouſpirant, Tranche fil à tes pleurs, donne fin à tes larmes, Et ne va plus craignant du Soldat les alarmes Ne va plus redoubtant leſcume ſerpentine, N’y du Loup rauiſſant leſgorgeante rapine:	Pasteur qui t'attristant De crainte, et de regrets, va toujours soupirant, Tranche fil à tes pleurs, donne fin à tes larmes, Et ne va plus craignant du Soldat les alarmes Ne va plus redoubtant lescume serpentine, N'y du Loup avissant lesgorgeante rapine:
Les Lions rugiſſants autour de vos trouppeaux Plus ne ſe ſaouleront du ſang de vos agneaux.	Les Lions rugissants autour de vos troupeaux Plus ne se saouleront du sang de vos agneaux.
C’eſt apres les frimats, & le ſifflant Boree Que Ceres va coiffant ſa perruque doree.	C'est après les frimats, et le sifflant Borée Que Ceres va coiffant sa perruque dorée.
Et comme du Soleil la cuiſante chaleur Va des Roſes peillant la plus ſouefue odeur:	Et comme du Soleil la cuisante chaleur a des Roses peillant la plus souefue odeur:
Peu à peu puis apres l’ardeur Caniculaire En ſechant les faniſt d’vne eſtrange maniere:	Peu à peu puis après l'ardeur Caniculaire En séchant les fanît d'une étrange manière:
Puis les fiers Aquilons l’hyuer accompagnants Vont meſme du Roſier les feuilles moiſſonnants:	Puis les fiers Aquilons l'hiver accompagnants Vont même du Rosier les feuilles moissonnants:
Mais apres retournant la ſaiſon Primtaniere, Le Roſier amoureux de ſa gloire premiere l'ar le doux ſouffle-uent des Zephyrs germe-fleurs Se perle de boutons, ſe decore d’odeurs S’embelit c’eſmaillant d’vne pourprine Roſc Pour l’honneur du Printemps nouuellement eſcloſe:	Mais après retournant la saison Primtanière, Le Rosier amoureux de sa gloire première l'ar le doux souffle-vent des Zéphyrs germe-fleurs Se perle de boutons, se décore d'odeurs S'embelit c'émaillant d'une pourprine Rosc Pour l'honneur du Printemps nouvellement éclose:
De meſme ſi l’effort d’vn carnaſſier deſtin	De même si l'effort d'une carnassier destin
Atronçonné les iours de voſtre MEGALIN Si la Mort l’aſſaillant d’vne cruelle rage La rendu priſonnier de ſon aſpre ſeruage, Tout n’eſt toutefois mort:	Atronçonné les jours de votre MEGALIN Si la Mort l'assaillant d'une cruelle rage La rendu prisonnier de son âpre servage, Tout n'est toutefois mort:
MEGALIN à vn FILS, MEGALIN vous quittant, vous laiſſe ſon ELPIS (ELPIS mignon du Ciel chef d’œuure de nature Et du grand MEGALIN treſ-digne geniture) Qui traſſant le ſentier par ſon Pere frayé Domptera les efforts de toute iniquité.	MEGALIN à un FILS, MEGALIN vous quittant, vous laisse son ELPIS (ELPIS mignon du Ciel chef d'œuvre de nature Et du grand MÉGALIN très-digne géniture) Qui trassant le sentier par son Père frayé Domptera les efforts de toute iniquité.
Qui d’vn cœur MEGALIN & indompté courage Des voſtres chaſſera & de vous le ſeruage.	Qui d'un cœur MEGALIN et indompté courage Des vôtres chassera et de vous le servage.
ELPIS qui quoy qu’encor en ſes ans tendreletz Ne ſe plaiſe qu’au chant de vos doulx flageolets:	ELPIS qui quoi qu'encor en ses ans tendrelets Ne se plaise qu'au chant de vos doul flageolets:
Exigeant le ſecours d’vnc Mere Regente Pour affermir le cours de ſa gloire naiſſante.	Exigeant le secours d'une Mère Régente Pour affermir le cours de sa gloire naissante.
Les forces toutefois accompagnans ſes ans L’on verra vn Hercul eſtre fait d’vn Enfans:	Les forces toutefois accompagnants ses ans L'on verra un Hercul était fait d'un Enfants:
Qui d’vn cœur indompté, & ſuperbe courage Vainqueur fracaſſera la ſerpentine rage:	Qui d'un cœur indompté, et superbe courage Vainqueur fracassera la serpentine rage:
D’vn bras eſtrangle-loup chaſſera des troupeaux Les peſtes ſe gliſſant par les coulans des eaux.	D'un bras étrangle-loup chassera des troupeaux Les pestes se glissant par les coulants des eaux.
mone quittes ces fangiots, & ces plaintes ameres ELPIS mettra la fin à toutes vos miſeres Quittez vos triſtes ſons, & iournalieres pleurs Car ELPIS toſt viendra chaſſer toutes douleurs.	mone quittes ces fangiots, et ces plaintes amères ELPIS mettra la fin à toutes vos misères Quittez vos tristes sons, et journalières pleurs Car ELPIS tôt viendra chasser toutes douleurs.
PROTATEE.	PROTATE.
Quand ſera ce bergers qu’au nom de c’eſt ELPIS B iij Les ſerpens venimeux mourront dans nos paſtis?	Quand sera ce bergers qu'au nom de c'est ELPIS B ijà Les serpens venimeux mourront dans nos pastis?
Luy qui pourra doucir les plus cruelles Ourſes, Et empeſcher des Loups les peillantes ſecouſſes.	Lui qui pourra doucir les plus cruelles Ourses, Et empêcher des Loups les peillantes secousses.
Au ſeul bruit de ſon nom Phœbus de ſon flambeau Redorera vn iour ce monde tout nouueau:	Au seul bruit de son nom Phœbus de son flambeau Redorera un jour ce monde tout nouveau:
Et la tenc ouuina lamamnenonuniele Pour nous donner de biens vn’ample pepiniere.	Et la tenc ouvina lamamnonuniele Pour nous donner de biens uns ample pépinière.
ARCHONTAS.	ARCHONTAS.
Ce bien eſt-il ſi grand qu’on le peuſt aomirer?	Ce bien est-il si grand qu'on le pût aomirer?
Mais à peine on le peuſt ſeurement eſperer?	Mais à peine on le pût sûrement espérer?
AGOTAS.	AGOTAS.
Il ne faut point entrer pourtant en deffiance, Il n’y a mal ſi grand que perdre l’eſperance.	Il ne faut point entrer pourtant en défiance, Il n'y a mal si grand que perdre l'espérance.
Las n’auons nous pas veu les ſanglants eſtendars?	Las n'avons nous pas vu les sanglants étendards?
Et parmy nos maiſons fourmeiller les ſoldars?	Et parmi nos maisons fourmeiller les soldars?
Quand ce monſtre d’enfer la cruelle Megere Amonceloit ſur nous vn monde de miſere.	Quand ce monstre d'enfer la cruelle Mégère Amoncelait sur nous un monde de misère.
Le noble ſang Gaulois à empourpré les eaux Sa deſpoüille à eſté le butin des Corbeaux:	Le noble sang Gaulais à empourpré les eaux Sa pouille à été le butin des Corbeaux:
Au ſieu d’oüir aux champs la plaiſante muſette, Nous oyons eſclatter leffroyable trompette.	Au sieu d'oüir aux champs la plaisante musette, Nous oyons éclater leffroyable trompette.
Les treſſes de Ceres ne creſpoient les ſeillons, Mais par tout eſpineus marchoint les bataillons.	Les tresses de Ceres ne crespoient les seillons, Mais par tout épineus marchoint les bataillons.
Les ſainctes Deitez deteſtant ceſte guerre, Quittoient meſmes alors noſtre ſanglante terre.	Les saintes Dités détestant cette guerre, Quittaient mêmes alors notre sanglante terre.
