E 2 AVA DAMES	 2 AVA DAMES
OLIMBRE, Cheualier Romain.	OLIMBRE, Chevalier Romain.
OLICHARSIS, Affricain.	OLICHARSIS, Africain.
ASPAR, Affricain.	ASPAR, Affricain.
TALERDAL, Iardimer du Roy.	TALERDAL, Jardimer du Roi.
EVDOXE.	EUDOXE.
L7 AL TRACICOMEDIE.	L7 AL TRACICOMEDIE.
ACTE PREMIER.	ACTE PREMIER.
OLIMBRE,VRSACE,OLIC HARSIS, EVDOXE, L’IMPE RATRICE, GENeuleran lroll le	OLIMBRE,URSACE,OLIC HARSIS, EVDOXE, L'IMPE RATRICE, GENeuleran lroll le
SCENE PREMIERE.	SCÈNE PREMIÈRE.
OLIMBRE, VRSACE, OLICHARSIS.	OLIMBRE, VRSACE, OLICHARSIS.
L 2 OLIMBRE.	 2 OLIMBRE.
& Nfin vous le voyez ce Palais glorieux, Où l’on retient l’objet qui plaiſt tant à vos yeux:	et Nfin vous le voyez ce Palais glorieux, Où l'on retient l'objet qui plaît tant à vos yeux:
perience, M Mais gardez de ſçauoir par voſtre exQu'on perd vn grand deſſein par tropd’impatience:	périence, M Mais gardez de Savoir par votre exQu'on perd un grand dessein par tropd'impatience:
Vrſace en m’attendant ſuſpendez vos douleurs;	Vrsace en m'attendant suspendez vos douleurs;
Faites qu’Olicharſis apprenne vos mal-heurs;	Faites qu'Olicharsis apprenne vos malheurs;
u-- II.	Ju- II.
.	.
.	.
C4 Qu'il en ſçache le cours, qu’il en ſçache les cauſes;	C4 Qu'il en sache le cours, qu'il en sache les causes;
Et i’iray cependant ſçauoir l’eſtat des choſes:	Et j'irai cependant savoir l'état des choses:
Nous voicy dans Cartage, où tendoient vos deſirs;	Nous voici dans Carthage, où tendaient vos désirs;
Nous voicy dans Cartage, où ſont tous mes plaiſirs;	Nous voici dans Carthage, où sont tous mes plaisirs;
Et bien toſt nous verrons auec vn peu d’adreſſe, La belle Imperatrice, & ma belle Maiſtreſſe.	Et bien tôt nous verrons était un peu d'adresse, La belle Impératrice, et ma belle Maîtresse.
Demeurez inconnu, puis qu’il vous eſt aiſé, Si vous n'vſez point mal d’vn habit deſguiſé;	Demeurez inconnu, puis qu'il vous est aisé, Si vous n'usez point mal d'un habit déguisé;
Ne precipitons rien, modereZ voſtre enuie, Et pour l’amour d’Eudoxe, allongez voſtre vie:	Ne précipitons rien, modérez votre envie, Et pour l'amour d'Eudoxe, allongez votre vie:
Sauuez-vous pour ſauuer cét Aſtre des beautez, Et conqueſtez, vn bien que vous ſeul meritez:	Sauvez-vous pour sauver cet Astre des beautés, Et conquêtez, un bien que vous seul méritez:
Si grande eſt ſa vertu, la voſtre n'eſt pas moindre:	Si grande est sa vertu, la vôtre n'est pas moindre:
Rendez-vous ſur le port, où i’iray vous reioindre.	Rendez-vous sur le port, où j'irai vous rejoindre.
Vous, ne deſcouurez pas que nous ſoyons venus Pour agir d'autant mieux, n'eſtans point reconnus:	Vous, ne découvrez pas que nous soyons venus Pour agir d'autant mieux, n'étant point reconnus:
Mais eſloignez vos pas, ainſi que vos triſteſſes, De cét appartement, où ſont les trois Princeſſes:	Mais éloignez vos pas, ainsi que vos tristesses, De cet appartement, où sont les trois Princesses:
Enfin voſtre deſir a ſatisfaict vos yeux.	Enfin votre désir a satisfait vos yeux.
VRSACE.	VRSACE.
Laiſſez-moy dans ce lieu que ie prefere aux Cieux:	Laissez-moi dans ce lieu que je préfère aux Cieux:
Allez, mon cher Olimbre, où l’amour vous appelle, SoyeZ autant heureux, que vous eſtes fidele, Et ſi le ſort deſtruit mon deſſein hazardeux, Souffrez enfin ma mort, & viuez pour nous deux.	Allez, mon cher Olimbre, où l'amour vous appelle, Soie autant heureux, que vous êtes fidèle, Et si le sort détruit mon dessein hasardeux, Souffrez enfin ma mort, et vivez pour nous deux.
OLICHARSIS.	OLICHARSIS.
I’aborde comme vous aux riues Affricaines, QuinZe ans m’ont retenudans des terres lointaines, Où le deſir d’apprendre auoit porté mes pas, Et ie pleins vos mal-heurs, mais ie ne les ſçay pas.	J'aborde comme vous aux rives Africaines, QuinZe ans m'ont retenudants des terres lointaines, Où le désir d'apprendre avait porté mes pas, Et Seigneur pleins vos malheurs, mais tu ne les sais pas.
Puis que par monbon-heur, ma foy vous eſt connuë, De grace, monſtrez-moy voſtre ame toute nuë;	Puis que par monbon-heur, ma foi vous est connue, De grâce, montrez-moi votre âme toute nue;
Que ie ſçache vos maux, pour vous en ſoulager;	Que quelque sçache vos maux, pour vous en soulager;
Ie voudrois vous ſeruir, veüillez donc m’obliger;	Je voudrais vous servir, veuillez donc m'obliger;
Vn bien-heureux Deſtina fait noſtre rencontre;	Un bienheureux Destina fait ton rencontre;
Ie vous montre mon cœur, que le voſtre ſe montre;	Je vous montre mon cœur, que le vôtre se montre;
Au poinct où vos vertus ont ſceu me le rauir, I’affronterois l’Affrique, afin de vous ſeruir;	Au point où vos vertus ont su me le ravir, J'affronterais l'Afrique, afin de vous servir;
Et dans les grands perils, rencontrant des amorces, Ie perdrois Genſeric au milieu de ſes forces.	Et dans les grands périls, rencontrant des amorces, Je perdrais Genseric au milieu de ses forces.
VRSACE.	VRSACE.
Cher & fidele Amy, ie n’aypas le pouuoir De cacher à vos yeux l’objet qu’ils veulent voir:	Cher et fidèle Ami, je n'aipas le pouvoir De cacher à vos yeux l'objet qu'ils veulent voir:
Ie deſcouure vn ſecret d’vne importance extréme, Mais en vous le diſant, c’eſt le dire à moy-meſme:	Je découvre un secret d'une importance extrême, Mais en vous le disant, c'est le dire à moi-même:
Et ce ſeroit pecher, voyant vostre pitié, Contre le iugement, & contre l’amitié, Si ie ne vous contois la ſuite d’vne hiſtoire, Difficile à ſouffrir, & difficile à croire:	Et ce serait pécher, voyant votre pitié, Contre le jugement, et contre l'amitié, Si apprendre ne vous contais la suite d'une histoire, Difficile à souffrir, et difficile à croire:
Eſcoutez donc enfin les effects differens De l'Amour & du Sort, deux ſuperbes Tyrans.	Écoutez donc enfin les effets différents De l'Amour et du Sort, deux superbes Tyrans.
A 3	A 3
Rome a veu ma naiſſance, & par mes deſtinées, Conſtantinople a veu mes premieres années, Là ie ſuiuis mon Maistre, eſtant enfant d’honneur.	Rome a vu ma naissance, et par mes destinées, Constantinople a vu mes premières années, Là Princes suivis mon Maître, étant enfant d'honneur.
Diray-ie pour ma perte, ou bien pour mon bon-heur?	Dirai-je pour ma perte, ou bien pour mon bonheur?
Olimbre aux meſmes lieux ſuiuit le meſme Maiſtre;	Olimbre aux mêmes lieux suivit le Seigneur Maître;
Le Ciel nous fit aimer en nous faiſant connoiſtre;	Le Ciel nous fit aimer en nous faisant connaître;
Nostre ſaincte amitié commenca lors vn cours, Qui ne ſçauroit finir qu’enla fin de nos iours;	Notre sainte amitié commença lors un cours, Qui ne saurait finir qu'enla fin de nos jours;
Et dans les meſmes lieux, la ſupréme puiſſance, (O courtois Affricain) fit noſtre connoiſſance:	Et dans les mêmes lieux, la suprême puissance, (O courtois Affricain) fit notre connaissance:
L'Empereur Theodoſe, accablé de langueur, Et pouſſé d’vn deſir qu’il cachoit en ſoncœur, Obtient d’Honorius, dans le mal qui le preſſe, Que Valentinian face vn voyage en Grece:	L'Empereur Théodose, accablé de langueur, Et poussé d' désir qu'il cachait en soncœur, Obtient d'Honorius, dans le mal qui le presse, Que Valentinian face un voyage en Grèce:
L'Empereur d’Occident, afin de l’obliger, Conſent à cedepart, conſent à s'affliger;	L'Empereur d'Occident, afin de l'obliger, Consent à cedepart, consent à s'affliger;
Et dans le port d’Oſtie, auecbeaucoup de peine, Il quitte ſon Neueu ſur la mer incertaine, Où le vent fauorable, & qui le fut touſiours, Nous mit dãs le Boſphore en moins de quinzeiours.	Et dans le port d'Ostie, aveceaucoup de peine, Il quitte son Neu sur la mer incertaine, Où le vent favorable, et qui le fut toujours, Nous mit dans le Bosphore en moins de quinzeiours.
Ie ne vous diray point auec quelle allegreſſe Ce Prince fut receu des peuples de la Grece, Ny comme l’Empereur qui s’en alloit finir, A noſtre heureux abord, ſembla ſe rajeunir;	Je ne vous dirai point avec quelle allégresse Ce Prince fut reçu des peuples de la Grèce, N comme Empereur qui s'en allait finir, À notre heureux abord, sembla se rajeunir;
Vous ne l’ignorez pas;	Vous ne l'ignorez pas;
& ma ſeule infortune, Dont le triſte recit n'arien qui n'imporiune, Ne me fournit que trop, & dequoy diſcourir, Et dequoy n'eſtre plus, ſi ie pouuois mourir.	et ma seule infortune, Dont le triste récit n'arien qui n'imporiune, Ne me fournit que trop, et dequoy discourir, Et dequoy n'être plus, si grands pouvais mourir.
Mais ie croy que le ſort dans ma peine eternelle Me fit naiſtre immortel, afin qu'elle fuſt telle;	Mais ie cy que le sort dans ma peine éternelle Me fit naître immortel, afin qu'elle fût telle;
Car mon ame autrement auroit rompu ſes fers, 1 Pour s’exẽpter pluſtost des maux qu'elle a ſouffers,	Car mon âme autrement aurait rompu ses fers, 1 Pour s'expter plutôt des maux qu'elle a soufferts,
Pourſuiuez.	Poursuivez.
OhiellaRoro.	OhiellaRoro.
VRSACE.	VRSACE.
C’eſt icy qu’il faut que ie retrace Dedans mon ſouuenir, mon heur & ma diſgrace, Et que par vn mélange, & de bien & de mal, Ie monſtre les effets de mon Aſtre inégal:	C'est ici qu'il faut que je retrace Dedans mon souvenir, mon heur et ma disgrâce, Et que par un mélange, et de bien et de mal, Je montre les effets de mon Astre inégal:
Il m'éleua trophaut, pour n’auoirrien à craindre;	Il m'éleva trophaut, pour n'avoir à craindre;
Il m'a trop abaiſſé, pour ſouffrir ſans me pleindre;	Il m'a trop abaissé, pour souffrir sans me pleindre;
Il me fit plus heureux que les Roys ne le ſont, Et me fait plus ſouffrir que les damnez ne font:	Il me fit plus heureux que les Rois ne le sont, Et me fait plus souffrir que les damnés ne font:
Enfin ie vis Eudoxe, & contre l’apparence, Quoy qu'vn Sceptre entre nous miſt de la difference, Que ſonrang, & te mien, n'euſſent aucun rapport, Il fallut obeïr aux volontez du ſort.	Enfin ici vis Eudoxe, et contre l'apparence, Quoi qu'un Sceptre entre nous mît de la différence, Que sonrang, et te mien, n'eussent aucun rapport, Il fallut obéir aux volontés du sort.
I'oppoſé la raiſon à ſa force infinie;	J'opposé la raison à sa force infinie;
Ie taſché d’empeſcher ſa fiere tyrannie;	Je tâché d'empêcher sa fière tyrannie;
Ie combattis long-temps ce ſuperbe vainqueur;	Je combattis longtemps ce superbe vainqueur;
Mais il ſe fallut rendre, & perdre enfin ſoncœur.	Mais il se fallut rendre, et perdre enfin soncœur.
OLICHARSIS.	OLICHARSIS.
Quoy, vous aimaſtes donc Eudoxe:	Quoi, vous aimâtes donc Éudoxe:
d-E C2	dE C2
VRSACE.	VRSACE.
Ie l’aduouë, Et ſoit que voſtre eſprit, ou me blâme, ou me louë;	Je l'avoue, Et soit que votre esprit, ou me blâme, ou me loue;
Qu’il approuue ou condamne vn eſtrange diſcours;	Qu'il approuve ou condamne un étrange discours;
Ie l’aimé, ie l’adore, & le feray touſiours.	Je l'aimé, Seigneur l'adore, et le ferai toujours.
Mais de quelques ardeurs que i’euſſe l’ame atteinte, de neſptet impoſu te fitenee u mu pleinte;	Mais de quelques ardeurs que j'eusse l'âme atteinte, de nesptet imposu te fitène mu pleinte;
Ie bruſlé ſans parler, dans mes feux innocens;	Je brûlé sans parler, dans mes feux innocents;
Et ie perdis moncœur, mais non pas le bon ſens.	Et ici perdis moncœur, mais non pas le bon sens.
OLICHARSIS.	OLICHARSIS.
Qui luy deſcouurit donc voſtre ſecrette flame?	Qui avait découvrit donc votre secrète flamme?
VRSACE.	VRSACE.
Ha!	Ha!
ce furent mes yeux qui trahirent mon ame:	ce furent mes yeux qui trahirent mon âme:
Les ſentimens du cœur s’y peignirent trop bien;	Les sentiments du cœur s'y peignirent trop bien;
La Princeſſe les vid, & ie n'en ſçauois rien.	La Princesse les vit, et ici n'en savais rien.
O le diuin objet qui s’offre à ma memoire!	Ô le divin objet qui s'offre à ma mémoire!
Ce temeraire cœur ſe vid comblé de gloire;	Ce téméraire cœur se vit comblé de gloire;
Il deſcouurit les pleurs dont i’auois l’œil noyé;	Il découvrit les pleurs dont j'avais l'œil noyé;
Mais quoy, cét Ixion ne fut pas foudroyé:	Mais quoi, cet Jxion ne fut pas foudroyé:
Car plus heureux que ſage, en ſa haute aduanture, Cét objet adoré de toute la Nature, Cette Princeſſe Illuſtre en ſes rares vertus, Fit voir quelque pitié des coups qu’il auoit eus, Et par certains regards obligeans, mais modeſtes, I'apris qu'elle ſouffroit ſes flames manifeſtes, Et que ce temeraire, en ſa preſomption Ne ſeroit point puny par ſon aduerſion.	Car plus heureux que sage, en sa haute aventure, Cet objet adoré de toute la Nature, Cette Princesse Illustre en ses rares vertus, Fit voir quelque pitié des coups qu'il avait eus, Et par certains regards obligeants, mais modestes, J'apris qu'elle souffrait ses flammes manifestes, Et que ce téméraire, en sa présomption Ne serait point puni par son aversion.
Onluifnnoloz Enfin elle aima donc?	Onluifnoloz Enfin elle aima donc?
VRSACE.	VRSACE.
Pour mon ame enflamée, Elle fit bien aſſez, en ſouffrant d’eſtre aimée;	Pour mon âme enflammée, Elle fit bien assez, en souffrant d'être aimée;
Elle fit bien aſſez, quand il me fut permis De parler de l’eſtat où ſes yeux m’auoient mis;	Elle fit bien assez, quand il me fut permis De parler de l'état où ses yeux m'avaient mis;
Et de luy faire voir, ſans meriter ſa haine, Mon amour, mes reſpects, mes deuoirs, & ma peine.	Et de jours faire voir, sans mériter sa haine, Mon amour, mes respects, mes devoirs, et ma peine.
Mais admirez icy les caprices du ſort!	Mais admirez ici les caprices du sort!
Cette Princeſſe aimable, & que i'aimois ſi fort, Ne fit aucun progrez dans l’eſprit de mon Maiſtre, Vne autre paßion en ſon cœur ſe vid naiſtre;	Cette Princesse aimable, et que j'aimais si fort, Ne fit aucun progrès dans l'esprit de mon Maître, Une autre passion en son cœur se vi naître;
I'aimé trop hautement, & ſon cœur raualé, D'vn feu moins eſclatant voulut eſtre bruſlé:	J'aimé trop hautement, et son cœur ravalé, D'un feu moins éclatant voulut être brûlé:
Car enfin, il eſtime, il cherit, il adore nne fauue mmo luiuis, que s'uppelle Iſidore;	Car enfin, il estime, il chérit, il adore nne fave mémo luiuis, que s'uppelle Isidore;
Qui ſeruoit la Princeſſe, & qui pour la beauté Ne luy cedoit pas moins que pour la qualité.	Qui servait la Princesse, et qui pour la beauté Ne lui cédait pas moins que pour la qualité.
OLICHARSIS.	OLICHARSIS.
Sans doute cét amour ne nuiſit pas au voſtre.	Sans doute cet amour ne nuisit pas au vôtre.
VRSACE.	VRSACE.
La Princeſſe parut ſenſible au dernier point;	La Princesse parut sensible au dernier point;
Comme il ne l’aimoit pas, elle ne l’aima point:	Comme il ne l'aimait pas, elle ne l'aima point:
Et comme ie l’aimois par vn bon-heur inſigne, Elle eut vn peu d’amour pour vn objet indigne.	Et comme ici l'aimais par un bonheur insigne, Elle eut un peu d'amour pour un objet indigne.
O momens glorieux, entretiens rauiſſans, Secrets teſmoins d’amour, qui charmiez tous mes ſens!	Ô momens glorieux, entretiens ravissants, Secrets témoins d'amour, qui charmiez tous mes sens!
O douceurs iuſqu’alors aux mortels inconnuës, Helas!	Ô douceurs jusqu'alors aux mortels inconnues, Hélas!
reſpondez-moy, qu'eſtes-vous deuenuës?	répondez-moi, qu'êtes-vous devenues?
Voicy le poinct fatal qui cauſa ma fureur:	Voici le point fatal qui causa ma fureur:
Le Prince eſtant Neueu de ce grand Empereur, Il luy promet ſa fille, afin qu'en vn ſeul homme, Et l’Empire de Grece, & l’Empire de Rome, Puiſſent n’auoir enfin qu’vn Maiſtre quelque iour:	Le Prince étant Neu de ce grand Empereur, Il était promet sa fille, afin qu'en un seul homme, Et l'Empire de Grèce, et l'Empire de Rome, Puissent n'avoir enfin qu'un Maître quelque jour:
Icy l’Ambition l’emporte ſur l’Amour;	Ici l'Ambition l'emporte sur l'Amour;
Len meſpriſe ſſaure, (vuutre m'abandonne;	Len méprise saure, (vutre m'abandonne;
Tous deux rompent leurs fers, pour prendre vne Couronne;	Tous deux rompent leurs fers, pour prendre un Couronne;
Et ſans auoir d’amour que pour la vanité, Du faiſte du bon-heur ie ſuis precipité.	Et sans avoir d'amour que pour la vanité, Du faîte du bonheur fait suis précipité.
OLICHARSIS.	OLICHARSIS.
Mais que luy dites-vous en cette conjoncture?	Mais que quelque dites-vous en cette conjoncture?
VRSACE.	VRSACE.
Aprés auoir ſouffert en ſecret la torture, Aprés que le reſpect, le deſpit, la douleur, Le ſouuenir du bien, & l’objet du mal-heur, "-----	Après avoir souffert en secret la torture, Après que le respect, le dépit, la douleur, Le souvenir du bien, et l'objet du malheur, "-
Eurent bien combattu dans mon ame offensée, Enfin le deſeſpoir exprima ma pensée.	Eurent bien combattu dans mon âme offensée, Enfin le désespoir exprima ma pensée.
Quoy (luy diſ-ie) Madame, ainſi vous me quitez, Et vous m’allez punir de mes temeritez?	Quoi (lui dis-je) Madame, ainsi vous me quitez, Et vous m'allez punir de mes témérité?
Mais bien que ie reçoiue vne ſenſible iniure, Non, non, ne craignez, pas le tiltre de parjure;	Mais bien que ici reçoive une sensible injur, Non, non, ne craignez, pas le titre de parjure;
Ie lis dedans vos yeux la peur que vous aueZ, Ie n'en parleray point, puiſque vous le ſçauez Et dans quelque douleur que mon ame s’abyſme, Ie diray qu'elle eſt iuſte, en puniſſant moncrime;	Je lis dedans vos yeux la peur que vous avez, Je n'en parlerai point, puisque vous le savez Et dans quelque douleur que mon âme s'abîme, Je dirai qu'elle est juste, en punissant moncrime;
Que ma preſomption merite vn chaſtiment;	Que ma présomption mérite un châtiment;
Elle fut infinie, & tel eſt mon tourment:	Elle fut infinie, et tel est mon tourment:
Ie ſouffre des douleurs que ie ne ſçaurois dire;	Je souffre des douleurs que ici ne saurais dire;
Mille bourreaux ſecrets commencent mon martyre;	Mille bourreaux secrets commencent mon martyre;
Mon cœur eſt deſchiré;	Mon cœur est déchiré;
la triſteſſe & l’horreur, Le deſeſpoir, la mort, larage, & la fureur, Tout cela m’enuironne, & tout cela s’approche;	la tristesse et l'horreur, Le désespoir, la mort, larage, et la fureur, Tout cela m'environne, et tout cela s'approche;
Mais ie les receuray ſans vous faire vn reproche;	Mais ici les recevrai sans vous faire un reproche;
Touſiours, touſiours l’amour gardera ſon pouuoir, Et me tiendra touſiours aux termes du deuoir.	Toujours, toujours l'amour gardera son pouvoir, Et me tiendra toujours aux termes du devoir.
Ie ne vous diray point, qu'en bruſlant de ſes flames, L’amour malgré le ſort peut eſgaler les ames;	Je ne vous dirai point, qu'en brûlant de ses flammes, L'amour malgré le sort peut égaler les âmes;
Et que s’il agit bien ſur deux eſprits troublez, Le ſceptre & la houlette en ſeront aſſemblez.	Et que s'il agit bien sur deux esprits troublés, Le sceptre et la houlette en seront assemblés.
Ie ne vous diray point, que ſuiuant la Nature, Ceux qui veulent aymer la vertu toute pure, Ne conſiderent pas, apres ce rare objet, Si celuy qui la monſtre, eſt Monarque, ou fuiet.	Je ne vous dirai point, que suivant la Nature, Ceux qui veulent aimer la vertu toute pure, Ne considèrent pas, après ce rare objet, Si celui qui la montre, est Monarque, ou fuiet.
Ie ne vous diray point que voſtre ame royalle N’a iamais condamné ma flame ſans eſgale, Quelle approuuames feux, mes fers & mes liens;	Je ne vous dirai point que votre âme royalle N'a jamais condamné ma flamné sans égale, Quelle approuvâmes feux, mes fers et mes liens;
Et qu'enles approuuant, elle monſtra les ſiens.	Et qu'enles approuvant, elle montra les siens.
Ie ne vous diray point, ô gloire des Princeſſes, Que parmille ſermens, & parmille promeſſes, Cette bouche adorable a ſouuent proteſté D’eſgaller ſa conſtance à ma fidelité.	Je ne vous dirai point, ô gloire des Princesses, Que parmille serments, et parmille promesses, Cette bouche adorable a souvent protesté D'égaller sa constance à ma fidélité.
Non, ie n'en dirayrien;	Non, Seigneur n'en diraierien;
& ie ne parle encore, Que pour iurer encor à celle que i’adore, Que malgré ſon meſpris, & ſon prompt changement;	et personne ne parle encore, Que pour jurer encor à celle que j'adore, Que malgré son mépris, et son prompt changement;
Que malgré ma colere, & mon reſſentiment;	Que malgré ma colère, et mon ressentiment;
Ie régardecemrce jalal Hymenée, Ie regarde venir ma derniere iournée, uumns permnanoneſpuu quoinuens u ſonrang, Et que ie vay ſigner ce diſcours de mon ſang.	Je régardecemrce jalal Hyménée, Je regarde venir ma dernière journée, uumns permnanonespu qu' aux sonrang, Et que sans vais signer ce discours de mon sang.
OLICHARSIS.	OLICHARSIS.
Et que reſpondit-elle à ces mots pleins de charmes?	Et que répondit-elle à ces mots pleins de charmes?
VRSACE.	VRSACE.
Son bel œil le premier reſpondit par des larmes:	Son bel œil le premier répondit par des larmes:
Mille profonds ſoupirs, qui ſortoient à la fois, Empeſcherent long-temps l’vſage de ſa voix;	Mille profonds soupirs, qui sortaient à la fois, Empêchèrent longtemps l'usage de sa voix;
Mais enfin, s'efforçant contre la violence Des ſanglots redoublez qui cauſoient ſon ſilence, Elle me proteſta, que ſes feux innocens N'auoient iamais eſté plus vifs, ny plus puiſſans, Et que ſa flame außi n’eſtant point criminelle, Elle me promettoit de la rendre eternelle;	Mais enfin, s'efforçant contre la violence Des sanglots redoublés qui causaient son silence, Elle me protesta, que ses feux innocents N'avaient jamais été plus vifs, ni plus puissants, Et que sa flamme aussi n'étant point criminelle, Elle me promettait de la rendre éternelle;
Et que ſans offencer l’honneur de ſon eſpoux, L’amour & la verturegneroient entre nous.	Et que sans offenser l'honneur de son époux, L'amour et la verturegneraient entre nous.
Elle me coniura de prendre connoiſſance De ce qu’elle deuoit à ſa haute naiſſance;	Elle me conjura de prendre connaissance De ce qu'elle devait à sa haute naissance;
Et de conſiderer que les filles des Rois Ne pouuoient conſeruer la liberté du choix.	Et de considérer que les filles des Rois Ne pouvaient conserver la liberté du choix.
Que la raiſon d’eſtat qui croit tout legitime, Fait ſouuent d’vne Reine vne pauure victime, Et conduit au ſupplice vn eſprit amoureux, Que le Throſne eſclatant ne ſçauroit rẽdre heureux, Mais qu'il faut obeïr à cette loy fatale:	Que la raison d'état qui croit tout légitime, Fait souvent d'une Reine une pauvre victime, Et conduit au supplice un esprit amoureux, Que le Thrône éclatant ne saurait rendre heureux, Mais qu'il faut obéir à cette loi fatale:
