Auec Priuilege du Royi	Avec Privilège du Roii
Regiſtré dans le Liure de la Communauté des Libraires & Imprimeurs de cette Ville de Paris, le 16.	Registré dans le Livre de la Communauté des Libraires et Imprimeurs de cette Ville de Paris, le 16.
luin 1662.	luin 1662.
ſuiuant l’Arreſt de la Cour de Parlement, du 8.	suivant l'Arrest de la Cour de Parlement, du 8.
Auril 1653.	Avril 1653.
Signé DEBRAY.	Signé DEBRAY.
ACTEVRS.	ACTEURS.
OROSMANE, Prince Corſaire, Amant de la Princeſſe Eliſe, & enfin reconnu, ſous le nom d’Alcandre, pour fils de Nicanor.	OROSMANE, Prince Corsaire, Amant de la Princesse Élise, et enfin reconnu, sous le nom d'Alcandre, pour fils de Nicanor.
ELISE, Princeſſe de Cypre, Maiſtreſſe d’Oroſmane.	ELISE, Princesse de Cypre, Maîtresse d'Orômane.
ALCIONE, autre Princeſſe de Cypre, Sœur d’Eliſe, Maiſtreſſe d’Amintas.	ALCYONE, autre Princesse de Cypre, Sœur d'Élise, Maîtresse d'Amintas.
AMINTAS, Fils de Nicanor, Frere d’Oroſmane, Amant de la Princeſſe Alcione.	AMINTAS, Fils de Nicanor, Frère d'Orômane, Amant de la Princesse Alcione.
NICANOR, Pere d’Oroſmane, & d’Amintas, & Oncle des Princeſſes.	NICANOR, Père d'Orômane, et d'Amintas, et Oncle des Princesses.
SEBASTE, Confident d’Oroſmane.	SÉBASTE, Confident d'Orômane.
ARGANTE, Lieutenant du meſme Oroſmane.	ARGANTE, Lieutenant du même Orômane.
CLARICE, Confidente des Princeſſes.	CLARICE, Confidente des Princesses.
CRITON, Confident d’Amintas.	CRITON, Confident d'Amintas.
LICAS, Capitaine des Gardes de Nicanor.	LICAS, Capitaine des Gardes de Nicanor.
CORSAIRES de la Flotte d’Oroſmane.	CORSAIRES de la Flotte d'Orômane.
La Scene eſt à Paphos, Ville de l’Iſle de Cypre, dans le Palais.	La Scène est à Paphos, Ville de l'Isle de Cypre, dans le Palais.
LE PRINCE CORSAIRE.	LE PRINCE CORSAIRE.
N RSAIRE.	 NSAIRE.
E	E
ACTE PREMIER SCENE PREMIERE.	ACTE PREMIER SCÈNE PREMIÈRE.
SEBASTE, CLARICE	SÉBASTE, CLARICE
SEBASTE.	SÉBASTE.
OVS pleurez vn Grand Roy dont les.	OUS pleurez un Grand Roi dont les.
heureuſes Armes, Tenoient la (ypie en paix, & l’Aſie en allarmes.	heureuses Armes, Tenaient la (ypie en paix, et l'Asie en alarmes.
Les Peuples éloignez qu’il vous auoit ſoûmis, Las d’eſtre vos ſujets ſeront vos ennemis.	Les Peuples éloignez qu'il vous avait soumis, Las d'être vos sujets seront vos ennemis.
Le treſpas d’vn Monarque ébranle ſes conqueſtesy Et dans l’Etat plus calme excite des tempeſtes, le voſtre ſe diuiſe en partis opoſez, Et doit craindre le ſort des Eſtats diuiſez;	Le trépas d'être Monarque ébranle ses conquêtesy Et dans l'État plus calme excite des tempêtes, le vôtre se divise en partis oposez, Et doit craindre le sort des États divisez;
Mais du Roy qui n’eſt plus les reſtes adorables;	Mais du Roi qui n'est plus les restes adorables;
Les Aſtres de la Cypre aux Amans redoutables;	Les Astres de la Cypre aux Amants redoutables;
edant le Roy leur Pere ont elles tout perdu?	édant le Roi leur Père ont elles tout perdu?
eur refuſeriez vous le rang qui leur eſt deu?	eur refuseriez -vous le rang qui leur est dev?
Seriez vous leurs Tyrans, leurs vaſſaux que vous cies:	Seriez -vous leurs Tyrans, leurs vassaux que vous ciez:
Ou des Filles d’vn Roy feriez vous des ſujettes?	Ou des Filles d'un Roi feriez -vous des sujettes?
CLARICE.	CLARICE.
La Cypre a conſerué conſtante dans la Foy;	La Cypre a conservé constante dans la Foi;
Le reſpect quelle doit aux Filles de ſon Roy, Et de l’vne des deux ſe va faire vne Reine.	Le respect quelle doit aux Filles de son Roi, Et de l'une des deux se va faire une Reine.
D’Eliſe.	D'Élise.
SEBASTE	SÉBASTE
CLARICE.	CLARICE.
Iuſqu’icy, la choſe eſt incertaine, Elle aura la couronne épouſant Amintas.	Jusqu'ici, la chose est incertaine, Elle aura la couronne épousant Amintas.
SEBASTE.	SÉBASTE.
Et ne l’épouſant point?	Et ne l'épousant point?
CLARICE.	CLARICE.
Elle ne l’aura pas.	Elle ne l'aura pas.
SEBASTE.	SÉBASTE.
Et qui luy peut rauur vn droit en la couronne, Que ſa vertu merite, & que le ſang luy donne?	Et qui lui peut rauvrait droit en la couronne, Que sa vertu mérite, et que le sang lui donne?
CLARICE Quand la mort qui confond les Roys, & leurs ſujets De Piſandre eut finy la vie, & les projets, On ne publia point ſa volonté derniere, Son frere Nicanor eut la puiſſance ent ere, Et ſon fils Amintas la partage auec luy, De l’Etat l’vn, & l’autre, & la force, & l’appu Piſaudre auant ſa mort en parolles expreſſes, Auoit reglé le ſort de nos belles Princeſſes, Et cet ordre du Roy caché ſoigneuſement, Eſt manifeſte à tous d’aujourd huy ſeu ement, I’en garde vne copie, & ie puis vous la lire, Si vous le ſouhaittez.	CLARICE Quand la mort qui confond les Rois, et leurs sujets De Pisandre eut fini la vie, et les projets, On ne publia point sa volonté dernière, Son frère Nicanor eut la puissance ent re, Et son fils Amintas la partage avec lui, De l'État s'autre, et l'autre, et la force, et l'appu Pisaudre avant sa mort en paroles expresses, Au reglé le sort de nos belles Princesses, Et cet ordre du Roi caché soigneusement, Est manifeste à tous d'aujourd' au seu autre, ET la garde vne copie, et ie puis vous le lire, Si vous le souhaités.
SEBASTE.	SÉBASTE.
Ie n’oſois vous le dire.	Je n'osais vous le dire.
CLARICE.	CLARICE.
I'ordonne que ma fille Eliſe, CORSAIRE.	J'ordonne que ma fille Élise, CORSAIRE.
ſegne en Cypre apres mon treſpas, Et ie veux auſſi quelle éliſe, Pour Eſpoux le Prince Amintas.	segne en Cypre après mon trépas, Et tu veux aussi quelle élise, Pour Époux le Prince Amintas.
Si mépriſant ce que i’ordonne Sur vn Prince eſtranger elle iette les yeux, Ie veux que ſa ſœur Alcione, Eſpouſant A mintas ſuccede à ma Couronue;	Si méprisant ce que j'ordonne Sur un Prince étranger elle jette les yeux, Je veux que sa sœur Alcione, Espousant À mintas succède à ma Couronue;
C’eſt mon dernier vouloir apres celuy des Dieux.	C'est mon dernier vouloir après celui des Dieux.
Eliſe ne s’eſt point ſur ſon choix declarée, Encore qu’elle ſoit de ce Prince adorée, Et ce fidelle Amant de ce choix incertain, Attendant ſon maunais ou ſon heureux Deſtin.	Élise ne s'est point sur son choix déclarée, Encore qu'elle soit de ce Prince adorée, Et ce fidèle Amant de ce choix incertain, Attendant son maunais ou son heureux Destin.
Ne ſçait à qui des deux d’Eliſe ou d’Alcione.	Ne sait à qui des deux d'Élise ou d'Alcione.
Il deura le bonheur d’vne double Couronne;	Il devra le bonheur d'une double Couronne;
Cypre, & la Cilicie, où nous donnons des Loix;	Chypre, et la Cilicie, où nous donnons des Lois;
Où Ehandte a vamcu le dernier de ſes Roys Et s’il cuſt eu du Ciel vne plus longue vie, Il euſt pouſſé plus loin ſa conqueſte en Aſie.	Où Ehandte a vamcu le dernier de ses Rois Et s'il cût eu du Ciel une plus longue vie, Il eût poussé plus loin sa conquête en Asie.
SEBASTE.	SÉBASTE.
Des peuples aſſeruis le zele eſt toûjours feint, Et naturellement l’on hait ce que l’on craint, Con me Cilicien ie ſçay qu’en cette terre Piſandre euſt eu bien-toſt à ſoûtenir la guerre.	Des peuples asservis le zèle est toujours feint, Et naturellement l'on hait ce que l'on craint, Con me Cilicien ce sais qu'en cette terre Pisandre eût eu bientôt à soutenir la guerre.
CLARICE.	CLARICE.
Son frere Nicanor politique, & prudent:	Son frère Nicanor politique, et prudent:
Ferme dans ſes deſſeins;	Ferme dans ses desseins;
ambitieux;	ambitieux;
ardent, Chef d vn party puiſſant;	ardent, Chef d party puissant;
abſolu dans les villes, Peut ietter cét Eſtat en des guerres ciulles, Si mépriſant ſon fis, & les ordres du Roy, Eliſe diſpoloit du Royaume, & de ſoy, Elle eſt inceſſamment de Nicanor preſſée, De decouurir enten ſa ſecre te penſée, Et pour la découurir elle a choiſi ce iour, Enpeu de mots, voila l’Eſtat de noſtre Cour.	absolu dans les villes, Peut jeter cet État en des guerres ciulles, Si méprisant son fis, et les ordres du Roi, Élise dispolait du Royaume, et de soi, Elle est incessamment de Nicanor pressée, De découvrir enten sa secrè te pensée, Et pour la découvrir elle a choisi ce jour, Enpeu de mots, voilà l'État de notre Cour.
SEBASTE.	SÉBASTE.
Cet himen peut auoir ſa raiſon politique;	Cet hymen peut avoir sa raison politique;
Eliſe peut auſſi le trouuer tirannique, Si cét objet forcé de ſon affection, N’a iamais attiré que ſon auerſion, Ou ſi quelque autre amant regne en ſon cœur fidelle Amintas pourroit-il eſtre heureux auec elle?	Élise peut aussi le trouver tyrannique, Si cet objet forcé de son affection, N'a jamais attiré que son aversion, Ou si quelque autre amant règne en son cœur fidèle Amintas pourrait-il être heureux avec elle?
Et quand elle tiendroit ſon ſceptre d’Amintas, D'vn époux qui déplaiſt les dons ne plaiſent pas, Contrainte en ſon amour, & contrainte en ſa haine, Amante malheureuſe, & malheureuſe Reine, D'vn choix violenté le ſouuenir cruel, Luy feroit de ſon Troſne vn ſupplice eternel.	Et quand elle tiendrait son sceptre d'Amintas, D'un époux qui déplaît les dons ne plaisent pas, Contrainte en son amour, et contrainte en sa haine, Amante malheureuse, et malheureuse Reine, D'un choix violenté le souvenir cruel, Lui ferait de son Trône un supplice éternel.
Le ſceptre, & les treſors qu’apporte vn himenée, N’en fait point icy bas l’heureuſe Deſtinée, On n’eſt pas moins captif pour l’eſtre auec eſclat, Et les raiſons d’amour ne le ſont point d’Eſtat.	Le sceptre, et les trésors qu'apporte un hyménée, N'en fait point ici bas l'heureuse Destinée, On n'est pas moins captif pour l'être avec éclat, Et les raisons d'amour ne le sont point d'État.
CLARICE.	CLARICE.
Amintas eſt bien-fait, genereux;	Amintas est bienfait, généreux;
plein de gloire Son bras s’eſt ſignalé par plus d’vne victoiré, Il eſt aymé du peuple, adoré de la Cour, De moindres qualités donncroient de l’amour.	plein de gloire Son bras s'est signalé par plus d'une victoiré, Il est aimé du peuple, adoré de la Cour, De moindres qualités donnaient de l'amour.
Mais la Princeſſe vient, retirez vous;	Mais la Princesse vient, retirez vous;
poſſible Vas-je la diſpoſer à vous eſtre viſible.	possible Vas-je la disposer à vous être visible.
SCENE II ELIZE, CLARICE.	SCÈNE II ÉLIZE, CLARICE.
ELIZE.	ÉLIZE.
Vel eſt cét eſtranger?	Vel est cet étranger?
CLARICE.	CLARICE.
C’eſt vn Cilicien, Pour qui ie vous demande yn ſecret entrerien	C'est un Cilicien, Pour qui je vous demande in secret entrerien
ELIZE.	ÉLIZE.
Et que peut me vouloir cét étranger, Clarice?	Et que peut me vouloir cet étranger, Clarice?
CLARICE.	CLARICE.
Vous rendre à ce qu’il dit vn important ſeruice.	Vous rendre à ce qu'il dit un important service.
ELIZE.	ÉLIZE.
Qu'il vienne;	Qu'il vienne;
mais s’il veut quelque grace de moy, Ie n’ay plus de pouuoir depuis la mort du Roy.	mais s'il veut quelque grâce de moi, Je n'ai plus de pouvoir depuis la mort du Roi.
Faittes luy donc ſçauoir qu’Amintas, & ſon Pere.	Faites -lui donc Savoir qu'Amintas, et son Père.
Sont aujourd huy les Dieux que la Cypre reuere.	Sont aujourd' hui les Dieux que la Cypre révère.
I hu ui 3 4 12 8	I hu 3 4 12 8
CEN E III.	CEN E III.
LETSE.	LETSE.
DRinceſſe malheureuſe, & qu’vn indigne fort, I Contraint des ſa ieuneſſe à ſouhaiter ſa mont:	DRincesse malheureuse, et qu'un indigne fort, I Contraint des sa jeunesse à souhaiter sa mont:
Le Ciel ne te fit donc d’vne illuſtre naiſſance, Que pour faire aux mortels redouter ſa puiſſance, Il te rauit vn Throſne à ta naiſſance acquis:	Le Ciel ne te fit donc d'une illustre naissance, Que pour faire aux mortels redouter sa puissance, Il te ravit un Thrône à ta naissance acquis:
De tes propres ſujets il fait tes ennemis, Et du choix d’vn Eſpoux t’oſtant le priuilege, Ilte rend vers ton Pere ingrate, & ſacrilege;	De tes propres sujets il fait tes ennemis, Et du choix d'un Époux tôtant le privilège, Ilte rend vers ton Père ingrate, et sacrilège;
Mais des ordres d’vn Pere on ſe peut diſpenſer, Quand vne foy promiſe, eſt honteuſe à fauſſer, On me peut faire choir d'vn Troſne hereditaire, Mais me rendre inconſtante, on ne le ſçauroit faire:	Mais des ordres d'H Pere on se peut dispenser, Quand quelque foi promise, est honteuse à fausser, On me peut faire choir d'H Trône héréditaire, Mais me rendre inconstante, on ne le saurait faire:
Ie t’aymeray toſiours, ſoit que loin de ces lieux, Ton ame dans le Ciel ait place entre les Dieux, Soit qu’entre les mortels, où tu vis plein de gloire, Tu conſerues encore Eliſe en ta memoire;	Je t'aimerai tosiours, soit que loin de ces lieux, Ton âme dans le Ciel ait place entre les Dieux, Soit qu'entre les mortels, où tu vis plein de gloire, Tu conserves encore Élise en ta mémoire;
Soit qu’vn ingrat oubly la chaſſe de ton cœur!	Soit qu'un ingrat oubli la chasse de ton cœur!
le l’aymeray touſiours d’vne conſtante ardeur, Prince qui meritois vne autre deſtinée, lrince le ſeul eſpoir d’Eliſe infortunée.	le l'aimerai toujours d'une constante ardeur, Prince qui méritais une autre destinée, lrince le seul espoir d'Élise infortunée.
SCENE IJ CLARICE, ELISE, SEBASTE.	SCÈNE IJ CLARICE, ÉLISE, SÉBASTE.
CLARICE.	CLARICE.
y Oicy cét etranger.	y Oici cet étranger.
ELISE.	ÉLISE.
Que voulez vous de moy?	Que voulez -vous de moi?
SÈBASTE.	SÉBASTE.
Oroſmane des Mers le redoutable Roy, Qui ſur mille vaiſſeaux portant par tout la guend Fait reſpecter ſon nom aux Maiſtres de la tene, Vous offre ſa valeur contre vos ennemis, Et vingt mille ſoldats à vos ordres ſoumis, Quand vous l’ordonnerez, d’vne puiſſante Armée Vous verrez à l’inſtant cette ville enfermée;	Orômane des Mers le redoutable Roi, Qui sur mille vaisseaux portant par tout la guend Fait respecter son nom aux Maîtres de la téne, Vous offre sa valeur contre vos ennemis, Et vingt mille soldats à vos ordres soumis, Quand vous l'ordonnerez, d'une puissante Armée Vous verrez à l'instant cette ville enfermée;
Vous verrez les Tyrane qui vous donnent la loy!	Vous verrez les Tyrane qui vous donnent la loi!
La receuoir de vous, & trembler ſous mon Roy	La recevoir de vous, et trembler sous mon Roi
ELISE.	ÉLISE.
On a mal informé voſtre yaulant Corſaire, Et ſon ſecours icy ne m'eſt point neceſlaire;	On a mal informé votre yaulant Corsaire, Et son secours ici ne m'est point nécessaire;
Mais d’où peuuent venir les ſoins officieux, D'vn homme ſi funeſte à la paix de ces lieux, Plus craint de nos vaiſſeaux que les plus grands ges, Quitient nos ports bloquez, deſole nos riuages;	Mais d'où peuvent venir les soins officieux, D'un homme si funeste à la paix de ces lieux, Plus craint de nos vaisseaux que les plus grands gués, Quitient nos ports bloqués, désole nos rivages;
Et qui laiſſant en paix le reſte de humains, Nous choiſit pour l’objet de ſes faits inhumains	Et qui laissant en paix le reste de humains, Nous choisit pour l'objet de ses faits inhumains
SEBASTE.	SÉBASTE.
Oroſmane n’eſt pas tout ce qu’il paroiſt eſtre, Et poſſible le temps le fera mieux connoiſtre, Mais troublaſt-t’il la Cypre encor plus qu’il ne!	Orômane n'est pas tout ce qu'il paraît être, Et possible le temps le fera mieux connaître, Mais troublât-il la Cypre encor plus qu'il ne!
CORSAIRE.	CORSAIRE.
Il vous diſtingue fort de ces peuples qu’il hait, Il n’eſt ſoin ny deuoir qu’il ne vueille vous rendre, Et de fortes raiſons que vous allez apprendre, Dans vos ſeuls intereſts l’engagent tellement, Qu’il fait ſes ennemis des voſtres ſeulement :	Il vous distingue fort de ces peuples qu'il hait, Il n'est soin rendre devoir qu'il ne veuille vous rendre, Et de fortes raisons que vous allez apprendre, Dans vos seuls intérêts l'engagent tellement, Qu'il fait ses ennemis des vôtres seulement :
Vn Prince incomparable, & dont l’illuſtre vie, A vos yeux ſes vainqueurs fut touſiours aſſeruie, Et qui iuſqu’au trepas conſtant en ſon Amour, Ne regreſta que vous quand il perdit le iour, Eut long-temps la fortune à ſes vœux fauorable;	Un Prince incomparable, et dont l'illustre vie, À vos yeux ses vainqueurs fut toujours asservie, Et qui jusqu'au trépas constant en son Amour, Ne regresta que vous quand il perdit le jour, Eut longtemps la fortune à ses vœux favorable;
Mais ſe fier en elle eſt baſtir ſur le ſable.	Mais se fier en elle est bâtir sur le sable.
Ce Prince malheureux vit ſon Troſne enuahy, Il fut de ſes ſujets abandonné, trahy, Et reduit à la fin de quitter vne Terre, Où tout ſembloit d’accord à luy faire la guerre, mionda lur les flots l ſpoir de ſon ſalut, N’ayant plus qu’vn vaiſſeau de tãt d’autres qu’il eût, Sa galere en ces mers tombant dans poſtre Armée, Se vit en vn moment des noſtres enfermée, Mais luy loing de ceder à l’ennemy plus fort, De nos meilleurs ſoldats ſe fit craindre d’abord, Et fit ſeul contre nous en ſa ſeule galere, Ce que le Dieu de Trace en ſa place euſt peu faire, Repouſſant pluſicurs fois de ſon bord inueſty, Les nombreux ennemis de ſon foible party.	Ce Prince malheureux vit son Trône envahi, Il fut de ses sujets abandonné, trahi, Et réduit à la fin de quitter une Terre, Où tout semblait d'accord à lui faire la guerre, mionda lur les flots l' avoir de son salut, N'ayant plus qu'un vaisseau de tãt autres il eût, Sa galere en ces mers tombant dans re Armée, Se vit en moment des nôtres enfermée, Mais lui loing de céder ennemi plus fort, De nos meilleurs soldats se fit craindre abord, Et fit seul contre nous en sa seule galere, Ce que le Dieu de Trace en sa place eût peu faire, Repoussant plusicurs fois de son bord inuesty, Les nombreux ennemis de son foible party.
Oroſmane rauy de ſa rare vaillance, Fait ceſſer le combat;	Orômane ravi de sa rare vaillance, Fait cesser le combat;
vers ce guerrier s’auance;	vers ce guerrier s'avance;
Luy preſente à la fois, & la paix, & la main, Et ne reçoit de luy que fierté, que dédain, Il offence Oroſmane;	Lui présente à la fois, et la paix, et la main, Et ne reçoit de soins que fierté, que dédain, Il offense Orosmane;
il l’attaque, il le preſſe, De tout ce qui luy reſte, & de force, & d’adreſſe;	il l'attaque, il le presse, De tout ce qui lui reste, et de force, et d'adresse;
luite ſon courroux par ſon ſang repandu:	luites son courroux par son sang répandu:
Mais foible par celuy qu’il a déja perdu, Enfin il tombe aux pieds d’Oroſmane inuincible, Et trouua ſon vainqueur à ſon malheur ſenſible, Il s’appelloit Alçandre.	Mais faible par celui qu'il a déjà perdu, Enfin il tombe aux pieds d'Orômane invincible, Et trouva son vainqueur à son malheur sensible, Il s'appelait Alçandre.
ELISE Helas!	ÉLISE Hélas!
il eſt donc mort, Alcandre?	il est donc mort, Alcandre?
mon Alcandre.	mon Alcandre.
SEBASTE.	SÉBASTE.
Il a changé de ſort.	Il a changé de sort.
ELISE.	ÉLISE.
Et le fier Oroſmane eſt meurtrier d’Alcandre?	Et le fier Orômane est meurtrier d'Alcandre?
SEBASTE.	SÉBASTE.
Il ſe croiroit heureux, s’il pouuoit vous le rendre.	Il se croirait heureux, s'il pouvait vous le rendre.
ELISE.	ÉLISE.
Helas!	Hélas!
SEBASTE.	SÉBASTE.
Alcandre donc ce Prince malheureux, Expirant, coniura ſon vainqueur genereux, Son vainqueur, qu’il voyoit pres de luy tout en lar mes, Maudire;	Alcandre donc ce Prince malheureux, Expirant, conjura son vainqueur généreux, Son vainqueur, qu'il voyait pres de lui tout en lar mes, Maudire;
mais trop tard, ſes trop heureuſes Armes De vous offrir ſon bras, ſa flotte, & ſon pouuoir, Et d’appaiſer par la ſon iuſte deſeſpoir, De voir ainſi finir ſon Amour, & ſa vie, Dans vn temps où peut-eſtre il vous auroit ſeruie, Et c’eſt d’où ſont venus les ſoins officieux, D'vn guerrier ſans pareil qui vous eſt odieux;	mais trop tard, ses trop heureuses Armes De vous offrir son bras, sa flotte, et son pouvoir, Et d'apaiser par la son juste désespoir, De voir ainsi finir son Amour, et sa vie, Dans un temps où peut-être il vous aurait servie, Et c'est d'où sont venus les soins officieux, D'un guerrier sans pareil qui vous est odieux;
Mais ſur qui vous regnez;	Mais sur qui vous régnez;
en qui reuit Alcandre, Qui voudioit cõme luy pour vous tout entreprent Et de qui la valeur ne veut point d’autre prix, Que la gloire d’auoir pour vous tout entrepris.	en qui révit Alcandre, Qui voudiait commme femme pour vous tout entreprent Et de qui la valeur ne veut point d'autre prix, Que la gloire d'avoir pour vous tout entrepris.
E'LISE.	E'LISE.
