A PARIS, Chez GABRIEI.	À PARIS, Chez GABRIEI.
Mais auec tout cela, quand on l’a veu paroiſtre, On l’a tant applaudy, faute de le connoiſtres Vn ſi fameux ſuccés ne luy fut iamais dû;	Mais avec tout cela, quand on l'a vu paraître, On l'a tant applaudi, faute de le connaîtrez Un si fameux succès ne lui fut jamais dû;
Et t’il a raußy, c’eſt qu’on l’a defendu.	Et t'il a raussy, c'est qu'on l'a défendu.
T Ia ar	 Ta ar
OVIS par la Grace de Dieu, Roy de LFrance & de Nauarre:	OUÏS par la Grâce de Dieu, Roi de LFrance et de Navarre:
A nos amez & feaux Conſeillers les Gens tenans nos Cours de Parlement, Maiſtres des Requeſtes ordinaires de noſtre Hoſtel, Baillifs, Seneſchaux, Preuoſts, leurs Lieutenans, & tous autres nos luſticiers & Officiers qu’il appartiendra, Salut.	À nos âmez et féaux Conseillers les Gens tenants nos Cours de Parlement, Maîtres des Requêtes ordinaires de notre Hôtel, Baillifs, Sénéchaux, Preuosts, leurs Lieutenants, et tous autres nos lûticiers et Officiers qu'il appartiendra, Salut.
Noſtre cher & bien amé GABRIEL VINET, Marchand Libraire de noſtre bonne Ville de Paris, Nous a tres-humblement fait remontrer qu’il luy auroit eſté mis és mains vne Piece de Theatre, intitulée, LA CRITIQVE DV TARTVFFE, qu’il deſireroit faire imprimer & donner au Public, s’il nous plaiſoit luy en accorder la permiſſion, & icelle interdire à tous autres pendant le temps qui luy ſera accordé.	Notre cher et bien amé GABRIEL VINET, Marchand Libraire de notre bonne Ville de Paris, Nous a très-humblement fait remontrer qu'il lui aurait été mis ès mains un Pièce de Théâtre, intitulée, LA BRITIQUE DU TARTUFE, qu'il désirerait faire imprimer et donner au Public, s'il nous plaisait lui en accorder la permission, et icelle interdire à tous autres pendant le temps qui lui sera accordé.
A CES CAVSES, deſirant fauorablement traitter l’Expoſant, Nous luy auons permis & permettons par ces Preſentes, d’imprimer ou faire imprimer ladite Piece par l’vn des Imprimeurs du nombre des reſeruez;	À CES CAUSES, désirant favorablement traiter l'Exposant, Nous lui clons permis et permettons par ces Présentes, d'imprimer ou faire imprimer ladite Pièce par l'un des Imprimeurs du nombre des réservez;
icelle vendre & debiter en tous les Lieux de noſtre obeïſſance, en telle marge, caractere, & autant de fois qu’il voudra, durant le temps de cinq années, à commencer du jour qu’elle ſera acheuée d’imprimer pour la premiere fois:	icelle vendre et débiter en tous les Lieux de notre obéissance, en telle marge, caractère, et autant de fois qu'il voudra, durant le temps de cinq années, à commencer du jour qu'elle sera achevée d'imprimer pour la première fois:
Faiſant tres-expreſſes inhibitions & defenſes à toutes Perſonnes, de quelque qualité & condition qu’ils ſoient, de l’imprimer, vendre, ny debiter, ſans le conſentement de l’Expoſant, ou de ceux qui auront droict de luy, a peine de confiſcation des Exemplaires contrefaits, mil liures d’amende, appliquable vn tiers a Nous, vn tiers à l’Hoſpital General de noſtredite Ville de Paris & l’autre tiers à l’Expoſant, & de tous deſpens, dommages & intereſts;	Faisant très-expresses inhibitions et défenses à toutes Personnes, de quelque qualité et condition qu'ils soient, de l'imprimer, vendre, ni débiter, sans le consentement de l'Exposant, ou de ceux qui auront droit de deux, a peine de confiscation des Exemplaires contrefaits, mil livres d'amende, appliquable un tiers à Nous, un tiers à l'Hôpital Général de notredite Ville de Paris et l'autre tiers à l'Exposant, et de tous dépens, dommages et intérêts;
à la charge qu’il ſera mis deux Exemplaires de ladite Piece en noſtre Bibliotheque, vn en celle de noſtre Chaſteau du Louure, & vn autre en celle de noſtre tres-cher & feal le Sieur Seguier, Cheualier, Chancelier de France, auant que de l’expoſer en vente, & qu’elles ſeront regiſtrées dans le Liure de la Communauté des Libraires de noſtre Ville de Paris.	à la charge qu'il sera mis deux Exemplaires de ladite Pièce en notre Bibliothèque, un en celle de notre Château du Louvre, et un autre en celle de nôtre très-cher et féal le Sieur Séguier, Chevalier, Chancelier de France, avant que de l'exposer en vente, et qu'elles seront registrées dans le Livre de la Communauté des Libraires de notre Ville de Paris.
SI vous mandons & enjoignons, que du contenu en ces Preſentes, vous faſſiez joüir & vſer l’Expoſant, & tous ceux qui auront droict de luy, pleinement & paiſiblement, ſans permettre qu’ils y ſoient troublez ny empeſchez, voulant qu’en inſerant ces Preſentes, ou Extrait d’icelles, en chacun des Exemplaires, elles ſoient tenuës pour bien & deuëment ſignifiées.	SI vous mandons et enjoignons, que du contenu en ces Présentes, vous fassiez jouir et user l'Exposant, et tous ceux qui auront droit de même, pleinement et paisiblement, sans permettre qu'ils y soient troublés Seigneur empêchez, voulant qu'en insérant ces Présentes, ou Extrait d'icelles, en chacun des Exemplaires, elles soient tenues pour bien et deuëment signifiées.
Commandons au premier noſtre Huiſſier ou Sergent ſur ce requis, faire pour l’execution des Preſentes, tous Exploits à ce requis & neceſſaires, ſans demander autre permiſſion, nonobſtant Clameur de Haro, & Lettres à ce contraires:	Commandons au premier votre Huissier ou Sergent sur ce requis, faire pour l'exécution des Présentes, tous Exploits à ce requis et nécessaires, sans demander autre permission, nonobstant Clameur de Haro, et Lettres à ce contraires:
Car tel eſt noſtre plaiſir.	Car tel est notre plaisir.
Donné à S.	Donné à S.
Germain en Laye le dix-neufiéme jour de Nouembre, l’an de grace mil ſix cens ſoixante-neuf, Et de noſtre neegne le vingt-lept.	Germain en Laye le dix-neuvième jour de Novembre, l'an de grâce mil six cents soixante-neuf, Et de notre ne cette vingt-lept.
Signe, Par le Roy en ſon Conſeil, D’ALENCE'.	Signe, Par le Roi en son Conseil, D'ALENCE.
Regiſtré ſur le Liure de la Communauté des Marchands Libraires & Imprimeurs de cette Ville, ſuiuant & conformement à l’Arreſt de la Cour de Parlement du 8.	Registré sur le Livre de la Communauté des Marchands Libraires et Imprimeurs de cette Ville, suivant et conformément à l'Arrest de la Cour de Parlement du 8.
Avril 1663.	Avril 1663.
aux charges & conditions portées par le preſent Priuilege.	aux charges et conditions portées par le présent Privilège.
Fait à Paris le 27.	Fait à Paris le 27.
Nouembre 1669.	Novembre 1669.
Signé, A.	Signé, A.
SOVBRON, Syndic.	SOUBRON, Syndic.
Achené d’imprimer pour la premiere ſoù Re 19.	Achène d'imprimer pour la première soù Re 19.
Decembre 1669.	Décembre 1669.
PERSONNAGES.	PERSONNAGES.
GLION, Pere de Lidiane.	GLION, Père de Lidiane.
LISANDRE, Amant de Lidiane.	LISANDRE, Amant de Lidiane.
PARIVTTE, lous le hom de PANVLPHE, Riual de Liſandre.	PARIVTTE, lous le hom de PANVLPHE, Rival de Lisandre.
LIDIANE.	LIDIANE.
LISE, Seruante de Lidiane.	LISE, Servante de Lidiane.
LAVRENS, Valet de Tartuſſe.	LAURENS, Valet de Tartusse.
La Suint ent thez Cleon.	La Suint ent hé Cleon.
LA RITIQVE D TART VFFE.	LA RITIQUE D TART VFFE.
LOLIEDIL.	LOLIEDIL.
SCENE IREMIERE.	SCÈNE IREMIÈRE.
TARTVFFE, LAVRENS.	TARTUFFE, LAURENS.
LAVRENS.	LAURENS.
& E'bien, qu’auez-vous fait?	et E'bien, qu'avez-vous fait?
vos efforts ſont-ils vains?	vos efforts sont-ils vains?
Ou les griffons dorez de vos faux Parpretendre?	Ou les griffons dorés de vos faux Parpretendre?
chemins	chemins
TARTVFFE.	TARTUFFE.
nin onttu le mecerque r'en deuois attendre.	nin onttu le mécerque r'en devais attendre.
Quoy?	Quoi?
LAVRENS.	LAURENS.
TARTVFFE.	TARTUFFE.
I’ay déceu le Pere auec ces faux Contracts.	J'ai déçu le Père avec ces faux Contrats.
LAVRENS.	LAURENS.
Et la Fille eſt d’accord?	Et la Fille est d'accord?
TARTVFFE.	TARTUFFE.
La Fille ne l’eſt pas.	La Fille ne l'est pas.
Cet Hymen la chagrine, & la rend preſque fole:	Cet Hymen la chagrine, et la rend presque sole:
Mais ſon Pere d’abord m’a donné ſa parole;	Mais son Père d'abord m'a donné sa parole;
Il en eſt ſi content, qu’en me diſant adieu, Ilm’a prié tout bas de deſcendre en ce lieu, Attendant qu’elle ſoit par luy perſuadée.	Il en est si content, qu'en me disant adieu, Ilm'a prié tout bas de descendre en ce lieu, Attendant qu'elle soit par beau persuadée.
LAVRENS.	LAURENS.
Bien des difficultez confondent mon idée.	Bien des difficultés confondent mon idée.
Songez-vous que Liſandre eſt Hõme de grand bruit?	Songez-vous que Lisandre est Homme de grand bruit?
Quand malgré l’amitié dont le nœud voüs vnit, Vous luy voulez rauir l’objet de ſa tendreſſe, N’apprehendez-vous point ſa fureur vangereſſe?	Quand malgré l'amitié dont le nœud voüs unit, Vous lui voulez ravir l'objet de sa tendresse, N'appréhendez-vous point sa fureur vengeresse?
Et d’ailleurs ſi Cleon par hazard peut ſçauoir Que Tartuffe eſt le nom que vous deuez auoir;	Et d'ailleurs si Cleon par hasard peut savoir Que Tartuffe est le nom que vous devez avoir;
Et que Panulphe icy riche en gros caractere, N’eſt qu’vn nom ſupoſé que la fourbe a ſçeu faire, Lequel, à voſtre auis, choiſira-t-il des deux, Ou Panulphe faux riche?	Et que Panulphe ici riche en gros caractère, N'est qu'un nom suposé que la fourbe a su faire, Lequel, à votre avis, choisira-t-il des deux, Ou Panulphe faux riche?
ou Tartuffe vray gueux?	ou Tartuffe vrai gueux?
Sous le nom de Tartuffe il n’a qu’à vous conneſtre, Pour bien ſçauoirquel Hõme auvray vouspouuez eſtre;	Sous le nom de Tartuffe il n'a qu'à vous connaître, Pour bien sçauoirquel Homme auvrai vouspouuez être;
Voſtre nom ſi connu, trahiſſant ce forfait, Sçaura tout démentir ce que vous aurez fait;	Votre nom si connu, trahissant ce forfait, Saura tout démentir ce que vous aurez fait;
Et prendra-t-il alors pour Gendre, ſans ſerupule.	Et prendra-t-il alors pour Gendre, sans serupule.
Vn Homme que Moliere a rendu ridicule, Dont le Sort mal-traitté ſe vit aux yeux de tous, L’objet de la riſée, & du plaiſir des Foux?	Un Homme que Molière a rendu ridicule, Dont le Sort maltraité se vit aux yeux de tous, L'objet de la risée, et du plaisir des Foux?
On ſçait que chez Cleon, par vne longue étude, A railler cet Ouurage on prend telle habitude, Que daus ſon entretien chacun a qui mieux mieur Nous en fait petiller les defauts à nos yeux.	On sais que chez Cleon, par un longue étude, A railler cet Ouvrage on prend telle habitude, Que daus son entretien chacun à qui mieux mieur Nous en fait pétiller les défauts à nos yeux.
TARTVFFE.	TARTUFFE.
Quoy, pour auoir ſouffert l’aigreur d’vne Cenſure Qui declare la guerre à toute la Nature, Suis-je moins honneſte Hõme enfin?	Quoi, pour avoir souffert l'aigreur d'une Censure Qui déclare la guerre à toute la Nature, Suis-je moins honnête Homme enfin?
& mon honneur Eſt-il a la mercy d’vn Calom niateur?	et mon honneur Est-il a la merci d'un Calom niateur?
Parce qu’vn foible effort d’vne imaginatiue, A ſoûmis à l’Erreur la Verité captiuë;	Parce qu'un faible effort d'une imaginative, A soumis à l'Erreur la Vérité captive;
Que le Caprice a ſçeu, s’immolant la Raiſon, Confondre la Iuſtice auec la Trahiſon;	Que le Caprice a su, s'immolant la Raison, Confondre la Justice avec la Trahison;
Que des Vers rallongez out eſté des Oracles, Que des ouy & des non ont fait crier miracles, Faut-il que ma vertu rencoutre ſon tombeau Dans l’abiſme profond du vuide d’vn cerveau?	Que des Vers rallongez out été des Oracles, Que des oui et des non ont fait crier miracles, Faut-il que ma vertu rencoutre son tombeau Dans l'abîme profond du vide d'un cerveau?
Er dépend-elle enfin d’vne groſſiere idée D’vn Autheur dont on voit la malice bridée.	Er dépend-elle enfin d'une grossière idée D'une Auteur dont on voit la malice bridée.
Et qui par ſa cabale, a force de complots, Va gueuſer des ſuccés chez la race des Sots?	Et qui par sa cabale, a force de complots, Va gueuser des succès chez la race des Sots?
Et ſi ie ſuis l’objet des crayons du menſonge.	Et si ici suis l'objet des crayons du mensonge.
Dois-je répondte enfin des chimeres d’vn Songe?	Dois-je répondte enfin des chimères d'Han Songe?
A i Vn Ouurage ſi bas ne me peut attaquer, Ma vie a trop d’éclat pour pouuoir s’offuſquer, Et ie ne puis tenir ma conduite offenſée, Par les traits languiſſans d’vne veine forcée.	A tenir Ma Conduite si bas ne me peut attaquer, Ma vie a trop d'éclat pour pouvoir s'offusquer, Et ie ne puis tenir ma conduite offensée, Par les traits languissants d'une veine forcée.
Ceux qui me connoiſtront, en dépit de ſes ſoins, Sclont ce ma vertu tout autant de témoins.	Ceux qui me connaîtront, en dépit de ses soins, Sclont ce ma vertu tout autant de témoins.
LAVRENS.	LAURENS.
Ie ne puis plus tenir, quand ie vois qu’à ſon vice, Aueuglé de ſoy-meſme, on ne fait point juſtice.	Je ne puis plus tenir, quand ici vois qu'à son vice, Aueuglé de soi-même, on ne fait point justice.
Aples vos faunetez, & tout ceque lay veu, Oſez-vous deuant moy vous targuer de vertu?	Aples vos faunetés, et tout ceque la vu, Osez-vous devant moi vous targuer de vertu?
TARTVFFE.	TARTUFFE.
Quoy, peux-tu condamner l’effort d’vn miſerable Qui tâche à s’affranchir d’vn deſtin déplorable?	Quoi, peux-tu condamner l'effort d'un misérable Qui tâche à s'affranchir d'un destin déplorable?
Si ie ſuis ſcelerat, fourbe, malicieux, Mes fineſſes du moins ne bleſſent point les yeux;	Si ici suis scélérat, fourbe, malicieux, Mes finesses du moins ne blessent point les yeux;
Mon cœur par mõ maintien ne ſe fait point tõneſtre.	Mon cœur par mon maintien ne se fait point tõnestre.
Ie ne ſuis point groſſier comme on me le fait eſtre;	Je ne suis point grossier comme on me le fait être;
Et lors que cet Autheur voudra peindre les Gens, Qu’il meſle en ſes couleurs vn peu plus de bon ſens.	Et lors que cet Auteur voudra peindre les Gens, Qu'il mêle en ses couleurs un peu plus de bon sens.
Du deſſein qu’il a pris, l’on voit qu’il ſe retire, Mon nom ſeul eſt l’objet de ſa froide Satire;	Du dessein qu'il a pris, l'on voit qu'il se retire, Mon nom seul est l'objet de sa froide Satire;
Vn Portrait ſi confus me reſſemble trop mal, Ces traits ſont ſans rapport à leur original;	Un Portrait si confus me ressemble trop mal, Ces traits sont sans rapport à leur original;
Et ſi dans ſes defauts qui choquent la Nature, L’on me veut ſoûtenir que ce ſoit ma peinture, Ie pouray ſoûtenir à mon tour, que l’Autheur, Et non celuy qu’il peint, luy-meſme eſt l’Impoſteur.	Et si dans ses défauts qui choquent la Nature, L'on me veut soutenir que ce soit ma peinture, Je pourrai soutenir à mon tour, que l'Auteur, Et non celui qu'il peint, lui-même est l'Imposteur.
Toutefois Licidas doit faire vne Satire, Qui me feta raiſon de ce qu’il a pû dire.	Toutefois Licidas doit faire une Satire, Qui me fêta raison de ce qu'il a pu dire.
LAVRENS.	LAURENS.
Cependant vous voyez que malgré vos mépris, Ce Poëme imparfait fait courre tout Paris.	Cependant vous voyez que malgré vos mépris, Ce Poème imparfait fait courre tout Paris.
N’eſt-ce rien que de voir vne Dame Pernelle, Qui ſçait l’art de charmer par vne bagatelle?	N'est-ce rien que de voir une Dame Pernelle, Qui sait l'art de charmer par une bagatelle?
Que tout ce qu’on oyoit de bas au temps paſſé, Dans ſon diſcours antique eſt ſi bien ramaſſé.	Que tout ce qu'on oyait de bas au temps passé, Dans son discours antique est si bien ramassé.
Que Laurens, mon Portrait, merite qu’on le priſe!	Que Laurens, mon Portrait, mérite qu'on le prise!
Luy ſeul à l’Auditeur n’a point dit de ſottiſe;	Lui seul a l'Auditeur n'a point dit de sottise;
Celomde menenojuer, le hremioueray toujouls, Mais pour vous, mon cher Maiſtre.	Celomde menojuer, le hérémiouerai toujouls, Mais pour vous, mon cher Maître.
Cleon vient.	Cleon vient.
TARTVFFE.	TARTUFFE.
Ah ceſſe vn tel diſcours,	Ah cesse un tel discours,
SCENE II TARTVFFE, CLEON, LAVRENS.	SCÈNE II TARTUFFE, CLEON, LAURENS.
CLEON.	CLEON.
IE vous plains.	JE vous plains.
Fille trop obſtinée!	Fille trop obstinée!
Ie l’ay preſſée en vain touchant cet Hymenée, Plus rebelle à mes vœux que la Fille d’Orgon, Ie n’ay pûi la ſoûmettre aux Loix de la Raiſon.	Je l'ai pressée en vain touchant cet Hyménée, Plus rebelle à mes vœux que la Fille d'Orgon, Je n'ai puy la soumettre aux Lois de la Raison.
Cependant enuers vous ma parole m’engage, Peut-eſtre que le temps nous la rendra plus ſage Nous nous verrons ce ſoir;	Cependant envers vous ma parole m'engage, Peut-être que le temps nous la rendra plus sage Nous nous verrons ce soir;
vous m’en voyez confus, Mais ſans doute mes ſoins flechiront ſes reſus.	vous m'en voyez confus, Mais sans doute mes soins fléchiront ses ressus.
Tariſfe & Laurens ſortent	Tarisfe et Laurens sortent
SCENE III LEON, LISE.	SCÈNE III LEON, LISE.
LISE.	LISE.
Idiane, Monſieur, là-haut ſe deſeſpere, LElle vous reniera volontiers pour ſon Pere, Dans le preſſant tranſport de les viues douleurs, Si vous ne tariſſez le torrent de ſes pleurs.	Idiane, Monsieur, là-haut se désespère, LElle vous reniera volontiers pour son Père, Dans le pressant transport de les vives douleurs, Si vous ne tarissez le torrent de ses pleurs.
CLEON.	CLEON.
L’on verra qui de nous doit obeïr à l’autre.	L'on verra qui de nous doit obéir à l'autre.
LISE.	LISE.
Vit-on iamais vn cœeur plus cruel que le voſtre!	Vit-on jamais un cœeur plus cruel que le vôtre!
Orgon ſur vn tel poinct n’eſt pas plus dur que vous.	Orgon sur un tel point n'est pas plus dur que vous.
Pourquoy contre ſon gré luy donner cet Epous?	Pourquoi contre son gré luy donner cet Épous?
Faut-il que des Cõtracts faits par quelques Fauſſaires?	Faut-il que des Comtracts faits par quelques Faussaires?
CLEON.	CLEON.
Ils ſont en bonne ſorme, & ſignez de Notaires.	Ils sont en bonne sorme, et signez de Notaires.
LISE.	LISE.
Hé par cette raiſon ils ſont dignes de foy?	Hé par cette raison ils sont dignes de foi?
Vous ſçauez peu le monde) Hé, Monſieur, croyez-moy, A iuj Les Hommes à l’argent ſe donnans pour eſclaues, Il eſt de faux Contracts comme il eſt de faux Braues.	Vous savez peu le monde) Hé, Monsieur, croyez-moi, A vj Les Hommes à l'argent se donnant pour esclaves, Il est de faux Contracts comme il est de faux Bravez.
Les faux Braues par tout ſont les plus effrontez, Ainſi les faux Contracts ſont les mieux ajuſtez.	Les faux Braves par tout sont les plus effrontés, Ainsi les faux Contrats sont les mieux ajustés.
Ne vous aueuglez point d’vn bien imaginaire, le vous dis qu’iis ſont faui, & pardenant Notaire.	Ne vous aveugliez point d'une bien imaginaire, le vous dis qu'iis sont savy, et pardenant Notaire.
CLEON.	CLEON.
Ton diſcours eſt autant dépourueu de raiſon, Que celuy de Cleante enuers ſon Frere Orgon.	Ton discours est autant dépourvu de raison, Que celui de Cléante envers son Frère Orgon.
Dins le mauuais deſſein que ſa haine médite, Il oſe declarer le Tartuffe hypocrite, Sur ce que quand il prie, il brûle de ferueur, Qu’il ſe proſterne en terre, humiliant ſon cœur, Qu’il partage les dons qu’on luy fait par aumoſne, Qu’ennemy du Pecheur, il l’inſtruit & le proſne;	Dins le mauvais dessein que sa haine médite, Il ose déclarer le Tartuffe hypocrite, Sur ce que quand il prie, il brûle de ferveur, Qu'il se prosterne en terre, humiliant son cœur, Qu'il partage les dons qu'on esprit fait par aumône, Qu'ennemi du Pécheur, il l'instruit et le prône;
Et quoy que les Deuots en agiſſent ainſy, D’abord ſonjugement condamne celuy-cy.	Et quoi que les Deuots en agissent ainsy, D'abord sonjugement condamne celui-cy.
Scrutateur de ſon cœur, & de ſa conſcience, Son caprice dément la plus claire apparence, Et ſans rien alleguer qui prouue ſa noirceur, Il veut que ſur ſa foy l’on le croye Impoſteur.	Scrutateur de son cœur, et de sa conscience, Son caprice dément la plus claire apparence, Et sans rien alléguer qui provue sa noirceur, Il veut que sur sa foi l'on le croie Imposteur.
Iaſnalſce en ce cas n’a fen de moisenorme.	Inalsce en ce cas n'a sen de moisénorme.
Parce que ces Contracts ſont en fort bonne forme, Tu veux en m’aueuglant, que ſans ſçauoir pourquoy, Ie ſois perſuadé qu’ils ſont faux comme toy.	Parce que ces Contrats sont en fort bonne forme, Tu veux en m'aveuglant, que sans savoir pourquoi, Je sois persuadé qu'ils sont faux comme toi.
LISE.	LISE.
Supoſez qu’ils ſoient bons, faut-il que la richeſſe D’vn Pete enuers ſa Fille étouffe la tendreſſe?	Suposez qu'ils soient bons, faut-il que la richesse D'un Pete envers sa Fille étouffe la tendresse?
Vous qui dans la Nature eſtes ſi délicat, Malgré l’âge viril, eſtes-vous aſſez fat?	Vous qui dans la Nature êtes si délicat, Malgré l'âge viril, êtes-vous assez fat?
Pour donner voſtre Fille.	Pour donner votre Fille.
CLEON.	CLEON.
Ah quelle impertinente!	Ah quelle impertinente!
La Seruante d’Orgon n’eſt pas plus impudente.	La Servante d'Orgon n'est pas plus impudente.
LISE.	LISE.
laut-il qu'à l’intereſt voſtré cœur ſoit captit!	laut-il qu'à l'intérêt vostré cœur soit captit!
CLEON.	CLEON.
Ie te pouray donner vn ſoufflet effectif;	Je te pourrai donner un soufflet effectif;
Et ie ſçauray ſi bien ménager la meſure, Que ma main tout à poinct trouuera ta figure.	Et grande sçauray si bien ménager la mesure, Que ma main tout à point trouvera ta figure.
Mais.	Mais.
LISE.	LISE.
CLEON.	CLEON.
Si tu m’étourdis encor par ton jargon,	Si tu m'étourdis encor par ton jargon,
LISE.	LISE.
Liſandre n’eſt-il pas d’aſſez bonne famille;	Lisandre n'est-il pas d'assez bonne famille;
Pour oſer librement pretendre à voſtre Fille?	Pour oser librement prétendre à votre Fille?
Il eſt vray, ie l’auouë, il n’a pas tant de bien, Mais quoy, ne contez-vous ſa Nobleſſe pour rien?	Il est vrai, Seigneur l'avoue, il n'a pas tant de bien, Mais quoi, ne contez-vous sa Noblesse pour rien?
CLEON.	CLEON.
Tune m’apprendra pas à connoiſtre Liſandre, Il merite au dela de deuenir mon Gendre;	Tune m'apprendra pas à connaître Lisandre, Il mérite au déla de devenir mon Gendre;
Ie le crois, il eſt Noble, & i’en dois conuenir, Mais l’autre a ma parole, & ie luy veux tenir.	Je le crois, il est Noble, et j'en dois convenir, Mais l'autre à ma parole, et que lui veux tenir.
SCENE IV CLEON, LISE, LIDIANE.	SCÈNE IV CLEON, LISE, LIDIANE.
LIDIANE vient ſe jetter aux genoux de ſon Pere.	LIDIANE vient se jeter aux genoux de son Père.
On Pere, ſi iamais voſtre cœur fut ſenſible;	On Père, si jamais votre cœur fut sensible;
MSi iamais a l’Amour on le vit acceſſible;	MÉi jamais a l'Amour on le vit accessible;
S’il vous reſte pour moy la moindre affection, Soyez deux fois mon Pere en cette occaſion;	S'il vous reste pour moi la moindre affection, Soyez deux fois mon Père en cette occasion;
En étouffant en vous cette funeſte enuie, Ce ſera me donner vne ſeconde vie;	En étouffant en vous cette funeste envie, Ce sera me donner vne seconde vie;
Car ſi voſtre pitié ne fait aucun effort, Le party que ie preus en ce cas, c’eſt la mort.	Car si votre pitié ne fait aucun effort, Le parti que je préus en ce cas, c'est la mort.
Oüy, i’aime mieux mourir, malgré ma deſtinée, Que d’accomplir iamais vn ſi triſte Hymenée, e de quitter pour prendre vn Homme que ie hais, Liſandré à qui ſont deubs tous les vœux que le fais.	Oui, j'aime mieux mourir, malgré ma destinée, Que d'accomplir jamais un si triste Hyménée, est de quitter pour prendre un Homme que tu hais, Lisandré à qui sont devbs tous les vœux que le fais.
