ICAL L.	ICAL L.
CARAUSE.	CARAUSE.
Illuſtre Préſident, redoutable Monarque, Qui des Conſuls Romains portés la noble marque vous qui Içaves joncner les campaghende corps Et pouvés renverſer les plus puiſſants efforts, Vous avés remporté tant de fois la victoire, Qu’on ne peut plus ternir l’éclat de vôtre gloire	Illustre Président, redoutable Monarque, Qui des Consuls Romains portés la noble marque vous qui Içaves joncner les campaghende corps Et pouvez renverser les plus puissants efforts, Vous avez remporté tant de fois la victoire, Qu'on ne peut plus ternir l'éclat de votre gloire
L'UCILLE.	L'UCILLE.
ous iuimontés, Olibre, en magnanimité, Tous les plus grands Heros qu’a vû l’antiquité, La fortune vous rit & par tout vous ſeconde, L’unique à redouter ſans pareil dans le monde, Vos inſignes vertus, & vos faits ſont ſi grands, uiis vous clevent prus que cous les conquerans, Olibre eſt le ſujet de plus hautes loüanges, Qui ſera célebré par les exploits étanges, Chacun admirera dans ſa proſperité, Voici quatre Seigneurs, illuſtres Perſonnages, Qui chargés de préſens lui rendront leur homages	ous iuimontés, Olibre, en magnanimité, Tous les plus grands Héros qu'a vu l'antiquité, La fortune vous rit et par tout vous seconde, L'unique à redouter sans pareil dans le monde, Vos insignes vertus, et vos faits sont si grands, uivis vous clèvent prus que cous les conquérants, Olibre est le sujet de plus hautes langes, Qui sera célebré par les exploits étanges, Chacun admirera dans sa prospérité, Voici quatre Seigneurs, illustres Personnages, Qui chargez de présents lui rendront leur homages
HILDERIC, LVCILLE, CARAUSE, GARDES.	HILDERIC, LUCILLE, CARAUSE, GARDES.
L CLEMENT.	 CLEMENT.
Invincible Guerrier, Qui dans les cnaps de Mars momomnes ſe Laurier, Aprés tant de beaux faits vôtre auguſte Perſonne, Mérite de porter cette noble Couronne.	Invincible Guerrier, Qui dans les caps de Mars Unes se Laurier, Après tant de beaux faits votre auguste Personne, Mérite de porter cette noble Couronne.
ALBAIN.	ÀLBAIN.
La Bretagne qui va ſans pair en dignité, Tienole la grandeur de vecle Majenss	La Bretagne qui va sans pair en dignité, Tienole la grandeur de vecle Majens
HILDERIC.	HILDERIC.
Illuſtre Souverain les peuples d’Auſtraſie, Vous conſacrẽt leur cœur, leur pouvoir & leur vie.	Illustre Souverain les peuples d'Autrasie, Vous consacrent leur cœur, leur pouvoir et leur vie.
CHARLES.	CHARLES.
L’Aquitaine ſoûmiſe à vos commandemens, A vôtre dignité dreſſe des monumens.	L'Aquitaine soumise à vos commandements, À votre dignité dresse des monuments.
OLIBRE.	OLIBRE.
Ces aimables reſpects, ces doux & nouveaux gages Me ſont de vôtre amour des parfaits témoignages, Par un vrai ſentiment d’honneur & de devoir, A tous vos interêts j’engage mon pouvoir, Ie ne veux être armé que pour vôtre défenſe, Ioüiſſés des honneurs dûs à vôtre naiſſance, Mon pouvoir, ma juſtice, & Roïale bonté, Sçauront recompenſer vôtre fidelité.	Ces aimables respects, ces doux et nouveaux gages Me sont de votre amour des parfaits témoignages, Par un vrai sentiment d'honneur et de devoir, À tous vos intérêts j'engage mon pouvoir, Je ne veux être armé que pour votre défense, Ioüissés des honneurs dus à votre naissance, Mon pouvoir, ma justice, et Roïale bonté, Sauront récompenser votre fidélité.
FELIX entre.	FELIX entre.
O!	Ô!
heureux Conquérant à qui tout rend hõmage De la Divinité la tres-parfaite Image, Tandis que vos ſujets donnent à vôtre Cour, Les gages plus certains de leur parfait amour;	heureux Conquérant à qui tout rend hommage De la Divinité la très-parfaite Image, Tandis que vos sujets donnent à votre Cour, Les gages plus certains de leur parfait amour;
La Saxe nation farouche & témeraire, Veut être le ſujet d’une juſte colére:	La Saxe nation farouche et témeraire, Veut être le sujet d'une juste colère:
’ai vû le grand orgueïl de ce peuple Germain, Qui veut quiter ce Joug de l’Empire Romain, Ils arment puiſſamment.	ai n ce grand orgueil de ce peuple Germain, Qui veut quit ce Joug de l'Empire Romain, Ils arment puissamment.
Le bruit de cette Guerre, Semble vous menacer come un coup de Tonnerre;	Le bruit de cette Guerre, Semble vous menacer come un coup de Tonnerre;
Tout le monde à vos loix n’eſt pas aſſujeti, Tandis que les Saxons formeront un apui.	Tout le monde à vos lois n'est pas assujet, Tandis que les Saxons formeront un appui.
OLIBRE.	OLIBRE.
Ma géneroſité, ma force, mon courage, Fera de ces Felons un horrible carnage, Il faut anéantir tout ce peuple mutin, Et faire de ſes biens un tres-riche butin, Allons vaillans Heros par l’effort de nos armes, Etouffer les Auteurs qui cauſent ces allarmes;	Ma générosité, ma force, mon courage, Féra de ces Félons un horrible carnage, Il faut anéantir tout ce peuple mutin, Et faire de ses biens un très -riche butin, Allons vaillants Héros par l'effort de nos armes, Éouffer les Auteurs qui causent ces alarmes;
Soldats préparés vous, exercés des efforts, Capables d’étonner ies eiprits les plus forts, Une grande beauté tient mon ame enchaînée, Je le veux aquiter par un ſaint Himenée:	Soldats préparés -vous, exercez des efforts, Capables d'étonner jes éjprits les plus forts, Une grande beauté tient mon âme enchaînée, Je le veux aquitter par un saint Hyménée:
Mais afin que le Ciel favoriſe nos vœux, Faiſons un ſolemnel Sacrifice à nos Dieux.	Mais afin que le Ciel favorise nos vœux, Faisons un solennel Sacrifice à nos Dieux.
SCERDIII	SCERDII
BEINE, THEOPHILE, BLONDE, REINE.	BEINE, THÉOPHILE, BLONDE, REINE.
Dorable Soleil, Jeſus Dieu de mon ame, HQui me brûlés le cœur d’une ſi vive flâme, Vous êtes mon bon-heur, ma joïe & mon époux, Mon cœur veut s’attacher totallement à vous, Mes paroles, mes vœux, mes ſoûpirs & mes larmes, Sont cauſés par vos feux, vôtre amour & vos charVous me poſſedés trop, vôtre fidelité Imes, Me baille inceſſamment des gages de bonté:	Dorable Soleil, Jésus Dieu de mon âme, HQui me brûlés le cœur d'une si vive flamme, Vous êtes mon bonheur, ma jouie et mon époux, Mon cœur veut s'attacher totallement à vous, Mes paroles, mes vœux, mes soupirs et mes larmes, Sont causés par vos feux, votre amour et vos charUous me possédés trop, votre fidélité Imes, Me baille incessamment des gages de bonté:
O benin Redempteur, qui m’avés retirée, Du pouvoir des Démons, auſquels j’étois livrée, Aprés avoir dompté ces Dragons furieux, Vous m’apellés au ſort du Roïaume des Cieux;	Ô bénin Rédempteur, qui m'avez retirée, Du pouvoir des Démons, auxquels j'étais livrée, Après avoir dompté ces Dragons furieux, Vous m'appelés au sort du Roïaume des Cieux;
Vous avés diſſipé mes ténebres funeſtes, Eclairant mon eſprit des lumiéres céleſtes, Vous m’avés découvert vôtre grande beauté, Vôtre Nom, vôtre Gloire, & parfaite bonté, Vous avés retiré mon corps de turpitude, Et deſtiné mon ame à la beatitude, Vous avés partagé vos tréſors avec mr Me donnant vôtre cœur, vôtre amour Vous avés ſur mon front gravé le carac.	Vous avez dissipé mes ténebres funestes, Eclairant mon esprit des lumières célestes, Vous m'avez découvert votre grande beauté, Votre Nom, votre Gloire, et parfaite bonté, Vous avez retiré mon corps de turpitude, Et destiné mon âme à la béatitude, Vous avez partagé vos trésors avec mr Me donnant votre cœur, votre amour Vous avez sur mon front gravé le carac.
Coi, Qui m’a donné le droit de vous nommer monPere, Vous m’avés engendrée une ſeconde fois, Par le ſouffle ſacré de vôtre ſainte voix, Je ſuis de tous vos biens legitime heritiére, J’eſpére aſſûrément la joüiſſance entiere, De vôtre grand Empire & de vôtre beauté, Et de participer à la Divinité:	Coi, Qui m'a donné le droit de vous nommer monPère, Vous m'avez engendrée une seconde fois, Par le souffle sacré de votre sainte voix, Je suis de tous vos biens légitime héritière, J'espère assurément la jouissance entière, De votre grand Empire et de votre beauté, Et de participer à la Divinité:
O mille fois heureux le ſort qui ma fait naître, Pour aimer le vrai bien, & pour vous reconnoître, O ma chere Nourrice aide de mon bon-heur, De m’avoir procuré ce bien & cét honneur, Tu m’as fait baptiſer, tu m’as donſie la riu, Quand à l’ame & le corps tu m’as tres-bien ſervie,	Ô mille fois heureux le sort qui ma fait naître, Pour aimer le vrai bien, et pour vous reconnoître, Ô a chère Nourrice aide de mon bon-heur, De avoir procuré ce bien et cét honneur, Tu as fait baptiser, tu as donsie la , Quand âme et le corps tu as très-bien servie,
BLONDE.	BLONDE.
Reine j’ai rencontré le Tréſor de la Foi, Je ne l’ai point caché, vous le tenés de moi, je ne priſe ni l’or, ni les biens de ce monde, A l’égal du vrai Dieu ſur qui mon cœur ſe fonde.	Reine j'ai rencontré le Trésor de la Foi, Je ne l'ai point caché, vous le tenez de moi, je ne prise ni l'or, ni les biens de ce monde, À l'égal du vrai Dieu sur qui mon cœur se fonde.
THEOPHILE.	THÉOPHILE.
La bonté, la vertu, l’honneur, la vérité, Sont les beaux ornemens de la fidelité, Nos eſprits éclairés de plus hautes lumiéres, Sont capables de voir les vérités premiéres, L’unité d’un vrai Dieu, ſes attributs divins, La vanité du monde & nos derniéres fins, Et nôtre Redempteur de Dieu le Fils unique, Qui prit un corps humain d’une Vierge pudique, Qui nous a rachetés par le prix de ſon Sang, En ſoûfrant une mort indigne de ſon rang, La grande charité qu’il nous a fait paroître, Nous doit ravir le cœur & nous oblige d’être, Conſacrés à lui ſeul d'unrcerproqueumour, Déſireux de le voir dans l’Eternel ſéjour.	La bonté, la vertu, l'honneur, la vérité, Sont les beaux ornements de la fidélité, Nos esprits éclairés de plus hautes lumières, Sont capables de voir les vérités premières, L'unité d'un vrai Dieu, ses attributs divins, La vanité du monde et nos dernières fins, Et notre Rédempteur de Dieu le Fils unique, Qui prit un corps humain d'une Vierge pudique, Qui nous a rachetés par le prix de son Sang, En soûfrant une mort indigne de son rang, La grande charité qu'il nous a fait rire, Nous doit sa le cœur et nous oblige être, Consacrés a lui seul d'ire, Désireux de , voir dans mEternel séjour.
BLONDE.	BLONDE.
Cét amour du Sauveur pour qui l’ame bien née, Eſt dans ſes mouvemens ſaintement obſtinée, Fait qu’elle veut ſoûfrir dans la Croix aujourd’huï Pour regner à jamais dans le Ciel avec lui;	Cet amour du Sauveur pour qui l'âme bien née, Est dans ses mouvements saintement obstinée, Fait qu'elle veut souffrir dans la Croix aujourd'huir Pour régner à jamais dans le Ciel avec lui;
Les Saints ont mépriſé les biens & les délices, Et ſe ſont conſacrés à des ſaints exercices, Ils ſe ſont expoſés aux plus cruels tourments, La Croix fut le plus doux de leurs contentemens	Les Saints ont méprisé les biens et les délices, Et se sont consacrés à des saints exercices, Ils se sont exposés aux plus cruels tourments, La Croix fut le plus doux de leurs contentements
THEOPHILE.	THÉOPHILE.
O génereuſe mort!	Ô gênereuse mort!
qui donne la victoire, Et fait recompenſer une éternelle Gloire:	qui donne la victoire, Et fait récompenser une éternelle Gloire:
O deſirable mort!	Ô désirable mort!
qui dans un ſeul moment, Nous couronne & nous fait vivre éternellement:	qui dans un seul moment, Nous couronne et nous fait vivre éternellement:
REINE.	REINE.
Si j’avois du bon-heur autant que je deſire, obtiendrois de JESUS la palme de martire, L’amour que j’ai pour lui me la fait deſirer, Connoiſſant mes pechés je ne l’oſe eſpèrer, Indigne que je ſuis d’une gloire ſi grande, Mon corps eſt trop impur pour une telle offrande;	Si j'avais du bonheur autant que je désire, obtiendrais de JESUS la palme de martyre, L'amour que j'ai pour lui me la fait désirer, Connaissant mes péchés je ne l'ose espèrer, Indigne que je suis d'une gloire si grande, Mon corps est trop impur pour une telle offrande;
Mais je mourai plûtôt que de perdre mon Dieu, en veux faire un ſerment ſolemnel en ce lieu, Cependant ſi j’avois un homme pour m’inſtruire.	Mais je mourai plutôt que de perdre mon Dieu, en veux faire un serment solennel en ce lieu, Cependant si j'avais un homme pour m'instruire.
THEOPHILE.	THÉOPHILE.
Nous avons un Prélat auquel il faut écrire.	Nous avons un Prélat auquel il faut écrire.
REINE.	REINE.
Allés lui témoigner par des humbles reſpects, Que je veux mériter ſes aimables aſpects.	Allez lui témoigner par des humbles respects, Que je veux mériter ses aimables aspects.
TEOIEIT	TEOIEIT
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CHIDRD UDAMURTIS ORAMUSE, LUCILLE.	CHIDRD UDAMURTIS ORAMUSE, LUCILLE.
toute l’Armée.	toute l'Armée.
CLEMENT.	CLEMENT.
PRES avoir vielli ſi long-temps ſous les armes d Eye le puioi comol des loudumes allarmes, Dans les plus grãds hazards je ſuis ſorti vainqueur Je n’ai jamais ſoûfert deffaillance de cœur.	PRÈS avoir vielli si longtemps sous les armes dig Eye le puioi comol des loudumes alarmes, Dans les plus grands hasards je suis sorti vainqueur Je n'ai jamais souffert défaillance de cœur.
CARAUSE.	CARAUSE.
Heureuſe ocaſion d’exercer mon courage, En mettant dans les fers ce Saxon plein dé rage, Qui pour un juſte prix de ſa témerité, N’a loïer que la mort, où la captivité.	Heureuse ocasion d'exercer mon courage, En mettant dans les fers ce Saxon plein dé rage, Qui pour un juste prix de sa témerité, N'a loïer que la mort, où la captivité.
LUCILLE.	LUCILLE.
Je veux à vos soidats aprendre rexcreice, Et comme il faut agir d’extrement en malice, Aprenés combatans, braves enfans de Mars, Le moïen d’échaper dans les plus grands hazards.	Je veux à vos soidats apprendre rexcreice, Et comme il faut agir d'extrement en malice, Aprenez combattants, braves enfants de Mars, Le moïren d'échapper dans les plus grands hasards.
CLEMENT.	CLEMENT.
Saxon pour ſubjuguer ta malice enragée, Je mets nos eſcadrons en bataille rangée, C’eſt l’ordre qu’il nous faut tenir dans les combats Pour mettre au premier choe nos ennemis abas.	Saxon pour subjuguer ta malice enragée, Je mets nos escadrons en bataille rangée, C'est l'ordre qu'il nous faut tenir dans les combats Pour mettre au premier choeu nos ennemis abas.
SCENE II.	SCÈNE II.
ODAMAAIEMEIEEMACMMADES.	ODAMAIEMEIEMACMMADES.
OLIBRE.	OLIBRE.
E connois ô Clement ta géneroſité, La grandeur de ton cœur, & ta fidelité, e veux que dans ma Cour tu ſois le premier Prince, ieutenant Géneral dans toute la Province.	E connais ô Clément ta générosité, La grandeur de ton cœur, et ta fidélité, eu veux que dans ma Cour tu sois le premier Prince, jeutenant Général dans toute la Province.
a uaiua la le.	a aiva la le.
Toute ſorte de droits m’oblige aſſurément, De ſervir & d’aimer Olibre uniquement.	Toute sorte de droits m'oblige assurément, De servir et d'aimer Olibre uniquement.
OLIBRE.	OLIBRE.
Je ne t’aime pas ſeul, j’aime auſſi ta famille, Chacun me dit du bien de ta petite fille, I’eſtime ſon mérite, & j’aime ſa beauté, Sa grace, ſa ſageſſe, & ſa pudicité, nte puis Je pas la von e	Je ne t'aime pas seul, j'aime aussi ta famille, Chacun me dit du bien de ta petite fille, J'estime son mérite, et j'aime sa beauté, Sa grâce, sa sagesse, et sa pudicité, nte puis -je pas la von e
CLEMENT.	CLEMENT.
Oüi Seigneur à ce jour, Par mon ordre elle doit venir faire ſa Cour.	Oui Seigneur à ce jour, Par mon ordre elle doit venir faire sa Cour.
OLIBRE.	OLIBRE.
le ſens que mes eſprits ſont pleins d’émotions, Mon cœur eſt agité de palpitations, le n’oſe me tourner du côté de ſes charmes, Tout-beau r’aſſurons nousdans cesdouces alarmes.	le sens que mes esprits sont pleins d'émotions, Mon cœur est agité de palpitations, le n'ose me tourner du côté de ses charmes, Tout-beau rassurons nousdans cesdouces alarmes.
SCENE III.	SCÈNE III.
OLIBRE, REINE, CLEMENT, THEOPHILE, BLONDE, GARDES.	OLIBRE, REINE, CLEMENT, THÉOPHILE, BLONDE, GARDES.
OLIBRE.	OLIBRE.
Prochés ma Princeſſe & l’aimable Soleil, LAQui dans tout l’Univers n’avés point de pareil Je vous ai jour & nuit preſente en ma penſée, Vôtre Image en mon cœur eſt vivement tracée:	Prochez ma Princesse et l'aimable Soleil, LAnui dans tout l'Univers n'avez point de pareil Je vous ai jour et nuit présente en ma pensée, Votre Image en mon cœur est vivement tracée:
Venés aſtre Divin apaiſer cét ardeur, Que vos brillans raïons allument dans mon cœur, Je déſire ardemment le bien de vôtre grace, da allezicer luipece de votre ceusalce seenu;	Venez astre Divin apaiser cet ardeur, Que vos brillants raïons allument dans mon cœur, Je désire ardemment le bien de votre grâce, da allezicer luipèce de votre ceusalce seenu;
Recevés tout l’honneur & le contentement, Que peut faire eſpérer un tres-fidel amant.	Recevez tout l'honneur et le contentement, Que peut faire espérer un très-fidel amant.
REINE.	REINE.
Seigneur, tous mes reſpects, & mon obeïſſance, Dépendentmoinsde moi que d’une autre puiſſance y uuis dil grana amour à mon Pere Clement, Je n’ai d’autre déſir que ſon commandement, A vôtre bon plaiſir jé ne ſuis refractaire, Si la Foi du vrai Dieu m’ordonne le contraire.	Seigneur, tous mes respects, et mon obéissance, Dépendentmoinsde moi que dune autre puissance y uuis grana amour mo Pere Clement, Je ai que désir ' un commandement, A vôtre bon plaisir ne suis réfractaire, Si a Foi du vrai Dieu ordonne le y.
OLIBRE.	OLIBRE.
Reine tous ſes diſcours ſont pleins d’honnêteté, Des marques de candeur & de civilité, Des traits d’humilité, des ſignes de ſageſſe, Qui ſe font mériter l’effet de ma tendreſſe, Je jure ſur ma foi que je n’ai de déſir, Que pour te rendre riche, & te faire plaiſir, Accepte ce preſent comme un vrai témoignage, Que je veux contracter avec toi Mariage, Afin qu’étans unis par des vœux innocens, Nous puiſſions a nos Dieux preſenter de rencens.	Reine tous ses discours sont pleins d'honnêteté, Des marques de candeur et de civilité, Des traits d'humilité, des signes de sagesse, Qui se font mériter l'effet de ma tendresse, Je jure sur ma faite que je n'ai de désir, Que pour te rendre riche, et te faire plaisir, Accepte ce présent comme un vrai témoignage, Que je veux contracter avec toi Mariage, Afin qu'étant unis par des vœux innocents, Nous puissions à nos Dieux présenter de rencens.
REINE.	REINE.
Ah!	Ah!
Prince vôtre amour n’eſt pas bien légitime, Je n’y puis conſentir non plus qu’à vôtre crime, Ie ſuis toute à JESUS plus aimable que vous, Je ne veuxpoint changer ni prendre d’autre époux Et bien moins preſenter d’infames Sacrifices, Aux Dieux qui ne ſont point, ſi ce n’eſt en caprice, Ce ſont des incenſés, des figures de bois, Qui n’ont ni mouvement, ni ſentiment ni, voix, Des infames Démons toûjours dans la furie, Qui ſe font adorer d’un culte de latrie, Des ennemis de Dieu condamnés aux Enfers, Bannis du Firmament detenus dans les lers, J’adore le vrai Dieu qui ſeul eſt adorable, Jeſus le Roi du Ciel mon Sauveur tant aimable.	Prince votre amour n'est pas bien légitime, Je n'y puis consentir non plus qu'à votre crime, Je suis toute à JÉSUS plus aimable que vous, Je ne veuxpoint changer ni prendre d'autre époux Et bien moins présenter d'infâmes Sacrifices, Aux Dieux qui ne sont point, si ce n'est en caprice, Ce sont des incensez, des figures de bois, Qui n'ont ni mouvement, ni sentiment ni, voix, Des infâmes Démons toujours dans la furie, Qui se font adorer d'un culte de latrie, Des ennemis de Dieu condamnez aux Enfers, Bannis du Firmament es dans les lers, adore le vrai Au qui seul est adorable, Jesus le Roi du Ciel m Sauveur tant de.
OLIBRE.	OLIBRE.
O méchante parole!	Ô méchante parole!
qu’eſt-ce ce que j’entens?	qu'est-ce ce que j'entends?
Je ne puis écoûter ce diſcours plus long-temps, Mon eſprit eſt ſurpris de cette effronterie, Et ſe ſent tranſporté de certaine furie, Le reſpect de nos Dieux porte ma paſſion, A changer mon amour en indignation:	Je ne puis écouter ce discours plus longtemps, Mon esprit est surpris de cette effronterie, Et se sent transporté de certaine furie, Le respect de nos Dieux est ma passion, A changer mon amour en indignation:
Ce diſcours impudent, cette noire malice, Eſt digne de ſubir un rigoureux ſuplice, Je reſuë & ne croi pas qu’un eſprit ſi parfait, Puiſſe être l’inſtrument d’un ſi lâche forfait.	Ce discours impudent, cette noire malice, Est digne de subir un rigoureux suplice, Je résue et ne crois pas qu'un esprit si parfait, Puisse être l'instrument d'un si lâche forfait.
REINE.	REINE.
ai toûjours mépriſé les biens & les délices, l’ai conſacré mon cœur à des ſaints exercices, le renonce à vos Dieux tous pleins d’impureté, Midignes des ſoſſleurs de la Divinité.	ai toujours méprisé les biens et les délices, l'ai consacré mon cœur a des saints exercices, le renonce à vos Dieux tous pleins d'impreté, Midignes des sossleurs de la Divinité.
OLIBRE.	OLIBRE.
Je n’aurois jamais crû, qu’une lâcheté telle, Peuſſe trouver lieu, dans une ame ſi belle, Souverains Protecteurs de l’Empire Romain, Pouvès vous écouter le diſcours inhumain:	Je n'aurais jamais cru, qu'une lâcheté telle, Pusse trouver lieu, dans une âme si belle, Souverains Protecteurs de l'Empire Romain, Pouvès vous écouter le discours inhumain:
O!	Ô!
grand Dieu Jupiter, par ta haute puiſſance, Mets le Ciel tout en feu pour venger cette offence O!	grand Dieu Jupiter, par ta haute puissance, Mets le Ciel tout en feu pour venger cette offense Ô!
ingrate Beauté, tu ne mérite pas, Que je ſois plus long-temps charmé de tes apas;	ingrate Beauté, tu ne mérite pas, Que je sois plus longtemps charmé de tes appas;
Eſt-ce le ſentiment d’une amour réciproque, Pour change de mes feux par tout elle me choque Je vous prie humblemẽt, ô grands Dieux immortels Les deux genoux à bas devant vos ſaints Autels, Changés les ſentimens de cette ame obſtinée, Faites-moi parvenir à ſon doux Himenée;	Est-ce le sentiment d'une amour réciproque, Pour change de mes feux par tout elle me choque Je vous prie humblement, ô grands Dieux immortels Les deux genoux à bas devant vos saints Autels, Changez les sentiments de cette âme obstinée, Faites-moi parvenir à son doux Hyménée;
Et toi grand favori, magnanime Clement, Peux-tu voir mon eſprit ſoûfrir un tel tourment, Ennemi de nos Dieux, helas!	Et toi grand favori, magnanime Clément, Peux-tu voir mon esprit souffrir un tel tourment, Ennemi de nos Dieux, hélas!
mal-heureux Pere, Oſes-tu dans ton ſein nourir un tel vipére, Qu’elle confuſion, de voir que ton enfant, Tombe dans une Erreur indigne de ſon rang, Cette obſtination de ma fille m’afflige, Je la rengerai bien, mais la guerre m’oblige, De courir promptement au devant du Saxon, En ſuite je prendrai le temps & la ſaiſon.	malheureux Père, Oses-tu dans ton sein nourir un tel vipère, Qu'elle confusion, de voir que ton enfant, Tombe dans une Erreur indigne de son rang, Cette obstination de ma fille m'afflige, Je la rengerai bien, mais la guerre m'oblige, De courir promptement au devant du Saxon, En suite je prendrai le temps et la saison.
SCENE IV.	SCÈNE IV.
CLEMENT, REINE, THEOPHILE, BLONDE.	CLEMENT, REINE, THÉOPHILE, BLONDE.
FELIA, TERSE.	FELIA, TERSE.
CLEMENT.	CLEMENT.
A fille ô qu’eſt-ce ci, que venès vous de faire?	À fille ô qu'est-ce cy, que venez vous de faire?
IVIAh!	IVIAh!
vous parlés bien mal, il vaudroit mieux vous taire, Vous blaſphêmés les Dieux d’un diſcours imprudent, Sans craindre d’offencer Olibre Préſident, Cét Auguſte Seigneur qui n’a que des tendreſſes, Qui nous comble d’honneur, de biens & de richeſſes De qui dépend ma vie & ma proſperité, Qui promet tant de gloire à ma poſterité, Effacés ce peché par humble repentance, Recherchés les moïens de purger cette offence, Vous devés renoncer à la Religion, Qui révere Jeſus par ſuperſtition, Et que dés à preſent pour effacer le crime, Vous offriés à Venus une ſainte victime,	vous parlez bien mal, il vaudrait mieux vous taire, Vous blasphêmés les Dieux d'un discours imprudent, Sans craindre d'offenser Olibre Président, Cet Auguste Seigneur qui n'a que des tendresses, Qui nous comble d'honneur, de biens et de richesses Qui De dépend ma vie et ma prospérité, Qui promet tant de gloire à ma postérité, Éffacez ce péché par humble repentance, Recherchez les moïens de purger cette offense, Vous devez renoncer à la Religion, Qui révère Jésus par superstition, Et que d' à présent pour effacer le crime, Vous offriés Venus une sainte victime,
REINE.	REINE.
Je veux vivre & mourir ſouple à vos volontés, Remarqués vous en moi des incivilités, Ce n’eſt pas mon deſſein, mon tres-honoré Pere, D’atirer ſur mon front vôtre juſte colére, aime la verité, je déteſte l’erreur, Le culte des Démons me fait frem ir d’horreur, Ie cheris le vrai Dieu beaucoup plusque moi même, Vous ne pouvés donc point m’acuſerde blaſphême.	Je veux vivre et mourir souple à vos volontés, Remarquez -vous en moi des incivilités, Ce n'est pas mon dessein, mon très-honoré Père, D'atirer sur mon front votre juste colère, aime la vérité, je déteste l'erreur, Le culte des Démons me fait frém ir d'horreur, Je chéris le vrai Dieu beaucoup plusque moi -même, Vous ne pouvez donc point m'acuserde blâme.
CLEMENT.	CLEMENT.
O ma fille aujourd’hui r’apelle tes eſprits, Qui d’un faux ſentiment paroiſſent ſi ſurpris, Helas!	Ô ma fille aujourd'hui rappelle tes esprits, Qui d'un faux sentiment paraissent si surpris, Hélas!
te voudrois-tu déclarer ennemie, D’un pere à qui tu dois & le corps & la vie, Quitte ces ſentimens d’un eſprit criminel, Et ne rebute point cét avis paternel.	te voudrais-tu déclarer ennemie, D'un père à qui tu dois et le corps et la vie, Quitte ces sentiments d'un esprit criminel, Et ne rebute point cet avis paternel.
REINE.	REINE.
