GALATEE.	GALATE.
Digne Fils de ce Conquerant, Que ne quittent jamais Minerve & la Victoire, Tu vois par les reſpects que l’Univers lui rend Le prix de ſes travaux & l’éclat de ſa gloire;	Digne Fils de ce Conquérant, Que ne quittent jamais Minerve et la Victoire, Tu vois par les respects que l'Univers lui rend Le prix de ses travaux et l'éclat de sa gloire;
Tu vois ſes Enemis à ſes pieds abatus, Tu joüis des exploirs de ſa main criomphante, Tâche de l’imiter;	Tu vois ses Énemis à ses pieds abattus, Tu jouis des exploirs de sa main criomphante, Tâche de l'imiter;
Sans ceſſe il te preſente Un exemple parfait de toutes les Vertus.	Sans cesse il te présente Un exemple parfait de toutes les Vertus.
Vous, habitans de ce ſejour aimable, Redoublez vôtre empreſſement, Gardez vous de perdre un moment L’un tems ſi favorable.	Vous, habitants de ce séjour aimable, Redoublez votre empressement, Gardez vous de perdre un moment L'un temps si favorable.
COMUS.	COMUS.
Apollon flate nds vœux D’un ſuccés heureux, Nous connoiſſons ſa puiſſance, Il remplira nôtre eſperauce.	Apollon flatte néds vœux D'un succès heureux, Nous connaissons sa puissance, Il remplira notre espérauce.
B 3	 3
LE CHOEUR.	LE CHOEUR.
Apollon flate nos vœux D’un ſuccez heureux, Nous connoiſlons ſa pniſſance, Il remplira nôtre eſperance.	Apollon flatte nos vœux D'un succès heureux, Nous connoislons sa pénissance, Il remplira notre espérance.
Fin du Prologue.	Fin du Prologue.
ACTETRS.	ACTETRS.
ACIS, Berger, Amant de Galatée.	ACIS, Berger, Amant de Galatée.
GALATE’E, Nimphe de la Mer, fillè de Nerée & de Doris.	GALATÉ, Nymphe de la Mer, fillèle de Nerée et de Doris.
POLIPHEME, Geant, fils de Neptune, & Amant de Galatée.	POLIPHÉME, Géant, fils de Neptune, et Amant de Galatée.
Suite de Polip heme.	Suite de Polip heme.
TELEME, Berger, Amant de Scylla.	TELEME, Berger, Amant de Scylla.
SCYLLA, Bergere, Amie de Galatée.	SCILLA, Bergère, Amie de Galatée.
TIRCIS, Berger, Amant d’Aminte.	TIRCIS, Berger, Amant d'Aminte.
AMINTE, Bergere.	AMINTE, Bergère.
Chœur de Bergers & de Bergeres.	Chœur de Bergers et de Bergères.
Un Prêtre de Junon.	Un Prêtre de Junon.
Suite du Prêtre de Junon.	Suite du Prêtre de Junon.
NEPTUNE.	NEPTUNE.
Suité de Neptune.	Suité de Neptune.
Chœur des Dieux Marins, de Fleuves & de Nayades.	Chœur des Dieux Marins, de Fleuves et de Nayades.
4I A I S ET GALATEE.	4I A I S ET GALATE.
Paſtorale Heroïque.	Pastorale Héroïque.
ACTE I.	ACTE I.
Le Theatre repreſente le Rivage de la Mer de Sicile, dans l’endroit le plus agreable de l’iſle.	Le Théâtre représente le Rivage de la Mer de Sicile, dans l'endroit le plus agréable de l'isle.
La Terre y paroit ornée de toutes ſortes de fleurs.	La Terre y parait ornée de toutes sortes de fleurs.
On y void auſſi quelques bois d’une verdure charmante.	On y voit aussi quelques bois d'une verdure charmante.
SCENE I.	SCÈNE I.
ACIS ſeul.	ÀCIS seul.
n’Eſt en vain qu’en ces lieux j’ai devancé l’Aurore:	n'Est en vain qu'en ces lieux j'ai devancé l'Aurore:
Helas!	Hélas!
je ne vois point la Reauté que j’adore:	je ne vois point la Reauté que j'adore:
La mer qui la cache à mes yeux, Se plait à renfermer ce treſor precieux.	La mer qui la cache à mes yeux, Se plaît à renfermer ce trésor précieux.
Je fais par tout voler le nom de Galatée, Ie le repete mille fois, Je l’aprens aux Echos, aux Oiſeaux de ce Bois, Loin de moi cependant trop long-tems arrêcée Seule elle ſemble ici méconnoître ma voix.	Je fais par tout voler le nom de Galatée, Je le répète mille fois, Je l'apprends aux Échos, aux Oiseaux de ce Bois, Loin de moi cependant trop longtemps arrêcée Seule elle semble ici méconnaître ma voix.
SCENE II.	SCÈNE II.
ACIS, TELEME.	ACIS, TÉLEME.
TELEME.	TELEME.
Vj Ous n’êtes pas le ſeul de qui la voix plain8 tive Se fait entendre en ces lieux chaque jour, Une beauté cruelle, un malheureux amour, M’ameine auſſi ſur cette rive.	Véj Us n'êtes pas le seul de qui la voix plain8 tive Se fait entendre en ces lieux chaque jour, Une beauté cruelle, un malheureux amour, M'amène aussi sur cette rive.
ACIS.	ACIS.
Pouvez:	Pouvez:
vous comparer vos maux à mes male heurs:	vous comparer vos maux à mes male heurs:
Ie ſuis mortel:	Je suis mortel:
l'adore une Déeſſe.	l'adore une Déesse.
Quelle ſource pour moi d’éternelles douleurs!	Quelle source pour moi d'éternelles douleurs!
Ie n’oſe qu’en tremblant exprimer ma tendreſſe, Et ſouvent en ſecret je devore mes pleurs,	Je n'ose qu'en tremblant exprimer ma tendresse, Et souvent en secret je dévore mes pleurs,
TELEME.	TELEME.
Aeis détrompez, vous, Eſperez un deſtin plus doux, Vous ne pouſſerez point de ſoûpirs inutiles, Aprés vos longs chagrins, la joie aura ſon tour;	Aeis détrompez, vous, Espérez un destin plus doux, Vous ne pousserez point de soupirs inutiles, Après vos longs chagrins, la joie aura son tour;
Les Déeſſes en amour :	Les Déesses en amour :
Ne ſont pas les plus dificiles.	Ne sont pas les plus diiciles.
Helas!	Hélas!
que n’en eſt-il de même Du malheureux Teleme?	que n'en est-il de même Du malheureux Teleme?
La charmante Scylla, l’honneur de nos Hameaux, Me fait gémir ſous le poids de ſa chaîne, Et la rigueur de l’inhumaine Chãge en hivers tous mes jours les plus beaux.	La charmante Scylla, l'honneur de nos Hameaux, Me fait gémir sous le poids de sa chaîne, Et la rigueur de l'inhumaine Chãge en hivers tous mes jours les plus beaux.
ACIS.	ACIS.
Que d’un cœur mépriſé l’état eſt déplorable!	Que d'un cœur méprisé l'état est déplorable!
TELEME.	TELEME.
Qu’une ingrate Beauté fait ſoufrir ſous ſa loi !	Qu'une ingrate Beauté fait souffrir sous sa lois !
ACIS, TELEME.	ACIS, TÉLEME.
Ah!	Ah!
je ſuccombe au tourment qui m’acable, Peut-on ſans eſperance aimer autant que moi,	je succombe au tourment qui m'acable, Peut-on sans espérance aimer autant que moi,
TELEME.	TELEME.
Vous atendez ici l’objet qui vous engage, Vous le verrez bien tôt paroître ſur ces bords.	Vous atendez ici l'objet qui vous engage, Vous le verrez bien tôt paraître sur ces bords.
Je vais chercher Seilla dans ce prochain bocage, J’ai déja trop contraint ma flâme & mes tranſports.	Je vais chercher Seilla dans ce prochain bocage, J'ai déjà trop contraint ma flamme et mes transports.
ACIS ſeul.	ÀCIS seul.
Audra-t’il encore vous atendre Triere Beauté qui regnez dans mon cœur, Venez par un regard ſoulager ma langueur, Songez que d’un moment mes jours peuvent dependre Mes cris ne ſauroient vous toucher.	Audra-t-il encore vous atendre Trière Beauté qui régnez dans mon cœur, Venez par un regard soulager ma langueur, Songez que d'un moment mes jours peuvent dépendre Mes cris ne sauraient vous toucher.
Si le recit de ma peine, Si ma mort preſque certaine Du fond des flots ne peut vous arracher.	Si le récit de ma peine, Si ma mort presque certaine Du fond des flots ne peut vous arracher.
Venez joüir du moins ſur ce rivage De tout ce que la Terre a de charmans apas.	Venez jouir du moins sur ce rivage De tout ce que la Terre a de charmands appas.
Les fleurs y naîtront ſous vos pas.	Les fleurs y naîtront sous vos pas.
Jamais leur riche émail n’éclata davantage.	Jamais leur riche émail n'éclata davantage.
Vous ne paroiſſez point, qui peut vous retenir.	Vous ne paraissez point, qui peut vous retenir.
Peut-être quelque Dieu de la Cour de Neptune Cauſe t’il ſeul mon inſortune,  Ah !	Peut-être quelque Dieu de la Cour de Neptune Causse t'il seul mon insortune, Ah !
će ſeroit grõp me punir:	Que serait grombe me punir:
Dieux?	Dieux?
mais mon trouble ceſſe, & je la voi venir.	mais mon trouble cesse, et je la voi venir.
CENE VV ACIS, GALATE’E.	CÈNE VV ACIS, GALATE'E.
GALAT E’E.	GALÂT E'E.
Ai crû trouver ici la Nimphe qui m’eſt chere I le vais lui reprocher ſon peu d’emoreſſement.	Ai crû trouver ici la Nymphe qui m'est chère I le vais lui reprocher son peu d'emoressement.
B5	B5
ACIS.	ACIS.
Sans cette Nimphe, helas!	Sans cette Nymphe, hélas!
ce rivage charmant N’a-t-il rien qui puiſſe vous plaire?	ce rivage charmant N'a-t-il rien qui puisse vous plaire?
GALATE’E.	GALATÉE.
Te ſuis ſenſible aux charmes de ces lieux, Mais ma joie eût été plus grande Si ce rivage eût ofert à mes yeux Ls Nimphe que je demande.	Te suis sensible aux charmes de ces lieux, Mais ma joie eût été plus grande Si ce rivage eût offert à mes yeux L Ymphe que je demande.
ACIS.	ACIS.
Ah!	Ah!
ſi vous connoiſſez par la ſeule amitié Les ennuis que l’abſence cauſe, N’aurez-vous point quelque pitié Des courmens où l’Amour m’expoſe?	si vous connaissez par la seule amitié Les ennuis que l'absence cause, N'aurez-vous point quelque pitié Des courments où l'Amour m'expose?
GALTAE’E.	GALTAE'E.
Finiſſez ce diſcours:	Finissez ce discours:
Ne pouvez-vous parler Que de votre tendreſſe?	Ne pouvez-vous parler Que de votre tendresse?
ACIS.	ACIS.
Helas!	Hélas!
un ſeul moment peut-on diſſimuler Des peines qu’on ſoufre ſans ceſſe?	un seul moment peut-on dissimuler Des peines qu'on souffre sans cesse?
Pourquoi me voulez vous forcer à vous celer.	Pourquoi me voulez -vous forcer à vous celer.
La douleur qui me preſſe?	La douleur qui me presse?
Cherchez vous à la redoubler?	Cherchez -vous à la redoubler?
GALATE’E.	GALATÉE.
V regret je vous entens plaindre:	V regret je vous entends plaindre:
D’un mal que je ne puis guerir, Etoufez un amour qui vous fait trop ſoufrir, Vous n’aurez plus à vous contraindre.	D'un mal que je ne puis guérir, Étouffez un amour qui vous fait trop souffrir, Vous n'aurez plus à vous contraindre.
ACHS.	ACHÊ.
Ah!	Ah!
vous me haïſſz, je n’en ſaurois douter, Par cet ordre cruel vôtre haine s’explique.	vous me haïssiez, je n'en saurais douter, Par cet ordre cruel votre haine s'explique.
GALATE’E.	GALATÉE.
Suſpendez vos regrets pour me laiſſer goûter L’heureuſe paix de ce ſejour ruſtique, J’y vens avec plaiſir, tout y charme mes yeux, J’y vois les champs parez de mille fleurs que j’aime;	Suspendez vos regrets pour me laisser goûter L'heureuse paix de ce séjour rustique, J'y vents avec plaisir, tout y charme mes yeux, J'y vois les champs parez de mille fleurs que j'aime;
Enfin le doux panchant qui m’atire en ces lieuz L’emporte ſur l’horreur extrême D’y rencontrer un Geant odieux.	Enfin le doux penchant qui m'atire en ces lieuz L'emporte sur l'horreur extrême D'y rencontrer un Geant odieux.
CENE V.	CÈNE V.
ACIS, GALATE’E, SCYLLA, TELEME.	ACIS, GALATE, SCILLA, TELELEME.
SCYLLA.	SCILLA.
Uoi!	Uoi!
m’arrêterez-vous en depit de moi même?	m'arrêterez-vous en dépit de moi -même?
TELEME.	TELEME.
Que me ſervent ces ſoins que mon cœur prend pour vous?	Que me servent ces soins que mon cœur prend pour vous?
Mon fort en eſt-il plus doux?	Mon fort en est-il plus doux?
Helas !	Hélas !
plus je vous aime, Plus mon amour aigrit vôtre courroux.	plus je vous aime, Plus mon amour aigrit votre courroux.
ACIS.	ACIS.
O Ciel!	Ô Ciel!
quel deſtin eſt le nôtre?	quel destin est le nôtre?
TELEME.	TELEME.
Quel eſt le ſuccez de nos vœux?	Quel est le succès de nos vœux?
ACIS, TELEME.	ACIS, TÉLEME.
Serons.	Serons.
nous toujours l’un & l’autre Les plus tendres Amans & les plus malheureux?	nous toujours l'un et l'autre Les plus tendres Amants et les plus malheureux?
GALATE’E.	GALATÉE.
Nous cauſe trop de contrainte Sait peu l’art de nous charmer!	Nous cause trop de contrainte Sait pu l'art de nous charmer!
Loin de plaire, il embaraſſe, Et ne ſauroit quoi qu’il faſſe, Nous engager à l’aimer.	Loin de plaire, il embarrasse, Et ne saurait quoi qu'il fasse, Nous engager à l'aimer.
SCYLLA.	SCILLA.
Un Amant que l’on dédaigne Doit cauſer peu d’embarras, Et qu’importe qu’il ſe plaigne, Si on ne l’écoute pas?	Un Amant que l'on dédaigne Doit causer peu d'embarras, Et qu'importe qu'il se plaigne, Si on ne l'écoute pas?
L’on entend un Concert de Flûtés.	L'on entend un Concert de Flûtés.
SCYLLA.	SCILLA.
Mais quels concerts ſe font entendre?	Mais quels concerts se font entendre?
GALATE’E.	GALATÉE.
Quelle troupe paroît, & s’aproche de nous?	Quelle troupe paraît, et s'approche de nous?
ACIS.	ACIS.
Ce ſont des Cœurs unis par l’amour le plus tendre, Des Cœurs libres de ſoins & de ſoupçons jaloux;	Ce sont des Cœurs unis par l'amour le plus tendre, Des Cœurs libres de soins et de soupçons jaloux;
Tous leurs jours ſont charmans, & tous leurs momens doux, Ecoutez leurs chanſons, & vous pourrez aprendre Si leurs plaiſirs n’ont-rien d’agreable pour vous,	Tous leurs jours sont charmants, et tous leurs moments doux, Écoutez leurs chansons, et vous pourrez apprendre Si leurs plaisirs n'ont-rien d'agréable pour vous,
CENE VI.	CÈNE VI.
ACIS, GALATE’E, TELEME ;	ACIS, GALATE, TELEME ;
SCYLLA, AMINTE, TIRCIS, Troupe de Bergers & de Bergeres.	SCILLA, AMINTE, TIRCIS, Troupe de Bergers et de Bergères.
TIRCIS, AMINTE.	TIRCIS, AMINTE.
Ue l’Amour qui nous enchaîne OFlate nos tendres deſirs!	Que l'Amour qui nous enchaîne OFlate nos tendres désirs!
LE CHOEUR.	LE CHOEUR.
Goutons les, plus doux plaiſirs, Ils viennent s’ofrir ſans peine, Et pour paier nos ſoupirs, Chaque jour nous les rameine.	Goutons -les, plus doux plaisirs, Ils viennent s'ofrir sans peine, Et pour payer nos soupirs, Chaque jour nous les ramène.
TIRCIS2 AMINTE.	TIRCIS2 AMINTE.
Que l’Amour qui nous enchaîne e Flate nos tendres deſirs!	Que l'Amour qui nous enchaîne é Late nos tendres désirs!
TIRC.	TIRC.
S.	S.
Que mon cœur eſt charmé!	Que mon cœur est charmé!
AMINTE.	AMINTE.
Que mon ame eſt contente!	Que mon âme est contente!
TIRCIS.	TIRCIS.
Je ne puis exprimer la douceur qui m’enchante.	Je ne puis exprimer la douceur qui m'enchante.
AMINTE.	AMINTE.
Sans l’ardeur de nos feux Serions-nous heureux?	Sans l'ardeur de nos feux Serions-nous heureux?
TIRCIS, AMINTESRedoublons ſans ceſſeNôtre tendreſſe.	TIRCIS, AMINTESRédoublons sans cesseNôtre tendresse.
LE CHOEUR.	LE CHOEUR.
Redoublons ſans ceſſe Nôtre tendreſſe.	Redoublons sans cesse Notre tendresse.
AMINTES.	AMINTES.
Former les mêmes deſirs, Vivre:	Former les mêmes désirs, Vivre:
l’un pour l’autre, i Sentir de nouveaux plaiſits, Voila quel ſort eſt le nôtre.	l'un pour l'autre, j' Sentir de nouveaux plaisits, Voilà quel sort est le nôtre.
TIRCIS.	TIRCIS.
L'amour dans ces beaux lieux nous a tous raſſemblez, Celebrons les faveurs dont il nous a comblez.	L'amour dans ces beaux lieux nous a tous rassemblés, Célébrons les faveurs dont il nous a comblés.
LE CCHOEUR.	LE CCHOUR.
L’amout dans ces beaux lieux nous a tous ral ſemblez, Celebrons les faveurs dont il nous a comblez.	L'amout dans ces beaux lieux nous a tous ral semblés, Célébrons les faveurs dont il nous a comblés.
AMINTE.	AMINTE.
Que les plus galantes Fêtes Parmi nous ſoient toujours prêtes :	Que les plus galantes Fêtes Parmi nous soient toujours prêtes :
Qu'au bruic de nos chanſons la plus fiere beauté:	Qu'au bruic de nos chansons la plus fière beauté:
Ne puiſſe un ſeul moment garder ſa liberté.	Ne puisse un seul moment garder sa liberté.
LE CHOEUR.	LE CHOEUR.
Que les plus galantes Fêtes Parmi nous ſoient toujours prêtes:	Que les plus galantes Fêtes Parmi nous soient toujours prêtes:
Qu’au bruit de nos chanſons la plus fiere beauté Ne puïſſe uu ſeul moment garder ſa liberté.	Qu'au bruit de nos chansons la plus fière beauté Ne puisse u seul moment garder sa liberté.
Les concerts des Bergers ſont interrompus par un bruit barbare.	Les concerts des Bergers sont interrompus par un bruit barbare.
SCYLLA.	SCILLA.
Le fier Polipheme s’avance, Bergers, éloignez-vous, C’eſt aſſez de ſa preſence Pour changer en chagrins les plaiſirs les plus doux.	Le fier Polipheme s'avance, Bergers, éloignez-vous, C'est assez de sa présence Pour changer en chagrins les plaisirs les plus doux.
SCENE VII.	SCÈNE VII.
POLIPHEME ſiul.	POLIPHÉME siul.
E regarde par tout, & ma recherche eſt vaine, l Ces Nimphes, ces Bergers, que ſont-ils devenus, Se peut-il qu’en ces lieux je ne les trouve plus?	E regarde par tout, et ma recherche est vaine, Ces Nymphes, ces Bergers, que sont-ils devenus, Se peut-il qu'en ces lieux je ne les trouve plus?
Le ſoin de m’éviter dans ces bois les entraîne?	Le soin de m'éviter dans ces bois les entraîne?
Où pretendent-ils ſe cacher?	Où prétendent-ils se cacher?
Connoiſſent-ils bien Poliphéme, Eſt-il quelque antre afreux où ma fureur eztrême Ne-les aille chercher, Alons, courons punir leur fuite.	Connaissent-ils bien Polipheme, Est-il quelque antre afreux où ma fureur eztrême Ne-les aille chercher, Alons, courons punir leur fuite.
Mais je vois Galatée, & mon ame interdite Perd toute ſa fureur:	Mais je vois Galatée, et mon âme interdite Perd toute sa fureur:
Ie me ſens agité de trouble & de terreur.	Je me sens agité de trouble et de terreur.
CENE VIII.	CÈNE VIII.
POLIPHEME, GALATE’E.	POLIPHÉME, GALATÉTÉE.
POLIPHEME.	POLIPHÉME.
Ue tardons nous?	Que tardons nous?
parlons de l’ardeur qui  m'anime, Eſt-ce à moi de trembler, Si d’un cruel amour je deviens la victime, Qui pourroit me contraindre à le diſſimuler ?	parlons de l'ardeur qui m'anime, Est-ce à moi de trembler, Si d'un cruel amour je deviens la victime, Qui pourrait me contraindre à le dissimuler ?
Vous voiez, charmante Deeſſe, Un Amant que vos yeux ont ſoumis à vos loix, I'ignorois le pouvoir de ce Dieu qui me bleſſe, Ie l’éprouve aujourd’hui pour la premiere fois.	Vous voyez, charmante Déesse, Un Amant que vos yeux ont soumis à vos lois, J'ignorais le pouvoir de ce Dieu qui me blesse, Je l'éprouve aujourd'hui pour la première fois.
GALATE’E.	GALATÉE.
Que dites-vous?	Que dites-vous?
puis-je vous croire?	puis-je vous croire?
Je vous fais connoître l’Amour?	Je vous fais connaître l'Amour?
POIIPHEME.	POIPHÉME.
Peut-être avant la fin du jour, Vous aplaudirez-vous d’une telle victoire?	Peut-être avant la fin du jour, Vous applaudirez-vous d'une telle victoire?
Tout ce que vous voiez reconnoit mon pouvoir.	Tout ce que vous voyez reconnaît mon pouvoir.
Le Dieu des Eaux m’a donné la naiſſance, Si vous y conſentez je puis vous faire voir Mes richeſſes & ma puiſſance :	Le Dieu des Eaux m'a donné la naissance, Si vous y consentez je puis vous faire voir Mes richesses et ma puissance :
Je veux que tous les cœurs qui vivent ſous ma loi Viennent vous rendre hommage, Leur zele parlera pour moi.	Je veux que tous les cœurs qui vivent sous ma lois Viennent vous rendre hommage, Leur zèle parlera pour moi.
Aprouvez-vous ces ſoins où mon amour m’enge?	Approuvez-vous ces soins où mon amour m'enge?
GAEATE’E.	GAEATÉE.
Je ne condamne point ce deſſein genereux.	Je ne condamne point ce dessein généreux.
POLIPHEME.	POLIPHÉME.
Je ſuis au comble de mes vœux, Je vais tout preparer ponr cette grande fête.	Je suis au comble de mes vœux, Je vais tout préparer ponr cette grande fête.
Vous connoitrez bien-tôt quelle eſt vôtre Conquête.	Vous connaîtrez bientôt quelle est votre Conquête.
GALATE’E ſeule.	GALATÉE seule.
Enfin j’ai calmé ſa fureur, Des cœnrs qu’il a troublez diſſipons la terreus;	Enfin j'ai calmé sa fureur, Des cœnrs qu'il a troublés dissipons la terreus;
ACTE II.	ACTE II.
Le Theatre change, & repreſente une Campagne moins ornée que la premiere;	Le Theatre change, et représente une Campagne moins ornée que la première;
les Bois qu’on y voit ſont remplis des troupeaux des Bergers de l’Iſle, & de ceux de Poliphéme.	les Bois qu'on y voit sont remplis des troupeaux des Bergers de l'Île, et de ceux de Poliphème.
CENE I.	CÈNE I.
ACIS, GALATE’E.	ACIS, GALATE'E.
ACIS.	ACIS.
Uoi, vous avez promis d’aſſiſter à la Fête Que Poliphéme vous aprête, Les ſoins de ce Barbare ont pû vous atendrir, Dans ſes projets vôtre bonté le flate, C’en eſt dons fait, ingrate, Vous me condamnez à mourir.	Oui, vous avez promis d'assister à la Fête Que Poliphéme vous apprête, Les soins de ce Barbare ont pu vous atendrir, Dans ses projets votre bonté le flatte, C'en est dons fait, ingrate, Vous me condamnez à mourir.
SALATE’E.	SALATÉE.
Quel reproche oſez vous me faire?	Quel reproche osez -vous me faire?
ACIIS.	ACIS.
Non, non, je ne puis plus me taire;	Non, non, je ne puis plus me taire;
Atendez vous de voir Les plus ſanglans éfets d’un mortel deſeſpoir.	Attendez -vous de voir Les plus sanglants éfets d'un mortel désespoir.
GALATE’E.	GALATÉE.
Quoi!	Quoi!
que voulez-vous entreprendre?	que voulez-vous entreprendre?
ACIS.	ACIS.
Pourquoi cherchez, vous à l’aprendre?	Pourquoi cherchez, vous à l'apprendre?
Si vous ne m’aimez pas, Que vous peut importer ma vie ou mon trépas?	Si vous ne m'aimez pas, Que vous peut importer ma vie ou mon trépas?
GALATE’E.	GALATÉE.
Sans que pour vous l’amour me ſollicite, Je puis ſouhaiter d’être ieſtruite De vos deſſeins fecrets.	Sans que pour vous l'amour me sollicite, Je puis souhaiter d'être iestruite De vos desseins secs.
ACIS.	ACIS.
Eh bien, aprenez donc que ma mort eſt certaine, Vous ne joüirez plus de mes tendres regrets, En terminant mes jours, je finirai ma peine.	Eh bien, apprenez donc que ma mort est certaine, Vous ne jouirez plus de mes tendres regrets, En terminant mes jours, je finirai ma peine.
Je braverai le Geant furieux Qui me ravit tout cé que j’aime;	Je braverai le Géant furieux Qui me ravit tout cé que j'aime;
J’irai troubler ſes Jeux;	J'irai troubler ses Jeux;
& I’ataquer lui-même, Content de ſuccomber ſous ſa fureur extrême, Et de verſer tout mon ſang à vos yeux.	et J'ataquer lui-même, Content de succomber sous sa fureur extrême, Et de verser tout mon sang à vos yeux.
Ecoutez mes triſtes adieux;	Écoutez mes tristes adieux;
