M.	M.
ABRICE arreſte L'Il ne faut pas eſtre ſi beſte, Mais à propos ne craignons rien Ce ſont tours de Comedien, Eoill de moufir iur ina parolle Il boira tantoſt comme vn drolle, La peſte qu’il n’eſt pas ſi ſot	ÀBRICE arrête L'Il ne faut pas être si bête, Mais à propos ne craignons rien Ce sont tours de Comédien, Éoill de mouffir jur ina parole Il boira tantôt comme un drolle, La peste qu'il n'est pas si sot
FABRICE.	FABRICE.
Eſt ce toy cher amy Guillot, Pgajneu le maineur qui mâccable dit GVILLOT, s’eſtonnaut Non où ie me donne au Diable, Si tu ne me le fais ſçauoir	Est -ce toi cher ami Guillot, Pgajneu le maineur qui mâccable dit GUILOT, s'étonnaut Non où je me donne au Diable, Si tu ne me le fais Savoir
FABRICE.	FABRICE.
CVILLOT ſe iuis au deſeipoir, Mon Maiſtre m’a mis à la porte GVILLOT, s’eſtonnant touſiburs.	CUILOT se juis au deseipoir, Mon Maître m'a mis à la porte GUILLOT, s'étonnant tousiburs.
Noſtre Maiſtre veut que tu ſorte, Au moins ne tat il pointchaige	Notre Maître veut que tu sorte, Au moins ne tat il pointchaige
FABRICE.	FABRICE.
Non, mais il ma donné congé, Iuge par la de ma diſgrace GVIELOTJCpemunt tonſiours.	Non, mais il ma donné congé, Juge par la de ma disgrâce GVIELOTJCpemunt tonsjours.
Quoy donc noſtre Maiſtre te chaſſe,	Quoi donc notre Maître te chasse,
Oüy FABRICE.	Oui FABRICE.
GVILLOT, s’eſtonnant touſiours.	GUILOT, s'étonnant toujours.
Tu n’eſt plus dans la Maiſon deroi mne te veue paad voil.	Tu n'est plus dans la Maison deroi ne te vue paad voilà.
Non, Et ie n’ay plus nulle eſperance	Non, Et ici n'ai plus nulle espérance
GVILLOT, Seponnant tquéjours, & faiſant ſemblant d'en eſtre Il t’a banni de ſa preſence (fache;	GUILOT, Seponnant toujours, et faisant semblant d'en être Il t'a banni de sa présence (fache;
FABRICE.	FABRICE.
Oüy, voy quel malheur eſt le mien GVILLOT teſmoignuat beau coup de ioye Il à fait en homme de bien, Et ſi m’en auoit voulu croire Il t’auroit briſé la machoire, C –- Il eut bien eu le diable au corps S’il ne t’auoit pas mis de hors, B	Oui, vois quel malheur est le mien GUILLOT témoignuat beau coup de joie Il a fait en homme de bien, Et si m'en avait voulu croire Il t'aurait brisé la mâchoire, Ç - Il eut bien eu le diable au corps il ne auoit pas mis de hors, 
Va va bien loin qu’il m’en déplaiſe Ie iure que i’en ſuis fort aiſe, Eſtant chez nous il prit, le train De me faire enrager de faim, Le traiſtre employa ſon menage Iuſques à rogner mon potage, Et mon eſcuelle au bout d’vn mois Fut plus petite de trois dois, L’on ne voioit iamais en troupe Rien qu’vne miſerable ſoupe, Eſtanduë tout de ſon lon Dans mon malencontreux bouillon, Encor pour auoir cette ſoupe Il me falloit le vent en poupe, Et pour l’attrapper au pluſtoſt Me ietter en nage patauſt, Iugés ſi ce bel économme Que la fieure cartaine aſſomme, Que ce lutin puiſſe manger Sur ce point me fit enrager, Mais ie ſuis ſeur que ſi i’enrage Qu’il eurage encor d’auantage, Et qu’eſtant hors de la Maiſon Le voila plus ſot qu’vn Oiſon,	Va va bien loin qu'il m'en déplaise Je jure que j'en suis fort aise, Étant chez nous il prit, le train De me faire enrager de faim, Le traître employa son menage Jusques à rogner mon potage, Et mon écuelle au bout d'ils mois Fut plus petite de trois dois, L'on ne voyait jamais en troupe Rien qu'une misérable soupe, Estanduë tout de son lon Dans mon malencontreux bouillon, Encor en avoir cette soupe Il me fallait le vent en poste, Et pour l'attraper au plus Tôt Morte en nage pataust, Iugés si ce bel économme Au la fièvre cartaine assomme, Que ce lutin puisse manger Sur ce point me fit enrager, Mais ie suis seur que si enrage il eurage encor auantage, Et estant hors de la Maison Le voila plus sot Oison,
FADITCE.	FADICE.
Ah, Guillot ſoy plus raiſonnable DES DOMESTIQVES, 17 N’inſulte point vn miſerable, 2o lauio cenomone uoatu	Ah, Guillot soi plus raisonnable DES DOMESTIQUES, 17 N'insulte point un misérable, 2o la cenomone uoatu
GVILLOT.	GUILOT.
Tu n’eſt rien qu’vn gueux reueſtu, Et ie veux que chacun t’apelle Grandiſſime rogneur d’eſcuelle, Car tu merite bien ce nom Pour vne ſi ſotte action, Mon Maiſtre deuoit ie te iure Battre ſur ton dos la meſure, Pour ſon bien & pour mon repos Iuſques à te briſer les os, Et pour te faire chere entieut Te ietter dedans la Riuiere, Ma foy i’en euſſe eſté rauy	Tu n'est rien qu'Han gueux revêtu, Et ie veux que chacun t'appelle Grandissime rogneur d'écuelle, Car tu mérite bien ce nom Pour une si sotte action, Mon Maître de ie te iure Va sur ton dos la mesure, Pour son bien et pour mon repos Iusques te briser les os, Et pour te faire chère entieut Te ietter dedans la Riuiere, Ma foi en eusse esté rauy
FABRICE.	FABRICE.
Mais quoy n’ay ie pas bien ſeruy, Monſieur Policarpe mon Maiſtre Et n’ay ie pas bien fait paroiſtre, Le zele d’vn bon ſeruiteur	Mais quoi n'a ie pas bien servi, Monsieur Policarpe mon Maître Et n'ai toujours pas bien fait paraître, Le zèle d'un bon serviteur
GVILLOT.	GUILOT.
Non, tu n’eſt rien qu’vn affronteur, Et quand ie te chanta ra game Il en touſiaſma mon ame, Mon potage eſtant reformé	Non, tu n'est rien qu'Hommes affronteur, Et quand ie te chanta ra game Il en tousiasma mon âme, Mon potage étant réformé
Ie voudrois qu’il t’euſt aſſommé.	Je voudrais qu'il t'eût assommé,
A lors qu’il eſtoit neceſſaire D’aller pour mon Maiſtre en affaire, Le drolle paſſoit tout le iour A fricaſſer chés nous l’amour, Et ne pouuoit quitter nos filles Tant elles luy ſembloient gentilles.	À lors qu'il était nécessaire D'aller pour mon Maître en affaire, Le drolle passait tout le jour À fricasser chez nous l'amour, Et ne pouvait quitter nos filles Tant elles lui semblaient gentilles.
Parfois faiſant ſemblant de rien I’eſcoutois tout leur entretien, Il diſoit pouſſant des flaurettes Ah, que vous me ſemblés bien-faites, Et comment voir des yeux ſi doux Sans ſe rendre auſſi-toſt à vous, Il leut compoſoit vne fraze Qu’il les rauiſſoit en extaze, Enfin Monſieur le cajolleur Leur donnoit tout de ſon meilleur, Sa maudite & chienne de patte Rajuſtoit touſiours leur crauatte, L’eſpingle de voſtre mouchoir.	Parfois faisant semblant de rien J'écoutais tout leur entretien, Il disait poussant des flavrettes Ah, que vous me semblez bienfaites, Et comment voir des yeux si doux Sans se rendre aussitôt à vous, Il lut composait une fraze Qu'il les ravissait en extaze, Enfin Monsieur le cajolleur Leur donnait tout de son meilleur, Sa maudite et chienne de patte Rajustait toujours leur craute, L'épingle de votre mouchoir.
Malheureuſement vient de choir, Diſoit il, ſi cela vous fâche Souffré que ie vous la ratache, Tout cela ç’eſtoit des façons Pour leur manier les teſtons, Si bien que tu men ja que pene Et par les pieds & par la teſte, Et pour auoir fait tout ce mal Ie te condamne à lHoipital,	Malheureusement vient de choir, Disait -il, si cela vous fâche Souffré que ie vous la ratache, Tout cela ç'était des façons Pour leur manier les testons, Si bien que tu men a que pene Et par les pieds et par la tête, Et pour avoir fait tout ce mal Je te condamne à lHoipital,
FABRICE.	FABRICE.
Quoy me traitter de ces manier	Quoi me traiter de ces manier
GVILLOT.	GUILOT.
Tu merite les eſtriuieres, Mais tient toy gaillard ſur ce point Tu les auras h’en rut Il point, Bon ſoir	Tu mérite les étrivières, Mais tient toi gaillard sur ce point Tu les auras h'en rut Il point, Bon soir
GVILLOT faint de s’en aller.	GUILOT saint de s'en aller.
FABRICE, le retenant.	FABRICE, le retenant.
Eſcoute deux parolles Guillot tu me dois ſix piſtolles, Que tu ſçay que ie te preſtay Lors que dans le fogis l’entray, L’argent preſté qu’il faut qu’on rende Enfin iamais ne ſe demande,	Écoute deux paroles Guillot tu me dois six pistoles, Que tu sais que sans te prêtai Lors que dans le fogis l'entrai, L'argent prêté qu'il faut qu'on rende Enfin jamais ne se demande,
GVILLOT.	GUILOT.
Pourquoy donc le demande tu Pu pourrols diemenre datu ;	Pourquoi donc le demande tu Pu pourrs diemenre datu ;
Cela ne ſe deuant pas faire D’où vient que tu fais le contraire, Ie te trouue bien inſolent	Cela ne se devant pas faire D'où vient que tu fais le contraire, Je te trouve bien insolent
FABRICE.	FABRICE.
Ie pretens auoir mon argent, B iiij	Je prétends avoir mon argent, B iiij
GVILLOT.	GUILOT.
Scais tu ce que tu peut pretendre C’eſt qu’vn iour tu te feras pendre, Lors qu’on veut auoir de l’argent Ce n’eſt pas la comme on ſi prend, Scache qu’il faut qu’on s’humilie Pour aprocher ma Seigneurie, Et pour auoir tes ſix Louis Quii me laut daitter de Marquis, De Vicomte de Duc d’Alfeſſe	Sais tu ce que tu peut prétendre C'est qu'un jour tu te feras pendre, Lors qu'on veut avoir de l'argent Ce n'est pas la comme on si prend, Scache qu'il faut qu'on s'humilie Pour approcher ma Seigneurie, Et pour avoir tes six Louis Quii me laut daiter de Marquis, De Vicomte de Duc d'Alfesse
FABRICE.	FABRICE.
Quoy faut il dont que ie m’abaiſſe, Iuſques à ſouffrir qu’vn maraut	Quoi faut -il dont que ici m'abaisse, Jusques à souffrir qu'un marau
GVILLOT.	GUILOT.
Diable que tu le porte haut, Quand on ſouhaite quelque grace On ne montre point tant d’audace, Prend donc vn ſtil differant Traitte moy d’Illuſtre, de grand, Si de ces titres tu me traitte Va parbiou ta fortune eſt faite.	Diable que tu le porte haut, Quand on souhaite quelque grâce On ne montre point tant d'audace, Prend donc un stil différant Traite moi d'Illustre, de grand, Si de ces titres tu me traite Va parbiou ta fortune est faite.
FABRICE.	FABRICE.
apart.	appart.
Bien faiſons donc ce qu’il voudra	Bien faisons donc ce qu'il voudra
GVILLOT.	GUILOT.
Monſeigneur quand il vous plaira, Par voſtre premier gentil homme De me faire donner ma -ſomme, Pour m’en aller en mon pays Monſeigneur, mon Duc, mon Marquis, Mon Comte	Monseigneur quand il vous plaira, Par votre premier gentil homme De me faire donner ma -somme, Pour m'en aller en mon pays Monseigneur, mon Duc, mon Marquis, Mon Comte
GVILLOT.	GUILOT.
Comte conte conte, Parbleu l’humilité me dompte, Ce faquin me gaigne le cœur En me traitant de grand Seigneur, Et par ma foy ma Seigneurie Meſme ma Genealogie, N’auoit iamais eu le bon heur De receuoir ſi grand honneur, Ce fat me touche iuſqu’à-l’ame ntroi difeours dune me paſme, Ce n’eſt pas auoir peu de ſens Que ſçauoir l’attde plaire auxgrands,	Comte compte conte, Parbleu l'humilité me dompte, Ce faquin me gagne le cœur En me traitant de grand Seigneur, Et par ma foi ma Seigneurie Même ma Généalogie, N'avait jamais eu le bon heur De recevoir si grand honneur, Ce fat me touche jusqu'à-l'âme ntroi disfeours dune me pâme, Ce n'est pas avoir peu de sens Que sçauoir l'attde plaire auxgrands,
FABRICE.	FABRICE.
S’il plaiſt à voſtre courtoiſie	S'il plaît à votre courtoisie
CVILEOT.	CVILEOT.
Dieu me damne tu m’eſtaſie, I’ayme les hommes de vertu Et bien que me demande-tu,	Dieu me damne tu m'étasie, J'aime les hommes de vertu Et bien que me demande-tu,
FABRICE.	FABRICE.
Ie prie humblement voſtre Alteſſe B v Quelle me tienne ſa promeſſe, En me donnant les ſix Louis Que tanton enle ina proiis,	Je prie humblement votre Altesse B Quelle me tienne sa promesse, En me donnant les six Louis Que tanton enle ina proisis,
GVILLOT.	GUILOT.
Enfin donques tu me demande	Enfin donc tu me demande
FABRICE.	FABRICE.
mlle lomne quimen pas grande, Dont pourtant ie ſeray rauy	mlle lomne quimen pas grande, Dont pourtant ici serai ravi
3VILLOT.	3VILOT.
Va Dieu t’aſſiſte moy amy.	Va Dieu t'assiste moi ami.
FABRICE, ſeul.	FABRICE, seul.
VIs-t’on iamais telle diſgrace Vn Maiſtre d’auec luy me chaſſe, Vn coquin ce moque de moy Ie ſuis ſans argent ſans employ, Mais quoy ma plainte eſt inut ille Il faut mieux chercher dans là ville, Quelqu’vn qui puiſſe me donner Dequoy m'en pouuoir retourner, DES DOMESTIQVES.	VIs-t-on jamais telle disgrâce Un Maître d'avec lui me chasse, V coquin ce moque de moi Je suis sans argent sans emploi, Mais quoi ma plainte est inut ille Il faut mieux chercher dans là ville, Quelqu'un qui puisse me donner Dequoy m'en pouvoir retourner, DES DOMESTIQUES.
23 Fabrice ſort.	23 Fabrice sort.
Ouy c’eſt la ma derniere eſpreuue.	Oui c'est la ma dernière épreuve.
SCENNE V.	SCÈNE V.
POLICARPE, ENGELI QVE MAROTTE, POLICARPE.	POLICARPE, ENGELI QUE MAROTTE, POLICARPE.
JRomptement faiſons Maiſon neuue, Cependant que ie ſuis entrain Ie pretens faire vn nouueau train, I’ay deſia mis de hors Fabrice	JRomptement faisons Maison neuve, Cependant que sans suis entrain Je prétends faire un nouveau train, J'ai déjà mis de hors Fabrice
ENGELIQVE.	ENGELIQUE.
Mais mon pere quelle iniuſtice, De chaſſer de voſtre maiſon Cet incomparable garçon, Que vous deuiés auoir ſans ceſſe Pour voſtre baton de vielleſſe, Ah, mon petit papa mignon Retenés voſtre fabriſſon,	Mais mon père quelle injustice, De chasser de votre maison Cet incomparable garçon, Que vous deviez avoir sans cesse Pour votre bâton de vivellesse, Ah, mon petit papa mignon Retenés votre fabrisson,
POLICARPE.	POLICARPE.
Taiſés vous petite friquette Ne faites plus tant la coquette, Quand vous m’en priés, ſur ma fox C’eſt bien plus pour vous que pour moy, Mais ceſſé ſur cette matiere me me tant auenne pilere, Ie vous promets qu’il s’en ira	Taisez -vous petite friquette Ne faites plus tant la coquette, Quand vous m'en priez, sur ma fox C'est bien plus pour vous que pour moi, Mais cessé sur cette matière me me tant auenne pilère, Je vous promets qu'il s'en ira
EN GELIQVE.	EN GELIQUE.
Moy ie dis qu’il demeurera,	Moi quelque dis qu'il demeurera,
POLICARPE.	POLICARPE.
Ah, qu’il faut icy de miſtere Dites moy vouſes vous vous taire, Car à la fin voſtre quaquet heroit mettre au vont daguenet, Ne ſoyés dont plus mal apriſe Autrement ie vous dagueniſe,	Ah, qu'il faut ici de mystère Dites -moi vous vous vous taire, Car à la fin votre quaquet hérait mettre au vont daguenet, Ne soyez dont plus mal après Autrement ainsi vous daguenise,
ENGELIQVE.	ENGELIQUE.
Diantre ſoit du dagueniſeur Du renfrogné du viel reſueur, Dont la rigueur me deſeſper	Diantre soit du dagueniseur Du renfrogné du viel rêveur, Dont la rigueur me désesper
POLICARPE.	POLICARPE.
Eſt ce ainſi qu’on parle à ſon pere, Mais i’aperçois venir Guillot D’où viens-tu dont planant larot;	Est -ce ainsi qu'on parle à son père, Mais j'aperçois venir Guillot D'où viens-tu dont planant larot;
SCENNE	SCÈNE
SCENNE VI.	SCÈNE VI.
GVILLOT.	GUILOT.
E viens de parler à Fabrice  Qui le piait de voitfe caprice, Diſant que vous l’aués caſſé	E viens de parler à Fabrice Qui le piait de voitfe caprice, Disant que vous l'avez cassé
POLICARPE.	POLICARPE.
Il eſt vray que ie l’ay chaſſé, Et ne pouuois iamais mieux faire muummon aonneur Lc pour inle plaire, Que banir cet eſprit quoquet	Il est vrai que cela l'ai chassé, Et ne pouvais jamais mieux faire muummon aonneur Lettre pour inle plaire, Que banir cet esprit quoquet
GVILLOT.	GUILOT.
Monſieur que vous aués bien fait;	Monsieur que vous avez bien fait;
Vous alés eſtre dans l’Hiſtoire Pour cette action de memoire, Ce faquin faiſoit l’entendu Il croioit que tout luy fut du, Il tranchoit chez vous du capable Il faiſoit le beau, l’agreable, Voſtre fille auoit des apas Qui ne luy deſagreéoient pas, Il luy vouloit faire comprendre Ce qu’eſtoit la carte du tendre, Mais ce n’eſt rien qu’vn ſot tout pur Auecque ſon tendre & ſon dur,	Vous alez être dans l'Histoire Pour cette action de mémoire, Ce faquin faisait l'entendu Il croyait que tout quelque fut du, Il tranchait chez vous du capable Il faisait le beau, l'agréable, Vostre fille avait des appas Qui ne lui desagreéoient pas, Il lui voulait faire comprendre Ce qu'était la carte du tendre, Mais ce n'est rien qu'un sot tout pur Auecque son tendre et son dur,
POLICARPE.	POLICARPE.
Eſt il party ton camarade	Est -il parti ton camarade
JVILLOT.	JVILOT.
Tuiques aueinai mretarde, Ne le pouuant pas auiourd'huy	Tuiques avinai mretarde, Ne le pouvant pas aujourd'hui
POLICARPE.	POLICARPE.
Tu n’as qu’à partir auec luy, Et mon ame ſera rauie c.	Tu n'as qu'à partir avec lui, Et mon âme sera ravie ç.
ctians de ta vie, Parts dont viſte & ſans raiſonner Où ie te vay bien gourdiner,	ctians de ta vie, Parts dont vite et sans raisonner Où ie te vais bien gourdiner,
GVILLOT.	GUILOT.
Vous vous moqués de voſtre eſclaue Donnés moy la clef de la caue, Donnés que i’aille viſiter Voſtre vin qui ſe va gaſter,	Vous vous monquez de votre esclave Donnez moi la clef de la cave, Donnez que j'aille visiter Votre vin qui se va gâter,
POLICARPE.	POLICARPE.
Tu le bois auec tant de haſte Mais ie veux eſtre au rang des morts S’il en entre plus dans ton corps, Ce traiſtre auee ſa gargamelle Donne à mes tonneaux la grauelle, Et les va ſi bien careſſer Qu’il les empeſche de piſſer, Ie ne veux plus de ton ſeruice Prend dont le chemin de Fabrice, Car apres m’auoir fort outré Sçais tu bien que ie te tueray,	Tu le bois avec tant de hâte Mais on veux être au rang des morts S'il en entre plus dans ton corps, Ce traître auee avez gargamelle Donne à mes tonneaux la gravelle, Et les va si bien caresser Qu'il les empêche de pisser, Je ne veux plus de ton service Prend dont le chemin de Fabrice, Car après m'avoir fort outré Sçais tu bien que je te tuerai,
GVILLOT.	GUILOT.
Ah, Monſieur c’eſt vne imprudence Que me tuer en ma preſence, Vous m’alés voir mourir d’effroy Si vous me tué deuant moy, Quand nous ne ſerons plus enſemble Vous me tueray s’il bon vous ſemble,	Ah, Monsieur c'est une imprudence Que me tuer en ma présence, Vous m'alez voir mourir d'effroi Si vous me tué devant moi, Quand nous ne serons plus ensemble Vous me tuerai s'il bon vous semble,
MAROTTE.	MAROTTE.
Quoy vous chaſſés auſſi Guillot Ce pauure enfant qui ne dit mot, Qu’il va deuenir maigre eſchine S’il s’en va de voſtre cuiſine, Ah, Monſieur ne le chaſſés point Pour conſeruer ſon en bon point.	Quoi vous chassez aussi Guillot Ce pauvre enfant qui ne dit mot, Qu'il va devenir maigre échine S'il s'en va de votre cuisine, Ah, Monsieur ne le chassez point Pour conserver son en bon point.
POLICARPE.	POLICARPE.
Rentrés au logis idiote Vous auſſi Madame la ſotte, Qui ne faites que conteſter Suron vous vous ferés frotter.	Rentrez au logis idiote Vous aussi Madame la sotte, Qui ne faites que contester Suron vous vous ferez frotter.
SCENNE VII.	SCÈNE VII.
e a lld e a iyear.	 a lld é a iyear.
H, viel rabin de ſinagogue.	H, viel rabin de synagogue.
ADont la teſte eſt comme vn gogue, Dont l’eſprit eſt tout de trauers La çeruelle tout à l’enuers, La mine toute rechignée L’ame eternellement damnée, Puiſſe tu trouuer viel demon Chés toy mille coups de baſton, Et qu’apres ce miſerable homme Qui ſouuent les brigans aſſomme, Te meine durant quinze iours Viſiter tous les carefours, Et qu’en ſuitte ton ſort s’acheue Dans le beau milieu de la Greue, Voila la bien heureuſe fin Que ie ſouhaite à ton deſtin, DES DOMESTIQVES.	ADont la tête est comme un gogue, Dont l'esprit est tout de travers La çeruelle tout à l'envers, La mine toute rechignée L'âme éternellement damnée, Puisse tu trouver viel démon Chés toy mille coups de bâton, Et qu'après ce misérable homme Qui souvent les brigants assomme, Te meine durant quinze jours Visiter tous les carefours, Et qu'en suitte ton sort s'achève Dans le beau milieu de la Grevue, Voila la bien heureuse fin Que ie souhaite ton destin, DES DOMESTIQVES.
29 Va que la foudre te confonde	29 Va que la foudre te confonde
SCENNE VIII.	SCÈNE VIII.
