offrir celuy cy:	offrir celui celui:
& qu'on ne s’imagine auant que de l’auoir lû, que ie vous offre icy vn diuertiſſement auſsi maigre que ma lettre;	et qu'on ne s'imagine avant que de l'avoir lu, que je vous offre ici un divertissement aussi maigre que ma lettre;
plûtoſt, dis-ie, que de ne pas vanter vn peu mon Ouurae, i’aime mieux découurir moymeſme mon larrecin, & auouër que cette Piece n'eſt ſoûtenuë que de ce qui ſe treuue de plus pirituel & de plus galant dans les Dialogues du grand Eraſme, qui dans la Satyre & la belle raillerie l’a emporté ſur tous les Critiques qui l’ont deuancé & qui l’ont ſuiuy.	plutôt, dis-je, que de ne pas vanter un peu mon Ouvrae, j'aime mieux découvrir moymesme mon larrecin, et avouer que cette Pièce n'est soutenue que de ce qui se trouve de plus pirituel et de plus galant dans les Dialogues du grand Erâme, qui dans la Satyre et la belle raillerie l'a emporté sur tous les Critiques qui l'ont devancé et qui l'ont suivi.
Ie n’aurois pas eſté aſſez, temeraire pour mettre vôtre nom à la teſte d’vn Ouurage dont mes amis ne m'eußent donné nulle bonne opinion, & qui n'euſt receu quelque applaudiſſement du public, dont ie ſuis redeuable en partie à la belle execution du Theatre du Marais.	Je n'aurais pas été assez, téméraire pour mettre votre nom à la tête d'un Ouvrage dont mes amis ne m'eussent donné nulle bonne opinion, et qui n'eût reçu quelque applaudissement du public, dont ils suis redevable en partie à la belle exécution du Théâtre du Marais.
Mais, MONSIEVR, ie viurois dans vn chagrin eternel, ſi ie ne pouuois iamais vous donner que par de la Proſe ou des Vers des naarques du reſpect & du Zele auec lequel ie ſeraj toute ma vie,	Mais, MONSIEUR, on vivrais dans un chagrin éternel, si ici ne pouvais jamais vous donner que par de la Prose ou des Vers des naarques du respect et du Zèle avec lequel ie serajà toute ma vie,
PERSONNAGES.	PERSONNAGES.
LEARQVE, Pere d’Emilie.	LEARQUE, Père d'Emilie.
LA ROQVE, Capitaine crû mort.	LA ROQUE, Capitaine cru mort.
HORTENSE, Docteur.	HORTENSE, Docteur.
EMILIE, crûë veuue de La Roque.	EMILIE, crue veuue de La Roque.
AMINTE,	AMINTE,
Voiſines d’Emilie.	Voisines d'Emilie.
LVCRECE,	LUCRECE,
e ndeniz	Je nédenise
GVILLOT, Valet d’Hortenſe.	GUILOT, Valet d'Hortense.
RAGOTIN, Valet de la Roquer	RAGOTIN, Valet de la Roquer
ALIX, Seruante d’Hortenſe.	ALIX, Servante d'Hortense.
LISETE, Seruante d’Emilie.	LISETE, Servante d'Emilie.
L’ACADEMIE S FEMMES 'OMEDIE.	L'ACADÉMIE S FEMMES ' OMEDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE TREMIERE.	SCÈNE TREMIERE.
ALIX, LISETE.	ALIX, LISETE.
ALIX.	ALIX.
Ais enfin i’ay ſeruy ta Maiſtreſſe atũt toy, Ie ſçay ce qu’en vaut l’aune, & te iure ma gages;	Ais enfin j'ai servi ta Maîtresse atfin toi, Je sais ce qu'en vaut l'aune, et te jure ma gages;
foy Que ie ne voudrois pas pour le double de De ſon boüillant caprice eſſuyer les orages.	foi Que rien ne voudrais pas pour le double de De son bouillant caprice essuyer les orages.
LISETE.	LISETE.
C’eſt bien pis maintenant, depuis que ſon mary, Qui ne s’en voyoit pas fort tendrement chery, De depit à la guerre alla ceſſer de viure;	C'est bien pis maintenant, depuis que son mari, Qui ne s'en voyait pas fort tendrement chéri, De dépit à la guerre alla cesser de vivre;
A toute heure à la main vous luy treuuez vn liure:	À toute heure à la main vous lui trouvez un livre:
Mais à toute heure encor du iour & de la nuit, Et ſans doute par là ſon cerueau ſe détruit;	Mais à toute heure encor du jour et de la nuit, Et sans doute par là son cerveau se détruit;
C’eſt d’où naiſt ſon chagrin ſuiuy d’vne auarice, Qui m’oblige à la fin de quitter ſon ſeruice.	C'est d'où naît son chagrin suivi d'une avarice, Qui m'oblige à la fin de quitter son service.
ALIX.	ALIX.
Du Maiſtre que ie ſers ie viens bien mieux à bout, Ie le laine tout dile, & ſe moque de tout;	Du Maître que personne sers On viens bien mieux à bout, Je le laine tout dile, et se moque de tout;
Mais peut-eſtre bien-toſt nous ſeruirons enſemble, Si l’hymen ta Maiſtreſſe & mon Docteur aſſemble.	Mais peut-être bientôt nous servirons ensemble, Si l'hymen ta Maîtresse et mon Docteur assemble.
LISETE.	LISETE.
L’hymen!	L'hymen!
ma foy ton Maiſtre en eſt bien éloigné, Iamais vn pauure Amant ne fut plus dedaigné.	ma foi ton Maître en est bien éloigné, Jamais un pauvre Amant ne fut plus dédaigné.
ALIX.	ALIX.
Mais quand ce ne ſeroit que pour noſtre auantage, Il nous faut toutes deux traitter ce mariage;	Mais quand ce ne serait que pour notre avantage, Il nous faut toutes deux traiter ce mariage;
Il nous en reuiendroit de petites douceurs, Que nous partagerions entre nous comme ſœurs.	Il nous en reviendrait de petites douceurs, Que nous partagerions entre nous comme sœurs.
SCENE II.	SCÈNE II.
GVILLOT, RAGOTIN, ALIX, LISETE,	GUILOT, RAGOTIN, ALIX, LISETE,
GVILLOT.	GUILOT.
T nous n’aurons-nous rien qui ſommes deux E bons freres, Deux Intendans d’honneur des amoureux myſteres, Et qui malgré vos dens ſçauons l’air du bureau, Nous n’aurions pas auſſi tous deux part au gaſteau?	TOUS nous n'aurons-nous rien qui sommes deux E bons ère, Deux Intends d'honneur des amoureux mystères, Et qui malgré vos dens savons l'air du bureau, Nous n'aurions pas aussi tous deux part au gâteau?
Ma foy, vous en aurez menty, ſans vous déplaire.	Ma foi, vous en aurez menti, sans vous déplaire.
RAGOTIN.	RAGOTIN.
Et deuſſiez-vous de plus vous en mettre en colere, Deuſſiez-vous de dépit en ſecher, en maigrir, En gronder, en peſter, en creuer, en mourir;	Et dussiez-vous de plus vous en mettre en colère, Deussiez-vous de dépit en sécher, en maigrir, En gronder, en péter, en crèver, en mourir;
Nous cracher au viſage, en nous baiſant nous mordre, Crier haro ſur nous, mettre tout en derorure, Sçachez qu’en fait d’argent Guillot & Ragotin, veulent ielolument auon palt aubutin.	Nous cracher au visage, en nous baisant nous mordre, Crier haro sur nous, mettre tout en derorure, Sachez qu'en fait d'argent Guillot et Ragotin, veulent ielolument avon put aubutin.
ALIX.	ALIX.
Que nous veulent ces foux, ces enragez, ces ruſtres?	Que nous veulent ces foux, ces enragés, ces rustres?
LISETE.	LISETE.
Ragotin, ie t’auray.	Ragotin, Seigneur t'aurai.
A LIX.	À LIX.
Guillot, ſi tu nous fruſtres, Par ton trop de babil du fruit de nos deſſeins, Ton dos en patira, noſtre maiſtre a des mains, Et ie n’ay qu’à luy dire.	Guillot, si tu nous frustres, Par ton trop de babil du fruit de nos desseins, Ton dos en pâtira, notre maître a des mains, Et personne n'ai qu'à lui -dire.
A i	À y
GVILLOT.	GUILOT.
Et que peux tu luy dire:	Et que peux tu venir dire:
Qu’hyer ie te careſſois, & que ie te fis rire, Que tu le voulois bien, & que peu s’en fallut,	Qu'hier rien te caressais, et que sans te fis rire, Que tu le voulais bien, et que peu s'en fallut,
ALIX.	ALIX.
Que le ne terrangiay, tant celn’ine déplut :	Que le ne terrangiai, tant cel'ine déplut :
Beau nez, ſois ſi hardy d’y retourner encore.	Beau nez, sois si hardi d'y retourner encore.
RAGÔTIN.	RAGTIN.
Elle en rougit ma foy;	Elle en rougit ma foi;
Liſete, mon aurore, Nous te careſſerons auſſi quand tu voudras.	Lisette, mon aurore, Nous te caresserons aussi quand tu voudras.
l ar n.	Il Il n.
Guillot, encore vn coup, tu t’en repentiras, Et tu ſçais le pouuoir que i’ay dans la cuiſine.	Guillot, encore un coup, tu t'en repentiras, Et tu sais le pouvoir que j'ai dans la cuisine.
GVILLOT.	GUILOT.
Ie ne le ſçay que trop, au diable ta leſine, Et mon Maiſtre eſt bien ſor qui s’en laiſſe abuſer:	Je ne le sais que trop, au diable ta lesine, Et mon Maître est bien sot qui s'en laisse abuser:
Mais quoy ie t’aime trop pour vouloir t’accuſer, Et ie te confondrois ſi le te ſenois feuie.	Mais quoi quelque quelque homme trop pour vouloir t'accuser, Et tu te confondrais si le te senais feuie.
ALIX.	ALIX.
Di tout ce que tu ſçais, parle done belle gueule, Ie ne crains point ta langue, & vien.	Dis tout ce que tu sais, parle donce belle gueule, Je ne crains point ta langue, et vien.
GVTLLOT.	GUTLOT.
Non, non, la paix, Ma mignonne, mon cœur, chere Alix, tu me plais, Et dés que tu voudras nous conterons enſemble,	Non, non, la paix, Ma mignonne, mon cœur, chère Alix, tu me plais, Et dès que tu voudras nous conterons ensemble,
RAGOTINLiſete, mon ſoucy.	RAGOTINLisette, mon souci.
SCENE III.	SCÈNE III.
EMILIE, HORTENSE, GVILLOT, RAGOTIN, ALIX, LISETE,	EMILIE, HORTENSE, GUILOT, RAGOTIN, ALIX, LISETE,
EMILIE, LIſete.	EMILIE, LIsette.
LIOEIE.	LIOEIE.
TTJ JARRR Ah Dieu!	TT JARR Ah Dieu!
ie tremble,	Elle tremble,
GVILLOT.	GUILOT.
Et pour nous acheuer, Mon Maiſtre en meſme tems vient icy nous treuuer.	Et pour nous achever, Mon Maître en même temps vient ici nous trouver.
HORIENSE.	HORIENSE.
Que ie ſuis mal ſeruy!	Que ie suis mal servi!
EMILIE.	EMILIE.
Que ie ſuis patiente!	Que ie suis patiente!
HORTENSE.	HORTENSE.
Ie ne treuue chez moy ny valet, ny ſeruante;	Je ne trouve chez moigez valet, ni servante;
Mais ie les voy tous deux, où ie ne voy pas clair:	Mais ici les vois tous deux, où ils ne vois pas clair:
Ils ont du tems de reſte à venir prendre l’air.	Ils ont du temps de reste à venir prendre l'air.
EMILIE.	EMILIE.
Que ce Pedan me fâche!	Que ce Pédan me fâche!
éuitons-le, Liſete.	éviterons-le, Lisette.
Madame.	Madame.
LISETE.	LISETE.
EMILIE.	EMILIE.
Hé quoy iamais, Madame la coquete, A iij Ie ne vous treuueray qu’auecques des valets?	Hé quoi jamais, Madame la coquette, A jij à ne vous trouverai qu'avec des valets?
Vous meriteriez bien la paire de ſoufflets.	Vous mériteriez bien la paire de soufflets.
Rentrez dans le logis, ie vous la garde bonne;	Rentrez dans le logis, Seigneur vous la garde bonne;
Et que de tout le iour on ne l’ouure à perſonne, Qu’aux Dames que i’attens dans deux heures d’icy.	Et que de tout le jour on ne l'ouvre à personne, Qu'aux Dames que j'attends dans deux heures d'ici.
Mettez ma Chambre en ordre, & mon Alcauue auſſi;	Mettez ma Chambre en ordre, et mon Alcauve aussi;
Et reportez en ſuitte en ma Bibliotheque, Quintilien, Plutarque, Ariſtote & Seneque, Ils ſont tous ſur ma table, & ſur mon gueridon, Et ne demarquez rien, i’oubliois Caſaubon, Et Des Cartes tout proche auecque Campanelle, Que ie viens de laiſſer ouuerts dans ma ruelle, Traittez les proprement, & les fermez tous trois, Sans toucher les feüillets auec vos ſales doigts, Vn Liure entre vos mains ne s’accommode guere, Et pour vous Ragotin, allez treuuer mon pere.	Et reportez en suite en ma Bibliothèque, Quintilien, Plutarque, Aristote et Sénèque, Ils sont tous sur ma table, et sur mon guéridon, Et ne démarquez rien, j'oubliais Casaubon, Et Des Cartes tout proche avec Campanelle, Que tu viens de laisser ouuerts dans ma ruelle, Traités les proprement, et les fermez tous trois, Sans toucher les feuillets avec vos sales doigts, V Liure entre vos mains ne s'accommode guère, Et pour vous Ragotin, allez trêve mon pere.
HORTENSE.	HORTENSE.
S’il faut que cette femme ait leu tous ces Autheurs, Elle en ſçait plus que moy, ny que tous les Docteurs.	S'il faut que cette femme ait lu tous ces Auteurs, Elle en sais plus que moi, ni ou jours les Docteurs.
Quintilien, Seneque, Ariſtote, Plutarque, Des Cartes, Caſaubon, tous ces Autheurs de marque, Ces Aſtres du vieux tems, ces brillans du nouueau, De cette belle veuue éclairent le cerueau !	Quintilien, Sénèque, Aristote, Plutarque, Des Cartes, Casaubon, tous ces Auteurs de marque, Ces Astres du vieux temps, ces brillants du nouveau, De cette belle veue éclairent le cerveau !
O Ciel!	Ô Ciel!
qu’elle eſt ſçauante!	qu'elle est sçauante!
GVILLOT.	GUILOT.
Ah!	Ah!
dites qu’elle eſt folle t Si vous voulez pourtant que pour vous ie l’accole?	dites qu'elle est folle t Si vous voulez pourtant que pour vous voulez l'accole?
HORTENSE.	HORTENSE.
Maiſtre fou, Dame Alix, ſortez d’icy tous deux.	Maître fou, Dame Alix, sortez d'ici tous deux.
SCENE IV.	SCÈNE IV.
EMILIE, HORTENSE.	EMILIE, HORTENSE.
EMILIE.	EMILIE.
JOus m’obligeriez fort de ſortir auec eux;	JOus m'obligeriez fort de sortir avec eux;
V La clef de ce Iardin ne vous eſt pas donnée, Pour de le pomt quitter de toute l'iouince;	V La clef de ce Jardin ne vous est pas donnée, Pour de le pompt quitter de toute l'iouince;
Et ſi vous en ſçauiez vſer ciuilement, On vous y treuueroit vn peu plus rarement.	Et si vous en savez user civilement, On vous y trouverait un peu plus rarement.
HORTENSE.	HORTENSE.
Ie n’y viens que pour vous, mon Ange tutelaire.	Je n'y viens que pour vous, mon Ange tutélaire.
EMILIE.	EMILIE.
Vous n’y viendriez iamais, ſi vous vouliez me plaire.	Vous n'y viendriez jamais, si vous vouliez me plaire.
HORTENSE.	HORTENSE.
vout plaire!	vout plaire!
A ce ſeul but s’adreſſent tous mes ſoins.	À ce seul but s'adressent tous mes soins.
EMILIE.	EMILIE.
Vous réüffiriez mieux, ſi vous en preniez moins.	Vous réüffiriez mieux, si vous en preniez moins.
HORIENSE.	HORIENSE.
Ie ne veux pas vous croire, & i’ay trop de conſtance.	Je ne veux pas vous croire, et j'ai trop de constance.
EMILIE.	EMILIE.
Et moy, Docteur, pour vous i’ay trop de patience;	Et moi, Docteur, pour vous j'ai trop de patience;
L’entretien d’vn Pedan m’ennuye infiniment.	L'entretien d'un Pédan m'ennuie infiniment.
HORTENCE.	HORTENCE.
Ha farouche!	Ha farouche!
ha cruelle!	ha cruelle!
ha cœur de diamant!	ha cœur de diamant!
EMILIE.	EMILIE.
Emilie eſt mon nom, eſt-il folie égale!	Emilie est mon nom, est-il folie égale!
HORTENSE.	HORTENSE.
On vous deuroit plûtoſt appeller Martiale.	On vous devrait plutôt appeler Martiale.
EMILIE.	EMILIE.
Voyons où va l’eſprit de ce beau Maiſtr eſarts.	Voyons où va l'esprit de ce beau Maîtr éparts.
Pourquoy donc?	Pourquoi donc?
quel rapport puis-ie auoir auec Mars?	quel rapport puis-je avoir apprendre Mars?
HORTENSE.	HORTENSE.
or lur tous les morteis lon pouuoir eſt extréme, Plus cruelle que luy, vous tuez qui vous ayme.	or lur tous les morteis lon pouvoir est extrême, Plus cruelle que Rome, vous tuez qui vous aime.
EMILIE.	EMILIE.
Où s’eſt donc répandu le ſang de tant de morts?	Où s'est donc répandu le sang de tant de morts?
Où s’eſt fait ce carnage?	Où s'est fait ce carnage?
où giſent tous ces corps?	où gisent tous ces corps?
HORTENSE.	HORTENSE.
Hat ſans aller plus loin;	Hat sans aller plus loin;
ce corps qu’Amour enflâme.	ce corps qu'Amour enflamme.
Ce corps que vous voyez, n’eſt plus qu’vn corps ſans ame.	Ce corps que vous voyez, n'est plus qu'un corps sans âme.
Ie ne ſuis que trop mort, puis qu’elle en eſt dehors;	Je ne suis que trop mort, puis qu'elle en est dehors;
Et i’ay pour le prouuer des argumens ſi forts, Qu’il faut pour les nier dementir la Nature:	Et j'ai pour le prouver des arguments si forts, Qu'il faut pour les nier démentir la Nature:
Deſquels en voulez-vous?	Desquels en voulez-vous?
& dans quelle figure?	et dans quelle figure?
L’Entyméme eſt concis, le Sorite ingenu, Le Syllogiſme eſt graue, & le Diléme aigu.	L'Entyméme est concis, le Sorite ingénu, Le Syllogisme est grave, et le Dilème aigu.
Si mes raiſonnemens ne vous ſont incommodes, Pour vous les inculquer i’emploiray tous les modes, Celure, cumeſteo;	Si mes raisonnements ne vous sont incommodes, Pour vous les inculquer j'emploirai tous les modes, Celure, cumesteo;
Peſtmo, boroco, Darapti, Felapton, Datiſi, Bacardo;	Pestmo, boroco, Darapti, Félapton, Datisi, Bacardo;
Ou mieux que tout ceiu;	Ou mieux que tout ceiv;
quittant la voye oblique, Par vn ſeul Barbara, vous ſerez ſans replique.	quittant la voie oblique, Par un seul Barbara, vous serez sans réplique.
EMILIE.	EMILIE.
Ie vous laiſſe le choix;	Je vous laisse le choix;
mais ne m'en faites qu’vn.	mais ne m'en faites qu'une.
HORTENSE.	HORTENSE.
Le medium au reſte en ſera peu commun, Et ie vous feray voir plus clair que la lumiere, Que ſi ie ſuis le mort, vous eſtes la meurtriere.	Le médium au reste en sera peu commun, Et je vous ferai voir plus clair que la lumière, Que si ici suis le mort, vous êtes la meurtrière.
EMILIE.	EMILIE.
Dieu m’en veüille garder;	Dieu m'en veuille garder;
Mais voyons toutefois Quel eſt cét argument ſi fort, de ſi grand poids.	Mais voyons toutefois Quel est cet argument si fort, de si grand poids.
HoRelEROL.	HoRelÈROL.
Il faut donc ſuppoſer.	Il faut donc supposer.
EMILIE.	EMILIE.
Allons droit à la theſe.	Allons droit à la thèse.
HORTENSE.	HORTENSE.
mutlaiptioycarlycublen que ie me taiſe.	mutlaiptioycarlycublen que deux me taise.
EMILIE.	EMILIE.
Tous lerſez meun peut eitre.	Tous lersez meun peut eitre.
HORTENSE.	HORTENSE.
Ha!	Ha!
le choquant eſprit!	le choquant esprit!
EMILIE.	EMILIE.
Frapons d’abord au but.	Frappons d'abord au but.
HORTINSE.	HORTINSE.
Ariſtote nous dit.	Aristote nous dit.
EMILIE.	EMILIE.
Qu’il faut raiſonner iuſte.	Qu'il faut raisonner juste.
HORTENSE.	HORTENSE.
Ha!	Ha!
la femme incommode!	la femme incommode!
Chacun, ne vous déplaiſe, argumente à ſa mode, Chacun a dans ſon ſtile ou du moins, ou du plus;	Chacun, ne vous déplaise, argumente à sa mode, Chacun a dans son style ou du moins, ou du plus;
L’vn l’a court, l’autre long;	L'un l'a court, l'autre long;
l’vn clair, l’autre confus:	l'un clair, l'autre confus:
Celuy-cy l’a rampant, celuy-là magnifique;	Celui-cy l'a rampant, celui-là magnifique;
L’vn aime le diffus, l’autre le Laconique;	L'un aime le diffus, l'autre le Laconique;
Et moy de tous les deux ie veux m’en former vn, Bref il eſt mal-aiſé de complaire à chacun.	Et moi de tous les deux grands veux m'en former un, Bref il est mal-aisé de complaire à chacun.
EMILIE.	EMILIE.
Vous vous diſloquerez enfin la mandibule, Tréue donc d’hypotheſe & de tout preambule, Et ſans perdre le tems en vn long entretien, Dites moy dans vn mot.	Vous vous disloquerez enfin la mandibule, Trêve donc d'hypothèse et de tout préambule, Et sans perdre le temps en un long entretien, Dites moi dans un mot.
HORTENSE.	HORTENSE.
Ie ne vous diray rier Ie ne puis ſatisfaire à voſtre impatience, Ou ſouffrez, de par dieu, qu’vne fois ie commence	Je ne vous dirai rier Je ne puis satisfaire à votre impatience, Ou souffrez, de par dieu, qu'une fois ie commence
AMILTO.	AMILTO.
Hé bien commencez donc, & finiſſez bien-toſt.	Hé bien commencez donc, et finissez bientôt.
HORTENSE.	HORTENSE.
Cette femme me fâche, & me traitte en grimaud, Mais quoy?	Cette femme me fâche, et me traite en grimaud, Mais quoi?
ie l’aime trop pour la fâcher de meſme.	Elle l'aime trop pour la fâcher de même.
Ecoutez.	Écoutez.
I'expedie auec ce Theoréme, Eſtably dés long-tems par de graues Autheurs, Et qui doit eſtre vray, s’iis ne font tous menteurs.	J'expédie image ce Théorème, Établi dès longtemps par de graves Auteurs, Et qui doit être vrai, s'iis ne font toujours menteurs.
L’Ame, écoutez-moy bien, eſt, ſelon leur maxime Plus dans l’obiet aimé, qu’au ſujet qu'elle anime.	L'Âme, écoutez-moi bien, est, selon leur maxime Plus dans l'objet aimé, qu'au sujet qu'elle anime.
EMILIEIe n’entens pas trop bien ces termes precieux, Parlez plus clairement.	EMILIEIe n'entends pas trop bien ces termes précieux, Parlez plus clairement.
HORTENSE.	HORTENSE.
Ie m’explique donc mieux.	Je m'explique donc mieux.
Tous ces contemplatifs, ces diuins Extatiques, Qui ſe guindent au haut des voûtes Olympiques, Qui vont y dérrober les celeſtes treſors, Entrent à tout moment dans de ſi doux tranſports, Que quelque bruit qu'oi filt;	Tous ces contemplatifs, ces divins Extatiques, Qui se guindent au haut des voûtes Olympiques, Qui vont y dérober les célestes trésors, Entrent à tout moment dans de si doux transports, Que quelque bruit qu'ô filt;
queiqueauis qu’ils en euſſent.	queiqueavis qu'ils en eussent.
On pourloit les tuer ſans qu'ils s en apperceuſſent.	On pourrait les tuer sans qu'ils s en aperçussent.
Ces Poëtes fameux qui rauiſſent nos ſens, D’eux-meſmes bien ſouuent ne ſont-ils pas abſens?	Ces Poètes fameux qui ravissent nos sens, D'eux-mêmes bien souvent ne sont-ils pas absents?
EMILIE.	EMILIE.
Cette merueille eſt grande, & pareſt peu croyable.	Cette merveille est grande, et parêt peu croyable.
HORTENSE.	HORTENSE.
La cauſe cependant en eſt toute palpable, Et ne voyez-vous pas qu’en cét euenement, Leur ame eſt dans le Ciel comme en ſon element, Que c’eſt là qu’elle agit, que c’eſt là qu’elle regne;	La cause cependant en est toute palpable, Et ne voyez-vous pas qu'en cet événement, Leur âme est dans le Ciel comme en son élément, Que c'est là qu'elle agit, que c'est là qu'elle règne;
Et qu’elle ne meut plus le corps qu’elle dédaigne.	Et qu'elle ne meut plus le corps qu'elle dédaigne.
EMIEIL.	EMIEIL.
Mais qu’en concluez-vous?	Mais qu'en concluez-vous?
HORTENSE.	HORTENSE.
Ha!	Ha!
ce que i’en conclus!	ce que j'en conclus!
Que ie ſuis mort, cruelle, & que voulez-vous plus?	Que ie suis mort, cruelle, et que voulez-vous plus?
EMILIE.	EMILIE.
En quel lieu maintenant ſe treuue donc voſtre ame?	En quel lieu maintenant se trouve donc votre âme?
HORTENSE.	HORTENSE.
Mon ame eſt attachée au ſujet qui m’enflame;	Mon âme est attachée au sujet qui m'enflamme;
Et puis qu’en bonne école on definit la mort, Le diuorce du corps d’auec l’ame qui ſort;	Et puis qu'en bonne école on définit la mort, Le divorce du corps d'avec l'âme qui sort;
Vous qui m’oſtez la mienne, ô beauté trop altiere!	Vous qui m'ôtez la mienne, ô beauté trop altière!
Autant que ſuis mort, n’eſtes-vous pas meurtriere?	Autant que suis mort, n'êtes-vous pas meurtrière?
EMILIE.	EMILIE.
Coupons court là deſſus, ie ne crains pas beaucoup, Qu'’on m’oze rechercher pour vn i’mnechant coup, Et pour me condamner, il n’eſt point de Legiſte:	Coupons court là dessus, tu ne crains pas beaucoup, Qu'on m'oze rechercher pour un j'amne coup, Et pour me condamner, il n'est point de Légiste:
Mais ie veux à mon tour faire vn peu la Sophiſte;	Mais ici veux à mon tour faire un peu la Sophiste;
Aimez vous par contrainte, ou de voſtre bon gré?	Aimez -vous par contrainte, ou de votre bon gré?
HORTENSE.	HORTENSE.
La belle queſtion, i’ayme dans vn degré, Qui fait connoiſtre aſſez que ſans nulle contrainte, I’adore la beauté dont mon ame eſt atteinte.	La belle question, j'aime dans un degré, Qui fait connaître assez que sans nulle contrainte, J'adore la beauté dont mon âme est atteinte.
EMILIE.	EMILIE.
Puis donc que vous pouuez aimer, ou n’aimer pas, Vous ſeul aſſeurément cauſez voſtre trépas, Et c’eſt injuſtement que la perſonne aimée, D’vn crime pretendu ſe verroit diffamée.	Puis donc que vous pouvez aimer, ou n'aimer pas, Vous seul assurément causez votre trépas, Et c'est injustement que la personne aimée, D'un crime prétendu se verrait diffamée.
HORTENSE.	HORTENSE.
Ha!	Ha!
