PERGONNAGES.	PERGONAGES.
APHNE'.	APHNE.
Sans te nommer celuy qu’Amour m’a fait choiſir, Je puis facilement contenter ton deſir, Et de la main d’atis, ce Peintre inimitable, jen ende dans ma peede un portraic adm'rable, Qui juſ qu’au moindre trait luy reſſemble ſi fort, Qu’il eſt ſeur que tes yeux le connoiſtront d’abord.	Sans te montre celui rd'Amour m'a fait choisir, Je puis facilement contenter ton désir, Et de la main d'atis, ce Peintre inimitable, jen ende dans ma pède un portraic adm'hrable, Qui jus qu'au moindre trait lui ressemble si fort, Qu'il est sûr que tes yeux le ont d'abord.
EROXENE.	EROXENE.
Je puis te contenter par ulie melme roye, Et payer ton ſecret en pareille monnoye.	Je puis te contenter par ulie melme roye, Et payer ton secret en pareille monnoie.
l’ay de la main auſſi de ce veintre fameux, Un aimable Portrait de l’objet de mes vœux, Si plein de tous ſes traits & de ſa grace extrême, Que tu pourras d’abord ture nommrertoyamenme.	l'ai de la main aussi de ce veintre fameux, Un aimable Portrait de l'objet de mes vœux, Si plein de tous ses traits et de sa grâce extrême, Que tu pourras d'abord ture nommrertoyamenme.
DAPHNE'.	DAPHNE.
La boëte que le Peintre a fait faire pour moy, Elt tout a iaſt ſemSlable a celle que je voy,	La boète que le Peintre a fait faire pour moi, Élt tout à jast semSlable a celle que je vois,
EROXENE.	EROXENE.
Il eſt vray, l’une à l’autre entierement reſſemble, Et certe, il faut qu’Atis les ait fait faire enſemble.	Il est vrai, l'une à l'autre entièrement ressemble, Et certe, il faut qu'Atis les ait fait faire ensemble.
AP HNE'.	AP HNE.
Pations en ineme temps par dipeu de couleurs, Confidence à nos yeux du ſecret de nos cœûrs.	Pations en ineme temps par dipu de couleurs, Confidence à nos yeux du secret de nos cœurs.
EROXENE.	EROXENE.
Voyons à qui plus viſte entendra ce langage, Et qui parle le mieux de l’un ou l’autre ouvrage.	Voyons à qui plus vite entendra ce langage, Et qui parle le mieux de l'un ou l'autre ouvrage.
DAPHNE'.	DAPHNE.
La mépriſe eſt plaiſante, & tu te broüilles bien, alu Ileu de ton poinait tu M ao lenldu le’inien.	La méprise est plaisante, et tu te brouilles bien, alu De ton ton tu alu DE Mo lenldu le'inien.
EROXENE.	EROXENE.
Il eſt vray, je ne ſçay comine j’ay fait la choſe.	Il est vrai, je ne sais compine j'ai fait la chose.
DAPHNE’.	DAPHNE.
Donne.	Donne.
De cette erreur ta reſverie eſt cauſe.	De cette erreur ta rêverie est cause.
EROXENE.	EROXENE.
Que reuedire ecey a nouisnousjouons y je croy, Tu fais de ces Portraits meſme choſe que moy.	Que révedire écey a nouisnoussouons y je crois, Tu fais de ces Portraits même chose que moi.
BAPHNE.	BAPHNE.
Certe, c’eſt pour en rire, & tu peux me le rendre.	Certe, c'est pour en rire, et tu peux me le rendre.
EROXENE.	EROXENE.
Voicy le vray moyen de ne ſe point méprendre.	Voici le vrai moyen de ne se point méprendre.
DAPHNE'.	DAPHNE.
De Mhegienopleventgenace dne Maltol.	De Mhégienopleventgenace dne Maltol.
EROXENE.	EROXENE.
idt onl ame lur mes yeuxfaitelle impreſſion ?	idt onl âme lur mes yeuxfaitelle impression ?
DAPHNE'.	DAPHNE.
Myrtil à mes regards s’offre dans cét ouvrage.	Myrtil à mes regards s'offre dans cet ouvrage.
EROXENE.	EROXENE.
De Myrtil dans ces traits, je rencontre l’Image.	De Myril dans ces traits, je rencontre l'Image.
DAPHNE'.	DAPHNE.
C’eſt le jeune Myrtil qui fait naiſtre mes feux.	C'est le jeune Myrtil qui fait naître mes feux.
EROXENE.	EROXENE.
C’eſt au jeune Myrtil que tendent tous mes vœux.	C'est au jeune Myril que tendent tous mes vœux.
BAPA	BAPA
DAPHNE'.	DAPHNE.
Je venois adjourd’huy te prier de luy dire, Les ſoins que pour ſon ſort ſon merite m’inſpire.	Je venais ajourd'hui te prier de lui dire, Les soins que pour son sort son mérite m'inspire.
EROXENE.	EROXENE.
e venois te clercher pour ſervir mon ardeur, Dans le deſſein que j’ay de m’aſſurerſon cœur.	Je venais te clercher pour servir mon ardeur, Dans le dessein que j'ai de m'assurerson cœur.
BAPHNE.	BAPHNE.
Cette ardeur qu’il t’inſpire eſt elle ſi puiſſante?	Cette ardeur qu'il t'inspire est elle si puissante?
EROXENE.	EROXENE.
L’aimes tu d’une amour qui ſoit ſi violente?	L'aimes tu d'une amour qui soit si violente?
C APHNE'.	Ç APHNE.
A1eſrent pums uu fioluour ſail ne puiſſe enſſamer, Et ſa grace naiſſante a dequoy tout charmer.	A1esrent pums u fioluour saisl ne puisse enssamer, Et sa grâce naissante a dequoy tout charmer.
EROXENE, Il il cit Nyinpne en l’ammant quille le mmit heureuſ Et Diane ſans honte en ſeroit amoureuſe.	EROXENE, Il il cit Nynpne en l'ammant quille le mémit heureus Et Diane sans honte en serait amoureuse.
APHNE'.	APHNE.
Rien que fon air chainiant ne me touene aujourd’huy;	Rien que son air chaîniant ne me touène aujourd'hui;
Et ſi j’avois cent cœurs, ils ſeroient tous pour luy.	Et si j'avais cent cœurs, ils seraient tous pour lui.
EROXENE.	EROXENE.
Il efface à mes yeux tout ce qu’on voit paroiſtre, Et ſi j’avois un Sceptre, il en ſeroit le Maiſtre.	Il efface à mes yeux tout ce qu'on voit paraître, Et si j'avais un Sceptre, il en serait le Maître.
DAPHNE'.	DAPHNE.
Ce ſeroit donc en vain qu’à chacune en ce jour, On nous voudroit du ſein arracher cet amour.	Ce serait donc en vain qu'à chacune en ce jour, On nous voudrait du sein arracher cet amour.
Nos ames dans leurs vœux ſont trop bien affermies;	Nos âmes dans leurs vœux sont trop bien affermies;
Ne taſchons, s’il ſe peut, qu’à demeurer amies.	Ne tâchons, s'il se peut, qu'à demeurer amies.
Et puis qu’en meſme temps pour le meſme ſujet, Nous avons toutes deux formé meſme projet, Mettons dans ce debat la franchiſe en uſage, Ne prenons l’une & l’autre aucun lâche avantage, Et courons nous ouvrir enſemble à Lycarſis, Destenaresientimmeno eu nouyjeceronalS.	Et puis qu'en même temps pour le même sujet, Nous avons toutes deux formémé même projet, Mettons dans ce débat la franchise en usage, Ne prenons l'une et l'autre aucun lâche avantage, Et courons nous ouvrir ensemble à Lycars, Destenaresientimmeno eu nouyjeceronalS.
EROXENE.	EROXENE.
J’ay peine à concevoir, tant la ſurpriſe eſt forComme un tel fils eſt né d’un pere de la ſorte, Et ſa taille, ſon air, ſa parole & ſes yeux, Feroient croire qu’il eſt iſſu du ſang des Dieux:	J'ai peine à concevoir, tant la surprise est forComme un tel fils est né d'un père de la sorte, Et sa taille, son air, sa parole et ses yeux, Feraient croire qu'il est issu du sang des Dieux:
Mais enfin j’y ſouſcris, courons trouver ce pere, Allons-luy de nos cœurs découvrir le miſtere, Et conſentons qu’apres Myrtil, entie nous deux, Décide par ſon choix ce combat de nos vœux.	Mais enfin j'y souscris, courons trouver ce père, Allons-lui de nos cœurs découvrir le mystère, Et consentons qu'après Myrtil, entie nous deux, Décide par son choix ce combat de nos vœux.
DAPHNR'.	DAPHNR'.
Soit, je voy Lycarſis avec Mopſe & Nicandre, Ils pourront le quitter, cachons nous pour l’attendre.	Soit, je vois Lycarsis avec Mopse et Nicandre, Ils pourront le quitter, cachons nous pour l'attendre.
SCENE III.	SCÈNE III.
LYCARSIS, MOPSE, NICANDRE.	LYCARSIS, MOPSE, NICANDRE.
NICANDRE.	NICANDRE.
Lanous donc ra houvene.	Lanous donc ra houvène.
LYCARSIS Ah, que vous me preſſez!	LYCARSIS Ah, que vous me pressez!
Cela ne ſe dit pas comme vous le penſez.	Cela ne se dit pas comme vous le pensez.
MOPSE.	MOPSE.
Que de ſottes façons, & que de badinage, Menalque pour chanter n’en fait pas davantage.	Que de sottes façons, et que de badinage, Ménalque pour chanter n'en fait pas davantage.
MIOHIRSIS.	MIOHIRSIS.
Parmy les curieux des affaires d’Eſtat, Une nouvelle à dire eſt d’un puiſſant éclat.	Parmi les curieux des affaires d'État, Une nouvelle à dire est d'un puissant éclat.
Je me veux mettre un peu ſur l’homme d’importance, Et joüir quelque temps de vôtre impatience.	Je me veux mettre un peu sur l'homme d'importance, Et jouir quelque temps de votre impatience.
ANDRE.	ANDRÉ.
veux tu par tes derais nous latiguertous deux?	veux tu par tes derais nous latiguertous deux?
MOPSE.	MOPSE.
Frends-tu quelque plaiſir à te rendre faſcheux?	Frends-tu quelque plaisir à te rendre fâcheux?
CANDRE.	CANDRE.
De grace, parle, & mets ces mines en arriere.	De grâce, parle, et mets ces mines en arrière.
LYCARSIS.	LYCARSIS.
Priez-moy donc tous deux de la bonne maniere, Et me dités chacunquel don vous me ferez, Pour obtenir de moy ce que vous deſirez.	Priez-moi donc tous deux de la bonne manière, Et me ditez chacunquel dont vous me ferez, Pour obtenir de moi ce que vous désirez.
MOPSE.	MOPSE.
La peſteſoit du fat, laiſſons-le là, Nicandre, ir blure de paner dren plus que nous d’entendre.	La pestesait du fat, laissons-le là, Nicandre, ir blure de paner dren plus que nous d'entendre.
Sa nouvelle luy peſe, il veut s’en décharger, Et ne recouter pas, ent ie fanle eurager.	Sa nouvelle femme pèse, il veut s'en décharger, Et ne recouter pas, ent endre fanle eurager.
Eh.	Eh.
LYCARSIS.	LYCARSIS.
ANDRE.	ANDRÉ.
Te voila puny de tes façons de faire.	Te voilà puni de tes façons de faire.
a mdTs.	a médTs.
Je m’en vais vous le dire, écoutez.	Je m'en vais vous le dire, écoutez.
MONSE.	MONZE.
Point d’affaires.	Point d'affaires.
LYCARSIS, Quoy vous ne voulez pas m’entendre?	LYCARSIS, Quoi vous ne voulez pas m'entendre?
T;	T;
TEIRDRE.	TEIRDRE.
Non.	Non.
ETCARSIS.	ETCARSIS.
Et bien, Je ne diray donc mot, & vous ne ſçaurez rien.	Et bien, Je ne dirai donc mot, et vous ne saurez rien.
Soit.	Soit.
MOPSE.	MOPSE.
LYCARSIS.	LYCARSIS.
Vous ne ſçaurez pas qu’avec magnificence, Le Roy vient d’honorer Tempé de ſa preſenoe :	Vous ne saurez pas qu'avec magnificence, Le Roi vient d'honorer Tempé de sa présenoe :
Qu’il entra dans Lariſſe hier ſur le haut du jour :	Qu'il entra dans Larisse hier sur le haut du jour :
Qu’a l’aiſe je l’y vis avec toute ſa Cour:	Qu'a l'aise je l'y vis avec toute sa Cour:
Que ces bois vont joüir aujourd’huy de ſa veüe, Et qu’onl lallome Ioit touenant cette venuë.	Que ces bois vont jouir aujourd'hui de sa vue, Et qu'on lallome Iait touenant cette venue.
N I CANDRE.	 I CANDRE.
Nous n’avons pas envie auſſi de rien ſçavoir.	Nous n'avons pas envie aussi de rien savoir.
LYCARSIS.	LYCARSIS.
Jevis cent choſes la raviſſantes à voir.	Jevis cent choses la ravissantes à voir.
Ce ne ſont que Seigneurs, qui des pieds à la teſte Sont brillans & parez comme au jour d’une feſte, Ils ſurprennent la veuë & nos prez au Printemps, Avec toutes leurs ſleurs ſont bien moinséclatans.	Ce ne sont que Seigneurs, qui des pieds à la tête Sont brillants et parez comme au jour d'une fête, Ils surprennent la vue et nos prés au Printemps, Avec toutes leurs sleurs sont bien moinséclatans.
Pour le Prince entre tous, ſans peine on le remarque, Et d’une ſtade loin, il ſent ſon grand Monarque, Dans toute ſa perſonne, il a je ne ſçay quoy, Qui d’abord fait juger que c’eſt un maitre Roy.	Pour le Prince entre tous, sans peine on le remarque, Et d'une stade loin, il sent son grand Monarque, Dans toute sa personne, il a je ne sais quoi, Qui d'abord fait juger que c'est un maître Roi.
Il le fait d’une grace à nulle autre ſeconde, Et cela ſans mentir luy ſied le mieux du monde.	Il le fait d'une grâce à nulle autre seconde, Et cela sans mentir notre sied le mieux du monde.
On ne croiroit jamais comme de toutes parts, Toute ſa Cour s’empreſſe à chercher ſes regards:	On ne croirait jamais comme de toutes parts, Toute sa Cour s'empresse à chercher ses regards:
Ce ſont autour de luy confuſions plaiſantes, Et l’on diroit d’un tas de mouches reluiſantes, Qui ſuivent en tous lieux un doux rayon de miel.	Ce sont autour de deux confusions plaisantes, Et l'on dirait d'un tas de mouches reluisantes, Qui suivent en tous lieux un doux rayon de miel.
Enfin, l’on ne voit rien de ſi beau ſous le Ciel, Et la feité de lan pariny nous ircilciſe, Auprés de ce ſpectacle eſt une gueuſerie :	Enfin, l'on ne voit rien de si beau sous le Ciel, Et la feité de lan parini nous ircilcise, Auprès de ce spectacle est une gueuserie :
Mais puis que ſur le ſier vous vous tenez ſi bien, Je garde ma nouvelle, & ne veux dire rien.	Mais puis que sur le sier vous vous tenez si bien, Je garde ma nouvelle, et ne veux dire rien.
MOPSE.	MOPSE.
Et nous ne te voulons aucunement entendre.	Et nous ne te voulons aucunement entendre.
LYCARSIS.	LYCARSIS.
Allez vous promener.	Allez vous promener.
M OP SE.	M OP SE.
Va-t en te faire pendre.	Va-t en te faire pendre.
SCENE IV.	SCÈNE IV.
EROXENE, DAPHNE', LYCARSIS.	EROXENE, DAPHNE, LYCARSIS.
LYCARS IS.	LYCARS IS.
veſt de cette façon que l’on punit les gens,  Quand ils font les bencts & les impertinens.	vêt de cette façon que l'on punit les gens, Quand ils font les bencts et les impertinents.
DAPHNE'.	DAPHNE.
Le Ciel tienne, Paſteur, vos brebis toûjours ſaines.	Le Ciel tienne, Pasteur, vos brebis toujours saines.
LRONENE.	LRONENE.
Cerés tienne de grains vos granges toûjours pleines.	Cerrez tienne de grains vos granges toujours pleines.
MAcARSNS.	MAcARSNS.
Et le grand Pan vous donne à chacune un Epoux.	Et le grand Pan vous donne à chacune un Époux.
Qui vous aime beaucoup, & ſoit digne de vous.	Qui vous aime beaucoup, et soit digne de vous.
APHNE', Ah, Lycarſis, nos vœux à meſme but aſpirent.	APHNE -, Ah, Lycars, nos vœux à même but aspirent.
EROXENE.	EROXENE.
c’eſtpour le meſme objet que nos deux cœurs ſoûmient.	c'est le même objet que nos deux cœurs soumient.
DAPHNE', Et l’amour, cét Enfant qui cauſe nos langueurs, A pris chez vous le trait dont il bleſſe nos cœurs.	DAPHNE', Et l'amour, cet Enfant qui cause nos langueurs, A pris chez vous le trait dont il blesse nos cœurs.
Eal A An E.	Éal À An E.
Et nous venons icy chercher vôtre alliance?	Et nous venons ici chercher votre alliance?
Et voir qui de nous deux aura la preferance.	Et voir qui de nous deux aura la préférence.
Nymphes.	Nymphes.
LYCARSIS.	LYCARSIS.
P HNE’.	 PNE.
Pour ce bien ſeul nous pouſſons desſoúpirs.	Pour ce bien seul nous poussons dessoùpirs.
a2	a2
Jeſuis.	Jésuis.
LYCARSIS.	LYCARSIS.
EROXENE.	EROXENE.
11et venneur tiuenttous nos deſirs.	11et venneur tiventtous nos désirs.
DAPHNE'.	DAPHNE.
C’eſt un peu librement expliquer ſa penſée.	C'est un peu librement expliquer sa pensée.
Pourquoy?	Pourquoi?
d l e a a sla	 d l' a sla
EROXENE.	EROXENE.
La bienſeance y ſemble un peu bleſſée.	La bienséance y semble un peu blessée.
Ah point!	Ah point!
LYCARSIS.	LYCARSIS.
DAPHNE'.	DAPHNE.
Mais quand le cœur brûle d’un noble ſeu, onpau lans nulle honte en faire un libre aveu.	Mais quand le cœur brûle d'un noble seu, onpau lans nulle honte en faire un libre aveu.
JU1.	JU1.
LYCARSIS.	LYCARSIS.
EROXENE.	EROXENE.
Cette liberté nous peut eſtre permiſe, Et du choix de nos cœurs la beauté l’autoriſe.	Cette liberté nous peut être permise, Et du choix de nos cœurs la beauté l'autorise.
E l o a ls la3 C’eſt bleſſer ma pudeur que me flater ainſi.	E l ô a lât la3 C'est blesser ma pudeur que me flatter ainsi.
EROXENE.	EROXENE.
Non, non, n’affectez point de modeſtie icy.	Non, non, n'affectez point de modestie ici.
DANANE.	DANANE.
Enfin tout nôtre bien eſt en vôtre puiſſance.	Enfin tout notre bien est en votre puissance.
EROXEN E.	EROXEN E.
C’eſt de vous que dépend nôtre unique eſperance.	C'est de vous que dépend notre unique espérance.
DATHNE'.	DATHNE.
Trouverons nous en vous quelques difficultez?	Trouverons nous en vous quelques difficultés?
Ah !	Ah !
LYCARSIS.	LYCARSIS.
EROXENE.	EROXENE.
Nos vœux, dites moy, ſeront-ils rejettez?	Nos vœux, dites -moi, seront-ils rejettez?
L Y.	 Y.
LYCARSIIS.	LYCARSIIS.
Non, j’ay receu du Ciel une ame peu cruelle, Je tiens de feu ma femme, & je me ſens comme elle Pour les deſirs d’autruy beaucoup d’humanité, Et je ne ſuis point homme à garder de fierté.	Non, j'ai reçu du Ciel une âme peu cruelle, Je tiens de feu ma femme, et je me sens comme elle Pour les désirs d'autrui beaucoup d'humanité, Et je ne suis point homme à garder de fierté.
DA PÆNE'.	DA PNE.
Accordez donc Myrtil à nôtre amoureux zele.	Accordez donc Myrtil à notre amoureux zèle.
EROALVE.	EROALVE.
Et ſouffrez que ſon choix regle nôtre querelle.	Et souffrez que son choix règle notre querelle.
Myrtil?	Myrtil?
LYCARSIS.	LYCARSIS.
DAPHNE'.	DAPHNE.
Ouy;	Oui;
cen iijiaique de pouo nous voulons.	cen iijiaique de pouo nous voulons.
EROXENE.	EROXENE.
De qui penſez-vous donc qu’icy nous vous parlons?	De qui pensez-vous donc qu'ici nous vous parlons?
LYCARSIS.	LYCARSIS.
Je ne ſçay, mais Myrtil n’eſt guere dans un âge Qui foit propre à ranger au joug du mariage.	Je ne sais, mais Myrtil n'est guère dans un âge Qui soit propre à ranger au joug du mariage.
APHNE'.	APHNE.
bon Menite mamant peut naper d'attties yeux, Et l’on veut s’engager un bien ſi precieux, Prevenir d’autres cœurs, & braver la fortune Sous les fermes liens d’une chaiſne commune.	bon Ménite mamant peut naper d'attties yeux, Et l'on veut s'engager un bien si précieux, Prévenir d'autres cœurs, et braver la fortune Sous les fermes liens d'une chaîne commune.
EROXENE.	EROXENE.
Comme par ſon eſprit & ſes autres brillans, Il rompt l’ordre commun & devance le temps, Nôtre flâme pour luy veut en faire de meſme, Et regler tous ſes vœux ſur ſon merite extrême.	Comme par son esprit et ses autres brillants, Il rompt l'ordre commun et devance le temps, Notre flamme pour lui veut en faire de même, Et régler tous ses vœux sur son mérite extrême.
YCARSIS.	YCARSIS.
Il eſt vray qu’à ſon âge, il ſurprend quelquefois.	Il est vrai qu'à son âge, il surprend quelquefois.
Et cét Athenien qui fut chez moy vingt mois, Qui le trouvant joly, ſe mit en fantaine, De luy remplir l’eſprit de ſa philoſophie, Sur de certains diſcours l’a rendu ſi profond, Que tout grand que jeſuis, ſouvent il me confond;	Et cet Athénien qui fut chez moi vingt mois, Qui le trouvant joli, se mit en fantaine, De Ah remplir l'esprit de sa philosophie, Sur de certains discours l'a rendu si profond, Que tout grand que juis, souvent il me confond;
Mais avec tout cela, ce n’eſt encore qu’enfance, Et ſon fait eſt mélé de beaucoup d’innocence.	Mais avec tout cela, ce n'est encore qu'enfance, Et son fait est mêlé de beaucoup d'innocence.
DAPHNE'.	DAPHNE.
Il n’eſt point tant enſant, qu’à le voir chaque jour, Je ne le croye atteint déja d’un peu d’amour, Et plus d’une avanture à mes yeux s’eſt offerte Où j’ay connu qu’il ſuit la jeune Melicerte.	Il n'est point tant ensant, qu'à le voir chaque jour, Je ne le croie atteint déjà d'un peu d'amour, Et plus d'une aventure à mes yeux s'est offerte Où j'ai connu qu'il suit la jeune Mélicerte.
EROXENE.	EROXENE.
Ils pourroient bien s’aimer, & je voy.	Ils pourraient bien s'aimer, et je vois.
LLYCARSIS Franc abus, Pour elle paſſe encore, elle a deux ans de plas, Et deux ans dans ſon ſexe eſt une grande avance.	LLYCARSIS Franc abus, Pour elle passe encore, elle a deux ans de plas, Et deux ans dans son sexe est une grande avance.
Mais pour luy, le jeu ſeul l’occupe tout, je penſe, Et les petits deſirs de, ſe voir ajuſté Ainſi que les Pergers de haute qualité.	Mais pour lui, le jeu seul l'occupe tout, je pense, Et les petits désirs de, se voir ajusté Ainsi que les Pergers de haute qualité.
DA A ii .	DA À ji .
Enfin nous deſirons par le nœud d’hymenée, Attacher ſa fortune à nôtre déſtinée.	Enfin nous désirons par le nœud d'hyménée, Attacher sa fortune à notre déstinée.
EROXENE.	EROXENE.
Nous voulons l’une & l’autre avec pareille ardeur, Nous aſſurer de loin l’empire de ſon cœur.	Nous voulons l'une et l'autre avec pareille ardeur, Nous assurer de loin l'empire de son cœur.
LYCARSIS, Je m’en tiens honoré autant qu’on ſçauroit croire, Je ſuis un pauvre Paſtre, & ce m’eſt trop de gloire, Que deux Nymphes d’un rang le plushaut du païs, Diſputent à ſe faire un époux de mon fils.	LYCARSIS, Je m'en tiens honoré autant qu'on saurait croire, Je suis un pauvre Pastre, et ce m'est trop de gloire, Que deux Nymphes d'un rang le plushaut du pays, Disputent à se faire un époux de mon fils.
Puis qu’il vous plaiſt qu’ainſi la choſe s’exccute, Je conſens que ſon choix regle vôtre diſpute, Et celle qu’à l’écart laiſſera cét arreſt, Pourra pour ſon recours m’epouſer, s’il luy plait.	Puis qu'il vous plaît qu'ainsi la chose s'excute, Je consens que son choix règle votre dispute, Et celle qu'à l'écart laissera cet arrêt, Pourra pour son recours m’ épouser, s'il a paît.
C’eſt toûjours même ſang & preſque même choſe.	C'est toujours même sang et presque même chose.
Mais le voicy, ſouffrez qu’un peu je le diſpoſe, Il tient quelque moineau qu’il a pris fraiſchement, Et voila ſes amours & ſon attachement.	Mais le voici, souffrez qu'un peu je le dispose, Il tient quelque moineau qu'il a pris fraîchement, Et voilà ses amours et son attachement.
SCE	SCE
SCENE V.	SCÈNE V.
MITTIL, LYCARSIS, EROXENE, DAPHNE’.	MITTIL, LYCARSIS, EROXENE, DAPHNE.
MYRTIL.	MYRTIL.
Nnocente petite beſte, A Qui contre ce qui vous arreſte, Vous debattez tant à mes yeux, vorouvnberté ne plaignez point la perte, Vôtre deſtin eſt glorieux, Je vous ay pris pour Melicerte.	Nannocente petite bête, A Qui contre ce qui vous arrête, Vous débattez tant à mes yeux, vorouvnberté ne plaignez point la perte, Votre destin est glorieux, Je vous ai pris pour Mélicerte.
Elle vous baiſera vous prenant dans ſa main, Et de vous mettre en ſon ſein, Elle vous fera la grace.	Elle vous baisera vous prenant dans sa main, Et de vous mettre en son sein, Elle vous fera la grâce.
Eſt-il un ſort au monde & plus doux & plus beau?	Est-il un sort au monde et plus doux et plus beau?
Et qui des Rois, helas!	Et qui des Rois, hélas!
heureux petit moineau, Ne voudroit eſtre en vôtre place?	heureux petit moineau, Ne voudrait être en votre place?
LYCARSIS.	LYCARSIS.
Myrtil, Myrtil, un mot, laiſſons-là ces joyaux, Il s’agit d’autre choſe icy que de moineaux.	Myrtil, Myrtil, un mot, laissons-là ces joyaux, Il s'agit d'autre chose ici que de moineaux.
Ces deux Nymphes, Myrtil, à la fois te pretendent, ne tout jeums de ja pounepoun te demanuent.	Ces deux Nymphes, Myrtil, à la fois te prétendent, ne tout jeums de ja pounepoun te demanuent.
