A	À
aura la bonté de receuoir auec indulgence ce que ie luy preſente auec vn reſpect tres-profond, & i’ay creu que ſi le deſſein que i’ay fait de luy conſacrer cette Tragi-Comedie, eſt vn deſſein temeraire, c’eſt au moins vne de ces belles temeritez dont les plus mauuais ſuccez ne ſont iamais honteux.	aura la bonté de recevoir avec indulgence ce que ie lui presente avec un respect très-profond, et j'ai cru que si le dessein que j'ai fait de lui consacrer cette Tragi-Comédie, est un dessein téméraire, c'est au moins une de ces belles témérités dont les plus mauvais succès ne sont jamais honteux.
Il m’a ſemblé que ie ne pouuois mieux cacher ce que cette Production d’eſprit a de defectueux, qu’en luy donnant pour Protecteur Un BRINCE de qui les qualitez n'ont rien que d’admirable;	Il m'a semblé que ici ne pouvais mieux cacher ce que cette Production d'esprit a dé défectueux, qu'en avait donnant pour Protecteur Un BRINCE de qui les qualités n'ont rien que d'admirable;
& ie me ſuis imaginé que ie ne luy pouuois adioûter plus d’éclat, qu’en empruntant celuy de voſtre Nom.	et même me suis imaginé que ici ne lui pouvais ajouter plus d'éclat, qu'en empruntant celui de votre Nom.
Ie m’eſtendrois icy ſur les loüanges de VOSTRE ALTESSE, s’il m'eſtoit poßible de traitter anec vn art aſſez peu commun, vne mâtiere ſi fort extraordinaire:	Je m'étendrais ici sur les louanges de VÔTRE ALTESSE, s'il m'était possible de traiter anec un art assez peu commun, une mâtiere si fort extraordinaire:
Quand ie pretendrois publier à toute la France les merueilles de voſtre Cœur & de voſtre Eſprit;	Quand ici prétendrais publier à toute la France les merveilles de votre Cœur et de votre Esprit;
la Renommée en à deſia ſi bien informé tout le Monde, que ie ne publierois rien de nouueau.	la Renommée en a déjà si bien informé tout le Monde, que je ne publierais rien de nouveau.
Vous ſçauez, MONSRIGNEVIR, que nous autres Eſcriuains nous n'excellons qu'en debitant d’agreables menſonges à qui vous auons donné le nom d’inuentions;	Vous savez, MONSRIGNEUIR, que nous autres Écrivains nous n'excellons qu'en débitant d'agréables mensonges à qui vous avons donné le nom d'inventions;
& quand ie voudrois dire que les auantages particuliers de ces Grands Hommes que nous appellens Demy dieux, ſont tous aſſemblez en FOSTRE ALTESSE, ie ſuis aſſuré que ie ne dirois rien que de verirable.	et quand grande voudrais dire que les avantages particuliers de ces Grands Hommes que nous appellents Dem dieux, en tous AL en FOSTRE ALTESSE, Seigneur suis assuré que tu ne dirais rien que de vérirable.
Puiſque ie ſuis reduit à ne poutoir dire à voſtre gloïre que des veritez, i'oſeray vous demander la permißion, d'en pi blier encore vne qui concerne mes imtęreſts, & qui n'eſt pas moins, certaine que les precedentes.	Puisque ie suis réduit à ne poutoir dire à votre gloïre que des vérités, j'oserai vous demander la permise, d'en pi blier encore une qui concerne mes imtęrests, et qui n'est pas moins, certaine que les précédentes.
C’eſt que ie ſuis auec vne paßion tres-reſpectueuſe, & tres-inuiolable.	C'est que personne suis auecours passion très-respectueuse, et très-inviolable.
MONSEIGNEVR, De Voſtre Alteſſe,	MONSEIGNEUR, De Votre Altesse,
Le tres-humble & tres obeïſſant ſeruiteur, QVINAVLT.	Le très-humble et très obéissant serviteur, QUINAULT.
A SON ALTESSE	À SON ALTESSE
*:	*:
DE I I s.	DE I I s.
Y	Y
6 TLLVSTREOrnement de l’Hiſtoire, Æ Grand PRINCE!	6 TLVTREOrnement de l'Histoire, Grand PRINCE!
ie doy proteſter Que ſi i’oſe écrire à ta gloire;	Ne dois protester Que si j'ose écrire à ta gloire;
C’eſt ſans eſpoir de l’augmenter.	C'est sans espoir de l'augmenter.
Qui plus loin la voudroit eſtendre, Ne pourroit iamais entreprendre Vn plus temeraire proiet;	Qui plus loin la voudrait étendre, Ne pourrait jamais entreprendre Un plus téméraire proiet;
Et ſi ma Plume ingenieuſe Te prend icy pour ſon obiét;	Et si ma Plume ingénieuse Te prend ici pour son objet;
C’eſt que ma Veine ambitieuſe N’a pû pour ſe rendre fameuſe Prendre vn plus glorieux ſuiet.	C'est que ma Veine ambitieuse N'a pu pour se rendre fameuse Prendre un plus glorieux sujet.
I	I
ODE.	ODE.
Quelque autre poſſible en ma place Feroit ſerupule de choquer Los Diuinitez du Parnaſſe Qu'on a couſtume d’inuoquer.	Quelque autre possible en ma place Ferait servupule de choquer Los Divinités du Parnasse Qu'on a coutume d'invoquer.
On tient que ces Filles ſçauantes, Par des inuentions charmantes, Changent les defauts en beautez;	On tient que ces Filles savantes, Par des inventions charmantes, Changent les défauts en beautés;
Pour moy, de ces Nimphes propices Ie mépriſe ìcy les clartezs Qu'elles gardent leurs bons offices, Ie n’ay pas beſoin d’artifices Pour écrire des veritez.	Pour moi, de ces Nymphes propices Je méprise ìcy les clartezs Qu'elles gardent leurs bons offices, Ie ay pas besoin artifices Pour écrire des vérité.
Ie laiſſe aux curieuſes Plumes Le recit des faits glorieux Dont l’Hiſtoire enfſe ſes Volumes A la gloire de tes Ayeux.	Je laisse aux curieuses Plumes Le récit des faits glorieux Dont l'Histoire ens ses Lumes A la gloire de tes Aïeux.
Eſtre du ſang de ces Monarques Qui ſe font par d’illuſtres marques Autant cherir que redouter, De ces Roix qui par leur courage Ont touſiours eu droit de compter Cét Empire pour leur partage, Ce n’eſt que le moindre auantage De ceux dont tu te peux vanter.	Être du sang de ces Monarques Qui se font par d'illustres marques Autant chérir que redouter, De ces Roi qui par leur courage Ont toujours eu droit de compter Cet Empire pour leur partage, Ce n'est que le moindre avantage De ceux dont tu te peux vanter.
La Portune fut ſans caprice, Au moment qu’elle te ſit don, Auecque ſi grande iuſtice, Du nom Auguſte de BOVRBON.	La Portune fut sans caprice, Au moment qu'elle te sit don, Avec si grande justice, Du nom Auguste de BOURBON.
Quoy que ce Nom incomparable Semble eſtre ſi conſiderable Qu’il ne puiſſe augmenter de prix;	Quoi que ce Nom incomparable Semble être si considérable Qu'il ne puisse augmenter de prix;
Quoy que du couchant à l’Aurore, Il eſtonne tous les oſprits, L'on s’abuſe, ſi l'on ignore Qu'vn iour tu le dois rendre encore Plus fameux que tu ne l'hs pris.	Quoi que du couchant à l'Aurore, Il étonne tous les osprits, L'on s'abuse, si l'on ignore Qu'un jour tu le dois rendre encore Plus fameux que tu ne l'hs pris.
auok;	auk;
, 2.	, 2.
22 Lla AMA aEDETI Ie croirois te faife vn outrage:	22 Lla AMA aEDETI Je croirais te faife un outrage:
CI Si ie te voulois comparer i 3 Que la Fable a fait reuerer.	CY Si grande te voulais comparer y 3 Que la Fable a fait révérer.
.	.
Dans quelques endroits de la terre, Où eu veilles porter la guerre Pour la gloire de noſtre Roy, L’Ennemy fuſt-il indomptable, - Tu ſçauras le combler d'effroy;	Dans quelques endroits de la terre, Où eu veilles porter la guerre Pour la gloire de notre Roi, L'Ennemi fût-il indomptable, - Tu sçauras le combler d'effroi;
Et ſile Sortt eſt fauorable, Ce que de Mars, à dit la Fable l’Hiſtoire le dira de toy.	Et síle Sortt est favorable, Ce que de Mars, à dit la Fable l'Histoire le dira de toi.
211 I D6:	211 I D6:
L1 G’eſt vne, Merueille eſtonnante, De qui Ia lumiere cclattante Eblouyt au lieu d'éclairer, Vn Feu qui ſçait par tout s’eſtendre, Mais qu'on ne ſçauroit figurer;	L1 G'est une, Merveille étonnante, De qui Ia lumière cclattante Éblouit au lieu d'éclairer, Un Fu qui sait par tout s'étendre, Mais qu'on ne saurait figurer;
Et dont l’elclat nous vient ſurprendre Bien moins pour ſe ſaire comprendre, Qu’aſin de ſe faire admirer.	Et dont l'elclat nous vient surprendre Bien moins pour se zaïre comprendre, Qu'asin de se faire admirer.
Extraict du Priuilege l 3u uy ent Ti 1 ihqus icondſ:	Extrait du Privilège l 3u ui ent y 1 ihs iconds:
ROe anio nait e 2 ob uir  AR grace & Priuilege du UI, i Roy -donné à Paris le troitieſme iour de Iuin mil ſix cens cinquante.	ROe anio naît e 2 ob uir AR grâce et Privilège du VI, y J' -donné à Paris le troitième jour de Juin mil six cens cinquante.
ſix, ſigné le GROS.	six, signé le GROS.
Il eſt permis à Touſſainct Quinet, Marchand Libraire en noſtre bonne Ville de Paris, de faire Imprimer, vendre & debiter par tous les lieux de noſtre obeïſſance vne piece de Theatre intitulée, La Genereuſe Ingratitude, Tragi- Comedie Paſtorale du Sieur uinault, pendãt l’eſpace de cinq ans, à commencer du iour que ladite piẽco ſera acheuée, d’imprimer, & defences ſont faites à toutes perſonnes de l’imprimer, vendre ny debiter pendant ledit tẽps, ſur peine de quinze cens liures d’amende, & de tous dépens, dõmages, & intereſts, comme il eſt plus amplement porté par leſdites lettres de priuilege.	Il est permis à Toussainct Quinet, Marchand Libraire en notre bonne Ville de Paris, de faire Imprimer, vendre et débiter par tous les lieux de notre obéissance avoir pièce de Théâtre intitulée, La Généreux Ingratitude, Tragi- Comédie Pastorale du Sieur uinault, pendãt espace de cinq ans, commencer du iour que ladite piẽco sera acheuée, imprimer, et defences sont faites toutes personnes de imprimer, vendre ni débiter pendant ledit tẽps, sur peine de quinze cens liures amende, et de tous dépens, dõmages, et intérêts, comme il est plus amplement porté par lesdites lettres de priuilege.
Enregiſtré ſur le liure de la Commus nauté, le neuſiéme de Iuin 1656.	Enrégistré sur le livre de la Commus nauté, le neusième de Juin 1656.
ſuiuant l'Arreſt du Parlement qu.	suivant l'Arrest du Parlement qu.
9.	9.
Avril 1653.	Avril 1653.
Acheué d’imprimer pour la premiere fois le I5.	Achevé d'imprimer pour la première fois le J5.
Iuin i656.	Juin i656.
ACTEMRR Siq 23122 Ll 3oil in aue MMoil o  ZELINDE.	ACTEMR Siq 23122 Ll 3oil in aue MMoil ô ZÉLINDE.
Fille de Lindarache, déguiſéc en homme,ſous le nom ’Ormin & Qe il' habit d'vn eſtlaue.	Fille de Lindarache, déguiséc en homme,sous le nom ÔRmin et Qe il habit d'un estlave.
nED v Li ZEGEY?	nED v Li ZÉGEY?
Maiſtre de Zeſindé) & Amant 2tirde Fatime.	Maître de Zesindé) et Amant 2tirde Fatime.
3 2b M.	3 2b M.
obtortin’i ALABEZ) Second eſclaue de Zegry!	obtortin'y ALABEZ) Second esclave de Zegri!
55 CARITFE, Eſelaué delFatimoiiIo Ila FATIME, Mhiſtréiſe de Zεg& Aman te d’Adibar.	55 CARITFE, Eselavé délFatimoiia Ila FATIME, Mhistréise de Zεget Aman te d'Adibar.
LINDARACHE, Mere de Zelinde & d’Abencerage.	LINDARACHÉ, Mère de Zélinde et d'Abencerage.
La Scene eſt dans la Foreſt d'Algeri	La Scène est dans la Forêt d'Algeri
LA 1?	LA 1?
ie:	Ne:
JENEREVSE INGRATITVDE.	JENEREUSE INGRATITUDE.
l donuue dmyMM E	 lonvue dmiMM E
A Vii E I SCENE PREMIERE.	AI Ei E I CÈNE PREMIÈRE.
16 ORMIN.	16 ORMIN.
Harmante ſolitude, agteable ſelour, Beaux lieux où l'ay receu ina tie, & mon Eig amour, vieux arbres, clalrs ruiſſeaux, dont l'ombre & le murmure Marquent de la pltié pous ma triſte aduenture;	Harmante solitude, agteable selour, Beaux lieux où l'ai reçu ina tye, et mon Éig amour, vieux arbres, clalrs ruisseaux, dont l'ombre et le murmure Marquent de la pltié pous ma triste aventure;
A Zephirs, Echo, Rochers, & vous ſombres Foreſts.	A AZéphirs, Écho, Rochers, et vous sombres Forêts.
Jovez des conſidents de mes ennuls ſecrets;	Jovez des considents de mes ennuls secrets;
Ie ne ſuis plus Zelinde autrefois adorée Des plus dignes Amants de toute la contrée, Sous l'habit d’vn eſclaue en cette extremité, Ie ſers vn infidelle auec ſidelité, Vn ingrat qui me flatte, en mon mal heur extréme;	Je ne suis plus Zélinde autrefois adorée Des plus dignes Amants de toute la contrée, Sous l'habit d' esclaue en cette extrémité, Je sers un infidèle avec sidélité, Un ingrat qui me flatte, en mon mal heur extrême;
Et qui me hayroir, s’il ſçauoit que ie l’aime.	Et qui me haïroir, s'il sçauoit que personne l'aime.
Arbres dans voſtre ſort, que le vous treuue heureux, Vous eſtez mal-traittez par l’Hyuer rigoureux;	Arbres dans votre sort, que le vous trouver heureux, Vous estez mal-traités par l'Hiver rigoureux;
Mais dés que le Prin-temps fait ceſſer la froidure, Vous reprenez ſoudain voſtre ancienne verdure;	Mais dès que le Printemps fait cesser la froidure, Vous reprenez soudain votre ancienne verdure;
Et deſſus vos rameaux dans le temps des moiſſons, On rencontre des fruits, où l’on vid des glaçons.	Et dessus vos rameaux dans le temps des moissons, On rencontre des fruits, où l'on vit des glaçons.
Chacune des ſaiſons, s’eſt veu deux fois changée, Depuis qu’Amour s’obſtine à me rendre affligée, Que ie languis ſans ceſſe, & qu’il m’eſt deffendu De pretendre au repos que mon cœur a perdu.	Chacune des saisons, s'est vu deux fois changée, Depuis qu'Amour s'obstine à me rendre affligée, Que ie languis sans cesse, et qu'il m'est défendu De prétendre au repos que mon cœur a perdu.
Celuy pour qui ie brûle auec tant.	Celui pour qui belle brûle avait tant.
de conſtance, Eſt vn volage, 6 Dieux I le voicy qui s’auance.	de constance, Est un volage, 6 Dieux I le voici qui s'avance.
SELIVE II.	SELIVE II.
ZEGRY, ORMIN.	ZÉGRY, ORMIN.
la ds ne 1.	la ds ne 1.
Rmin, ſe te cherchois?	Rmin, se te cherchais?
ORMIN.	ORMIN.
Ie vous cherchois auſſi:	Je vous cherchais aussi:
ZEGRY.	ZÉGRY.
Apprends que dés demaininous partirons d’icy,	Apprends que dès demaininous partirons d'ici,
ORMIN.	ORMIN.
Quoy, Selgneur, vous quittez ſi toſt voſtre Patije, Bes Cabanes, ces hois, cette belle Prait le	Quoi, Selgneur, vous quittez si tôt votre Patije, Bes Cabanes, ces hois, cette belle Prait le
ZEGRY.	ZÉGRY.
Ie ne tay point celé quel'ayme dans ces lieux, I a charmante Fatime, vn chef-d’œuure des Cieux, I’eſpérois voir icy cette Beauté ſi chere;	Je ne tai point celé quel'aime dans ces lieux, I a charmante Fatime, un chef-d'œuvre des Cieux, J'espérais voir ici cette Beauté si chère;
Mais i'ay ſceu qu'à Thunis, elle eſt auec ſon pere, Et bien que ce ſeiour poſſede mille appas, Ie n’y vois rien de beau quand ie ne la vois pas.	Mais j'ai su qu'à Thunis, elle est avec son père, Et bien que ce seiour posse mille appas, Je n'y vois rien de beau quand personne ne la vois pas.
ON RlIAVa Psles Que mon mal.	ON RlIAVa Psles Que mon mal.
heur eſt grãd, que batime eſt heureuſe!	heur est grands, que batime est heureuse!
ZEGRY.	ZÉGRY.
Que ſon abſence eſt rude à mon ame amoureuſe!	Que son absence est rude à mon âme amoureuse!
Pour me rendre aupres d’elle au point du iour demain;	Pour me rendre auprès d'elle au point du jour demain;
Ie veux que de Thunis nous prenions le chemin, Ie ſeray trop content, pourueu que ie la voye, ſecroy qu’ene prendra queique pait à ma ioye, Elle eut de mon depart vn regret aſſez grand, Et ie ne luy ſuis pas, ſans doute indifferend,	Je veux que de Thunis nous prenions le chemin, Je serai trop content, pourvu que sans la voie, secroi qu'ene prendra queique paît à ma joie, Elle eut de mon départ un regret assez grand, Et ie ne lui suis pas, sans doute indifférend,
ORMIN.	ORMIN.
Sa flame aſſeurement ne ſera pas eſteinte:	Sa flamme assurément ne sera pas éteinte:
ZEGRY.	ZÉGRY.
Ah!	Ah!
c’eſt tout mon eſpoir.	c'est tout mon espoir.
ORMIN A part.	ORMIN À part.
Ah!	Ah!
c'eſt toure ma cralnte.	c'est toure ma cralnte.
DOM M ds Ao ALABEZ,ZEGRY, ORMIN,	DOM M Ê Ao ALABEZ,ZEGRY, ORMIN,
ALABEZ.	ÀLABEZ.
Llegreſſe, allegreſſe, eſtranglez vos ſoupirs, A i'ay du contrepoiſon pour tous vos deſplaiſirs, A ij	Lélégresse, allégresse, étranglez vos soupirs, À j'ai du contrepoison pour tous vos déplaisirs, A jjj
ZEGRY.	ZÉGRY.
Sy nous ce que tu icais, ians nous ſamer en peine,	Si nous ce que tu icais, jant nous samer en peine,
ALABEZ.	ÀLABEZ.
Permettez, s’il vous plaiſt, que ie reprenne haleine.	Permettez, s'il vous plaît, que cela reprenne hale.
Parle donc?	Parle donc?
TEGRY.	TÉGRY.
Al DADEEO Ie n’ay garde:	Al DADEO Je n'ai garde:
ZEGRY.	ZÉGRY.
Ah, c'en eſt trop ſouffrir!	Ah, c'en est trop souffrir!
Dis nous tout promptement,	Dis nous tout promptement,
ALABEZ.	ÀLABEZ.
Vous en pourrlez mourir:	Vous en pourriez mourir:
E bei is 1.	E bey is 1.
C’eſt donc quelque mal-heur que le deſtin m’enuoye.	C'est donc quelque malheur que le destin m'envoie.
ALABEZ.	ÀLABEZ.
Vous en pourrlez mourir, mais ce ſeroit de loye, Fatime dans ces lieux arriua hier au ſoir.	Vous en pourriez mourir, mais ce serait de loie, Fatime dans ces lieux arriva hier au soir.
DDURY.	DDURY.
Fatime, eſt-il poſſitſe?	Fatime, est-il possitse?
ALADEE.	ÀLADE.
ouy, ie viens de la voir;	oui, Seigneur viens de la voir;
ZEGRY.	ZÉGRY.
Tu te trompes, peut-eſtre?	Tu te trompes, peut-être?
ALABEZ.	ÀLABEZ.
Ah, ie ne ſuls pas giut;	Ah, Seigneur ne suls pas giut;
Ie l'ay ſort obſeruée ;	Je l'ai sort observée ;
ue l'ay uien ieconnue, Son Eſclaue qui ſut ma Maiſtreſſe autresfost, Aueceſſe à l'inſtant vient d'entier en ce boſs	Que l'ai uien ieconnue, Son Esclave qui sut ma Maîtresse autresfôt, Avecesse à l'instant vient d'entier en ce boss
ZEGRY.	ZÉGRY.
Dieux i'hè la vois-ie point?	Dieux j'heure la vois-je point?
ALABEZ.	ÀLABEZ.
Oüy, c’eſt elle qui paſſe,	Oui, c'est elle qui passe,
ZEGR 1 Que ſes yeux ont d’éclat, que ſon port a de grace,	ZEGR 1 Que ses yeux ont d'éclat, que son port a de grâce,
Hejas!	Héjas!
ORMIN à pait,	ORMIN à paît,
A y ſecomiois inme nouuéaux appas?	À y secomiois inme nouuéaux appas?
ALABEZ.	ÀLABEZ.
Eſtes vous inſenſe, vous ne I’abordez pai.	Êtes vous insensé, vous ne J'abordez pai.
ZEGRY.	ZÉGRY.
Non pour la ſaluer, ie luy rendray viſite, I'auray ſans doute alors l’ame moins interdite.	Non pour la saluer, ie luy rendrai visite, J'aurai sans doute alors l'âme moins interdite.
ALABEZ.	ÀLABEZ.
Pour moy qui n’ayme pas, l deltatemene, Ie vais ſans differer, faire mon compliment.	Pour moi qui n'aime pas, l' deltatemene, Je vais sans différer, faire mon compliment.
ZEGRY.	ZÉGRY.
Sans nous monſtrer, d'icy nous pourrons reconnoiſtre Par T’accuenr au vaice, Teitat qu’on iait du Maiſtre.	Sans nous montrer, d'ici nous pourrons reconnaître Par T'accuenr au vaice, Titat qu'on jait du Maître.
SCENE IV.	SCÈNE IV.
L ZEGRY, ORMIN.	 LZÉGRY, ORMIN.
ALABEZ.	ÀLABEZ.
Nhn dont, teſſement, tellement donc enſint CHARIFE.	Nhn dont, tessement, tellement donc ensint CHARIFE.
Que veut cét inſolent, paſſez voſtre chemin!	Que veut cet insolent, passez votre chemin!
ALABEZ.	ÀLABEZ.
Quoy loin de m'embraſſer, Charife me querelle?	Quoi loin de m'embrasser, Charife me querelle?
CHARIFE.	CHARIFE.
Allez, retltez vous?	Allez, retltez -vous?
ALABEZ.	ÀLABEZ.
19 Mls onen ſ acenei:	19 Mls onen s acènei:
FATIME.	FATIME.
Quel bruic ayaie entendu, quel nomme ſuit vos pas?	Quel bruic aie entendu, quel nomme suit vos pas?
CHARIFE.	CHARIFE.
C’eſt vn impettinent, que ſe ne connois pas.	C'est un impettinent, que se ne connais pas.
ALABEZ.	ÀLABEZ.
Ie ſuis dont fort changé, de ce dernier voyag?	Je suis dont fort changé, de ce dernier voyag?
Mais ton ame eſt changée, & non pas mon viſage;	Mais ton âme est changée, et non pas mon visage;
La Manerene lans doute aura de mellleurs yeux, Elle ſeia moins ſotte, & me connoiſtra mieux.	La Manérène lans doute aura de mellleurs yeux, Elle seia moins sotte, et me connaîtra mieux.
FATIME.	FATIME.
Et qui donc eſtes vous?	Et qui donc êtes -vous?
ALAREE.	ÀLARE.
1 biciaue ce mion Maiſtre.	1 biciène ce myon Maître.
Quel Maiſtre?	Quel Maître?
FATIME.	FATIME.
ALABEL.	ÀLABEL.
Pourriez-vous auſſi le méconnoiſtre;	Pourriez-vous aussi le méconnaître;
Son nom de voſtré eſprit ſeroit il effacé.	Son nom de vostré esprit serait -il effacé.
TATIME.	TATIME.
Charife, aſſeurement cét homme eſt inſenſé,	Charife, assurément cet homme est insensé,
MEADEM.	MEADEM.
Quoy du vaillant Zegty, vous perdez la memoire.	Quoi du vaillant Zégti, vous perdez la mémoire.
Zegry?	Zegri?
FAIIME.	FAIIME.
ZEGRY A pan;	ZÉGRY A pan;
he mochitance, 6 Ciel qui l'euſt peu croire?	hé mochitance, 6 Ciel qui l'eût pu croire?
ALABEZ.	ÀLABEZ.
Cét illuſtie neritier de ces braues Sucrrieras Qui iuſques dans l’Eſpagne ont ceuilly des Lauriers, Voitté feellé Amant, le frété de Zaide.	Cet illûtie néritier de ces braves Sucrieras Qui jusques dans l'Espagne ont ceuilly des Lauriers, Voité feelé Amant, le frété de Zaide.
FATIME.	FATIME.
Ah, ie m’en roſouuiens!	Ah, Seigneur m'en rossouviens!
ZEGRY à part.	ZÉGRY à part.
L’Ingrate, la perfide;	L'Ingrate, la perfide;
ALABEZ.	ÀLABEZ.
Vous ne demandez point en quel eſtat il eſt?	Vous ne demandez point en quel état il est?
FATIME.	FATIME.
Pourquoy dans ſa perſonue uy vie querque inteseſt;	Pourquoi dans sa personue ui vie querque inteste;
Peut eſtre qu’il eſt mort.	Peut être qu'il est mort.
ALABEZ.	ÀLABEZ.
vous Tauez dit, Madame.	Vous Tavez dit, Madame.
FATIME.	FATIME.
Nous sonies tous mortels!	Nous zoniez tous mortels!
le Prophete ait ſon ame,	le Prophète ait son âme,
CHARIFE.	CHARIFE.
Vn ſidelle valet euſt couru ſon danger?	Un sidelle valet eût couru son danger?
Pourquoy n’es-tu pas mort;	Pourquoi n'es-tu pas mort;
ALABEZ.	ÀLABEZ.
Pour te faire enrager?	Pour te faire enrager?
ZEGRY ſe découurant.	ZÉGRY se découvrant.
Le Prophete ait ſon ame, inſidelle Fatime?	Le Prophète ait son âme, insidelle Fatime?
Eſt-ce ainſi que pour moy voſtre bonté s’exprime, Mon retour vous déplaiſt, obiet trop deceuant, Qui me mépriſoit mort, me doit hayr viuant, Ie trouble auec plaiſir cette ioye infidelle Que de monfeint, trépas vous cauſoit la nouuelle?	Est-ce ainsi que pour moi votre bonté s'exprime, Mon retour vous déplaît, objet trop décevant, Qui me méprisait mort, me doit haïr vivant, Je trouble était plaisir cette joie infidèle Que de monfeint, trépas vous causait la nouvelle?
Oüy, puiſque de ma mort l’aduis vous eſt ſi doux Ie vis encor, ingratte, & ne vis plus pour vous, Toute ma paſſion ſe transfosme en furie, Ie vous mépriſe autant que ie vous ay cherie;	Oui, puisque de ma mort l'avis vous est si doux Je vis encor, ingrate, et ne vis plus pour vous, Toute ma passion se transfôme en furie, Je vous méprise autant que je vous ai chérie;
anxaseur juitetuse toye vhioez ſiioureux, L’amour ne cauſe plus mes ſoûpirs ny mes feux, Le loupire des ſoins employez à vour plane, Et ſi le brule encor, ie brûle de coleie.	anxeur juitetuse toie vhioez sijoureux, L'amour ne cause plus mes soupirs ni te feux, Le oupire des soins employez à vour plane, Et si le brûle encor, ie brûle de colie.
ORMIN à part.	ORMIN à part.
Ce ſuceez à mes vœux, répond au dernier point.	Ce succez à mes vœux, répond au dernier point.
FATIME.	FATIME.
Cét adueu me ſurprend, & ne m’afflige point, Mes diſcours precedens vous ont deu ſaire entédre Que ie n’ay pas;	Cet aveu me surprend, et ne m'afflige point, Mes discours precedens vous ont de vaire entendre Que te n’ai pas;
pour vous l’ame tout à fait tendre, Vous deuez croire apres ce mepris apparent, Que ce qui vient de vous, m'eſt fort indifferend;	pour vous l'âme tout à fait tendre, Vous devez croire après ce mépris apparent, Que ce qui vient de vous, m'est fort indifférend;
I'ay mille autres Amans plus braues que vous n’eſtes;	J'ai mille autres Amants plus braves que vous n'êtes;
Et ne vous mertois pas au rang de mes conqueſtes,	Et ne vous mertais pas au rang de mes conquêtes,
ZEGRI.	ZÉGRI.
Voſtre orgueil eſt plus grãd que n'eſt voſtre beauté, Le chatme eſt aſſez foible, où ie fus arreſté,	Votre orgueil est plus grãd que n'est votre beauté, Le chatme est assez faible, où tu fus arrêté,
8 La Genereuſe Ingratitude Il eſt vray que iadis je vous trouuois aymable.	8 La Généreuse Ingratitude Il est vrai que jadis je vous trouvais aimable.
Mais i'eſtois amoureux, & n'eſtois pas croyable, Auiourd'huy n’ayant plus l’eſprit ſi déreglé vous ceſſez d'eſtrebelle, & moy d’eſtre aueuglé;	Mais j'étais amoureux, et n'étais pas croyable, Auiourd'hui n'ayant plus l'esprit si déréglé vous cessez d'êtrebelle, et moi d'être aveuglé;
Et ſi vous m’auez pleu, c’eſt qu’il m’eſt impoiſible Lors que ſe ſuis aymé de faire l'inſenſible.	Et si vous m'avez plu, c'est qu'il m'est impoisible Lors que se suis aimé de faire l'insensible.
FATIME.	FATIME.
Moy, vous aymer, o Giel!	Moi, vous aimer, ô Giel!
l'eſtrange opinion, Ie neus iamais pour vous que de l'auerſion.	l'étrange opinion, Je neus jamais pour vous que de l'aversion.
