AV ROT.	AU ROT.
Elle fuit ſon bon heur, à ſoy meſme inhumaine, Pour ſuiure indignement vne eſperance vaine.	Elle fuit son bon heur, à soi -même inhumaine, Pour suivre indignement une espérance vaine.
ACASTE.	ACACSTE.
Sire, felon mon ſens Mirame n’ayme rien.	Sire, félon mon sens Mirame n'aime rien.
Elle meſpriſe tout.	Elle méprise tout.
LE ROY.	LE ROY.
Voſtre fens eſt le mien.	Votre sens est le mien.
Meſpriſer Aramor auec vne couronne, Meſpriſer les conſeils que ſon Pere luy donne.	Mespriser Aramor avec une couronne, Mespriser les conseils que son Père homme donne.
Son deuoir & ſoy meſme, eſt bien aſſeurément Faire meſpris de tout ſans aueun jugement.	Son devoir et soi -même, est bien assurément Faire mépris de tout sans aveun jugement.
Mais ſi de ces meſpris Arimant eſt la cauſe, L’ingrate en ſon meſpris priſe bien peu de choſe.	Mais si de ces mépris Arimant est la cause, L'ingrate en son mépris prise bien peu de chose.
Cependant l’orgueilleux enflé de ſon pouuoir Tieni ſa flotte a la rade & demande à me vols.	Cependant l'orgueilleux enflé de son pouvoir Tien sa flotte à la rade et demande à me vols.
Bien qu’il parle de paix, ce n’eſt qu’vne fineſſe, Pour trouuet va moyen de reuois la Princeſſe.	Bien qu'il parle de paix, ce n'est qu'une finesse, Pour trouvet va moyen de rêvais la Princesse.
Mais de mon ennemy ie deteſte l’ibbord, Qu’il vous parle, il ſuffir, qu’on le reçoiue au pont Il faudra luy donner quelque Prince en oſtage.	Mais de mon ennemi Dieu deteste l'ibord, Qu'il vous parle, il suffir, qu'on le reçoive au pont Il faudra Roi donner quelque Prince en ôtage.
Allez, remarques bien ſon geſte & ſon langige.	Allez, remarques bien son geste et son lange.
Touterfois attendez,ie veux premierement De ma fille en ce lieu ſonder le ſentiment.	Touterfois attendez,ie veux premièrement De ma fille en ce lieu sonder le sentiment.
Faictes la moy venir, tandie cer e yerdure Peut eſtre trompera les ennpis que l’endure.	Faites la moi venir, tandie cerve e yerdure Peut être trompera les ennpis que l'endure.
ombien, cruel amour, mets tu dans les eſprits pe deſirs imprudens & d’iniuſtes meſpris?	ombien, cruel amour, mets tu dans les esprits pe désirs imprudents et d'injustes mépris?
aſſion miſerable, aueugle, temeraire.	assion misérable, aveugle, téméraire.
t capable d’atmer l'entant contre le Pere.	 capable d'atmer l'entant contre le Père.
’honneur & le deuoir par toy ſont terraſſez ;	honneur et le devoir par toi sont terrassés ;
e par toy des Eſtars ont eſte renuerſez.	eu par toi des Étars ont este renversés.
Mais vous, o beaux jardins de ma chere Heraclée, Qui repouſſer du pied l’orgueil de l’onde enllée.	Mais vous, ô beaux jardins de ma chère Heraclée, Qui repousser du pied l'orgueil de l'onde enllée.
Voù l’on voit à meſme heure & des fleurs & des flots, l’horreur & le plaiſir, le trouble & le repos;	Voù l'on voit à même heure et des fleurs et des flots, l'horreur et le plaisir, le trouble et le repos;
Que me preſagez vous, ou la pax, ou la guerte?	Que me présagez -vous, ou la pax, ou la guerte?
Qui verra nos combacs, oa la met, ou la tene?	Qui verra nos combacs, oa la met, ou la téne?
Mau Dieux!	Mau Dieux!
la puis je vOI ?	la puis je vOI ?
calmons nous toutesfois, rauor dulimulet eſt le frauoir des Rois.	calmons nous toutefois, ravor dulimulet est le fravoir des Rois.
SCENE II.	SCÈNE II.
1M 141 LE ROY, MIRAME, AÏMINE, ACASTE, ALCINE.	1M 141 LE ROY, MIRAME, ÂME, ACASTE, ALCYNE.
4 LE ROY.	4 LE ROY.
A flle, vn doux icy tient mon ame en balance.	À fille, un doux ici tient mon âme en balance.
MLe ſuperbe Arimant plein de vaine eſperance, Demande à me parler, & pretend de vous von.	MLe superbe Arimant plein de vaine espérance, Demande à me parler, et prétend de vous von.
Sous vn eſpoir de paix dois-je le receuoir?	Sous un espoir de paix dois-je le recevoir?
MIRAME.	MIRAME.
s’il veut faire la paix, ſa venuë eſt ma joye;	s'il veut faire la paix, sa venue est ma joie;
Si vous la concluez, ie veux bien qu’il me voyeMais s’il rompt auec vous, on pourroit m’obliger Auſſi toſt à mourit, qu’à voir cet eſtranger.	Si vous la concluez, je veux bien qu'il me voieMais s'il rompt auec vous, on pourrait m'obliger Aussi tôt à mourit, qu'à voir cet étranger.
Quoy i Mirame verroir l’ennemy de ſon pere?	Quo y Jirme verroir l'ennemi de son père?
A ce nom ſeulement ie bruſle de cholere.	À ce nom seulement belle brûle de colère.
Verrois-je ſans deſpit, verrois-je ſans horreur.	Verrais-je sans dépit, verrais-je sans horreur.
Celuy de qui l’orgueil couue tant de fureur?	Celui de qui l'orgueil couve tant de fureur?
A uj	A Auj
LE ROY.	LE ROY.
Si du Roy de Colchos il auoit l'heritage!	Si du Roi de Colchos il avait l'héritage!
MIRAME.	MIRAME.
s'il vous hayt, il aura ma haine pour partage.	s'il vous hait, il aura ma haine pour partage.
LE ROY.	LE ROY.
Bien qu’il ſoit né ſajet, il a de hauta deſſeins.	Bien qu'il soit né sajet, il a de hauta desseins.
MIRAME.	MIRAME.
2u agls contre vous, il faut les tendre vains.	2u agl contre vous, il faut les tendre vains.
LE ROY.	LE ROY.
Il pretend auoit Mart & l'Amour fauorables.	Il prétend avait Mart et l'Amour favorables.
MIRAME.	MIRAME.
Ceux qui pretendent trop ſont fouuent miſcrables,	Ceux qui prétendent trop sont fassent miscrables,
LE ROY.	LE ROY.
Il ſe vante d’auoir quelque bon heur fecret.	Il se vante d'avoir quelque bon heur secret.
.	.
MIRAME.	MIRAME.
Va amant bien traidé deuroit eſtre diſcret.	Va amant bien traidé devrait être discret.
LE ROY.	LE ROY.
Il di quil eſt aymé d'vne fozt belle Dame	Il di quil est aimé d'une fozt belle Dame
MIRAME.	MIRAME.
Ce n'eſt douc pus de moy dout il capruue l'ame	Ce n'est douc us de moi dout il capruve l'âme
LE ROY.	LE ROY.
quoy rougiſſez vous, i’l n’eſt point voſtre amant?	quoi rougissez -vous, j'est point votre amant?
MIRAME.	MIRAME.
