ſεui:	zvi:
Et l’on verra ſans doute auec eſtonnement & plaiſir vne choſe du tout ſinguliere & glorieuſe à la Nation, que quelques particuliers parmy leſquels ſe trouuent aſſeurement les plus belles voix du Royaume, & qui chantent le mieux, bien que ce ne ſoit pas leur profeſſion, par vn pur eſprit de diuertiſſement & de galanterie, ayent donné à la France la premiere Comedie Françoiſe en Muſique, & fait à leurs deſpends ce qu’ailleurs les Souuerains de l’Europe ont peine à faire auec des ſoins & des frais infinis.	Et l'on verra sans doute avec étonnement et plaisir une chose du tout singulière et glorieuse à la Nation, que quelques particuliers parmi lesquels se trouvent assurément les plus belles voix du Royaume, et qui chantent le mieux, bien que ce ne soit pas leur profession, par un pur esprit de divertissement et de galanterie, aient donné à la France la première Comédie Française en Musique, et fait à leurs dépends ce qu'ailleurs les Souverains de l'Europe ont peine à faire auec des soins et des frais infinis.
PERSONNAGES.	PERSONNAGES.
ALCIDOR.	ÀLCIDOR.
THTEANDRE.	THTEANDRE.
TIRCIS.	TIRCIS.
Berger.	Berger.
Baſſe.	Basse.
Berger.	Berger.
Bas-Deſſus.	Bas-Dessus.
Berger.	Berger.
Taille.	Taille.
SILVIE.	SYLVIE.
DIANE.	DIANE.
TITIETS.	TITIETS.
Bergere.	Bergère.
Bergere.	Bergère.
Deſſus.	Dessus.
Beigere.	Beigère.
VN SATYRE.	UN SATYRE.
Taille-Baſſe.	Taille-Basse.
A Decoration du Theatre eſt vn Païſage, ſoit LPerſpectiue, ſoit toille peinte, ſoit tapiſſerie de verdure auec deux Boccages à chaque coſté du Theatre.	À Décoration du Théâtre est un Paysage, soit LPerspectiue, soit toille peinte, soit tapisserie de verdure avec deux Boccages à chaque côté du Théâtre.
La Piece peut eſtre meſme repreſentée à la campagne dans vn Cabinet de verdure:	La Pièce peut être même présentée à la campagne dans un Cabinet de verdure:
Elle commence par vne grande Symphonie de Claueſins, Teorbes, Violes, & Deſſus de Violon:	Elle commence par une grande Symphonie de Clavesins, Teorbes, Violes, et Dessus de Violon:
qui tous enſemble jouënt l’ouuerture de l’Acte.	qui tous ensemble jouernt l'ouverture de l'Acte.
En ſuitte vne partie des inſtruments ſe taiſt, & l’autre accompagne les voix auec des Ritornelles dans les Entre-Scenes juſques à la fin de l’Acte, que toute la Symphonie reprend & conclut.	En suite une partie des instruments se taît, et l'autre accompagne les voix avec des Ritornelles dans les Entre-Scenes jusqu' à la fin de l'Acte, que toute la Symphonie reprend et conclut.
ACTE PREMIER L’ouuerture de l’Acte par la Symphonie.	ACTE PREMIER L'ouverture de l'Acte par la Symphonie.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LE SATYRE.	LE SATYRE.
V’il eſt facheux d’aymer quand on n’eſt point aymable!	V'il est fâcheux d'aimer quand on n'est point aimable!
On languit ſans eſpoir, jaloux & miſerable, Et l’on void tout les jours vn moins fidelle amant Poſſeder à ſes yeux l’objét de ſon tourment.	On languit sans espoir, jaloux et misérable, Et l'on voit tout les jours un moins fidèle amant Posséder à ses yeux l'objest de son tourment.
Esperons, toutefois, au fort de nos diſgraces, Amour comme il luy plaiſt dispoſe de ſes graces:	Espérons, toutefois, au fort de nos disgrâces, Amour comme il lui plaît dispose de ses grâces:
Cét Enfant inaiſcret, ce Dieu capricieux, Bien ſouuent dans ſon choix eſt peu judicieux.	Cet Enfant inaiscret, ce Dieu capricieux, Bien souvent dans son choix est peu judicieux.
Des ſujets malheureux de ſon cruel empire Il quitte le meilleur & s’abandonne au pire:	Des sujets malheureux de son cruel empire Il quitte le meilleur et s'abandonne au pire:
Le vice & la laideur ne le rebute point, Et la fortune & luy s'accordent en ce poinct.	Le vice et la laideur ne le rebute point, Et la fortune et même s'accordent en ce point.
Ritornelle.	Ritornelle.
B	B
SCENE SECONDE.	SCÈNE SECONDE.
PHTLANDRE, ALCIDOR.	PHTLANDRE, ALCIDOR.
PHILANDRE.	PHILANDRE.
Adore vne cruelle IQui rit de mon tourment.	Adore une cruelle IQui rit de mon tourment.
ALCIDOR.	ÀLCIDOR.
Ie ſers vne infidelle Qui change à tout moment:	Je sers une infidèle Qui change à tout moment:
Le vent eſt moins leger.	Le vent est moins léger.
PHILANDRE.	PHILANDRE.
Et la roche est moins dure.	Et la roche est moins dure.
ALCIDOR.	ÀLCIDOR.
Eſt-il vn mal pareil aux douleurs que j’endure?	Est-il un mal pareil aux douleurs que j'endure?
PHILANDRE.	PHILANDRE.
Eſt-il vn mal.	Est-il un mal.
&c.	etc.
ALCIDOR.	ÀLCIDOR.
PHILANDRE.	PHILANDRE.
Eſt-il vn mal.	Est-il un mal.
&c.	etc.
Ritornelle.	Ritornelle.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
PHILANDRE.	PHILANDRE.
ALCIDOR.	ÀLCIDOR.
SILVIE.	SYLVIE.
SILVIE, Sans aperceuoir les Bergers.	SYLVIE, Sans apercevoir les Bergers.
L faut aymer & paſſer ſon enuie IDe ce plaiſir le plus doux de la vie:	L faut aimer et passer son envie IDe ce plaisir le plus doux de la vie:
Il faut aymer, mais d’vn amour Qui ne dure qu’vn jour:	Il faut aimer, mais d'un amour Qui ne dure qu'un jour:
Mais d’vn amour dont les flames legeres, Douces & paßageres, Puißent facilement s’esteindre & s’allumer:	Mais d'un amour dont les flammes légères, Douces et passagères, Puissent facilement s'éteindre et s'allumer:
C’est ainſi qu’aymnent les Bergeres, Et c’est ainſi qu’il faut aymer.	C'est ainsi qu'aimnent les Bergères, Et c'est ainsi qu'il faut aimer.
PHILANDRE.	PHILANDRE.
ALCIDOR.	ÀLCIDOR.
la ſurprenant.	la surprenant.
Et c’est ainſi qu’il faut aymer, Siluie, D 'on cuur leger, Toujours prest à changer.	Et c'est ainsi qu'il faut aimer, Silvie, D 'on cv ger, Toujours prêt à changer.
LVIR.	LVIR.
Son exemple vous y conuie.	Son exemple vous y convie.
TIIEAVEES RECTDOR.	TIIEAVEES RECTDOR.
Manquer de foy?	Manquer de foi?
ILVIE.	ILVIE.
Les faux ſerments Sont permis aux amants.	Les faux serments Sont permis aux amants.
PHILANDRE.	PHILANDRE.
ALCIDOR.	ÀLCIDOR.
Ah!	Ah!
le Ciel quelque jour punira ces injures, S’il eſt vn Dieu pour les amants parjures.	le Ciel quelque jour punira ces injures, S'il est un Dieu pour les amants parjures.
SCENE O VATRIESME.	SCÈNE Ô VATRIESME.
PHILANDRE.	PHILANDRE.
ALCIDOR, SILVIE.	ÀLCIDOR, SYLVIE.
DIANE.	DIANE.
DIANE.	DIANE.
Vyons Amour, ce tyran de nos ames, LFuyons ſes traits, ſes priſons & ſes flames;	Vions Amour, ce tyran de nos âmes, LUyons ses traits, ses prisons et ses flammes;
Ses plus charmants plaiſirs Cauſent mille ſoupirs;	Ses plus charmants plaisirs Causent mille soupirs;
Plus il eſt fauorable E-MaAaquol Rencene, Et le moins malheureux Dans l’empire amoureux Est toujours miſerable.	Plus il est favorable E-MaAquol Rencène, Et le moins malheureux Dans l'empire amoureux Est toujours misérable.
LVIE.	LVIE.
Diane ton deſtin est vien contratre au mien, Pour moy j’ayme en tous lieux,	Diane ton destin est vien contraître au mien, Pour moi j'aime en tous lieux,
DIANE.	DIANE.
Et moy je n’ayme rien, Tant que l’astre du jour brillera dans le monde.	Et moi je n'aime rien, Tant que l'astre du jour brillera dans le monde.
LVIE.	LVIE.
Tant que la Lune au Ciel fera ſa courſe ronde.	Tant que la Lune au Ciel fera sa course ronde.
DIANE.	DIANE.
Ie ſeray ſans amour.	Je serai sans amour.
SILVIE.	SYLVIE.
Mon amour changera.	Mon amour changera.
PHILANDRE.	PHILANDRE.
Ah, cruelle!	Ah, cruelle!
PHILANDRE.	PHILANDRE.
ALCIDOR.	ÀLCIDOR.
Ah, volage!	Ah, volage!
Amour nous vengera.	Amour nous vengera.
ALCIDOR PHTLANDRE Amour, &c.	ÀLCIDOR PHTLANDRE Amour, etc.
ALCIDOR.	ÀLCIDOR.
O loy de la Nature Impitoyable & dure, Qui fais l’objet de nos deſirs Du ſujet de nos deſplaiſirs!	Ô loi de la Nature Impitoyable et dure, Qui fais l'objet de nos désirs Du sujet de nos déplaisirs!
Dexe teger, inconſtamt Cioolare, Quel charme nous retient dans ton cruël ſeruage?	Dexe teger, inconstamt Cioolare, Quel charme nous retient dans ton cruël servage?
Et quel deſtin nous a ſoumis A la rigueur d’aymer nos ennemis?	Et quel destin nous a soumis A la rigueur d'aimer nos ennemis?
Ritornelle.	Ritornelle.
Mais quoy?	Mais quoi?
contre ſes charmes En vain on prend les armes, En vain la raiſon ſe deffend, Il reste à la fin triomphant:	contre ses charmes En vain on prend les armes, En vain la raison se défend, Il reste à la fin triomphant:
Tout fier qu’il eſt, inotpiut e volage, Il faut viure & mourir dans ſon cruël ſeruage, Et le deſtin nous a ſoumis Au doux tourment d’aymer nos ennemis.	Tout fier qu'il est, inotpiut e volage, Il faut vivre et mourir dans son cruël servage, Et le destin nous a soumis Au doux tourment d'aimer nos ennemis.
Concluſion de l’Acte par toute la Symphonie.	Conclusion de l'Acte par toute la Symphonie.
5	5
ACTE SECOND.	ACTE SECOND.
Ouuerture de l’Acte par la Symphonie.	Ouverture de l'Acte par la Symphonie.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
TIRCIS.	TIRCIS.
DIANE ſuruient, qui ſe cache pour l’entendre dans le boccage.	DIANE survient, qui se cache pour l'entendre dans le bocage.
TIRCIS.	TIRCIS.
Epuis que ma Philis a quitté ces beaux lieux, Tout eſt changé, l’onde & la terre, L'Air & les Cieux.	Epuis que ma Philis a quitté ces beaux lieux, Tout est changé, l'onde et la terre, L'Air et les Cieux.
La Nature languit, les lys de ce parterre Ploiriſſent de douteurs, Et ſi le Ciel qui l’a rauie Enfin n’a pitié de mes pleurs, Loin du Soleil qui me donne la vie, Je vais mourir comme ces fleurs.	La Nature languit, les lys de ce parterre Ploirissent de douteurs, Et si le Ciel qui l'a ravie Enfin n'a pitié de mes pleurs, Loin du Soleil qui me donne la vie, Je vais mourir comme ces fleurs.
Ritornelle.	Ritornelle.
TIRCIS ſe couche au pied du boccago ce o endore.	TIRCIS se couche au pied du boccago ce ô endore.
SCENE II.	SCÈNE II.
TIRCIS endormy.	TIRCIS endormi.
DIANE cachée.	DIANE cachée.
PHILIS ſans les apperceuoir.	PHILIS sans les apercevoir.
PRILIS.	PRILIS.
On cœur, vous le ſçauez, la douleur eſt extreme, De quitter ce qu’on ayme.	On cœur, vous le savez, la douleur est extrême, De quitter ce qu'on aime.
Mais quoy qu'vn long ſejour Nous cauſe de ſouffrance, Vous le ſçaueZ, mon cœur, le plaiſir du retour Eſt plus grand mille fois que le mal de l’abſence.	Mais quoi qu'un long séjour Nous cause de souffrance, Vous le savez, mon cœur, le plaisir du retour Est plus grand mille fois que le mal de l'absence.
RCIS ſe reſueillant.	RCIS se réveillant.
Ah, ma Philis eſt de retour!	Ah, ma Philis est de retour!
HILIS.	HILIS.
Ah, mon Tircis!	Ah, mon Tircis!
IRCIS.	JRCIS.
Ah, mon amour!	Ah, mon amour!
Helas!	Hélas!
hé qui t’a donc ſi long-temps retenuë?	hé qui t'a donc si longtemps retenue?
LI Vn dur depain, Mais enfin.	LI Un dur dépain, Mais enfin.
Tous Deux.	Tous Deux.
Mais enfin Philis eſt reuenuë.	Mais enfin Philis est revenue.
CIS.	CIS.
Toujours constante à me garder ſa foy?	Toujours constante à me garder sa foi?
PHILIS.	PHILIS.
Toujours eſgale à n’aymer rien que toy.	Toujours égale à n'aimer rien que toi.
Et mon Berger?	Et mon Berger?
CIS.	CIS.
Et ton Berger bruſle de meſme flame.	Et ton Berger brûle de même flamme.
Allons mon cœur.	Allons mon cœur.
PHILIS.	PHILIS.
Allons mon ame.	Allons mon âme.
Tous Deux.	Tous Deux.
Allons mon cœur, allons mon ame;	Allons mon cœur, allons mon âme;
Et puis qu’en ce bien-heureux jour Le Ciel pour jamais nous raſſemble, Allons viure & mourir enſemble, Dans les delices de l’Amour.	Et puis qu'en ce bienheureux jour Le Ciel pour jamais nous rassemble, Allons vivre et mourir ensemble, Dans les délices de l'Amour.
Ritornelle.	Ritornelle.
SCENE III.	SCÈNE III.
DIANE ſeule.	DIANE seule.
Le SATYRE ſuruient, qui ſe cache pour l’entendre dans le Boccage.	Le SATYRE survient, qui se cache pour l'entendre dans le Boccage.
DIANE.	DIANE.
Ve de plaiſirs, que de tourments, Que de douleurs, que de contentemens A celuy iui roſpire Sous l’amoureux Empire!	Ve de plaisirs, que de tourments, Que de douleurs, que de contentements A celui jui rospire Sous l'amoureux Empire!
Que ferons-nous, helas!	Que ferons-nous, hélas!
ſuiurons-nous, fuirons-nous Vn bien ſi cher, vn mal ſi doux?	suivrons-nous, fuirons-nous Un bien si cher, un mal si doux?
Ah!	Ah!
Ah!	Ah!
je ſens que mon cœur a peine à ſe defendre, Qui combat en Amour eſt bien prest de ſe rendre.	je sens que mon cœur a peine à se défendre, Qui combat en Amour est bien prêt de se rendre.
LE SATYRE la ſurprenant, Rends-toy donc inhumaine, Abandonne ton cœur A ce puiſſant vainqueur.	LE SATYRE la surprenant, Rends-toi donc inhumaine, Abandonne ton cœur A ce puissant vainqueur.
DIANE.	DIANE.
Ah, Monſtre!	Ah, Montre!
qui t’ameine?	qui t'amène?
LE ATYRE.	LE ATYRE.
Et ſoulage ma peine.	Et soulage ma peine.
DIANE en le lepouſant.	DIANE en le pousant.
Va, laiſſe-moy.	Va, laisse-moi.
LE SATYRE en la priant.	LE SATYRE en la priant.
Va, laiſſe-moy.	Va, laisse-moi.
DIANE en repouſant.	DIANE en repousant.
LE SATYRE en priant.	LE SATYRE en priant.
Laiſſe-moy,	Laisse-moi,
DIANE en repouſſant.	DIANE en repoussant.
Laiſſe-moy, Monſtre, va tmuyui lles Tygres des riuages.	Laisse-moi, Monsieur, va tmuyui lles Tigres des rivages.
LE SATYRE.	LE SATYRE.
Va, cruelle, ils ſont moins ſauuages, Moins fiers & moins Tygres que toy.	Va, cruelle, ils sont moins sauvages, Moins fiers et moins Tigres que toi.
Concluſion de l’Acte par la Symphonic.	Conclusion de l'Acte par la Symphonic.
ACTE III.	ACTE III.
Ouucroure do nintes parla oymphonie.	Oucroure do nintes parla oimphonie.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
PATBHIDREJADOIDON, TIRCIS.	PATBHIDREJADOIDON, TIRCIS.
LE SATYRE ſuruient, qui ſe cache dans le Boccage du coſté droict.	LE SATYRE survient, qui se cache dans le Boccage du côté droit.
PHILANDRE, ALCIDOR.	PHILANDRE, ALCIDOR.
ScouteZ, ruiſſeaux, eſcoutez, Zephirs, E Eſcoutez, les ſoupirs De deux Amants fideles, Que font languir deux Bergeres cruelles.	Soutez, ruisseaux, écoutez, Zéphirs, É Coûtez, les soupirs De deux Amants fidèles, Que font languir deux Berg cruelles.
o com naperons de gueriſon Ny d’elles, ny du temps, ny de noſtre raiſon;	ô com naperons de guérison Ni d'elles, ni du temps, ni de notre raison;
Nos maux ſont des maux incurables;	Nos maux sont des maux incurables;
uiauiy nous pouuons à la met, recourir, Le refuge des miſerables, Et c’eſt aſſez pouuont que de pouuvir mourir.	Çuiaui nous pouvons à la met, recourir, Le refuge des misérables, Et c'est assez pouvont que de pouvir mourir.
TIRCIS.	TIRCIS.
Souffrez, Bergers, ſouffrez, auec constance:	Souffrez, Bergers, souffrez, avec constance:
Amour eſt vn Dieu tout-puiſſant, Et pour les ſiens toujours reconnoiſſant, Il recompenſe Lors que moins on y penſe.	Amour est un Dieu tout-puissant, Et pour les siens toujours reconnaissant, Il récompense Lors que moins on y pense.
Les Bergers s’en vont.	Les Bergers s'en vont.
EEOATIRE ATACIS.	ÉÉOATIRE ATACIS.
Et moy, quand finiront ma peine & mon martyre?	Et moi, quand finiront ma peine et mon martyre?
RIROIS.	RIROIS.
Pauure Satyre, Lors que tu n’auras plus de cornes ſur le front.	Pauvre Satire, Lors que tu n'auras plus de cornes sur le front.
LE SATYRE:	LE SATYRE:
O le ſenſible affront!	Ô le sensible affront!
Cornes auoir, dans le ſiecle où nous ſommes, C’eſt le destin des hommes:	Cornes avoir, dans le siècle où nous sommes, C'est le destin des hommes:
C’est la commune loy De l’homme & de la besſte, Et tel en rit qui les a ſur la teſte Bien plus grandes que moy.	C'est la commune loi De l'homme et de la besste, Et tel en rit qui les a sur la tête Bien plus grandes que moi.
Ritornelle.	Ritornelle.
CENE II.	CÈNE II.
DIANE, PHILIS, SILVIE.	DIANE, PHILIS, SYLVIE.
DIANE, PHILIS, à Siluie.	DIANE, PHILIS, à Silvie.
E quoy, Siluie, Toute ſa vie En amour changera?	E quoi, Silvie, Toute sa vie En amour changera?
ILVIE.	ILVIE.
J’aymeray constamment quand Diane aymerã.	J'aimerai constamment quand Diane aimerane.
DIANE.	DIANE.
Diane ayme Philandre.	Diane aime Philandre.
LVIE.	LVIE.
Quoy ce cœur de rocher Amour l’a pù toucher?	Quoi ce cœur de rocher Amour l'a puù toucher?
HILIS, DIANE.	HILIS, DIANE.
Amour l’a pû toucher, Il eſt preſt de ſe rendre.	Amour l'a pu toucher, Il est prêt de se rendre.
SILVIE, en ſe moquant.	SYLVIE, en se moquant.
Il'eſt preſt de ſe rendre.	Il'est prêt de se rendre.
PHILIS, DIANE, ſerieuſement.	PHILIS, DIANE, sérieusement.
SILVIE, en admirant.	SYLVIE, en admirant.
ſi eſt preſt.	si est prêt.
&c.	etc.
PHILIS, DIANE.	PHILIS, DIANE.
Estre cruelle à ſon amant, C’est eſtre cruelle à ſoy-meſme, Et ſe priuer du bien le plus charmant.	Être cruelle à son amant, C'est être cruelle à soi-même, Et se priver du bien le plus charmant.
Hé bien, aymons.	Hé bien, aimons.
ILVIE.	ILVIE.
Toutes trois.	Toutes trois.
Aymons ce qui nous ayme.	Aimons ce qui nous aime.
Aymons.	Aimons.
HTDIC.	HTDIC.
Aymons.	Aimons.
DIANE.	DIANE.
SILVIE.	SYLVIE.
Aymons.	Aimons.
PHILIS.	PHILIS.
à toutes deux.	à toutes deux.
Mais d’vn amour extreſme?	Mais d'autre amour extrême?
DTANE, SILVIE.	DTANE, SYLVIE.
Mais d’vn amour extreſme.	Mais d'autre amour extrême.
PHILIS.	PHILIS.
à Diane.	à Diane.
Aruemment?	Aruemment?
DIANE.	DIANE.
Ardemment.	Ardemment.
2 irIEPo.	2 irIEPo.
donmo Et fidellement?	donmo Et fidèlement?
E.	E.
Et fidellement.	Et fidèlement.
Poutes dlois.	Poutes dlois.
Aymons, aymons ce qui nous ayme, Aymons, iaais d’vn amour extreſme, Ardemment & fidellement.	Aimons, aimons ce qui nous aime, Aimons, jaais d'un amour extrême, Ardemment et fidèlement.
Concluſion de l’Acte par la Simphonie.	Conclusion de l'Acte par la Simphonie.
ACTE IV.	ACTE IV.
Ouuereure de raicee par la oimphonie.	Ouvre de raiceze par la oimphonie.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SILVIE, ALCIDOR.	SYLVIE, ALCIDOR.
LE SATYRE ſuruient qui ſe cache dans le boccage, à main droite.	LE SATYRE survient qui se cache dans le bocage, à main droite.
ALCIDOR.	ÀLCIDOR.
l Aauirt, Amour.	À Lavirt, Amour.
LVIE.	LVIE.
Pictoire, Amour.	Pictoire, Amour.
Tous deux.	Tous deux.
Victotre, Amour, victoire.	Victotre, Amour, victoire.
ALCIDOR.	ÀLCIDOR.
Enfin ce cœur leger ayme fidellement.	Enfin ce cœur léger aime fidèlement.
LVIE.	LVIE.
Alcidor a la gloire D’vn pareil changement.	Alcidor a la gloire D'un pareil changement.
ILCIDOR.	ILCIDOR.
O dieux!	Ô dieux!
le puis-je croire?	le puis-je croire?
ILVIE.	ILVIE.
Crois-le, Berger, & chante aßeurément, Victoire, Amour, victoire.	Crois-le, Berger, et chante assurément, Victoire, Amour, victoire.
ALCIDOR.	ÀLCIDOR.
Victotre, &c.	Victotre, etc.
LVIE.	LVIE.
Enfin ce cœur leger ayme fidellement.	Enfin ce cœur léger aime fidèlement.
Tous deux.	Tous deux.
Victoire, Amour, victoire, victoire.	Victoire, Amour, victoire, victoire.
Enfin ce cœur.	Enfin ce cœur.
&c.	etc.
Ritornelle.	Ritornelle.
LE SATYRE ſe preſente comme pour chanter, mais voyant yenir les autres Bergers il ſe retire & ſe cache.	LE SATYRE se présente comme pour chanter, mais voyant yenir les autres Bergers il se retire et se cache.
Tous deux.	Tous deux.
DN doerra tout changer.	DN doerra tout changer.
SCENE SECONDE.	SCÈNE SECONDE.
PHILIS, TIRCIS.	PHILIS, TIRCIS.
LE SATYRE caché.	LE SATYRE caché.
Le jour.	Le jour.
PHILIS.	PHILIS.
4 Ale e Io.	4 Ale é Lo.
En nuit.	En nuit.
PHILIS.	PHILIS.
Et la nuit.	Et la nuit.
TIRCIS, ou tous deux.	TIRCIS, ou tous deux.
Et la nuit en lumiere.	Et la nuit en lumière.
PHILIS.	PHILIS.
Lors que Philis quittera ſon Berger,	Lors que Philis quittera son Berger,
TIRCIS.	TIRCIS.
Lors que Tircis quittera ſa Bergere.	Lors que Tircis quittera sa Bergère.
Tous deux.	Tous deux.
Ce ruiſſeau finira de courir à la mer,	Ce ruisseau finira de courir à la mer,
Cuanalmino.	Cuanalmino.
PHILIS.	PHILIS.
TIRCIS.	TIRCIS.
el IiM.	elle JiM.
Tous deux.	Tous deux.
Quand Philis & Tircis finiront de s’aymer.	Quand Philis et Tircis finiront de s'aimer.
Ritornelle.	Ritornelle.
LE SATYRE ſe repreſente encor comme pour chanter, mais voyant venir les autres Bergers il s’enfuit encore & Ie Caciic.	LE SATYRE se représente encor comme pour chanter, mais voyant venir les autres Bergers il s'enfuit encore et Je Caciic.
SCENE III.	SCÈNE III.
DIANE, PHILANDRE, LE SATYRE caché.	DIANE, PHILANDRE, LE SATYRE caché.
DIANE.	DIANE.
AV moins toujours Philandre m’aymera?	AU AU toujours Philandre m'aimera?
PHILANDRE.	PHILANDRE.
Autant que ta béame mon umont unrera.	Autant que ta béame mon umont unrera.
DIANE.	DIANE.
Ha Berger!	Ha Berger!
PHILANDRE.	PHILANDRE.
Hſa Bergere!	Hsa Bergère!
DIANE.	DIANE.
DIANE.	DIANE.
Ha!	Ha!
la beauté c’eſt vne fleur legere, Qu’on voit comme les fleurs croiſtre & s’épanoüir, Et puis s’éuanouir.	la beauté c'est une fleur légère, Qu'on voit comme les fleurs croître et s'épanouir, Et puis s'évanouir.
PHILANDRE.	PHILANDRE.
It en eſt aimmortelles, Nos amours le ſeront.	It en est aimortelles, Nos amours le seront.
DIANE Il en eſt de mortelles, Nos amours paſſeront.	DIANE Il en est de mortelles, Nos amours passeront.
PHILANDRE.	PHILANDRE.
Il en eſt d’immortelles.	Il en est d'immortelles.
DIANE.	DIANE.
Il en eſt de mortelles.	Il en est de mortelles.
PHILANDRE.	PHILANDRE.
Il en eſt d’immortelles.	Il en est d'immortelles.
DIARD Il en eſt d’immortelles.	DIARD Il en est d'immortelles.
Tous deux.	Tous deux.
Il en eſt d’immortelles Nos amours le ſeront.	Il en est d'immortelles Nos amours le seront.
Ritornelle.	Ritornelle.
LE SATYRE.	LE SATYRE.
A languir, malheureux, au milieu des tourments, Va, va mourir de douleur & d’enuie;	À languir, malheureux, au milieu des tourments, Va, va mourir de douleur et d'envie;
Tandis que ces amants Vont gouster à longs traits les douceurs de la vie.	Tandis que ces amants Vont goûter à longs traits les douceurs de la vie.
O trop heureux riual!	Ô trop heureux rival!
O rage!	Ô rage!
o deſeſpoir!	ô désespoir!
ô tourment ſans égal!	ô tourment sans égal!
Quelle foreſt?	Quelle forêt?
quelle cauerne ſombre?	quelle caverne sombre?
Quelle obſcurité d’ombre Lourra catner au four Ma honte & mon amour?	Quelle obscurité d'ombre Lourra catner au four Ma honte et mon amour?
Sonoranomde Pricte par là Simphonie.	Sonoranomde Prigte par là Simphonie.
ACTE V Ouuerture de l’Acte par la Simphonie.	ACTE V Ouverture de l'Acte par la Simphonie.
SCENE VNIQVE.	SCÈNE VNIQUE.
PHILANDRE, TIRCIS, ALCIDOR, compolane vm Oncour.	PHILANDRE, TIRCIS, ALCIDOR, compolane vI Oncour.
DIANE, PHILIS,-SILVIE, compoſans vn autre Chœur.	DIANE, PHILIS,-SYLVIE, composant un autre Chœur.
Les trois Bergeres.	Les trois Bergères.
OleZ, petits Amours, ſur vos plumes legeres, * Et veneZ couronner nos amants fortunez.	Olez, petits Amours, sur vos plumes légères, * Et venez couronner nos amants fortunés.
Les trois Bergers.	Les trois Bergers.
Vous, meres des Amours, venez, Graces, venez, Venez parer de fleurs nos aymables Bergeres.	Vous, mères des Amours, venez, Grâces, venez, Venez parer de fleurs nos aimables Bergères.
Les trois Bergeres.	Les trois Bergères.
Menez icy les Ieux, les Ris, & les Careſſes, Les Danſes, les Festins, les diuertiſſemens.	Menez ici les Jeux, les Ris, et les Caresses, Les Danses, les Festins, les divertissements.
Les trois Bergers.	Les trois Bergers.
