A TRES-NOBLE ET ES-VERTVEVSE Damoyſelle Eleonor Febronie, Comteſſe de Berne.	À TRÈS-NOBLE ET ES-VERTUEUSE Damoiselle Eleonor Fébronie, Comtesse de Berne.
le ne puis charmer mes oreilles d’vne plus douce armonie, que cellè que produit ce beau nom, & ie me sẽs forces de croire, que Cypris l’a compoſé, que l’amour a eſté le premier qui l’a prononcé, que les Graces l’on redit apres luy, & que toutes les douceurs enſemble en ont fait leur nom d’alliance:	le ne puis charmer mes oreilles d'une plus douce armonie, que cellé que produit ce beau nom, et un me sẽs douces de croire, que Cypris l'a composé, que l'amour a été le premier qui l'a prononcé, que les Grâces l'on redit après avoir, et que toutes les douceurs ensemble en ont fait leur nom d'alliance:
Car ſans mentir, il eſt ſi doux, que ma langue eſt toute de miel à force de le proferer ſouuents Auſſi eſtce le beau nom de toutes mes felicitez, de tous les plaiſirs de ma vie, & de tout ce qu’il y a de diuin en la Naturesen diſant Pyrame, ie edis encores le nom de tout ce que i’ayme, & de tout ce qui eſt aymable, ce qui authoriſe ma paſſion, puis que le ſubiect en eſt ſi glorieux.	Car sans mens, il est si doux, que ma langue est toute de miel à force de le proférer souvents Aussi estce le beau nom de toutes mes félicités, de tous les plaisirs de ma vie, et de tout ce qu'il y a de divin en la Naturesen disant Pyrame, ie mis encore le nom de tout ce que j'aime, et de tout ce qui est aimable, ce qui autorise ma passion, puis que le sujet en est si glorieux.
On a beau me deffendre de l’aymer, i’ay des-ja voüé à ſon amour, le dernier ſouſpir de mavie:	On a beau me défendre de l'aimer, j'ai déjà vue à son amour, le dernier soupir de mavie:
Et que l’on me tourmente tant qu’õ voudra, vne ame amoureuſe ne ſe laſſe iamais de ſouffrir, elle trouue touſiours ſes plaiſirs dans ſes peines.	Et que l'on me tourmente tant qu'õ voudra, une âme amoureuse ne se lasse jamais de souffrir, elle trouve toujours ses plaisirs dans ses peines.
Le pis qui me peut arriuer, c’eſt de mourirs He ne ſeray-ie pas heureuſe de perdre la vie pour celuy que i’ayme millefois plus qu’elle, le ſort en eſt trop beau, ie n’enuie point d’autre fortunc.	Le pis qui me peut arriver, c'est de mourirs He ne serai-je pas heureuse de perdre la vie pour celui que j'aime millefois plus qu'elle, le sort en est trop beau, je n'envie point d'autre fortunc.
BERSIANE.	BÉRSIANE.
Tout le monde vous cherche, ce vortre ſviercelc en peine de Içauoir où vous eſtes.	Tout le monde vous cherche, ce vortre suviercelc en peine de Içauoir où vous êtes.
THISBE' Sa peine ne ſera pas de longue duree:	THISBE' Sa peine ne sera pas de longue dure:
le ſeray bien toſt de retour.	le serai bien tôt de retour.
BERSIANE.	BÉRSIANE.
Vne fille vertueuſe ne doit iamais allei leule, n’raut qu’elle aye touſiours des teſmoings de ſes actions.	Une fille vertueuse ne doit jamais ally leule, n'raut qu'elle ai toujours des témoin de ses actions.
THISBE'.	THISBE'.
Serois-ce vn crime de s'entretenir auec ſes penſees poul io uſager l’eſprit des inquietudes, dont on ſe trouue ſouuẽt agité.	Serais-ce un crime de s'entretenir avec ses pensées poul jo usager l'esprit des inquiétudes, dont on se trouve souvent agité.
Ne ſçais tu pas que mõ humeur ſolitaire m’e fait aymer le lieu, & que les iours ont des certaines heures de melancholie ſi agreables, qu’il faut neceſſairement les paſſer ſeule, ſi l’on en veut gouſter les plaiſirs.	Ne sais tu pas que mon humeur solitaire m'e fait aimer le lieu, et que les jours ont des certaines heures de mélancolie si agréables, qu'il faut nécessairement les passer seule, si l'on en veut goûter les plaisirs.
1t tuis luge maintenant de l’im.	1t tuis luge maintenant de l'im.
portunité que tu me cauſes,	portunité que tu me causes,
BERSIANE.	BÉRSIANE.
Depuis quand vous ſuis-ie ſi importune?	Depuis quand vous suis-je si importune?
THISBE'.	THISBE'.
Depuis que tes ſoings criminels te font ſuiure par tout la trace de mes pas, ſans autres deſſein, que celuy de me deſplaire.	Depuis que tes soins criminels te font suivre par tout la trace de mes pas, sans autres dessein, que celui de me déplaire.
BERSIANE.	BÉRSIANE.
Ie n’euſſe iamais creu que ma compagnie vous euſt eſté ſi fort à meſpris.	Je n'eusse jamais cru que ma compagnie vous eût été si fort à mépris.
THISBE.	THISBE.
Tu as aſſez de iugement pour le cognoi cognoiſtre, comme tu as trop de Manee poul my oonger.	Tu as assez de jugement pour le con naître, comme tu as trop de Mane poul mi oonger.
BESIANE.	BÉSIANE.
Vous eſtes en cholere dequoy i’ay interrompu voſtre doux entretien.	Vous êtes en colère dequoy j'ai interrompu votre doux entretien.
2	2
THISBE' La cnolcie me dure touſiours contre toy.	THISBE' La colcie me dure toujours contre toi.
BERSIANE.	BÉRSIANE.
Ie ſuis de l’opinion de voſtre Mere, elle ne vous doibt iamais perdre de veuë, vos parolles, & vos actions egaſement nardies, font paroiſtre au dehors, ce que vous auez dans l’ame.	Je suis de l'opinion de votre Mère, elle ne vous doibt jamais perdre de vue, vos paroles, et vos actions égasement nardies, font paraître au dehors, ce que vous avez dans l'âme.
THISBE’.	THISBE'.
Ie ne me plaindray iamais en cela de l’auſterité que ma Mere exercera contre moy, l’innocence ne craint point les reproches, ie vis de telle ſorte que ie n’auray iamais d’autres ennemys que ceux qui le Iont de la vertu.	Je ne me plaindrai jamais en cela de l'austerité que ma Mère exercera contre moi, l'innocence ne craint point les reproches, je vis de telle sorte que je n'aurai jamais d'autres ennemis que ceux qui le Jont de la vertu.
BERSIANE.	BÉRSIANE.
Le temps ſera voſtre iuge.	Le temps sera votre juge.
THISBE'.	THISBE'.
Il ſera le tien, auſſi pour condamner tes reſueries.	Il sera le tien, aussi pour condamner tes rêveries.
BERSIANE.	BÉRSIANE.
Ie voudrois reſuer en la preuoyance de vos malheurs pour eſtre moins aſſeuree de leur aduenement.	Je voudrais rêver en la prévoyance de vos malheurs pour être moins assurée de leur avènement.
THISBE'.	THISBE'.
L'ageendort tenement ton el.	L'ageendort tènement ton elle.
prit que ie ne prens tes diſcours, que pour des ſonges.	prit que ici ne prends tes discours, que pour des songes.
BERSIANE.	BÉRSIANE.
I’ay donc ſongé que vous aymiez Pyrame;	J'ai donc songé que vous aimiez Pyrame;
ie ne ſçay s’il eſt vray.	Ne ne sais s'il est vrai.
THISBE.	THISBE.
BERSIANE.	BÉRSIANE.
Ie croy que vous eſtes aſſez hardie pour contracter cette affection au deſceu de voſtre Mere.	Je crois que vous êtes assez hardie pour contracter cette affection au déçu de votre Mère.
THISBE' Ce n’eſt pas la premiere fois que tu t’es trompee en tes opinions, Mlais ir tu veux apprendre la verité, ilte faut changer de croyance.	THISBE' Ce n'est pas la première fois que tu t'es trompe en tes opinions, Mlais ir tu veux apprendre la vérité, ilte faut changer de croyance.
BERSIANE.	BÉRSIANE.
Vous n’auez garde de le confeſſer, les ſecrets d’amour ne ſe communiquent à perſonne.	Vous n'avez garde de le confesser, les secrets d'amour ne se communiquent à personne.
14 THISBE’.	14 THISBE'.
Les chaites alſections ne font iamais ſecrettes, il y a plus de gloire à les publier que de honte à les taire.	Les chaites alsections ne font jamais secrètes, il y a plus de gloire à les publier que de honte à les taire.
BERSIANE.	BÉRSIANE.
Toutes les chaſtes affections ne ſont pas permiſes, on doit touſjours conſulter l’Oracle de la volonté des parens.	Toutes les chastes affections ne sont pas permises, on doit toujours consulter l'Oracle de la volonté des parents.
I il eup 1	I il eup 1
THISBE'.	THISBE'.
On le doit par reſpect, mais non pas par raiſon:	On le doit par respect, mais non pas par raison:
Car les affections ſont libres.	Car les affections sont libres.
BERSIANE.	BÉRSIANE.
La nature vous oblige à leur tondre ce deuon, e pat relpect, & par raiſon.	La nature vous oblige à leur tondre ce dévon, e pat relpect, et par raison.
THISBE.	THISBE.
La nature ne me peut rendre eſclaue m’ayant fait naiſtre libre.	La nature ne me peut rendre esclaue m'ayant fait naître libre.
Mais à quoy ſeruent ces diſcours?	Mais à quoi servent ces discours?
tu m’engages inſenſiblement à plaider vne cauſe où ie n’ay point d’intereſt.	tu m'engages insensiblement à plaider une cause où tu n'ai point d'intérêt.
BERSIANE.	BÉRSIANE.
Vous en parlez trop pertinement pour ne croire pas que vous eſtes partie.	Vous en parlez trop pertinement pour ne croire pas que vous êtes partie.
THISBE’.	THISBE'.
Ie te laiſſe en ceſte croyance, puis que le Temps pluſtoſt que toy, toy, comine tu dis, lela ſſion luge.	Je te laisse en cette croyance, puis que le Temps plutôt que toi, toi, comine tu dis, lela ssion luge.
BERSIANE.	BÉRSIANE.
Il ſera veritablement Iuge de vos folies, de meſme que i’en ſuis teſmoing.	Il sera véritablement Juge de vos folies, de même que j'en suis témoin.
SCENE II.	SCÈNE II.
NARBAL, LYDIAS.	NARBAL, LYDIAS.
1da NARBAL.	1da NARBAL.
IE ſuis hors de moy-meſme, 5& quand ie pẽſe au meſpris que c’eſt ingrat fait de mes commandemens, ie luy ay donné l’eſtre, & la vie, & pour recognoiſſance il s’occupe tous les iours à baſtir mon tombeau, forgeant de ſes mains murtrieres le traict qui me donnera la mort.	JE suis hors de moi-même, 5et quand Elle pẽse au mépris que c'est ingrat fait de mes commandements, ielui air donné l'être, et la vie, et pour reconnaissance il s'occupe tous les jours à bâtir mon tombeau, forgeant de ses mains murtrieres le trait qui me donnera la mort.
Et tu voudrois appeller ſa cruauté, & ſa perfidie vne aueugle paſſion, dont il eſt poſſedé, ie ſçay bien qu’en mes ieunes ans mon cœur a eſté ſenſible aux attaintes d’Amour, & que le feu de mon ſang, touſiours bouillant s’eprit peu à peu à mon ame en la rendant amoureuſe.	Et tu voudrais appeler sa cruauté, et sa perfidie une aveugle passion, dont il est possédé, Seigneur sais bien qu'en mes jeunes ans mon cœur a été sensible aux attaintes d'Amour, et que le feu de mon sang, toujours bouillant s'eprit peu à peu mon âme en la rendant amoureuse.
Mais ie n’ay iamais perdu la raiſon auec la liberté, ie voyois aſſez clair au trauers de mon bandeau, pour ſuiure le chemin du reſpect, & de l’obeyſſance, que ie deuois à mes parens.	Mais était n'ai jamais perdu la raison avec la liberté, Elle voyais assez clair au travers de mon bandeau, pour suivre le chemin du respect, et de l'obéissance, que tu devais à mes parents.
LIDIAS.	LIDIAS.
La Sageſſe, & l’Amour ſe faucẽt d’ordinaire compagnie, vous eſtes honteux de confeſſer en cét aage prudent, les erreurs de voſtre ieuneſſe.	La Sagesse, et l'Amour se faucient d'ordinaire compagnie, vous êtes honteux de confesser en cet âge prudent, les erreurs de votre jeunesse.
Il eſt impoſſible d’eſtre eſclaue, & libre tout à la fois, le plus fort l’emporte touſiours:	Il est impossible d'être esclave, et libre tout à la fois, le plus fort l'emporte toujours:
là où l’Amour cõmãde, la Raiſon obeyt, & de vouloir faire le fin, ne ſe laiſsãt enchaiſner qu’à demy, les grãdes beautez ne font iamais de petites priſes:	là où l'Amour commande, la Raison obéit, et de vouloir faire le fin, ne se laissant enchaîner qu'à demi, les grãdes beautés ne font jamais de petites prises:
quãd elles mettent vne ame aux fers, la raiſon eſt captiue auec elle.	quand elles mettent une âme aux fers, la raison est captive avec elle.
Comment voulez vous donc maintenant, que voſtre fils ſuiue vos cõſeils ſil’Amour eſt ſon Cõſeiller.	Comment voulez -vous donc maintenant, que votre fils suive vos cõseils s'Amour est son Commeiller.
Priez les Dieux qu’ils luy Tendent la libeite, & Il vous rendra l’obeyſſance qu’il vous doit.	Priez les Dieux qu'ils avait Tendent la libéite, et Il vous rendra l'obéissance qu'il vous doit.
NARBAL.	NARBAL.
Toutes ces raiſons ſont auſſi aueugles que le Dieu dont tu me preſches la puiſſance, l’amour ne ſçauroit forcer noſtre franchiſe, & ſa paſſion n’a point de pouuoir ſur nos volontez, que celuy que noſtre foibleſſe luy donne.	Toutes ces raisons sont aussi aveugles que le Dieu dont tu me prêches la puissance, l'amour ne saurait forcer notre franchise, et sa passion n'a point de pouvoir sur nos volontés, que celui que notre faiblesse avait donne.
A quoy nous ſeruiroit la force de la raisõ.	À quoi nous servirait la force de la raisonne.
ſi ſa desfaicte eſtoit ineuitable.	si sa défaite était inévitable.
Vn courage genereux peut tout ce qu’il veut, & tu as beau me perſuader le contraire.	Un courage généreux peut tout ce qu'il veut, et tu as beau me persuader le contraire.
Ceſt ingrat portera bien-toſt la peine de ſon crime.	Cest ingrat portera bientôt la peine de son crime.
Car ſi les Dieux ſont iuſtes, ils me vengeront de ſa perfidie.	Car si les Dieux sont justes, ils me vengeront de sa perfidie.
LIDIAS.	LIDIAS.
Les Dieux n’ont point des foudres, pour punir les amans, ſçahant par experience iuſques à quel point ceſte paſſion maitriſe nos eſprits.	Les Dieux n'ont point des foudres, pour punir les amants, sçahant par expérience jusques à quel point cette passion maitrise nos esprits.
Vous ne pouuez pas ſouffrit, que Pyrame ayme Thiſbé, & comment ſe peut-il deffendre d’aymer ce qui eſt parfaictement aymable.	Vous ne pouvez pas souffrit, que Pyrame aime Thisbé, et comment se peut-il défendre d'aimer ce qui est parfaitement aimable.
Si la Beauté & les Graces ſe laiſſoient admirer aux trauers des lunettes, vous ſeriez bien-toſt conuaincu du crime, dont vous l’accuſez, puis que vous eſtes ſi raiſonnable, que ne vous rendez vous à la raiſon.	Si la Beauté et les Grâces se laissaient admirer aux travers des lunettes, vous seriez bientôt convaincu du crime, dont vous l'accusez, puis que vous êtes si raisonnable, que ne vous rendez vous à la raison.
NARBAL.	NARBAL.
He, quoy ſeroit il iuſte qu’vn Pere reçeut la loy de ſon fils.	He, quoi serait -il juste qu'un Père reçut la loi de son fils.
Que me ſert l’authorité que le Ciel, & la Nature m’ont donnee ſur ſes volontez, ſi ie ne m’ayde de ſon pouuoir lors qu’il y va de l’intereſt de ma vie.	Que me sert l'autorité que le Ciel, et la Nature m'ont donnée sur ses volontés, si grande ne m'aide de son pouvoir lors qu'il y va de l'intérêt de ma vie.
Il ſçait bien que ie n’ay point vne plus grande ennemie, que ion amour, & irconiure auec elle ma ruine.	Il sait bien que Dieu n'ai point une plus grande ennemie, que ion amour, et irconivre avec elle ma ruine.
LIDIAS.	LIDIAS.
Si faut-il que vos deſirs ſoient limitez des choſes poſſibles.	Si faut-il que vos désirs soient limités des choses possibles.
Croyez vous, que l’ame ſe puiſſe deſpoüiller de ſes paſſions, de meſme que le corps de ſes habits.	Croyez vous, que l'âme se puisse dépouiller de ses passions, de même que le corps de ses habits.
Quand la fiebure d’amour s’eſcoule dans nos veines la maladie en eſt longue, & l'on a beau cõſulter la Nature, ſon pouuoir ne s’eſtend pas iuſques à la guomonjtautque le temps, & noſtre humeur en facent peu à peu le remede.	Quand la faibure d'amour s'écoule dans nos veines la maladie en est longue, et l'on a beau consulter la Nature, son pouvoir ne s'étend pas jusques à la guomonjectautque le temps, et notre humeur en facent peu à peu le remède.
Lors que Pyrame aura Iecou recouuré la ſanté de l’eſprit, il mettra le voſtre en repos.	Lors que Pyrame aura Jecou recouvré la santé de l'esprit, il mettra le vôtre en repos.
Mais comment voulez vous tirer raiſon d’vn homme qui n’en a point.	Mais comment voulez -vous tirer raison d'un homme qui n'en a point.
NARBAL.	NARBAL.
S’il n’a point de raiſon, il doit eſtre puny de ſa folie, puis qu’elle eſt volontaire.	S'il n'a point de raison, il doit être puni de sa folie, puis qu'elle est volontaire.
Ie ne veux point nourris des fols, ny des eſclaues en ma maiſon, il faut qu’il renonce à ce nom de fils, ou à celuy d’amãt.	Je ne veux point nourris des fols, ni des esclaves en ma maison, il faut qu'il renonce à ce nom de fils, ou à celui d'amant.
LIDIAS.	LIDIAS.
Les Deſtins commandent à la Nature, puis qu’vn Dieu l’a rendu amoureux d’vne Deeſſe, vous ne pouuez ſans crime, tenir pour crime ſa paſſion, & ie crains que voſtre cholere n’attire celſe du Ciel ſur voſtre teſte.	Les Destins commandent à la Nature, puis qu'un Dieu l'a rendu amoureux d'une Deesse, vous ne pouvez sans crime, tenir pour crime sa passion, et et crains que votre colère n'attire celse du Ciel sur votre tête.
La patience eſt le remede du mal, qui n’en a point.	La patience est le remède du mal, qui n'en a point.
NARBAL.	NARBAL.
Tu me voudrois perſuader que les Dieux Dieux ſont complices de la folie de mon Fils, encore qu’ils permettẽt le mal, ils n’en ſont pas les autheurs.	Tu me voudrais persuader que les Dieux Dieux sont complices de la folie de mon Fils, encore qu'ils permettent le mal, ils n'en sont pas les auteurs.
Nous ſommes les ſeuls punis, comme les ſeuls coupables.	Nous sommes les seuls punis, comme les seuls coupables.
LYDIAS.	LYDIAS.
Ie ſçay bien que les Dieux ne ſont point autheurs du mal que nous faiſons;	Je sais bien que les Dieux ne sont point auteurs du mal que nous faisons;
Mais ſi vous mettez au rang des crimes ceſte paſſion d’amour qui n’aſſujetit que les plus belle ames, où trouuerez vous vn homme innocent.	Mais si vous mettez au rang des crimes cette passion d'amour qui n'assujet que les plus belle âmes, où trouverez vous un homme innocent.
NARBAL.	NARBAL.
Ceſte paſſion n’eſt pas touſiours criminelle.	Cette passion n'est pas toujours criminelle.
Les persõnes libres, & louueraines, les peuuent auoir sãs reproche;	Les personnes libres, et louveraines, les peuvent avoir sans reproche;
Mais mon Fils n’eſt point de ceſte qualité, pour iouir de ce priuilege.	Mais mon Fils n'est point de cette qualité, pour jouir de ce privilège.
LIDIAS.	LIDIAS.
Si voſtre fiils n’a pas le droit de ſouue.	Si votre fiils n'a pas le droit de souve.
ſouueraineté, il a celuy de la franchiſe qu’on ne luy ſçauroit oſter.	souveraineté, il a celui de la franchise qu'on ne parler saurait ôter.
De ſorte qu’il a peu, comme libre diſpoſer de ſa liberte laiis voſt;	De sorte qu'il a peu, comme libre disposer de sa liberté laiis vost;
conſentement.	consentement.
NARBAL.	NARBAL.
Où en ſont les loix.	Où en sont les lois.
LIDIAS.	LIDIAS.
C’eſt à vous à mettre en auant celles qui les condemnent, puis que vous l’accuſez.	C'est à vous à mettre en avant celles qui les condemnent, puis que vous l'accusez.
NARBAL.	NARBAL.
La Naturo,tous les bages, & tous les Dieux ſont mes Loix, & mes luges.	La Naturo,tous les bages, et tous les Dieux sont mes Lois, et mes luges.
LIDIAS.	LIDIAS.
Vous auez donc perdu voſtre eauſe:	Vous avez donc perdu votre eauze:
Car la Nature vous deffend d’oſter à vos enfens la liberté qu’elle leur à donnee.	Car la Nature vous défend d'ôter à vos enfens la liberté qu'elle leur a donnée.
Ious ies bages ont authoriſé ces deffences, & les Dieux en ont fait vne loy inuiolable.	Jous jes bages ont autorisé ces défenses, et les Dieux en ont fait une loi inviolable.
NAR	NAR
NARBAL.	NARBAL.
Ton humeur a fait ceſt arreſt:	Ton humeur a fait cet arrêt:
Mais i en apppelle comme d’abus.	Mais j' en apppelle comme d'abus.
LIDIAS.	LIDIAS.
aninjapomle dappuuun aifeits du Deſtin.	aninjapomle dapuun aifits du Destin.
SCEN E.	SCEN E.
III.	III.
LE ROY, SYLLAR.	LE ROY, SYLLAR.
LE ROY.	LE ROY.
EST trop long-temps ſouſ&e pirer pour ceſte ingrate beauté, mon amour eſt l’obiet de ſa haine, & ma ſoubſmiſſion celuy de ſon meſpris.	EST trop longtemps sous peine pour cette ingrate beauté, mon amour est l'objet de sa haine, et ma soubsmission celui de son mépris.
