ROBERT 1986	ROBERT 1986
l’vne d’auoir ennobly le but de l’Art, l’autre de nous en auoir facilité les connoiſſances.	l'une d'avoir ennobli le but de l'Art, l'autre de nous en avoir facilité les connaissances.
Vous auezennobly le but de l’Art, puis qu’au lieu de celuy de plaire au peuple que nous preſcriuent nos Maiſtres, & dont les deux plus hõneſtes gens de leur ſiecle, Scipion & Lelie, ont autrefois proteſté de ſe contenter, vous nous auez donné celury de vous plaire & de vous diuertir, & qu’ainſi nous ne rendons pas vn petit ſeruice à l’Eſtat, puiſque contribuant à vos diuertiſſemens, nous contribuons à l’entretien d'vne ſanté qui luy eſt ſi precieuſe & ſi neceſſaire.	Vous avezennobli le but de l'Art, puis qu'au lieu de celui de plaire au peuple que nous prescrivent nos Maîtres, et dont les deux plus hõnestes gens de leur siècle, Scipion et Lelie, ont autrefois protesté de se contenter, vous donné auez donné celury de vous plaire et de vous divertir, et qu'ainsi nous ne rendons pas un petit service à l'État, puisque contribuant à vos divertissements, nous contribuons à l'entretien d'une santé qui lui est si précieuse et si nécessaire.
Vous nous en auez facilité les connoiſſances, puiſque nous n’auons plus beſoin d’autre eſtude pour les acquerir, que d’attacher nos yeux ſur V.	Vous nous en avez facilité les connaissances, puisque nous n'avons plus besoin d'autre étude pour les acquérir, que d'attacher nos yeux sur V.
E.	E.
quand elle honore de ſa preſence & de ſon attention le recit de nos Poëmes.	quand elle honore de sa présence et de son attention le récit de nos Poèmes.
C’eſt là que liſant ſur ſon viſage ce qui luy plaiſt, & ce qui ne luy plaiſt pas, nous nous inſtruiſons auec certitude de ce qui eſt bon, & de ce qui eſt mauuais, & tirons des regles infaillibles de ce qu’il faut ſuiure & de ce qu’il faut éuiter.	C'est là que lisant sur son visage ce qui lui plaît, et ce qui ne le plaît pas, nous nous instruisons avec certitude de ce qui est bon, et de ce qui est mauvais, et tirons des règles infaillibles de ce qu'il faut suivre et de ce qu'il faut éviter.
C’eſt là que i’ay ſouuent apris en deux heures ce que mes liures n’euſſent pû m’apprendre en dix ans;	C'est là que j'ai souvent appris en deux heures ce que mes livres n'eussent pu m'apprendre en dix ans;
c’eſt là que i’ay puiſé ce qui m’a valu l’applaudiſſement du Public, & c’eſt là qu’auec voſtre faueur, i’espere puiſer aſſez pour eſtre vn iour Qne œuure digne de vos mains.	c'est là que j'ai puisé ce qui m'a valu l'applaudissement du Public, et c'est là qu'avec votre faveur, j'espère puiser assez pour avoir jour Qne œuvre digne de vos mains.
Ne trouuez donc pas mauuais, MONSEIGNEVR, que pour vous remercier de ce que i’ay de reputation, dont ie vous ſuis entierement redeuable, i’emprunte quatre vers d’vn autre Horace que celuy que ie vous preſente, & que ie vous exprime par eux les plus veritahles ſentimens de man ame.	Ne trouvez donc pas mauvais, MONSEIGNEUR, que pour vous remercier de ce que j'ai de réputation, dont je vous suis entièrement recevable, j'emprunte quatre vers d'un autre Horace que celui que je vous présente, et que sans vous exprime par eux les plus véritahles sentiments de man âme.
MONSEIGNEVR,	MONSEIGNEUR,
De V.	De V.
E.	E.
Le tres-humble, tres-obeïſſant, & tres fidelle ſeruiteur.	Le très-humble, très-obeïssant, et très fidèle serviteur.
CORNEILLE.	CORNEILLE.
LES ACTEVRS.	LES ACTEURS.
IVLLE, Roy de Rome.	IULE, Roi de Rome.
Le vieil HORACE, Cheualier Romain.	Le vieil HORACE, Chevalier Romain.
HORACE, ſon fils.	HORACE, son fils.
CVRIACE, Gentilhomme d’Albe,	CURICE, Gentilhomme d'Albe,
aulale de daiilles	aulale de daiilles
VALERE, Cheualier Romain, amoureux de Camiile.	VALÈRE, Chevalier Romain, amoureux de Camiile.
SABINE, femme d’Horace, & ſœur de Curiace.	SABINE, femme d'Horace, et sœur de Curiace.
CAMILLE, amante de Curiace, & ſœur d’Horacer	CAMILLE, amante de Curiace, et sœur d'Horacer
d Bri;	 Dry;
Dame Romaine, Confidente de Sabine & de Camille.	Dame Romaine, Confidente de Sabine et de Camille.
FLAVIAN, ſoldat de l’armée d’Albe.	FLAVIAN, soldat de l'armée d'Albe.
PROCVLE, ſoldat de l’armée de Rome.	PROCULE, soldat de l'armée de Rome.
La Scene eſt à Rome dans vne ſalle de la maiſon d’Horace.	La Scène est à Rome dans une salle de la maison d'Horace.
HORACE	HORACE
AIONIO ANIXGEDTE.	AIONIO ANIXGEDTE.
A	À
IICIL I	IICIL I
SCENE PREMIERE.	SCÈNE PREMIÈRE.
SABINE, IVLIE.	SABINE, IVLIE.
SABINE.	SABINE.
PPROVVEZ ma foibleſſe, & ſouffrez ma douleur, Elle n’eſt que trop iuſte en vn ſi grand malheur:	PPROUEZ ma faiblesse, et souffrez ma douleur, Elle n'est que trop juste en un si grand malheur:
Si prés de voir ſur ſoy fondre de tels orages, (ges, L’es branlement ſied bien aux plus fermes couraEt l’eſprit le plus maſle & le moins abbatu Ne ſçauroit ſans deſordre exercer ſa vertu.	Si près de voir sur soi fondre de tels orages, (ges, L'es branlement sied bien aux plus fermes couraEt l'esprit le plus mâle et le moins abattu Ne saurait sans désordre exercer sa vertu.
Quoy que le mien s’eſtonne à ces rudes alarmes, Le trouble de mon cœur ne peut rien fur mes larmes, Et parmy les ſoûpirs qu’il pouſſe vers les Cieux, Ma conſtance du moins regne encor ſur mes yeux.	Quoi que le mien s'étonne à ces rudes alarmes, Le trouble de mon cœur ne peut rien fur mes larmes, Et parmi les soupirs qu'il pousse vers les Cieux, Ma constance du moins règne encor sur mes yeux.
Quand on arreſte là les déplaiſirs d’vne ame, Si l’on fait moins qu’vn homme, on fait plus qu’vne femme:	Quand on arrête là les déplaisirs d'une âme, Si l'on fait moins qu'un homme, on fait plus qu'une femme:
Ooihnindor a les pleuir en cette catremate, C’eſt monſtrer pour le ſexe aſſez de fermeté.	Oouhindor a les pleuir en cette catremate, C'est montrer pour le sexe assez de fermeté.
IVLIE.	IVLIE.
C’en eſt aſſez, & trop pour vne ame commune, Qui du moindre peril n’attend qu’vne infortune, D’vn tel abaiſſement vn grand cœur eſt honteux, Il oſe eſperer tout dans vn ſuccez douteux.	C'en est assez, et trop pour une âme commune, Qui du moindre péril n'attend qu'une infortune, D'un tel abaissement un grand cœur est honteux, Il ose espérer tout dans un succès douteux.
Les deux camps ſont rangez au pied de nos murailles, Mais Rome ignore encor comme on perd des batailles, Loin de trembler pour elle, il luy faut applaudir, Puis qu’elle va combatre, elle va s’agrandir.	Les deux camps sont rangés au pied de nos murailles, Mais Rome ignore encor comme on perd des batailles, Loin de trembler pour elle, il lui faut applaudir, Puis qu'elle va combattre, elle va s'agrandir.
Banniſſez, banniſſez vne frayeur ſi vaine, Et conceuez des vœux dignes d’vne Romdine.	Bannissez, bannissez une frayeur si vaine, Et concevez des vœux dignes d'une Romdine.
SABINE.	SABINE.
Ie ſuis Romaine, helas!	Je suis Romaine, hélas!
puiſque mon eſpoux l’eſt, L'Hymen me fait de Rome embraſſer l’intereſt, Mais il tiendroit mon ame en eſclaue enchaiſnée, S’il m’oſtoit le penſer des lieux où ie ſuis née.	puisque mon époux l'est, L'Hymen me fait de Rome embrasser l'intérêt, Mais il tiendrait mon âme en esclave enchaînée, S'il m'ait le penser des lieux où tu suis née.
Albe où i’ay commencé de reſpirer le iour, Albe mon cher pays & mon premier amour, Quand entre nous & toy ie voy la guerre ouuerte, Ie crains noſtre victoire autant que noſtre perte.	Albe où j'ai commencé de respirer le jour, Albe mon cher pays et mon premier amour, Quand entre nous et toi on vois la guerre ouuerte, Je crains notre victoire autant que notre perte.
Rome, ſi tu te plains que c’eſt là te trahir, Fay-toy des ennemis que ie puiſſe hayr :	Rome, si tu te plains que c'est là te trahir, Fais-toi des ennemis que ie puisse haïr :
Quand ie voy de tes murs leur armée & la noſtre, ento dois freres dans l’vne, & mon mary dans l’autre, Puis-ie former des vœux, & ſans impieté Importuner le Ciel pour ta felicité?	Quand ici vois de tes murs leur armée et la vôtre, ento dois frères dans l'une, et mon mari dans l'autre, Puis-je former des vœux, et sans impiété Importuner le Ciel pour ta félicité?
Ie ſçay que ton Eſtat encore en ſa naiſſance Ne ſçauroit ſans la guerre affermir ſa puiſſance:	Je sais que ton État encore en sa naissance Ne saurait sans la guerre affermir sa puissance:
Ie ſçay qu’il doit s’accroiſtre, & que tes bons Deſtins Ne le borneront pas chez les peuples Latins, Que les Dieux t’ont promis l’Empire de la terre, Et que tu n’en peux voir l’effet que par la guerre.	Je sais qu'il doit s'accroître, et que tes bons Destins Ne le borneront pas chez les peuples Latins, Que les Dieux t'ont promis l'Empire de la terre, Et que tu n'en peux voir l'effet que par la guerre.
Bien loin de m’oppoſer à cette noble ardeur Qui ſuit l’arreſt des Dieux, & court à ta grandeur, Ie voudrois déja voir tes troupes couronnées D'vn pas victorieux franchir les Pyrenées;	Bien loin de m'opposer à cette noble ardeur Qui suit l'arrêt des Dieux, et court à ta grandeur, Je voudrais déjà voir tes troupes couronnées D'un pas victorieux franchir les Pyrénées;
Va iuſque en l’Orient pouſſer tes bataillons, Va ſur les bords du Rhin planter tes pauillons, Fay trembler ſous tes pas les colomnes d’Hercule, Mais reſpecte vne ville à qui tu dois Romule.	Va jusque en l'Orient pousser tes bataillons, Va sur les bords du Rhin planter tes pavillons, Fais trembler sous tes pas les colomnes d'Hercule, Mais respecte une ville à qui tu dois Romule.
Ingrate, ſouuien-toy que du ſang de ſes Rois Tu tiens ton nom, tes murs, & tes premieres loix:	Ingrate, souvien-toi que du sang de ses Rois Tu tiens ton nom, tes murs, et tes premières lois:
Albe eſt ton origine, arreſte, & conſidere Que tu portes le fer dans le ſein de ta mere, Tourne ailleurs les efforts de tes bras triomphans, Sa ioye eſclatera dans l’heur de ſes enfans, Et ſe laiſſant rauir à l’amour maternelle, Ses vœux ſeront pour toy, ſi tu n’es plus cõtre elie.	Albe est ton origine, arrête, et considère Que tu portes le fer dans le sein de ta -m, Tourne ailleurs les efforts de tes bras triomphants, Sa joie éclatera dans l'heur de ses enfants, Et se laissant ravir à l'amour maternelle, Ses vœux seront pour toi, si tu n'es plus cõtre élie.
IVLIE.	IVLIE.
Ce diſcours me ſurprend, veu que depuis le temps Qu’on a contre ſon peuple armé nos combatans, Ie vous ay veu pour elle autant d’indifference.	Ce discours me surprend, vu que depuis le temps Qu'on a contre son peuple armé nos combattants, Je vous ai vu pour elle autant d'indifférence.
Que ſi dedans nos murs vous auiez pris naiſſance:	Que si dedans nos murs vous aviez pris naissance:
A duimrois ia vertu quiiequlioit en vous Vos plus chers intereſts à ceux de voſtre eſpoux.	À duimrais ja vertu quiiquliait en vous Vos plus chers intérêts à ceux de votre époux.
Et ie vous conſolois au milieu de vos plaintes.	Et ici vous consolais au milieu de vos plaintes.
Comme ſi noſtre Rome euſt fait toutes vos craintes.	Comme si notre Rome eût fait toutes vos craintes.
SABINE.	SABINE.
Tant qu’on ne s’eſt choqué qu’en de legers cõbats, Trop foibles pour jetter vn des partis a bas, Tant qu’vn eſpoir de paix a pû flater ma peine, Oüy, i’ay fait vanité d’eſtre toute Romaine.	Tant qu'on ne s'est choqué qu'en de légers cõbats, Trop faibles pour jeter un des partis a bas, Tant qu'un espoir de paix a pu flatter ma peine, Oui, j'ai fait vanité d'être toute Romaine.
Si i’ay veu Rome heureuſe auec quelque regret, soudain i’ay condamné ce mouuement ſecret;	Si j'ai vu Rome heureuse auec quelque regret, soudain j'ai condamné ce mouvement secret;
A ij	À ij
Et ſi i’ay reſſenty dans ſes deſtins contraires Quelque maligne ioye en faueur de mes freres, Soudain pour l’eſtouffer rappellant ma raiſon, I’ay pleuré quand la gloire entroit dans leur maïſon.	Et si j'ai ressenti dans ses destins contraires Quelque maligne joie en faveur de mes frères, Soudain pour l'étouffer rappelant ma raison, J'ai pleuré quand la gloire entrait dans leur maïson.
Maïs aujourd’huy qu’il faut que l’vne ou l’autre tombe, Qu’Albe deuienne eſclaue, ou que Rome ſuccõbe, Et qu’apres la bataille il ne demeure plus Ny d’obſtacle aux vainqueurs, ny d’eſpoir aux vaincus, I’aurois pour mon pays vne cruelle haine Si ie pouuois encor eſtre toute Romaine, Et ſi ie demandois voſtre triomphe aux Dieux.	Maïs aujourd'hui qu'il faut que l'une ou l'autre tombe, Qu'Albe devienne esclaue, ou que Rome succõbe, Et qu'après la bataille il ne demeure plus Ni d'obstacle aux vainqueurs, ni d'espoir aux vaincus, J'aurais pour mon pays une cruelle haine Si ie pouuois encor être toute Romaine, Et si ie demandais votre triomphe aux Dieux.
Au prix de tant de ſang qui m’eſt ſi precieux.	Au prix de tant de sang qui m'est si précieux.
Ie m’attache vn peu moins aux intereſts d’vn homme, Ie ne ſuis point pour Albe, & ne ſuis plus pour Rome, Ie crains pour l’vne & l’autre en ce dernier effort, Et ſeray du party qu’affligera le ſort, Eſgale à tous les deux iuſques à la victoire, Ie prendray part aux maux, ſans en prendre à la gloire, Et garde, en attendant ſes funeſtes rigueurs, Mes larmes aux vaincus, & ma haine aux vainqueurs.	Je m'attache un peu moins aux intérêts d'un homme, Je ne suis point pour Albe, et ne suis plus pour Rome, Je crains pour l'une et l'autre en ce dernier effort, Et serai du parti qu'affligera le sort, Égale à tous les deux jusqu' à la victoire, Je prendrai part aux maux, sans en prendre à la gloire, Et garde, en attendant ses funestes rigueurs, Mes larmes aux vaincus, et ma haine aux vainqueurs.
IVLIE.	IVLIE.
Qu’on voit naiſtre ſouuent de pareilles trauerſes En des eſprits diuers des paſſions diuerſes, Et qu’en cecy Camille agit bien autrement!	Qu'on voit naître souvent de pareilles traverses En des esprits divers des passions diverses, Et qu'en ceci Camille agit bien autrement!
Son frere eſt voſtre eſpoux, le voſtre eſt ſon amãt, luie unle bit d’vn œil bien different du voſtre, Son ſang dãs vne armée, & ſon amour dãs l’autre.	Son frère est votre époux, le vôtre est son amants, luie unle bit d'un œil bien différent du vôtre, Son sang dans une armée, et son amour dans l'autre.
Lors que vous conſeruiez vn eſprit tout Romains Le fien irreſolu, tremblotant, incertain, De la moindre meſlée apprehendoit l’orage, De tous les deux partis deteſtoit l’auantage, Au malheur des vaincus donnoit touſiours ſes pleurs, Et nourriſſoit ainſi d’eternelles douleurs.	Lors que vous conserviez un esprit tout Romains Le sien irrésolu, tremblotant, incertain, De la moindre mêlée appréhendait l'orage, De tous les deux partis détestait l'avantage, Au malheur des vaincus donnait toujours ses pleurs, Et nourrissait ainsi d'éternelles douleurs.
Mais hier, quand elle ſceut qu’on auoit pris iournée, ut juen d la cuenllle aslon eule dennce, Vne ſoudaine ioye eſclata ſur ſon front.	Mais hier, quand elle sut qu'on avait pris journée, ut juen la cuenllle aslon eule dennce, Vne soudaine joie éclata sur son front.
SABINE.	SABINE.
Ah!	Ah!
que ie crains, Iulie, vn changement ſi prompt!	que ici crains, Julie, un changement si prompt!
Hier dans ſa belle humeur elle entretint Valere, Pour ce riual, ſans doute, elle quitte mou frere, Son eſprit esbranlé par les obiets preſens Ne trouue point d’abſent aimable apres deux ans, Mais excuſez l’ardeur d’vne amour fraternelle, Le ſoin que i’ay de luy me fait craindre tout d’elle Ie forme des ſoupçons d’vn ſujet trop leger, Le iour d’vne bataille eſt mal propre à changer, D’vn nouueau trait alors peu d’ames pot bleſſées.	Hier dans sa belle humeur elle entretint Valère, Pour ce rival, sans doute, elle quitte mou frère, Son esprit ébranlé par les objets prés Ne trouve point d'absent aimable après deux ans, Mais excusés l'ardeur d'une amour fraternelle, Le soin que j'ai de lui me fait craindre tout d'elle Je forme des soupçons d'un sujet trop léger, Le jour d'une bataille est mal propre à changer, D'un nouveau trait alors peu d'ames pot zées.
Et dans vn ſi grand trouble on a d’autres penſées:	Et dans un si grand trouble on a d'autres pensées:
Mais on n’a pas auſſi de ſi gays entretiens, Ny de contentements qui ſoient pareils aux ſiens	Mais on n'a pas aussi de si gais entretiens, Ni de contentements qui soient pareils aux siens
IVLIE.	IVLIE.
Les cauſes, comme à vous, m’en ſemblent fort obſcures, Ie ne me ſatis faits d’aucunes conjectures, C’eſt aſſez de conſtance en vn ſi grand danger Que de le voir, l’attendre, & ne point s’affliger, Mais certes c’en eſt crop d’aller iuſque à la ioye.	Les causes, comme à vous, m'en semblent fort obscures, Je ne me satî faits d'aucunes conjectures, C'est assez de constance en un si grand danger Que de le voir, l'attendre, et ne point s'affliger, Mais certes c'en est crop d'aller jusque à la joie.
SABINE.	SABINE.
Voyez qu’vn bon Genie à propos nous l’enuoye.	Voyez qu'un bon Génie à propos nous l'envoie.
Eſſayez ſur ce poinct à la faire parler, Elle vous ayme aſſez pour ne vous rien celer, le Ie vous laiſſe.	Essayez sur ce point à la faire parler, Elle vous aime assez pour ne vous rien celer, le Je vous laisse.
Ma ſœur, entretenez Iulie, I’ay honte de monſtrer tant de melancolie, Et mon cœur accablé de mille déplaiſirs Cherche la ſolitude à cacher ſes ſouſpirs.	Ma sœur, entretenez Julie, J'ai honte de montrer tant de mélancolie, Et mon cœur accablé de mille déplaisirs Cherche la solitude à cacher ses soupirs.
SCENE II.	SCÈNE II.
dMBſes ABAMe.	dMBses ABAMe.
CAMILLE.	CAMILLE.
Ourquoy fuyr, & vouloir que ie vous entreT tienne?	Ourquoy fuir, et vouloir que je vous entreT tienne?
Croit-elle ma douleur moins viue que la ſienne, Et que plus inſenſible à de ſi grands malheurs A mes triſtes diſcours ie meſle moins de pleurs?	Croit-elle ma douleur moins vive que la sienne, Et que plus insensible à de si grands malheurs À mes tristes discours ie mêle moins de pleurs?
De pareilles frayeurs mon ame eſt alarmée, Comme elle ie perdray dãs l’vne & l’autre armée.	De pareilles frayeurs mon âme est alarmée, Comme elle était perdrai dans l'une et l'autre armée.
Ie verray mon amant, mon plus vnique bien, Mourir pour ſon pays, ou deſtruire le mien :	Je verrai mon amant, mon plus unique bien, Mourir pour son pays, ou détruire le mien :
Et cét obiet d’amour deuenir pour ma peine Ou digne de mes pleurs, ou digne de ma haine.	Et cet objet d'amour devenir pour ma peine Ou digne de mes pleurs, ou digne de ma haine.
Helas !	Hélas !
IVLIE.	IVLIE.
Elle eſt pourtant plus à plaindre que vous;	Elle est pourtant plus à plaindre que vous;
On peut changer d’amant, mais non changer d’eſOubliez Curiace, & receuez Valere, (poux, Vous ne tremblerez plus pour le party contraire, Vous ſerez toute noſtre, & voſtre eſprit remis N’aura plus rien à perdre au camp des ennemis.	On peut changer d'amant, mais non changer d'esOubliés Curiace, et recevez Valère, (poux, Vous ne tremblerez plus pour le parti contraire, Vous serez toute notre, et votre esprit remis N'aura plus rien à perdre au camp des ennemis.
CAMILLE.	CAMILLE.
Donnez moy des cõſeils qui ſoient plus legitimes, Et plaignez mes malheurs ſans m’ordonner des crimes:	Donnez -moi des conseils qui soient plus légitimes, Et plaignez mes malheurs sans m'ordonner des crimes:
Quoy qu’à peine à mes maux ie puiſſe reſiſter, I’ayme mieux les ſouffrir que de les meriter.	Quoi qu'à peine à mes maux Prince puisse résister, J'aime mieux les souffrir que de les mériter.
IVLIE.	IVLIE.
ble?	blé?
CAMILLE.	CAMILLE.
Quoy?	Quoi?
le manque de foy vous ſemble pardonnable?	le manque de foi vous semble pardonnable?
IVLIE.	IVLIE.
Enuers vn ennemy qui nous peut obliger?	Envers un ennemi qui nous peut obliger?
CAMILLE.	CAMILLE.
D’vn ſerment ſolemnel qui nous peut deſgager?	D'un serment solennel qui nous peut dégager?
IVLIE.	IVLIE.
Vous deſguiſez en vain vne choſe trop claire, Ie vous vis encor hier entretenir Valere, Et l’accueil gracieux qu’il receuoit de vous Luy permet de nourrir vn eſpoir bien plus doux.	Vous déguisez en vain une chose trop claire, Je vous vis encor hier entretenir Valère, Et l'accueil grâce qu'il recevait de vous Lui permet de nourrir un espoir bien plus doux.
CAMILLE.	CAMILLE.
Si ie l’entretins hier, & luy fis bon viſage, N’en imaginez rien qu’à ſon deſaduantage, De mon contentement vn autre eſtoit l’objet ?	Si ici l'entretins hier, et lui fis bon visage, N'en imaginez rien qu'à son désavantage, De mon contentement un autre était l'objet ?
Mais pour ſortir d’erreur ſçachez-en le ſujet, Ie garde à Curiace vne amitié trop pure Pour ſouffrir plus long-temps qu’on m’eſtime parjure.	Mais pour sortir d'erreur sachez-en le sujet, Je garde à Curiace une amitié trop pure Pour souffrir plus longtemps qu'on m'estime parjure.
Quelques cinq ou ſix mois apres que de ſa ſœur L’Hymenée euſt rendu mon frere poſſeſſeur (Vous le ſçauez Iulie) il obtint de mon pere Que de ſes chaſtes feux ie ſerois le ſalaire.	Quelques cinq ou six mois après que de sa sœur L'Hyménée eût rendu mon frère possesseur (Vous le savez Julie) il obtint de mon père Que de ses chastes feux avoir serais le salaire.
Ce iour nous fut propice & funeſte à la fois, Vniſſant nos maiſons il deſ-vnit nos Rois.	Ce jour nous fut propice et funeste à la fois, Unissant nos maisons il des -vnit nos Rois.
Vn meſme inſtant conelud noſtre Hymen & la guerre, Fit naiſtre noſtre eſpoir & le jetta par terre, Nous oſta tout ſi toſt qu’il nous euſt tout promis, Et nous faiſant amants il nous fit ennemis.	Un même instant conelud notre Hymen et la guerre, Fit naître notre espoir et le jeta par terre, Nous ôta tout si tôt qu'il nous eût tout promis, Et nous faisant amants il nous fit ennemis.
Combien nos deſplaiſirs parurent lors extrémes, Combien contre le Ciel il vomit de blaſphemes.	Combien nos déplaisirs parurent lors extrêmes, Combien contre le Ciel il vomit de blasphères.
Et combien de ruiſſeaux coulerent de mes yeux.	Et combien de ruisseaux coulèrent de mes yeux.
Ie ne vous le dy point, vous viſtes nos Adieux.	Je ne vous le dis point, vous vîtes nos Adieux.
Vous auez veu depuis les troubles de mon ame, Vous ſçauez pour la paix quels vœux a fait ma flame,	Vous avez vu depuis les troubles de mon âme, Vous savez pour la paix quels vœux a fait ma flamme,
O Et quels pleurs i’ay verſez à chaque éuenement, Tantoſt pour mon pays, tantoſt pour mon amant.	Ô Ô quels pleurs j'ai versez à chaque événement, Tantôt pour mon pays, tantôt pour mon amant.
En fin mon deſeſpoir parmy ces longs obſtacles M’a fait auoir recours à la voix des oracles.	En fin mon désespoir parmi ces longs obstacles M'a fait avoir recours à la voix des oracles.
Eſcoutés ſi celuy qui me fut hier rendu Eut droit de r’aſſeurer mon eſprit eſperdu:	Écoutés si celui qui me fut hier rendu Eut droit de rassurer mon esprit éperdu:
Ce Grec ſi renommé qui depuis tant d’années Au pied de l’Auentin prédit nos deſtinées, Luy qu’Apollon iamais n’a fait parler à faux, Me promit par ces vers la fin de mes trauaux:	Ce Grec si renommé qui depuis tant d'années Au pied de l'Aventin prédit nos destinées, Lui qu'Apollon jamais n'a fait parler à faux, Me promit par ces vers la fin de mes travaux:
Albe & Rome demain prendront vne autre face, Tes veux ſont exaucés, elles auront la paix, Et tu ſeras vnie auec ton Curiace, Sans qu’aucun mauuais ſort t’en ſepare iamais.	Albe et Rome demain prendront une autre face, Tes veux sont exaucès, elles auront la paix, Et tu seras unie ques ton Curiace, Sans qu'aucun mauvais sort t'en sépare jamais.
Ie pris ſur cét Oracle vne entiere aſſeurance, Et comme le ſuccés paſſoit mon eſperance, I’abandonnay mon ame à des rauiſſemens Qui paſſoient les tranſports des plus heureuz amants.	Je pris sur cet Oracle un entière assurance, Et comme le succès passait mon espérance, J'abandonnai mon âme à des ravissements Qui passaient les transports des plus heureuz amants.
Iugez de leur excez.	Jugez de leur excès.
