DERETE L FRAGICOMLDIE.	DERTE L FRAGICOMLDIE.
ne fut point en moy vne temerité, que d’ozer aimer ce Prince, mais au moins, ie m’imagine que l’amour eſt vn tribut, que l’on doit à la bonne grace, que l’on doit à la vertu, que l’on doità l’amour meſme.	ne fut point en moi une témérité, que d'ozer aimer ce Prince, mais au moins, sans m'imagine que l'amour est tribut, que l'on doit à la bonne grâce, que l'on doit à la vertu, que l'on doità l'amour même.
Ainſi, ma ſœur, par vne malice de la fortune, ou par mapropre foibleſſe, mon cœur s’ouurit à l’amour, & i’aymay le fils d’vn Monárque.	Ainsi, ma sœur, par une malice de la fortune, ou par mapropre faiblesse, mon cœur s'ouvrit à l'amour, et j'aimai le fils d'un Monrque.
Ainſi, ma ſœur, ie pourrois dire que l’amour deſcendit du throſne pour venir prendre place dans mon ame;	Ainsi, ma sœur, une pourrais dire que l'amour descendit du trône pour venir prendre place dans mon âme;
mais ie poutrois dire auſſi,par ma propre experience.	mais ici poutrais dire aussi,par ma propre expérience.
que tout ce qui vient du throſne eſt abſolu & ſouuerain, puiſque l’amour de Tharſis regne ſouuerainement deſſus.	que tout ce qui vient du trône est absolu et souuerain, puisque l'amour de Tharsis règne souverainement dessus.
moy.	moi.
de Jue Ilal3s Que nos fortunes ſont inegales!	de Jue Ilal3s Que nos fortunes sont inégales!
& que le Ciel, qui en eſt le maiſtre, ſe iouë diuerſement de nous!	et que le Ciel, qui en est le maître, se joue diversement de nous!
BERENICE.	BERENICE.
doy pllluioous, nuuou voue puo mieux que moy conſerué voſtre liberté?	dois pllluioous, nuou voue puo mieux que moi conservé votre liberté?
Vous n’auriez pas de raiſon de me cacher vos ſecrets, apres que ie vous ay monſtré les miens.	Vous n'auriez pas de raison de me cacher vos secrets, après que tu vous ai montré les miens.
AMASIE.	AMASIE.
Non, non, ie ne puis rien vous cacher;	Non, non, Madame ne puis rien vous cacher;
i’ayme donc auſſi bien que vous;	j'aime donc aussi bien que vous;
maisil y a cette difference entre voſtre amour & la mienne, que vous aymez vn Roy, & que ie n’ayme qu’vn ſujet.	maisil y a cette différence entre votre amour et la mienne, que vous aimez un Roi, et que ici n'aime qu'un sujet.
Il faut que vous leuiez les yeux, pour voir la cauſe de voſtre amour, & il faut que i'abaiſſe les miens pour voir l'objet de ma paſſion?	Il faut que vous leviez les yeux, pour voir la cause de votre amour, et il faut que j'abaisse les miens pour voir l'objet de ma passion?
Enſin voſtre priſon eſt ſur vn throſne, & la mienne eſt aux pieds du throſne, & pour dire tout en vn mot;	Ensin votre prison est sur un trône, et la mienne est aux pieds du trône, et pour dire tout en un mot;
vous aymez vn plus grand que vous, & i’en ayme vnmoindre que moy.	vous aimez un plus grand que vous, et j'en aime vnmoindre que moi.
A iij Ainſi, Berenice, quelque difference qu’il y ayt dans nos paſſions noſtre fortune eſt ſemblable, puiſque nous ſommes toutes deux genée par l’inegalite de noſtre amour.	À iij Ainsi, Berenice, quelque différence qu'il y ait dans nos passions nôtre fortune est semblable, puisque nous sommes toutes deux genée par l'inégalité de notre amour.
ERENICE.	ERENICE.
Quel eſt donc celuy que vous aymez?	Quel est donc celui que vous aimez?
AMASIE.	AMASIE.
C’eſt ſans diſſimuler d’auantage, c’eſt ma ſœur, ſillde ce voroj-	C’est sans dissimuler d'avantage, c’est ma sœur, sillde ce voroj d'
BERENICE.	BERENICE.
Quoy!	Quoi!
Tirinte.	Tirinte.
Cuy nſenile.	Cuy nsenile.
AMASTE.	AMASTE.
SCENE DEVXIESME, TIRINTE, BERENICE, AMASIE.	SCÈNE DEUXIÈME, TIRINTE, BERENICE, AMASIE.
TTRINTE.	TTRINTE.
AY ſans doute interrompu voſtre entretien.	AY sans doute interrompu votre entretien.
mais i’ay pour mon excuſe le commandement du Roy qui mef, chercher voſtre Pere.	mais j'ai pour mon excuse le commandement du Roi qui mes, chercher votre Père.
BERENCE.	BÉRENCE.
Le Roy le demande-il?	Le Roi le demande-il?
TIRINTE.	TIRINTE.
Au moins ie luy viens parler de ſa part.	Au moins Seigneur Seigneur viens parler de sa part.
.	.
.	.
.	.
.	.
AMASIE.	AMASIE.
Touiquoy eiite ?	Touiquoi éjite ?
IRINTE.	JRINTE.
Pour luy propoſer vne affaire, qui ſera glorieuſe à voſtre maiſon, & qui vous doit mettre en eſtat de ne plus regretter voſtre Patrie.	Pour sort proposer une affaire, qui sera glorieuse à votre maison, et qui vous doit mettre en état de ne plus regretter votre Patrie.
AMASIE.	AMASIE.
Il eſt dans le iardin, nous allons vous y conduire.	Il est dans le jardin, nous allons vous y conduire.
TRTNIE.	TRTNIE.
Ne bougez, ie vous en ſupplie.	Ne bougez, Seigneur vous en supplie.
Ai ſeſorDs.	Ai sesorDs.
vous ne pouuez empeſcherque nous ne rendions cet honneur aux ordres du Roy que vous portez.	vous ne pouvez empescherque nous ne rendions cet honneur aux ordres du Roi que vous portez.
Aaſise a M.	Aysise a M.
Le voicy, Madame, il ſemble qu’il vient audeuant de ſa gloire, ie vay le trouuer.	Le voici, Madame, il semble qu'il vient audèvant de sa gloire, je vais le trouver.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
BERENICE.	BERENICE.
LS paſſent tous deux dans le iardin.	LS passent tous deux dans le jardin.
Que viendroit-il, luy propoſer?	Que viendrait-il, lui proposer?
AMASIE Ie feray en ſorte de le ſçauoir;	AMASIE -Je ferai en sorte de le savoir;
& quand ce ſeroit vn ſecret, ſi ie ſuis encore dans ſon cœur, il ſuy leta umche de n’empeicher de le deſcouurir.	et quand ce serait un secret, si je suis encore dans son cœur, il zvi leta umche de n'empéicher de le découvrir.
BERENICE.	BERENICE.
Mais enfin vous m’auez donné de l’eſtonnement.	Mais enfin vous m'avez donné de l'étonnement.
quand vous m’auez dit que vous aymiez Tirinte.	quand vous m'avez dit que vous aimiez Tirinte.
Ie ſçay bien qu’il a de bonnes qualitez, ie ſçay bien qu’il eſt braue & genereux, mais le ſçay bien auſſi qu’il n’eſt pasde voſtre condition.	Je sais bien qu'il a de bonnes qualités, Elle sais bien qu'il est brave et généreux, mais le sais bien aussi qu'il n'est pasde le condition.
AMASIE.	AMASIE.
Ie vous diray tout de meſme que vous m’auez eſtonnée, lors que vous m’auez appris que vous aymiez le fils d’vn Roy, veritablement vous auez beaucoup de vertu, & ie confeſſe qu’il merite beaucoup, mais vous n’eſtes pas deſa condition.	Je vous dirai tout de même que vous m'avez étonnée, lors que vous m'avez appris que vous aimiez le fils d'un Roi, véritablement vous avez beaucoup de vertu, et et confesse qu'il mérite beaucoup, mais vous n'êtes pas des condition.
Laquelle, à voſtre aduis, eſt la plus blaſmable de vous ou demoy?	Laquelle, à votre avis, est la plus blâmable de vous ou demoi?
L'objet de voſtre amour eſt ſi haut que vous ne le pouuez attaindre, & la perſonne que i’ayme n’eſt point ſi baſſe que ſa vertu ne l'eſleue & ne l’approche de noſtre rang.	L'objet de votre amour est si haut que vous ne le pouvez attaindre, et la personne que j'aime n'est point si basse que sa vertu ne l'élever et ne l'approche de notre rang.
Comme dans ces dernieres guerres il a rendu à l’Eſtat des ſeruices ſignalez, il ne faut qu’vn rayon de faueur pour le rendre auſſi eſclattant que le Soleil.	Comme dans ces dernières guerres il a rendu à l'État des services signalés, il ne faut qu'un rayon de faveur pour le rendre aussi éclattant que le Soleil.
Les hommes genereux ſont touſiours grands & releuez, & pour eſtre dignes d’vne fille, il leurſuffit de meriter les careſſes, & les preſens de la fortune.	Les hommes généreux sont toujours grands et relevés, et pour être dignes d'une fille, il leursuffit de mériter les caresses, et les présents de la fortune.
Enfin ie croy qu’vn homme eſt grand des qu’il merite de l’eſtre, & des qu’il merite d’eſtre grand il merite auſſi d’eſtre aymé:	Enfin ici crois qu'un homme est grand des qu'il mérite de l'être, et des qu'il mérite d'être grand il merite ai être aymé:
mais il n’en eſt pas de meſme d’vne fille, elle n’eſt pas Reine pour meriter d’eſtre Reine, & ſa beauté qui fait vn amant d’vn Roy, en faitrarement vn mary.	mais il n'en est pas de même d'une fille, elle n'est pas Reine pour mériter d'être Reine, et sa beauté qui fait un amant d'un Roi, en faitrarement un mari.
Il vous eſt auantageux le meriter par voſtre vertu, autant de couronnes qu’on en trouueroit ſur la terre, mais il faut que vous confeſſiez que c’eſt vn triſte auantage que de meriter ſeuſement ce qu’on he ſçautoit obtenir.	Il vous est avantageux le mériter par votre vertu, autant de couronnes qu'on en trouverait sur la terre, mais il faut que vous confessiez que c'est un triste avantage que de mériter sèment ce qu'on h sçautoit obtenir.
BERENICE.	BERENICE.
Il eſt plus auantageux de ne rien du tout obtenir que d’obtenir des choſes qui nous faſſent honte, & qui ſoient indignes de nous.	Il est plus avantageux de ne rien du tout obtenir que d'obtenir des choses qui nous fassent honte, et qui soient indignes de nous.
Certainement, ie n’ay pas aſſez de preſomption pour croire que mon merite ſoit auſſi releué que mon amour, mais i’ay aſſez de raiſon pour me perſuader moy-meſme, ou que nous ne deuons point aimer, ou que nous ne deuons aymer que des objets dont l’amour nous ſoit glorieuſe, & qui nous faſſent reluire en nous bruſlant.	Certainement, Madame n'ai pas assez de présomption pour croire que mon mérite soit aussi relevé que mon amour, mais j'ai assez de raison pour me persuader moi-même, ou que nous ne devons point aimer, ou que nous ne devons aimer que des objets dont l'amour nous soit glorieuse, et qui nous fassent reluire en nous brûlant.
Sil’amour a preſque autant de cenſeurs qu’il y a de perſonnes raiſonnable, il faut faire en ſorte de Texcuſer par la gloire deſon objet.	Sil'amour a presque autant de censeurs qu'il y a de personnes raisonnable, il faut faire en sorte de Texcuser par la gloire des objet.
AMASIE.	AMASIE.
A voſtre compte, Berenice, la grandeur ſeroit la gloire d’vn homme:	À votre compte, Berenice, la grandeur serait la gloire d'un homme:
Et la fortune donneroït vn bien, qu’on ne peut receuoir que de la vertu	Et la fortune donneroït un bien, qu'on ne peut recevoir que de la vertu
BERENICE.	BERENICE.
Il ne faut point ici s’abuſer, il la granu eur ne fait la gloire, au moins elle y contribuë:	Il ne faut point ici s'abuser, il la granu eur ne fait la gloire, au moins elle y contribue:
Mais ſi la vertu de Tarſis a fait naiſtre mon amour vous ne deuez pas le condamner, -.	Mais si la vertu de Tars a fait naître mon amour vous ne devez pas le condamner, -.
I.	I.
.	.
B	B
AMASIE.	AMASIE.
C’eſt aſſez de reſpecter la vertu en ceux qui ſont plus grands que nous.	C'est assez de respecter la vertu en ceux qui sont plus grands que nous.
.	.
I.	I.
	
BERENICE.	BERENICE.
O vie done unondoleeuel on coux qui ſonc moindres que nous.	Ô vie donce unondolevel on coux qui sonc moindres que nous.
AMASIE.	AMASIE.
On ne peut dire raiſonnablement, qu’vn homme vertueux ſoit moindre qu’vn autre.	On ne peut dire raisonnablement, qu'un homme vertueux soit moindre qu'un autre.
Sitoutefois cela ſe peut dire, il y a bien plus de generoſité à aymer vn moindre que ſoy qu’à en aymer vn plus grand.	Sitoutefois cela se peut dire, il y a bien plus de générosité à aimer un moindre que soi qu'à en aimer un plus grand.
On ayme les grands par intereſt & l’on ayme les autres d’vne veritable amour, puiſqu’on les ayme par leur vertu, & que l’amour qu’on a pour eux eſt entierement deſintereſſée.	On aime les grands par intérêt et l'on aime les autres d'une véritable amour, puisqu'on les aime par leur vertu, et que l'amour qu'on a pour eux est entièrement desinteressée.
Ainſi à l’exemple des Dieux, les creatures les plus hautes ont de l’amour pour les baſſes;	Ainsi à l'exemple des Dieux, les créatures les plus hautes ont de l'amour pour les basses;
le Soleil ayme la terre, & luy donne de la vertu, le Ciel l'embraſſe de tous coſtez, comme pour luy monſtrer ſon amour, & moy qui connois parfaitement le merite de Tirinte, ie ne feins point de confeſſer que i’ayme Tirinte.	le Soleil aime la terre, et lui donne de la vertu, le Ciel l'embrasse de tous côtés, comme pour lui monstrer son amour, et moi qui connaître parfaitement le mérite de Tirinte, Seigneur ne feins point de confesser que j'aime Tirinte.
BERENICE.	BERENICE.
mouis que pour raihel vonre amiour vous alſez chercher des raiſons juſques dans le Ciel, vous teſmoignez ſans doute que vous en auez bien peu, puiſque vous en allez chercher ſiloing.	mouis que pour raihel vonre amiour vous alsez chercher des raisons jusques dans le Ciel, vous témoignez sans doute que vous en avez bien peu, puisque vous en allez chercher siloing.
Quoy que vous diſiez pour voſtre deffence, la nature eſt ennemie des baſſeſſes, elle a faitnoſtre ame de feu, afin qu’elle tende touſiours en haut, & par vn meſme ſentiment elle a fait l’amour de flame, afin qu’il ne rampe laſſais, & qui ne cherehe qu’a Pelleuer.	Quoi que vous disiez pour votre défense, la nature est ennemie des basses, elle a faitnôtre âme de feu, afin qu'elle tende toujours en haut, et par un même sentiment elle a fait l'amour de flamme, afin qu'il ne rampe lassais, et qui ne chèrehe qu'a Pellever.
AMASIE.	AMASIE.
Vous faites par cette raiſon vne iniure à voſtre amant;	Vous faites par cette raison une injure à votre amant;
Il eſt Roy, il vous ayme, & toutefois vous n’eſtes-pas Reine.	Il est Roi, il vous aime, et toutefois vous n'êtes-pas Reine.
Si vous me blaſmez d’aymer vne perſonne moindre que moy, pourquoy ne le blaſmerez-vous pas d’en aymer vne moindre que luy?	Si vous me blâmez d'aimer une personne moindre que moi, pourquoi ne le blâmerez-vous pas d'en aimer une moindre que personne?
Car, ſelon voſtre ſentiment, cette amour eſt vne baſſeſſe.	Car, selon votre sentiment, cette amour est une bassesse.
BERENICE.	BERENICE.
Oüy, ma ſœur, cette amour ſeroit vne baſſeſſe que ie deteſterois moy-meſme, ſi les Roys n’eſtoient differens des autres hommes.	Oui, ma sœur, cette amour serait une bassesse que personne détesterais moi-même, si les Rois n'étaient différents des autres hommes.
Mais il n’appartient qu’aux Dieux & aux Roys de s’abaiſſer en leurs amours, car comme tout eſt bas,à l’eſgard des Dieux & des Roys, ils n’aymeroient iamais perſonne, s’ils ne deuoient iamais aymer que des objets proportionnez à leur grandeur.	Mais il n'appartient qu'aux Dieux et aux Rois de s'abaisser en leurs amours, car comme tout est bas,à l'égard des Dieux et des Rois, ils n'aimeraient jamais personne, s'ils ne devaient jamais aimer que des objets proportionnés à leur grandeur.
Enfin, ma ſœur, ſi l’on coimſiet vne Iauteen ayinant en momure que loy, il vaut mieux qu’vn autre la commette à noſtre auantage que ſi nous la commettions en faueur d’vn autre.	Enfin, ma sœur, si l'on coimet un Jauteen aiinant en moment que loi, il vaut mieux qu'un autre la commette à notre avantage que si nous la commettions en faveur d'un autre.
Vous appellerez voſtre amour generoſité & d’autre l’appelleront baſſeſſe.	Vous appellerez votre amour générosité et d'autre l'appelleront bassesse.
AMASIE.	AMASIE.
Vous appellerez voſtre amour grandeur de courage, & d’autre l’appelleront temerité, .	Vous appellerez votre amour grandeur de courage, et d'autre l'appelleront témérité, .
.	.
.	.
.	.
.	.
	
B ij	B ij
BERENICE.	BERENICE.
Il vaut mieux faire des temerites que des baſſeſſes.	Il vaut mieux faire des témérités que des bassesses.
AMASIE.	AMASIE.
On ne fait point de baſſeſſes lors qu’on ayme ce queienite d'eitte aynie, Maisermir, vlt-ce Tarſis ou le fils du Roy que vous aymez.	On ne fait point de bassesses lors qu'on aime ce queienite d'éitte ainie, Maisermir, vlt-ce Tars ou le fils du Roi que vous aimez.
BERENICE.	BERENICE.
C’eſt Tarſis, c’eſt le fils du Roy, puiſque l’vn eſt inſeparable de l’autre.	C'est Tarsis, c'est le fils du Roi, puisque l'un est inséparable de l'autre.
A MASIE.	À MASIE.
Mais ſi Tarlis n’auoit pas cette illuſtre qualité que d’eſtre le fils d’vn Monarque, n’auriez-vous Poiie dalloul poul fay.	Mais si Tarlis n'avait pas cette illustre qualité que d'être le fils d'un Monarque, n'auriez-vous Poiie dalloul poul fay.
1C BERENICE.	1C BERENICE.
I’aymefois touſiours Tarſis aucc ſes perfections.	J'aimefois toujours Tarsis aucc ses perfections.
AMASIE.	AMASIE.
.	.
Mais ſi ayant les meſmes perfections, il eſtoit d’vne moindre condition que vous, continuriezvous de l’aymer?	Mais si ayant les mêmes perfections, il était d'une moindre condition que vous, continuriezvous de l'aimer?
BERENICE.	BERENICE.
I'aymerois touſiours ſes perfections, mais ſi mon amour vouloit paſſer iuſqu’à ſa perſonne, ie luy couperois les ayles, & ie ſçaurois bien l’empeſcher de ne croiſtre que pour ma honte.	J'aimerais toujours ses perfections, mais si mon amour voulait passer jusqu'à sa personne, que lui couperais les ailes, et ainsi saurais bien l'empêcher de ne croître que pour ma honte.
AMASIE.	AMASIE.
Vous l’aymeriez aſſeurement, caril ne s’en faut guere qu’vne fille n’ayme vn homme quand elle eſt amoureuſe de ſa vertu.	Vous l'aimeriez assurément, caryl ne s'en faut guère qu'une fille n'aime un homme quand elle est amoureuse de sa vertu.
BERENICE.	BERENICE.
Ie reſiſterois mieux que vous.	Je résisterais mieux que vous.
Mais voicy mon	Mais voici mon
Pere qui reconduit Tirinte.	Père qui reconduit Tirinte.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
CRITON, TIRINTE.	CRITON, TIRINTE.
VA CRITON.	VA CRITON.
Onſieur, le Roy me fait vn honneur, que ie ne ſçaurois meriter, mais tachez de le diuertir de ce deſſein, & dele diſpoſer à reçeuoir mes cacuies, ueuant que le lois oonge de le voir.	Onsieur, le Roi me fait un honneur, que ieans saurais mériter, mais tachez de le divertir de ce dessein, et déle disposer à recevoir mes cacuies, œuant que le lois oonge de le voir.
TIRINTE.	TIRINTE.
Vous m’en auez aſſez dit, pour luy monſtrer voſtre ſentiment.	Vous m'en avez assez dit, pour lui montrer votre sentiment.
Mais.	Mais.
CRITON.	CRITON.
Ne me demandez point d’autres raiſons.	Ne me demandez point d'autres raisons.
.	.
	
TIRINTE.	TIRINTE.
Ie vay donc retrouuer le Roy.	Je vais donc retrouver le Roi.
SCENE CIN QVIESME CRITONY, BERENICE, AMASIE,	SCÈNE CIN QUIESME CRITONY, BERENICE, AMASIE,
{48.	48.
CRITON.	CRITON.
Es filles, la fortune ne change point pour nous de viſage, elle nous eſt touſiours contraire, & m'ayant fait venir en ce Pays comme dans anaine muiorabio, eno ſit obuge deis iortir comme d’vn lieu funeſte & dangereux.	Es filles, la fortune ne change point pour nous de visage, elle nous est toujours contraire, et m'ayant fait venir en ce Pays comme dans anaine muiorabio, eno sit obuge de jortir comme d'un lieu funeste et dangereux.
AMASIE.	AMASIE.
Que nous dites-vous Monſieur?	Que nous dites-vous Monsieur?
CRITON.	CRITON.
Ie dis qu’il eſt neceſſaire, & pour voſtre, bien & pour mon repos que nous ſortions de ce Pays.	Je dis qu'il est nécessaire, et pour votre, bien et pour mon repos que nous sortions de ce Pays.
BERENICE.	BERENICE.
Que nous ſortions de ce Pays!	Que nous sortions de ce Pays!
Ha, ma ſœur, qu’elle nouuelle infortune s’oppoſe à noſtre felicité?	Ha, ma sœur, qu'elle nouvelle infortune s'oppose à notre félicité?
Ne ſçaurons nous point leſujet qui vous oblige de partir?	Ne saurons nous point lesujet qui vous oblige de partir?
Le Roy ſe laſſe-il de vos ſeruices?	Le Roi se lasse-il de vos services?
Luy eſtes-vous deuenu ſuſpect?	Lui êtes-vous devenu suspect?
CREEEE Au contraire, il me veut combler d’honneurs, & ce ſont ces meſmes honneurs qui mecontraignent de -.	CRÉÉE Au contraire, il me veut combler d'honneurs, et ce sont ces mêmes honneurs qui mecontraignent de -.
C.	Ç.
m’eſſoigner.	m'essoigner.
Contentez-vous deſçauoir cela, vous ehigaulee vinour uaualltazc.	Contentez-vous desçauoir cela, vous ehigaulée vinour uaualltazc.
3	3
BERENICE.	BERENICE.
Plus vous parlez & plus vous nous donnez d’eſtonnement.	Plus vous parlez et plus vous nous donnez d'étonnement.
On vous honnore, dites-vous, & vous uites queron vous chane par les nomeuts, que l’on vous fait, comment pourrions-nous vous entendre?	On vous honore, dites-vous, et vous uites quéron vous chane par les nomeuts, que l'on vous fait, comment pourrions-nous vous entendre?
CRITON.	CRITON.
Il n’eſt pas beſoing que vous m’entendiez.	Il n'est pas besoin que vous m'entendiez.
Contentez-vous de ſçauoir que i’ay de iuſtes raiſons de vous eſloigner dé ces lieux.	Contentez-vous de savoir que j'ai de justes raisons de vous éloigner de ces lieux.
418	418
BERENICE.	BERENICE.
Mais c’eſt icy que vous auez trouué vn aſile contre les fureurs d’vn Tyran.	Mais c'est ici que vous avez trouvé un asile contre les fureurs d'un Tyran.
Toutes choſes fious y ſont fauorables;	Toutes choses fious y sont favorables;
& le Roy vous y a comblé de tant de biens qu’il y auroit de l’ingratitude à vous rerirer de ſon ſeruice, il vous a mis ſi pres du throſne, qu’on diroit que vous le rempliſſez auec luy.	et le Roi vous y a comblé de tant de biens qu'il y aurait de l'ingratitude à vous rerirer de son service, il vous a mis si pres du trône, qu'on dirait que vous le remplissez avec lui.
Ha!	Ha!
Monſieur, comieit qeeonleſeruune eneole quo voue pouuez teſmoigner comment vous eſtimez les recompenſes dont il a reconnu vos ſeruices.	Monsieur, comjet qéeonleservune eneole quo voue pouuez témoigner comment vous estimez les récompenses dont il a reconnu vos services.
CRITON.	CRITON.
Toutesfois il faut s'en aller.	Toutefois il faut s'en aller.
