A MONSIEUR DE MOLIER Chef de la Trouppe des Comediens de Monſieur Frere Unique du Roy.	À MONSIEUR DE MOLIER Chef de la Troupe des Comédiens de Monsieur Frère Unique du Roi.
Liſez-moy comme il faut, au lieu de ces ſornettes, Les Quatrains de Pibrac, & les doctes tablettes Du Conſeiller Matthieu, ouvrage de valeur, Et plein de beaux dictions à reciter par cœur :	Lisez-moi comme il faut, au lieu de ces sornettes, Les Quatrains de Pibrac, et les doctes tablettes Du Conseiller Matthieu, ouvrage de valeur, Et plein de beaux dictions à réciter par cœur :
Le guide des pecheurs eſt encor un bon Livre, C’eſt là qu’en peu de temps on apprend à bien vivre, Et ſi vous n’aviez leu que ces Moralitez, Vous ſçauriez un peu mieux ſuivre mes volontez.	Le guide des pécheurs est encor un bon Livre, C'est là qu'en peu de temps on apprend à bien vivre, Et si vous n'aviez lu que ces Moralitez, Vous sauriez un peu mieux suivre mes volontés.
CELIE.	CELIE.
Quy, vous pretendez donc, mon pere, que j’oublie La conſtante amitié, que je dois à Lelie!	Qui, vous prétendez donc, mon père, que j'oublie La constante amitié, que je dois à Lelie!
J’aurois tort ſi ſans vous je diſpoſois de moy, Mais vous-méme à ſes vœux engageaſtes ma foy.	J'aurais tort si sans vous je disposais de moi, Mais vous-même à ses vœux engageâtes ma foi.
GORGIBUS.	GORGIBUS.
Luy fuſt-elle engagée encore davantage, Un autre eſt ſurvenu dont le bien l’en dégage:	Lui fût-elle engagée encore davantage, Un autre est survenu dont le bien l'en dégage:
Lelie eſt fort bien fait;	Lélie est fort bien fait;
mais apprends qu’il n’eſt rien, Qui ne doive ceder au ſoin d’avoir du bien.	mais apprends qu'il n'est rien, Qui ne doive céder au soin d'avoir du bien.
Que l’or donne aux plus laids certain charme pour plaire, Et que ſans luy le reſte eſt une triſte affaire, Valere, je croy bien, n’eſt pas de toy chery;	Que l'or donne aux plus laids certain charme pour plaire, Et que sans lui le reste est une triste affaire, Valère, je crois bien, n'est pas de toi chéri;
Mais s’il ne l’eſt amant il le ſera mary, Plus que l’on ne le croit ce nom d’époux engage, Et l’amour eſt ſouvent un fruit du mariage, Mais ſuis-je pas bien fat de vouloir raiſonner Où de droit abſolu j’ay pouvoir d’ordonner.	Mais s'il ne l'est amant il le sera mari, Plus que l'on ne le croit ce nom d'époux engage, Et l'amour est souvent un fruit du mariage, Mais suis-je pas bien fat de vouloir raisonner Où de droit absolu j'ai pouvoir d'ordonner.
Treve donc je vous prie à vos impertinences, Que je n’entende plus vos ſottes doleances, Ce gendre doit venir vous viſiter ce ſoir, Manquez un peu, manquez à le bien recevoir, Si je ne vous luy vois raire fort bon viſage, Je vous.	Treve donc je vous prie à vos impertinences, Que je n'entende plus vos sottes doléances, Ce gendre doit venir vous visiter ce soir, Manquez un peu, manquez à le bien recevoir, Si je ne vous lui vois raire fort bon visage, Je vous.
je Re veux pas en dire davantage.	je Re veux pas en dire davantage.
SCENE II.	SCÈNE II.
CELIE, LA SUIVANTE.	CELIE, LA SUIVANTE.
Ui comparera cette ſeconde Scene à la premieQre, confeſſera d’abord que l’Autheur de cette Pieçe a un genie tout particulier pour lés Ouvrages de Theâtre, & qu’il eſt du tout impoſſible que ſes pieçes ne reüſſiſſent pas, tant il ſçait bien de quelle maniere il faut attacher l’eſprit de l’Auditeur.	Oui comparera cette seconde Scène à la premieQie, confessera d'abord que l'Auteur de cette Pieçe a un génie tout particulier pour lés Ouvrages de Théâtre, et qu'il est du tout impossible que ses pieçes ne réussissent pas, tant il sait bien de quelle manière il faut attacher l'esprit de l'Auditeur.
En effect nous voyons qu’apres avoir fait voir dans la Scene precedente, un pere pedagogue, qui taſche de perſuader à ſa fille, que la richeſſe eſt preferable à l’amour, il fait parler dans celle cy (afin de divertir l’auditeur par la varieté de la matiere) une vefve ſuivante de Celie, & confidente toute enſemble, qui s’eſtonne de quoy ſa Maiſtreſſe répond par des larmes à des offres d’hymen, & apres avoir dit qu’elle ne feroit pas de meſme, ſi l’on la vouloit marier, elle trouve moyen de décrire toutes les douceurs du mariage, ce qu’elle execute ſi bien, qu’elle en fait naiſtre l’envie à celles qui n’en ont pas taſté.	En effet nous voyons qu'après avoir fait voir dans la Scène précédente, un père pédagogue, qui tâche de persuader à sa fille, que la richesse est préférable à l'amour, il fait parler dans celle cy (afin de divertir l'auditeur par la variété de la matière) une veût suivante de Célie, et confidente toute ensemble, qui s'étonne de quoi sa Maîtresse répond par des larmes à des offres d'hymen, et après avoir dit qu'elle ne ferait pas de même, si l'on la voulait marier, de trouve moyen de décrire toutes les douceurs du mariage, ce qu'elle execute si bien, elle en fait naître envie celles qui en ont pas tasté.
Sa maiſtreſſe, comme font d’ordinaire celles qui n’ont jamais eſté mariées, l’eſcoute afec attention, de ne Iecdle le temps de joüir de ſes douceurs, que par ce qu’elle les veut gouſter avec Lelie, qu’elle aime parfaitement, & qu’elles ſe changent toutes en amertume, lors que l’on les gouſte avec une perſonne que l’on n’aime pas, c’eſt pourquoy elle montre à ſa Suivante le portrait de Lelie, pour la faire tomber d’accord de la bonne mine de ce galand & du ſujet qu’elle a de l’aimer.	Sa maîtresse, comme font d'ordinaire celles qui n'ont jamais été mariées, l'écoute afec attention, de ne Iecdle le temps de joüir de ses douceurs, que par ce qu'elle les veut goûter avec Lelie, qu'elle aime parfaitement, et qu'elles se changent toutes en amertume, lors que l'on les goûte avec une personne que l'on n'aime pas, c'est pourquoi elle montre à sa Suivante le portrait de Lelie, pour la faire tomber d'accord de la bonne mine de ce galant et du sujet qu'elle a de l'aimer.
Vous m’objecterez peut-eſtre que cette fille le doit connoiſtre, puis quelle demeure avecque Celie & que ſon pere l’ayant promiſe à Lelie, cet amant eſtoit ſouvent venu voir ſa maiſtreſſe;	Vous m'objecterez peut-être que cette fille le doit connaître, puis quelle demeure avec Celie et que son père l'ayant promise à Lelie, cet amant était souvent venu voir sa maîtresse;
mais je vous répondray que Lelie eſtoit à la Campagne devant qu’elle demeuraſt avec elle, apres cette diſgreſſion, pour la juſtification de noſtre Autheur, voyons quels effects ce portrait produit.	mais je vous répondrai que Lélie était à la Campagne devant qu'elle demeurât avec elle, après cette disgréssion, pour la justification de notre Auteur, voyons quels effets ce portrait produit.
Celle qui peu auparavant diſoit qu’il ne falloit jamais rejetter des offres d’hymen, advouë que Celie a ſujet d’aimer tendrement un homme ſi bien fait, & Celie ſongeant qu’elle ſera peut efere contramte d'enerpouſer un autre, s’évahouie:	Celle qui peu auparavant disait qu'il ne fallait jamais rejetter des offres d'hymen, adoue que Celie a sujet d'aimer tendrement un homme si bien fait, et Célie songeant qu'elle sera peut efere contramte d'enerpouser un autre, s'évahouie:
la conndente appenle du lecoure.	la connente appens du coure.
Cependant qu’il en viendra, vous pouvez lire ces Vers, qui vons le feront attendre ſans impatience.	Cependant qu'il en viendra, vous pouvez lire ces Vers, qui vons le feront attendre sans impatience.
LA SUIVANTE.	LA SUIVANTE.
Quoy, refuſer Madame avec cette rigueur, Ce que tant d’autres gens voudroient de tout leur cœur?	Quoi, refuser Madame avec cette rigueur, Ce que tant d'autres gens voudraient de tout leur cœur?
A des offres d’hymen répondre par des larmes, Et tarder tant à dire un ouy ſi plein de charmes?	À des offres d'hymen répondre par des larmes, Et tarder tant à dire un ouï si plein de charmes?
Helas!	Hélas!
que ne veut-on auſſi me marier?	que ne veut-on aussi me marier?
Ce ne ſeroit pas moy qui ſe feroit prier, Et loin qu’un pareil ouy me donna de la peine, Croyez que j’en dirois bien viſte une douzaine:	Ce ne serait pas moi qui se ferait prier, Et loin qu'un pareil oui me donna de la peine, Croyez que j'en dirais bien vite une douzaine:
Le Precepteur qui fait repeter la leçon A voſtre jeune frere, à fort bonne raiſon, Lors que nous diſcourant des choſes de la terre Il dit que la famelle eſt ainſi que le lierre, Qui croiſt beau tant qu’à l’arbre il ſe tient bien ſerré, Et ne profite point s’il en eſt ſeparé:	Le Précepteur qui fait répéter la leçon A votre jeune frère, à fort bonne raison, Lors que nous discourant des choses de la terre Il dit que la famelle est ainsi que le lierre, Qui croît beau tant qu'à l'arbre il se tient bien serré, Et ne profite point s'il en est séparé:
