A PARIS, Chez JEAN MUSiEr, ruë de PetitPont, à l’Image Saint Antoine.	À PARIS, Chez JEAN MUSiEr, rue de PetitPont, à l'Image Saint Antoine.
car le Docteur & ſa femme creuren ce que leur dirent ceux qu’ils croyent être vrat Bœſmiens, le Capitaine au quel on avoit dit l bonne aventure devint amoureux de la Bœ mienne Florinde, qui reſſembloit à ſa premie maiſtreſſe qui avoit été enlevée, il luy fait dor ner une ſerenade, qui eſt interrompuë par le Pr voſt qui cherchoit les volleurs Bœſmiens q s’étoient ſauveZ.	car le Docteur et sa femme créuren ce que leur dirent ceux qu'ils croient être vrat Bœsmiens, le Capitaine au quel on avait dit l bonne aventure devint amoureux de la Bœ mienne Florinde, qui ressemblait à sa premie maîtresse qui avait été enlevée, il avait fait dor ner une sérénade, qui est interrompue par le Prétait qui cherchait les volleurs Bœmiens q s'étaient sauvez.
Il frape à la porte où étoit I dias avec ceux de ſa troupe que l’on prend pl Boeſmiens.	Il frappe à la porte où était I dias avec ceux de sa troupe que l'on prend pl Boémiens.
Lidias reconnut le Prevoſt ſon fre & furent enſemble trouver le Docteur qui ?	Lidias reconnut le Prévôt son frère et furent ensemble trouver le Docteur qui ?
ceut Lidias pour ſon gendre avec grand conte tement, & les amans goûterent les plaiſirs e leur amour meritoit.	ceut Lidias pour son gendre avec grand conte tement, et les amants goûtèrent les plaisirs e leur amour méritait.
Le Capitaine deſeſſ d’amour va rechercher ſa conſolation dans	Le Capitaine desess d'amour va rechercher sa consolation dans
PROLOGUE an Docieur Ioejalrhs.	PROLOGUE an Docieur Ioejalrhs.
Ythagoras, Socrates, Plato, Ariſtoteles, atque Talii tam Magi ſacerdotes, Gimnoſo hiſta, Druida, ſapientes Doctores, quam qui in omni ſcientiarum genere floruerunt ut Demoſthenes, Ciceron, & autres de même farine, tant anciens que modernes, nommez & à nommer, dits & à dire, dictez & à dicter, recitez & à reciter, connus & à connoître, nez & à naître en ce monde icy & en l’autre, toti & rudiſtimi quidem ſed nihil ad me?	Ythagoras, Socrates, Plato, Aristoteles, atque Tali tam Magi sacerdotes, Gimnoso hista, Drida, sapientes Doctores, quam qui in omni scientiarum génère floruerunt ut Demosthenes, Cicéron, et autres de même farine, tant anciens que modernes, nommez et à nommer, dits et à dire, dictés et à dicter, récitez et à réciter, connaître , connaître, nez et à naître en ce monde e et en l'autre, toti qui me quidem ty qui me me?
car il n’y a non plus de comparaiſon d’eux à moy, que d’un Ecolier à un Maître, d’un butor à un éprevier, d’un âne à un cheval, d’un fourmis à un Elephant, d’une montaigne à une ſoutis, & parlant par reverence, que d’un étron à un pain de lucre, ſic de cateris, ce ne ſont que des zerots en chiffre au regard de moy, qui ſuis Magiſter Magiſtrorum, Doctor Doctorum, Praceptor Praceptorum & totius, univerſa academia facilè princeps & coriphaus, moy en qui la Philoſophie a fait ſon individu, moy qui ay prêché ſept ans pour un Carême, moy qui enſeigne Minerve, moy qui ſuis le tripier d’elite, & le pot aux tripes, dis-je le prototipes de doctrine, moy qui ſuis en un mot, l’encilopedie?	car il n'y a non plus de comparaison d'eux à moi, que d'un Écolier à un Maître, d'un butor à un éprevier, d'un âne à un cheval, d'un fourmis à un Éléphant, d'une montagne à une soutis, et parlant par révérence, que d'un étron à un pain de lucre, sic de catis, ce ne sont que des zerots en chiffre au regard de moi, qui suis Magister Magistrorum, Doctor Doctorum, Praceptor Praceptorum et totius, universa academia facilè Pr et coriphaus, m en qui la Philosophie a fait son individu, moi li a prêché sept hpour mCarême, moi qui enseigne Minerve, moi phi suis le tripier élite, et le et aux tripes, dis-je le ô de doctrine, na aux phi en un mot, encilopedie?
mêmes le ramas de toutes les ſciences, in ſequitur, que je ſuis le premier des Docteurs du monde, quare & per quam regulam, quand les canes vont aux champs la premiere va devant:	mêmes le ramas de toutes les sciences, in séquitur, que je suis le premier des Docteurs du monde, quare et per quam régulam, quand les canes vont aux champs la première va devant:
Voila qui eſt vuidé auſſi bien qu’un peigne, aux autres ceux-la ſont riflez jaconilo, pour neant faiſons partie nouvelle & joüons ſur nouveaux frais.	Voilà qui est vidé aussi bien qu'un pigne, aux autres ceux-la sont riflez jacono, pour néant faisons partie nouvelle et jouons sur nouveaux frais.
ferio, tout de bon auditores ampliſſimi, tant petits que grans, utriuſque generis maſculinis & feminis, à tous bons entendeurs ſalut, honneur, ſanté, joye, amour & dilection, vous ſoyez tous auſſi les bien veuus, comme ſi l’on vous avoit mandez, vous avez bien fait de venir car je ne vous fuſſe pas aller querir.	ferio, tout de bon auditores amplissimi, tant petits que grans, utriusque généris masculinis et féminis, à tous bons entendeurs salut, honneur, santé, joie, amour et dilection, vous soyez tous aussi les bien vu, comme si l'on vous avait mandez, vous avez bien fait de venir car je ne vous fusse pas aller quérir.
Mais à propos de bottes, mes ſouliers ſont perſez couvrez vos bagotiers, la ſueur vous eſt bonne, & à moy auſſi, car il eſt bien fou qui s’oublie, or ſus, or ça, or ſum, or ſus donc, vos debitis ſepelire, vous devez ſçavoir qu’il eſt aujourd’huy S.	Mais à propos de bottes, mes souliers sont persez couvrez vos bagotiers, la sueur vous est bonne, et à moi aussi, car il est bien fou qui s'oublie, or sus, or ça, or suma, or sus donc, vos débitis sépelire, vous devez Savoir qu'il est aujourd'hui S.
Lambert, qu ſort de ſa place la perd, que la conſerve vaut mieux que le reſiné, qui bene ſtat;	Lambert, qu sort de sa place la perd, que la conserve vaut mieux que le résiné, qui bene stat;
non fine move, dit l’Italien, & nos doctiſſimi doctores, nous diſons en nos eſcolles proverbiales, qui tenet teneat, poſſeſſio valet qu’il vaut mieux tenir que querir, & au cas frert Lucas que Lucas n’euſt qu’un œil, ſa ſemme auroi envie d’épouſer un borgne, & aucas dis-je quelque Docteurs de nouvelle impreſſion, & de la dernier couvée ayant chauſſé leur vert coquin, & enfumt la langue ſous la cheminée des médiſans, veulent ton dre ſur œuf, & corriger le Magnificat à Matines nous leur riverons bien leur clou & leur dirons qu n’y a point de plus empé chez que ceux qui tienner la queuë de la poisle, qu’on eſt quite à bon march quand on ne pert que les arres, qui a beau ſe taire d I’écot qui rien n’en paye pour la bonne bouche, l qu’il eſt facile de reprendre:	non fine move, dit l'Italien, et nos doctissimi doctores, nous disons en nos écolles proverbiales, qui tenet teneat, possessio valet qu'il vaut mieux tenir que quérir, et au cas frer Lucas que Lucas n'eût qu'un œil, sa semme auroi envie d'épouser un borgne, et aucas dis-je quelque Docteurs de nouvelle impression, et de la dernier couvée ayant chaussé leur vert coquin, et enfumt la langue sous la cheminée des médisans, veulent ton sur , et corriger le a Matines nous le riverons bien leur clou et leur dirons y a point de plus empé chez que ceux qui ton la queuë de la poisle' œuon est fu bon sic a on ne pert que les arres, qui a beau se taire écot qui rien en paye pour la bonne bouche, il est facile de reprendre:
mais mal-aiſé de fair mieux, ſi bien que de ce côtẽ là nous en demeuror à deux de jeu, à bon chat bon rat, s’ils nous donner des pois nous leurs donnerons des féves, qu’en dites vous Meſſieurs les audireurs, & vous mes Dames l auditriſſes, motus bouche couſuë, vous reſſemble au Perroquet de Maître Guillaume, qui ne dit m & n’en penſe pas moins, il eſt temps de faire le taſſet, hoc verbo celuy qui ferme la bouche & ſe tait, n’eſtce pas bien parler à luy, c’eſt ce que vafaire le ſcientifique & venerable Docteur Theſaurus, en vous diſant valete & plaudite, toutes-fois puis qu’en bonne compagnie il ne faut rien celer & rien garder ſur le cœur qui nous faſſe mal, je vous diray en deux mots à coupe cul pour m’expliquer plus clairement, c’eſt que nous vous prions inſtamment de donner le ſilence en recompenſe & contre-change dequoy troe pour troc a petits frais ſans bourſe délier, je vais querir mes compagnons qui diront & feront comme Robin fit à la dance du m’eux qu’ils pourront, qui dit ce qu’il ſçait & donne ce qu’il a n’eſt pas tenu à d’avantage, ſi vous ne le voulez croire charbonnez-Ie, & pour concluſion donc, je vous dis que l’experience eſt maîtreſſe de toutes les ſciences & experto credere roberto:	mais mal-aisé de fair mieux, si bien que de ce côtẽ ons nous en demeur à deux de jeu, à bon chat s' est, s'ils nous donner des pois nous leurs donnerons des fèves, qu'en dites vous Messieurs les audireurs, et vous mes Dames l éditrisses, motus bouche coutue, vous ressemble au Perroquet de Maître Guillaume, qui ne dit m et n'en pense pas moins, il est temps de faire le tasset, hoc verbo celui qui ferme la bouche et se taît, n'est pas bien parler à lui, est ce que propre me scientifique et vénérable Docteur Thesaurus, c' es disant ce et plaudite, toutes-fois puis quen bonne va il ne fa rien celer et rien le sur le ç qui nous fasse mal, je vous diray en deux mots coupe cul pour expliquer plus fi, est que et vous prions en de donner le silence en recompense et contre-change dequoy troe pour troc a petits frais sans bourse le, je vais quérir mes compagnons qui Do et feront comme Robin fit la dance du eux ils pourront, en dit ce il sa et donne ce il a est a tenu avantage, si vous ne le voulez croire charbonnez-Ie, et pour conclusion donc, je vous dis que expérience et maîtresse de toutes les sciences et experto credere roberto:
mais comme il n’y a ſi bonne compagnie qu’en fin ne ſe ſepare?	mais comme il n'y a si bonne compagnie qu'en fin ne se sépare?
Adieu ſans adieu, amour ſans regret, valete valete, atque iterum valete.	Adieu sans adieu, amour sans regret, valete valete, atque iterum valete.
11	11
ALATORE, ſon valet.	ÀLATORE, son valet.
LES ASSISTANS DE LIDIAS.	LES ASISTANS DE LIDIAS.
PHILIPPIN, valet du Docteur.	PHILIPPIN, valet du Docteur.
EECir E2 fille du Docteur.	EECir E2 fille du Docteur.
dnerrertDyvorlin du Docteur,	dnerrertDyvorlin du Docteur,
MARINV, autre voiſin.	MARINU, autre voisin.
CLABAUEY.	CLABAUEY.
aprenty de Marin.	apenti de Marin.
LE DOCTTOR THESRURUS.	LE DOCTTOR THÉTRURUS.
ALIZON, ſa ſervante.	ÀLIZON, sa servante.
MACE’E, la femme du Docteur.	MACE, la femme du Docteur.
LE CAPITAINE FIERABRAS.	LE CAPITAINE FIERABRAS.
2 LA MEDIE DESTROVERDEO	2 LA MEDIE DESTROUERDE
ACTE PREMIER.	ACTE PREMIER.
ENE PREMIERE.	ENE PREMIÈRE.
LIDIAS, ALAIGRE, LES ASSISTANS, PHILIPPIN, FLORINDE, ſortent de nuit.	LIDIAS, ALAIGRE, LES ASSISTANS, PHILIPPIN, FLORINDE, sortent de nuit.
Lidias.	Lidias.
Ant va la cruche à l’eau qu’en fin elle ſe briſe, d’autres ont batu les buiſſons nous aurons les oyſeaux, c’eſt à ce coup qu’ils ſont pris s’ils ne s’envollent, car la nuit qui eſt noire comme je ne ſçay quoy, nous aidera mieux à trouver la pie au nid.	Ant va la cruche à l'eau qu'en fin elle se brise, d'autres ont battu les buissons nous aurons les oiseaux, c'est à ce coup qu'ils sont ne s'ils ne s'envollent, car la nuit qui est noire comme je ne sais quoi, nous aidera mieux à trouver la pie au nid.
Alaigre.	Alaigre.
Il eût mieux valu venir entre chien & loup, il fait noir comme dans un four, à pei ne puisje mettre un pied devant l’autre, mais à propos de botte, nous ne ſommes pas loin de la maiſon de Florinde qui nous guette à cette heure comme le chat fait la ſouris.	Il eût mieux valu venir entre chien et loup, il fait noir comme dans un four, à pey ne puisje mettre un pied devant l'autre, mais à propos de botte, nous ne sommes pas loin de la maison de Florinde qui nous guette à cette heure comme le chat fait la souris.
Lidias.	Lidias.
Lidias met ſes gens en ordre au coin de la ruë.	Lidias met ses gens en ordre au coin de la rue.
Sus compagnons prenons l’occaſion aux cheveux, vôtre nez icy, vôtre nez là, & en cas de reſiſtance mettez la main à la ſerpe & fiapez comme des ſours, la mere de Florinde dort à cette heure comme un ſabot.	Sus compagnons prenons l'occasion aux cheveux, votre nez ici, votre nez là, et en cas de résistance mettez la main à la serpe et fiapez comme des sours, la mère de Florinde dort à cette heure comme un sabot.
Les Aſſiſtans.	Les Assistants.
Ca, ça cela s’en va ſans le dire.	Ça, ça cela s'en va sans le dire.
Lidias frape à la porte.	Lidias frappe à la porte.
Ouvrez l’huis ma mie de part Dieu, de par nôtre Dame ſi vous voulez être nôtre femme.	Ouvrez l'huis ma mie de part Out, de par notre Dame si vous voulez être notre femme.
Philippin regarde à la fenêtre Qui va la, j’ay peur.	Philippin regarde à la fenêtre Qui va la, j'ai peur.
Lidias Non eſt je ne vous connoy non plus que l’enfant qui eſt à naître.	Lidias Non est je ne vous connais non plus que l'enfant qui est à naître.
Les Aſſiſtans.	Les Assistants.
la fille de la maiſon.	la fille de la maison.
Philippin Dieu vous ſoit en aide, nôtre pain eſt tẽdre.	Philippin Dieu vous soit en aide, notre pain est tendre.
Alaigre.	Alaigre.
Diable ſoit le gros ſoufleur de boudin, tant de diſcours ne ſont pas les meilleurs, ſus compagnons forcons la baricade.	Diable soit le gros souleur de boudin, tant de discours ne sont pas les meilleurs, sus compagnons forçons la baricade.
SCENE II.	SCÈNE II.
Philippin, Alaigre, Lidias, Florinde, les aſſiſtans Amuorppuus purt au togis, & Lhaius yentre pour prendre Florinde.	Philippin, Alaigre, Lidias, Florinde, les assistants Amuorpuus purt au togis, et Lhaius yentre pour prendre Florinde.
Lidias ſort qui emporte Florinde.	Lidias sort qui emporte Florinde.
Philippin.	Philippin.
Ux volleurs, aux volleurs, on nous Y Ctient comme dans un blé, attendez attendez ruſtres coureurs de nuit, je m’en vais vous tailler de la beſongne, ça ça, à tout perdie n'n y a qu’un coup periſleux, aux volleurs, aux volleurs on emmaine ma maîtreſſe roide comme la barre d’un huis.	Oùx volleurs, aux volleurs, on nous Y Ctient comme dans un bleurs, attendez attendez rustres coureurs de nuit, je m'en vais vous tailler de la besongne, ça ça, à tout perdie n'n y a qu'un coup perisfleu, aux volleurs, aux volleurs on emmène ma maîtresse roide comme la barre d'un huis.
Alaigre.	Alaigre.
Il faut mourir mon petit cochon, il n’y a plus dorge.	Il faut mourir mon petit cochon, il n'y a plus dorge.
Lalappare Prenez garde:	Lalappare Prenez garde:
qui frapera du coûteau moura de la guéne, au meurtre, au ſecour, on m’aſſaſſine comme dans un bois.	qui frappera du coûteau moura de la guère, au meurtre, au secour, on m'assassine comme dans un bois.
Alaigre.	Alaigre.
Tu reſſemble à l’anguile de Melun, tu crie devant qu’on t’écorche.	Tu ressemble à l'anguile de Melun, tu crie devant qu'on t'écorche.
Philippin.	Philippin.
Ah, je ſuis bleſſé les boyaux s’avallent j’en n’auray.	Ah, je suis blessé les boyaux s'avalent j'en n'aurai.
Alaigre.	Alaigre.
Tu n’es pas ladre tu ſens bien quand on te pique.	Tu n'es pas ladre tu sens bien quand on te pique.
Florinde.	Florinde.
Aux voleurs, à l’aide ſecourez-moy, on m’enleve comme un corps ſaint.	Aux voleurs, à l'aide secourez-moi, on m'enlève comme un corps saint.
Lidias.	Lidias.
Tenez mes amis, voila ce que les rats n’ont pas mange attendez-moy à la porte de la ville, mais non pas comme les moines font IAbbe.	Tenez mes amis, voilà ce que les rats n'ont pas mange attendez-moi à la porte de la ville, mais non pas comme les moines font IBe.
Les Aſſiſtans.	Les Assistants.
Cela vaut fait.	Cela vaut fait.
Se ſeroit dommage qu’il mourût un vendredy, il yauroit bien des tripes perdues.	Se serait dommage qu'il mourût un vendredi, il yaurait bien des tripes perdues.
Alaigre.	Alaigre.
Monſieur nous mangerons du boudin, vonte la guine dete dhas.	Monsieur nous mangerons du boudin, vonte la guine dete dhas.
Emias,	Emias,
Alaigre.	Alaigre.
Mais encore en faut-il faire quelque choſe ou rien.	Mais encore en faut-il faire quelque chose ou rien.
Lidias.	Lidias.
Fais en des choux ou des pâtez, & ne les nurue mon plue que de miuumomonnoye.	Fais en des choux ou des pâtez, et ne les nurve mon plue que de mivumomonnoie.
Alaigre.	Alaigre.
Ca ça, je m’en vais le mener par un chemin où il n’y a point de pierre.	Ca ça, je m'en vais le mener par un chemin où il n'y a point de pierre.
Alaigre tombe.	Alaigre tombe.
Il y a un vieilleux enterré là deſſous, il a fait dancer un lourdaut, releve toy bon homme & fuyons vîte comme le vent, il vaut mieux une bonne fuite qu’une mauvaiſe attente, mais de quel côté tourne tu ta jaquette, tu reſemoie aurceonlers tu prens le plus long, tu es étourdi comme un aneton, mais chaut motus, la cane pont.	Il y a un vieilleux enterré là -dessous, il a fait dancer un lourdaut, relève toi bon homme et fuyons vite comme le vent, il vaut mieux une bonne fuite qu'une mauvaise attente, mais de quel côté tourne tu ta jaquette, tu résémoie aurceonlers tu prends le plus long, tu es étourdi comme un aneton, mais chaut motus, la cane pont.
Les Voiſins regardent à la ruë.	Les Voisins regardent à la rue.
Alaigre.	Alaigre.
Ho ho, il eſt demain fête, les marmouſers ſont aux fenêtres.	Ho ho, il est demain fête, les marmousers sont aux fenêtres.
Prenons garde à nôtre vaiſſelle il n’y a ſi petit buiſſon qui ne porte ombre.	Prenons garde à notre vaisselle il n'y a si petit buisson qui ne porte ombre.
JEENCE TII.	JENCE -TII.
Bertrand, Marin & Clabault,	Bertrand, Marin et Clabault,
Bertrand.	Bertrand.
Ux voleurs aux voleurs, on enleve la L Afille du Docteur comme un treſor, je ne ſçay ſi elle ſe mocque ou ſi c’eſt tout de bon, mais elle crie comme un aveugle qui a perdu ſon bâton, helas!	Oùx voleurs aux voleurs, on enlève la Afille du Docteur comme un trésor, je ne sais si elle se moque ou si c'est tout de bon, mais elle crie comme un aveugle qui a perdu son bâton, hélas!
mon voiſin, plus l’on va en avant & pis c’eſt, il y a d’auſſi méchantes gens dans ce monde qu’en lieu ou on puiſſe allet, on dit bien vray qu’une fille eſt de mauvaiſe garde, & à un bon jour, bonne œuvre, aux bonnes fêtes ſe font les bons coups.	mon voisin, plus l'on va en avant et pis c'est, il y a d'aussi méchantes gens dans ce monde qu'en lieu ou on puisse allet, on dit bien vrai qu'une fille est de mauvaise garde, et à un bon jour, bonne œuvre, aux bonnes font se font les bons coups.
Marin.	Marin.
Helas Jean mon amy, ſaimon, car fille qui écoûte, & ville qui parlemente eſt à demi renduë, helas, ils enlevent Philippin comme un corps mort, garcons:	Hélas Jean mon ami, saimon, car fille qui écoute, et ville qui parlemente est à demi rendue, hélas, ils enlèvent Philippin comme un corps mort, garçons:
aux voleurs, aux voleurs courez deſſus & frapez comme tous les diables, quoy, je reſſemble à Mr.	aux voleurs, aux voleurs courez dessus et frappez comme tous les diables, quoi, je ressemble à Mr.
de Boüillon, quand je commande perſonne ne bouge.	de Boüillon, quand je commande personne ne bouge.
Bertrand, Et eux fins les gros butors, il y fait chaut, ils ſont armez comme des Jacquemarts & montez comme des Saints Georges, il vaut mieux faire comme on fait à Paris, laiſſer pleuvoir, je n’ay garde de m’y aller faire froter.	Bertrand, Et eux fins les gros butors, il y fait chaut, ils sont armés comme des Jacquemarts et montez comme des Saints Georges, il vaut mieux faire comme on fait à Paris, laisser pleuvoir, je n'ai garde de m'y aller faire frotter.
Clabault.	Clabault.
Allez vous froter le nez au cul de ces gens la, que ſçait-on qui les pouſſe.	Allez -vous frotter le nez au cul de ces gens la, que sait-on qui les pousse.
dertrana.	dertrana.
Tu te feras plûtôt bailler un coup de cuiller à la cuiſine qu’un coup d’épée à la guerre.	Tu te feras plutôt bailler un coup de cuiller à la cuisine qu'un coup d'épée à la guerre.
Marin.	Marin.
Nous nous debatons de la chape à l’Evêque, ils ont fait déja haut le corps jaquette de gris ils võt du pied comme des chats maigres, & comme s’ils avoient le feu au cul, à la preſſe vont les fous, fils de putain qui ira.	Nous nous débattons de la chape à l'Evêque, ils ont fait déjà haut le corps jaquette de gris ils vont du pied comme des chats maigres, et comme s'ils avaient le feu au cul, à la presse vont les fous, fils de putain qui ira.
Bertrand.	Bertrand.
Il eſt vray qu’il vaut mieux être foux qu’en mauvaiſe compagnie, pour trop grater il en cuit aux ongles, qui garde ſa femme & ſa maiſon a aſſez d’affaires, mais cependant on s’étrangle, il eſt tard Iacquet, retirons nous tretous enſemble chacun chez ſoy, bon jour bon ſoir c’eſt pour deux lois r'orrerie demain des cotrets à Paris.	Il est vrai qu'il vaut mieux être foux qu'en mauvaise compagnie, pour trop grater il en cuit aux ongles, qui garde sa femme et sa maison a assez d'affaires, mais cependant on s'étrangle, il est tard Jacquet, retirons nous tretous ensemble chacun chez soi, bon jour bon soir c'est pour deux lois rorrerie demain des cals à Paris.
SCENE IV.	SCÈNE IV.
Theſaurus, Alizon, Macée & Bertrand Theſaurus.	Thesaurus, Alison, Macée et Bertrand Thesaurus.
DRo ſanitate corporis.	DRo sanitate corporis.
Il n’eſt que l’air des A champs.	Il n'est que l'air des A champs.
O quam ponum eſt, quam jucundum.	Ô quam ponum est, quam jucundum.
Ho qu’il eſt agréable.	Ho qu'il est agréable.
Atijon.	Atijon.
Voila bien debut perr m prmrar, dites plûtot pour la ſanté du corps, la chaleur des pieds, & à dire vray, un fol enſeigne bien un ſage.	Voilà bien début perr m prmrar, dites plutôt pour la santé du corps, la chaleur des pieds, et à dire vrai, un fol enseigne bien un sage.
Theſaurus.	Thesaurus.
C eit vouloir enſeigner minerve, non ſans raiſon;	Ç Cit vouloir enseigner minerve, non sans raison;
l’on dit que parler à des ignorans c’eſt ſemer des marguerites devãt les pourceaux,	l'on dit que parler à des ignorants c'est semer des marguerites devant les pourceaux,
vual au eu un uiidar iſacelcluales Iterumque dico animal & per omnes caſus animal.	val au eu un uiidar isacelcluales Iterumque dico animal et per omnes cas animal.
Pour du latin je n’y entens rien, mais pour du grets je vous en calle.	Pour du latin je n'y entends rien, mais pour du grets je vous en calle.
Pecora campi.	Pécora campi.
AliZon.	Alizon.
Voila du latin de cuiſine, il n’y a que les marmittons qui l’entendent.	Voilà du latin de cuisine, il n'y a que les marmittons qui l'entendent.
Theſaurus.	Thesaurus.
Ie t’ay prêché ſept ans pour un Carême, mais cela t’a paſſé en oreille d’âne.	Je t'ai prêché sept ans pour un Carême, mais cela t'a passé en oreille d'âne.
Aliſon.	Alison.
Parlez françois à bon entendeur ne faut qu’une chartée de paroles:	Parlez français à bon entendeur ne faut qu'une chartée de paroles:
mais mon maître je m’aviſe en mangeant ma ſoupe de la chanſon qui dit, Clopin tu n’y ſçaurois aller.	mais mon maître je m'avise en mangeant ma soupe de la chanson qui dit, Clopin tu n'y sçaurois aller.
Theſaurus.	Thesaurus.
La pelle ſe mocque du fourgon, mais à propos de clopiner, par Ciceron c’eſt une fâcheuſe monture que la haquenée des Cordeliers, il m’eſt avis que j’ay aporté le cloché de S.	La pelle se moque du fourgon, mais à propos de clopiner, par Cigéron c'est une fâcheuse monture que la haquenée des Cordeliers, il m'est avis que j'ai aporté le cloché de S.
Denis ſur mes épaules tant je ſuis laſſé & recru:	Denis sur mes épaules tant je suis lassé et recru:
ſi j’y retourne de la façon que l’on m’y foüette.	si j'y retourne de la façon que l'on m'y fête.
Alizon.	Alison.
Vrayement ſaimon, voila bien dequoy, il a fait en quinze jours quatorze lieuës:	Vraiment saimon, voilà bien dequoy, il a fait en quinze jours quatorze lieues:
la pauvre bête qu’elle eſt laſſée, elle vient desDenis:	la pauvre bête qu'elle est lassée, elle vient desDénis:
c’eſt bien employé, vous étes riche comme un Juif, & ſi vous ſoupez dés le matin de peur de piſſer au lit, vous étes plus avare qu’un uſurier, on tireroit plûtôt de l’huile d’un mur que de l’argent de vôtre bource quand on vous en demãde il ſemble que l’on vous arrache le cœur du ventre, il ne tient pas à vous que nous ne faſſions petites crotes.	c'est bien employé, vous êtes riche comme un Juif, et si vous soupez dès le matin de peur de pisser au lit, vous êtes plus avare qu'un usurier, on tirerait plutôt de l'huile d'un mur que de l'argent de votre bource quand on vous en demide il semble que l'on vous arrache le cœur du ventre, il ne tient pas à vous que nous ne fassions petites crotes.
On ne ſçait ce que vous étes:	On ne sais ce que vous êtes:
les uns diſent que vous étes Grec, les autres Latin, pour moy je dis que vous n’étes ny Grec n Latin, mais vous étes un peu Arabe.	les uns disent que vous êtes Grec, les autres Latin, pour moi je dis que vous n'êtes été Grec n Latin, mais vous êtes un peu Arabe.
Theſaurus.	Thesaurus.
La la Alizon ſelon la jambe le bras, ſelon le bras la ſaignee, qui bien gague ce bien dé penſe	La la Alison selon la jambe le bras, selon le bras la saigne, qui bien gague ce bien dé pense
