RVEI TRAGEDIE Par P.	RVEI TRAGÉDIE Par P.
Le recevoir chez vous c’eſt recevoir un maiſtre, Qui tout vaincu qu’il eſt bravant le nom de Roy Dans vos propres Etats vous donneroit la loy.	Le recevoir chez vous c'est recevoir un maître, Qui tout vaincu qu'il est bravant le nom de Roi Dans vos propres Et vous donnerait la loi.
Fermez-luy donc vos Ports, mais épargnez ſa teſte.	Fermez-lui donc vos Ports, mais épargnez sa tête.
S’il le faut toutefois ma main eſt toute preſte, J’obéis avec joye, & je ſerois jaloux Qu’autre bras que le mien portaſt les prémiers coups.	S'il le faut toutefois ma main est toute prête, J'obéis avec joie, et je serais jaloux Qu'autre bras que le mien portât les prémiers coups.
EPTIME Seigneur, je ſuis Romain, je connoy l’un & l’autre.	EPTIME Seigneur, je suis Romain, je connais l'un et l'autre.
Pompée a beſoin d’aide, il vient chercher la voſtre, Vous pouvez, comme maiſtre abſolu de ſon ſort, Le ſervir, le chaſſer, le livrer vif, ou mort.	Pompée a besoin d'aide, il vient chercher la vôtre, Vous pouvez, comme maître absolu de son sort, Le servir, le chasser, le livrer vif, ou mort.
Des quatre le prémier vous ſeroit trop funeſte, Souffrez donc qu’en deux mots j’éxamine le reſte.	Des quatre le prémier vous serait trop funeste, Souffrez donc qu'en deux mots j'éxamine le reste.
Le chaſſer, c’eſt vous faire un puiſſant ennemy, Sans obliger par là le vainqueur qu’à demy, Puisque c’eſt luy laiſſer & ſur Mer ſur Terre, La ſuite d’une longue & difficile guerre, Dont peut-eſtre tous deux également laſſez Se vengeroient ſur vous de tous les malx paſſez.	Le chasser, c'est vous faire un puissant ennemi, Sans obliger par là le vainqueur qu'à demi, Puisque c'est ainsi laisser et sur Mer sur Terre, La suite d'une longue et difficile guerre, Dont peut-être tous deux également lassez Se vengeraient sur vous de tous les malx passés.
Le livrer à Céſar n’eſt que la meſme choſe;	Le livrer à César n'est que la même chose;
Il luy pardonnera s’il faut qu’il en dispoſe, Et s’armant à regret de généroſité, D’une fauſſe clémence il fera vanité;	Il avait pardonnera s'il faut qu'il en dispose, Et s'armant à regret de générosité, D'une fausse clémence il fera vanité;
Heureux de l’aſſervir en luy donnant la vie, Et de plaire par là, meſme à Rome aſſervie, Cependant que forcé d’épargner ſon rival, Auſſi-bien que Pompée il vous voudra du mal.	Heureux de l'asservir en était donnant la vie, Et de plaire par là, même à Rome asservie, Cependant que forcé d'épargner son rival, Aussi-bien que Pompée il vous voudra du mal.
Il faut le delivrer du péril & du crime, Aſſeurer ſa puiſſance, & ſauver ſon estime.	Il faut le délivrer du péril et du crime, Assurer sa puissance, et sauver son estime.
Et du party contraire en ce grand Chef détruit Prendre ſur vous le crime, & luy laiſſer le fruit.	Et du parti contraire en ce grand Chef détruit Prendre sur vous le crime, et même laisser le fruit.
C’eſt là mon ſentiment, ce doit eſtre le voſtre, Par là vous gagnez l’un, & ne craignez plus l’autre, Mais ſuivant d’Achillas le conſeil hazardeux, Vous n’en gagnez aucun, & les perdez tous deux.	C'est là mon sentiment, ce doit être le vôtre, Par là vous gagnés l'un, et ne craignez plus l'autre, Mais suivant d'Achillas le conseil hasardeux, Vous n'en gagnez aucun, et les perdez tous deux.
PIOLO	PIOLO
PTOLOMEE.	PTOLOMEE.
N’éxaminons donc plus la justice des cauſes, Et cédons au torrent qui roule toutes choſes.	N'éxaminons donc plus la justice des causes, Et cédons au torrent qui roule toutes choses.
Je paſſe au plus de voix, & de mon ſentiment Je veux bien avoir part à ce grand changement.	Je passe au plus de voix, et de mon sentiment Je veux bien avoir part à ce grand changement.
Aſſez & trop long-temps l’arrogance de Rome A crû qu’eſtre Romain c’eſtoit eſtre plus qu’homme, Abatons ſa ſuperbe avec ſa liberté, Dans le ſang de Pompée éteignons ſa fierté, Tranchons l’unique espoir où tant d’orgueil ſe fonde;	Assez et trop longtemps l'arrogance de Rome A crus qu'être Romain c'était été plus qu'homme, Abatons sa superbe avec sa liberté, Dans le sang de Pompée éteignons sa fierté, Tranchons l'unique espoir où tant d'orgueil se fonde;
Et donnons un Tyran à ces Tyrans du Monde, Secondons le Destin qui les veut mettre aux fers, Et prétons-luy la main pour venger l’Univers.	Et donnons un Tyran à ces Tyrans du Monde, Secondons le Destin qui les veut mettre aux fers, Et prétons-lui la main pour venger l'Univers.
Rome, tu ſerviras, & ces Rois que tu braves, Et que ton inſolence oſe traiter d’esclaves, Adoreront Céſar avec moins de douleur, Puisqu’il ſera ton maiſtre auſſi-bien que le leur, Allez donc, Achillas, allez avec Septime Nous immortaliſer par cét illustre crime;	Rome, tu serviras, et ces Rois que tu braves, Et que ton insolence ose traiter d'esclaves, Adoreront César avec moins de douleur, Puisqu'il sera ton maître aussi-bien que le leur, Allez donc, Achillas, allez avec Septime Nous immortaliser par cet illustre crime;
Quir paaubau bier, ou non, laiſſez-m'en le ſoucy, Je croy qu’il veut ſa mort puisqu’il l’améne icy.	Quir paubau bier, ou non, laissez-m'en le souci, Je crois qu'il veut sa mort puisqu'il l'amène ici.
ACHILLAS.	ACHILAS.
Seigneur, je croy tout juste alors qu’un Roy l’ordonne.	Seigneur, je crois tout juste alors qu'un Roi l'ordonne.
PTOLOMEE.	PTOLOMEE.
Allez, & llaitez-vous d’aneurer ma couronne, Et vous reſſouvenez que je mets en vos mains Le destin de l’Egypte, & celuy des Romains.	Allez, et laitez-vous d'aneurer ma couronne, Et vous ressouvenez que je mets en vos mains Le destin de l'Égypte, et celui des Romains.
SCENE II.	SCÈNE II.
PTOLOMEE, PHOTIN.	PTOLOME, PHOTIN.
PTOLOMEE.	PTOLOMEE.
Hotin, ou je me trompe, ou ma ſœur eſt déceuë, I De l’abord de Pompée elle espére autre iſſuë;	Hotin, ou je me trompe, ou ma sœur est déçue, I De l'abord de Pompée elle espére autre issue;
Sçachant que de mon pére il a le teſtament, Elle ne doute point de ſon couronnement, 10 Elle ſe croit déja ſouveraine maîtreſſe D’un ſcéptre partagé que ſa bonté luy laiſſe, Et ſe promettant tout de leur vieille amitié De mon troſne en ſon ame elle prend la moitié, Ou de ſon vain orgueil les cendres rallumées Pouſſent déja dans l’Air de nouvelles fumées.	Sachant que de mon père il a le testament, Elle ne doute point de son couronnement, 10 Elle se croit déjà souveraine maîtresse D'un scéptre partagé que sa bonté avoir laisse, Et se promettant tout de leur vieille amitié De mon trône en son âme elle prend la moitié, Ou de son vain orgueil les cendres rallumées Poussent déjà dans l'Air déjà dans fumées.
11 PHOTIN.	11 PHOTIN.
Seigneur, c’eſt un motif que je ne diſois pas Qui devoit de Pompée avancer le trépas.	Seigneur, c'est un motif que je ne disais pas Qui devait de Pompée avancer le trépas.
Sans doute il jugeroit de la ſœur & du frére Suivant le teſtament du feu Roy voſtre pére, Son hoſte & ſon amy, qui l’en daigna ſaiſir, Jugez après cela de voſtre déplaiſir.	Sans doute il jugerait de la sœur et du frère Suivant le testament du feu Roi vôtre pére, Son hôte et son ami, qui l'en daigna saisir, Jugez après cela de votre déplaisir.
Ce n’eſt pas que je veuille en vous parlant contre elle Rompre les ſacrez nœuds d’une amour fraternelle, Du Troſne & non du cœur je la veux éloigner, Car c’eſt ne régner pas qu’eſtre deux à régner.	Ce n'est pas que je veuille en vous parlant contre elle Rompre les sacrés nœuds d'une amour fraternelle, Du Trône et non du cœur je la veux éloigner, Car c'est ne régner pas qu'être deux à régner.
Un Roy qui s’y réſout eſt mauvais Politique, I détruit ſon pouvoit quaſld lle comffiuriede, Et les raiſons d’Etat.	Un Roi qui s'y résout est mauvais Politique, I détruit son pouvait quaslèd lèle comffiuriede, Et les raisons d'État.
Mais, Seigneur, la voicy.	Mais, Seigneur, la voici.
SCENE III.	SCÈNE III.
PTOLOMEE, CLEOPATRE, PHOTIN.	PTOLOME, CLÉPATRE, PHOTIN.
PIOLOMEE.	PIOLOMEE.
l’attens dans mon Palais ce guerrier magnanime, Et luy viens d’envoyer Achillas & Septime.	l'attends dans mon Palais ce guerrier magnanime, Et tu viens d'envoyer Achillas et Septime.
CLEOPATRE.	CLÉPATRE.
Quoy!	Quoi!
Septime à Pompée!	Septime à Pompée!
à Pompée Achillas!	à Pompée Achillas!
PTOLOMEE.	PTOLOMEE.
Si ce n’eſt aſſez d’eux, allez, ſuivez leurs pas.	Si ce n'est assez d'eux, allez, suivez leurs pas.
CLEOPATRE.	CLÉPATRE.
Donc pour le recevoir c’eſt trop que de vous-meſme?	Donc pour le recevoir c'est trop que de vous-même?
PTOLOMEE.	PTOLOMEE.
Ma ſœur, je doy garder I' nomneur du Dlaocme.	Ma sœur, je dois garder J' nomneur du Dlocme.
CLEOPATRE.	CLÉPATRE.
Si vous en portez un, ne vous en ſouvenez Que pour baiſer la main de qui vous le tenez, Que pour omtunle nommago uun piuuu d’un ſi grand homme.	Si vous en portez un, ne vous en souvenez Que pour baiser la main de qui vous le tenez, Que pour omptunle nommago uun piuuu d'un si grand homme.
TTOLOMEH.	TTOLOMEH.
Au ſortir de Pharſale eſt-ce ainſi qu’on le nomme?	Au sortir de Pharsale est-ce ainsi qu'on le nomme?
CLEOPATRE.	CLÉPATRE.
Fuſt-il dans ſon malhenr de tous abandonné, Il eſt toûjours Pompée, & vous a couronné.	Fût-il dans son malhenr de tous abandonné, Il est toujours Pompée, et vous a couronné.
PTOLOMEE.	PTOLOMEE.
Il n’en eſt plus que l’ombre, & couronna mon pére, Dont l’Ombre, & ſon pas ſoy, luy doit ce qu’il Il peut aller, s’il veut, deſſus ſon monument (espére.	Il n'en est plus que l'ombre, et couronna mon père, Dont l'Ombre, et son pas soi, lui doit ce qu'il Il peut aller, s'il veut, dessus son monument (espère.
Recevoir ſes devoirs & ſon remerciment.	Recevoir ses devoirs et son remerciment.
CLEOPATRE.	CLÉPATRE.
Après un tel bien-fait, c’eſt ainſi qu’on le traite!	Après un tel bienfait, c'est ainsi qu'on le traite!
ETOBO MEH Je m’en ſouviens, ma ſœur, & je voy ſa défaite.	ETOBO MEH Je m'en souviens, ma sœur, et je vois sa défaite.
CLEOPATRE.	CLÉPATRE.
Vous la voyez de vray, mais d’un œil de mépris.	Vous la voyez de vrai, mais d'un œil de mépris.
PYOLOMEE.	PYOLOMEE.
Le temps de chaque choſe ordonne & fait le prix.	Le temps de chaque chose ordonne et fait le prix.
Vous qui l’estimez tant, allez luy rendre hommage, Mais ſongez qu’au Port meſme il peut faire naufrage.	Vous qui l'estimez tant, allez Rome rendre hommage, Mais songez qu'au Port yenne il peut faire naufrage.
CLEOPATRE.	CLÉPATRE.
Il peut lane naurfage, & melme dans le Port!	Il peut lane naurfage, et melme dans le Port!
Quoy?	Quoi?
vous auriez oſé luy préparer la mort?	vous auriez osé croire préparer la mort?
PTOLOMEE.	PTOLOMEE.
J’ay fait ce que les Dieux m’ont inspiré de faire, Et que pour mon Etat j’ay jugé néceſſaire.	J'ai fait ce que les Dieux m'ont inspiré de faire, Et que pour mon Etat j'ai jugé nécessaire.
CLEOPATRE.	CLÉPATRE.
Je ne le voy que trop, Photin & ſes pareils Vous ont empoiſonné de leurs laſches conſeils;	Je ne le vois que trop, Photin et ses pareils Vous ont empoisonné de leurs lâches conseils;
Ces ames que le Ciel ne forma que de bouë.	Ces âmes que le Ciel ne forma que de boue.
PHOTIN.	PHOTIN.
Ce ſont de nos comens, ouy, Madame, & j’avouë.	Ce sont de nos comens, oui, Madame, et j'avoue.
CLEOPATRE.	CLÉPATRE.
Photin, je parle au Roy, vous répondrez pour tous, Quand je m’abaiſſeray jusqu’à parler à vous.	Photin, je parle au Roi, vous répondrez pour tous, Quand je m'abaisserai jusqu'à parler à vous.
PTOLOMEE à Photin.	PTOLOMEE à Photin.
Il faut un peu ſouffrir de cette humeur hautaine, je igay voitre Mocence & je comioy la naine;	Il faut un peu souffrir de cette humeur hautaine, je iga itre Mocence et je comioi la naine;
