A M.	À M.
Il reuenoit de la conqueſte glorieuſe de la teſte de Meduſe qu’il portoit ſous ſon bouclier, & voloit au milieu de l’air, au moyen des aiſles qu’il auoit attachées aux deux pieds, de la façon qu’on nous peint Mercure.	Il revenait de la conquête glorieuse de la tête de Méduse qu'il portait sous son bouclier, et volait au milieu de l'air, au moyen des ailes qu'il avait attachées aux deux pieds, de la façon qu'on nous peint Mercure.
Ce fut d’elle-meſme qu’il apprit la cauſe de ſa diſgrace, & l’amour que ſes prémiers regards luy donnerent, luy fit en meſme temps former le deſſein de combatre ce Monſtre, pour conſeruer des iours qui luy eſtoient deuenus ſi precieux.	Ce fut d'elle-même qu'il apprit la cause de sa disgrâce, et l'amour que ses prémiers regards trouver donnèrent, lui fit en même temps former le dessein de combattre ce Monstre, pour conserver des jours qui lui étaient devenus si précieux.
Auant que d’entrer au combat il eut loiſir de tirer parole de ſes parents que les fruits en ſeroient pour luy, & receut les effets de cette promeſſe, ſi toſt qu’il euſt tué le Monſtre.	Avant que d'entrer au combat il eut loisir de tirer parole de ses parents que les fruits en seraient pour lui, et reçut les effets de cette promesse, si tôt qu'il eût tué le Monstre.
Le Roy & la Reyne donnerent auec grande joye leur fille à ſon liberateur, mais la magnificence des nopces fut troublée par la violence que voulut faire Phinée frere du Roy & oncle de la Princeſſe, à qui elle auoit eſté promiſe auant ſon malheur.	Le Roi et la Reine donnèrent avec grande joie leur fille à son libérateur, mais la magnificence des noces fut troublée par la violence que voulut faire Phinée frère du Roi et oncle de la Princesse, à qui elle avait été promise avant son malheur.
Il ſe ietta dans le Palais Royal auec vne troupe de gens armez:	Il se jeta dans le Palais Royal sous une troupe de gens armés:
& Perſée s’en defendit quelque temps ſans autre ſecours que celuy de ſa valeur & de quelques amis genereux:	et Persée s'en défendit quelque temps sans autre secours que celui de sa valeur et de quelques amis généreux:
mais ſe voyant prés de ſuccomber ſous le nombre, il ſe ſeruit enfin de cette teſte de Meduſe, qu’il tira de ſous ſon bouclier, & l’expoſant aux yeux de Phinée & des aſſaſſins qui le ſuiuoient, cette fatale veuë les conuertit en autant de ſtatuës de pierre, qui ſeruirent d’ornement au meſme Palais qu’ils vouloient teindre du ſang de ce Heros.	mais se voyant près de succomber sous le nombre, il se servit enfin de cette tête de Méduse, qu'il tira de sous son bouclier, et l'exposant aux yeux de Phinée et des assassins qui le suivaient, cette fatale vue les convertit en autant de statues de pierre, qui servirent d'ornement au même Palais qu'ils voulaient teindre du sang de ce Héros.
Voilà comme Ouide raconte cette Fable, où i’ay changé beaucoup de choles tailt par la liberté de l’Art, que par la neceſſité des ordres du Theatre, & pour luy donner plus d’agréement.	Voilà comme Ouide raconte cette Fable, où j'ai changé beaucoup de choles tailt par la liberté de l'Art, que par la nécessité des ordres du Théâtre, et pour lui donner plus d'agrément.
En premier lieu i’ay creu plus à propos de faire Caſſiope vaine de la beauté de ſa fille, que de la ſienne propre, d’autant qu’il eſt fort extraordinaire qu’vne femme dont la fille eſt en âge d’eſtre mariée, ait encore d’aſſez beaux reſtes pour s’en vanter ſi hautement, & qu’il n’eſt pas vray-ſemblable que cet orgueil de Caſſiope pour elle-meſme euſt attendu ſi tard à eſclater, veu que c’eſt dans la ieuneſſe que la beauté eſtant plus parfaite & le iugement moins formé, donnent prus de lieu à des vanitez de cette nature, & non pas alors que cette meſme beauté commence d’eſtre ſur le retour, & que l’âge a meury l’eſprit de la perſonne qui s’en ſeroit enorgueillie en vn autre temps.	En premier lieu j'ai cru plus à propos de faire Cassiope vaine de la beauté de sa fille, que de la sienne propre, d'autant qu'il est fort extraordinaire qu'une femme dont la fille est en âge d'être mariée, ait encore d'assez beaux restes pour s'en vanter si hautement, et qu'il n'est pas vrai-semblable que cet orgueil de Cassiope pour elle-même eût attendu si tard à éclater, vu que c'est dans la jeunesse que la beauté étant plus parfaite et le jugement moins formé, donnent prus de lieu des vanité de cette nature, et non pas alors que cette même nat commence être ur le retour, et que âge a meury esprit de la personne qui en seroit enorgueillie en autre temps.
En ſuite i’ay ſuppoſé que l’Oracle d’Ammon n’auoit pas condamné preciſément Andromede a eitre deuorce par le Momtre;	En suite j'ai supposé que l'Oracle d'Amon n'avait pas condamné précisément Andromède a eitre dévorce par le Maître;
mais qu’il auoit ordonné ſeulement qu’on luy expoſaſt tous les mois vne fille, qu’on tiraſt au ſort pour voir celle qui luy deuoit eſtre liurée, & que cet ordre ayant deſia eſté executé cinq fois, on eſtoit au iour qu’il le falloit ſuiure pour la ſixieſme.	mais qu'il avait ordonné seulement qu'on lui exposât tous les mois une fille, qu'on tirât au sort pour voir celle qui lui avait être livrée, et que cet ordre ayant déjà été exécuté cinq fois, on était au jour qu'il le fallait suivre pour la sixième.
I’ay introduit Perſée comme vn Cheualier errant qui s’eſt arreſté depuis vn mois dans la Cour de Cephée, & non pas comme ſe rencontrant par hazard dans le temps qu’Andromede eſt attachée au rocher.	J'ai introduit Persée comme un Chevalier errant qui s'est arrêté depuis un mois dans la Cour de Cephée, et non pas comme se rencontrant par hasard dans le temps qu'Andromède est attachée au rocher.
Ie luy ay donné de l’amour pour elle, qu’il n’oſe deſcouurir, parce qu’il la voit promiſe à Phinée;	Je lui ai donné de l'amour pour elle, qu'il n'ose découvrir, parce qu'il la voit promise à Phinée;
mais qu’il nourrit toutefois d’vn peu d’eſpoir, parce qu’il voit ſon mariage differé iuſques à la fin des malheurs publics.	mais qu'il nourrit toutefois d'un peu d'espoir, parce qu'il voit son mariage différé jusques à la fin des malheurs publics.
Ie l’ay fait plus genereux qu’il n’eſt dans Ouide, où il n’entreprend la deliurance de cette Princeſſe, qu’apres que ſes parens l’ont aſſeuré qu’elle l’eſpouſeroit, ſi-toſt qu’il l’auroit deliurée.	Je l'ai fait plus généreux qu'il n'est dans Ouide, où il n'entreprend la délivrance de cette Princesse, qu'après que ses parents l'ont assuré qu'elle l'épouserait, sitôt qu'il l'aurait délivrée.
I’ay changé auſſi la qualité de Phinée, que i’ay fait ſeulement nepueu du Roy dont Ouide le nomme frere :	J'ai changé aussi la qualité de Phinée, que j'ai fait seulement nepueu du Roi dont Ouide le nomme frère :
le mariage de deux couſins me ſemblant plus ſupportubié dans nos façons de viure, que ceſuy de I’oncle & de la niepce, qui euſt pû ſembler vn peu plus eſtrange à mes auditeurs.	le mariage de deux cousins me semblant plus suportubié dans nos façons de vivre, que cesui de J'oncle et de la nièce, qui eût pu sembler un peu plus étrange à mes auditeurs.
Les Peintres qui cherchent à faire paroiſtreleur Art dans les nuditez, ne manquent iamais à nous repreſenter Andromede nuë au pied du rocher où elle eſt attachée, quoy qu’Ouide n’en parle point.	Les Peintres qui cherchent à faire paroistreleur Art dans les nudité, ne manquent jamais à nous représenter Andromède nue au pied du rocher où elle est attachée, quoi qu’Ouide n'en parle point.
Ils me pardonneront ſi ie ne les ay pas ſuiuis en cette inuention, comme i’ay fait en celle du cheual Pegaſe, ſur lequel ils montent Perſée pour combatre le Monſtre, quoy qu’Ouide ne luy donne que des aiſles aux talons.	Ils me pardonneront si ici ne les ai pas suivis en cette invention, comme j'ai fait en celle du chal Pégase, sur lequel ils montent Persée pour combattre le Monstre, quoi qu’Ouide ne le donne que des ailes aux talons.
Ce changement donne lieu à vne machine toute extraordinaire & merueilleuſe, & empeſche que Perſée ne ſoit pris pour Mercure:	Ce changement donne lieu à une machine toute extraordinaire et merveilleuse, et empêche que Persée ne soit pris pour Mercure:
outre qu’ils ne le mettent pas en cet équippage ſans fondement, veu que le memne Ouide laconte, que ſitoſt que Perſée euſt coupé la monſtrueuſe teſte de Meduſe, Pegaſe tout aiſlé ſortit de cette Gorgone, & que Perſée s’en pût ſaiſir deſlors pour faire ſes courſes par le milieu de l’air.	outre qu'ils ne le mettent pas en cet équipage sans fondement, vu que le mémène Ouide laconte, que sitôt que Persée eût coupé la monstrueuse tête de Méduse, Pégase tout aislé sortit de cette Gorgone, et que Persée s'en put saisir délors pour faire ses courses par le milieu de l'air.
No3 Gioues cereites du ron marque pour conſtellations Cephée, Caſſiope, Perſée & Andromede, m’ont donné iour à les faire enleuer tous quatre au Ciel ſur la fin de la piece pour y faire les nopces de ces Amants, comme ſi la Terre n’en eſtoit pas digne.	No3 Gioues cérites du ron marque pour constellations Cephée, Cassiope, Persée et Andromède, m'ont donné jour à les faire enlever tous quatre au Ciel sur la fin de la pièce pour y faire les nopces de ces Amants, comme si la Terre n'en était pas digne.
Au reſte, comme Ouidé ne nomme point la ville où il fait arriver cette Auanture, ie ne me ſuis non-plus enhardy à la nommer.	Au reste, comme Ouidé ne nomme point la ville où il fait arriver cette Aventure, toujours ne me suis non-plus enhardi à la nommer.
Il dit pour toute choſe que Cephée regnoit en Ethiopie, ſans deſigner ſous quel climat.	Il dit pour toute chose que Cephée régnait en Éhiopie, sans désigner sous quel climat.
La Topographie moderne de ces contrées-là n’eſt pas fort connuë, & celle du temps de Cephée encor moins.	La Topographie moderne de ces contrées-là n'est pas fort connue, et celle du temps de Cephée encor moins.
Ie me contenteray donc de vous dire qu’il falloit que Cephée regnaſt en quelque pays maritime, que ſa ville capitale fuſt ſur le bord de la mer, & que ſes peuples fuſſent blancs quoy qu’Ethiopiens.	Je me contenterai donc de vous dire qu'il fallait que Cephée régnât en quelque pays maritime, que sa ville capitale fût sur le bord de la mer, et que ses peuples fussent blancs quoi qu'Éthicopiens.
Ce n’eſt pas que les Mores les plus noirs n’ayent leurs beautez à leur mode, mais il n’eſt pas vray-ſemblable que Perſée qui eſtoit Grec & né dans Argos, fuſt deuenu amoureux d’Andromede, ſi elle euſt eſté de leur teint.	Ce n'est pas que les Mores les plus noirs n'aient leurs beautés à leur mode, mais il n'est pas vrai-semblable que Persée qui était Grec et né dans Argos, fût devenu amoureux d'Andromède, si elle eût été de leur teint.
I’ay pour moy le conſentement de tous les Peintres, & ſur tout l’authorité du grand Heliodore qui ne fonde la blancheur de ſa divine Chariclée que ſur vn tableau d’Andromede.	J'ai pour moi le consentement de tous les Peintres, et sur tout l'autorité du grand Héliodore qui ne fonde la blancheur de sa divine Chariclée que sur un tableau d'Andromède.
Ma Scene ſera donc s’il vous plaiſt dans la ville capitalé de Cephée, proche de la mer, & pour le nom, vous le luy donnerez tel qu’il vous plaira.	Ma Scène sera donc s'il vous plaît dans la ville capitalé de Cephée, proche de la mer, et pour le nom, vous le lui donnerez tel qu'il vous plaira.
Vous trouuerez cet ordre gardé dans les changements de Theatre, que chaque Acte auſſi-bien que le Prologue a ſa decoration particuliere, & du moins vne machine volante auec vn concert de Muſique, que ie n’ay employée qu’à ſatisfaire les oreilles des ſpectateurs, tandis que leurs yeux ſont arreſtez à voir deſcendre ou remonter vne machine, ou s’attachent à quelque choſe qui leur empeſche de preſter attention à ce que pourroient dire les Acteurs, comme fait le combat de Perſée contre le Monſtre:	Vous trouverez cet ordre gardé dans les changements de Théâtre, que chaque Acte aussi-bien que le Prologue a sa décoration particulière, et du moins une machine volante était un concert de Musique, que sans n'ai employée qu'à satisfaire les oreilles des spectateurs, tandis que leurs yeux sont arrêtés à voir descendre ou remonter une machine, ou s'attachent à quelque chose qui leur empêche de prêter attention à ce que pourraient dire les Acteurs, comme fait le combat de Persée contre le Monstre:
mais ie me ſuis bien gardé de faire rien chanter qui fuſt neceſſaire à l’intelligence de la Piece, parce que communément les paroles qui ſe chantent eſtant mal entenduës des auditeurs, pour la confuſion qu’y apporte la diverſité des voix qui les prononcent enſemble, elles auroient fait vne grande obſcurité dans le corps de l’ouurage, ſi elles auoient eu à inſtruire l’Auditeur de quelque choſe d’important.	mais personne me suis bien gardé de faire rien chanter qui fût nécessaire à l'intelligence de la Pièce, parce que communément les paroles qui se chantent étant mal entendues des auditeurs, pour la confusion qu'y apporte la diversité des voix qui les prononcent ensemble, elles auraient fait une grande obscurité dans le corps de l'ouvrage, si elles avaient eu à instruire l'Auditeur de quelque chose d'important.
Il n’en va pas de meſme des machines, qui ne ſont pas dans cette Tragedie comme des agréements détachez, elles en font le nœud & le deſnoüement, & y ſont ſi neceſſaires que vous n’en ſçauriez retrancher aucune, que vous ne faciez tomber tout l’edifice.	Il n'en va pas de même des machines, qui ne sont pas dans cette Tragédie comme des agréments détachés, elles en font le nœud et le dénouement, et y sont si nécessaires que vous n'en sauriez retrancher aucune, que vous ne fassiez tomber tout l'édifice.
I’ay eſté aſſez heureux à les inuenter & à leur donner pluce dans la tiſlure de ce Poëme, mais auſſi faut-il que i’aduoüe que le ſieur Torrelli s'eſt ſurmonté luymeſme à en executer les deſſeins, & qu’il a eu des inuentions admirables pour les faire agir à propos, de ſorte que s’il m’eſt deu quelque gloire pour auoir introduit cette Venus dans le premier Acte, qui fait le nœud de cette Tragedie par l’Oracle ingenieux qu’elle prononce, il luy en eſt deu bien dauantage pour l’auoir fait venir de ſi loin & deſcendre au milieu de l’air dans cette magnifique eſtoille, auec tant d’art & de pompe, qu’elle remplit tout le monde d’eſtonnement & d’admiration.	J'ai été assez heureux à les inventer et à leur donner pluce dans la tislure de ce Poème, mais aussi faut-il que j'avoue que le sieur Torrelli s'est surmonté avoir à en exécuter les desseins, et qu'il a eu des inventions admirables pour les faire agir à propos, de sorte que s'il m'est devait quelque gloire pour avoir introduit cette Venus dans le premier Acte, qui fait le nœud de cette Tragédie par l'Oracle ingénieux qu'elle prononce, il lui en a deu bien davantage pour l'avoir fait venir de si loin et descendre au m de 'air dans cette magnifique estoille, avec cet art et de Magne, elle remplit tout le monde d'étonnement et admiration.
Il en faut dire autant des autres que i’ay introduites & dont il a inuenté I’execution, qui en a rendu le ſpectacle ſi merueilleux, qu’il ſera mal aiſé d’en faire vn plus beau de cette nature.	Il en faut dire autant des autres que j'ai introduites et dont il a inventé J'exécution, qui en a rendu le spectacle si merveilleux, qu'il sera mal aisé d'en faire un plus beau de cette nature.
Pour moy ie confeſſe ingenuëment que quelque effort d’imagination que i’aye fait depuis, ie n’ay pû deſcouurir encor vn ſujet capable de tant d’ornements exterieurs & où les machines peuſſent eſtre diſtribuées auec tant de iuſteſſe:	Pour moi ici confesse ingénument que quelque effort d'imagination que j'aie fait depuis, quelque n'ai pu découvrir encor un sujet capable de tant d'ornements extérieurs et où les machines pussent être distribuées après tant de justesse:
ie n’en deſeſpere pas toutesfois, & peut-eſtre que le temps en fera eſclater quelqu’vn aſſez brillant & aſſez heureux pour me faire deſdire de ce que i’aduance.	Elle n'en désespère pas toutefois, et peut-être que le temps en fera éclater quelqu'un assez brillant et assez heureux pour me faire dédire de ce que j'avance.
En attendant recenez celuy-cy comme le plus acheué qui aye encor paru ſur nos Theatres, & ſouffrez que la beauté de la repreſentation ſupplée au manque des beaux vers que vous n’y trouuerez pas en ſi grande quantité que dans Cinna, ou dans Rodogune, parce que mon principal but icy a eſté de fatisfaire la veuë par l’eſclat & la diverſité du ſpectacle, & non pas de toucher l’eſprit par la force du raiſonnement, ou le cœur par la delicateſſe des paſſions.	En attendant recenez celui-cy comme le plus achevé qui aie encor paru sur nos Théatres, et souffrez que la beauté de la représentation supplée au manque des beaux vers que vous n'y trouverez pas en si grande quantité que dans Cinna, ou dans Rodogune, parce que mon principal but ici a été de satisfaire la vue par l'éclat et la diversité du spectacle, et non pas de toucher l'esprit par la force du raisonnement, ou le cœur par la délicatesse des passions.
Ce n’eſt pas que i’en aye fuy ou negligé aucunes occaſions, mais il s’en eſt rencontré ſi peu, que i’ayme mieux aduoüer que cette Piece n’eſt que pour les yeux.	Ce n'est pas que j'en aie fui ou négligé aucunes occasions, mais il s'en est rencontré si peu, que j'aime mieux avouer que cette Pièce n'est que pour les yeux.
4 d	4 d
ACTEVRS.	ACTEURS.
DIEVX dans les Machines.	DIEUX dans les Machines.
PITER.	PITER.
N.	N.
VNE.	VNE.
MERCVRE.	MERCURE.
ÆOLE.	NEOLE.
CYMODOCE.	CYMODOCE.
EPHYRE.	ÉPHYRE.
CYDIPPE.	CYDIPE.
Huit VENTS.	Huit VENTS.
Z Nereides.	Z Nereides.
LE SOLEIL.	LE SOLEIL.
MELPOMENE.	MELPOMENE.
Hlein Mr 6s	Hélin Mr 6s
CETHEE Roy dEthopie, pere d’Andromede.	CETHÉE Roi dEthopie, père d'Andromède.
ASSTOPE Reyne dEthiopie.	ASTOPE Reine dEthiopie.
ANDROMEDE fille de Cephee & de Caſſiope.	ANDROMEDE fille de Céphée et de Cassiope.
PHINEÉ Prince d’Ethiopie.	PHINE Prince d'Éthyopie.
ERSEE fils de Iuppiter & de Danaë.	ERSE fils de Juppiter et de Danaène.
TIMANTE Capitaine des Gardes du Roy.	TIMANTE Capitaine des Gardes du Roi.
AMMON amy de Phinée.	AMMON ami de Phinée.
LIRIOPE.	LIRIOPE.
A N	À N
ANDROMEDE TRAGEDIE.	ANDROMEDE -TRAGÉDIE.
DECORATION DV PROLOGVE.	DÉCORATION DU PROLOGUE.
’Ouuerture du Theatre preſente de front aux yeux L des Spectateurs vne vaſte montagne, dont les ſommets inégaux s’éleuant les vns ſur les autres, portent te faiſte iuſques dans les nuës.	’ Dont les Théâtre présente de front aux yeux L des Spectateurs une vaste montagne, dont les sommets inégaux s'levant les uns sur les autres, portent te faîte jusque dans les nues.
Le pied de cette montagne eſt percé a iour par vne grotte profonde qui laiſſe voir ta mer en éloignement.	Le pied de cette montagne est percé à jour par une grotte profonde qui laisse voir ta mer en éloignement.
Les deux coſtez du Theatre ſont occupez par vne ſoreſt d’arbres touffus & entrelaſſez les vns dans les autres.	Les deux côtés du Théâtre sont occupés par une sotest d'arbres touffus et entrelacsez les uns dans les autres.
Sur vn des ſommets de la monnn ple paroiſt Melpomene, la Muſe de la Tragedie, & à l’oppoſite dans le Ciet on vout le Suien Jauancer dans vn char tout lumineux, tiré par les quatre cheuaux qu’Ouide luy donne.	Sur un des sommets de la monn ple paroist Melpomene, la Muse de la Tragédie, et à l'opposite dans le Ciét on vout le Suien Javancer dans un char tout lumineux, tiré par les quatre chevaux qu'Ouide avait donne.
PROLOGVE.	PROLOGUE.
LE SOLEIL, MELPOMENE.	LE SOLEIL, MELPOMENE.
L coMELPOMENE.	 LoMELPOMENE.
Pe Rreſte vn peu ta courſe impetueuſe, Mon Theatre, Soleil, merite bien tes yeux, Tu n’en vis iamais en ces lieux La pompe plus Majeſtueuſe :	Pe Rrête un peu ta course impétueuse, Mon Théâtre, Soleil, mérite bien tes yeux, Tu n'en vis jamais en ces lieux La pompe plus Majestueuse :
I’ay reüny, pour la faire admirer, Tout ce qu’ont de plus beau la France & l’Italie, De tous leurs Arts mes ſœurs l’ont embellie, Preſte-moy tes rayons pour la mieux éclairer.	J'ai réuni, pour la faire admirer, Tout ce qu'ont de plus beau la France et l'Italie, De tous leurs Arts mes sœurs l'ont embellie, Preste-moi tes rayons pour la mieux éclairer.
Daigne à tant de beautez par ta propre lumiere A 6 DonDonner un parfait agrément, Et rends cette merueille entiere, En Iuy ſeruant toy meſme d’ornement.	Daigne à tant de beautés par ta propre lumière A 6 DonDonner un parfait agrément, Et rends cette merveille entière, En Jui servant toi -même d'ornement.
LE SOLEIL.	LE SOLEIL.
Charmante Muſe de la Scéne, Chere & divine Melpoméne, Tu ſçais de mon deſtin l’inuiolable loy;	Charmante Muse de la Scène, Chère et divine Melpomène, Tu sais de mon destin l'inviolable loi;
Ie donne l’ame à toutes choſes, Ie fais agir toutes les cauſes, Mais quand ie puis le plus, ie ſuis le moins à moy.	Je donne l'âme à toutes choses, Je fais agir toutes les causes, Mais quand on puis le plus, votre suis le moins à moi.
Par une puiſſance plus forte Le char que ie conduis m’emporte, Chaque iour ſans repos doit & naiſtre & mourir, Ien ſuis eſclaue alors que j’y preſide, Et ce frein que ie tiens aux chevaux que ie guide Ne regle que leur route & les laiſſé courir.	Par une puissance plus forte Le char que A conduis m'emporte, Chaque jour sans repos doit et naître et mourir, Jen suis esclave alors que j'y préside, Et ce frein que sans tiens aux chevaux que je guide Ne règle que leur route et les laissé courir.
MELPOMENE.	MELPOMENE.
La naiſſance d’Hercule & le feſtin d’Atrée T’ont fait rompre ces loix, Et tu peux faire encor ce qu’on t’a veu deux fois Faire en meſme contrée :	La naissance d'Hercule et le festin d'Atrée T'ont fait rompre ces lois, Et tu peux faire encor ce qu'on t'a vu deux fois Faire en même contrée :
Ie dis plus, tu le dois en faueur du ſpectacle Qu’au Monarque des Lys ie prepare aujourd’huy;	Je dis plus, tu le dois en faveur du spectacle Qu'au Monarque des Lys sans prépare aujourd'hui;
Le Ciel n’a fait que miracles en luy, Luy voudrois-tu refuſer un miracle ?	Le Ciel n'a fait que miracles en lui, Lui voudrais-tu refuser un miracle ?
LE SOLEIL.	LE SOLEIL.
Non, mais ie le reſerue à ces bien-heureux iours Qu’annoblira ſa premiere victoire, Alors j’arreſteray mon cours Pour eſtre plus long-temps le témoin de ſa gloire.	Non, mais raison le réserve à ces bienheureux jours Qu'annoblira sa première victoire, Alors j'arrêterai mon cours Pour être plus longtemps le témoin de sa gloire.
Pren cependant le ſoin de le bien diuertir, Et luy faire auec ioye attendre les années Qui feront eſclater les belles Deſtinées Des Peuples que ſon bras luy doit aſſujettir.	Pren cependant le soin de le bien divertir, Et fort faire avec joie attendre les années Qui feront éclater les belles Destinées Des Peuples que son bras lui doit assujettir.
Calliope ta ſœur deſia d’un œil avide Cherche dans l’auenir les faits de ce grand Roy, Dont les hautes vertus luy donneront employ Pour plus d’vne Iliade, & plus d’une Aeneide.	Calliope ta sœur déjà d'un œil avide Cherche dans l'avenir les faits de ce grand Roi, Dont les hautes vertus lui donneront emploi Pour plus d'une Iliade, et plus d'une Aénéide.
MEL	MEL
MELPOMENE.	MELPOMENE.
Que ie porte d’enuie à cette illuſtre ſœ ir, Quoy que j’aye à craindre pour elle, Que ſous ce grand fardeau ſa force ne chancelle:	Que était porte d'envie à cette illustre sœ ir, Quoi que j'aie à craindre pour elle, Que sous ce grand fardeau sa force ne chancelle:
Mais quel qu’en ſoit enfin le merite & l’honneur, I’auray ſur elle au moins cet avantage, Que deſia ie le vois, que deſia ie luy plais, Et que de ſes vertus, & que de ſes hauts faits, Deſia dans ſes pareils ie luy trace vne image.	Mais quel qu'en soit enfin le mérite et l'honneur, J'aurai sur elle au moins cet avantage, Que déjà toujours le vois, que déjà ie cy plais, Et que de ses vertus, et que de ses hauts faits, Déjà dans ses pareils derace trace une image.
Ie luy monſtre Pompée, Alexandre, Céſar, Mais comme des Heros attachez à ſon char, De tout ce naue erelueou le reo lais paroiſtre Luy peint plus qu’ils n’eſtoient, & moins qu’il ne doit eſtre.	Je lui montre Pompée, Alexandre, César, Mais comme des Héros attachez à son char, De tout ce nave erelueou le reo lais paroistre Lui peint plus qu'ils n'étaient, et moins qu'il ne doit être.
LE SOLEIL.	LE SOLEIL.
Il en effacera les plus glorieux noms, Dés qu’il pourra luy meſme animer ſon armée, Et tout ce que d’eux tous a dit la Renommée Te fera voir en luy le plus grand des Bourbons:	Il en effacera les plus glorieux noms, Dès qu'il pourra lui mesme animer son armée, Et tout ce que d'eux tous a dit la Renommée Te fera voir en lui le plus grand des Bourbons:
Son pere & ſon ayeul tous rayonnants de gloire, Ces grands Rois qu’en tous lieux a ſuiuy la victoire, Luy voyant emporter ſur eux le premier rang, En deuiendroient jaloux s’il n’eſtoit pas leur ſang.	Son père et son aïeul tous rayonnants de gloire, Ces grands Rois qu'en tous lieux a suivi la victoire, Lui voyant emporter sur eux le premier rang, En deviendraient jaloux s'il n'était pas leur sang.
