trois Mores, à la Berg-ſtraer.	trois Mores, à la Berg-straer.
& j’oſe dire que cette Tragedie a paru avec quelque avantage dans une Cour où le bon goût, la politeſſe, & la magnificence regnent également, & où depuis long-temps on’eſt en droit, avec juſtice, de decider des Ouvrâges d’eſprit.	et j'ose dire que cette Tragédie a paru avec quelque avantage dans une Cour où le bon goût, la politesse, et la magnificence règnent également, et où depuis longtemps on'est en droit, avec justice, dé décider des Ouvrâges d'esprit.
C’eſt donc ſur ſes glorieux applaudiſſemens que je me ſuis reſolu à la donner au Public, & j’eſpere qu’on la recevra favorablement quand on ſçaura que c’eſt le coup d’eſſay d’un homme qui n’a entrepris cette compoſition que dans la ſeule vûë de divertir quelques momens un Souverain, non moins illuſtre par ſes brillantes Vertus que par ſon auguſte Naiſſance.	C'est donc sur ses glorieux applaudissements que je me suis résolu à la donner au Public, et j'espère qu'on la recevra favorablement quand on saura que c'est le coup d'essai d'un homme qui n'a entrepris cette composition que dans la seule vue de divertir quelques moments un Souverain, non moins illustre par ses brillantes Vertus que par son te Naissance.
Voilà ce qui m’avoit engagé dans un deſſein qui ſembloit ſurpaſſer mes forces, & j’avoueray de pius que je dois abſolument la réüſſite de ma Piece à la maniere dont elle a été repreſentée, qui ne peut être plus touchante, ni plus patethique.	Voilà ce qui m'avait engagé dans un dessein qui semblait surpasser mes forces, et j'avouerai de pius que je dois absolument la réussite de ma Pièce à la manière dont elle a été représentée, qui ne peut être plus touchante, ni plus pathétique.
y'apreneiide, vec raiſon, que mon Lecteur n’entre point dans toutes ces conſiderations, & que voyant cette Tragedie de prés, & denuée des ornemens du recit & de l’action, il ne la trouve bien differente de celle qu’il aura vûë ſur le Théatre.	y apreneiide, vite raison, que mon Lecteur n'entre point dans toutes ces considérations, et que voyant cette Tragédie de près, et denuée des ornements du récit et de l'action, il ne la trouve bien différente de celle qu'il aura vue sur le Théâtre.
Mais c’eſt l’ordinaire deſtin des ouvrages de peu de valeur.	Mais c'est l'ordinaire destin des ouvrages de peu de valeur.
Leur faux brillant craint le grand jour, & ils perdent leurs foibles beautez ſi-tôt qu’on les examine avec ſoin Enfin ſi je tombe en ce malheur, j’auray du moins la ſatisfaction de n’être pas le ſeul à qui pareme liortune ſoit arrivée, & je me conſoleray ſur l’exemple des autres.	Leur faux brillant craint le grand jour, et ils perdent leurs faibles beautés si-tôt qu'on les examine avec soin Enfin si je tombe en ce malheur, j'aurai du moins la satisfaction de n'être pas le seul à qui pareme liortune soit arrivée, et je me consolerai sur l'exemple des autres.
Je n’ay plus qu’un mot à dire.	Je n'ai plus qu'un mot à dire.
Peut-être trouvera-t’on étrange de voir une Tragedie qui ne ſe ſoûtient que par la tendreſſe reciproque d’un Mary & d’une Femme.	Peut-être trouvera-t-on étrange de voir une Tragédie qui ne se soutient que par la tendresse reciproque d'un Mari et d'une Femme.
Nous vivons dans un temps où l’amour conjugal n’eſt gueres à la mode, & c’eſt une vertu que l’on ne connoît preſque plus.	Nous vivons dans un temps où l'amour conjugal n'est es à la mode, et c'est une vertu que l'on ne connaît presque plus.
Mais enfin l’hiſtoire en eſt verieabie, & dans les premiers ſiecles la galanterie étoit moins en regne que dans celui-ci, où l’on peut dire qu’elle eſt triomphante.	Mais enfin l'histoire en est verieabie, et dans les premiers siècles la galanterie était moins en règne que dans celui-cy, où l'on peut dire qu'elle est triomphante.
Un ordre de l’auguſte * Princeſſe à qui ’ay l’honneur d’appartenir m’ayant obligé d’envoyer en France une copie de ma Piece à S.	Un ordre de l'auguste * Princesse à qui aay l'honneur d'appartenir m'ayant obligé d'envoyer en France une copie de ma Pièce à S.
A.	A.
R.	R.
Madame la Ducheſſe d’Orleans ſa Niéce, me fournit l’occaſion d’y joindre les Vers ſuivans, & je croy que le Lecteur ne me ſçaura pas mauvais gré de les avoir mis à la tête de cette Tragedie.	Madame la Duchesse d'Orleans sa Nièce, me fournit l'occasion d'y joindre les Vers suivants, et je crois que le Lecteur ne me saura pas mauvais gré de les avoir mis à la tête de cette Tragédie.
Madame l'Electrice de Brunſivie.	Madame l'Éléctrice de Brunsivie.
L’AU	L'AU
L’AUTEUR A SABINUS, En envoyant ſa Tragedie à S.	L'AUTEUR A SABINUS, En envoyant sa Tragédie à S.
A.	A.
R.	R.
Madame l’Electrice de Brunſwic.	Madame l'Éléctrice de Brunswic.
Air	Air
MADAME.	MADAME.
Q U vas-tu t'expoſer, Gaulois trop malheureux?	 V vas-tu t'exposer, Gaulais trop malheureux?
N Crains le triſte ſuccés d’un deſtin dangereux.	 Crains le triste succès d'un destin dangereux.
& Tu vas paroître aux yeux d’une ſage Princeſſe, Dont le diſcernement & la delicateſſe, Pourront, d’un ſeul regard, devoiler tes defauts, Et connoître ton foible & le peu que tu vaux.	et Tu vas paraître aux yeux d'une sage Princesse, Dont le discernement et la délicatesse, Pourront, d'un seul regard, dévoiler tes défauts, Et connaître ton faible et le peu que tu vaux.
Si par un coup dû ſort, qu’on aura peine à croire, Tes Vertus juſqu’iciſt’ont acquis quelque gloire, Si, dans un doux ſejour, d’illuſtres Spectateurs Se ſont daigné ranger entre tes Protecteurs, Ne crois pas que ce ſoit l’effet de ton merite:	Si par un coup dû sort, qu'on aura peine à croire, Tes Vertus jusqu'icist'ont acquis quelque gloire, Si, dans un doux séjour, d'illustres Spectateurs Se sont daigné ranger entre tes Protecteurs, Ne crois pas que ce soit l'effet de ton mérite:
A leur ſeule bonté tu dois ta réüſſite, Et ſans elle Eponine, en ſon affliction, N’eût jamais attiré leur approbation.	À leur seule bonté tu dois ta réussite, Et sans elle Éponine, en son affliction, N'eût jamais attiré leur approbation.
De beaux yeux, il eſt vray, t’ont donné quelques larmes On a plaint ton malheur, & ſenti tes allarmes, Et le puotie n'en te uigne fang des Rois?	De beaux yeux, il est vrai, t'ont donné quelques larmes On a plaint ton malheur, et senti tes alarmes, Et le puotie n'en te uigne sang des Rois?
T’honorer, t’aplaudir du geste & de la voix.	T'honorer, t'applaudir du geste et de la voix.
Quelle nouvelle ardeur anime ton courage?	Quelle nouvelle ardeur anime ton courage?
N'eſt-tu pas ſatisfait d’un ſi grand avantage?	N'est-tu pas satisfait d'un si grand avantage?
Et n’eſt-ce pas aſſez qu’une pompeuſe Cour ]	Et n'est-ce pas assez qu'une pompeuse Cour ]
F La Cour d’Hannover.	F La Cour d'Hannouver.
Ait donné ſon ſufrage à ton fidelle amour?	Ait donné son sufrage à ton fidèle amour?
Ne crois pas rencontrer aux lieux de ta naiſſance Et la méme faveur & la même indulgence;	Ne crois pas rencontrer aux lieux de ta naissance Et la même faveur et la même indulgence;
Profites (ſi tu peux) de mes ſages avis.	Profites (si tu peux) de mes sages avis.
Nul n’eſt jamais, dit on, Prophéte en ſon païs.	Nul n'est jamais, dit on, Prophéte en son pays.
Par caprice, ou raiſon tu verras cent Critiques T’accabler à la fois de leurs traits ſatiriques.	Par caprice, ou raison tu verras cent Critiques T'accabler à la fois de leurs traits satiriques.
Si leur fureur s’obſtine à te perſecuter, Sans un ferme ſoûtien pourras-tu reſiſter?	Si leur fureur s'obstine à te persécuter, Sans un ferme soutien pourras-tu résister?
Implore donc celui de la Princeſſe Auguste A qui tes pas vont rendre un hommage trop juſte.	Implore donc celui de la Princesse Auguste À qui tes pas vont rendre un hommage trop juste.
Son Cœur bon, genereux, & toûjours bien-faiſant, Te peut faire, contre eux, un rempart ſuffiſant, Un ſeul mot de ſa bouche arretera leur rage, Et te rendra le calme au milieu de l’orage.	Son Cœur bon, généreux, et toujours bienfaisant, Te peut faire, contre eux, un rempart suffisant, Un seul mot de sa bouche arrêtera leur rage, Et te rendra le calme au milieu de l'orage.
Va donc lui demander un utile ſecours, Et mettre entre ſes mains ta fortune & tes jours.	Va donc lui demander un utile secours, Et mettre entre ses mains ta fortune et tes jours.
La generoſité dont un grand Cœur ſe pique, Tout ce qu’a la vertu d’illuſtre & d’heroïque, Occuper, ſans orgueil, le plus ſublime rang N'eſt rien d’extraordinaire à celles de ſon Sang.	La générosité dont un grand Cœur se pique, Tout ce qu'a la vertu d'illustre et d'héroïque, Occuper, sans orgueil, le plus sublime rang N'est rien d'extraordinaire à celles de son Sang.
Car le Ciel à ce Sang a donné, d’âge en âge, Aux Femmes la ſageſſe, aux Hommes le courage, Et prodigué pour lui les plus rares tréſors Qui ſervent à former & l’eſprit & le corps.	Car le Ciel à ce Sang a donné, d'âge en âge, Aux Femmes la sagesse, aux Hommes le courage, Et prodigué pour lui les plus rares trésors Qui servent à former et l'esprit et le corps.
Va, puiſqu'il faut partir, te ranger auprés d’elle, Tâches d’en obtenir l’aſſiſtance fidelle, Et ſi jamais tes ſoins obtiennent ce ſupport Tu peux, quoy qu’il arrive, eſperer un beau ſort.	Va, puisqu'il faut partir, te ranger auprès d'elle, Tâches d'en obtenir l'assistance fidèle, Et si jamais tes soins obtiennent ce support Tu peux, quoi qu’il arrive, espérer un beau sort.
LE	LE
LE LIBRAIRE A U LECTUER N donnera bien-tôt au Pu blic un Recueil des Oeuvres du même Auteur, dans lequel il entrera quelques Comedies, & pluſieurs autres Pieces de Poëſie ſur differens ſujets.	LE LIBRAIRE A V LECTUER N donnera bientôt au Pu blic un Recueil des Oeuvres du même Auteur, dans lequel il entrera quelques Comédies, et plusieurs autres Pièces de Poésie sur différents sujets.
EPONINE, femme de Sabinus.	EPONINE, femme de Sabinus.
HOMIPIE, pronme a Domitien, lecond fils de l’Empereur.	HOMIPIE, pronme a Domitien, lecond fils de l'Empereur.
MUCIEN, autrefois Gouverneur de Syrie, premier Miniſtre, & Favori de Veſpaſien.	MUCIEN, autrefois Gouverneur de Syrie, premier Ministre, et Favori de Vespasien.
CECINNA,  Generaux des Troupes de l’EmMARCELLUS, 3 peienr.	CECINA, Généraux des Troupes de l'EmMARCELUS, 3 peienr.
FOLVIUS, Capitaine des Gardes.	FOLVIUS, Capitaine des Gardes.
PAULINE, Dame Romaine, confidente d’Eponine,	PAULINE, Dame Romaine, confidente d'Éponine,
SULPICIE, tonfidente de Domitie.	SULPICIE, tonfidente de Domitie.
GIIDES.	GIIDES.
La Seene eſt à Rome dans le Palais Imperial.	La Seène est à Rome dans le Palais Impérial.
SABINUS, IRAGEDIE	SABINUS, JRAGEDIE
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
EPONINE, PAULINE.	EPONINE, PAULINE.
PAULINE.	PAULINE.
Uoy, Madame, en un jour où l’Empereur luimême Fait connoître aux Romains à quel point il vous aime, Quand il borne ſa gloire & ſes vœux les plus doux A pouvoir partager ſon Empire avec vous, Nous voyons dans vos yeux une ſombre triſteſſe!	, Madame, en un jour où l'Empereur luimême Fait connaître aux Romains à quel point il vous aime, Quand il borne sa gloire et ses vœux les plus doux À pouvoir partager son Empire avec vous, Nous voyons dans vos yeux une sombre tristesse!
Vous ſemblez condamner la publique allegreſſe!	Vous semblez condamner la publique allégresse!
Et toûjours trop ſenſible à vos premiers malheurs Vous venez en ces lieux renfermer vos douleurs!	Et toujours trop sensible à vos premiers malheurs Vous venez en ces lieux renfermer vos douleurs!
Fiuiſſez ces regrets, oimper ces aiines, Il eſt temps que l’hymen eſſuye enfin vos larmes, Et que pour vous bien-tôt allumant ſes flambeaux Il vous force d’entrer en des liens nouveaux.	Fivissez ces regrets, oimper ces aiines, Il est temps que l'hymen essuie enfin vos larmes, Et que pour vous bientôt allumant ses flambeaux Il vous force d'entrer en des liens nouveaux.
Qui vit jamais d’amour des effets plus illuſtres?	Qui vit jamais d'amour des effets plus illustres?
Vous pleurez vôtre Epoux depuis prés de deux luſtres, Et pour Sabinus mort l’excés de vôtre deüil Voudroit vous renfermer dans ſon même cerceüil, Le temps qui détruit tout ne peut rompre vos chaînes.	Vous pleurez votre Époux depuis prés de deux lustres, Et pour Sabinus mort l'excès de votre deuil Voudrait vous renfermer dans son même cerceüil, Le temps qui détruit tout ne peut rompre vos chaînes.
Mais, quoy!	Mais, quoi!
Veſpaſien touché de tant de peines, Vous offre aux yeux de tous & ſon cœur & ſa main.	Vespasien touché de tant de peines, Vous offre aux yeux de tous et son cœur et sa main.
Pouvez-vous refoſer un Eix pereur Romain A qui tout l’Univers à l’envi rend hommage?	Pouvez-vous refoser un Eix pereur Romain À qui tout l'Univers à l'envi rend hommage?
Il eſt, je l’avoüray, ſur le penchant de l’âge, Mais un Heros, Madame, eſt aimable en tout temps, Et le Sceptre a toûjours des attraits éclatans.	Il est, je l'avouerai, sur le penchant de l'âge, Mais un Héros, Madame, est aimable en tout temps, Et le Sceptre a toujours des attraits éclatants.
EPONINE.	EPONINE.
Qu’entens-je, juſte Ciel!	Qu'entends-je, juste Ciel!
ah!	ah!
ma chere Pauline, As-tu donc oublié les malheurs d’Eponine?	ma chère Pauline, As-tu donc oublié les malheurs d'Éponine?
Voudrois-tu me livrer à mes perſecuteurs, Et me crois-tu le cœur ſi ſenſible aux grandeurs?	Voudrais-tu me livrer à mes persécuteurs, Et me crois-tu le cœur si sensible aux grandeurs?
Non, quelque ſoit mon ſort, les honneurs de l’Empire Ne font point le bouheur aprés quoy je ſoupire.	Non, quelque soit mon sort, les honneurs de l'Empire Ne font point le bouheur après quoi je soupire.
Fidelle à Sabinus, fidelle à mon devoir, Je ne puis d’un Titan flater l’injuſte eſpoir, C’eſt un tourment pour moy que de m’en voir aimée, Toûjouis du même objettu me vois enflâmée, Et mon cœur malheureux épris d’un feu ſi beau Gardera ſon ardeur au delà du tombeau.	Fidèle à Sabinus, fidèle à mon devoir, Je ne puis d'un Titan flatter l'injuste espoir, C'est un tourment pour moi que de m'en voir aimée, Toûjouis du même objet me vois enflammée, Et mon cœur malheureux épris d'un feu si beau Gardera son ardeur au delà du tombeau.
Helas!	Hélas!
ſi je pouvois te découvrir mon ame, Si j’oſois en ces lieux te parler.	si je pouvais te découvrir mon âme, Si j'osais en ces lieux te parler.
PAULINE.	PAULINE.
Ah!	Ah!
Madame, Vons me connoiſſez trop pour rien craindre de moy.	Madame, Vons me connaissez trop pour rien craindre de moi.
Quel ſecret n’oſez-vous confier à ma foy?	Quel secret n'osez-vous confier à ma foi?
EPONINE.	EPONINE.
Il faut pour un moment faire tréve à mes larmes, Etoufer mes ſoupits, ſuſpendre mes allarmes, Il faut te découvrir les ſecrets de mon cœur, Et d’un affreux deſtin la barbare rigueur.	Il faut pour un moment faire trêve à mes larmes, Etoufer mes soupits, suspendre mes alarmes, Il faut te découvrir les secrets de mon cœur, Et d'un affreux destin la barbare rigueur.
Cet Epoux ſi cheri, ce Sabinus que j’aime, Pour qui ma vive ardeur va juſques à l’extrême, Qui depuis ſi long-tems me coûte tant de pleurs, Qui m’a fait juſqu’ici mépriſer les graudeurs, Ce Prince qu’on ne peut bannir de ma membire, Qui templit l’Univers du ſeul bruit de ſa gloire, Pour qui j’ay fait cent fois éclater tant d’amour, Ce Heros qu’on croit mort, voit encore le jour.	Cet Époux si chéri, ce Sabinus que j'aime, Pour qui ma vive ardeur va jusques à l'extrême, Qui depuis si longtemps me coûte tant de pleurs, Qui m'a fait jusqu'ici mépriser les graudeurs, Ce Prince qu'on ne peut bannir de ma membire, Qui templit l'Univers du seul bruit de sa gloire, Pour qui j'ai fait cent fois éclater tant d'amour, Ce Héros qu'on croit mort, voit encore le jour.
PAULINE.	PAULINE.
Sabinus eſt vivant!	Sabinus est vivant!
EPONINE.	EPONINE.
Ouy, Pauline, il reſpire, Il revient diſputer Eponine & l’Empire, Il va bien-tôt paroître, & dans ces mêmes lieux Reprendre le haut rang qu’ont tenu ſes Ayeux.	Oui, Pauline, il respire, Il revient disputer Éponine et l'Empire, Il va bientôt paraître, et dans ces mêmes lieux Reprendre le haut rang qu'ont tenu ses Aïeux.
Car le Sang de Céſar qui coule dans ſes veines De l’Etat en ſes mains doit remetre les reſnes, Il en doit diſpoſer comme fit autrefois Cet illuſtre Vainqueur des ſuperbes Gaulois.	Car le Sang de César qui coule dans ses veines De l'État en ses mains doit remetre les rênes, Il en doit disposer comme fit autrefois Cet illustre Vainqueur des superbes Gaulois.
Sabiuus va ſe perdre, ou triompher, Pauline, A me perſecuter un cruel ſort s’obſtine, Et le Ciel irrité, mépriſant mes douleurs, Me preſage aujourd’hui mille nouveaux malheurs.	Sabivus va se perdre, ou triompher, Pauline, À me persécuter un cruel sort s'obstine, Et le Ciel irrité, méprisant mes douleurs, Me présage aujourd'hui mille nouveaux malheurs.
PAULINE.	PAULINE.
Par de vaines terreurs n'accablez point votre ame.	Par de vaines terreurs n'accablez point votre âme.
Puiſque Sabinus vit que craignez-vous, Madame?	Puisque Sabinus vit que craignez-vous, Madame?
Vos larmes ont fléchi les cruautez du ſort.	Vos larmes ont fléchi les cruautés du sort.
Mais comment ſema-t’on le faux bruit de ſa mort?	Mais comment sema-t-on le faux bruit de sa mort?
EPONINE.	EPONINE.
Tu ſçais que les Gaulois libres dés leur naiſſance Ont toûjours des Romains mépriſé la puiſſance.	Tu sais que les Gaulois libres dès leur naissance Ont toujours des Romains méprisé la puissance.
Moins jaloux de leurs biens que de leur liberté Pour ſe la conſerver que n’ont-ils point tenté?	Moins jaloux de leurs biens que de leur liberté Pour se la conserver que n'ont-ils point tenté?
Le fer, le feu, l’exil, les ſuplices, les chaînes, N’offrent à leurs grands cœurs que de legeres peines, Sans crainte des tourmens, fidelles à leurs Loix, Ils coureut à la mort pour derendre leuiburoits, Et ſe fout un honneur d’abandonner la vie Quand leur trépas peut être utile à la Patrie.	Le fer, le feu, l'exil, les suplices, les chaînes, N'offrent à leurs grands cœurs que de légères peines, Sans crainte des tourments, fidèles à leurs Lois, Ils coureut à la mort pour derendre leuiburoits, Et se fout un honneur d'abandonner la vie Quand leur trépas peut être utile à la Patrie.
Ce fut donc en la Gaule, aimable & doux ſejour, Que Sabinus reçût la lumiere & le jour.	Ce fut donc en la Gaule, aimable et doux séjour, Que Sabinus reçût la lumière et le jour.
De Céſar ſon Ayeul il eut pour ſon partage	De César son Aieul il eut pour son partage
La noble majeſté, la grandeur de courage, Et par d’heureux combats, par d’illuſtres exploits, Il chercha d’imiter ce Maître de cent Rois.	La noble majesté, la grandeur de courage, Et par d'heureux combats, par d'illustres exploits, Il chercha d'imiter ce Maître de cent Rois.
Tu vois que Sabinus avec juſtice aſpire A gouverner lui ſeul les Romains & l’Empire, Qu’ayant de ſoncôté la raiſon & les Dieux Il a droit de vouloir commander en ces lieux.	Tu vois que Sabinus avec justice aspire A gouverner lui seul les Romains et l'Empire, Qu'ayant de soncôté la raison et les Dieux Il a droit de vouloir commander en ces lieux.
Quelque temps aprés lui la Gaule me vit naître:	Quelque temps après lui la Gaule me vit naître:
A peine ce Heros vint-il à me counoître, Que ſon cœur trop charmé de mes foibles attraits Reſſentit de l’amour les redontables traits.	À peine ce Héros vint-il à me counoître, Que son cœur trop charmé de mes faibles attraits Ressentit de l'amour les redontables traits.
Cet amour fut ſuivi d’un prochain hymenée, Et bien-tôt à ſon ſort je me vis enchaînée.	Cet amour fut suivi d'un prochain hyménée, Et bientôt à son sort je me vis enchaînée.
Tout flatoit juſques-là nos verrueux deſirs, Et nous goûtions tous deux de tranquiles plaiſirs, Quand la ſoif d’acquerir une illuſtre memoire l’arracha de mes bras pour courir à la gloire.	Tout flattait jusques-là nos verrueux désirs, Et nous goûtions tous deux de tranquiles plaisirs, Quand la soif d'acquérir une illustre mémoire l'arracha de mes bras pour courir à la gloire.
Les Romains effrayez de voir leurs fiers tirans Verſer le ſang du peuple en leurs longs differens, Vers nos heureux climats s’aſſemblent, ſe mutinent, Dans leur rebellion leurs cohortes s’obſtinent, Et bravant du Senar les rigoureuſes Loix Demandent du ſecours à nos peuples Gaulois.	Les Romains effrayés de voir leurs fiers tyrans Verser le sang du peuple en leurs longs différents, Vers nos heureux climats s'assemblent, se mutinent, Dans leur rébellion leurs cohortes s'obstinent, Et bravant du Sénar les rigoureuses Lois Demandent du secours à nos peuples Gaulois.
Soudain de nos Soldats les troupes triomphantes Font voir au champs de Mars leurs Enſeignes flotantes, Tout s’ébranle, tout marche, & ces braves guerriers Veulent par cent hauts faits ſe couvrir de Lauriers.	Soudain de nos Soldats les troupes triomphantes Font voir au champs de Mars leurs Enseignes flotantes, Tout s'ébranle, tout marche, et ces braves guerriers Veulent par cent hauts faits se couvrir de Lauriers.
Chacun ſuivant ainſi la gloire qui le guide Brûle de contenter ſon courageintrepide.	Chacun suivant ainsi la gloire qui le guide Brûle de contenter son courageintrépide.
On voit en même temps Civilis & Paulus Joindre avec les Germains Tutor & Claſſicus:	On voit en même temps Civilis et Paulus Joindre avec les Germains Tutor et Classicus:
Et nous mêlons enfin dans nos fertiles plaines Parmi nos Bataillons 1es legiolis Romnlaines.	Et nous mêlons enfin dans nos fertiles plaines Parmi nos Bataillons 1es légiolis Romnaines.
Alors tous les Soldats, pour prix de ſa valeur, Donnent à Sabinus le titre d’Empereur.	Alors tous les Soldats, pour prix de sa valeur, Donnent à Sabinus le titre d'Empereur.
D’un rang ſi glorieux il a beau ſe defendre, Les mutins, malgré lui, l’obligent à le prendre, Et pour l’y diſpoſer, courants de toutes paris	D'un rang si glorieux il a beau se défendre, Les mutins, malgré lui, l'obligent à le prendre, Et pour l'y disposer, courants de toutes paris
PreſenPreſentent à ſes yeux leurs piques & leurs dards:	PresenPresentent à ses yeux leurs piques et leurs dards:
S’il s’obſtine au refus, ils menacent ſa vie, A ſuivre leurs deſir ſon ſalut le convie, Et ſans y conſentir, ſa valeur & ſon ſang L’élevent à la fois en cet auguſte rang.	S'il s'obstine au refus, ils menacent sa vie, A suivre leurs désir son salut le convie, Et sans y consentir, sa valeur et son sang L'élèvent à la fois en cet auguste rang.
D’un jour ſi fortuné le ſuccés & la gloire Ne ſortiront jamais de ma triſle memoire.	D'un jour si fortuné le succès et la gloire Ne sortiront jamais de ma trisle mémoire.
Combien ce jour fatal m’a-t’il couté de pleurs ?	Combien ce jour fatal m'a-t-il couté de pleurs ?
Il fut la ſource, helas!	Il fut la source, hélas!
de toutes mes douleurs.	de toutes mes douleurs.
PAULINE.	PAULINE.
Madame, il me ſouvient qu’une prompte diſgrace Suivit de vos guerriers l’impatiente audace, Qu’aprés pluſieurs combats incertains & douteux L’impitoyable ſort ſe declara coutre eux, Et que de l’Empereur les legions nombreuſes Rangerent ſous ſes Loix vos campagnes heureuſes.	Madame, il me souvient qu'une prompte disgrâce Suivit de vos guerriers l'impatiente audace, Qu'après plusieurs combats incertains et douteux L'impitoyable sort se déclara coutre eux, Et que de l'Empereur les légions nombreuses Rangèrent sous ses Lois vos campagnes heureuses.
Je ſçay que Sabinus, daus ſon juſtetranſport, N’eut plus, pour ſon ſecours, d’autre eſpoir que la mort, Que voyant le deſtin juſqu’au bout le pourſuivre, Ondit, qu’à ſon malheur, il n’avoit pû ſurvivre, Et qu’à des fers honteux ſoigneux de s’arracher Il avoit pris le ſoin d’aſſembler un bucher, Où conſumant enſemble & ſa vie & ſa gloire Il s’étoit fait un nom d’éternelle memoire.	Je sais que Sabinus, daus son justettransport, N'eut plus, pour son secours, d'autre espoir que la mort, Que voyant le destin jusqu'au bout le poursuivre, Ondit, qu'à son malheur, il n'avait pu survivre, Et qu'à des fers honteux soigneux de s'arracher Il avait pris le soin d'assembler un bûcher, Où consumant ensemble et sa vie et sa gloire Il s'était fait un nom d'éternelle mémoire.
Chacun à Rome alors charmé de ſon grand cœur, humnia les tertus, c plaigint lon maineur.	Chacun à Rome alors charmé de son grand cœur, humnia les tertus, ç plaigint lon main.
Voilà ce qu’on y ſçut de ſon deſtin funeſte.	Voilà ce qu'on y sçut de son destin funeste.
