ARGVMENT DE LA PRESENTE COMEDIE.	ARGUMENT DE LA PRÉSENTÉ COMÉDIE.
bien rarement l’on franchit les enfers Quand l’on offre aux elemons ſa vie en ſacrifice.	bien rarement l'on franchit les enfers Quand l'on offre aux élémons sa vie en sacrifice.
Ce Capitame ſeul entre plufieurs humains A ſecoüé ſon ioug & ſes fers inhumains, Comme vous pourrez voir dans ceſte Comedie.	Ce Capitame seul entre plusieurs humains A secoué son joug et ses fers inhumains, Comme vous pourrez voir dans cette Comédie.
Mais cépendant Lecteurs, ſurpris en ces appas Dans ce Cocyte obſcur ne vous eſlancez pas Pour n'eſtre vn iour priuez de la celeſte vie.	Mais cépendant Lecteurs, surpris en ces appas Dans ce Cocyte obscur ne vous élancez pas Pour n'être un jour privez de la céleste vie.
SVR LA COMEDIE PRESENTE.	SUR LA COMÉDIE PRÉSENTÉ.
NNET.	NNET.
E graue Flodoar, ne redoutant d’Eole  Les rigoureux aſſaux ny les legers autans, Ambitieux de voir en la fleur de ces ans, Nauigea ſur Thetis de l’vn à l’autre pole.	E grave Flodoar, ne redoutant d'Éole Les rigoureux assaux ni les légers autans, Ambitieux de voir en la fleur de ces ans, Navigea sur Thétis de l' a autre pôle.
Laßé ce neant-moins de virer la bouſolle Apres auoir franchy plufieurs gouffres & bancs, Et dompté la fureur des impiteux tuans Il ce voit des damnez eſcrit deſſus le rolle.	Lassé ce néantmoins de virer la bousolle Apres avoir franchi plusieurs gouffres et bancs, Et dompté la fureur des impiteux tuants Il ce voit des damnés écrit dessus le rolle.
Ne perdant toutesfois le courage & le cœur Pour auoir meſme encor eſperance au Seigneur.	Ne perdant toutefois le courage et le cœur Pour avoir même encor espérance au Seigneur.
Il commande à Pharos vne telle entrepriſe, Qu’il ce void deliuré, imitant le renard Qui ſubtil & ruzé eſgaré à l’eſcart Faict aux chiens des veneurs ſouuent perdre la priſe.	Il commande à Pharos un telle entreprise, Qu'il ce void délivré, imitant le renard Qui subtil et ruzé égaré à l'écart Fait aux chiens des veneurs souvent perdre la prise.
ACTEVRS.	ACTEURS.
Sarono premier Sattrape du Soldam.	Sarono premier Sattrape du Soldam.
Raphin ſecond Sattrape.	Raphin second Sattrape.
Flodoar Capitaine François.	Flodoar Capitaine Français.
Le Soldam d’Egypte.	Le Soldam d'Égypte.
Boſphoron Lieutenant.	Bosphoron Lieutenant.
Turly premier manouurier.	Turly premier manouvrier.
Vandalon ſecond manouurier.	Vandalon second manouvrier.
Pharos demon infernal.	Pharos demon infernal.
Le courrier du Soldam.	Le courrier du Soldam.
Lucifer.	Lucifer.
NVAN A ADMIRABLE.	NVAN A ADMIRABLE.
INTITVLEE, LI MMAVMLLE.	INTITULE, LI MMAVMLLE.
ACTE PREMIER.	ACTE PREMIER.
SCENE I.	SCÈNE I.
Premier Sattrape, ſecond Sattrape, Flodoar, Sarono.	Premier Sattrape, second Sattrape, Flodoar, Sarono.
SAPHIN i’ay deſcouuert vn celebre nauire  Que le vagueux Neptun, & le ſouef Zephire Ont guidé doucement prés de ce port de mer, Il nous faut de courage & hardieſſe armer, Au moins de butiner les biens & la finance Qui detient enſerrez dedans ſa creuſe pance, Ce ſont Chreſtiens ce ſemble à voir leurs pers guidons o „	SAPHIN j'ai découvert un célèbre navire Que le vagueux Neptun, et le soues Zéphire Ont guidé doucement près de ce port de mer, Il nous faut de courage et hardiesse armer, Au moins de butiner les biens et la finance Qui détient enserrez dedans sa creuse pance, Ce sont Chrétiens ce semble à voir leurs pers guidons ô „
Premier Sattrape.	Premier Sattrape.
Enne mis coniürez de noſtre nation, Voire, diſ-je François, car leur face courtoiſe Me font croire qu’ils ſont de la terre Françoiſe.	Enne mis coniürez de notre nation, Voire, dis-je Français, car leur face courtoise Me font croire qu'ils sont de la terre Française.
Sus, ſus vengeons nous donc de ce que ſainct Louys Leur inuincible Roy fit à noſtre pays, Alors qu’ayant Thetis de genſdarmes couuerte Il vient fier aſsieger le Cayre & Damiette:	Sus, sus vengeons nous donc de ce que saint Louis Leur invincible Roi fit à notre pays, Alors qu'ayant Thétis de gensdarmes couverte Il vient fier assiéger le Cayre et Damiète:
Voire, diſ-je & planter ces riches pauillons Sur la riue du Nil & en ces enuirons, Car ſi nous les laiſſons ancrer en ce riuage, Ils nous apporterons pius de perte & dommage Qu'il ne vous eſt aduis, ils ſont tous belliqueux Aux armes treſ-adroits, aux combats genereux Ainſi que le grand Mars plein de force & proüeſſe?	Voire, dis-je et planter ces riches pavillons Sur la rive du Nil et en ces environs, Car si nous les laissons ancrer en ce rivage, Ils nous apporterons pius de perte et dommage Qu'il ne vous est avis, ils sont tous belliqueux Aux armes très -adroits, aux combats généreux Ainsi que le grand Mars plein de force et prounesse?
Bref ſi on ne les prend par ſubtille fineſſe, Par ruſe par aguet, par force ou trahiſon, On ne peut auoir deux nullement la raiſon.	Bref si on ne les prend par subtille finesse, Par ruse par aguet, par force ou trahison, On ne peut avoir deux nullement la raison.
Raphin ſecond Sattrape.	Raphin second Sattrape.
Ils ont trop veu le loup il ne faut plus qu’il viue, Mais laiſſons les ancrer au bord de ceſte riue.	Ils ont trop vu le loup il ne faut plus qu'il vive, Mais laissons les ancrer au bord de cette rive.
Et uous les guetterons dans ce bois à l’eſcart Comme le Lyon roux fait le ruzé renard Ils ne ſont pas grands gens l’augure en eſt certaine, Et croy qu’il n’y a chef, Seigneur, ne Capitaine, C’eſt tout vn Saronon, guettons-les prudemment, En voila deſ-ja vn qui à terre deſcend, Haut gros & refroigné, portant vne pannache, Et aux leures des crocs releuez en mouſtache, Qui agille s’eſtant de la nef ietté bas Iette touſiours les yeux deſſus ſon coutelas, Il marche fierement, il eſt fort & adextre, Et croy que du vaiſſeau il eſt nocher & maiſtre.	Et -vous des guetterons dans ce bois à l'écart Comme le Lynton roux fait le ruzé renard Ils ne sont pas grands gens l'augure en est certaine, Et crois qu'il n'y a chef, Seigneur, ne Capitaine, C'est tout un Saron, guettons-les prudemment, En voilà déjà un qui à terre descend, Haut gros et refroigné, portant une penache, Et aux lèvres des crocs relevez en moustache, Qui agille s'étant de la nef jeté bas Jette toujours les yeux dessus son coutelas, Il marche fût, il est fort et adextré, Et croy que du vaisseau il à moche et maître.
Or guettons bien ceſtuy ce ſe ra aſſez faict A cil qui luy mettra la main iur le conet.	Or guettons bien celui ce se ra assez fait A cil qui était mettra la main jur le conet.
Flodoar Capitaine.	Flodoar Capitaine.
C’eſt aſſez longuement ſur la mer pris ſon erre.	C'est assez longuement sur la mer pris son erre.
Et branſler l’auiron ſans mettre pied à terré, Car i’ay deſ-ja paſsé eſprouuant maint hazard Le Cap de ſainct Vincent, & l’eſtroit Gilbartart, Ou le grand Herculles pour immortelles bornes D’vn bras victorieux eſleua ces coulonnes, Le terroir Mauritain, Maroque, & fais encor Le froidureux Atlas, & le fleuue Sauuor, Le port de mer Doran, la fiere Barbarie, Le fleuue de Siſare, & toute Numidie, Tant que ie ſuis venu aux peuples alterez Que bazane Phœbus de ces rayons dorez.	Et branler l'aviron sans mettre pied à terré, Car j'ai déjà passé éprouvant maint hasard Le Cap de saint Vincent, et l'aurait Gilbartart, Ou le grand Herculles pour immortelles bornes D'un bras victorieux éleva ces coulonnes, Le terroir Mauritain, Maroque, et fais encor Le froidureux Atlas, et le fleuve Sauvor, Le port de mer Doran, la fière Barbarie, Le fleuve de Sis, et toute Numidie, Tant que ie Un venu aux peuples altérez Dé bazane Phœbus de ces rayons de.
I’ay veu le fleuue Amphage, & Arzer la gentille, Bizance, Bragadas, & Hipon la virille Où le Roy du pays pour le vous faire court Aſsiſté des Seigneurs tient ſa fameuſe Court, Car il a confirmée & cree Royalle, Les peuples de ce lieu tranſportent leur Marpalle, Et leurs toicts caſaniers, voire leurs creux caſots Ou giſt leur volonté dedans des chariots, Il m’en ſouuient tresbien, or, apres de courage Vtique ie paſſay, & Thunes & Carthage, Non aſsiſe fort loing des paluds Tritonis, La ville de Cipon, & le fleuue Cinips Apres auoir franchy la Prouince des Sirtes, Où ſinglant en la mer nous priſmes tous la fuite, Parce qu’ils nous tiroyent vn grand nombre de traicts, 3	J'ai vu le fleuve Amphage, et Arzer la gentille, Bizance, Bragadas, et Hypon la virille Où le Roi du pays pour le vous faire court Assisté des Seigneurs tient sa fameuse Court, Car il a confirmée et cree Royalle, Les peuples de ce lieu transportent leur Marple, Et leurs toits casaniers, voire leurs creux caspots Ou gît leur volonté dedans des chariots, Il m'en souvient trèsbien, or, après de courage Vtique et Thune, et Thunes et Carthage, Non assise fort loin des paluds Tritonis, La ville de ô, et le fleuue In Apres auoir franchi la Prouince des Sirtes, singlant en La mer nous vi tous la fuite, Parce ils nous tiroyent grand nombre de traicts, 3
.	.
V** E us	V** E us
19 Comeate aamirable.	19 Comète aamirable.
Or ayant eſuité leurs furieux attraicts Qui ne demandoyent moins que noſtre chere vie, Nous feuſmes en Lybie & en Alexandrie, Puis en apres auoir ramé de diuers fil Au port ou non (anchron) proche voiſin du Nil, Et ne ſommes pas loing du Cayre que ie penſe Dont i’ay dedans mon cœur grande reſiouyſſance, Car apres l’auoir veu & ſon baume excellent, Ie veux voir Damiette & le tour de Salem, Et Syrie & Damas, & les ſuperbes villes Qui ſous l’aiſle du Turc ſont maintenant ſeruilles:	Or ayant évité leurs furieux attraits Qui ne demandaient moins que notre chère vie, Nous feusmes en Lybie et en Alexandrie, Puis en après avoir ramé de divers fil Au port ou non (anchron) proche voisin du Nil, Et ne sommes pas loin du Cayre que je pense Dont j'ai dedans mon cœur grande réjouissance, Car après l'avoir vu et son baume excellent, Je veux voir Damiette et le tour de Salem, Et Le tour Damas, et les superbes villes Qui sous l'aile du Turc sont maintenant servilles:
I’ay laiſſé tous mes gens ſur le bord de la mer Afin de m’en venir icy me pourmener, Pour voir ſi ie verray quelque lieu ou repaire Qui me teſmoignera ſi ie ſuis loing du Cayré, Car mes plus chers esbats, & mes plaiſirs diuers Sont de voir le circuit de ce grand vniuers Que ie verray premier, Dieu aydant, que ie meure.	J'ai laissé tous mes gens sur le bord de la mer Afin de m'en venir ici me pourmener, Pour voir si bon verrai quelque lieu ou repaire Qui me témoignera si beau suis loing du Caïré, Car mes plus chers ébats, et mes plaisirs divers Sont de voir le circuit de ce grand vniuers Que tu verrai premier, Dieu aidant, que je meure.
Sarono premier Sattrape.	Sarono premier Sattrape.
Vous en aurez menty, ſus Chreſtien qu’on demeure, Et qu’on rende ce glaiue ou de force ou de cœur Si vous ne deſirer ſentir noſtre fureur:	Vous en aurez menti, sus Chrétien qu'on demeure, Et qu'on rende ce glaiue ou de force ou de cœur Si vous ne désirer sentir notre fureur:
Voire, encor de nos bras l’inuincible tempeſte Sur l’indigne ſommet de ta peruer ſe teſte.	Voire, encor de nos bras l'invincible tempête Sur l'indigne sommet de ta perver se tête.
Flodoar Capitaine.	Flodoar Capitaine.
He!	He!
qui ſont ces pendars qui me viennent corſer En paſſant mon chemin, & mes armes piller.	qui sont ces pendards qui me viennent corser En passant mon chemin, et mes armes piller.
Qui ſont ces bazanez, & ces traiſtres perſides Qui guettent les vaiſſeaux pres de ce port humide:	Qui sont ces basanés, et ces traîtres persides Qui guettent les vaisseaux pres de ce port humide:
Eſtes vous des larrons, eſtes vous des volleurs, Des pirates de mer, ou bien des eſcumeurs, Veu que vous ſaiſiſſez tellement ma perſonne.	Êtes vous des larrons, êtes -vous des volleurs, Des pirates de mer, ou bien des écumeurs, Veu que vous saisissez tellement ma personne.
Raphin ſecond Sattrape.	Raphin second Sattrape.
Nous ſommes au Soldam du Cayre & Babylonne, Lequel nous a commis à garder ſur ces mers, Afin que les vaiſleaux & nochers eſtrangers N’allaſſent plus auant ſur le dos de Nerée.	Nous sommes au Soldam du Cayre et Babylonne, Lequel nous a commis à garder sur ces mers, Afin que les vaisleaux et nochers étrangers N'allassent plus avant sur le dos de Nerée.
Sarone premier Sattrape.	Sarone premier Sattrape.
Mon ami ceſte choſe eſt vraye & aſſeurée, Nous en auons du Roy bonne commiſsion.	Mon ami cette chose est vraie et assurée, Nous en avons du Roi bonne commission.
Flodoar Capitame.	Flodoar Capitame.
Qu’ay-je affaire du Roy & de ſa Babylon?	Qu'ai-je affaire du Roi et de sa Babylon?
Raphin ſecond Sattrape.	Raphin second Sattrape.
Ne vous debattez point ſi vous auez enuie Que deuane la proionoe in tou preſente enuie:	Ne vous débattez point si vous avez envie Que devane la proionoe in tou présente envie:
Car ſi vous murmurez ou faite aucun effort Nous vous mettrons ſoudain de nos glaiues à mort.	Car si vous murmurez ou faite aucun effort Nous vous mettrons soudain de nos glaiues à mort.
Flodoar Copitaine.	Flodoar Copitaine.
Si vous ne m’euſsiez pris!	Si vous ne m'eussiez pris!
ô poltrons mon eſpée, Ie vous l’euſſe deſ-ja dans le goſier trempée:	ô poltrons mon épée, Je vous l'eusse déjà dans le gosier trempée:
Mais quoy!	Mais quoi!
faut-il ô Ciel, que les chemins paſſans Soyent remplis & couuerts de ces traiſtres meſchans;	faut-il ô Ciel, que les chemins passants Soient remplis et couverts de ces traîtres méchants;
Qui ne ſe plaiſent à rien qu’à voller les Nauires De marchandiſe plains, où ceux là qui deſires Admirer l’vniuers, ha!	Qui ne se plaisent à rien qu'à voler les Navires De marchandise plains, où ceux -là qui désires Admirer l'univers, ha!
perfides goujars, Ha!	perfides goujars, Ha!
chetifs champions, ha!	chétifs champions, ha!
gueux non vray Soldats, Si i’auois mon eſtoc, regardez bien ma trongne, Ie vous taillerois cy ce iour tant de beſongne Que ie ſuis aſſeuré que ne verriez de l’an, Ny de voſtre viuant voſtre fameux Soldam.	gueux non vrai Soldats, Si j'avais mon étoc, regardez bien ma trongne, Je vous taillerais cy ce jour tant de besongne Que je suis assuré que ne verriez de l'an, Ni de votre vivant votre fameux Soldam.
Sarono premier Sattrape.	Sarono premier Sattrape.
Nous luy annoncerons encor voſtre menace,	Nous notre annoncerons encor votre menace,
Flodoar Capitaine.	Flodoar Capitaine.
Taiſez-vous fripponniers, aſſommeurs de chappons.	Taisez-vous friponniers, assommeurs de chapons.
Mon Dieu ou ſont mes gens auec leurs auirons Qui ne viennent icy, & ne prennent à l’attrape Ces traiſtres eshontez & malheureux Sattrapes.	Mon Dieu ou sont mes gens avec leurs avirons Qui ne viennent ici, et ne prennent à l'attrape Ces traîtres éhontés et malheureux Sattrapes.
Raphin ſecond Sattrape.	Raphin second Sattrape.
Cheminez, cheminez, vous eſtes trop oſé, Il vaudroit mieux pour vous que n’euſsiez tant cauſé, Car vous en ſouffrirez vn ſi cruel martyre, Qu’on n’en ſçaura iamais la cruauté predire.	Cheminez, cheminez, vous êtes trop osé, Il vaudrait mieux pour vous que n'eussiez tant causé, Car vous en souffrirez un si cruel martyre, Qu'on n'en saura jamais la cruauté prédire.
Sarono premier Sattrapę.	Sarono premier Sattrapę.
Si ce fin eſpieur admiroit le Soldam Il ne parleroit pas ſi treſ-arogamment.	Si ce fin épieur admirait le Soldam Il ne parlerait pas si trèsparogamment.
Flodoar Capitaine.	Flodoar Capitaine.
Vous en auez menty ie ne ſuis pas eſpie Raphin ſecond Sattrape.	Vous en avez menti ici ne suis pas épie Raphin second Sattrape.
De le penſer celer c’eſt à vous grand folie.	De le penser celer c'est à vous grand folie.
Flodoar Capitaine.	Flodoar Capitaine.
Iamais François ne fut traiſtre ainſi comme vous, Sarqno premer Santrape.	Jamais Français ne fut traître ainsi comme vous, Sarnqno près Santrape.
Bien, bien, nous le ſçaurons, cheminez ſans courroux.	Bien, bien, nous le saurons, cheminez sans courroux.
SCENE II.	SCÈNE II.
Le Soldam, Boſphoron Lieutenant, Flodoar Capitaine.	Le Soldam, Bosphoron Lieutenant, Flodoar Capitaine.
Le Soldam.	Le Soldam.
Inſi que le Phenix n’a point d’eſgal au monde, ES Ainſi ſur le plancher de ceſte maſſe ronde, mneceads T	Insi que le Phénix n'a point d'égal au monde, ES Ainsi sur le plancher de cette masse ronde, mneceads T
Contale nemiadeioo Ie ſuis ſans parangon, ſans per, & ſans pareil Sur tous les Roys qui vont admirant le Soleil Que i'adore & cheris ainſi qu’vn dieu celeſte Pour m’aller preferuant de mal & de moleſte.	Contale nemiadeioo , suis ans parangon, sans per, et sans pareil Sur tous les Rois qui vont admirant le Soleil Que j'adore et chéris ainsi qu'Un dieu celeste Pour m'aller préservant de mal et de moleste.
Ie ſuis vn Aigle agil qui vollant dedans l’air Souſtient le foudre ardant lancé de lupiter.	Je suis un Aigle agil qui vollant dedans l'air Souttient le foudre ardant lancé de lupiter.
Ie ſuis vn Annibal, voire vn vray Alexandre, Car ainſi comme luy i’ay faict mon nomentendré Par le vaſte contour de ce grand vniuers, Les palmes, les Lauriers, & mille vœux offerts A mon celebre nom, & à ma ſaincte gloire Aux autels reuerez du temple de memoire, Teſmoignent ſur ce rond couronné des hauts cieux Aſſez combien ie ſuis aux combats belliqueux:	Je suis un Hannibal, voire un vrai Alexandre, Car ainsi comme tu j'ai fait mon nomentendré Par le vaste contour de ce grand vniuers, Les palmes, les Lauriers, et mille vœux offerts A mon célèbre nom, et à ma sainte gloire Aux autels révérez du temple de mémoire, Témoignent sur ce rond couronné des hauts cieux Assez combien ce suis aux combats belliqueux:
Auſsi n’y a-il Roy ſur ce globe terreſtre Qu’il n’aille obeiſſant à l’effort de ma dextre.	Aussi n'y a-il Roi sur ce globe terrestre Qu'il n'aille obéissant à l'effort de ma dextre.
Boſphoron Lieutenant.	Bosphoron Lieutenant.
Chacun vous obeyt de verité grand Roy, Car vous eſtes des Roys & l’alcide & l’effroy, Et vos yeux irritez leurs lancent des tonnerres, Qui les faict fierement bouleuerſer par terre, Alors que tant ioit peu ns vous vonc mitant.	Chacun vous obéît de vérité grand Roi, Car vous êtes des Rois et l'alcide et l'effroi, Et vos yeux irritez leurs lancent des tonnerres, Qui les fait fièrement bouleuerser par terre, Alors que tant jait pu ns vous vonc mitant.
Bref les peuples vous vont comme vn Mars redoutant Reſerué ſeulement les faux Chreſtiens iniques Qui veulent effacer voſtre nom magnifique.	Bref les peuples vous vont comme un Mars redoutant Réservé seulement les faux Chrétiens iniques Qui veulent effacer votre nom magnifique.
Le Soldam.	Le Soldam.
Ie les garderay bien d’obſcurcir mon renom Marqué en lettre d’or d’vn immortel crayon Dans le temple des dieux, mais, he!	Je les garderai bien d'obscurcir mon renom Marqué en lettre d'or d’un immortel crayon Dans le temple des dieux, mais, hé!
que doiſ-je faire De ce Chreſtien ruzé, perfide & temeraire, Qui eſt venu icy eſpier mes pays Comme firent les gens iadis du grand Louys.	que dois-je faire De ce Chrétien ruzé, perfide et téméraire, Qui est venu ici épier mes pays Comme firent les gens jadis du grand Louis.
Bosphoron Lieutenant, Il le faut eſcorcher & mettre ſur la grille, Ou luy faire aualler du vinaigre & de l’huille Auec du plomb fondu, ſi c’eſt vn eſpion Venu pour figurer le plan de Babylon.	Bosphoron Lieutenant, Il le faut écorcher et mettre sur la grille, Ou lui va aualler du vinaigre et de l'huille Avec du plomb fondu, si c'est un espion Venu pour figurer le plan de Babylon.
Le Soldam.	Le Soldam.
Qui t’a dis amené, ôt miſerable eſclaue En ce lieu que le Nil & que le Gange laue:	Qui t'a dis amené, ôt misérable esclave En ce lieu que le Nil et que le Gange la:
Reipons à mes propos, dis-moy, o linhumain Quelle eſt ta volonté & ton ſecret deſſein.	Reipons à mes propos, dis-moi, ô linhumain Quelle est ta volonté et ton secret dessein.
Flodour Capitaine.	Flodour Capitaine.
Le vouloir, le deſſein, le ſubiect & l’enuie Qui ma faict delaiſſer ma fameuſe patrie, nitort pour voir le monde ce non pour autre effect, Partant, ſi vous trouuez que i’aye aucun tort faict Faictes moy chaſtier par l’aigreur d’vn ſupplice	Le vouloir, le dessein, le sujet et l'envie Qui ma fait délaisser ma fameuse patrie, nitort pour voir le monde ce non pour autre effet, Partant, si vous trouvez que j'aie aucun tort fait Faites moi châtier par l'aigreur d'un supplice
Le Soldam.	Le Soldam.
De quel art excellent, ou de quel exercice Te vas-tu en ta terre ou pays d’emellant.	De quel art excellent, ou de quel exercice Te vas-tu en ta terre ou pays d'emelant.
Flodoar Capitaine.	Flodoar Capitaine.
Ie fay de groſſes Tours, des Pallais triomphans, Des Chaſteaux ſourcilleux, des Arſenacs, des Louures Où milles inuentions artiſtes ſe deſcouurent.	Je fais de grosses Tours, des Pallais triomphants, Des Châteaux sourcilleux, des Arsenacs, des Louvres Où milles inventions artistes se découvrent.
Le Soldam.	Le Soldam.
Voudrois-tu m’eriger pour acheter ta mort Vn Chaſteau imprenable aſsis deſſus le bord Du clair viſte courant & violent Euphrate, Ainſi que ie le vais deſpeindre en ceſte carte?	Voudrais-tu m'ériger pour acheter ta mort V Asteau imprenable assis dessus le bord Du clair vite courant et violent Euphrate, Ainsi que sans le vais dépeindre en cette carte?
Flodoar Capitame.	Flodoar Capitame.
Ouy, Sire s’il vous plaiſt, 2	Oui, Sire s'il vous plaît, 2
Le Soldam.	Le Soldam.
Mais en combien de tempss	Mais en combien de temps
Flodoar Capitaine.	Flodoar Capitaine.
Ayans des materiaux de ce iour a lix anis.	Ayant des matériaux de ce jour a lix anis.
Le Soldam.	Le Soldam.
Sixans, ôt l’impudent, ô!	Sixants, ôt l'impudent, ô!
le ſot mal habille, ne que raurois baſty en ſix ans vne ville, Ayant du Cayre exquis les grands compartimens.	le sot mal habille, ne que raurais bâti en six ans avoir ville, Ayant du Cayre exquis les grands compartiments.
Flodoar Capitaine.	Flodoar Capitaine.
Il faudroit donc grand Roy auoir autant de gens Que l’on voit de poiſſons dans le ſeiour humide, Et d’agilles oyſeaux dans la plaine liquide, Et ſi ie ne ſçay pas s’ils la pourroyent baſtir.	Il faudrait donc grand Roi avoir autant de gens Que l'on voit de poissons dans le seiour humide, Et d'agilles oiseaux dans la plaine liquide, Et si grands ne sais pas s'ils la pourraient bâtir.
Qedetenuio, Eſcoute, il ne faut point tant de mots repartir, Tu n’auras que deux ans pour faire ton ouurage.	Quedetenvio, Écoute, il ne faut point tant de mots repartir, Tu n'auras que deux ans pour faire ton ouvrage.
Flodoar Capitaine.	Flodoar Capitaine.
C’eſt vn petit trop peu donnez m’en d’auantage.	C'est un petit trop peu donnez m'en davantage.
Qui veut faire vn Chaſteau à la façon de France.	Qui veut faire un Château à la façon de France.
Bosphoron Lieutenant.	Bosphoron Lieutenant.
Ie n’ay pas, ô Souldam en mon cœur eſperance Qu’il acheue celt œuure en ii petit de temps.	Je n'ai pas, ô Souldam en mon cœur espérance Qu'il achève celt œuvre en ji petit de temps.
Le Soldam.	Le Soldam.
Si elle ne l’eſt pas, ny aura nul tourment Que ſur ſon corps chetif ire ie ne deſploye Pour faire à ſon eſprit d’enfer prendre la voye.	Si elle ne l'est pas, ni aura nul tourment Que sur son corps chétif ire effet ne déploie Pour faire à son esprit d'enfer prendre la voie.
ACTE DEVXIESME.	ACTE DEUXIÈME.
SCENE I.	SCÈNE I.
Sarono, Raphin.	Sarono, Raphin.
Sarcno.	Sarcno.
Llons Raphin, allons encor ſur ce rocher !	Llons Raphin, allons encor sur ce rocher !
& Voir ſi deſcouurirons quelque nef ſur la mer Ou quel ques eſpieux guignant ceſte prouince Pour apporter du mal au Soldam noſtre Prince, Mais à propos Raphin à il mis priſonnier L’eſpion par nous pris au bord de ce grauier:	et Voir si découvrirons quelque nef sur la mer Ou quel ques épieux cette prote province Pour apporter du mal au Soldam notre Prince, Mais à propos Raphin à il mis prisonnier L'espion par nous pris au bord de ce gravier:
Raphin.	Raphin.
Nenny, car Sarono, ſa Majeſté ſupreſme Ne le veut prodiguer au mains de la mort bleſme, Mais afin de franchir la parque & le tombeau Deſſus le bord d’Euphrate il doit faire vn Chaſteau Le plus fort qu’il ſoit point de ce lieu à la France Tour loger des Soldats & faire reſiſtance ** 38 4	Nenni, car Sarono, sa Majesté suprême Ne le veut prodiguer au mains de la mort blême, Mais afin de franchir la parque et le tombeau Dessus le bord d'Euphrate il doit faire un Château Le plus fort qu'il soit point de ce lieu à la France Tour loger des Soldats et faire résistance * 38 4
Comedle Suimiraole.	Comédle Suimiraole.
Au Tartare ennemy & au Scythe inhumain Sans qu’vn autre que luy il mette encor ſa main.	Au Tartare ennemi et au Scythe inhumain Sans qu'un autre que lui il mette encor sa main.
Sarono premier Sattrape.	Sarono premier Sattrape.
Combien a-il de temps pour faire ceſt ouurage Raphin ſecond Sattrape.	Combien a-il de temps pour faire cet ouvrage Raphin second Sattrape.
