TLEDAME DEXXEEXES*	TLÉDAME DEXXEXES*
A CES CAVSES, deſirant traitter fauorablement ledit Expoſant, nous luy auons permis & permettons par ces preſentes, de faire imprimer, vendie & debiter en tous les lieux de noſtre obeiſſance ladite Comedie en telles marges & tels caracteres, & autant de fois que bon luy ſemblera durant l’eſpace de cinq ans entiers & accomplis, à compter du jour qu'elle ſera acheuée diimprimer pour la premiere fois.	À CES CAUSES, désirant traiter favorablement ledit Exposant, nous nous avait permis et permettons par ces présentes, de faire imprimer, vendie et débiter en tous les lieux de notre obéissance ladite Comédie en telles marges et tels caractères, et autant de fois que bon lui semblera durant l'espace de cinq ans entiers et accomplis, à compter du jour qu'elle sera achevée diprimer pour la première fois.
Et faiſons tres-expreſſes deffences à toutes perſonnes, de quelque qualité & condition qu’elles ſoient, de l’imprimer, faire imprimer, vendre ne debiter durant ledit temps en aucun lieu de noſtre obeiſſance ſans le conſentement de l’Expoſant, ſous pretexte d’augnientation.	Et faisons très-expresses défenses à toutes personnes, de quelque qualité et condition qu'elles soient, de l'imprimer, faire imprimer, vendre ne débiter durant ledit temps en aucun lieu de notre obéissance sans le consentement de l'Exposant, sous prétexte d'augnientation.
correction, changement de titre, fauſſe marque, ou autre, en quelque ſorte & maniere que ce ſoit, à peine de trois mil liures d’amende, payables ſans deport, nonobſtant oppoſitions ou appellations quelconques par chacun des contreuenans, applicables vn tiers à Nous, vn tiers à l’Hoſtel-Dieu de noſtre bonne ville de Paris, & l'autre tiers audit Expoſant, confiſcation des exemplaires contrefaits, & de tous deſpens, dommages & intereſts:	correction, changement de titre, fausse marque, ou autre, en quelque sorte et manière que ce soit, à peine de trois mille livres d'amende, payables sans déport, nonobstant oppositions ou appellations quelconques par chacun des contrevenants, applicables un tiers à Nous, un tiers à l'Hôtel-Dieu de notre bonne ville de Paris, et l'autre tiers audit Exposant, confiscation des exemplaires contrefaits, et de tous dépens, dommages tous dépens,
A condition qu’il ſera mis deux exemplaires en blanc de ladite Comedie en noſtre Bibliotheque, & vn en celle de noſtre cher & feal le ſieur Seguier, Cheualier, Chancelier de France, auant que de les expoſer en vente, à peine de nullité des preſentes, du contenu deſquelles nous vous mandons que vous faſſiez joüir & vſer pleinement & paiſiblement ledit Expoſant, & tous ceux qui auront dioict de luy, ſans	À condition qu'il sera mis deux exemplaires en blanc de ladite Comédie en notre Bibliothèque, et un en celle de notre cher et féal le sieur Séguier, Chevalier, Chancelier de France, avant que de les exposer en vente, à peine de nullité des présentes, du contenu desquelles nous vous mandons que vous fassiez jouir et user pleinement et paisiblement ledit Exposant, et tous ceux qui auront dioict de Seigneur, sans
qu'il leur ſoit donné aucun trouble ny empeſchement.	qu'il leur soit donné aucun trouble ni empêchement.
Voulons auſſi qu'en mettant au commencement ou à la fin de ladite Comedie vn extraict des preſentes elles ſoient tenuës pour deuëment ſi gnifiées, & que foy y ſoit adjouſtée, & aux coppies d’icelles collationnées par l’vn de nos amez & feaux Conſeillers & Sécretaires comme à l’original.	Voulons aussi qu'en mettant au commencement ou à la fin de ladite Comédie un extrait des présentes elles soient tenues pour devement si gagnées, et que foi y soit ajoutée, et aux copies d'icelles collationnées par l'un de nos âmez et féaux Conseillers et Sécretaires comme à l'original.
Mandons au premier noſtre Huiſſier ou Sergent ſur ce requis, de faire pour l’execution des preſentes tous exploicts neceſſaires ſans demander autre permiſſion:	Mandons au premier notre Huissier ou Sergent sur ce requis, de faire pour l'exécution des présentes tous exploits nécessaires sans demander autre permission:
Car tel eſt noſtre plaiſir.	Car tel est notre plaisir.
Nonobſtant Clameur de Haro, Chartre Normande, & autres Lettres à ce contraires.	Nonobstant Clameur de Haro, Chartre Normande, et autres Lettres à ce contraires.
Donné à Paris le vingt-troiſieſme iour de Decembre l’an de grace 1641.	Donné à Paris le vingt-troisième jour de Décembre l'an de grâce 1641.
Et de noſtre regne le trentieſme.	Et de notre règne le trentième.
Signé, Par le Roy en ſon Conſeil, DE MONCEAVX,	Signé, Par le Roi en son Conseil, DE MONCEAUX,
Achené d'imprimer pour la premiere foius le demiez iour de lanuier 1642.	Achène d'imprimer pour la première faius le demiez jour de lanvier 1642.
Les exemplaires ont eſté fournis?	Les exemplaires ont été fournis?
ACIEVRS.	ACIEURS.
FLORESTAIN, Genthenomme de Languedoc.	FLORÊTAIN, Genthenomme de Languedoc.
CARRILLE, ſeruiteur bouffon de Floreſtan.	CARRILLE, serviteur bouffon de Florêtan.
ANODIIG VI, Dumonono Pariſienne Amoureuſe de Eloreſtan.	ANODIG VI, Dumono Parisienne Amoureuse de Elorestan.
ISABELLE, ſuiuante d’Angelique.	ISABELLE, suivante d'Angélique.
ETCIDAS,  Gentils-hommes Pariſiens, freres hantrornuu, u lingelique.	ETCIDAS, Gentilshommes Parisiens, frères hantrornu, lingelique.
Ll21s, ſeruiteur de Licidas.	Ll21s, serviteur de Licidas.
L'YCINDE, Damoiſelle Pariſienne, coufine d’Angelique.	L'YCINDE, Damoiselle Parisienne, coufine d'Angélique.
F LESPRIT COMEDIE.	 FESPRIT COMÉDIE.
P	P
AVIE L SCENE PREMIERE.	AUIE L CÈNE PREMIÈRE.
FLORESTAN, CARRILLE.	FLORÊTAN, CARILLE.
v a Q Apetea FLORESTAN.	vais à Q Apètea FLORÉTAN.
VT Paris en effet eſt l’abregé du monde, Dans l’enclos de ſes murs toute merueille abonde, Et ie ne l’aurois pas ſans doute recognu Depuis dix ans entiers que ie n’y ſuis venu.	VÎT Paris en effet est l'abrégé du monde, Dans l'enclos de ses murs toute merveille abonde, Et su ne l'aurais pas sans doute reconnu Depuis dix ans entiers que sans n'y suis venu.
Cent Palais d’vn deſert, vne Cité d’vn Iſle, Et deux de ſes fauxbourgs enfermez dans la ville.	Cent Palais d'Hommes des, une Cité d'un Isle, Et deux de ses fauxbourgs enfermés dans la ville.
ECei fanteux changelmens que maintenant i'y vois Marquent bien la grandeur du plus puiſſant des Rois.	ECei fanteux changelmens que maintenant j'y vois Marquent bien la grandeur du plus puissant des Rois.
Cette ville eſt außi le ſejour ordinaire Des plus grands Rotentats que le Soleil eſclaire;	Cette ville est aussi le séjour ordinaire Des plus grands Rotentats que le Soleil éclaire;
Il n’en voit point de tels deſſus nostre horiſon,	Il n'en voit point de tels dessus notre horizon,
CARRILLE.	CARRILLE.
Allons donc chez Lizandre, & cherchons ſa maiſon.	Allons donc chez Lisandre, et cherchons sa maison.
A quoy tant de diſcours, Monſieur, ie meurs d’enuie De ouir te tner umyquitnez luy vous conuie.	À quoi tant de discours, Monsieur, je meurs d'envie De ouïr te tour umyquitnez ) vous convie.
Que ie ſuis auiourd’huy fauoriſé du ſort, Nous y ferons grand chere, ou ie me trompe fort.	Que ie suis aujourd'hui favorisé du sort, Nous y ferons grand chère, ou toujours me trompe fort.
Depeſchons-nous.	Dépêchons-nous.
FLORESTAN.	FLORÊTAN.
Lizandre eſt vn homme qui m’ayme.	Lisandre est un homme qui m'aime.
Je le ſçay de certain à l’eſgal de luy-meſme, Ie n’en ſçaurois douter:	Je le sais de certain à l'égal de lui-même, Je n'en sçaurois douter:
car cette affection Eſt fondée en effet ſur l’obligation, Il me loge chez luy, dont il bruſle d’enuie, M’eſtant ſans me vanter obligé de la vie, Sans mille autres biens-faits, dont vn homme d’hõneur Ne ſe peut ſouuenir ſans laſcheté de cœur, Et beaucop moins encor en venir aux reproches:	car cette affection Est fondée en effet sur l'obligation, Il me loge chez lui, dont re brûle d'envie, M'étant sans me vanter obligé de la vie, Sans mille autres biens-faits, dont un homme d'honneur Ne se peut souvenir sans lâcheté de cœur, Et beaucop moins encor en venir aux reproches:
Mais à ce que ie croy nous en ſommes bien proches, Demande ſon lagis.	Mais à ce que je crois nous en sommes bien proches, Demande son lagis.
A C.	À Ç.
LN E II MTOLHIC DISADDDED,I BORESTAN, CARRILLE.	LN E II MTOLHIC DISADDED,I BORESTAN, CARILLLE.
SI comme ie le croyVous eſtes Gentil-homme, ayez pitié de moy, Eſtant nay Caualier, vous ne pouuez ſans blaſme Laiſſer perdre la vie, & l’honneur d’vne femme, Si vous ne deſirez, m'ayder d’vn prompt ſecours, Ie perds l’honneur, & ſuis à la fin de mes iours.	SI comme ie le crois êtes Gentilhomme, ayez pitié de moi, Étant néant Navalier, vous ne pouvez sans blâme Laisser perdre la vie, et l'honneur d'une femme, Si vous ne désirez, m'aider d'un prompt secours, Je perds l'honneur, et suis à la fin de mes jours.
Il m’importe, Monſieur, de l’honneur, de-la vie, Que vous vous oppoſiez à la jalouſe enuie, D'vn qui me veut cognoistre, & bruſle de me voir, Ie ſuis morte, autant-vaut, ſi i’entre en ſon pouuoir, En cette occaſion monſtrez voſtre courage, Adieu, ie ne puis pas en dire dauantage.	Il m'importe, Monsieur, de l'honneur, de-la vie, Que vous vous opposiez à la jalouse envie, D'un qui me veut connaître, et brûle de me voir, Je suis morte, autant-vaut, si j'entre en son pouvoir, En cette occasion montrez votre courage, Adieu, Madame ne puis pas en dire davantage.
Le voila qui me ſuit.	Le voilà qui me suit.
CARRILLE.	CARRILLE.
Eſt-ce vne illuſion?	Est-ce une illusion?
Que pretendez-vous faire en cette occaſion?	Que prétendez-vous faire en cette occasion?
FLORESTAN.	FLORÊTAN.
Elte veut ce ſécours, Carrille il luy faut rendre, Estant ce que ie ſuis ie ne m'en puis deffendre.	Élte veut ce sécours, Carrille il lui faut rendre, Étant ce que personne suis apprendre ne m'en puis défendre.
CARRILLE.	CARRILLE.
Mais pourquoy voulez-vous prendre ſon intereſt Sans l’auoir iamais veuë, & ſans ſçauoir qui c’eſt?	Mais pourquoi voulez-vous prendre son intérêt Sans l'avoir jamais vue, et sans savoir qui c'est?
FLORESTAN.	FLORÊTAN.
nue eyesfommoeu ſoſpes onttenons uonc ie te prie, Pour en venir à bout quelque prompte induſtrie:	nue eyesfommoeu sospes onttenons uonc ie te prie, Pour en venir à bout quelque prompte industrie:
Et ſi par ce moyen ie ne puis l’arreſter, I'vſeray de la force.	Et si par ce moyen endre ne puis l'arrêter, J'userai de la force.
CARRILLE.	CARRILLE.
Il faut donc inuenter Il tirevne let- Quelque ſubtil moyen, à propos cette lettre Nous y pourra ſeruir.	Il faut donc inventer Il tirevne let- Quelque subtil moyen, à propos cette lettre Nous y pourra servir.
LLLIII LICIDAS,CARRILLE, FLORESTAN,ARISTE.	LLLIII ICIDAS,CARILLE, FLORESTAN,ARISTE.
LICIDAS.	LICIDAS.
OVTie la veux cognoiſtre, Auant qu’elle m’eſchape, & veux ſçauoir pourquoy Elle fuit ma rencontre, & ſe cache de moy.	OUTie la veux connaître, Avant qu'elle m'échappe, et veux savoir pourquoi Elle fuit ma rencontre, et se cache de moi.
OhleRcimu Diuy momcane vue lettre.	OhlèRcimu Di momcane vue lettre.
Excuſez s’il vous plaiſt, Monſieur, ma hardieſſe.	Excusez s'il vous plaît, Monsieur, ma hardiesse.
Es me ants a qui cent uennt saureſe, De grace, obligez-moy.	Es me ans à qui cent uennt saurée, De grace, obligez-moi.
LICIDAS le repouſſant rudement.	LICIDAS le repoussant rudement.
Retire-toy maraut.	Retire-toi maraut.
FLORESTAN.	FLORÊTAN.
Ce valet eſt à moy, ne parlez pas ſi haut, C’eſt me deſobliger, car ſans qu’il vous offence, Uous le traittez trop mal, & meſme enma preſence, Et par moy ſur le champ en ayant autant fait A quelqu'vn de vos gens vous ſeriez ſartefait.	Ce valet est à moi, ne parlez pas si haut, C'est me désobliger, car sans qu'il vous offense, Uous le traités trop mal, et même enma présence, Et par moi sur le champ en ayant autant fait A quelqu'un de vos gens vous seriez sartefait.
L.	L.
L L’ICIADS.	 L'ICIADS.
De ſatisfaction ie n’en fis en ma vie, Dpu qoum on aucun, ie n’en ay nulle enuie, Mon courage à ce poinct ne ſe ſouſmil iamais, Prenez ſi vous voulez, ou la güerre ou la paix.	De satisfaction ie n'en fis en ma vie, Du qoum on aucun, quelque n'en ai nulle envie, Mon courage à ce point ne se sousmil jamais, Prenez si vous voulez, ou la guerre ou la paix.
FLORESTAN.	FLORÊTAN.
Cette guerre par vous qui m'eſt ſi toſt offerte, Monſtre que vous voulez aduancer voſtre perte, Et ſi i’auois beſoin de ſatisfaction, Ie l’aurois bien de vous en cette occaſion, Et vous guerirois bien de cette freneſie:	Cette guerre par vous qui m'est si tôt offerte, Montre que vous voulez avancer votre perte, Et si j'avais besoin de satisfaction, Je l'aurais bien de vous en cette occasion, Et vous guérirais bien de cette frénésie:
Mais ſi'le trouue en vou pi peu de courtoiſie, Que tout homme de Cour, que ie croy, doit ſçauoir, Ie vous veux enſeigner quel eſt voſtre deuoir, Marry qu’vn eſtranger vous acquiere la gloire De l’apprendre de luy.	Mais si elle trouve en vou pi peu de courtoisie, Que tout homme de Cour, que je crois, doit savoir, Je vous veux enseigner quel est votre devoir, Marri qu'un étranger vous acquière la gloire De l'apprendre de lui.
LICIDAS.	LICIDAS.
C’eſt trop s’en faire accroire, Ie puis quand ie voudray vous en faire leçon, Et lors que ie la faits, c’eſt de cette façon,	C'est trop s'en faire accroire, Je puis quand tu voudrai vous en faire leçon, Et lors que ie . faits, c'est de cette façon,
ARISTE à Carrille l’eſpée à la main.	ARISTE à Carrille l'épée à la main.
As-tu du cœur ?	As-tu du cœur ?
il faut le faire icy paroiſtre.	il faut le faire ici paraître.
CARRILLE.	CARRILLE.
Toubeau, ie n’oſerois, i'offencerois mon maiſtre, Il me la deffendu.	Toubeau, je n'oserais, j'offenserais mon maître, Il me la défendu.
S 2 E I E EF TIT LIZANDRE, L’ICIDAS, FLORESTAN, CARRILLE, ARISTE.	 2 EI I E ÈS FIT LIZANDRE, L'ICIDAS, FLORÉTAN, CARILLE, ARISTE.
F	F
LIZANDRE.	LIZANDRE.
QVE vois-ieiustes Dieux?	QUE vois-jeiustes Dieux?
Doy-je croire en ce poinct ou deſmentir mes yeux ?	Dois-je croire en ce point ou démentir mes yeux ?
Il met l’eſpée On en veut à mon frere, on l’attaque on l’outrage, Allons le ſecourir, ſus mon frere courage, Ie ſuis à vous.	Il met l'épée On en veut à mon frère, on l'attaque on l'outrage, Allons le secourir, sus mon frère courage, Je suis à vous.
LICIDAS.	LICIDAS.
Mon frere en voulant m'obliger.	Mon frère en voulant m'obliger.
Vous me deſobligéz, & voulez m'outrager C’eſt ime faire un affront ſignalé que de croiré 25 Que ſans vous ie ne puiſſe emporter la victoire, Vous me feriez paſſer pour vn homme ſans cœur;	Vous me desobligéz, et voulez m'outrager C'est jour faire un affront signalé que de croiré 25 Que sans vous rien ne puisse emporter la victoire, Vous me feriez passer pour un homme sans cœur;
Puis ſi ce Caualier d beauéoüp de valeur, Il n’a iuſqu’à preſent ſur moy nul aduantage.	Puis si ce Cavalier d beauéoüp de valeur, Il n'a jusqu'à présent sur moi nul avantage.
FLORESTAN.	FLORÊTAN.
S Vous feſmoignez aſſez quèl eft voſtre courage Cette noble action m’oblige tout à fait;	S Vous fémoignez assez qu' elle est courage Cette noble action m'oblige tout à fait;
mii Mais ſi vous n'eſtes pas de tout poinct ſatisfait Et qu’il vous reſte encor quelque ſcrupule en l’ame Ie deſtre enuers vous eſtre oxempt, de tout blaſme, Me le faiſant ſçauoir ou bon vous ſemblera, Noiſ nous rencontrerons.	mi Mais si vous n'êtes pas de tout point satisfait Et qu'il vous reste encor quelque scrupule en l'âme Je dêtre envers vous être oxempt, de tout blâme, Me le faisant savoir ou bon vous semblera, Nois nous rencontrerons.
LICIDAS.	LICIDAS.
Tout ce qu’il vous plaira.	Tout ce qu'il vous plaira.
LALANONE.	LALANONE.
Que vois-je tout de bon?	Que vois-je tout de bon?
pourroy-je me meſprendre?	pourrai-je me méprendre?
Fhrqan, eftete odus	Fhrqan, eutète odus
ELORESTAN.	ELORESTAN.
.	.
Est-ce vous cher Lizandre!	Est-ce vous cher Lizandre!
LIZANDRE.	LIZANDRE.
Veille-je, ou ſi ie dors?	Veille-je, ou si ici dors?
Tieux ie ne puis penſer Que mon frere ait iamais eu deſſein d’offencer Vn amy que i'eſtime à l'eſgal de moy-meſme:	Tieux grande ne puis penser Que mon frère ait jamais eu dessein d'offenser Un ami que j'estime à l'égal de moi-même:
Mon frere, vous deuez aymer celuy que i’ayme, Que i'en ſçache la cauſe.	Mon frère, vous devez aimer celui que j'aime, Que j'en sache la cause.
LICIDAS.	LICIDAS.
Il eſt vray qu’en effet, Nous nous ſommes piquez pour fort peu de ſujet, Ce valet, m'empeſchant de pourſuiure vne affaire, Qui m'importoit beauçoup, m'a fait mettre en colere.	Il est vrai qu'en effet, Nous nous sommes piquez pour fort peu de sujet, Ce valet, m'empêchant de poursuivre une affaire, Qui m'importait beauçoup, m'a fait mettre en colère.
Ie l’ay pouſsé, ſon maiſtre à l’instant a voulu.	Je l'ai poussé, son maître à l'instant a voulu.
S’intereſſer pour luy, ſes diſcours m’ont dépleu, I’ay reparti, ſoudain de parole en parole, Nous nous ſommes picque S,mu tt qui me conſole Eſt que ce Caualier accomply de tout point Me le pardonnera, ne le cognoiſſant point.	S'intéresser pour lui, ses discours m'ont déplu, J'ai réparti, soudain de parole en parole, Nous nous sommes picque S,mu tt qui me console Est que ce Cavalier accompli de tout point Me le pardonnera, ne le connaissant point.
FLORESTAN.	FLORÊTAN.
C’eſt moy qui veux de vous eſperer cette grace, I’ay tort, ie le confeſſe, excuſez mon audace,	C'est moi qui veux de vous espérer cette grâce, J'ai tort, tu le confesse, excusez mon audace,
LIZANDRE.	LIZANDRE.
Il faut tout oublier.	Il faut tout oublier.
Mon cher frere, embraſſeZ ce braue Caualier, ex eui ie avy mon vien, mon honneur & ma vie, SecondeZ ie vous prie en ce point mon enuie, C’eſt ce cher Floreſtan, ce n’est pas d’auiourd’huy Que vous ſçauez to bins que l’ay receus de luy, Ie vous l’ay dit cent fois, & vous le dis encore.	Mon cher frère, embrassez ce brave Cavalier, ex eût ie avy mon viens, mon honneur et ma vie, Secondez enfin vous prie en ce point mon envie, C'est ce cher Florestan, ce n'est pas d'aujourd'hui Que vous savez toujours bins que l'ai reçus de Seigneur, Je vous l'ai dit cent fois, et vous le dis encore.
FLORESTAN Pour teſmoigner combien ie l’ayme & ie l’honore, Ie veux premier qu’à vous luy rendre ce deuoir.	FLORÊTAN Pour témoigner combien ce l'aime et un l'honore, Je veux premier qu'à vous lui rendre ce devoir.
LICIDAS.	LICIDAS.
Voſtre vertu, Monſieur, s’eſt fait aſſez valoir Sans en cette action me la faire paroiſtre, Oüy par voſtre valeur ie vous deuois cognoiſtre, Mais vous m'excuſereZ puis que ie m'en repens.	Votre vertu, Monsieur, s'est fait assez valoir Sans en cette action me la faire paraître, Oui par votre valeur Dieux vous devais connaître, Mais vous m'excuserez puis que sans m'en repens.
FLORESTAN.	FLORÊTAN.
Ie n’ay que trop cognu la voſtre à mes deſpens, Car vous m’auez bleſſé.	Je n'ai que trop connu la vôtre à mes dépens, Car vous m'avez blessé.
LIZANDRE.	LIZANDRE.
Grands Dieux!	Grands Dieux!
ie deſeſpere.	Ne désespère.
Quoy!	Quoi!
vous eſtes bleſſé?	vous êtes blessé?
FLORESTAN.	FLORÊTAN.
La bleſſure est legere, Se miſt que dans la main.	La blessure est légère, Se mit que dans la main.
LICIDAS.	LICIDAS.
I'en demande pardon.	J'en demande pardon.
Monſieur, à deux genoüx	Monsieur, à deux genoüx
FLORESTAN.	FLORÊTAN.
Ah Dieux!	Ah Dieux!
que faites-vous?	que faites-vous?
LIZANDRE.	LIZANDRE.
Allons icy deuant penſer voſtrebleſſure.	Allons ici devant penser votreblessure.
FLORESTAN bas.	FLORÊTAN bas.
En entrant dans Paris, Dieux!	En entrant dans Paris, Dieux!
quel mauuais auQu'il me couste du ſang.	quel mauvais auQu'il me coûte du sang.
LICIDAS, bas.	LICIDAS, bas.
It fan au deſeſpoir, Que ce rencontre icy m'empeſche de ſçauoir Quel estoit cet object que ie voulois cognoiſtre.	It fan au désespoir, Que ce rencontre ici m'empêche de savoir Quel était cet object que tu voulais connaître.
CARRILLE bas.	CARRILE bas.
M'en doutois-je pas bien?	M'en doutais-je pas bien?
on a payé mon maiIl le meritoit bien pour auoir imité Ce fol de Don Quixote en ſa temerité.	on a payé mon maiIl le méritait bien pour avoir imité Ce fol de Don Quixote en sa témérité.
EN E ANGELIQVE.	EN E NGELIQUE.
ISABELLE.	ISABELLE.
ANGELIQVE.	ANGELIQUE.
Ste-moy promptement ces habits Iſabelle, ceuome-moy monueme, an:	Ste-moi promptement ces habits Isabelle, cuome-moi monume, an:
fortune cruelle, N’ay-je pas, miſerable, encor aſſez pleuré, Mais ſi mon ſort le veut prenons le tout en gré.	fortune cruelle, N'ai-je pas, misérable, encor assez pleuré, Mais si mon sort le veut prenons le tout en gré.
Faut-il m’enſeuelir tous les iours toute viue ?	Faut-il m'ensuelir tous les jours toute vive ?
ISABELLE.	ISABELLE.
De peſchez-vous auant que voſtre frere arriue, S’il a quelque ſoupçon de vous aſſeurément Vous luy confirmerez auec ce vestement, Qu'en l'hoſtel de Bourgongne il vous a tantoſt veuë, Car quand vous iureriez vous ne ſerieZ point creuë.	De pêchez-vous avant que votre frère arrive, S'il a quelque soupçon de vous assurément Vous lui confirmerez avec ce vêtement, Qu'en l'hôtel de Bourgongne il vous a tantôt vue, Car quand vous jureriez vous ne serieZ point cruue.
ANGELIQVE.	ANGELIQUE.
N’eſt-ce pas grand pitié de me voir ſans raiſon Tous les iours enfermée au fonds d’vne maiſon, Où meſme le Soleil ne m’y peut voir qu’à peine, C’eſt vne cruauté certes trop inbumaine, A Eſtant vefue i’ay creu me voir en liberté, Mais on me traitte auec bien plus d’austeritéa Ie n'auois qu’vn mary, maintenant i'ay deux freres, Qui plus qu’il ne m’estoit, cent fois me ſont ſeueres, Inuentans tous les iours mille nouueaux tourmens, Pour priuer mon eſprit de tous contentemens.	N'est-ce pas grand pitié de me voir sans raison Tous les jours enfermée au fonds d'une maison, Où même le Soleil ne m'y peut voir qu'à peine, C'est quelque cruauté certes trop inbumaine, A Estant vue j'ai cru me voir en liberté, Mais on me trai auec bien plus d'austerité Je n'avais qu'un mari, maintenant j'ai deux frères, Qui plus qu’il ne m'était, cent fois me sont sévères, Inuentans tous les jours mille nouveaux tourments, Pour priver mon esprit de tous contentements.
