A ORLEANS,	À ORLEANS,
& comme vous ſçavez, Monſieur, fille qui écoute & Ville qui parlemente, ſont à demy renduës.	et comme vous savez, Monsieur, fille qui écoute et Ville qui parlemente, sont à demi rendues.
Leandie.	Léandie.
Je ne vais pas ſi viſte auprés d’Iſabelle, & je n’en ſuis encore qu’aux tendreſſes reſpectueuſes.	Je ne vais pas si vite auprès d'Isabelle, et je n'en suis encore qu'aux tendresses respectueuses.
Frontin.	Frontin.
Parbleu, Monſieur, j’ay plus battu de païs que vous, & nous en ſommes déja Marthon & moy au tutaiſment.	Parbleu, Monsieur, j'ai plus battu de pays que vous, et nous en sommes déjà Marthon et moi au tutaisment.
Leandre.	Léandre.
Acheve Frontin, & tâche par tes ſoins à ſçavoir d’elle, ſi la famille de ſa Maîtreſſe eſt telle que nous pouvons le ſouhaiter, & ſi ſon bien.	Acheve Frontin, et tâche par tes soins à sçavoir d'elle, si la famille de sa Maîtresse est telle que nous pouvons le souhaiter, et si son bien.
Frontin.	Frontin.
Ah, Monſieur, auriez-vous la conſcience d’en vouloir venir à cét éclairciſſement?	Ah, Monsieur, auriez-vous la conscience d'en vouloir venir à cet éclaircissement?
Leandre.	Léandre.
Pourquoy non.	Pourquoi non.
Frontin.	Frontin.
Quoy, Monſieur, vous pourriez avoir la curioſité de ſçavoir ce qu’elle eſt, lors que vous avez la dureté de luy cacher avec tant de ſoin ce que vous eſtes.	Quoi, Monsieur, vous pourriez avoir la curiosité de savoir ce qu'elle est, lors que vous avez la dureté de Roi cacher avec tant de soin ce que vous êtes.
Leandre.	Léandre.
Eh que veux tu que je faſſe, Frontin, ſi la naiſſance ſuffiſoit pour ſe faire un merite auprés des Dames, peut-être auroisje moins de reſerve:	Eh que veux tu que je fasse, Frontin, si la naissance suffisait pour se faire un mérite auprès des Dames, peut-être aurais moins de réserve:
mais comme le bien fait toute la nobleſſe d’a cette heure, & que je ne brille pas par cét endroit, je veux acquerir toute fa tendreſſe, avant qu’elle ſcache que je ne ſuis que Gentilhomme & Capitaine de Dragons.	mais comme le bien fait toute la noblesse d'a cette heure, et que je ne brille pas par cet endroit, je veux acquérir toute fa tendresse, avant qu'elle sache que je ne suis que Gentilhomme et Capitaine de Dragons.
Frontin.	Frontin.
Oüi da, oüi da, il ſemble qu’un Dragon n’eſt pas né pour eſtre un martyr d’amour, & que les filles & les femmes ne ſont pas plus en ſureté avec luy, que les poules & les dindons.	Oui da, oui da, il semble qu'un Dragon n'est pas né pour être un martyr d'amour, et que les filles et les femmes ne sont pas plus en fureté avec lui, que les poules et les dindons.
Leandre.	Léandre.
Ne vois-je pas Iſabelle, Frontin?	Ne vois-je pas Isabelle, Frontin?
Frontin.	Frontin.
Non, Monſieur, c’eſt la ſpirituelle Aminte, & l’enjoüée Cidaliſe.	Non, Monsieur, c'est la spirituelle Aminte, et l'enjouée Cidalise.
Leandre.	Léandre.
rendez vous, qui m’eſt donné dans c le lieu,	rendez -vous, qui m'est donné dans ç le lieu,
SCENE II.	SCÈNE II.
Aminte, Cidaliſe, Leandre, Frontin.	Aminte, Cidalise, Léandre, Frontin.
Aminte.	Aminte.
S-tu bien feuilleté tes tablettes ma A chere, & n’avons nous point de meilleure beſogne aujourd’huy, que de deerunen ces truis unlimaux là ?	S-tu bien feuilleté tes tablettes ma À chère, et n'avons nous point de meilleure besogne aujourd'hui, que de deerunen ces truis unlimaux là ?
Cidaliſe.	Cidalise.
He, ma petite, ſommes-nous daps la ſaiſon des délicateſſes, & l abſence des Officiers nous laiſſe-t-elle en liberté du choix?	He, ma petite, sommes-nous daps la saison des délicatesses, et l absence des Officiers nous laisse-elle en liberté du choix?
Aminte.	Aminte.
Ah, mon aimable, on n’eſt point en ſterilité de beau monde, la guerre ne nous a pas tout enlevé, & voila encore Leandre.	Ah, mon aimable, on n'est point en stérilité de beau monde, la guerre ne nous a pas tout enlevé, et voilà encore Léandre.
Leandre.	Léandre.
Mes Dames, je ſuis vôtre tres-humble Serviteur.	Mes Dames, je suis votre très-humble Serviteur.
Cidaliſe.	Cidalise.
C’eſt vous Leandre, je vous croyois coſtoyant la Meuſe, fourageant la Lys, reſpirant le Rhin, traverſant la plaine, ou eſſuyant les mouches gueſpes de la Catadogne.	C'est vous Léandre, je vous croyais côtoyant la Meuse, fourageant la Lys, respirant le Rhin, traversant la plaine, ou essuyant les mouches guêpes de la Catadogne.
.	.
.	.
3	3
Frontin.	Frontin.
Nous n’en ſommes encore qu’aux Thuilleries, mes Dames, comme vous voyez.	Nous n'en sommes encore qu'aux Thuilleries, mes Dames, comme vous voyez.
Leandre.	Léandre.
Une petite affaire m’arreſte icy pour quelques jours.	Une petite affaire m'arrête ici pour quelques jours.
Aminte.	Aminte.
Seriez-vous d’humeur, Leandre, à me débaraſſer d’une partie d’ennuy où Cidaliſe vient de m’engager, avec trois petits Meſſieurs, qui ſont les plus fatiguants hors d’œuvres que je connoiſſe?	Seriez-vous d'humeur, Léandre, à me débarrasser d'une partie d'ennui où Cidalise vient de m'engager, avec trois petits Messieurs, qui sont les plus fatiguant hors d'œuvres que je connaisse?
Leandre.	Léandre.
Que faudroit-il faire pour cela, Madame?	Que faudrait-il faire pour cela, Madame?
Aminte.	Aminte.
Il ne vous coûteroit qu’un caroſſe de remiſe, quelques places à la Comedie, & un leger repas à S.	Il ne vous coûterait qu'un carosse de remise, quelques places à la Comédie, et un léger repas à S.
Cloud.	Cloud.
Leandre.	Léandre.
Ma foy pour le preſent.	Ma foi pour le présent.
Frontin.	Frontin.
Y ſongez-vous, Madame?	Y songez-vous, Madame?
propoſer un coupe gorge de cette nature, à un Officier ſubalterne, qui eſt ſur ſon départ, encore.	proposer un coupe gorge de cette nature, à un Officier subalterne, qui est sur son départ, encore.
Cidaliſe.	Cidalise.
Ce ſeroit conſcience;	Ce serait conscience;
mais faiſons mieux, mettons-le de la partie, ſa preſence en diſſipera l’ennuy, & ces Meſſieurs ne nous en dédirons pas, je penſe.	mais faisons mieux, mettons-le de la partie, sa présence en dissipera l'ennui, et ces Messieurs ne nous en dédirons pas, je pense.
Frontin.	Frontin.
Ah, voila une propoſition raiſonnable, due dai	Ah, voilà une proposition raisonnable, due dai
Leandre.	Léandre.
Et qui ſont ces Meſſieurs, qui ſe mettent en n granui Hais d’ennuy ?	Et qui sont ces Messieurs, qui se mettent en n granui Hais d'ennui ?
Aminte.	Aminte.
L’un eſt le petit de la Rouſquaille.	L'un est le petit de la Rousquaille.
Frontin.	Frontin.
Quoy ce jeune évaporé, petit fils d’un entaneur d'arferages;	Quoi ce jeune évaporé, petit fils d'un entaneur d'arferages;
qui n’a pas encore achevé ſon Cours de Droit, & que l’on voit quitter la plume, au ſortir de l'Ecolle, pour en arborer ſon chapeau aux Thuil	qui n'a pas encore achevé son Cours de Droit, et que l'on voit quitter la plume, au sortir de l'Écolle, pour en arborer son chapeau aux Thuil
leries.	leries.
Aminte.	Aminte.
Luy-même, il ſe jette à corps perdu dans le beau monde, & il en compte à Madame pour s’y donner un bruïant relief.	Lui-même, il se jette à corps perdu dans le beau monde, et il en compte à Madame pour s'y donner un bruayant relief.
Leandre.	Léandre.
Je vous le recommande, Madame, ſon pere eſt de mes amis.	Je vous le recommande, Madame, son père est de mes amis.
Frontin.	Frontin.
Oüi, il nous avance obligeamment la moitié de nos appointemens, & ne s’en reſerve que l’autre par honneſteté.	Oui, il nous avance obligeamment la moitié de nos appointements, et ne s'en réserve que l'autre par honnêteté.
Cidaliſe.	Cidalise.
L’autre eſt le coſtique Marcou, eſpece de diſeur de bons mots, qui s’attache à Madame, pour médire de compagnie.	L'autre est le côtique Marcou, espèce de diseur de bons mots, qui s'attache à Madame, pour médire de compagnie.
Frontin.	Frontin.
Mal-peſte, c’eſt une façon de Commiſſaire des vivres, Gentilhomme de race poulailliere, qui diſcerne du nez le gibier leuſement bien poularde.	Mal-peste, c'est une façon de Commissaire des vivres, Gentilhomme de race poulaillière, qui discerne du nez le gibier leusement bien poularde.
Il renferme dans ſa perſonne tout un plat de Roſt.	Il renferme dans sa personne tout un plat de Rôt.
Aminie.	Aminie.
Nous avons encore Tiermilieu le propret.	Nous avons encore Tiermilieu le propret.
Frontin.	Frontin.
Cét échapé de Greffier, beau fils de profeſſion, galant d’attache, & tres-peu ménager de fleurettes.	Cet échappé de Greffier, beau fils de profession, galant d'attache, et très-peu ménager de fleurettes.
Cidaliſe.	Cidalise.
Juſtement.	Justement.
Il les débites à poignées, & en à toûjours de reſerve pour les premieres venuës.	Il les débites à poignées, et en a toujours de réserve pour les premières venues.
Leandre.	Léandre.
Mais vrayment, Madame, je ne vois pas par ou on peur s'ennuyer avec ces originaux-là.	Mais vraiment, Madame, je ne vois pas par ou on peur s'ennuyer avec ces originaux-là.
Frontin.	Frontin.
Si ces Dames n’y trouvent pas du divertiſſement, ce ne ſera pas la faute du ridicule des conviez.	Si ces Dames n'y trouvent pas du divertissement, ce ne sera pas la faute du ridicule des conviés.
Leandre.	Léandre.
Et voila ce qui fait vôtre beau monde	Et voilà ce qui fait votre beau monde
Aminte.	Aminte.
Oh Leandre, nous en avons ſur nos tablettes de frapez au bon coin, & nous ne ſommes pas toûjours dans la bourbe.	Oh Léandre, nous en avons sur nos tablettes de frappés au bon coin, et nous ne sommes pas toujours dans la bourbe.
Fiontin.	Fiontin.
Qu’appellez vous la bourbe, Madame, il y a des gens qui en ſcavent ſortir quand il leur plaît, & je connois plus de vingt Courtauts, qui ſont gens de condition, au moins trois jours de la ſemaine.	Qu'appelez -vous la bourbe, Madame, il y a des gens qui en savent sortir quand il leur plaît, et je connais plus de vingt Courtauts, qui sont gens de condition, au moins trois jours de la semaine.
Cidaliſe.	Cidalise.
Il en eſt de toutes les eſpeces, que nous laiſſons s’épuiſer en mines pendant l’hyver, & que nous conſommons en frais durant l été.	Il en est de toutes les espèces, que nous laissons s'épuiser en mines pendant l'hiver, et que nous consommons en frais durant l été.
Aminte.	Aminte.
Soyons-nous ſur ces bans, nous y examinerons la liſte des aſpirans à nos bonnes graces, & vous verrez, Leandre que nous ne ſommes pas encore ſi délaiſſées.	Soyons-nous sur ces bans, nous y examinerons la liste des aspirants à nos bonnes grâces, et vous verrez, Léandre que nous ne sommes pas encore si délaissées.
Frontin, bas à Leandre.	Frontin, bas à Léandre.
Vous ne ſongez pas, que l’heure du rendez vous approche, & qu’Iſabelle vous ſurprendra avec ces Dames.	Vous ne songez pas, que l'heure du rendez vous approche, et qu'Isabelle vous surprendra avec ces Dames.
Leandre, haut.	Léandre, haut.
Tuas raiſon.	Tuas raison.
Paſſons plûtôt dans la belle allée, mes Dames, nous y verrons le grand monde.	Passons plutôt dans la belle allée, mes Dames, nous y verrons le grand monde.
Cidaliſe.	Cidalise.
Le grand monde.	Le grand monde.
Oüi, Oüi le grand monde, ceſt mon charme.	Oui, Oui le grand monde, cet mon charme.
Aminte.	Aminte.
Allons, auſſi-bien j’ay beſoin de me purger d’une repletion de médiſance.	Allons, aussi-bien j'ai besoin de me purger d'une réplétion de médisance.
Leandri.	Léandri.
Attend icy, & dés qu’Iſabelle ſera venuë, tu viendras m’avertir.	Attend ici, et dès qu'Isabelle sera venue, tu viendras m'avertir.
SCENE III.	SCÈNE III.
FRONTIN, MARTHON.	FRONTIN, MARTHON.
Frontin.	Frontin.
E ne ſeray pas long-tems en ſentinelle, TJe vois dés-ja venir Marthon.	E ne serai pas longtemps en sentinelle, TJe vois déjà venir Marthon.
Marthon, Bon jour Frontin.	Marthon, Bon jour Frontin.
Frontin.	Frontin.
Serviteur Marthon.	Serviteur Marthon.
Marthon.	Marthon.
Ou eſt ton Maître?	Ou est ton Maître?
Frontin.	Frontin.
Que fait ta Maîtreſſe?	Que fait ta Maîtresse?
La voila.	La voilà.
Marthon.	Marthon.
SCENE TV.	SCÈNE TU.
Iſabelle, Frontin, Marthon.	Isabelle, Frontin, Marthon.
Frontin.	Frontin.
H, Madame, mon Maître vous atA tendoit icy, & il y ſeroit encore, ſans deux avanturieres qui ſont venuës l’interrompre, & avec qui il eſt allé faire un tour de grande allée pour les éloigner, mais je vais l’avertir que vous y eſtes, & vous le verrez dans peu.	H, Madame, mon Maître vous atA tendait ici, et il y serait encore, sans deux aventurières qui sont venues l'interrompre, et avec qui il est allé faire un tour de grande allée pour les éloigner, mais je vais l'avertir que vous y êtes, et vous le verrez dans peu.
SCENE V.	SCÈNE V.
ISABELLE, MARTHON.	ISABELLE, MARTHON.
Iſabelle.	Isabelle.
A Marthon, ou m’amenez vous, & Al que viens-je faire icy?	À Marthon, ou m'amenez vous, et Al que viens-je faire ici?
Marihon.	Marihon.
Vous y venez voir un homme qui vous aime, & que vous ne haiſſez pas;	Vous y venez voir un homme qui vous aime, et que vous ne haïssez pas;
voyez le grand malheur.	voyez le grand malheur.
Iſabelle.	Isabelle.
Eſt-il de la bien-ſeance que je le voye, quand mon Oncle vient de m’engager à un autre.	Est-il de la bienséance que je le voie, quand mon Oncle vient de m'engager à un autre.
Marthon.	Marthon.
Mais cét autre, l’aimerez.	Mais cet autre, l'aimerez.
vous quand vous le connoiſtrez?	Vous quand vous le connaîtrez?
Iſabelle.	Isabelle.
Quel qu’il ſoit, Marthon, je ſens bien que je n’aimeray jamais que Leandre.	Quel qu'il soit, Marthon, je sens bien que je n'aimerai jamais que Léandre.
Marthon.	Marthon.
Eh bien donc, venez prendre des meſures avec ce Leandre, que vous aimerez toûjours, pour vous arracher à cét inconnu que vous n’aimerez jamais.	Eh bien donc, venez prendre des mesures avec ce Léandre, que vous aimerez toujours, pour vous arracher à cet inconnu que vous n'aimerez jamais.
Iſabelle.	Isabelle.
Mais mon Oncle, Marthon, tu ſcay comme il eſt entier dans ſes reſolutions.	Mais mon Oncle, Marthon, tu sais comme il est entier dans ses résolutions.
Marthon.	Marthon.
Imitez-le, Madame, & ſoyez ferme dans les vôtres.	Imitez-le, Madame, et soyez ferme dans les vôtres.
Il n’eſt que vôtre Oncle, une fois, & vous luy devez moins d’obeïſſance qu’à un Pere.	Il n'est que votre Oncle, une fois, et vous lui devez moins d'obéissance qu'à un Père.
Iſabelle.	Isabelle.
Que je ſuis malheureſe!	Que je suis malheures!
Marthon.	Marthon.
Oüi, parce que vous êtes aſſez ſotte pour vouloir l’eſtre.	Oui, parce que vous êtes assez sotte pour vouloir l'être.
Iſabelle.	Isabelle.
Que veux-tu que je faſſe Marthon?	Que veux-tu que je fasse Marthon?
Marton.	Marton.
Je veux que vous partiez & que vous di	Je veux que vous partiez et que vous di
ſiez franchement à Leandre qui vous êtes.	siez franchement à Léandre qui vous êtes.
Ah Marthon.	Ah Marthon.
Iſabelle.	Isabelle.
Marthon Ah tout eſt perdu!	Marthon Ah tout est perdu!
Leandre ſcaura que vous eſtes fille du feu Partiſan Picard, niéce de Monſieur de la Brie & à ces noms il connoiſtra la ſource de vôtre nobleſſe.	Léandre saura que vous êtes fille du feu Partisan Picard, nièce de Monsieur de la Brie et à ces noms il connaîtra la source de votre noblesse.
Eh, mort de ma vie, ſommes nous dans le temps des ſcrupules, eſt-ce que Ia fortune ne boulverſe pas toutes choſes?	Eh, mort de ma vie, sommes nous dans le temps des scrupules, est-ce que Ia fortune ne boulverse pas toutes choses?
L’épée, la plume, le inanteau, la mandille, peſle meſle ſont boulverſez.	L'épée, la plume, le inanteau, la mandille, pèle mêle sont bouleversez.
L hon.	L hon.
neſte homme tombe dans la pauvreté, le ſcelerat s’éleve aux dignitez, le Maître devient valet, le valet devient Maître, c’eſt un boulverſement perpetuel, & vos parens ne ſont pas les ſeuls qui ſe boulvariſent.	nette homme tombe dans la pauvreté, le scélérat s'élève aux dignités, le Maître devient valet, le valet devient Maître, c'est un boulversement perpétuel, et vos parents ne sont pas les seuls qui se boulvarisent.
Iſabelle.	Isabelle.
Mais Marthon, crois-tu que la naiſſance de Leandre puiſſe me ſervir d excuſe auprés de mon Oncle, & ſçavonsnous quelle eſt cette naiſſance?	Mais Marthon, crois-tu que la naissance de Léandre puisse me servir d excuse auprès de mon Oncle, et savonsnous quelle est cette naissance?
M arihon.	M Mihon.
C’eſt ce qui n’eſt pas difficile à ſçavoir.	C'est ce qui n'est pas difficile à savoir.
Son valet me regarde de bon œil, & je ne mettray pas long-temps à voir dans ſon cœur.	Son valet me regarde de bon œil, et je ne mettrai pas longtemps à voir dans son cœur.
Iſabelle.	Isabelle.
Marthon.	Marthon.
Ne vous impatientez-pas, voicy Monſeur Tiermilieu, qui va vous aider à ſupmiuaſon abſence.	Ne vous impatientez-pas, voici Monsieur Tiermilieu, qui va vous aider à supmivason absence.
Quel eſt-il?	Quel est-il?
Iſabelle.	Isabelle.
Marthon.	Marthon.
C’eſt un petit Maître d’Eté dés plus accomplis, dont le plus grand employ eſt de tenir regiſtre des belles à qui il en compte, vous en allez groſſir le calcul.	C'est un petit Maître d'Eté dès plus accomplis, dont le plus grand emploi est de tenir registre des belles à qui il en compte, vous en allez grossir le calcul.
Iſabelle.	Isabelle.
Allons-nous-en, je ne ſuis pas d’humeur à l’entendre.	Allons-nous-en, je ne suis pas d'humeur à l'entendre.
Marthon	Marthon
Mais vous manquerez Leandre, contraignez vous juſqu’à ſa venuë, & vous rejoüiſſez de ce galant banal, c’eſt la douceur meſme.	Mais vous manquerez Léandre, contraignez -vous jusqu'à sa venue, et vous réjouissez de ce galant banal, c'est la douceur même.
SCENEVI.	SCENEVI.
Tiermilieu, Iſabelle, Marthon.	Tiermilieu, Isabelle, Marthon.
Tiermilieu.	Tiermilieu.
A belle perſonne, la belle perſonne.	À belle personne, la belle personne.
LHe d’où tombe t'elle?	LHe d'où tombe t'elle?
Quel Royaume, quelle Province, quelle Ville a donné la lumiere à toutes les graces enſemble.	Quel Royaume, quelle Province, quelle Ville a donné la lumière à toutes les grâces ensemble.
Eh d’où vient que je ne la connois pas.	Eh d'où vient que je ne la connais pas.
Marthon.	Marthon.
Cette belle perſonne eſt pourtant d’une petite Ville qu’on appelle Paris, & elle y a pris naiſſance ſur les confins du Marais.	Cette belle personne est pourtant d'une petite Ville qu'on appelle Paris, et elle y a pris naissance sur les confins du Marais.
Tiermilieu.	Tiermilieu.
Du Marais;	Du Marais;
Du Marais!	Du Marais!
Ce beau quartier!	Ce beau quartier!
Quel prodige l’a derobé à ma vûë.	Quel prodige l'a derobé à ma vue.
Martnon.	Martnon.
C’eſt une pauvre enfant qui a toûjours eſté élevée ſous la tutelle d'une petité dragonne nomee vertu, qui ne luy a jamais voulu permettre d’eſtre du nombre de celles que vous avez paragrafées.	C'est une pauvre enfant qui a toujours esté levée sous la tutelle d'une petité dragonne nome vertu, qui ne lui a jamais voulu permettre d'être du nombre de celles que vous avez paragrafées.
Iſabelle.	Isabelle.
Que tu eſt folle.	Que tu est folle.
Tiermilieu.	Tiermilieu.
Il faut eſtre de ce monde, Madame, il faut eſtre de ce monde, & je m’offre volontiers à vous y perfectionner.	Il faut être de ce monde, Madame, il faut être de ce monde, et je m'offre volontiers à vous y perfectionner.
Iſabelle.	Isabelle.
Vous auriez trop de peine, Monſieur, & l’écoliere ne merite point l’attention du Maître.	Vous auriez trop de peine, Monsieur, et l'écolière ne mérite point l'attention du Maître.
Tiermilieu.	Tiermilieu.
De l’eſprit, ah, ah, s’il brille, étant brure que ſera t’il, mis en œuvre.	De l'esprit, ah, ah, s'il brille, étant brure que sera t'il, mis en œuvre.
Marthon.	Marthon.
Il ne jettera jamais tant de feux que le B iij diamant que vous portez au doigt.	Il ne jettera jamais tant de feux que le B ijà diamant que vous portez au doigt.
Tiermilieu.	Tiermilieu.
Voyez vous, voyez vous.	Voyez -vous, voyez -vous.
Marthon.	Marthon.
Oüi, oüi, Monſieur, on voit bien que vous vous gratez ou il ne vous démange pas.	Oui, oui, Monsieur, on voit bien que vous vous gratez ou il ne vous démange pas.
Tiermilieu.	Tiermilieu.
Elle eſt penetrante, elle eſt penetrante.	Elle est pénétrante, elle est pénétrante.
Marthon.	Marthon.
Admirez-donc le diamant de Monſieur, Madame, & ne luy faites pas perdre ſon étalage.	Admirez-donc le diamant de Monsieur, Madame, et ne te faites pas perdre son étalage.
Iſabelle.	Isabelle.
Allons-nous-en.	Allons-nous-en.
Tiermilieu.	Tiermilieu.
C’eſt un des plus parfaits qui ſoit ſorty de chez la le Brun.	C'est un des plus parfaits qui soit sorti de chez la le Brun.
Je ſuis aſſez content du marché qu’elle m’en a fait.	Je suis assez content du marché qu'elle m'en a fait.
Marthon.	Marthon.
Vous le devez, Monſieur, vous le de	Vous le devez, Monsieur, vous le de
vez.	vez.
Tiermilieu.	Tiermilieu.
Ils ſont une douzaine de marchands qui font vanité de ma pratique.	Ils sont une douzaine de marchands qui font vanité de ma pratique.
Marthon.	Marthon.
Il vous en revient bien du merite, & ces Meſſieurs y travaillent en partie.	Il vous en revient bien du mérite, et ces Messieurs y travaillent en partie.
Tiermilieu.	Tiermilieu.
Il ne tiendra pas à moy, que Madame 2e c’apperçoive du credit que j’y ay.	Il ne tiendra pas à moi, que Madame 2e c'aperçoive du crédit que j'y ai.
Aſabelle.	Asabelle.
am Tiermilieu.	am Tiermilieu.
Elle eſt de ſeche converſation, la petite perſonne.	Elle est de sèche conversation, la petite personne.
Maribon.	Maribon.
Monſieur, vôtre ſervante.	Monsieur, votre servante.
Tiermilieu.	Tiermilieu.
Ecoute, ma chere, je ſuis un homme à loüis, & il m’en paſſe quelques-uns par les mains.	Écoute, ma chère, je suis un homme à louis, et il m'en passe quelques-uns par les mains.
Maribon,	Maribon,
Je croy qu’il ny en demeure guere.	Je crois qu'il rien en demeure guère.
Tiermilieu.	Tiermilieu.
vona un petit cœr entouré de ronces, mais je le défricheray, je le défricheray.	vonce un petit cœr entouré de ronces, mais je le défricherai, je le défricherai.
SCENE VII.	SCÈNE VII.
Leandre, Frontin, Tiermilieu.	Léandre, Frontin, Tiermilieu.
Leandre.	Léandre.
E ne la vois point, Fontin.	E ne la vois point, Fontin.
T Frontin.	T Frontin.
Ma foy.	Ma foi.
Monſieur, pendant que vous battiez les buiſſons dans la grande allée.	Monsieur, pendant que vous battiez les buissons dans la grande allée.
les oyſeaux ſe ſont envolez.	les oiseaux se sont envolés.
Tiermilieu.	Tiermilieu.
Il faut que je la ſuive, &.	Il faut que je la suive, et.
mais voicy un Officier qui m’a toute la mine de luy en vouloir.	mais voici un Officier qui m'a toute la mine de Seigneur en vouloir.
Eſt-ce qu’il y a encore des Officiers à Paris.	Est-ce qu'il y a encore des Officiers à Paris.
Frontin.	Frontin.
Voila Monſieur de Tiermilieu qui pourra nous en dire des nouvelles.	Voilà Monsieur de Tiermilieu qui pourra nous en dire des nouvelles.
Tiermilieu.	Tiermilieu.
Hyver & Eté, je trouve toûjours de ces gens là en mon chemin.	Hiver et Été, je trouve toujours de ces gens là en mon chemin.
Frontin.	Frontin.
N’auriez-vous point vû, Monſieur, par hazard une Dame.	N'auriez-vous point vu, Monsieur, par hasard une Dame.
Tiermilieu.	Tiermilieu.
Un peu, un peu, elle vient de me quitter, & s’en va de ce coſté-là.	Un peu, un peu, elle vient de me quitter, et s'en va de ce côté-là.
Leandre.	Léandre.
Regarde, Frontin, ſi tu ne vois point.	Regarde, Frontin, si tu ne vois point.
Frontin.	Frontin.
Je vois, oüi, je vois Moſieur voſtre pere, ou je ſuis fort trompé.	Je vois, oui, je vois Mosieur votre père, ou je suis fort trompé.
SCENE VIII.	SCÈNE VIII.
Leandre, Geronte, Frontin.	Léandre, Géronte, Frontin.
Leandre.	Léandre.
V’Eſt luy-meſme.	V'Est Seigneur-même.
Ah mon pere, vous A m’aviez mandé que vous ne ſerien	Ah mon père, vous A m'aviez mandé que vous ne serien
icy que demain.	ici que demain.
Geronte.	Géronte.
