I ARGVMENT.	I JRGUMENT.
l'ay fait ce que i’ay peu, pour conſeruer ma vie	l'ai fait ce que j'ai peu, pour conserver ma vie
Exempte des ennuis qui nous cauſe l'enuie:	Exempte des ennuis qui nous cause l'envie:
Et l’on n'a point connu parmy tous les humains Vn ſeul qui peut reprendre, ou mes mœurs, ou mes mains:	Et l'on n'a point connu parmi tous les humains Un seul qui peut reprendre, ou mes mœurs, ou mes mains:
Le crime que l’on peut me reprocher au monde Eſt que ma paßion ſe trouue ſans ſeconde;	Le crime que l'on peut me reprocher au monde Est que ma passion se trouve sans seconde;
Que i’ayme Calirie, & que i'aymerois mieux Perdre l’obiect du iour que celuy de ſes yeux.	Que j'aime Calirie, et que j'aimerais mieux Perdre l'object du jour que celui de ses yeux.
Mais eſt-ce vn crime, ô Dieux!	Mais est-ce un crime, ô Dieux!
que d’aymer vos ouurages.	que d'aimer vos ouvrages.
Et d’adorer en eux vos diuins aduantages;	Et d'adorer en eux vos divins avantages;
Non, ie ſçay que le Ciel, & toutes ſes clartés Qui de nuict & de iour nous mõſtrẽt leurs beautés Sont œuures de vos mains, pour noſtre ſeul Jeruice, Et que de les aymer ne fuſt iamais vn vice, Et pour ceſte raiſon, i'ay creu que ie pouuois Soûmettre mon eſprit aux amoureuſes lois, Pue faus rous offencer, i'auois rendu les armes A l’ouurage diuin, dont i’adore les charmes.	Non, Seigneur sais que le Ciel, et toutes ses clartés Qui de nuit et de jour nous mõstrẽt leurs beautés Sont œuvres de vos mains, pour notre seul Jerce, Et que de les aimer ne fût jamais un vice, Et pour cette raison, j'ai cru que sans pouvais Soumettre mon esprit aux amoureuses lois, Pue faus rous offenser, j'avais rendu les armes A l'ouvrage divin, dont j'adore les charmes.
Cependant auiourd’huy ie ne ſuis malheureux Que pour eſtre preßé d’vn deſir amourenx.	Cependant aujourd'hui jour ne suis malheureux Que pour être pressé d'un des amourenx.
S’il faut que mon Amour vous ſoit de ſagréable, Puniſſez de la mort cét Amant miſerable:	S'il faut que mon Amour vous soit de sagréable, Punissez de la mort cet Amant misérable:
Car la vie außsi bien en l’eſtat où ie ſuis A fait mourir ma ioye, & nourrit mes ennuis.	Car la vie aussi bien en l'état où tu suis A fait mourir ma joie, et nourrit mes ennuis.
Ie me trauaille en vain, les Dieux ſont ſans oreilles, Et ne s’eſmeuuent point pour des choſes pareilles, Lors que leur prouidence a donné ſes decrets, Il nous eſt defendu d’en ſçauoir les ſecrets:	Je me travaille en vain, les Dieux sont sans oreilles, Et ne s'esmeuuent point pour des choses pareilles, Lors que leur providence a donné ses décrets, Il nous est défendu d'en savoir les secrets:
Ie n’ay pas toutesfois grand ſujet de me plaindre, Calirie aime Oronte, & ie ne dois rien craindre, Elle m’a teſmoigné que ſon bel œil vainqueur Ne me promettoit rien qu'elle n'euſt dans ſe cœur, Et depuis le long temps que i'adore ſa grace, I’ay trouué de l’ardeur, les autres de laglace.	Je n'ai pas toutefois grand sujet de me plaindre, Calirie aime Oronte, et atte lasse rien craindre, Elle m'a témoigné que son bel œil vainqueur Ne me promettait rien qu'elle n'eût dans se cœur, Et depuis le long temps que j'adore sa grâce, J'ai trouvé de l'ardeur, les autres de laglace.
Mais durant cét amour i’apprehende vn malheur, Alidor en mourant me cache ſa douleur.	Mais durant cet amour j'appréhende un malheur, Alidor en mourant me cache sa douleur.
Les ſoins des Medecins n'eſt que peine pérdué, Sa gueriſon n'eſt plus de leurs mains attendué, C’eſt en vain tous les iours qu’ils viennent pour le voir, La grandeur de ſon mal ſurpaſſe leur ſçauoir,	Les soins des Médecins n'est que peine pérdué, Sa guérison n'est plus de leurs mains attendué, C'est en vain tous les jours qu'ils viennent pour le voir, La grandeur de son mal surpasse leur savoir,
Ie me doute pourtant d’où vient ſa maladie, Et qu’il mourra bien toſt ſi ie n’y remedie, Ses ſouspirs ſi frequents, & ſes trãſports d’esprit, Alors que Calirie approche de ſon lit Me font iuger qu'il aime, & qu’il cache dãs l’ame, De peur de m'offenſer ſon amoureuſe flame.	Je me doute pourtant d'où vient sa maladie, Et qu'il mourra bien tôt si apprendre n'y remédie, Ses soupirs si fréquents, et ses transports d'esprit, Alors que Calirie approche de son lit Me font juger qu'il aime, et qu'il cache dans l'âme, De peur de m'offenser son amoureuse flamme.
Que feray-ie, Alidor mourra t’il ſans ſecours, Parce qu’il tient ſecret l’objet de ſes amours?	Que ferai-je, Alidor mourra -t-il sans secours, Parce qu'il tient secret l'objet de ses amours?
Que ſa diſcretion retient dans ſa penſee Le nom de ſa beauté dont ſen ame eſt bleſſee.	Que sa discrétion retient dans sa pensée Le nom de sa beauté dont sen âme est blessée.
Non, non, auparauant que de les voir mourir, Aux despens de ma flame il le faut ſecourir:	Non, non, auparavant que de les voir mourir, Aux dépens de ma flamme il le faut secourir:
Mais voicy noſtre amy de qui l’experience Des plus grands Medecins ſurpaſſe la ſcience:	Mais voici notre ami de qui l'expérience Des plus grands Médecins surpasse la science:
Qui depuis quelques iours ſe tient auprés de luy, Pour ſçauoir le ſujet de ſon cruelennuy.	Qui depuis quelques jours se tient auprès de lui, Pour sçauoir le sujet de son cruelennui.
Et bien, qu'auez-vous faict, auez-vous peu cognoiſtre, D'où ſa melancolie, & ſon mal peuuent naiſtre.	Et bien, qu'avez-vous fait, avez-vous peu connaître, D'où sa mélancolie, et son mal peuvent naître.
ACTE PREMIER.	ACTE PREMIER.
SCENE II.	SCÈNE II.
LE MEDECIN.	LE MÉDECIN.
ORONTE.	ORONTE.
LE MEDECIN.	LE MÉDECIN.
Vy ie l’ay recogneu, en le peut ſoulager, Courueu que Calirie en oſte le danger.	Vi ici l'ai reconnu, en le peut soulager, Couru que Calirie en ôte le danger.
JRONTE.	JRONTE.
Et comment Calirie a-t'elle ſon remede.	Et comment Calirie a-t'-elle son remède.
LE MEDECIN.	LE MÉDECIN.
Si on veut le ſauuer, il faut qu’il l’a poſſede, Son mal eſt dans l’eſprit, ceſte ieune beauté, Par ſes diuins appas altere ſa ſanté, Il l’aime, & ſon amour a quelque retenuë, L° 2- - -- A iij Qui difficilement me peut eſtre cogneuë:	Si on veut le sauver, il faut qu'il l'a possède, Son mal est dans l'esprit, cette jeune beauté, Par ses divins appas altère sa santé, Il l'aime, et son amour a quelque retenue, L 2-à --- A jij Qui difficilement me peut être connue:
Elle l’allegera de ſon ſeul entretien.	Elle l'allégera de son seul entretien.
Adien.	Adien.
ORONTE ſeul.	ORONTE seul.
T’ay-i employé pour m'arracher mon bien.	T'ai-y employé pour m'arracher mon bien.
Tu gueris Alidor, & contre ton enuie Tu m'annonces la mort en luy donnant la vie:	Tu guéris Alidor, et contre ton envie Tu m'annonces la mort en porte donnant la vie:
Tu m’oſtes Calirie, eſt-ce pas me tuer, Mon amitié pourtant le doit effectuer, Quelqu’amour que mon ame ayt encore pour elle, Il ne doit pas mourir pour aymer ceſte belle:	Tu m'ôtes Calirie, est-ce pas me tuer, Mon amitié pourtant le doit effectuer, Quelqu'amour que mon âme ait encore pour elle, Il ne doit pas mourir pour aimer cette belle:
Ie veux que mon amour cede à mon amitié, Qu'en ſa faueur ie ſois contre moy ſans pitié.	Je veux que mon amour cède à mon amitié, Qu'en sa faveur je sois contre moi sans pitié.
Sonpere;	Sonpère;
à qui le mien preßsé de la vieilleſſe, Mourant laiſſa le ſoin de regir maieuneſſe:	à qui le mien presssé de la vieillesse, Mourant laissa le soin de régir maieunesse:
Qui m'a ſeul eſleué, qui me dit à ſa mort Qu'il me laiſſoit ſon fils, que i’eſtois ſon ſupport, Me pourroit iuſtement faire vn iour ce reproche, Qu'as-tu fait de mon fils, & d’vn parent ſi proche Ay-ie voulu iamais trauerſer tes deſirs, Ou te laiſſer mourir pour des laſches plaiſirs, E 79 ae- 4 –	Qui m'a seul élevé, qui me dit à sa mort Qu'il me laissait son fils, que j'étais son support, Me pourrait justement faire un jour ce reproche, Qu'as-tu fait de mon fils, et d'un parent si proche Ai-je voulu jamais traverser tes désirs, Ou te laisser mourir pour des lâches plaisirs, É 79 ae- 4là
Non, il auoit vn ſoin ſi grand de me complaire, Que i'en receus touſiours des offices de pere, Et ie veux conteſter maintenant ſi ie dois Ceder ſur Calirie à ſon fils, tous mes droits, Ouy ie le dois ceder, & ma raiſon plus forte Doit faire quitter priſe à l’ardeur qui m’emporte, Ie veux perdre auiourd’huy tous mes contentemẽs, Que ie ſois mis au rang des mal-heureux Amans:	Non, il avait un soin si grand de me complaire, Que j'en reçus toujours des offices de père, Et de veux contester maintenant si personne dois Céder sur Calie à son fils, tous mes droits, Ou ie le dois céder, et ma raison plus forte Doit faire quitter prise à l'ardeur qui m'emporte, Je veux perdre aujourd'hui tous mes contentements, Que ie sois mis au rang des malheureux Amants:
Ie te cede Alidor, la belle Calirie, Reprens ton embon-poinct, laiſſe ta reſuerie, Il faut que tous les ſoins que pour elle i'ay pris, Seruent à ſoulager tes amoureux eſprits, Et que ce ſoit pour toy ce que i'ay fait pour elle:	Je te cède Alidor, la belle Calirie, Reprends ton embon-point, laisse ta rêverie, Il faut que tous les soins que pour elle j'ai pris, Servent à soulager tes amoureux esprits, Et que ce soit pour toi ce que j'ai fait pour elle:
Mais ie voy ce me ſemble approcher ceſte belle, Que ſon objet m'eſmeut, ie ne ſçay plus comment Luy tenir vn diſcours que ma flame deſment.	Mais ie cy ce me semble approcher cette belle, Que son objet m'émut, toujours ne sais plus comment Lui tenir un discours que ma flamme dément.
–- 4 ---	§- 4 --elle
ACTE PREMIER.	ACTE PREMIER.
SCENE III.	SCÈNE III.
CALIRIBONONIE.	CALIRIBONONIE.
CALIRIE.	CALIRIE.
IEs yeux großis de pleurs, & ton viſage bleſme, Oronte, ſont teſmoins d’vne douleur extreſme, Tu ne dois pas pourtant eſtre triste ſans moy, Nvons auons trop long temps veſcu ſous ceſte loy, Pour maintenant la rompre, & me cacher tõ ame, Ie ne la puis ſouffrir ſans reproche, ou ſans blaſme.	IEs yeux gross de pleurs, et ton visage blême, Oronte, sont témoins d'une douleur extrême, Tu ne dois pas pourtant être triste sans moi, Névons auons trop long temps vécu sous cette loi, Pour maintenant la rompre, et me cacher tendre âme, Je ne la puis souffrir sans reproche, ou sans blâme.
ORONTE.	ORONTE.
Ie ne puis Calirie eſtre iamais content, --- - ---- .	Je ne puis Calirie être jamais content, -- - -- .
	
Que l’on croit ſans raiſon, qui pour eux ne ſouſpire.	Que l'on croit sans raison, qui pour eux ne soupire.
Ie l’ay bien approuué, moy dont l’aage plus meur Deuroit auoir changé les penſers & l’humeur:	Je l'ai bien approuvé, moi dont l'âge plus meur Deurait avoir changé les pensers et l'humeur:
Mais puis qu'vn meſme amour violente ton ame, Que ton cœur eſt touché d’vne pareille flame, Ie te veux teſmoigner que pour ta gueriſon, Si i’ay beaucoup d’amour, i’ay bien plus de raiſon, Ie ne ſçaurois iamais auoir l’ame contente, Si dans le deſespoir la tienne eſtoit conſtante:	Mais puis qu'un même amour violente ton âme, Que ton cœur est touché d'une pareille flamme, Je te veux témoigner que pour ta guérison, Si j'ai beaucoup d'amour, j'ai bien plus de raison, Je ne saurais jamais avoir l'âme contente, Si dans le désespoir la tienne était constante:
Change doncques d’humeur, espere tout d’amour, Et tu ſeras bien toſt eſclairé d’vn beauiour.	Change donc d'humeur, espère tout d'amour, Et tu seras bien tôt éclairé d'un beaujour.
I’aime cher Alidor, trop cherement ta vie, Pour ſouffrir qu'à ma faute elle te ſoit rauie, Ie ſuis tant obligé de te la conſeruer, Que ie me voudrois perdre, afin de te ſauuer, Ie viendray bien à bout de ce que ie medite, uu ſçay que Calirie eſtime ton merite, Ie viens de l’engager à te voir plus ſouüent, Et tu la cognoiſtras autre qu'auparauant, Remets-toy ſeulement.	J'aime cher Alidor, trop chèrement ta vie, Pour souffrir qu'à ma faute elle te soit ravie, Je suis tant obligé de te la conserver, Que ie tu voudrais perdre, afin de te sauver, Je viendrai bien à bout de ce que je médite, sçay que Calirie estime ton merite, Ie viens de engager te voir plus souüent, Et tu la cognoistras autre qu'auparauant, Remets-toi seulement.
ALIDOR.	ÀLIDOR.
O Dieux!	Ô Dieux!
quelle iniuſtice, Me voulez-vous ſauuer pour vous mettre au ſupplice, Moy, dis-ie, dont l’amour vous offenſe ſi fort:	quelle injustice, Me voulez-vous sauver pour vous mettre au supplice, Moi, dis-je, dont l'amour vous offense si fort:
Non, non, O ronte, non, i’aime bien mieux la mort, Au moins ie n’auray plus l’horreur de vous deſplaire, Laiſſez-moy dõcmourir, ie n'ay qu'vn pas à faire.	Non, non, Ô ronte, non, j'aime bien mieux la mort, Au moins ie n'aurai plus l'horreur de vous déplaire, Laissez-moi dõcmourir, une n'ai qu'un pas à faire.
Mon esprit abbaitu des maux que ie reſſens Eſt preſt d’abandonner ces membres languiſſans:	Mon esprit abaitu des maux que ici ressens Est prêt d'abandonner ces membres languissants:
Poſſedez Calirie, ô bien-heureux Oronte, Et ſouffrez que la mort vienne couurir ma honte	Possédez Calirie, ô bienheureux Oronte, Et souffrez que la mort vienne couvrir ma honte
ORONTE.	ORONTE.
Alidor ſi tu veux aduancer mon trespas, Tu n'as qu'à perſiſter à ne m’obeyr pas:	Alidor si tu veux avancer mon trépas, Tu n'as qu'à persister à ne m'obéir pas:
Mais s’il te reſſouuient auec quelle tendreſſe, I’ay long temps pris le ſoin d’eſleuer ta ieuneſſe, Que ie t'ay plus aimé, que tout ce que les Dieux Ont peu iuſqu’à preſent faire voir à mes yeux, Tu prendras le ſoucy de ſauuer ce que i’aime, 1 Vu C Puis que de ta ſanté despend ma ſanté meſme, Promets-le moy mon fils.	Mais s'il te ressouvient avec quelle tendresse, J'ai long temps pris le soin d'élever ta jeunesse, Que tu t'ai plus aimé, que tout ce que les Dieux Ont peu jusqu'à présent faire voir à mes yeux, Tu prendras le souci de sauver ce que j'aime, 1 Vu Ç Puis que de ta santé dépend ma santé même, Promets-le moi mon fils.
ALIDOR.	ÀLIDOR.
Vous puis-ie refuſer,	Vous puis-je refuser,
ORONTE.	ORONTE.
Me voila ſatisfait taſche de repoſer.	Me voilà satisfait tâche de reposer.
ALIDOR ſeul.	ÀLIDOR seul.
Que ie ſuis combattu de diuerſes penſees, Dont les vnes eſtant des autres effacees, Forment en mon eſprit tant de confuſion, Que tout ce qu’il m'a dit me ſemble illuſion.	Que ie suis combattu de diverses pensées, Dont les unes étant des autres effacées, Forment en mon esprit tant de confusion, Que tout ce qu'il m'a dit me semble illusion.
