LA A REINE REGENTE.	LA A REINE RÉGENTE.
Le tres-humble, tres-obeyſſant, & tres-fidelle ſerviteur & ſujet,	Le très-humble, très-obéissant, et très-fidelle serviteur et sujet,
CORNEILLE.	CORNEILLE.
A BBREGE Du Martyre de S.	À BBREGE Du Martyre de S.
Polieucte écrit par Simon Metaphraſte, & rapporté par Surius.	Polieute écrit par Simon Métaphraste, et rapporté par Surius.
L’un & l’autre de ces effects ſeroit dangereux en cette rencontre;	L'un et l'autre de ces effets serait dangereux en cette rencontre;
il y va de la gloire de Dieu qui ſe plaiſt dans celle de ſes Saints, dont la mort ſi percieuſe deuant ſes yeux ne doit pas paſſer pour fabuleuſe deuant ceux des hommes.	il y va de la gloire de Dieu qui se plaît dans celle de ses Saints, dont la mort si percieuse devant ses yeux ne doit pas passer pour fabuleuse devant ceux des hommes.
Au lieu de ſanctifier nôtre Theatre par ſa repreſentation, nous y profanerions la ſainteté de leurs ſouffrances, ſi nous nous permettions que la credulité des vns, & la deffiance des autres également abuſées par ce meſlange, ſe mépriſſent également en la veneration qui leur eſt deuë & que les premiers la rendiſſent mal à propos à ceux qui ne la meritent pas, cependant que les autres la dénieroient à ceux à qui elle appartient.	Au lieu de sanctifier notre Théâtre par sa représentation, nous y profanerions la sainteté de leurs souffrances, si nous nous permettions que la crédulité des uns, et la défiance des autres également abusées par ce mélange, se méprissent également en la vénération qui leur est due et que les premiers la rendissent mal à propos à ceux qui ne la méritent pas, cependant que les autres la dénieraient à ceux à qui elle appartient.
Saint Polyeucte eſt vn Martyr, dont, s’il m’eſt permis de parler ainſi, beaucoup ont plûtoſt appris le nom à la Comedie qu’à l’Egliſe.	Saint Polyeucte est un Martyr, dont, s'il m'est permis de parler ainsi, beaucoup ont plutôt appris le nom à la Comédie qu'à l'Église.
Le Martyrologe Romain en lfait mention ſur le 13.	Le Martyrologe Romain en lfait mention sur le 13.
de Feurier, mais en deux mots, ſuiuant ſa couſtume;	de Février, mais en deux mots, suivant sa coutume;
Baronius dans ſes Annales n’en dit qu’vne ligne, le ſeul Surius, ou plûtoſt Moſander qui l’a aug.	Baronius dans ses Annales n'en dit qu'une ligne, le seul Surius, ou plutôt Mosander qui l'a aug.
menté dans les dernieres impreſſions, en rapporte la mort aſſez au long ſur le neufieſme de Ianuier, & j’ay creu qu’il eſtoit de mon deuoir d’en mettre icy l’abregé.	menté dans les dernières impressions, en rapporte la mort assez au long sur le neuvième de Janvier, et j'ai cru qu'il était de mon devoir d'en mettre ici l'abrégé.
Comme me il a eſté à propos d’en rendre la repreſentation agreable, afin que le plaiſir peuſt inſinuer plus doucement l’utilité & luy ſeruir comme de vehicule pour la porter dans l’ame du peuple:	Comme me il a été à propos d'en rendre la représentation agréable, afin que le plaisir pût insinuer plus doucement l'utilité et lui servir comme de vehicule pour la porter dans l'âme du peuple:
il eſt juſte auſſi de luy donner cette lumiere pour démeſler la verité d’avec ſes ornemens, & luy faire reconnoiſtre ce qui luy doit imprimer du reſpect comme Saint, & ce qui le doit ſeulement diuertir comme induſtrieux.	il est juste aussi de gloire donner cette lumière pour démêler la vérité d'avec ses ornements, et lui faire reconnaître ce qui lui doit imprimer du respect comme Saint, et ce qui le doit seulement divertir comme industrieux.
Voicy donc ce que ce dernier nous apprend.	Voici donc ce que ce dernier nous apprend.
Polyeucte & Nearque eſtoient deux Caualiers eſtroitement liez enſemble d’amitié:	Polyeucte et Narque étaient deux Cavaliers étroitement liés ensemble d'amitié:
Ils viuoient en l’an 250.	Ils vivaient en l'an 250.
ſous l’Empire de Decius;	sous l'Empire de Dius;
leur demeure eſtoit dans Melitene capitale d’Armenie, leur Religion differente.	leur demeure était dans Mélitène capitale d'Arménie, leur Religion différente.
Nearque eſtant Chreſtien, & Polyeucte ſuiuant encore la ſecte des Gentils, mais ayant toutes les qualitez dignes d’vn Chreſtien, & vne grande inclination à le deuenir.	Nearque étant Chrétien, et Polieute suivant encore la secte des Gentils, mais ayant toutes les qualités dignes d'un Chrétien, et une grande inclination à le devenir.
L’Empereur ayant fait publier vn Edit tres-rigoureux contre les Chreſtiens, cette publication donna vn grand trouble à Nearque, non pour la crainte des ſupplices dont il eſtoit menacé, mais pour l’apprehenſion qu’il eut que leur amitié ne ſouffriſt quelque ſeparation ou refroidiſſement par cét Edit, veu les peines qui y eſtoient propoſées à ceux de ſa Religion, & les honneurs promis à ceux du party contraire.	L'Empereur ayant fait publier un Édit très -rigoureux contre les Chrétiens, cette publication donna un grand trouble à Narque, non pour la crainte des supplices dont il était menacé, mais pour l'appréhension qu'il eut que leur amitié ne souffrît quelque séparation ou refroidissement par cet Édit, vu les peines qui y étaient proposées à ceux de sa Religion, et les honneurs promis à ceux du parti contraire.
Il en cons’en apperceut, & l’ayant obligé de luy en dire la cauſe, il priſt de là occaſion de luy ouurir ſon cœur.	Il en cons'en aperçut, et l'ayant obligé de lui en dire la cause, il prît de là occasion de Seigneur ouvrir son cœur.
Ne craignez point, luy ditil, que l’Edit de l’Empereur nous deſuniſſe, j’ay veu cette nuict le Chriſt que vous adorés, il m’a dépoüillé d’vne robbe ſale pour me reueſtir d’vne autre lumineuſe, & m’a fait monter ſur vn cheual aiſlé pour le ſuiure.	Ne craignez point, Seigneur ditil, que l'Édit de l'Empereur nous désunisse, j'ai vu cette nuit le Christ que vous adorez, il m'a dépouillé d'une robe sale pour me reuestir d'une autre lumineuse, et m'a fait monter sur un cheval aisé pour le suivre.
Cette viſion m’a reſolu entierement à faire ce quil y a long-temps que je médite, le ſeul nom de Chreſtien me manque, & vousmeſme toutes les fois que vous m’auez parlé de voſtre grand Meſſie, vous avez peu remarquer que je vous ay toûjours écouté avec reſpect, & quand vous m’avez leu ſa vie & ſes enſeignemens, j’ay toûjours admiré la ſainteté de ſes actions & de ſes diſcours.	Cette vision m'a résolu entièrement à faire ce quil y a longtemps que je médite, le seul nom de Chrétien me manque, et vousmesme toutes les fois que vous m'avez parlé de votre grand Messie, vous avez pu remarquer que je vous ai toujours écouté avec respect, et quand vous m'avez lu sa vie et ses enseignements, j'ai toujours admiré la sainteté de ses actions et de ses discours.
O Nearque!	Ô Nearque!
ſi je ne me croyois point indigne d’aller à luy ſans eſtre initié de ſes myſteres, & auoir receu la grace de ſes Sacremens, que vous verriez éclater l’ardeur que j’ay de mourir pour ſa gloire & le ſouſtien de ſes eternelles veritez, Nearque l’ayant éclaircy du ſerupule où il eſtoit par l’exemple du bon Larron Larron qui en vn moment merita le Ciel bien qu’il n’euſt pas receu le Bapteſme, auſſi toſt noſtre Martyr plain d’vne ſainte ferueur prend l’Edit de l’Empereur, crache deſſus & le déchire en mourceaux qu’il jette au vent, & voyant des Idoles que le peuple portoit ſur les Autels pour les adorer, il les arrache à ceux qui les portoient, les brize contre terre & les foule aux pieds, eſtonnant tout le monde & ſon amy meſme, par la chaleur de ce zele qu’il n’auoit pas eſperé.	si je ne me croyais point indigne d'aller à lui Ma estre initié de ses mystères, et avoir reçu la grâce de ses Sacrements, que vous verriez éclater l'ardeur que j'ai de mourir pour sa gloire et le soutien de ses éternelles vérité, Nearque l'ayant éclairci du serupule où il était par l'exemple du bon Larron Larron qui en un moment mérita le Ciel bien qu'il n'eût pas reçu le Baptême, aussi tôt notre Martyr plain d'une sainte ferveur end l'Edit de Empereur, crois de et le ' en mourceaux il jette au vent, et et des Idoles que le dé chi sur les En pour les a, il les arrache ceux qui les portoient, je brize contre te et les foule au monde, et tout le monde et son y même, a la chaleur de ce zele il nauoit des esperé.
Son beau-pere Felix qui auoit la commiſſion de l’Empereur pour perſecuter les !	Son beau-père Félix qui avait la commission de l'Empereur pour persécuter les !
Chreſtiens, ayant veu luy meſme ce qu’auoit fait ſon gendre, ſaiſi de douleur de voir l’eſpoir & l’appuy de ſa famille perdu, taſche d’esbranler ſa conſtance, premierement par de belles paroles, en ſuite par des menaces, enfin par des coups qu’il luy fait donner par ſes bourreaux ſur tout le viſage;	Chrétiens, ayant vu do mesme ce qu'avait fait son gendre, saisi de douleur de voir l'espoir et l'appui de sa famille perdu, tâche d'ébranler sa constance, premièrement par de belles paroles, en suite par des menaces, enfin par des coups qu'il lui fait donner par ses bourreaux sur tout le visage;
mais n’en ayant peu venir à bout, pour dernier effort il luy enuoye ſa fille Pauline, afin de voir ſi ſes larmes n’auroient point plus de pouuoir ſur l’eſprit d’vn mary, que n’auoient eu ſes artifices & les rigueurs.	mais n'en ayant pu venir à bout, pour dernier effort il lui envoie sa fille Pauline, afin de voir si ses larmes n'auraient point plus de pouvoir sur l'esprit d'un mari, que n'avaient eu ses artifices et les rigueurs.
Il n’auance rien dauantage par là, au contraire voyant que ſa fermeté conuertiſſoit beaucoup de Payens, il le condamne à perdre la teſte.	Il n'avance rien davantage par là, au contraire voyant que sa fermeté convertissait beaucoup de Païens, il le condamne à perdre la tête.
Cét arreſt fut executé ſur l’heure, & le ſaint Martyr ſans autre Bapteſme que de ſon ſang s’en alla prendre poſſeſſion de la gloire que Dieu a promiſe à ceux qui renonceroient u ouimnuimeen pouin amour de luy.	Cet arrêt fut exécuté sur l'heure, et le saint Martyr sans autre Baptême que de son sang s'en alla prendre possession de la gloire que Dieu a promise à ceux qui renonceraient u ouimnuimeen pouin amour de lui.
Voilà en peu de mots ce qu’en dit Surius.	Voilà en peu de mots ce qu'en dit Surius.
Le ſonge de Pauline, l’amour de Severe, le Bapteſme effectif de Polyeucte, le ſacrifice pour la victoire de l’Empereur, la dignité de Felix que je fais Gouverneur d’Armenie, la mort de Nearque, la converſion de Felix & de Pauline, ſont des inventions & des embelliſſemens de Theatre.	Le songe de Pauline, l'amour de Sévère, le Baptême effectif de Polyucte, le sacrifice pour la victoire de l'Empereur, la dignité de Félix que je fais Gouverneur d'Arménie, la mort de Narque, la conversion de Félix et de Pauline, sont des inventions et des embellissements de Théâtre.
La ſeule victoire de I’Empereur contre les Perſes a quelque fondement dans l’Hiſtoire, & ſans chercher d’autres Autheurs, elle eſt rapportée par Monfieur Coëffeteau dans ſon hiſtoire Romaine, mais il ne dit pas , ny qu’il leur impoſa!	La seule victoire de J'Empereur contre les Perses a quelque fondement dans l'Histoire, et sans chercher d'autres Auteurs, elle est rapportée par Monfieur Coëffeteau dans son histoire Romaine, mais il ne dit pas , ni il leur imposa!
tribut, ny qu’il envoya faire des Sacrifices de remerciement en Armenie.	tribut, Seigneur qu'il envoya faire des Sacrifices de remerciement en Arménie.
Si j’ay adjouſté ces incidens & ces partieularitez ſelon l’art ou non, les ſça2 vans en jugeront, mon but icy n’eſt pas de les juſtifier, mais ſeulement d’avertir le Lecteur de ce qu’il en peut croire.	Si j'ai ajouté ces incidents et ces partieularités selon l'art ou non, les sça2 ans en jugeront, mon buteur icy qu'est pas de les justifier, mais seulement d'avertir le Lecteur de ce qu'il en peut croire.
NEANQVE, Seigneur Aſmenſen, amy de Polyeucte.	NEANQUE, Seigneur Asments, ami de Polieute.
PAULINE, Fille de Felix, & femme de Polyeucte,	PAULINE, Fille de Félix, et femme de Polyeute,
SIRATONTOE, Coidente de PauIinc.	SIRATONTO, Coidente de PauIinc.
ALBTN, Confdent de Felix.	ÀLBTN, Confdent de Félix.
FABIAN, Domeſtique de Severe.	FABIAN, Domestique de Sévère.
e L h e les deulaaaiquede relial.	 Je heure les deulaaaiquede relial.
TROIS GARDES,	TROIS GARDES,
La Scene eſt à Melitene capitale d’Armenie, dans le Palais de Felix.	La Scène est à Mélitène capitale d'Arménie, dans le Palais de Félix.
POLY	POLI
TOLIEVCIE MARTIR, IRAGEDIE CHRESTIENNE.	TOLIEUCIE MARTYR, IRAGEDIE CHRÉTIENNE.
LIOTE T.	LIOTE -TE.
MCLAAIREMIENE.	MCLAIREMIENE.
POLYEUCTE, NEARQUE,	POLYEUCTE, NEARQUE,
A NEARQVE.	À NEARQUE.
Voy?	Vois?
vous vous arreſtez aux ſonges d’ude reniiice De ſi foibles ſujets troublent cette grande de ame !	vous vous arrêtez aux songes d'ude renjice De si faibles sujets troublent cette grande de âme !
Et le cœur tant de fois dans la guerre eſprouve S’alarme d’un peril qu’une femme a reſvé!	Et le cœur tant de fois dans la guerre éprouve S'alarme d'un péril qu'une femme a rêvé!
POLYEUCTE.	POLYECTE.
le ſçay ce qu’eſt un ſonge, & le peu de croyone?	le sais ce qu'est un songe, et le peu de croyone?
Qu'un homme doit donner à ſon extravegeinté Qui d’vn amas confus des vapeurs de la nuit Forme de vains objets que le réueil détruit:	Qu'un homme doit donner à son extravegeinté Qui d'un amas confus des vapeurs de la nuit Forme de vains objets que le rueil détruit:
Mais vous ne ſçauez pas ce que c’eſt qu’vne femme Ny le juſte pouvoir qu’elle prend ſur vne ame, Quand apres vn long-temps qu’elle a ſçeu nous charmer Les flambeaux de l’Hymen viennent de s’allumer.	Mais vous ne savez pas ce que c'est qu'une femme Ni le juste pouvoir qu'elle prend sur une âme, Quand après un longtemps qu'elle a su nous charmer Les flambeaux de l'Hymen viennent de s'allumer.
Pauline ſans raiſon dans la douleur plongée Craint & croit deſia voir ma mort qu’elle a ſongée Elle oppoſe ſes pleurs au deſſein que je fais, Et taſche à m’empeſcher de ſortir du Palais:	Pauline sans raison dans la douleur plongée Craint et croit déjà voir ma mort qu'elle a songée Elle oppose ses pleurs au dessein que je fais, Et tâche à m'empêcher de sortir du Palais:
Ie mépriſe ſa crainte & je cede à ſes larmes, Elle me fait pitié ſans me donner d’alarmes, Et mon cœur attendry ſans eſtre intimidé, N’oſe deplaire aux yeux dont il eſt poſſedé.	Je méprise sa crainte et je cède à ses larmes, Elle me fait pitié sans me donner d'alarmes, Et mon cœur attendri sans être intimidé, N'ose déplaire aux yeux dont il est possédé.
L’occaſion, Nearque, eſt-elle ſi preſſante Pour ne rien deferer aux ſoupirs d’vne Amante?	L'occasion, Nearque, est-elle si pressante Pour ne rien déférer aux soupirs d'une Amante?
Remettons ce deſſein qui l’accable d’ennuy.	Remettons ce dessein qui l'accable d'ennui.
Nous le pourrõs demain auſſi bien qu’auiourd’huy.	Nous le pourrons demain aussi bien qu'aujourd'hui.
NEARQUE.	NEARQUE.
Ouy, mais où prenez-vous l’infaillible aſſeurance D’avoir aſſez de vie ou de perſeuerance?	Oui, mais où prenez-vous l'infaillible assurance D'avoir assez de vie ou de persévérance?
Ce Dieu qui tient voſtre ame & vos jours dans ſa main Vous a t’il aſſeuré de le pouuoir demain?	Ce Dieu qui tient votre âme et vos jours dans sa main Vous a t'il assuré de le pouvoir demain?
Il eſt touſiours tout juſte & tout bon, mais ſa grace Ne deſcend pas touſiours auec meſme efficace, Apres certains momens que perdent nos longueurs Elle quitte ces traits qui penetrent les cœurs, e etas qui la verſoit s’arreſte & ſe courrouce, Aoſte cœur s’endurcit & ſa pointe s’émouſſe, & cectr ſainte ardeur qui nous emporte au bien Fonile our vn rocher & n’opere plus rien.	Il est toujours tout juste et tout bon, mais sa grâce Ne descend pas toujours avec même efficace, Après certains moments que perdent nos longueurs Elle quitte ces traits qui pénètrent les cœurs, e as qui la versait s'arrête et se courrouce, Aoste cœur s'endurcit et sa pointe s'émousse, et cetr sainte ardeur qui nous emporte au bien Fonile our rocher et opere plus rien.
Cεl qui vous preſſoit de courir au Bapteſme.	Cl qui vous pressait de courir au Baptême.
Lauguiestarlt deſia cene d'entre lu meme.	Lauguiestarlt déjà cène d'entre lu même.
Et pour quelques ſoupirs qu’on vous a fait ouyr Sa flame ſe diſſipe & va s’éuanouyf.	Et pour quelques soupirs qu'on vous a fait ouïr a flamme se dissipe et va s'évanouis.
POLYEVCTE.	POLYEUCTE.
Vous me connoiſſez mal, la même ardeur me brûle, Et le deſir s’accroiſt quand l’effet ſe recule.	Vous me connaissez mal, la même ardeur me brûle, Et le désir s'accroît quand l'effet se recule.
Ces pleurs que je regarde avec vn œil d’eſpoux Me laiſſent dans le cœur auſſi Chreſtien que vous:	Ces pleurs que je regarde avec un œil d'époux Me laissent dans le cœur aussi Chrétien que vous:
Mais pour en recevoir le ſacré caractere.	Mais pour en recevoir le sacré caractère.
Qui laue nos forfaits dans vne eau ſalutaire, Et d’vn rayon diuin nous deſillant les yeux Nous rend le premier droit que nous auions aux Cieux?	Qui laue nos forfaits dans une eau salutaire, Et d'elle rayon divin nous des les yeux Nous rend le premier droit que nous avions aux Cieux?
Quoy que je le prefere aux grandeurs d’vn Empire, Comme le bien ſupreme & le leurou purpit?	Quoi que je le préfère aux grandeurs d'un Empire, Comme le bien suprême et le leur pouvrpit?
Pouuoir vn peu remettre & differer d’vn jour.	Pouvoir un peu remettre et différer d'un jour.
NEARQVE.	NEARQUE.
Ainſi du genre humain l’ennemy vous abuſe, Ce qu’il ne peut de force, il l’entreprend de ruſe.	Ainsi du genre humain l'ennemi vous abuse, Ce qu'il ne peut de force, il l'entreprend de ruse.
Ialoux dex bons deſſeins qu’il taſche d’ébranler?	Jaloux dex bons desseins qu'il tâche d'ébranler?
Quand il ne les peut rompre, il pouſſe à reculer?	Quand il ne les peut rompre, il pousse à reculer?
D’obſtacle ſur obſtacle il va troubler le voſtre, Aujourd’huy par des pleurs, chaque jour par quelqu’autre.	D'obstacle sur obstacle il va troubler le vôtre, Aujourd'hui par des pleurs, chaque jour par quelqu'autre.
Ce ſonge ſi remply de noires viſions N'eſt que le coup d’eſſay de ſes illuſions, Il met tout en vſage, & priere, & menace, Il attaque touſiours, & iamais ne ſe laſſe?	Ce songe si rempli de noires visions N'est que le coup d'essai de ses illusions, Il met tout en usage, et prière, et menace, Il attaque toujours, et jamais ne se lasse?
Il croit pouuoir enfin ce qu’encor il n’a pû, Et que ce qu’on differe eſt à demy rompu, Rompez ſes premiers coups, laiſſez pleurer Pauline Dieu ne veut point d’vn cœur que le mõde domine.	Il croit pouuoir enfin ce qu'encor il n'a pu, Et que ce qu'on diffère est à demi rompu, Rompez ses premiers coups, laissez pleurer Pauline Dieu ne veut point d'un cœur que le monde domine.
Qui regarde en arriere, & douteux en ſon choix.	Qui regarde en arrière, et douteux en son choix.
Lors que ſa voix l’appelle, eſcoute vne autre voix,	Lors que sa voix l'appelle, écoute une autre voix,
POLYEUCTE.	POLYECTE.
Pour le doimer à fuy, raut-Il n'aymer perſonne?	Pour le doimer à fui, raut-Il n'aimer personne?
NEARQVE.	NEARQUE.
Nous pouuons tout aymer, il le ſouffre, il l’ordõne, Mais ce gand Roy des Roys, ce Seigneur des Seigneurs Veut le premier amour & les premiers honneurs, Comme rien n’eſt égal à ſa grandeur ſupréme, Il faut ne rien aymer qu’apres luy, qu’en luy meſme, Negliger pour luy plaire, & femme & biens & rang, Expoſer pour ſa gloire & verſer tout ſon ſang:	Nous pouvons tout aimer, il le souffre, il l'ordonne, Mais ce gand Roi des Rois, ce Seigneur des Seigneurs Veut le premier amour et les premiers honneurs, Comme rien n'est égal à sa grandeur suprême, Il faut ne rien aimer qu'après lui, quen lui autre, Negliger pour lui plaire, et femme et biens et rang, Exposer pour sa gloire et verser tout son sang:
Mais que vous eſtes loin de cette amour parfaite Qui vous eſt neceſſaire & que je vous ſouhaite:	Mais que vous êtes loin de cette amour parfaite Qui vous est nécessaire et que je vous souhaite:
Ie ne vous puis parler que les larmes aux yeux, Polyeucte aujourd’huy qu’on nous hait en tous lieux Qu’on croit ſervir l’Eſtat quand on nous perſecute Qu'uun piue urpres courmnens vn chicitiei eſt en butte;	Je ne vous puis parler que les larmes aux yeux, Polieute aujourd'hui qu'on nous hait en tous lieux Qu'on croit servir l'État quand on nous persécute Qu'un pive urprès courments un chicitie est en butte;
Comment en pourrez vous ſurmonter les douleurs Si vous ne pouuez pas reſiſter à des pleurs?	Comment en pourrez -vous surmonter les douleurs Si vous ne pouvez pas résister à des pleurs?
POLYEUCTE Vous ne m’eſtonnez point, la pitié qui me bleſſe Eſt grandeur de courage auſſi toſt que foibleſſe, Sur mes pareils, Nearque, Vn bel œil eſt bien fort, I'ertraint de le faſener qui ne craint pas la mort, Et s’il faut affronter les plus cruels ſupplices, Y trouver des appas, en faire mes delices, Voſtre Dieu, que je n’oſe encor nommer le mien, M’en donnera la force en me faiſant Chreſtien.	POLYECTE Vous ne m'étonnez point, la pitié qui me blesse Est grandeur de courage aussi tôt que faiblesse, Sur mes pareils, Nearque, Venn bel œil est bien fort, J'étraint de le fasener qui ne craint pas la mort, Et s'il faut affronter les plus cruels supplices, Y trouver des appas, en faire mes délices, Votre Dieu, que je n'ose encor nommer le mien, M'en donnera la force en me faisant Chrétien.
NEARQVE.	NEARQUE.
Haſtez-vous donc de l’eſtre,	Hâtez-vous donc de l'être,
POLYEUCTE.	POLYECTE.
Ouy, j’y cours, cher Nearque, Je brûle d’en porter la glorieuſe marque, Mais Pauline s’afflige, & ne peut conſent ir, Tant ce ſonge la trouble, à me laiſſer ſortir.	Oui, j'y cours, cher Nearque, Je brûle d'en porter la glorieuse marque, Mais Pauline s'afflige, et ne peut consent ir, Tant ce songe la trouble, à me laisser sortir.
NEARQUE.	NEARQUE.
Voſtre retour pour elle en aura plus de charmes, Dans une heure au plus tard vous eſſuyerez ſes larmes, Et l’heur de vous revoir luy ſemblera plus doux Plus elle aura pleuré pour un ſi cher eſpoux.	Votre retour pour elle en aura plus de charmes, Dans une heure au plus tard vous essuierez ses larmes, Et l'heur de vous revoir lui semblera plus doux Plus elle aura pleuré pour un si cher époux.
Allons, on nous attend.	Allons, on nous attend.
POLYEUCTE.	POLYECTE.
Irppuiter donc ſa crainte.	Jrépuiter donc sa crainte.
Et calmez la douleur dont ſont ame eſt atteinte.	Et calmez la douleur dont sont âme est atteinte.
Elle revient.	Elle revient.
NEARQVE.	NEARQUE.
Fuyez.	Fuyez.
NEARQVE.	NEARQUE.
