A MADAME DV RQVLET.	À MADAME DU RQULET.
Mais non ( liure) tu doibs d’vne ſainte furie Te rendre les chemins plus reclos plus ouuers, Car vn Ange guidant le Tobi' de tes vers Te ſçaura mener droit aux deſers de l’enuie.	Mais non ( livre) tu doibs d'une sainte furie Te rendre les chemins plus réclos plus ouverts, Car un Ange guidant le Tobi' de tes vers Te saura mener droit aux désers de l'envie.
Fadu l'Ange du ciel prist vne forme humaine Pour conduire Tobie, & celle qui te maine De femme qu’elle eſtoit deuient Ange des cieux, Ie Thobie animé d’vne viuante flame Et le mien qui ne vit que par vous (ô Madame) Seront doncque guidez par vn Ange tous deux.	Fadu l'Ange du ciel prît une forme humaine Pour conduire Tobie, et celle qui te maine De femme qu'elle était devient Ange des cieux, Je Thobie animé d'une vivante flamme Et le mien qui ne vit que par vous (ô Madame) Seront doncque guidez par un Ange tous deux.
Alluſion ſur le Thobie, imprimé par Raphaël du Petit Val, & le Tobie conduict par l’Ange Raphael.	Allusion sur le Thobie, imprimé par Raphaël du Petit Val, et le Tobie conduit par l'Ange Raphael.
STANCES.	STANCES.
Aphaël a iuré de conduire Thobie N Etrhobre a iuré de ſuyure Raphaël, Vous les croyez tous deux compagnons en leur vie Vous les voyez tous deux compagnons dans le ciel.	Aphaël a juré de conduire Thobie N Obrhobre a juré de suivre Raphaël, Vous les croyez tous deux compagnons en leur vie Vous les voyez tous deux compagnons dans le ciel.
En viuant icy bas (ſi les Anges y viuent) Thobie & Raphaël coururent meſme ſort Ils ſont ſi bien vnis qu’encor leurs noms ſe ſuyuens Sans pouuoir ſeparer l’alliance en leur mort.	En vivant ici bas (si les Anges y vivent) Thobie et Raphaël coururent même sort Ils sont si bien unis qu'encor leurs noms se suivens Sans pouvoir séparer l'alliance en leur mort.
Aux Thobies qui ſont d’vne diuerſe ſorte, Ies Raphaelz qui ſont en eſſence diuers:	Aux Thobies qui sont d'une divers sorte, Raphaelz qui sont en essence diuers:
Ont rendu la lumiere a leur lumiere morte Ie premier pour le corps le ſecond quant aux vers.	Ont rendu la lumière à leur lumière morte Je premier pour le corps le second ant aux vers.
Quand Thobie priué de la belle lumiere, Triſtement regrettoit la perte de ſes yeux, Il reçeut les rayons de ſa clarté premiers Par l'Ange Raphaël qui deſcendit des cieux.	Quand Thobie privé de la belle lumière, Tristement regrettait la perte de ses yeux, Il reçut les rayons de sa clarté premiers Par l'Ange Raphaël qui descendit des cieux.
L’hiſtoire de Thobie ou Thobie en hiStoire Aueuglé dans l’amas du Tesſament premier.	L'histoire de Thobie ou Thobie en hiStoire Aveuglé dans l'amas du Tessament premier.
S’expoſant aux rayons du ſoleil de memoire Par l’autre Raphaël prend des yeux de papier.	S'exposant aux rayons du soleil de mémoire Par l'autre Raphaël end des yeux de papier.
Et par ces yeux graués auec vn carractere, L'vniuers il va voir faiſant voir en ſes vers, Le Tobi' dont le corps & la cendre legere Furent ia ia long temps deuorés par les vers.	Et par ces yeux gravés avec un carractère, L'univers il va voir faisant voir en ses vers, Le Tobjet dont le corps et la cendre légère Furent ja long temps dévorés par les vers.
I.	I.
D.	D.
H.	H.
Pres que Thobie euſt entendu que Sennacherib Roy des Aſſy- riẽs euſt eſté occis par ſes meſmes enfans dans le temple de ſes Dieux, il ſe reſolut de retourner en ſon pays :	Pres que Thobie eût entendu que Sennacherib Roi des Assi- rés eust été occis par ses mêmes enfants dans le temple de ses Dieux, il se résolut de retourner en son pays :
auquel eſtant arriué, il commanda a ſon fils d’inuiter quelques vns de ſes parens, pour venir ſouper chez eux, ſi bien que ſon fils les venans de ſemondre, trouua vn corps mort giſant ſur la terre le racom ptãs a ſon pere qui tout auſſi toſt ſe delibere quiter parens & amis pour l’enſeuelir, ne deſiſtant telle œuure pour quelque iniure ou menace qu’on luy fiſt, tellement eſtant laſſé, & voulant ſe repoſer, s’endormit au long d’vne paroy, lors du Nit des Arondelles tomba quelque fiente chaude ſur –2 A iiii Q ſes yeux, qui le rendit aueugle, dequoy eſtant triſte commence à geſmir, conſeſſant neantmoins que Dieu eſtoit iuſte, deſirãt plutoſt mourir que viure, or en ce meſme tẽps la les nouuelles luy viennent que ſa Niepce Sarra eſtoit en grand’ peine d’autant que l’eſprit malin, nõmé Aſmõdeus, luy auoit eſtranglé ſept maris des leur premiere nuict:	auquel étant arrivé, il commanda à son fils d'inviter quelques uns de ses parents, pour venir souper chez eux, si bien que son fils les venants de semondre, trouva un corps mort gisant sur la terre le racom pendants à son père qui tout aussi tôt se délibère quitôt se et amis pour l'enseuelir, ne désistant telle œuvre pour quelque injure ou menace qu'on lui fît, tellement étant lassé, et voulant se reposer, s'endormit au long d'une par, lors du des Parle tomba quelque fiente chaude sur A iiii ses yeux, qui leor aueugle, du estant triste des A gémir, consessant tomba que Dieu estoit iuste, desirãt plutôt mourir que fie, or en ce même tẽpsôta le chaude sur viennent Au sa Si Sarra es en grand’ peine autant que esprit malin, nõmé Asmõdeus, le auoit en dit maris des leur première nuict:
quelques iours apres ſe voyant reduit pauure en biens terriens, ſe reſoult d’enuoyer ſon fils Thobie vers Gabel ſõ parẽt qui demouroit en Rages cité, pour recouurir payement de dix tallens qui luy auoit preſtez ſur cedulle, luy commandant ſy la mort le prenoit d’auoir ſoing de ſa mere, ſurquoy ſon fils le conſola en luy diſant qu’il ne ſçauoit pas le chemin, ſi bien qu’il trouua vn meſſager qui le cõduict heureuſement, le deliurant d’vn poiſſon qui luy fit grãd peur, mais l’Ange l’aſſeurant luy commanda l’enfondrer, & d’en tirer le ſoye, le fiel, & le cœur:	quelques jours après se voyant réduit pauvre en biens terriens, se resoult d'envoyer son fils Thobie vers Gabel ons parẽt qui demourait en Rages cité, pour recouvrir payement de dix talents qui lui avait prêtés sur cédulle, tu commandant sy la mort le prenait d'avoir soin de sa mère, surquoi son fils le consola en même disant qu'il ne savoir pas le chemin, si bien qu'il trouva un messager qui le cõduict heureusement, le délivrant d'vn maison qui luitaît grande peur, mais l'Ane ur lui mais l'Anfondre, l' infon tirer le soye, le fiel, et le ran:
Ie dirois bien comme Thobie le Ieune demãda à Azarie à quoy pouuoient ſeruir les tripailles de ce poiſſõ, auſſi cõme ils arriuerent chez Raguel, meſme du mariage auec Sarra, & des regrets du bõ homme le pere en l’abſence de ſon fils, mais celaeſt narré dedãs l’acte de mes Dames des Roches, laq̃lle dicte Acte iay apropriee en ſon rãg quatrieſme, qui m’a a la verité beaucoup ou plus couſté à enter, que ſi ie ne l’euſſe iamais veuë.	Je dirais bien comme Thobie le Jeune demãda à Azarie à quoi pouvaient servir les tripailles de ce poissomme, aussi cõme ils arrivèrent chez Raguel, même du mariage auec Sarra, et des regrets du bons homme le père en l'absence de son fils, mais cela narré dedans l'acte de mes Dames des Roches, laqlle dicte Acte iay apprimée en son roches quatrième, qui m'a a la vérité beaucoup ou plus cousé à enter, que si je ne l'eusse jamais vues.
Ie diray donc cõme l’Ange alla en Rages trouuer Gabel, lequel vint luy meſme voir le Ieune Thobie chez ſon beau-pere, pour luy rẽdre l’argẽt qu’illuy debuoit:	Je dirai donc comme l'Ange alla en Rages trouver Gabel, lequel vint luiours voir le Jeune Thobie chez son beau-père, pour rendre rẽdre qu'argent qu'illui débuait:
Ie diray auſſi la ioye que le bon foniiorhobre, reçeut, quand il vit ſon fils & cõ– me ils diſputoient de contenter l’Ange, pẽſant qu’il fuſt quelque hõme, & des propos que l’Ange leur tint de ſon eſuan ouiſſement qui les eſtonna tellement qu’ils cheurẽt ſur leurs faces beniſſant Dieu lequel ie ſupplie nous aſiſter de bons anges pour nous cõ duire le lõg du pelerinnage de ceſté vie, paruenans au Royaume ſans fin.	Je dirai aussi la joie que le bon foniorhobre, reçut, quand il vit son fils et cõ– me ils disputaient de contenter l'Ange, penseant qu'il fût quelque homme, et des propos que l'Ange leur tint de son esuan ouissement qui les étonna tellement qu'ils cheurẽt sur leurs faces bénissant Dieu lequel ici supplie nous asister de ions anges pour nous cõ duire le lõg du pèlerinage de cet vie, parvenants au Royaume sans fin.
LES PERSONNAGES.	LES PERSONNAGES.
THOBIE, le pere.	THOBIE, le père.
ANNE, ſa femme.	ANNE, sa femme.
THOBIE, leur fils.	THOBIE, leur fils.
RAPIIAEE, Ange dit Azarie.	RAPIIAE, Ange dit Azarie.
RAGVEL.	RAGUEL.
ANNE, ſa femme.	ANNE, sa femme.
SARRA.	SARRA.
LE VOISIN.	LE VOISIN.
LA SERVANTE.	LA SERVANTE.
LE CHOEVR.	LE CHOEUR.
TOBIETE RE ET FILS TRA GI-COMEDIE.	TOBIETE RE ET FILS TRA GY-COMÉDIE.
ACTE PREMIER.	ACTE PREMIER.
Thobie le pere.	Thobie le père.
Les Voiſins.	Les Voisins.
Thobie le fils.	Thobie le fils.
Anne femme de Tobie.	Anne femme de Tobie.
Pres que ce Tyran tout rempli de carnage, A deſcoché ſur nous ſa furibonde ra Et qu’il a maſſaeré tant de peuple Hebrieu Deſpitant en tous lieux la puiſſance de Dieu Le voila maintenant payé de ſon ſalaire Grand Dieu conſeille moy, de ce que ie dois faire Doiſ-ie aller au pays?	Pres que ce Tyran tout rempli de carnage, A coché sur nous sa furibonde ra Et qu'il a massaeré tant de peuple Hebrieu Despitant en tous lieux la puissance de Dieu Le voilà maintenant payé de son salaire Grand Dieu conseille moi, de ce que deux dois faire Dois-je aller au pays?
doiſ-ie icy demeurer?	dois-je ici demeurer?
Doiſ-ie voir a touſiours contre toy murmurer?	Dois-je voir a toujours contre toi murmurer?
TRAGICOMEDIE Qu’en dites vous ma ſœur?	TRAGICOMEDIE Qu'en dites -vous ma sœur?
Il n’eſt que ſa patrie, Pour le moins l’on n’y voit aucune idolatrie:	Il n'est que sa patrie, Pour le moins l'on n'y voit aucune idolâtrie:
Quel qu'vn de nos amis nous voyans deſpourueuz Aura pitié de nous, ſi nos biens ſont perdus, Dieu le Dieu d’Abraham n’a borné ſa puiſſance, Außi, ô tout-puißant, tu es noſtre eſperance, Tu peux nous remplacer dedans noſtre maiſon Ayans esté chaſſez, non pour autre raiſon De n’auoir obey aux Tyrans d’Aßirie, Qui m’ont rauy mes biens & recherché ma vie, Tu peux par ta bonté, (ô ſouuerain Moteur, Nous mettre en liberté apres lant de malheur, Tu fais quand il te plast deſcendre la tempeſte Contre les Rois cruelz qui ton peuple moleſtent, Ils te ſont tous ſuiets, außi bien comme nous, Bien qu’ils ayent pouuoir de commander à tous:	Quel qu'un de nos amis nous voyant despourueuz Aura pitié de nous, si nos biens sont perdus, Dieu le Dieu d'Abraham n'a borné sa puissance, Aussi, ô tout-puyant, tu es notre espérance, Tu peux nous remplacer dedans notre maison Ayants été chassés, non pour autre raison De n'avoir obéi aux Tyrans d'Assirie, Qui m'ont ravi mes biens et recherché ma vie, Tu peux par ta bonté, (ô ver Moteur, Nous mettre en liberté après lant de malheur, Tufais quand il te plast de la tempête 'ils Fais cruelz qui an peuple molestent, Il te sont plu suiets, aussi decomme nous, Bien la temp de commander e les:
Celuy qui compoſa d’vn beau rien tout le monde, Peut-il pas renuerſer le ciel, la terre, & l’onde, N'est ce pas ſa bonté qui raſſerene l’air, Et fait ceſſer les vents qui grondent ſur la mer, C’est pour quoy, Eternel, heureux qui ſuit la voye De tes commandemens & qui ne ſe fouruoye Du ſentier de tes loix, car c’eſt le vray chemin Pour paruenir vn iour au Royaume ſans fin, Offrons luy noſtre cœur, & auec reuerence Confeſſons que nos maux procedent de l’offenſe Faite contre ſon nom;	Celui qui composa d'Hommes beau rien tout le monde, Peut-il pas renverser le ciel, la terre, et l'onde, N'est ce pas sa bonté qui rasserène l'air, Et fait cesser les vents qui grondent sur la mer, C'est pour quoi, Éternel, heureux qui suit la voie De tes commandements et qui ne se fourvoie Du sentier de tes lois, car c'est le vrai chemin Pour parvenir un jour au Royaume sans fin, Offrons lui nôtre cœur, et auec révérence Confessons que nos maux procèdent de offense Faite contre son nom;
il eſt Dieu d'équité, Et crains que ne l’ayons grandement irrité, Nous ſommes tous pecheurs, & nul ne pourra dire N’auoir iamais failly- car ſommes enfans d’ire, Nous meritons à droit les iuſtes chaſtimens, Pour n’auoir obſerué les ſacrez mandemens:	il est Dieu d'équité, Et crains que ne l'ayons grandement irrité, Nous sommes tous pécheurs, et nul ne pourra dire N'avoir jamais failly- car sommes enfants d'ire, Nous méritons à droit les justes châtiments, Pour n'avoir observé les sacrés mandements:
Mais quoy?	Mais quoi?
apres auoir ſouffert tant de miſeres Nous voicy reuenus au terroir de nos peres.	après avoir souffert tant de misères Nous voici revenus au terroir de nos pères.
Mon fils ie voudrois bien inuiter nos amis A banqueter chez nous, allez, c’eſt mon aduis, Deſpeſchez de prier ceux de noſtre lignee, cui ir qrisenreray emopnerosrirces	Mon fils ici voudrais bien inviter nos amis À banqueter chez nous, allez, c'est mon avis, Despêchez de prier ceux de notre lignée, cuy ir qrisenrerai emopnerosrirces
Les Voiſins de Thobie le viennent veoir.	Les Voisins de Thobie le viennent voir.
Dieu vous gard' mon voiſin, benit ſoit le beau iour Qui me fait maintenant croire vostre retour, Comment?	Dieu vous gard' mon voisin, bénit soit le beau jour Qui me fait maintenant croire votre retour, Comment?
d’ou venez vous?	d'ou venez -vous?
contez moy ie vous prie De quel lieu, quel pays, depuis vostre partie Auez vous frequenté?	contez -moi encore vous prie De quel lieu, quel pays, depuis votre partie Vez -vous fréquenté?
chacan vous penſoit mort Dequoy vous fachez vous?	chacan vous pensait mort Dequoi vous fâchez vous?
i’ay plus de reconfort Putfecſut te vous renoy que de mon propre pere, Voſtre fils eſt bien ſain, außi eſt bien ſa mere, Ne vous aliristez point.	j'ai plus de réconfort Putréfecsut te vous renoi que de mon propre père, Votre fils est bien sain, aussi est bien sa mère, Ne vous aliristez point.
Thobie le pere.	Thobie le père.
Tous mes biens ſont perdus.	Tous mes biens sont perdus.
Le Voiſin.	Le Voisin.
Ne croiez pas cela, Ils vous ſerontrendus.	Ne croyez pas cela, Ils vous serontrendus.
Thobie le ieune, reuient Pere, l’vn m’a promis d’vne amiable ſorte, Be venir a ce ſoir pour l’amour qu’il vous porte, Mais vous ne ſçauez pas, comme en m'en reuenant I'ay trouué vn corps mort ſur la terre giſant, Et croy qu’on l’a occis.	Thobie le jeune, revient Père, l'un corps mort sur la terre amiable sorte, Be venir a ce soir pour l'amour qu'il vous porte, Mais vous ne savez pas, comme en m'en revenant J'ai trouvé un corps mort sur la terre gisant, Et crois qu'on l'a occis.
Pfiolre le Fere Mon Dieu comment iray ie!	Pfiolre le Fère Mon Dieu comment irai ici!
I'ay mon parent chez moy, ſi pourtant l’oſteray-ie Quant-ie deurois quiter & parens & amis Il faut des ce iourd huy quil ſoit en terre mis.	J'ai mon parent chez moi, si pourtant l'ôterai-je Quant-je devrais quiter et parents et amis Il faut des ce jour hui quil soit en terre mis.
Son parent artiue.	Son parent artiue.
Soyez bien reu enu mon Compere Thobie, Vrayment ie ne penſois iamais vous voir en vie, Dieu ſçait combien de fois ie vous ay regretté, Et combien vostre juis chęɇ moy ay ſounaitte.	Soyez bien revis envi mon Compère Thobie, Vraiment je ne pensais jamais vous voir en vie, Dieu Fait combien de fois ie vous ai regretté, Et combien vôtre chois chois moi ai sounaite.
Thobie le pere.	Thobie le père.
Ne parlons de çelà, quittons la facherie, Mon fils, donne à lauer, & lauons, ie vous prie.	Ne parlons de çelà, quittons la fâcherie, Mon fils, donne à lauer, et lavons, Seigneur vous prie.
mlonutoune en tuure, ce au firereu du diſner il ſouuient au pere Thobie de ce	mlonutoune en tuure, ce au fireu du dîner il souvient au père Thobie de ce
corps mort.	corps mort.
Pour Dieu permettez moy que i'aille ſeulement Tuſques icy aupres, & tout incontinent Ie reuiens vous trouuer:	Pour Dieu permettez -moi que j'aille seulement Tusques ici auprès, et tout incontinent Je reviens vous trouver:
Le Voiſin.	Le Voisin.
Quel important affaire Le fait ainſi ſortir!	Quel important affaire Le fait ainsi sortir!
mon fils où va ton pere,	mon fils où va ton père,
Thobie le ieune.	Thobie le jeune.
Monſieur il eſt allé ainſi comme ie croy Enſeuelir vn mort qui m’a fait grand effroy Reuenant de chez-vous?	Monsieur il est allé ainsi comme ici crois Ensevelir un mort qui m'a fait grand effroi Revenant de chez-vous?
Le voilloHé?	Le voilloHé?
n’at’il point de honte, Ne craint il point l'Edit, s’il faut qu’on le rencontre Ie parie ſa perte.	n'atte point de honte, Ne craint il point l'Édit, s'il faut qu'on le rencontre Je par sa perte.
Anne.	Anne.
Luxe ven pnis au mournr, Il ne luy ſouurent plus qu’on la voulu occir Pour le me me ſubiect, dites luy ie vous prie, He?	Luxe ven pénis au mournr, Il ne lui souvrent plus qu'on la voulu occir Pour le me me sujet, dites lui ie -vous prie, He?
n’eſt-ce pas a luy vne grand' vilanie De vous quitter ainſi?	n'est-ce pas à lui vne grand vilanie De vous quitter ainsi?
Le v oiſſ.	Le vois ois.
Vrayment il à grand tort De nous abandonner pour enterrer vn mort, Mais ie l’entendz venir hé paix, ie vous enprie Ie luy diray fort biens	Vraiment il à grand tort De nous abandonner pour enterrer un mort, Mais tu l'entendz venir hé paix, enfin vous enprie Je avait dirai fort biens
Thebie le pere.	Thébie le père.
Meßieurs, ie vous ſupplye Au nom de l’Eternel, & du grand Dieu viuant M’excuſer, de ce que i’ay tardé trop long-temps.	Messieurs, je vous supplie Au nom de l'Éternel, et du grand Dieu vivant M'excuser, de ce que j'ai tardé trop longtemps.
Le Voiſin, Quelle mode est ce-cy?	Le Voisin, Quelle mode est ce-cy?
comment est-ce la chere, Dont tu nous menaçois tout maintenant nous faire, Inuiter ſes amis, pour ainſi les quitter, A proprement parler, C’eſt, c’est les deſpiter.	comment est-ce la chère, Dont tu nous menaçais tout maintenant nous faire, Inviter ses amis, pour ainsi les quitter, À proprement parler, C'est, c'est les dépiter.
Thobie le pere.	Thobie le père.
Grand Dieu, que ie ſuis las, & encore ma femme Auecques mon Voiſin, vont reputer a blaſme Læuure que tu cheriz (o Eternel motenr) Guide moy cependant que le ſommeil vainqueur M’accable tout a coup:	Grand Dieu, que je suis las, et encore ma femme Avecques mon Voisin, vont réputer a blâme Læuvre que tu chéris (o Eternel motenr) Guide moi cependant que le sommeil vainqueur M'accable tout a coup:
Anne.	Anne.
Voyez en quell' erreur, Voyez en quel danger ceſt innocent nous iette, Quoy?	Voyez -en quelle erreur, Voyez en quel danger cet innocent nous jette, Quoi?
il ſemble à le voir que la mort il ſouhaitte, Il ne s’enqueſte-point ſi ces corps ſont infaicts, Et les prend ſur ſon col, ainſi qu’vn porte-faix, Epur les carrefours va chargé de fagotz, Sans redouter en rien n’y priſons n’y cachotz:	il semble à le voir que la mort il souhaite, Il ne s'enquête-point si ces corps sont infaits, Et les prend sur son col, ainsi qu'un porte-faix, Epur les carrefours va chargé de fagotz, Sans redouter en rien n'y prisons n'y cachots:
Il me faira mourir, & plustoſt ie deſire Perir, que de r’enchoir au malheur & martire Auquel par trop long-temps nous auons demeuré,	Il me faitra mourir, et plutôt je désire Périr, que de rouchoir au malheur et martyre Auquel par trop longtemps nous avons demeuré,
Thobie le ieune.	Thobie le jeune.
Ma mere ce Tyran a esté maſſacré Qui nous haiſſoit tan t?	Ma mère ce Tyran a été massacré Qui nous haïssait tan tendre?
Anne.	Anne.
Mais c’eſt vn vitapere D’aller iournellement dans chaſque Cymetiere Enfoüir tant de corps, cela ne m'agrée point.	Mais c'est un vitapère D'aller journellement dans chasque Cymetière Enfouir tant de corps, cela ne m'agrée point.
Thobie le ieune.	Thobie le jeune.
Il me ſemble à l’ouïr que quelque mal le point, Helas!	Il me semble à l'ouïr que quelque mal le point, Hélas!
qu'auroit il bien allons le veoir, ma mere.	qu'aurait il bien allons le voir, ma mère.
Huiiles.	Hviiles.
Mon mary, qu'auez vous?	Mon mari, qu'avez -vous?
Thobie le ieune.	Thobie le jeune.
Hé!	Hé!
qu’auez vous, mon pere.	qu'avez -vous, mon père.
Thobie le pere.	Thobie le père.
Helas (mon cher enfant) le ſupport de ma vie, Vn oyſeau malheureux m’a la veüe rauie.	Hélas (mon cher enfant) le support de ma vie, Un oiseau malheureux m'a la vue ravie.
Qu’ay-ie fait contre toy (Moteur de l’vniuers) Pour auoir ſi ſoudain perdu ces deux eſelairs, Tu les auois plantez par ta ſeule parele Au plus haut de mon chef, pour contempler le role De ta diuinité, donc ie ne verray plus Ce beau ſoleil qui faict que les praiz ſont vestis De ſi belle couleur, raieuniſsant la terre:	Qu'ai-je fait contre toi (Moteur de l'Hivers) Pour avoir si soudain perdu ces deux eselairs, Tu les avais plantez par ta seule parele Au plus haut de mon chef, pour contempler le rôle De ta divinité, donc rien ne verrai plus Ce beau soleil qui fait que les prais sont vêtis De si belle couleur, rajeunissant la terre:
Helas (ô Eternel) touſiours apres la guerre, L’on eſpere la paix, & moy ſeul malheureux, qiu peens es jonpues macmut tes naineux, x Penſant eſtre eſchappé de leur cruelle rage I'endure encor du mal & ſouffre dauantage Toutesfois (mon Seigneur) ie te pri' garde moy De murmurer iamau contre ta ſaincte loy.	Hélas (ô Ternel) toujours après la guerre, L'on espère la paix, et moi seul malheureux, qiu peens es émues macut tes naineux, Pensant ès eschappé de leur cruelle rage J'endure encor du mal et souffre davantage Toutefois (mon Seigneur) tu te pri' embarde moi De murmurer jamau contre ta sainte loi.
Anne.	Anne.
Ne diſois-ie pas bien voyez comme il endure, Eu ſçauras maintenant ſi ton Dieu aura cure De ton affliction, il t’euſt trop mieux valu.	Ne disais-je pas bien voyez comme il endure, Eu sauras maintenant si ton Dieu aura cure De ton affliction, il t'eût trop mieux valu.
Garder tous tes moyens, (ô pauure deſpourueu, Quand tu auois des biens tu en faiſois prodigue, Part, aux neceßiteux, qui paſſoient par Ninyue, Maintenant que tu es reduit en pauureté, Rut ne Sinpormera de tã neceßite:	Garder tous tes moyens, (ô pauvreté dépourvu, Quand tu avais des biens tu en faisais prodigue, Part, aux necessiteux, qui passaient par Ninyve, Maintenant que tu es réduit en pauvreté, Rut ne Sinpormera de tant necessite:
Voila tes braues faicts.	Voilà tes braves faits.
Thobie le ieune.	Thobie le jeune.
Helas!	Hélas!
pour Dieu ma mere, N’accroiſſez par vos dictz les douleurs de mon pere, N’auez vous point d’horreur, craignez, helas craignez, Que tesprepospicquants leſquels vous eſlancez Contre voſtre mary, ne vous portent dommage, Quittez ces vains diſcours.	pour Dieu ma mère, N'accroissez par vos dits les douleurs de mon père, N'avez -vous point d'horreur, craignez, hélas craignez, Que tesprepospicquants lesquels vous élancez Contre votre mari, ne vous portent dommage, Quittez ces vains discours.
Anhe.	Anhe.
Mais s’il eust eſté ſage Il n’euſt pas dißippé ſon bien comme il a fait.	Mais s'il eût été sage Il n'eût pas dissipé son bien comme il a fait.
Thobie le ieune.	Thobie le jeune.
Touſiours vn œuure bon demeure ſatisfaict.	Toujours un œuvre bon demeure satisfait.
AHIIE.	AHIIIE.
Qu'ell' œuure mon enſant, maintenant que nous ſomme Denuez de tout bien, que faira ce pauure homme.	Qu'ell' œuvre mon ensant, maintenant que nous somme Denuez de tout bien, que faira ce pauvre homme.
Thobie le ieune.	Thobie le jeune.
Ma mere, ayons eſpoir au grand Dieu ſouuerain, Car il peut conuertir ces pierres en du pain, Iuy qui par tant d’anees dans les deſertz ſteriles, Nourrit par ſon pouuoir des hommes tant de milles, Pourra-t’il point nourrir vostre ſeule maiſon?	Ma mère, ayons espoir au grand Dieu souverain, Car il peut convertir ces pierres en du pain, Jui qui par tant d'anées dans les déserts stériles, Nourrit par son pouvoir des hommes tant de milles, Pourra-t-il point nourrir votre seule maison?
Ie vous ſupplie ayez recours à ſon ſainct nom.	Je vous supplie ayez recours à son saint nom.
