A MADAME ADAME,	À MADAME ADAME,
& ie fus eſtonné que deux iours aprés il me monſtra toute l’affaire exccutée, d’vne maniere, à la verité beaucoup plus Galante, & plus Spirituelle, que ie ne puis faire, mais où ie trouuay des choſes trop aduantageuſes pour moy;	et beau fus étonné que deux jours après il me montra toute l'affaire exccutée, d'une manière, à la vérité beaucoup plus Galante, et plus Spirituelle, que sans ne puis faire, mais où ie tuai des choses trop avantageuses pour moi;
& i’eus peur, que ſi ie produiſois cét Ouurage ſur noſtre Theatre, on ne m’accuſaſt d’abord d’auoir mendié les loüanges, qu’on m’y donnoit.	et j'eus peur, que si belle produisais cet Ouvrage sur notre Théâtre, on ne m'accusât d'abord d'avoir mendié les langes, qu'on m'y donnait.
Cependant cela m’empeſcha, par quelque conſideration, d’acheuer ce que i’auois commencé.	Cependant cela m'empêcha, par quelque considération, d'achever ce que j'avais commencé.
Mais tant de gens me preſſent tous les iours de le faire, que ie ne ſçay ce qui en ſera, & cette incertitude eſt cauſe, que ie ne mets point dans cette Preface, ce qu’on verra dans la Critique, en cas que ie me reſolue à la faire paroiſtre.	Mais tant de gens me pressent tous les jours de le faire, que je ne sais ce qui en sera, et cette incertitude est cause, que je ne mets point dans cette Préface, ce qu'on verra dans la Critique, en cas que je me résolue à la faire paraître.
S’il faut que cela ſoit, ie le dis encore, ce ſera ſeulement pour vanger le public du chagrin delicat de certaines gens;	S'il faut que cela soit, ie le dis encore, ce sera seulement pour venger le public du chagrin délicat de certaines gens;
car pour moy ie m’en tiens aſſez vangé par la Reüſſite de ma Comedie, & ie ſouhaite que toutes celles que ie pourray faire, ſoient traittées par eux, comme celle cy, pourueu que le reſte ſuiue de meſme.	car pour mo ie m'en tiens assez vengé par la Réussite de ma Comédie, et quelque souhaite que toutes celles que sans pourrai faire, soient traitées par eux, comme celle cy, pourvu que le reste suive de même.
Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
AR Grace & Priuilege du Roy, donné à  Paris, le 4.	AR Grâce et Privilège du Roi, donné à Paris, le 4.
Feurier 1663.	Février 1663.
Signé, par le Roy L en ſon Conſeil, GVITONNEAV.	Signé, par le Roi L en son Conseil, GUITONNEAU.
Il eſt permis à GVILLAVME DE LVYNE, Marchand Libraire de noſtre bonne ville de Paris, de faire imprimer vne Piece de Theatre, de la Compoſition du Sieur MOLIERE, intitulée:	Il est permis à GUILLAUME DE LUYNE, Marchand Libraire de notre bonne ville de Paris, de faire imprimer une Pièce de Théâtre, de la Composition du Sieur MOLIÈRE, intitulée:
L’Eſcole des Femmes, pendant la temps de ſix années;	L'École des Femmes, pendant la temps de six années;
Et deffences ſont faites à toutes perſonnes, de quelque qualité & condition qu’elles ſoient, d’imprimer, vendre ny debiter ladite Comedie de l’Eſcole des Femmes, à peine de mille liures d’amende, & de tous deſpens, dommages & intereſts:	Et défenses sont faites à toutes personnes, de quelque qualité et condition qu'elles soient, d'imprimer, vendre ici débiter ladite Comédie de l'École des Femmes, à peine de mille livres d'amende, et de tous dépens, dommages et intérêts:
Comme il eſt plus amplement porté par leſdites Lettres.	Comme il est plus amplement porté par lesdites Lettres.
Achene umpranupaud premiere fois?	Achene umpranupaud première fois?
le iy Mars 1663.	le ji Mars 1663.
Les Exemplaires ont eſté fournis.	Les Exemplaires ont été fournis.
Regiſtre ſur le Linre de la Commemuunai des Marchands Libraires & Imprimeurs, le 16.	Registre sur le Linre de la Commemuunai des Marchands Libraires et Imprimeurs, le 16.
Mars 1663.	Mars 1663.
Signé DVBRAY, Syndic.	Signé DUBRAY, Syndic.
Et ledit DE LVYNE a fait part du Priuilege cydeſſus, aux Sieurs SERCY, IOLLY, BILLAINE, LOYSON, GVIGNARD, BARBIN, & QVINET, pour en jouyr le temps porté par iceluy.	Et ledit DE LUYNE a fait part du Privilège cydessus, aux Sieurs SERCY, JOLLY, BILLAINE, LOISON, GUIGNARD, BARBIN, et QUINET, pour en jouir le temps porté par icelui.
LES PERSONNAGES.	LES PERSONNAGES.
ARNOLPHE, Autrement Monſieur AGNES, HORACE, ALAIN, de la Souche.	ARNOLPHÉ, Autrement Monsieur AGNES, HORACE, ALAIN, de la Souche.
Ieune Fille innocente éleuée par Arnolphe.	Jeune Fille innocente élevée par Arnolphe.
Amant d’Agnés.	Amant d'Agnès.
BEORGETTE, Payſanne, ſeruante d’Arnolphe.	BERGETTE, Paysanne, servante d'Arnolphe.
CHRYSALDE, Amy d’Arnolphe.	CHRYSALDE, Ami d'Arnolphe.
ENRIQVE, Beau-frere de Chryſalde.	ENRIQUE, Beau-frère de Chrysalde.
Pere d’Horace, & grand amy d’Arnoipne.	Perce d'Horace, et grand ami d'Arnoipne.
Payſan, valet d’Arnolphe.	Paysan, valet d'Arnolphe.
ORONTE,	ORONTE,
L'ESCOLE	L'ÉCOLE
LESCOLE DES FEMMES, COAEDIL.	LESCOLE DES FEMMES, CODIL.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CHRISALDE, ARNOLPHE.	CHRISALDE, ARNOLPHÉE.
CHRISALDE.	CHRISALDE.
Ovs venez;	Ous venez;
ditesevous, pour luy donner la main?	ditesevous, pour notre donner la main?
ARNOLPHE.	ARNOLPHÉ.
Oüy, ie veux terminer la choſe dans demain.	Oui, Seigneur veux terminer la chose dans demain.
CHRISALDE.	CHRISALDE.
Nous ſommes icy ſeuls, & l’on peut, ce me ſemble, Sans craindre d’eſtre ouïs, y diſcourir enſemble.	Nous sommes ici seuls, et l'on peut, ce me semble, Sans craindre d'être ouïs, y discourir ensemble.
Voulez-vous qu’en Amy ie vous ouure mon cœurt Voſtre deſſein, pour vous, me fait trembler de peurt Et de quelque façon que vous tourniez l’affaire, Prendre Femme, eſt à vous vn coup bien temeraire.	Voulez-vous qu'en Ami jour vous ouvre mon cœurt Votre dessein, pour vous, me fait trembler de peurt Et de quelque façon que vous tourniez l'affaire, Prendre Femme, est à vous un coup bien téméraire.
ARNOLPHE.	ARNOLPHÉ.
Il eſt vray, noſtre Amy.	Il est vrai, notre Ami.
Peut-eſtre que chez vous ] Vous trouuez des ſujets de craindre pour chez nous;	Peut-être que chez vous ] Vous trouvez des sujets de craindre pour chez nous;
Et voltle ſlont, lecroy, veur que du Mariage, Les Cornes ſoient par tout l’infaillible apanage.	Et voltle slont, lecroy, veut que du Mariage, Les Cornes soient par tout l'infaillible apanage.
CHRISALDE.	CHRISALDE.
Ce ſont coups duHazard, dõt on n’eſt point garand Et bien ſot, ce me ſemble, eſt le ſoin qu’on en prẽd Mais quand ie crains pour vous, c’eſt cette raillerie Dont cent pauures Maris ont ſouffert la furie:	Ce sont coups duHasard, dompt on n'est point garant Et bien sot, ce me semble, est le soin qu'on en prẽd Mais quand je crains pour vous, c'est cette raillerie Dont cent pauvres Maris ont souffert la furie:
Car enfin vous ſçauez, qu’il n’eſt grands, ny petits Que de voſtre Critique on ait veus garantis;	Car enfin vous savez, qu'il n'est grands, ni petits Que de votre Critique on ait vus garantis;
Que vos plus grands plaiſirs ſont, par tout où vou eſtes, De faire cent éclats des intrigues ſecrettes.	Que vos plus grands plaisirs sont, par tout où vou êtes, De faire cent éclats des intrigues secrètes.
ARNOLPHE.	ARNOLPHÉ.
Fort bien:	Fort bien:
Eſt-il au monde vne autre Ville, auſſi, Où l’on ait des Maris ſi patients qu’icy?	Est-il au monde une autre Ville, aussi, Où l'on ait des Maris si patients qu'ici?
Eſt-ce qu’on n’en voit pas de toutes les eſpeces, Qui ſont accommodez chez eux de toutes pieces?	Est-ce qu'on n'en voit pas de toutes les espèces, Qui sont accommodés chez eux de toutes pièces?
L’vn amaſſe du bien, dont ſa Femme fait part A ceux qui prennẽt ſoin de le faire Cornard.	L'un amasse du bien, dont sa Femme fait part À ceux qui prennent soin de le faire Cornard.
[ fame L’autrè vn peu plus heureux, mais non pas moins ir Voit faire tous les iours des preſens à ſa Femme, Et d’aucun ſoin jaloux n’a l’eſprit combattu, Parce qu’elle luy dit que c’eſt pour ſa vertu.	[ famé L'autrè gne peu plus heureux, mais non pas moins ir Voit faire tous les jours des présents à sa Femme, Et d'aucun soin jaloux n'a l'esprit combattu, Parce qu'elle avait dit que c'est pour sa vertu.
L’vn fait beaucoup de bruit, qui ne luyſert de guere.	L'un fait beaucoup de bruit, qui ne luysert de guère.
L’autre, en toute douceur, laiſſe aller les affaires, Et voyant arriuer chez luy le Damoiſeau, Prend fort honneſtement ſes gands, & ſon manteat L’vne de ſon Galant, en adroite Femelle, Fait fauſſe confidence à ſon Eſpoux fidelle, Qui dort en ſeureté ſur vn pareil appas, Et le plaint, ce Galant des ſoins qu’il ne perd pas.	L'autre, en toute douceur, laisse aller les affaires, Et voyant arriver chez lui le Damoiseau, Prend fort honnêtement ses gants, et son manteat L'une de son Galant, en adroite Femelle, Fait fausse confidence à son Époux fidèle, Qui dort en sûreté sur un pareil appas, Et le plaint, ce Galant des soins qu'il ne perd pas.
L’autre, pour ſe purger de ſa magnificence, Dit qu’elle gagne au jeu l’argent qu’elle dépenſe;	L'autre, pour se purger de sa magnificence, Dit qu'elle gagne au jeu l'argent qu'elle dépense;
Et le mary beneſt, ſans ſonger à quel jeu, Sur les gains qu’elle fait, rend des graces à DieuEnfin ce ſont par tout des ſujets de Satyre, Et comme Spectateur, ne puis-ie pas en rire?	Et le mari benêt, sans songer à quel jeu, Sur les gains qu'elle fait, rend des grâces à DieuEnfin ce sont par tout des sujets de Satyre, Et comme Spectateur, ne puis-je pas en rire?
Puis-ie pas de nos Sots.	Puis-je pas de nos Sots.
CHRISALDE.	CHRISALDE.
Oüy:	Oui:
mais qui rit d’autruy, Doit craindre, qu’en reuanche, on rie auſſi de luy.	mais qui rit d'autrui, Doit craindre, qu'en revanche, on rie aussi de Seigneur.
I’entens parler le monde, & des gens ſe délaſſent Avenir debiter les choſes qui ſe paſſent:	J'entends parler le monde, et des gens se délassent Avenir débiter les choses qui se passent:
Mais quoy que l’on diuulgue aux endroits où ie ſuis, Iamais on ne m’a veu triompher de ces bruits;	Mais quoi que l'on divulgue aux endroits où tu suis, Jamais on ne m'a vu triompher de ces bruits;
I’y ſuis aſſez modeſte;	J'y suis assez modeste;
& bien qu’aux occurrences Ie puiſſe condamner certaines tolerances;	et bien qu'aux occurrences Je puisse condamner certaines tolérances;
Que mon deſſein ne ſoit de ſouffrir nullement, Ce que quelques Maris ſouffrent paiſiblement, Pourtant ie n’ay iamais affecté de le dire;	Que mon dessein ne soit de souffrir nullement, Ce que quelques Maris souffrent paisiblement, Pourtant ie nay iamais affecté de le dire;
Car enfin il faut craindre vn reuers de Satyre, Et l'on ne doit iamais jurer, ſur de tels cas, De ce qu’on pourra faire, ou bien ne faire pas.	Car enfin il faut craindre un revers de Satire, Et l'on ne doit jamais jurer, sur de tels cas, De ce qu'on pourra faire, ou bien ne faire pas.
Ainſi quant à mon frõt, par vn ſort qui tout meine.	Ainsi quant à mon front, par un sort qui tout mène.
Il ſeroit arriué quelque diſgrace humaine;	Il serait arrivé quelque disgrâce humaine;
Aprés mon precedé, ie ſuis preſque certain Qu’on ſe contentera de s’en rire ſous-main;	Après mon précédé, je suis presque certain Qu'on se contentera de s'en rire sous-main;
Et peut-eſtre qu’encore i’auray cét auantage, Que quelques bonnes gens diront que c’eſt dõmage.	Et peut-être qu'encore j'aurai cet avantage, Que quelques bonnes gens diront que c'est donner.
Mais de vous, cher Compere, il en eſt autrement, Ie vous le dis encor, vous riſquez diablement.	Mais de vous, cher Compère, il en est autrement, Je vous le dis encor, vous risquez diablement.
Comme ſur les Maris accuſez de ſouffrance, De tout temps voſtre langue a daubé d’importance.	Comme sur les Maris accusés de souffrance, De tout temps votre langue a daubé d'importance.
Qu’on vous a veu contr’eux vn Diable déchaîné;	Qu'on vous a vu contre eux un Diable déchaîné;
Vous deuez marcher droit, pour n’eſtre point berné Et s’il faut que ſur vous on ait la moindre priſe, Care qu'aua Currerours on ne voux tyiapaniſe, Et.	Vous devez marcher droit, pour n'être point berné Et s'il faut que sur vous on ait la moindre prise, Care qu'aua Currerours on ne voux tyapanise, Et.
6.	6.
ARNOLPHE.	ARNOLPHÉ.
Mon Dieu, noſtre Amy, ne vous tourmẽtez point;	Mon Dieu, notre Ami, ne vous tourmentez point;
Bien duppé qui pourra m’attraper ſur ce poinct.	Bien dupé qui pourra m'attraper sur ce point.
Ie ſçay les tours ruſez, & les ſubtiles trames, Dont, pour nous en planter, ſçauẽt vſer les Femmes;	Je sais les tours rusés, et les subtiles trames, Dont, pour nous en planter, savent user les Femmes;
Et comme on eſt dupé par leurs dexteritez;	Et comme on est dupé par leurs dextérités;
Contre cet aceident l'ay piis mes feurctez, Et celle que i’épouſe, a toute l’innocence Qui peut ſauuer mon front de maligne infſuence,	Contre cet aident l'ai piis mes feurcés, Et celle que j'épouse, a toute l'innocence Qui peut sauver mon front de maligne infsuence,
CHRISALDE.	CHRISALDE.
Et que pretendez-vous qu’vne Sotte, en vn mot.	Et que prétendez-vous qu'une Sotte, en Un mot.
ARNOLPHE.	ARNOLPHÉ.
Epouſer vne Sotte, eſt pour n’eſtre point Sot.	Épouser une Sotte, est pour n'être point Sot.
Ie crois, en bon Chreſtien, voſtre moitié fort ſage;	Je crois, en bon Chrétien, votre moitié fort sage;
Mais vne Femme habile eſt vn mauuais préſage, Et ie ſçay ce qu’il couſte à de certaines gens, Pour auoir pris les leurs auec trop de talens.	Mais une Femme habile est un mauvais présage, Et tu sais ce qu'il coûte à de certaines gens, Pour avoir pris les leurs esprit trop de talents.
Moy i’irois me charger d’vne Spirituelle, Qui ne parleroit rien que Cercle, & que Ruelle?	Moi j'irais me charger d'une Spirituelle, Qui ne parlerait rien que Cercle, et que Ruelle?
Qui de Proſe, & de Vers, feroit de doux écrits, Et que viſiteroient Marquis, & beaux Eſprits, Tandis que, ſous le nom du Mary de Madame, Ie ſerois comme vn Saint, que pas-vn ne reclame?	Qui de Prose, et de Vers, ferait de doux écrits, Et que visiteraient Marquis, et beaux Esprits, Tandis que, sous le nom du Mari de Madame, Je serais comme un Saint, que pas-un ne réclame?
Non, non, ie ne veux point d’vn Eſprit qui ſoit haut, Et Femme qui compoſe, en ſçait plus qu’il ne faut.	Non, non, Madame ne veux point d'une Esprit qui soit haut, Et Femme qui compose, en sait plus qu'il ne faut.
Ie pretens que la mienne, en clartez peu ſublime, Meſme ne ſçache pas ce que c’eſt qu’vne Rime;	Je prétends que la mienne, en clartés peu sublime, Même ne sache pas ce que c'est qu'une Rime;
Et s’il faut qu’auec elle on jouë au Corbillon, Et qu’on vienne à luy dire, à ſon tour, qu’y met-on?	Et s'il faut qu'avec elle on joue au Corbillon, Et qu'on vienne à lui dire, à son tour, qu'y met-on?
Ie veux qu’elle réponde, vne tarte à la crême, En vn mot, qu’elle ſoit d’vne ignorance extréme;	Je veux qu'elle réponde, une tarte à la crême, En un mot, qu'elle soit d'une ignorance extrême;
Et c vitaſſez pour elle, à vous en bien parler, De ſçauoir prier Dieu, m’aimer, coudre, & filer.	Et ç itassez pour elle, à vous en bien parler, De sçauoir prier Dieu, m'aimer, coudre, et filer.
CHRISAEDEI Vne Femme ſtupide eſt donc voſtre Marotte?	CHRISAEDEI Une Femme stupide est donc votre Marotte?
ARNOLPHE.	ARNOLPHÉ.
Tant, que i’aimerois mieux vne laide, bien ſotte, Qu’vne Femme fort belle, auec beaucoup d’eſprit.	Tant, que j'aimerais mieux une laide, bien sotte, Qu'une Femme fort belle, avec beaucoup d'esprit.
CHRISALDE.	CHRISALDE.
Lelpiit, & la bcaute.	Lelpiit, et la bcaute.
ARNOLPHE.	ARNOLPHÉ.
L’honneſteté ſuffit.	L'honnêteté suffit.
CHRISALDE.	CHRISALDE.
Mais commẽt voulez-vous, aprés tout, qu’vne beſte, Puiſſe iamais ſçauoir ce que c’eſt qu’eſtre honneſte?	Mais commêt voulez-vous, après tout, qu'une bête, Puisse jamais savoir ce que c'est qu'être honnête?
Outre qu’il eſt aſſez ennuyeux, que ie croy, D’auoir toute ſa vie vne beſte auec ſoy, Penſez-vous le bien prendre, & que ſur voſtre idée La ſeureté d’vn front puiſſe eſtre bien fondée?	Outre qu'il est assez ennuyeux, que sans crois, D'avoir toute sa vie une bête avec soi, Pensez-vous le bien prendre, et que sur votre idée La sûreté d'un front puisse être bien fondée?
Vne Femme d’eſprit peut trahir ſon deuoir;	Une Femme d'esprit peut trahir son devoir;
Mais il faut, pour le moins, qu’elle oſe le vouloir;	Mais il faut, pour le moins, qu'elle ose le vouloir;
Et la ſtupide au ſien peut manquer d’ordinaire, Sans en auoir l’enuie, & ſans penſer le faire.	Et la stupide au sien peut manquer d'ordinaire, Sans en avoir l'envie, et sans penser le faire.
ARNOLPHE.	ARNOLPHÉ.
A ce bel argument, à ce diſcours profond, Preſſez-moy de me joindre à Femme autre que ſotte;	À ce bel argument, à ce discours profond, Pressez-moi de me joindre à Femme autre que sotte;
Preſchez, patrocinez iuſqu’à la Pentecoſte, Vous ſerez ébahy, quand vous ſerez au bout, Que vous ne m’aurez rien perſuadé du tout.	Prêchez, patrocinez jusqu'à la Pentecoste, Vous serez ébahi, quand vous serez au bout, Que vous ne m'aurez rien persuadé du tout.
CHRISALDE.	CHRISALDE.
de ne tous dis pius inot.	de ne tous dis pius inot.
ARNOLPHE.	ARNOLPHÉ.
Chacun a ſa methode.	Chacun a sa méthode.
En Femme, cõme en tout, ie veux ſuiure ma mode.	En Femme, comme en tout, je veux suivre ma mode.
Ie me voy iche aſſez, pour pouuoir, que ie croy, Choiſir vne moitíé, qui tienne tout de moy, Et de qui la ſoûmiſe, & pleine dépendance, N’ait à me reprochet aucun bien, ny naiſſance.	Je me vois iche assez, pour pouvoir, que sans cro, Choisir quelque moitíé, qui tienne tout de moi, Et de qui la soumise, et pleine dépendance, N'ait à me reprochet aucun bien, ni naissance.
Vn air doux, & posé parmy d’autres enfans, M’inſpira de l’amour pour elle, dés quatre ans:	Un air doux, et posé parmi d'autres enfants, M'inspira de l'amour pour elle, dès quatre ans:
Sa Mere ſe trouuant de pauureté preſſée, De la luy demander il me vint la penſée, Et la bonne Païſanne, apprenant mo?	Sa Mère se trouvant de pauvreté pressée, De la Roi demander il me vint la pensée, Et la bonne Paysanne, apprenant mo?
deſir, A s’oſter cette charge eut beaucoup de plaiſir.	des, A s'ôter cette charge eut beaucoup de plaisir.
Dans vn petit Conuent, loin de toute pratique, Ie la fis éleuer, ſelon ma politique, C’eſt à dire ordonnant quels ſoins on employroit, Pour la rendre idiote autant qu’il ſe pourroit.	Dans un petit Convent, loin de toute pratique, Je la fis élever, selon ma politique, C'est à dire ordonnant quels soins on emploierait, Pour la rendre idiote autant qu'il se pourrait.
Dieu mercy, le ſuccés a ſuiuy mon attente, Et grande, ie l’ay veuë à tel poinct innocente, Que i’ay beny le Ciel d’auoir trouué mon fait, Pour me faire vne Femme au gré de mon ſouhait.	Dieu merci, le succès a suivi mon attente, Et grande, tu l'ai vue à tel point innocente, Que j'ai béni le Ciel d'avoir trouvé mon fait, Pour me faire une Femme au gré de mon souhait.
Ie l’ay donc retirée;	Je l'ai donc retirée;
& comme ma demeure A cent ſortes de monde eſt ouuerte à toute heure, Ie l’ay miſe à l’écart, comme il faut tout préuoir, Dans cette autre Maiſon, où nul ne me vient voir;	et comme ma demeure A cent sortes de monde est ouverte à toute heure, Je l'ai mise à l'écart, comme il faut tout prévoir, Dans cette autre Maison, où nul ne me vient voir;
Et pour ne point gâter ſa bonté naturelle, Ie n’y tiens que des gens tout auſſi ſimples qu’elle.	Et pour ne point gâter sa bonté naturelle, Je n'y tiens que des gens tout aussi simples qu'elle.
Vous me direz pourquoy cette narration?	Vous me direz pourquoi cette narration?
C’eſt pour vous rendre inſtruit de ma précaution.	C'est pour vous rendre instruit de ma précaution.
Le reſultat de tout, eſt qu’en Amy fidelle, Ce ſoir, ie vous inuite à ſouper auec elle:	Le résultat de tout, est qu'en Ami fidèle, Ce soir, je vous inuite à souper avec elle:
Ie veux que vous puiſſiez vn peu l’examiner, Et voir, ſi de mon choix on me doit condamner.	Je veux que vous puissiez un peu l'examiner, Et voir, si de mon choix on me doit condamner.
y conſens.	y consens.
CHRISALDE.	CHRISALDE.
ARNOLPHE.	ARNOLPHÉ.
vous pourren, dans cette conference, Iuger de ſa perſonne, & de ſon innocenee.	vous pourren, dans cette conférence, Juger de sa personne, et de son innocène.
CHRISALDE.	CHRISALDE.
Pour cét article la;	Pour cet article la;
ce que vous m’auez dit, Ne peut.	ce que vous m'avez dit, Ne peut.
ARNOLPHE.	ARNOLPHÉ.
La verité paſſe encor mon recit Dans ſes ſimplicitez à tous coups ie l’admire, Et par fois elle en dit, donc ie pâme de rire.	La vérité passe encor mon récit Dans ses simplicités à tous coups était l'admire, Et par fois elle en dit, donc belle pâme de rire.
L’autre iour (pourroit-on ſe le perſuader?	L'autre jour (pourrait-on se le persuader?
Elle eſtoit fort en peine, & me vint demander, Auec vne innocence à nulle autre pareille, oi les enfans qu’on fait, ſe faiſoient par P’oreille.	Elle était fort en peine, et me vint demander, Avec une innocence à nulle autre pareille, oi les enfants qu'on fait, se faisaient par P'oreille.
CHRISALDE.	CHRISALDE.
Ie me réjoüis fort, Seigneur Arnolphe.	Je me réjouis fort, Seigneur Arnolphe.
ARNOLPHE.	ARNOLPHÉ.
Bon, Me voulez-vous toûjours appeller de ce nom?	Bon, Me voulez-vous toujours appeler de ce nom?
CHRISALDE.	CHRISALDE.
Ah!	Ah!
