ADONIS .	ADONIS .
Et m’aſſeure qu’il m’é ſçaura fort bon gré, & en ſera incité de vous donner encore ſa Tullie, ſa Charite, ſa Didon, ſa Dorothee, & le reſte de ſes belles Pœſies, qu’il tient cachees au grãd regret de tous les bons eſprits:	Et m'assure qu'il m'é sçaura fort bon gré, et en sera incité de vous donner encore sa Tullie, sa Charite, sa Didon, sa Dorothée, et le reste de ses belles Pœsies, qu'il tient caches au grand regret de tous les bons esprits:
Et d’autant Madame, que ie voy, qu’en ceſte grandeur houorable, où vous eſtes eſleuee, au Ettuie iing des plus ſages, belles, & vertueuſes de toute la France, vous ne deſdaignezpas les humaines Muſes pour douces & agreables compagnes, eipere qu'a mou namble priere vous ne refuſerez d’authoriſer ce	Et d'autant Madame, que ainsi vois, qu'en cette grandeur houorable, où vous êtes élève, au Étuie jing des plus sages, belles, et vertueuses de toute la France, vous ne dédaignezpas les humaines Muses pour douces et agréables compagnes, eipere qu'a mou namble prière vous ne refuserez d'autoriser ce
APISTRE.	APISTRE.
res de recreation, MAPAME, ie ſupplie le Createur vous donner en treſparfalte ſanté treſlongue & treſ-heureuſe vie.	rés de recréation, MAPAME, où supplie le Créateur vous donner en tréparfalte santé treslongue et très-heureuse vie.
De Paris ce 3.	De Paris ce 3.
Nou.	Nov.
1578.	1578.
De V.	De V.
E.	E.
Treſ-humble & tresſ obeiſſant ſeruiteur, D’AMBOYSS.	Très-humble et très obéissant serviteur, D'AMBOYS.
MONTAN.	MONTAN.
SYLVIN.	SYLVIN.
CVPIDON.	CUPIDON.
L'OMBRE.	L'OMBRE.
D'ADONIJ;	D'ADONIJ;
SONNET SVR LA TRAGEDIE D’ADONIS.	SONNET SUR LA TRAGÉDIE D'ADONIS.
1574.	1574.
Ve vous ſert deſormais Ortades cbaſſeuſit De broſſer par les bois!	Ve vous sert désormais Ortades casseusit De brosser par les bois!
CHARLAS voſtre ſupport.	CHARLAS votre support.
CHARIES voſtre Adonis voſtre mlgvon eſt mort, Changeant aux Eliſtz vot ſoreſts ombrageuſes.	CHARIEZ votre Adonis votre mêlguon est mort, Changeant aux Élistz vot sots ombrageuses.
Secbez voſtre futillage, ô plantes ſoureilleuſet.	Secbez votre futillage, ô plantes soureilleuset.
De bleu, de nelt, rulſſeaux tapiſſez voſtre bord, Nimphes, chaſleurs rompez cémme moy voſtre cor, Quiltez voſtre equippage & vos torles noüeuſci.	De bleu, de nelt, rulsseaux tapissez votre bord, Nymphes, chasleurs rompez cémme moi votre cor, Quités votre euquipage et vos torles noüeusci.
Adieu Nymphes adieu, & lamait n’eſper De faire veſtte queſte aux Francoyſes ſoreſts:	Adieu Nymphes adieu, et lamait n'espérer Faire De faire vête aux Francoises sots:
Mais non, ne vous bougiz, car ſe docte BrRT Ou En faxtur de Venus pauure deſconſortee.	Mais non, ne vous bougis, car se docte BrT Ou En faxtur de Venus pauvre desconsorte.
Malgre Mart le ialoux & l’orgueilleux Pluton, Penge ioy adonis de l’onde Atberontee.	Malgre Mart le jaloux et l'orgueilleux Pluton, Penge joi adonis de l'onde Atbéronte.
D'AMBOYSE, Sine tempore tempus.	D'AMBOISE, Sine tempore tempus.
ACTE PREMIER.	ACTE PREMIER.
VENVS, ADONIS.	VENUS, ADONIS.
tI VENVS.	tI VENUS.
Oui Prinees qui rauis en l’or de vot ebaſteaux, Couurez d’armet la tetre & la mer de baſteaux, Qui ſaites moini de tas de la maſſe ſeruile, Du vulgualre ignorant, que d’vne bourbe vile:	Oui Prinées qui ravis en l'or de vot ébasteaux, Couvrez d'armet la tette et la mer de basteaux, Qui saites moini de tas de la masse servile, Du vulguère ignorant, que d'une bourbe vile:
Qui branſt:	Qui branst:
z, qui virez, qui tourniz en vos maint, Aluſi qu’vn globe rond l’Empire des bumalni, Et voulez que ebacun tos grandeurs ldolaſtre, S’il aduient quelqueſois que ſortune maraſtre.	As, qui virez, qui tournis en vos maint, Alusi qu'un globe rond l'Empire des bumalni, Et voulez que ébacun tos grandeurs ldolastre, S'il advient quelquesois que sortune marâtre.
Eſclataut de Bus vous ſon horrible meſchef, D’vn inſame licol vous empeſtre le cheſ, Si vous portez enſia aux eſtrangeres riues Gemir honteuſemeut vos couronnes capiiues, N’eſtimez pour cela qu’vn ebangement diucrs.	Éclataut de Bus vous son horrible mèches, D'un insame licol vous empêtre le chez, Si vous portez ensia aux étrangères rives Gémir honteusemut vos couronnes capives, N'estimez pour cela qu'à Ebangement divcrs.
Pouſſe det bommes ſeuls les eſtatt à l’enuers, Au ciel comme fa bas (ie ie dis à l’eſpreuue) De mon propre malbeur l’inconſtauce ſe treuue, Quand l’Arcadic oyſeau celeſte meßager, Deſpoitilla ma cbait nuë au Phrigien be,ger, Qui encore n’auoit ticé dans let Pergames, Offenſqut Menelas, les Argoliquis ſlammes, I’acquis la pomme d’er au gré de mon vouloir, Et i'auois ſur lunen dequoy me preualoir,	Pousse dét bommes seuls les étatt à l'envers, Au ciel comme fa bas (ie était dis à l'épreuve) De mon propre malbeur l'inconstauce se trouve, Quand l'Arcadic oiseau céleste messager, Despoitilla ma catait nue au Phrigien béger, Encore Qui n'avait ticé dans let Pergames, Offensquait Ménélas, les Argoliquis sammes, J'acquis la pomme d'er la pômme d'vouloir, Sur l'avais sur lunen dequoy me prévaloir,
viſitant det bætt Dieux la ſale frequintee, Ou i’eſtous bien venuë, ou cbacun ſe ltuant, En ſigre de ſaueur me courolt au deuant, Mtille ſeux conſatrez teſmoignent ina hauteſſe, Et l'eau, la terre, l’ait me coaſeſſoitnt Deeſſe, Sans vn marp vilaln, vn manœuure boiteux, Qui m’a banny du ciel en ceſt exil bonteux;	visitant dét bæt Dieux la sale frequinte, Ou j'estous bien venuë, ou cébacun se ltuant, En gré de saveur me courolt au devant, Mtille seux consatrez témoignent ina hautesse, Et l'eau, la terre, l'ait me coasessoitnt Deesse, Sans un marp ilaln, un manœuvre boiteux, Qui m'a banni du ciel en cet exil bonteux;
Außi ie ne deuois eutrer en mariage, Aute cet importun qui me comble de ragt, Pallas enfit reſus & le graud lupiter, Außi toſt qu’il naſquit le ſaiſant culbuter, Iet banches luy caſſa, dont encores il chope, Que ſaſt-il au tonbeau le malheurcux Cycle)e, Cet enorme baſtard meſchant & vitieux Ne ceſſe de monſtrer ſon cœur pernitieux, Ore de ſon mar teau ſous les roches molfies, Il bat pour eſtonuer les ſimples ſantoſies Des peuplec idiols:	Aussi ici ne devais eutrer en mariage, Aute cet importun qui me comble de rags, Pallas enfit ressus et le graud lupiter, Aussi tôt qu'il nasquit le saisant culbuter, Jet banches lui cassa, dont encor il chope, Que st-il au tonbeau le malheurcux Cycle)e, Cast en bâtard méchant et vitieux Ne cesse de montrer son cœur pernitieux, Ore de son mar teau sous les roches molfies, Il bat pour estonuer les simples santosies Des peuplec idiols:
ſon orage-toctu, Ore pour aſſonimer la guerriere vertu, Du plus vaillaut Tiojen, it trempe vnt culraſſe, Ore dedais l’horreur de ſa cauerue baſſe, Il haſte contre moy ſes ſo-gerons mutins, Et me tend en ſurſaut des chainons Aymanthins Tandit qu’auecques Mars ie me ſuit eadormie.	son orage-toctu, Ore pour assonimer la guerrière vertu, Du plus vaillt Tiojen, it trempe un tasse, Ore dedais l'horreur de sa caverve basse, Il hâte contre moi ses sogérons mutins, Et me tend en sursaut des chaînons Aimanthins Tandit qu'avec Marsrit me suit eadormie.
C eſt comment il remplit de ſu propre iuſamie, La bouche det mortels, c’eſt comment ſaus iaiſon, Jl binaiſt de broquart la celeſte maiſon, Vn miry vertueux qui apme bien ſa ſemme, St d’auentare il void qu’elle merite blaſine, En propes & conſeil laſçait bien coriiger, Et ne met ſolement ſon bonneur en danger.	Ç est comment il remplit de su re jusamie, La bouche dét mortels, c'est comment saus jayson, Jl binaît de broquart la céleste maison, Un miry vertueux qui apme bien sa semme, St d'aventare il voit qu'elle mérite blasine, En propes et conseil lasçait bien corjiger, Et ne met solement son bonneur en danger.
Ie creue de de ſpit & l’ardeur qui m’empire.	Je crève de de spit et l'ardeur qui m'empire.
Reud monſitl tant emeu que itbouillonne d’ice,	Revid monsitl tant ému que itbouillonne d'ice,
Nires auelr eſti priſe de guet à pent, Peur appreſter aux Dleux à rire à mes deſpeu, Cruel ſouſſle ebatbon à la ſumeuſt trongne, Quand tu me procura vne telle vergongué, Je n’auois le moyen de ſeulement cacter Les membres plus ſecrett de ma tremblante chalr, Or puit qu’il m’a braße tels indignes eſtornes.	Nires auel est prise de guet à pent, Peur apprêter aux Dleux à rire à mes despeu, Cruel soûle ébatbon à la sumut trongne, Quand tu me procura une telle vergongué, Je n'avais le moyen de seulement cacter Les membres plus secrett de ma tremblante chal, Or puit qu'il m'a brène tels indignes étornes.
Ie luy ſeray porter deſſus le front des cornes, Et ne s’en faudra rien, aduienne que pourra.	Je lui serai porter dessus le front des cornes, Et ne s'en faudra rien, advienne que pourra.
Ainſi de ſet abus l’amende il me ſera.	Ainsi de set abus l'amende il me sera.
Teuteiſois il ne faut que la fleche pouſſee Par la main at mon filt me bleſſe la penſee, De quelque amour diuin, Ie veux bumainemeut, Pour vn leune garçon ſangletter mon tourment, L’Aurore deuant iour en la terre deualle, Afin de reteuoir les baiſers de cephale:	Teuteisais il ne faut que la flèche poussée Par la main at fin de ce blesse la pense, De quelque amour divin, Je veux bumainemeut, Pour un leune garçon sangleuter mon tourment, L'Aurore devant jour en la terre devalle, Afin de reteuoir les baisers de cephale:
La Lune d’autre part reſueille ſon paſteur, Qyand il eſt plus eſtraint d’vn ſommeil euebûteur.	La Lune d'autre part réveille son pasteur, Qyand il est plus étraint d'un sommeil euebuteur.
Mais qu’eſt-te que i’entens?	Mais qu'est -te que j'entends?
̀ belas ou it me trompe, Ou bien c’eſt Adonis qui entenne ſa trompt, Pour aller aux ſoreſtt.	On bêlas ou it me trompe, Ou bien c'est Adonis qui entenne sa trompt, Pour aller aux sotest.
Adonis.	Adonis.
Amenez tet limiers, Sus à coup venez toſt, & marcbez les premlers,	Amenez tet limiers, Sus à coup venez tôt, et marcbez les premers,
Venus.	Venus.
Ne diſous-Ie pas bien?	Ne disous-Ie pas bien?
Venus iufortunet, Maintenant tu vert as comblen la deſtinté, Coniure contre toy de penible rigueur, Adonis mon mignonmes dellees, mon cœur;	Venus juffortunet, Maintenant tu vert as comblen la destiné, Conjure contre toi de pénible rigueur, Adonis mon mignonmes delle, mon cœur;
Mor cœur, voire mon cœur, & ma douce eſptr ami, N'aurar-ie poine tamaus l’enpiere lon ſſance, De tes embraſſemens ?	Mor cœur, voire mon cœur, et ma douce éptr ami, N'aurar-je poine tamaus l'enpière lon sance, De tes embrassements ?
n’ay-it pas merité, Stule d’auoir le fruit de ta itunc beauté?	n'ai-it pas mérité, Stule d'avoir le fruit de ta itun beauté?
Adonis, Quel propos eſt-cecy?	Adonis, Quel propos est-ceci?
quelle doute nouuelle:	quelle doute nouvelle:
Quere des ameure, vous entie en la cetuelle.	Quere des amure, vous entie en la cetuelle.
Cemment l viſtes vous oncq' vn auire ſeu pipeur Embrazer dedans moy ſa ſlambaute vapcur Si ie vait à ſ’eibat n’in ſoyez point faſchee.	Cemment l vîtes vous oncq auire seu pipeur Embraser dedans moi sa slambaute vapcur Si ici vait à s'eibat n'in soyez point fâchée.
venus.	venus.
Ie craint mon doux ſoucy quelque Nymphe tatbes Hoſteſſe des buiſſons qui te tendant ſes laz Vueille parliciper à mon bien & ſoulat, Amour eſt ſoupçonneux & rarement ebemir, Qu’il n’ait à ſes coſtez vne crainte voiſine:	Je craint mon doux souci quelque Nymphe tatbes Hôtesse des buissons qui te tendant ses la Veuveille parliciper à mon bien et soûlât, Amour est soupçonneux et rarement ébémir, Qu'il n'ait à ses côtés une crainte voisine:
En quoy t’ay-le deſplu ?	En quoi t'ai-le déplu ?
̀ comment ay-ie pecbé Pour te voir ſi ſouaent de mon ſein artache?	̀ comment ay-ie pecbé Pour te voir si souaent de mon sein artache?
A bon deoit ie maudit cei obſcuret ramtes Et ees bois où ſe ſont les ſureurs allumees conçeut furtluement ſon veneur Caliſthon.	À bon devait Seigneur maudit cei obscuret ramtes Et ces bois où se sont les fureurs allumées conçut furtluement son veneur Cisthon.
Puiſiez-vous à l’inſtant perdre vos ſueilles vertes Puiſtiez-vous ô ſoreſts chauues & deſcouuertes Eſprouuer les biuers d’vn Aquillon grondent, Puis que vous rauiſſtz mon deſir, & pendant Languiſſante d’ennuy à touie beure ie paſme.	Puisiez-vous à l'instant perdre vos seuilles vertes Puistiez-vous ô sotests chauves et découvertes Éprouver les bivers d'un Aquillon grondent, Puis que vous rauisstz mon désir, et pendant Languissante d'ennui à touie beureie pâme.
Adonis.	Adonis.
Deeſſe ne penſez qu’vnt ſel'onde ſemme Me ſace chauceller à ſa deuotion, En vous & non ailleurs giſt mon affection.	De ne pensez qu'Hommes sel'onde semme Me sace chauceler à sa dévotion, En vous et non ailleurs gît mon affection.
Pourtant ne craignez point ceſle ſoreſt proſonde?	Pourtant ne craignez point cèle sotest prosonde?
Du ne voit qu’vn Soleil eſcloirer iout le mondé, Qui aes moindres ſlambeaux eſtoufſe la ſplendeur, Autre que vous außi n’eſchauffera l’ardeur De mon cœur oblige, quelque effort qu’on me donnes Le ciel rit vous voyant, la terre ſe couronne De roſes & d’œillett poui mlieux vous careſſer:	Du ne voit qu'Han Soleil escloirer jout le mondé, Qui aes moindres slambeaux estoufse la splendeur, Autre que vous aussi n'échauffera l'ardeur De mon cœur oblige, quelque effort qu'on me donnes Le ciel rit vous voyant, la terre se couronne De roses et d'œillet pouy mêlieux vous caresser:
Hé dicux pourrois-ic bitn en oubly vous laiſſett Mais quoy le ſeul plaiſie à la chaſſe me meine,	Hé dicux pourrais-ic bitn en oubli vous laissett Mais quoi le seul plaisie à la chasse me mène,
Venus, Chaſſe!	Venus, Chasse!
le ſeul motlſ de mon iſtrange prine, Chaſſe!	le seul mots de mon istrange prine, Chasse!
quime deſtruit & chaſſe loing de moy, Tout le contentement que i’eſpere de ioy?	quime détruit et chasse loin de moi, Tout le contentement que j'espère de joi?
Tu me vois eſſeuer ſut la troupe diuine, Tu veis cet œil migaard de couleur bebenine Et l'or cuamouré de ces paſſe fillons Qui pourroyent vn rocher ſeadre en mille ſillons, Tu vois de mon ſcin blanc l’enſleure rondelette Tu vois belas tu veis uion bras qui ne ſoubaitte Qu’à te ſauoriſer, t’accoller à loiſir, C’eſt-tà qu’il ie faucteolt chercher quelque plaiſir, C’eſt là que tu deutrois, ſi ie inteile grace, Employer tes deſtins, tes eſſorts & ta chaſſe.	Tu me vois essever sut la troupe divine, Tu veis cet œil migaard de couleur bebenine Et l'or cuamouré de ces passe sillons Qui pourraient un rocher seadre en mille sillons, Tu vois de mon scin blanc l'ensleure rondelette Tu vois bêlas tu veis uion bras qui ne soubaitte te sauoriser, accoller loisir, est-tà il ie faucteolt chercher quelque plaisir, est que tu deutrois, si ie inteile grace, Employer tes destins, tes essorts et ta chasse.
Tel qui peuſe tromper la beſte enuelopant En ſon fille tendu ſouuent il ſe repent De l’aueir entrepris tat ſon malbeur extreſme Cuident ſurprendre autruy le captiue luy miſme, Eutre les animaux que naturc ſorma De cornes les aueun;	Tel qui peuse tromper la bête enveloppant En son fille tendu souvent il se repent De l'aueir entrepris tat son malbeur extrême Cuident surprendre autrui le captive au misme, Eutre les animaux que naturc sorma De cornes les aueun;
, les autres elle atnia D’vne dent furieuſe où ſe cath:	, les autres elle atnia D'une dent furieuse où se cath:
la ſoudre, Aſin de teri aſſer bomme & chiens ſur la toudre, Qu’vn finiſtre malbeur de mon aiſe ialoux T’expoſaſt nontballant à la rage des loux, Que ie te viſſe mort en pourſuyuant les courſes Du ſanglier eſeumeux ou des ſumantes ourſes.	la soudre, Asin de teri asser bomme et chiens sur la toudre, Qu'un finistre malbeur de mon aise jaloux T'exposât nontballant à la rage des loux, Que ie te visse mort en poursuivant les courses Du sanglier eseumeux ou des sumantes ourses.
Dieux empeſchez ce mal, Mignon tu n’iras point.	Dieux empêchez ce mal, Mignon tu n'iras point.
Sas que ce pourpre beau à ma leure ſoit loint:	Sas que ce pourpre beau à ma lèvre soit loint:
Embraſſe.	Embrasse.
moy mon ſits & doucement me ſerral Comme ſait ſon rameau vn amoureux lierre.	moi mon sits et doucement me serral Comme sait son rameau un amoureux lierre.
Adonis.	Adonis.
Qui d’vn amy pa ſait veut emporter le prit, Doit auoir quelquesſois ſet amours à meſpris, Et reioindre ſoudain:	Qui d'un ami pa sait veut emporter le prit, Doit avoir quelquessois set amours à mépris, Et rejoindre soudain:
car à la continté L’amout bien que ſeruant peu à peu diminuë.	car à la continé L'amout bien que servant peu à peu diminue.
On eſtime bien ſoit le Prin-temps retourné Pource qu’il n’eſt touſiours prodiguement orné Des ſes bouquets nouueaux & plaiſante verdure, Et moint à deſplaiſie, plaiſir qui touſiours dure, Pardonnez-moy venus ſi de vous me diſtrez.	On estime bien soit le Printemps retourné Pource qu'il n'est toujours prodiguement orné Des ses bouquets nouveaux et plaisante verdure, Et moint à déplaisie, plaisir qui toujours dure, Pardonnez-moi venus si de vous me distrez.
Venus.	Venus.
Me deſdeigner ainſi, ce ſont ce ſont les trez D’vn courage ſelon endurcy plus que marbre.	Me desdeigner ainsi, ce sont ce sont les tès D'un courage selon endurci plus que marbre.
Veux-tu donc imiter le naturel de l’aibre, Qui pour te mettre au iour ſon eſeorce ſendit Et dedans tes boyaux ſa rudeſſe eſpandit?	Veux-tu donc imiter le naturel de l'aibre, Qui pour te mettre au jour son éeorce sendit Et dedans tes boyaux sa rudesse épandit?
Ture de la beaute tant le venin m'altere I’ay laiſte les coupeaux d’Erice & de cytbere.	Ture de la beauté tant le venin m'altère J'ai laiste les coupeaux d'Erice et de cystbère.
Et les cbamps Gaydient mon terroir precieux Quitant aux immortelt le nectar & les cieux, Tu es mon deux nectar, tu es mon Ambroſie, Octroye moy te don, change de ſantaſie, Differant à demain puiſque Phœbus panche Sur la mer Eſpagnole eſt à demy couche.	Et les camps Gaidient mon terroir précieux Quitant aux immortelt le nectar et les cieux, Tu ès mon deux nectar, tu es mon Ambrosie, Octroie moi te don, change de santaisie, Différant à demain puisque Phœbus penche Sur la mer Espagnole est à demi couche.
Adonis.	Adonis.
Baſte, c’eſt trop parle ie le veux ma Deeſſe, Retournons at complir la douceur ſlatereſſe, De ce ſtu couſtumier qui nous ſult pas à pass Et rauit nos eſprits au miet de ſes apas.	Bâte, c'est trop parle femme le veux ma Déesse, Retournons at complir la douceur slateresse, De ce stu coutumier qui nous sult pas à pass Et ravit nos esprits au miét de ses appas.
ACTE SECOND.	ACTE SECOND.
MARS.	MARS.
DIANE.	DIANE.
MARS.	MARS.
Nommene?	Nommène?
eſt-te la ſoy paillarde Cytberes OEſt-ce la ſermeté que tu m’auois iuree?	est-te la soi paillarde Cystbères ŒSt-ce la sermeté que tu m'avais jure?
Me diſois-tu etla quand d’vn baiſer larron Tu faiſois eſpamer mon ame en ton giron?	Me disais-tu étla quand d'un baiser larron Tu faisais espamer mon âme en ton giron?
Quand ie laiſſois tomber, ô ſimpleſſe trop laſebt.	Quand beau laissais tomber, ô simplesse trop lasebt.
A tes piedi blandiſſant mon ire & mon rudacbe Miſer able putain cauſe de toul eſmoy.	À tes piedi blandissant mon ire et mon rudacbe Miser able put cause de toul émoi.
Tu te mocqueras doncq à ceſte beure de moy?	Tu te moqueras donc à cette beure de moi?
Non non ne penſe-pus que ma maln ſoit retius, Ny qu’elle ſeit encore deſſous Otbus captine, I’ay le bras, i’ay la main, i’ay l'eſcu rougiſſant.	Non non ne pense-pus que ma maln soit retius, Ni qu'elle seit encore dessous Otbus captine, J'ai le bras, j'ai la main, j'ai l'écu rougissant.
Des corps enſenglantez que i’aillay tapißant Quand l’erguell terrene du Geant Enceliade Oſa contre les cieux preſenter l’eſtalade Tondis qu’vn mont gibel ſa flamme vomira L’honneur Odriſience monde remplira Je ſuis le Dieu commun qui briſe les murailles Qui les prens & deffens, qui donne les batailles Animant au combal le guerrier endurcy Sans pitit ſans amour & qui de mon ſourcy Peux faire tresbucher la Cyme de Rhodope La Tharce m’obeit, le Tartare galopre Apres mon cbar doré:	Des corps ensenglanés que j'aillai tapissant Quand l'erguell terrene du Geant Enceliade Osa contre les cieux présenter l'étalade Tondis qu'un mont gibel sa flamme vomira L'honneur Odrisience monde remplira De suis le Dieu commun qui brise les murailles Qui les prends et défens, qui donne les batailles Animant au combal le guerrier endurci Sans pit sans amour et qui de mon sourcy Peux faire trébucher la Cyme de Rhodope La Tharce mobit, le Tartare galopre Apres mon cbar doré:
& comme tourbillons Me ſuiuent loing du tour les plaiſans Gelcons, Mais dequoy me ſert-il de guider les armees De commonder aux Roys de vendre leur ſumeet	et comme tourbillons Me suivent loin du tour les plaisants Gelcons, Mais dequoy me sert-il de guider les armées De commonder aux Rois de vendre leur sumet
Eties ſemples vatnqueurs de palmes umbragez Si d’vn ſoible gat çon ie ne me puis vanger:	Eties semples vatnqueurs de palmes umbragez Si d'une soible gat çon esprit ne me puis venger:
Mais dequoyme ſert iſ ſouſter tu ma poitrine Les Syhiques labeurs, le meurtre, la rapint Et rompre les aceors de chacunélement Si vn himme moiſel me beaue tellementi Que ſert-il de ſicher ou me plaiſt la ticioire, Si vn petit chaſſeur triomphe de ma gloire.	Mais dequoyme sert is sous tu ma poitrine Les Syhiques urs, le meurtre, la rapint Et rompre les aceors de chacunélement Si un homme moisel me beaue tellementi Que sert-il de sicher ou me plaît la ticioire, Si un petit chasseur triomphe de ma gloire.
Encore ſi Mercure eſtoit mon coriual Ou le Dieu raronnnant du flame pitd-cheual Ou celuy qui des eaux bride la violence, J’aurou moins de regret & prendrois patience.	Encore si Mercure était mon corjual Ou le Dieu raronnant du flamme pit-chal Ou celui qui des eaux bride la violence, J'aurou moins de regret et prendrais patience.
O moiſtre ſemirin ennemy de reyos Malheureux eſt celuy qui croit à tes propos Qui s’approche de toy & qui te ſait hommage Car comme d’vn noyer ſeulement ton vmbrage Eſt triſte & vtneneux, les filles d'Achelois.	Ô moche semirin ennemi de reyos Malheureux est celui qui croit à tes propos Qui s'approche de toi et qui te sait hommage Car comme d'un noyer seulement ton vambrage Est triste et utneneux, les filles d'Achelois.
Trompent le pelerin ſardant un peu leuz voix.	Trompent le pèlerin sardant un peu leuz voix.
Mais au beſoin tu ſçais mille ruſes ſecreists.	Mais au besoin tu sais mille ruses secréists.
Peur mieux enſorceler nos ames indiſcrettes, Ce chenu compagnon de l’or mieux aſſire Ores eſtraint en nœuds, or doucement men!	Pour mieux ensorceler nos âmes indiscrètes, Ce chenu compagnon de l'or mieux assire Ores étraint en nœuds, or doucement men!
Flottant deſſus le tel, à treſſes tagabondes Noye noſtre raiſon en l’erreur de ſes ondes, De tes yeux larmoyans il ſort vne liqueur Aincois vn reagal qui perce noſtre cœur:	Flottant dessus le tel, à tresses tagabondes Noie notre raison en l'erreur de ses ondes, De tes yeux larmoyants il sort une liqueur Aincais un reagal qui perce notre cœur:
Ainſi le caut ſerpent animal à deux vies, Pleure deſſus le Nil ſes morielles enuies:	Ainsi le caut serpent animal à deux vies, Pleure dessus le Nil ses morielles envies:
Ton parler ton marcher par fiaude ſe regi ſt:	Ton parler ton marcher par fiaude se régi st:
Ce n'eſt point le corail qui tes leures rougiſt, Ny la vermeille fleur du mois de May conteuë C’eſt le ſang que tu bois inbumaine ſanſuë, Ce beau ſein meſurt qui deſſous ton collel, Enfle prodigieux deux montagnes de lait	Ce n'est point le corail qui tes leur rougît, Ni la vermeille fleur du mois de May contue C'est le sang que tu bois inbumaine sansue, Ce beau sein mesurt qui dessous ton colle, Enfle prodigieux deux montagnes de lait
