Auec Priuilege du Roy.	Avec Privilège du Roi.
Jl a reſtably par ſa valeur la race d’Hercule dans le Peloponeſe, & la fait remonter ſur les Thrônes, de Miſſene, d’Argos & de Sparthe, cent ans aprés qu’elle en auoit eſté dépoſſedée.	Il a rétabli par sa valeur la race d'Hercule dans le Péloponèse, et la fait remonter sur les Thrônes, de Missène, d'Argos et de Sparthe, cent ans après qu'elle en avait été dépossédée.
Mais quelque grande renommée que ce Heros ſe ſoit acquiſe par ſes vertus:	Mais quelque grande renommée que ce Héros se soit acquise par ses vertus:
ie puis dire ſans vous flatter, ny ſans bleſſer voſtre modeſtie;	Ne puis dire sans vous flatter, ni sans blesser votre modestie;
que vous luy reſſemblez par vn des beaux endroits de ſa vie;	que vous lui ressemblez par un des beaux endroits de sa vie;
comme vous le pourrez voir par la lecture de ce Liure.	comme vous le pourrez voir par la lecture de ce Livre.
Jl a exercé comme vous auec ſuccés la charge d’Ambaſſadeur;	Il a exercé comme vous avec succès la charge d'Ambassadeur;
& a eſté luy meſme le ſage Negociateur d’vne Paix entre deux grands Roys.	et a été lui même le sage Négociateur d'une Paix entre deux grands Rois.
Comme c’eſt par cét heureux Euenement que ie finis ce Poëme, C’eſt auſſi par là que ie veux acheuer cette Epistre, en vous aſſeurant que ie ſuis auec beaucoup de zele & de respect	Comme c'est par cet heureux Euenement que ie finis ce Poème, C'est aussi par là que je veux achever cette Épître, en vous assurant que tu suis avec beaucoup de zèle et de respect
MONSEIGNEVR,	MONSEIGNEUR,
Voſtre tres-humble & tresobeiſſant ſeruiteur.	Votre très-humble et trésobéissant serviteur.
GILBERT.	GILBERT.
Extratel an Ivintiege du Roy.	Extratel an Jvintiège du Roi.
I AR Grace & Priuilege du Roy, en datte du 28.	I JR Grâce et Privilège du Roi, en datte du 28.
May 1657.	May 1657.
Signé IVSTEL, Il eſt permis à GABRIEL GILBERT, Secretaire des Commandemens de noſtre tres-chere Sœur la Reyne de Suede, & ſon Reſident en France, de faire imprimer vne Piece de Theatre de ſa compoſition intitulé, Creſphonte, ou le Retour des Heraclides dans le Peloponeſe, pendant le temps de cinq ans, entiers & accomplis, à commencer du iour de l’acheué d’imprimer;	Signé IVSTEL, Il est permis à GABRIEL GILBERT, Secrétaire des Commandements de notre très-chère Sœur la Reine de Suède, et son Résident en France, de faire imprimer une Pièce de Théâtre de sa composition intitulé, Créphonte, ou le Retour des Héraclides dans le Péloponese, pendant le temps de cinq ans, entiers et accomplis, à commencer du jour de l'achevé d'imprimer;
& deffences ſont faites à tous Libraires, & autres perſonnes de quelque quarite ce tondition qu’ils ſoient, de l’imprimer, à peine de mil liures d’amande, & de tous deſpens, dommages, & intereſts, comme il eſt plus amplement porté par leſdites Lettres.	et défenses sont faites à tous Libraires, et autres personnes de quelque quarite ce tondition qu'ils soient, de l'imprimer, à peine de mille livres d'amande, et de tous dépens, dommages, et intérêts, comme il est plus amplement porté par lesdites Lettres.
Acheué d’imprimer pour la premiere fois le26.	Achevé d'imprimer pour la première fois le26.
Iuillet 1659.	Juillet 1659.
Regiſtré ſur le Liure de la Communauté, le 24.	Registré sur le Livre de la Communauté, le 24.
Iuillet 1659.	Juillet 1659.
ſuiuant l’Arreſt du Parlement du neufiéme Avril 1653.	suivant l'Arrêt du Parlement du neuvième Avril 1653.
Et ledit Sieur GILBERT, a cedé & tranſporté le droit de ſon Priuilege à GVILLAVME DE IVTNE, Marchand Libraire à Paris, pour en jouïr ſuiuant I'accord fait auec luy.	Et ledit Sieur GILBERT, a cédé et transporté le droit de son Privilège à GUILLAUME DE IUTNE, Marchand Libraire à Paris, pour en jouir suivant J'accord fait auec lui.
CYPSELE, Roy d’Arcadie.	CYPSELE, Roi d'Arcadie.
MEROPE, Fille de Cypſele.	MEROPE, Fille de Cyple.
CHRESPHONTE, Amoureux de Merope.	CHRÉPHONTE, Amoureux de Merope.
TYSAMENE, Roy d’Argos, Riual de Chreſphonter.	TYSAMENE, Roi d'Argos, Rival de Chresphonter.
ORONTE, Confident de Cypſele.	ORONTE, Confident de Cyple.
CEPHALIE, Confidente de Merope.	CÉPHALIE, Confidente de Merope.
La Scene eſt à Mantinée Capitale d’Arcadie.	La Scène est à Mantinée Capitale d'Arcadie.
CHRESPHONTE.	CHRÉPHONTE.
OV LE RETOVR DES HERACLITES DANS LE PELOPONESE.	OU LE RETOUR DES HÉRACLITES DANS LE PELONESE.
TRAGI-COMEDIE.	TRAGI-COMÉDIE.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LE ROY, ORONTE.	LE ROY, ORONTE.
LE ROY.	LE ROY.
IENS-tu chaſſer l’effroy dont mon ame eſt ſaiſie?	JENS-tu chasser l'effroi dont mon âme est saisie?
Dois-ie encor eſperer du ſecours de l’Aſie?	Dois-je encor espérer du secours de l'Asie?
L’Arcadie expoſée aux fiers Atheniens, Met-elle ſon ſalut au Roy des Phrygiens?	L'Arcadie exposée aux fiers Athéniens, Met-elle son salut au Roi des Phrygiens?
Et ſon Fils que le Ciel deſtinoit pour mon Gendre De ces bords eſtrangers viendra-t’il nous deffendre?	Et son Fils que le Ciel destinait pour mon Gendre De ces bords étrangers viendra-t-il nous défendre?
ORONTE.	ORONTE.
Non, Scamandre, Seigneur!	Non, Scamandre, Seigneur!
n’eſt point en cette Cour.	n'est point en cette Cour.
LE ROY.	LE ROY.
Et quoy ſeroit-il mort, ou manque-t’il d’amour?	Et quoi serait-il mort, ou manque-t-il d'amour?
ORONTE.	ORONTE.
Son nom memme n'eit point connd uas tout lempire;	Son nom même n'éit point connd uas tout lempire;
On ne l’y vit iamais.	On ne l'y vit jamais.
LE ROY.	LE ROY.
Que viens tu de me dire?	Que viens tu de me dire?
Scamandre eſt inconnu dans la Cour de Phorbas!	Scamandre est inconnu dans la Cour de Phorbas!
Dans la Cour de ſon Pere!	Dans la Cour de son Père!
ah ie ne le croy pas.	ah ici ne le crois pas.
Celuy qui faiſoit voir des vertus heroiques, Qui remporta le prix dans les jeux Olypiques, Que i’eſperois pour Gendre & pour liberateur, Ne ſeroit qu’vn Phantoſme, ou bien vn Impoſteur?	Celui qui faisait voir des vertus héroïques, Qui remporta le prix dans les jeux Olypiques, Que j'espérais pour Gendre et pour libérateur, Ne serait qu'un Phantôme, ou bien un Imposteur?
Tu t’en es mal enquis, tu luy fais vne injure;	Tu t'en es mal enquis, tu lui fais une injure;
Ie ne puis accorder ſa gloire & l’impoſture.	Je ne puis accorder sa gloire et l'imposture.
ORONTE.	ORONTE.
Pas vilfle le coiont, le dis la veilte.	Pas vilffle le coiont, le dis la veilte.
LE ROY.	LE ROY.
Ne puis-ie penetrer dans cette obſcurité?	Ne puis-je pénétrer dans cette obscurité?
Phorbas a-t’il vn Fils de la Reine ſa Femme?	Phorbas a-t-il un Fils de la Reine sa Femme?
ORONTE.	ORONTE.
On dit qu’il en eut vn, qui ſe nommoit Orchame:	On dit qu'il en eut un, qui se nommait Orchame:
Mais ce Fils ne voit plus la lumiere des Cieux.	Mais ce Fils ne voit plus la lumière des Cieux.
LE ROY.	LE ROY.
Sans doute c’eſt celuy qui vint dedans ces lieux, Ma Fille a tant d’appas, oüy Merope eſt ſi belle, Que s’il eſtoit viuant, il combattroit pour elle, Et ſon cœur amoureux en eſtoit embrazé:	Sans doute c'est celui qui vint dedans ces lieux, Ma Fille à tant d'appas, oui Mérope est si belle, Que s'il était vivant, il combattrait pour elle, Et son cœur amoureux en était embrasé:
Auſſi de s’en deffendre il eſtoit mal-aiſé;	Aussi de s'en défendre il était mal-aisé;
Mais craignant que ſon Pere en euſt la connoiſſance Et qu’il n’approuuaſt pas la ſecrette alliance, Il déguiſa ſon nom pour cacher ſon amour.	Mais craignant que son Père en eût la connaissance Et qu'il n'approuvât pas la secrète alliance, Il déguisa son nom pour cacher son amour.
Helas!	Hélas!
pour mon mal-heur il eſt priué du iour Ce genenereux Amant, Fils d’vn ſi grand Monarque, Pouuoit ſeul reſiſter aux Fils d’Ariſtomaque!	pour mon malheur il est privé du jour Ce généreux Amant, Fils d'un si grand Monarque, Pouvait seul résister aux Fils d'Aristomaque!
Que depuis ton depait l’ay poune de regrets, Que depuis ton abſcence ils ont fait de progrés!	Que depuis ton dépait l'ai poune de regrets, Que depuis ton abscence ils ont fait de progrès!
ORONTE.	ORONTE.
Lors que ie m’embarquay pour aller en Aſie, Et que tant de Vaiſſeaux vous donnoient ialouſie, On ignoroit encor pourquoy ces furieux Venoient porter la guerre en ces paiſibles lieux.	Lors que ie m'embarquai pour aller en Asie, Et que tant de Vaisseaux vous donnaient jalousie, On ignorait encor pourquoi ces furieux Venaient porter la guerre en ces paisibles lieux.
LE ROY.	LE ROY.
Ils diſent qu’à leur ſang appartient cette Terre:	Ils disent qu'à leur sang appartient cette Terre:
Mais pour mieux t’éclaircir le ſuiet de la guerre, Il me faut de plus loin reprendre ce propos, Hercule ſi fameux entre tous les Heros, Dont la vertu celebre eſt par tout ſi vantée, Et le ſang de Pelops le cruel Euriſtée, Ont long-temps diſputé les ſeptres de ces lieux.	Mais pour mieux t'éclaircir le sujet de la guerre, Il me faut de plus loin reprendre ce propos, Hercule si fameux entre tous les Héros, Dont la vertu célèbre est par tout si vantée, Et le sang de Pélops le cruel Euristée, Ont longtemps disputé les septres de ces lieux.
Hercule enfin eſt mort, & monté dans les Cieux, Et ſon fier ennemy le ſuruiuant en terre.	Hercule enfin est mort, et monté dans les Cieux, Et son fier ennemi le survivant en terre.
A ſes ieunes enfans fit vne rude guerre:	À ses jeunes enfants fit une rude guerre:
Eux pour fuir la mort, ou de honteux liens.	Eux pour fuir la mort, ou de honteux liens.
Chercherent leur ſalut chez les Atheniens, Demophon leur parent touché de leur miſere, Les receut dans ſa Cour comme leur propre Pere.	Cherchèrent leur salut chez les Athéniens, Demhon leur parent touché de leur misère, Les reçut dans sa Cour comme leur propre Père.
Et depuis qu’Euriſtée a contre eux conjuré Le ſoleil par ſon cours vn ſiecle a meſuré, Iufqu’à ce iour fatal trop digne de remarque, Quel’on voit dans ces lieux les fils d’Ariſtomaque:	Et depuis qu'Euristée a contre eux conjuré Le soleil par son cours un siècle a mesuré, Jufqu'à ce jour fatal trop digne de remarque, Quelon voit dans ces lieux les fils d'Aristomacaque:
Les beaux champs de Miſſene, & de Sparthe & d’Argos, Sont les pretentions de ces ieunes Heros, Ils viennent pour rentrer dans ce grand heritage, Et de tous ces Eſtats faire vn nouueau partage Tout le Peloponeſe en vain s’arme contre eux, Contre ces ennemis ont fait en vain des vœux, Le fort en ieur laueur rend nos ſoldats timides Et benit le retour des cruels Heraclides.	Les beaux champs de Missène, et de Sparthe et d'Argos, Sont les prétentions de ces jeunes Héros, Ils viennent pour rentrer dans ce grand héritage, Et de tous ces États faire un nouveau partage Tout le Peloponese en vain s'arme contre eux, Contre ces ennemis ont fait en vain des vœux, Le fort en jeur laueur rend nos soldats timides Et bénit le retour des cruels Héraclides.
ORONIE.	ORONIE.
Sont-ils iſſus d’Hercule?	Sont-ils issus d'Hercule?
LEROY.	LEROY.
Ah les combats perdus Font aſſez voir le ſang dont ils ſont deſcendus.	Ah les combats perdus Font assez voir le sang dont ils sont descendus.
Leur pere qui ſeruoit à la vertu de guide Laiſſa trois vaillans fils dignes du ſang d’Alcide, Dont l’aiſné s’eſt rendu redoutable aux humains, Sa valeur n’ayant peu ſuccomber par leurs mains, Il fut aupres d’Elis écraſé du Tonnerre, Ses deux freres viuans ſont deux foudres de guerre.	Leur père qui servait à la vertu de guide Laissa trois vaillants fils dignes du sang d'Alcide, Dont l'aîné s'est rendu redoutable aux humains, Sa valeur n'ayant pu succomber par leurs mains, Il fut auprès d'Élis écrasé du Tonnerre, Ses deux frères vivants sont deux foudres de guerre.
Il ſemble que leur bras qui rauage ces lieux, Vange ſur les mortels les injures des Dieux.	Il semble que leur bras qui ravage ces lieux, Venge sur les mortels les injures des Dieux.
L’inuincible Temene & deſſus tous Chreſphonte A ſon diuin ayeul ne fait aucune honte, Dans ſa vertu guerriere, il nous fait voir ſes droits Et fait reuiure Hercule en ſes fameux exploits.	L'invincible Témène et dessus tous Chréphonte À son divin aïeul ne fait aucune honte, Dans sa vertu guerrière, il nous fait voir ses droits Et fait revivre Hercule en ses fameux exploits.
Elée auec Pentille & le fier Tiſamene, Eſpreuuent ſa valeur auſſi bien que ſa haine.	Elée avec Pentille et le fier Tisamène, Espreuent sa valeur aussi bien que sa haine.
Contre ſon grand courage, en vain on ſe deffend Il eſt par tout vainqueur, & par tout triomphant, Ses vaiſſeaux à Naupacte ont gagné la victoire, Comme ſur mer, ſur terre il fait voler ſa gloire;	Contre son grand courage, en vain on se défend Il est par tout vainqueur, et par tout triomphant, Ses vaisseaux à Naupacte ont gagné la victoire, Comme sur mer, sur terre il fait voler sa gloire;
L’Achaïe à l’abord a ployé ſous ſes loix, Et ſur les bords d’Alphée, il a vaincu trois Rois, De Miſſene, d’Elide, & de Lacedemone, Il ſe veut couronner de plus d’vne Couronne, Et mon peuple voyant tant de peuples domtez, Ouure aux victorieux mes plus fortes Citez.	L'Achaïe à l'abord a ployé sous ses lois, Et sur les bords d'Alphée, il a vaincu trois Rois, De Missène, d'Élide, et de Lacédémone, Il se veut couronner de plus d'une Couronne, Et mon peuple voyant tant de peuples domptez, Ouvre aux victorieux mes plus fortes Citez.
Erieuie mantmée apres tant de batailles, Me cache honteuſement dans ſes triſtes murailles,	Erieu mantmée apres tant de batailles, Me cache honteusement dans ses tristes murailles,
ORONTE.	ORONTE.
Que Chreſphonte ait eu droit ſur les autres Eſtats, Le Ciel le iuſtifie en ſes heureux combats;	Que Chresphonte ait eu droit sur les autres États, Le Ciel le justifie en ses heureux combats;
Mais il n’en peut auoir deſſus voſtre Couronne, Que celuy qu’apreſent l’aueugle ſort luy donne:	Mais il n'en peut avoir dessus votre Couronne, Que celui qu'aprésent l'aveugle sort lui été:
Voſtre race en ces lieux a regné de tout temps, Son Autheur eſt connu par ſes faits éclatans, Qui nomma de ſon nom nos Mers l’Archipelaſgue, Qui vit durant ſes iours ſes glorieux Enfans Des bouts de l’Vniuers vainqueurs & triomphans, Et reſeruant pour luy la ſeule Teſſalie, A vos predeceſſeurs a laiſſé l’Arcadie.	Votre race en ces lieux a régné de tout temps, Son Auteur est connu par ses faits éclatants, Qui nomma de son nom nos Mers l'Archipelâgue, Qui vit durant ses jours ses glorieux Enfants Des bouts de l'Univers vainqueurs et triomphants, Et réservant pour lui Ma de Ssalie, À vos prédécesseurs a laissé l'Arcadie.
monte dends lettomne da regnorene vos ayeuls, Chreſphonte ſans ſuiet vous trouble dans ces lieuxi S’il n’a ſur vos eſtats aucun droit legitime, Auec qu’elles raiſons peut-il couurir ſon crime?	monte dends lettomne da régnorène vos ais, Chréphonte sans sujet vous trouble dans ces lieuxi S'il n'a sur vos états aucun droit légitime, Avec qu'elles raisons peut-il couvrir son crime?
LE ROY.	LE ROY.
On ne demande point de raiſons aux Tyrans.	On ne demande point de raisons aux Tyrans.
nt la iorte cie toujours le droit des Conquerans.	naît la jorte cie toujours le droit des Conquérants.
ORONTE.	ORONTE.
Quand on trouble vn Eſtat, qu’on l’attaque, ou le pille, On ſe ſert d’vn pretexte.	Quand on trouble un État, qu'on l'attaque, ou le pille, On se sert d'un prétexte.
LE ROY.	LE ROY.
Et le ſien eſt ma Fille;	Et le sien est ma Fille;
Il la veut poſſeder & mon iuſte refus L’a rendu mon vainqueur, & m’a rendu confus, I'ay pour moy la Iuſtice & luy la deſtinée.	Il la veut posséder et mon juste refus L'a rendu mon vainqueur, et m'a rendu confus, J'ai pour moi la Justice et lui la destinée.
ORONTE.	ORONTE.
Il la veut poſſeder ſous le nom d’Hymenée?	Il la veut posséder sous le nom d'Hyménée?
LE ROY.	LE ROY.
Ouy ce fier Ennemy veut eſtre ſon Eſpoux.	Oui ce fier Ennemi veut être son Époux.
ORONTE.	ORONTE.
ii netez-uonc la paix pal vn accord n’uoux, Qui ſauue auec l’Eſtat vôtre auguſte perſonne.	ji netez-tuonc la paix pal un accord n'Euoux, Qui sauve auté l'État votre auguste personne.
LE ROY.	LE ROY.
Par cét Hymen ie perds la vie & la Couronne, Et ſon triſte flambeau luiroit ſur mon cercueil, Mais Chreſphonte n’eſt pas la cauſe de mion deuil.	Par cet Hymen ie perds la vie et la Couronne, Et son triste flambeau luirait sur mon cercueil, Mais Chresphonte n'est pas la cause de myon deuil.
ORONTE.	ORONTE.
Mais d’où peut naiſtre donc voſtre triſte auanture?	Mais d'où peut naître donc votre triste aventure?
LE ROY.	LE ROY.
D'vn don trop precieux que ma fait l’a nature, Mon mal-heur eſt venu de ma felicité, Poſſedant par l’hymen vne rare beauté, Si parfaite qu’Helene eut rougy deuant-elle, I'eus de ma belle Eſpouſe vne Fille plus belle, Qui bien loin de pleurer en naiſſant dans ma Cour, Auec quelques ſouris vint ſaluer le iour, Et par ſes doux ſouris ſembloit vouloir predire Qu’elle venoit ſur terre eſtablir ſon Empire:	D'un don trop précieux que ma fait l'a nature, Mon malheur est venu de ma félicité, Possédant par l'hymen une rare beauté, Si parfaite qu'Helene eut rougi devant-elle, J'eus de ma belle Espouse une Fille plus belle, Qui bien loin de pleurer en naissant dans ma Cour, Avec quelques souris vint saluer le jour, Et par ses doux souris semblait vouloir prédire Qu'elle venait sur terre établir son Empire:
L’age augmentant encor ſa grace & ſes attraits, De ſa prediction nous fit voir les effets, A peine eut-elle atteint la fleur de ſa ieuneſſe, Qu’elle fit des captifs de tous les Roys de Grece, Mon Palais deuenu le temple de l’Amour, I’eus pour mes Courtiſans tout les Roys dans ma Cour, Ceux du Peloponeſe & ceux de Teſſalie, Le mal-heureux Scamandre, & le Roy d’Etolie, Et ce Prince fameux qui regit les Thebains,	L'age augmentant encor sa grâce et ses attraits, De sa prédiction nous fit voir les effets, À peine eut-elle atteint la fleur de sa jeunesse, Qu'elle fit des captifs de tous les Rois de Grèce, Mon Palais Mon le temple De lAmour, Teus pour mes Courtisans tout les Rois dans ma Cour, Ceux du Pélopponese et ceux de Tessalie, Le malheureux Samandre, et le Roi d'Étolie, Et ce Prince fameux qui régit les Thebains,
I’auois dans mon Palais iuſqu’à vingt Souuerains.	J'avais dans mon Palais jusqu'à vingt Souverains.
Ces orgueilleux Amants, ces ſuperbes Monarques.	Ces orgueilleux Amants, ces superbes Monarques.
De leurs feux à l’enuy donnoient d’illuſtres marques, Chacun d’eux s’effoiçoit d’eſtre vn iour ſon Eſpoux, Comme ils eſtoient Riuaux, ils eſtoient tous jaloux, Ce grand honneur troubla ma Royalle famille, Ie voyois plus d’vn Gendre & n’auois qu’vne fille, Et tout égallement ſe ſentans embraſer, Tous la vouloient auoir, tous vouloient l’Eſpouſer:	De leurs feux à l'envi donnaient d'illustres marques, Chacun d'eux s'effoiçoit d'être un jour son Époux, Comme ils étaient Rivaux, ils étaient tous jaloux, Ce grand honneur troubla ma Royalle famille, Je voyais plus d'un Gendre et n'avais qu'une fille, Et tout également se sentants embraser, Tous la voulaient avoir, tous voulaient l'Espouser:
Ne faiſant choix que d’vn, i’offenſois tout le reſte, Et ie me preparois vne guerre funeſte.	Ne faisant choix que d'une, j'offensais tout le reste, Et personne me préparais une guerre funeste.
Pour me tirer de peine, & les accorder mieux, Enfin ie les priay d’auoir recours aux Dieux, Et de laiſſer au ſort à me donner vn Gendré;	Pour me tirer de peine, et les accorder mieux, Enfin ici les priai d'avoir recours aux Dieux, Et de laisser au sort à me donner un Gendré;
Le ſort fauoriſa le genereux Scamandie.	Le sort favorisa le généreux Samandie.
Sans reſpecter le Ciel, ils en murmurent tous, De ce Prince Eſtranger les Rois Grecs ſont ialoux.	Sans respecter le Ciel, ils en murmurent tous, De ce Prince Étranger les Rois Grecs sont jaloux.
Son bon-heur trop connu fait douter de ſa racé, Pas vn à ce Riual ne veut ceder la place, Ils diſent que du ſort ils meſpriſent les loix, S’il ne fait voir comme eux qu’il eſt du ſang des Rois, Et de ces Souuerains la troupe mutineé Veut ſçauoir ſa naiſſance auant ſon Hymenée.	Son bonheur trop connu fait douter de sa racé, Pas int à ce Rival ne veut céder la place, Ils disent que du sort ils méprisent les lois, S'il ne fait voir comme eux qu'il est du sang des Rois, Et de ces Souverains la troupe mutineé Veut Savoir sa naissance avant son Hyménée.
Sçamandre fierement répond ſans s’émouuoir, Qu’auecque cent vaiſſeaux, il leur fera ſçauoir.	Samandre fièrement répond sans s'émouvoir, Qu'avec cent vaisseaux, il leur fera sçauoir.
