A MADEMOISELLE, MADEMOISELLE.	À MADEMOISELLE, MADEMOISELLE.
C’eſt à luy ſeul qu’il eſt poſſible De ſçauoir où trouuer la plus vifue couleur, Pour dépeindre vn objet auſſi beau qu’inſenſible.	C'est à cause seul qu'il est possible De sçauoir où trouver la plus vifue couleur, Pour dépeindre un objet aussi beau qu'insensible.
Pais que vôtre portrait eſt ſeul en ſon pouuoir, Venez-y de vos jeux fecomortre m grace, Il veut en vous ſeruant d’vn fidelle miroir Faire en luy par l’Amour ce qu’ailleurs fait la  glace.	Pais que votre portrait est seul en son pouvoir, Venez-y de vos jeux fécomortre m grâce, Il veut en vous servant d'un fidèle miroir Faire en avait par l'Amour ce qu'ailleurs fait la glace.
Si le ſacrifice que i’oſe vous faire d'vne Muſe enjoüée vons pouuoit inſpirer quelques ſentimens de reconnoiſſance, ie ſerois encore aſſez hardy pour vous coniurer de me permettre de vous dire, que ie ſuis dans vn engagement inuiolable,	Si le sacrifice que j'ose vous faire d'une Muse enjouée vons pouvait inspirer quelques sentiments de reconnaissance, Seigneur serais encore assez hardi pour vous conjurer de me permettre de vous dire, que je suis dans un engagement inviolable,
MADEMOISELLE,	MADEMOISELLE,
Le plus fincere, le plus fidelle, t le plus tendre Amant du monde.	Le plus sincère, le plus fidèle, t le plus tendre Amant du monde.
LE AV E ne préſume pas aſſés de Ymon peu de ſçauoir, pour croire que ma Comedie ait le caractere d’vn genie fort heureux.	LE AU E ne présume pas assez de Ymon peu de savoir, pour croire que ma Comédie ait le caractère d'un génie fort heureux.
Noſtre Theatre aſſurément nous donne des Poëmes Comiques, dont la conduite les éſeue de beuucoup lu deſſus du mien, par l’obſeruation inuiolable des préceptes que nous ont donnez nos Maiſtres:	Notre Théâtre assurément nous donne des Poèmes Comiques, dont la conduite les élève de bucoup lu dessus du mien, par l'observation inviolable des préceptes que nous ont donnés nos Maîtres:
mais ie puis dire auſſi ſans faire le vain, que ie reüſſiray à ces Ouurages là auſſitoſt que ie voudray prendre la peine de m’y appliquer, & que ie ne ſuiuray point l’impetuoſité de mon humeur, qui me fait faire toutes ſortes de choſes auec vne promptitude que ie condamne, ſans pouuoir la moderer.	mais petit puis dire aussi sans faire le vain, que je réussirai à ces Ouvrages là aussitôt que ie clair prendre la peine de m'y appliquer, et que je ne suivrai point l'impétuosité de mon humeur, qui me fait faire toutes sortes de choses avec une promptitude que tu condamne, sans pouvoir la modérer.
Ie vous prie d’auoir vn peu d’indulgence pour L’AMANT DOÜILLET, & de ſouffrir ſes folies;	Je vous prie d'avoir un peu d'indulgence pour L'AMANT DOILLET, et de souffrir ses folies;
& pour vous y engager en quelque façon, ie vous aſſure foy de petit Poëte, qu’en moins de dix iours i’ay dreſſé le plan & fait les Vers de ma Comedie, ſans y employer par iour gueres dauantage que le temps de la recreation.	et pour vous y engager en quelque façon, je vous assure foi de petit Poète, qu'en moins de dix jours j'ai dressé le plan et fait les Vers de ma Comédie, sans y employer par jour guère davantage que le temps de la création.
Quand l’âge & l’experience m’auront donné des aiſles pour ſuiure nos meilleurs dramatiques, ie leueray la viſiere pour remplir voſtre curioſité;	Quand l'âge et l'expérience m'auront donné des ailes pour suivre nos meilleurs dramatiques, votre lèverai la visière pour remplir votre curiosité;
ſi vous en auez de me connoiſtre.	si vous en avez de me connaître.
PERSONNAGES.	PERSONNAGES.
LIMACON, amoureux d’Iſabelle, & Amant Doüillet.	LIMAÇON, amoureux d'Isabelle, et Amant Deuillet.
ARGINE, (tante d’Iſabelle) épriſe de Limaçon.	ARGINE, (tante d'Isabelle) éprise de Limaçon.
ISABELLE, Amante de Limaçon.	ISABELLE, Amante de Limaçon.
POLEXANDRE, Riual de Limagone	POLEXANDRE, Rival de Limagone
NOBIN, Amant d’Aigme.	NOBIN, Amant d'Aigme.
LEGITOR, ſuiuante d’Argine.	LEGITOR, suivante d'Argine.
NOSTRADAMVS, valet de Limaçon.	NOSTRADAMUS, valet de Limaçon.
VN EXEMPT.	UN EXEMPT.
QVATRE ARCHERS.	QUATRE ARCHERS.
VN NOTAIRE.	UN NOTAIRE.
La Scene eſt à Paris.	La Scène est à Paris.
L’AMANT	L'AMANT
ALINVIIII DOVILLET COMEDIL.	ÀLINVIII DOUILLET COMEDIL.
ATCTE	ATCTE
SCENE I ARGINE, LIMACON.	SCÈNE I RGINE, LIMAÇON.
ARGINE courant apres Limaçon.	ARGINE courant après Limaçon.
Rreſtez, arreſtez.	Rrestez, arrêtez.
LIMACON.	LIMAÇON.
Que faut-il arreſter?	Que faut-il arrêter?
Madame, à vous ſeruir chacun doit s’appreſter.	Madame, à vous servir chacun doit s'apprêter.
Vous meſme.	Vous -même.
ARGINE.	ARGINE.
LIMACON.	LIMAÇON.
Le bon ſens, Madame, en voſtre teſte, Ne lait pas gland Iumer, ou le luis vhe beſte.	Le bon sens, Madame, en votre tête, Ne lait pas gland Jumer, ou le luis vhe bête.
ARGINE.	ARGINE.
Ie veux voir au pluſtoſt trop aymable voleur, Où vous auez logé mon pauure petit cœur.	Je veux voir au plustost trop aimable voleur, Où vous avez logé mon pauvre petit cœur.
LIMACON.	LIMAÇON.
Sur le paué du Roy:	Sur le pavé du Roi:
me traiter de la ſorte!	me traiter de la sorte!
A Paris!	À Paris!
aduoüez que c’eſt eſtre bien ſotte, Et que voſtre raiſon par vn coup trop fatal Eſt de taille à paſſer pour vn franc animal?	avouez que c'est être bien sotte, Et que votre raison par un coup trop fatal Est de taille à passer pour un franc animal?
Mon cœur?	Mon cœur?
ARGINE.	ARGINE.
LIMACON.	LIMAÇON.
Voyez par tout:	Voyez par tout:
mais ſçachez vne choſe, Que ie n’en ay point faite vne metamorphoſe;	mais sachez une chose, Que on n'en ai point faite une métamorphose;
Peut eſtre croiriez vous qu’ayant de vôtre biẽ, Ie l’aurois traueſty ſous la forme du mien;	Peut être croiriez -vous qu'ayant de votre bien, Je l'aurais trauesty sous la forme du mien;
Car enfin que ſçait-on ce que vous pourriez prendre?	Car enfin que Sait-on ce que vous pourriez prendre?
ARGINE.	ARGINE.
Rendez vous il eſt tard pour pouuoir s’en deffendre;	Rendez -vous il est tard pour pouvoir s'en défendre;
Si mes yeux à l’amour ont ſeruy d’entonnoir Pour couler en mon ame au gré de ſon vouloir, Et ſi ma liberté rendit à vos genſdarmes L’hommage & les reſpets qu’on doit rendre à yos charmes, Ne puis-je eſcalader voſtre tendre à mon tour, Et le mettre vne fois au pouuoir de l’amour, Quie eulouiotiuiter de couml à couſine?	Si mes yeux à l'amour ont servi d'entonnoir Pour couler en mon âme au gré de son vouloir, Et si ma liberté rendit à vos gensdarmes L'hommage et les respets qu'on doit rendre à y charmes, Ne puis-je escalader votre tendre à mon tour, Et le mettre une fois au pouvoir de l'amour, Qu' oulouiotiuiter de couml cousine?
LIMACON.	LIMAÇON.
Puis-je vous demander voſtre nom?	Puis-je vous demander votre nom?
ARGINE.	ARGINE.
C’eſt Argine.	C'est Argine.
LIMACON.	LIMAÇON.
Ainſi vous pourriez donc mieux ſeruir au paquet, Que ſurprendre mon cœur auec voſtre caquet.	Ainsi vous pourriez donc mieux servir au paquet, Que surprendre mon cœur avec votre caquet.
Vos yeux ſont éueillez autãt qu’il le faut eſtre, Ma belle, pour ſçauoir bien-toſt donner vn maiſtre A qui craindroit fort peu de voir vn Subſtitud, Apporter à ſa femme vn diable de tribut:	Vos yeux sont éveillez autant qu'il le faut être, Ma belle, pour savoir bientôt donner un maître À qui craindrait fort peu de voir un Substitud, Apporter à sa femme un diable de tribut:
Mais ils ſont trop coquins pour qui craindroit la touche, Qu’on aymaſt mieux baiſer ſa femme qu’vne ſouche;	Mais ils sont trop coquins pour qui craindrait la touche, Qu'on aimât mieux baiser sa femme qu'une souche;
De qui, pour vous aimer s’il eſt hõme aſſez fou, La reputation aura la corde au cou Ie deuiendrois épris de voſtre chair humaine, Pour mettre ſur mon front deux brins de Marjolaine!	De qui, pour vous aimer s'il est homme assez fou, La réputation aura la corde au cou Je deviendrais épris de votre chair humaine, Pour mettre sur mon front deux brins de Marjolaine!
Craignant d’eſtre cocu, tout enſẽble & cornard, Seruiteur à l’Hymen fuſſiez vous graſſe à lard;	Craignant d'être cocu, tout ensemble et cornard, Serviteur à l'Hymen fussiez vous grasse à lard;
Ie ne ſuis pas vn hõme en ſouffrãt vne offenſe, A receuoir chez moy la corne d’abondanee, De la part des galans on la craint vn peu trop, Pour la vouloir iamais pourſuiure au grand galop.	Je ne suis pas un homme en souffrant e offense, A recevoir chez moi la corne d'abondance, De la part des galants on la craint un peu trop, Pour la vouloir jamais poursuivre au grand galants.
Pour auoir d’vn cocu le deſtin lamentable, Ie n’auray pas beſoin d’vn pacte auec le diable;	Pour avoir d'un cocu le destin lamentable, Je n'aurai pas besoin d'un pacte avec le diable;
Pourueu qu’en vous donnant & mon ame & mon cœur, I’oſe m’vnir vn iour auecque mon malheur;	Pourvu qu'en vous donnant et mon âme et mon cœur, J'ose m'unir un jour avec mon malheur;
Ma teſte entre vos mains ſans auoir la berluë Croiroit eſtre ma foy moins ronde que cornuë, Sçachant que tout le monde ayme fort aujourd’huy A repaiſtre ſes feux dans l’écuelle d’autruy, Ie ne puis auec vous reſoudre vn mariage, Où mon petit honneur feroit peu d’étalage:	Ma tête entre vos mains sans avoir la berlue Croirait être ma foi moins résoudre que cornue, Scachant que tout le monde aime fort aujourd'hui A repaître ses feux dans l'écuelle d'autrui, Je ne puis avec vous résoudre un mariage, Où mon petit honneur ferait peu d'étalage:
Mais d’où vient qu’vn grand bruit trouble noſtre repos.	Mais d'où vient qu'un grand bruit trouble notre repos.
SCENVEIT ARGINE, ISABELLE, LIMACON,	SCENVEIT ARGINE, ISABELLE, LIMAÇON,
NOSTRADAMVS.	NOSTRADAMUS.
ARGINE arreſtant Iſabelle qui vient ſur le theatre en courant.	ARGINE arrêtant Isabelle qui vient sur le théâtre en courant.
M ISABELLE.	M ISABELLE.
Ie vous trouue à propos, A ma Virginité ſauuez vn peu la vie.	Je vous trouve à propos, À ma Virginité sauvez un peu la vie.
NOSTRADAMVS.	NOSTRADAMUS.
De vous conduire icy c’eſtoit ma ſeule enuie, Pour voir ſi vous eſtiez au gouſt de ce Mõſieur, Dont ie ſuis en tout temps l’affamé ſeruiteur.	De vous conduire ici c'était ma seule envie, Pour voir si vous étiez au goût de ce Monssieur, Dont ie suis en tout temps l'affamé serviteur.
Eſt-ce auoir merité de mourir ſur la rouë, Pour attirer ſur moy les cornes & la mouë?	Est-ce avoir mérité de mourir sur la roue, Pour attirer sur moi les cornes et la moue?
LIMACON en regardant Iſabelle.	LIMAÇON en regardant Isabelle.
L’appetiſſant morceau!	L'appétissant morceau!
ARGINE.	ARGINE.
C’à ne l’aymez-vous point!	Ç'à ne l'aimez-vous point!
LIMACON.	LIMAÇON.
Ie voudrois bien l’auoir.	Je voudrais bien l'avoir.
ARGINE.	ARGINE.
Hors de Cour ſur ce poinct	Hors de Cour sur ce point
NOSTRADAMVS.	NOSTRADAMUS.
Pour dix-huit deniers d’ail venez ie vous la Joue.	Pour dix-huit deniers d'ail venez votre vous la Joue.
LIMACON a part.	LIMAÇON a part.
Que n'eſt-il mieux poſté pour auoir ſur la jouë?	Que n'est-il mieux posté pour avoir sur la joue?
NOSTRADAMVS.	NOSTRADAMUS.
Dix-huict deniers!	Dix-huit deniers!
c'eſt trop & pour elle & pour vous.	c'est trop et pour elle et pour vous.
LIMACON.	LIMAÇON.
Veux-tu ſur eſtantmoins receuoir cent bons acupae	Veux-tu sur étantmoins recevoir cent bons acupae
NOSTRADAMVS.	NOSTRADAMUS.
Non, non, voſtre monnoye eſt pour moy décriée.	Non, non, votre monnaie est pour moi décriée.
ISABELLE à part.	ISABELLE à part.
Qu’auec ce beau blondin ne ſuis-je mariée?	Qu'avec ce beau blondin ne suis-je mariée?
ARGINE.	ARGINE.
Aymez-vous Iſabelle?	Aimez-vous Isabelle?
Arlaneola O diable le beau nom!	Arlanéolà Ô diable le beau nom!
ARGINE.	ARGINE.
Mais ne penſez pas oüy, pour me répondte non!	Mais ne pensez pas oui, pour me répondte non!
LIMACON.	LIMAÇON.
A la voir pardeuãt on pourroit dire vn i’aime, Voyons ſi par derriere on eir uiroit de meſme;	À la voir pardevant on pourrait dire un j'aime, Voyons si par derrière on eir irait de même;
O que que n’ay-je ſur vous la patte & l’aſcendant !	Ô que que n'ai-je sur vous la patte et l'ascendant !
Peſte, auec vne ſerpe en peut-on faire autant!	Peste, avec quelque serpe en peut-on faire autant!
Cordon bleu, pour l’Hyuer l' bõne baſſinoire!	Cordon bleu, pour l'Hiver l' une bassinoire!
ARGINE Voſtre eſtime pour moy vous en fait trop?	ARGINE Votre estime pour moi vous en fait trop?
croire.	croire.
NOSTRADAMYS à Iſabelle.	NOSTRADAMYS à Isabelle.
Si vous ſçauiez au point que mon Maiſtre eſt doüillet, Tout a l'heure il tredroit votre cœur au collet.	Si vous savez au point que mon Maître est douillet, Tout a l'heure il tredroit votre cœur au collet.
ISABELLE.	ISABELLE.
Quoy!	Quoi!
ſa chair eſt doüillette?	sa chair est douillette?
NOSTRADAMVS.	NOSTRADAMUS.
Oüy.	Oui.
ISABELLE.	ISABELLE.
C’eſt vn aduantage, Qui peut exorciſer le malheur d’vn ménage, irme remble dormir, & que ma paſſion Veut abuſer mes ſens par vne illuſion, Et qu’à mon grãd regret ſa premiere eſcapade, A ſçeu mettre d’abord mon ame à la grillade.	C'est un avantage, Qui peut exorciser le malheur d'un ménage, irme remble dormir, et que ma passion Veut abuser mes sens par une illusion, Et qu'à mon grand regret sa première escapade, A su mettre d'abord mon âme à la grillade.
DIHACON.	DIHACON.
Ie ſuis gonflé d’amour, ſi replet & ſi rond, Que l’on iouëroit de moy comme on fait d’vn balon.	Je suis gonflé d'amour, si replet et si rond, Que l'on jouerait de moi comme on fait d'un balon.
11 ARGINE.	11 ARGINE.
C’à Monſieur Limaçon.	C'à Monsieur Limaçon.
ISABELLE.	ISABELLE.
Eſt-ce ainſi qu’il ſe nomme?	Est-ce ainsi qu'il se nomme?
A iiij	À jijà
ARGINE.	ARGINE.
cumen Meyueadcuacala.	cumen Meiveadcuacala.
LIMACON.	LIMAÇON.
Attendez-moy ſous l’orme.	Attendez-moi sous l'orme.
Voſtre hiepec pour moy vaut mieux qu’vn bon lapin.	Votre hypec pour moi vaut mieux qu'un bon lapin.
ARGINE.	ARGINE.
Vous n’en aurez pourtant ny loque ny lopin;	Vous n'en aurez pourtant ici loque ni lopin;
Ses proches alliez courans en l’autre monde, Si c’eſtoit par plaiſir, ſottiſe ſans ſeconde, Ont ſoûmis à mes loix leur vnique bijou.	Ses proches alliés courants en l'autre monde, Si c'était par plaisir, sottise sans seconde, Ont soumis à mes lois leur unique bijou.
LIMACON.	LIMAÇON.
O Ciel!	Ô Ciel!
que n’eſt-ce ainſi qu’on fait venir vn chou, 18 3 Cõbien me verriez-vous d’ardeur au jardinage Pour en mettre en mon lict pluſtoſt qu’en mon potage !	que n'est-ce ainsi qu'on fait venir un chou, 18 3 Combien me verriez-vous d'ardeur au jardinage Pour en mettre en mon lit plustost qu'en mon potage !
L’amour, Noſtradamus, qui me gourme d’vn poing, Peut eſtre dans mon cœur ſans remplir mon Feuiraine Et quoy que l’on en prenne on ne doit iamais craindre D’en eſtre conſtipé valablement pour geindre,	L'amour, Nostradamus, qui me gourme d'un poing, Peut être dans mon cœur sans remplir mon Feuiraine Et quoi que l'on en prenne on ne doit jamais craindre D'en être constipé valablement pour geindre,
NOSTRADAMVS.	NOSTRADAMUS.
Mais vous diſiez tantoſt.	Mais vous disiez tantôt.
LIMACON.	LIMAÇON.
I’ay dit ce qu’il m’a plû, Entends tu bien, Monſieur, & ce que i’ay voulu, Vien querir vn ſoufflet pour voir ſi c’eſt pour rire?	J'ai dit ce qu'il m'a plu, Entends tu bien, Monsieur, et ce que j'ai voulu, Viens quérir un soufflet pour voir si c'est pour rire?
NOSTRADAMVS.	NOSTRADAMUS.
Il le faut prẽdre au mot, il s’en pourroit dedirc.	Il le faut prendre au mot, il s'en pourrait dédirc.
LIMACON bas à Noſtradamus.	LIMAÇON bas à Nostradamus.
Cachons-nous.	Cachons-nous.
Adieu donc.	Adieu donc.
ISABELLE.	ISABELLE.
Voila noſtre logis;	Voilà quelque logis;
Adieu l’Amant Doüillet, voyez comme i’agis.	Adieu l'Amant Douillet, voyez comme j'agis.
Adieu.	Adieu.
NOSTRADAMVS.	NOSTRADAMUS.
Ils ſe cachent a un toin du theatre.	Ils se cachent à un toin du théâtre.
SCENE III.	SCÈNE III.
ARGINE, ISABELLE.	ARGINE, ISABELLE.
ARGINE.	ARGINE.
jous l’aymez donc?	jous l'aimez donc?
ISABELLE.	ISABELLE.
Pour vous rendre ſeruice.	Pour vous rendre service.
IRGINE.	JRGINE.
Sur vous enchrer ſon choix, c’eſt vous rendre juſtice	Sur vous enchrer son choix, c'est vous rendre justice
ISABELLE.	ISABELLE.
C’eſt vous la faneuum.	C'est vous la fanuum.
ARGINE.	ARGINE.
Que de vous enfermer.	Que de vous enfermer.
ISABELLE.	ISABELLE.
Eſt-ce à tort qu’il vous fronde, & s’engage à m’aimer?	Est-ce à tort qu'il vous fronde, et s'engage à m'aimer?
Si-toſt qu’elle apperçoit vn boiteux dãs la ruë, Soit qu’vn borgne ou boſſu ſe preſẽte à ſa veuë,	Si-tôt qu'elle apperçoit un boiteux dans la rue, Soit qu'un borgne ou bossu se preste à sa vue,
Voy, me dit-elle, voy, comme il eſt adjuſté, Pour s’eſtre oſé montrer épris de ma beauté;	Vois, me dit-elle, vois, comme il est ajusté, Pour s'être osé montrer épris de ma beauté;
Digne d’vn demy-Dieu, c’eſt le Ciel qui m’en venge.	Digne d'un demi-Dieu, c'est le Ciel qui m'en venge.
Ainſi, ma tante, ainſi, ne trouuez pas eſtrange, Si Monſieur Limaçon m’ayme vn peu plus que vous, Et ſi ce chaſtiment pouuoit eſtre plus doux, Croyez que d’vn plein ſaut vous en ſeriez aynce;	Ainsi, ma tante, ainsi, ne trouvez pas étrange, Si Monsieur Limaçon m'aime un peu plus que vous, Et si ce châtiment pouvait être plus doux, Croyez que d'un plein saut vous en seriez aînée;
Et qu’il feroit pour vous de la carpe pâmée.	Et qu'il ferait pour vous de la carpe pâmée.
ARGINE.	ARGINE.
Et vous, ma niepce, & vous, qui me diſiez vn iour Que vous auiez le ventre auſſi dur qu’vn tambour.	Et vous, ma niepce, et vous, qui me disiez un jour Que vous aviez le ventre aussi dur qu' tambour.
DABELLE.	DABELE.
O reproche ſanglant!	Ô reproche sanglant!
ARGINE.	ARGINE.
Qu’il eſt de bonne grace, Pour auoir trop ſoupé de voir qu’on vous delaſſé!	Qu'il est de bonne grâce, Pour avoir trop soupé de voir qu'on vous délassé!
Mais d’où vient que la nuit vous m’embraſſez touſiours?	Mais d'où vient que la nuit vous m'embrassez toujours?
ISA BELLE.	ISA BELLE.
C’eſt que mon amitié teſſemble à vos amours:	C'est que mon amitié tessemble à vos amours:
Mais d’où vient qu’vne fois i’eſtois preſque eſtranglée, Si ie ne vous auois par bonheur éueillée, Que qui couche auec vous met ſa vie au haſard, Et que pour ce ſujet nous ferons lict à part?	Mais d'où vient qu'une fois j'étais presque étranglée, Si apprendre ne vous avais par bonheur éveillée, Que qui couche avec vous met sa vie au hasard, Et que pour ce sujet nous ferons lit à part?
Puiſqu’ainſi vous choiſir pour ſa femme & vous prendre, Pour tout dire entre nous c’eſt s’aller faire pendre, Ne vous eſtonnez pas ſi le ſieur mon Amant D’eſtre bien-toſt pendu s’excuſe hautement.	Puisqu'ainsi vous choisir pour sa femme et vous prendre, Pour tout dire entre nous c'est s'aller faire pendre, Ne vous étonnez pas si le si le Amant D'être bientôt pendu s'excuse hautement.
HIGINE en les voyant ſortir de leur cache.	HIGINE en les voyant sortir de leur cache.
Ciel, ils ont tout oüy!	Ciel, ils ont tout oui!
SCENE IV LIMACON, NOSTRADAMVS, ARGINE, ISABELLE.	SCÈNE IV LIMAÇON, NOSTRADAMUS, ARGINE, ISABELLE.
LIMACON.	LIMAÇON.
A Lite, Mauame Argine, Qui vous eroiroit iamais ſi méchãte à la mine!	À Lite, Maume Argine, Qui vous eroirait jamais si méchãte à la mine!
