Suiuant la Copie imprimée	Suivant la Copie imprimée
C’eſt lors que ie verrois la ſainct Politique Soûtenir par tes ſoins la Fortune publique, Ton zéle infatigable à ſeruir ton grand Roy, Ta force & ta prudence à regir ton employ;	C'est lors que deux verrais la saint Politique Soutenir par tes soins la Fortune publique, Ton zèle infatigable à servir ton grand Roi, Ta force et ta prudence à régir ton emploi;
C'eſt lors que je verrois ton courage intrepide Vnir la vigilance à la vertu ſolide;	C'est lors que je verrais ton courage intrépide Unir la vigilance à la vertu solide;
Ie verrois cet illuſtre & haut diſcernement Qui te met au deſſus de tant d’acclablement, Et tout ce dont l’aſpect d’vn Aſtre ſalutaire Pour le bonheur des Lis t’a fait depoſitaire, Iuſque là ne crains pas que ie gaſte vn portrait, Dont ie ne puis encor tracer qu’vn premier trait;	Je verrais cet illustre et haut discernement Qui te met au dessus de tant d'acclablement, Et tout ce dont l'aspect d'un Astre salutaire Pour le bonheur des Lis a fait dépositaire, Jusque là ne crains pas que ainsi gâte un portrait, Dont ie ne puis encor tracer qu'un premier trait;
Ie dois eſtre témoin de toutes ces merueilles Auãt que d’en permettre vne ébauche á mes veilles, Et ce flateur eſpoir fera tous mes plaiſirs Iuſqu’à ce que l'effet ſuccede à mes deſirs.	Je dois être témoin de toutes ces merveilles Avant que d'en permettre une ébauche mes veilles, Et ce flateur espoir fera tous mes plaisirs Iusqu’ ce que l'effet succede mes désirs.
Haſte-toy cependant de rendre vn vol ſublime Au Genie amorty que ta bonte ranime Et dont l’impatience attend pour ſe borner Tout ce que tes faueurs luy voudront oRDONNEE	Hâte-toi cependant de rendre un vol sublime Au Génie amorti que ta bonté ranime Et dont l'impatience attend pour se borner Tout ce que tes faveurs était voudront oRDONNE
A3	A3
A U LECTEUR.	A V LECTEUR.
E n’est pas ſans raiſon que ie fais marcher ces Vers à la teste de l’Oedipe, puiſqu’ils ſont cauſe que ie vous donne l’Oedipe.	E n'est pas sans raison que ie fais marcher ces Vers à la tête de l'Oedipe, puisqu'ils sont cause que je vous donne l'Oedipe.
Ce fut par eux que ie taſchay de témoigner à M.	Ce fut par eux que ici tâchai de témoigner à M.
le Procureur General quelque ſentiment de reconnoiſſance pour vns faueur ſignalée que j’en venois de receuoir;	le Procureur Général quelque sentiment de reconnaissance pour uns faveur signalée que j'en venais de recevoir;
& bien qu’ils fuſſent remplis de cette preſomption ſi naturelle à ceux de noſtre meſtier, qui manquent rarement d’amour propre, il me fit cette nonuelle gracc d’accepter les offres qu’ils luy faiſoient de ma part, & de me propoſer trois Sujets pour le Theatre, dont il me laiſſa le choix.	et bien qu'ils fussent remplis de cette présomption si naturelle à ceux de notre métier, qui manquent rarement d'amour propre, il me fit cette nonuelle non graccepter les offres qu'ils lui faisaient de ma part, et de me proposer trois Sujets pour le Théâtre, dont il me laissa le choix.
Chacun ſçait que ce grand Ministre n’est pas moins le SurIntendant des belles Lettres que des Finances, que ſa maiſon est auſſi ouuerte aux gens d’eſprit qu’aux gens d’affaires, & que ſoit à Paris, ſoit à la Campagne, c’est dans les Bibliotheques qu’on attend ces precieux momens qu’il dérobe aux occupations qui l’accablent, pour en gratifier ceux qui ont quelque talent u etrire avec ſuccez.	Chacun sais que ce grand Ministre n'est pas moins le SurIntendant des belles Lettres que des Finances, que sa maison est aussi ouverte aux gens d'esprit qu'aux gens d'affaires, et que soit à Paris, soit à la Campagne, c'est dans les Bibliotheques qu'on attend ces précieux contents qu'il dérobe aux occupations qui l'accablent, pour en gratifier ceux qui ont quelque talent etrire avec succez.
Ces verités ſont connuëz de tout Ie monde, mais tout le monde ne ſçait pas que ſa bonté s’est étenduë juſqu’à reſſuſciter les Muſes enſeuelies dans un long ſilence, & qui eſtoient comme mortes au Monde, puiſque le Monde les auoit oubliées.	Ces vérités sont connues de tout -Je monde, mais tout le monde ne sait pas que sa bonté s'est étendue jusqu'à ressusciter les Muses ensevelies dans un long silence, et qui étaient comme mortes au Monde, puisque le Monde les avait oubliées.
C’est donc à moy à le publier, apres qu’il à daigné m’y faire faire reuiure ſi auantageuſement.	C'est donc à moi à le publier, après qu'il à daigné m'y faire faire revivre si avantageusement.
Non que de là j’oſe prendre l’occaſion de faire ſes Eloges.	Non que de là j'ose prendre l'occasion de faire ses Éloges.
Nos dernieres années ont produit peu des Liures conſiderables, ou pour la profondeur de la doctrine, ou pour la pompe & la netteté de l’expreſſion, ou pour les agrémens & la juſteste de l’Art, dont les Autheurs ne ſe ſoient mis ſous vne protection ſi glorieuſe, & ne luy ayent rendu les hommages que nous deuons tous à ce concert éclatant & merueilleux de rares qualitez ration continuelle à ceux qui ont le bonheur de l’approcher.	Nos dernières années ont produit peu des Livres considérables, ou pour la profondeur de la doctrine, ou pour la pompe et la netteté de l'expression, ou pour les agrémens et la justeste de l'Art, dont les Auteurs ne se soient mis sous une protection si glorieuse, et ne lui oient rendu les hommages que nous devons tous à ce concert éclatant et merveilleux de rares qualité ration continuelle à ceux qui ont le bonheur de l'approcher.
Les temeraires efforts que j’y pourrois faire apres eux ne ſeruiroient qu’à montrer combien ie ſuis au deſſous d’eux:	Les téméraires efforts que j'y pourrais faire après eux ne serviraient qu'à montrer combien ce suis au dessous d'eux:
la matiere est inépuiſable, mais nos eſprits ſont bornez;	la matière est inépuisable, mais nos esprits sont bornés;
& au lieu de trauailler à la gloire de mon Protecteur, ie ne trauaillerois qu’à ma honte.	et au lieu de travailler à la gloire de mon Protecteur, tu ne travaillerais qu'à ma honte.
Je me contenteray de vous dire ſimplement que ſi le Public a receu quelque ſatisfaction de ce Poëme, & s’il en reçoit encor de ceux de cette nature & de ma façon qui pourront le ſuiure, c’est à luy qu’il en doit imputer le tout, puiſque ſans ſes commandemens ie n’aurois iamais fait l’Oedipe, & que cette Tragedie a plû aſſez au Roy pour me faire recenoir de veritables & ſolides marques de ſon approbation.	Je me contenterai de vous dire simplement que si le Public a reçu quelque satisfaction de ce Poème, et s'il en reçoit encor de ceux de cette nature et de ma façon qui pourront le suivre, c'est à lui qu'il en doit imputer le tout, puisque sans ses commandements deux n'aurais jamais fait l'Oedipe, et que cette Tragédie a plu assez au Roy pour me faire recenoir de véritables et solides marques de son approbation.
Je veux dire ſes liberalitez, que j’oſe nommer des ordres tacites, mais preſſans, de conſacrer aux diuertiſſemens de ſa Majeſté, ce que l'̂ge & les vieux traueux m’ont laiſſé d’eſprit & de vigneur.	Je veux dire ses libéralités, que j'ose nommer des ordres tacites, mais pressants, de consacrer aux divertissements de sa Majesté, ce que l'ége et les vieux traveux m'ont laissé d'esprit et de vigneur.
que ce qui auoit paſſé pour miraculeux dans ces Siecles éloignez, pourroit ſembler horrible au noſtre, & que cette éloquente & curieuſe deſcription de la maniere dont ce malheureux Prince ſe crue les yeux, & le ſpectacle de ces meſmes yeux cruez dont le ſang luy diſtille ſur le viſage, qui occupe tout le cinquiéme Acte chez ces incomparables Originaux, feroit ſoúleuer la delicateſſe de nos Dames qui compoſent la plus belle partie de nostre Auditoire, & dont le degouſt attire aiſement la cenſure de ceux qui les accompagnent;	que ce qui avait passé pour miraculeux dans ces Siècles éloignez, pourrait sembler horrible au nôtre, et que cette éloquente et curieuse description de la manière dont ce malheureux Prince se crève les yeux, et le spectacle de ces mêmes yeux cruez dont le sang lui distille sur le age, qui occupe tout le cinquième Acte chez ces incomparables Originaux, ferait soúleuer la délicatesse de nos Dames qui composent la plus belle partie de notre Auditoire, et dont lé goût attire aisément la censure de ceux qui les accompagnent;
& qu’enfin l’Amour n’ayant point de part dans ce Sujet, ny les femmes d’emptoy, il eſtoit dénüé des principaux ornemens qui nous gagnent d’ordinaire la voix publique.	et qu'enfin l'Amour n'ayant point de part dans ce Sujet, ni les femmes d'emptoy, il était dénüé des principaux ornements qui nous gagnent d'ordinaire la voix publique.
I’ay taſché de remedier à ces deſordres au moins mal que i’ay pû, en éparynant d’vn coſté à mes Auditeurs ce dangereux ſpectacle, & y adjouſtant de l’autre l’heureux Epiſode des ameurs de Theſée & de Dircé, que ie fais fille de Laius, & ſeule heritiere de ſa Couronne, ſuppoſé que ſon frere qu’on auoit expoſé aux bestes ſanuages en eust esté deuoré, comme on le croyoit.	J'ai tâché de remédier à ces désordres au moins mal que j'ai pu, en éparynant d'un côté à mes Auditeurs ce dangereux spectacle, et y ajout de l'autre l'heureux Épisode des ameurs de Thesée et de Dircé, que sans fais fille de Laius, et seule héritière de sa Couronne, supposé que son frère qu'on avait exposé aux bêtes sanvages en eût été dévoré, comme on le croyait.
I’ay retranché le nombre des Oracles qui pouuoit estre importun, & donner trop de iour à Oedipe, pour ſe connoiſtre:	J'ai retranché le nombre des Oracles qui pouvait être importun, et donner trop de jour à Oedipe, pour se connaître:
I'ay rendu la réponſe de Laius euoqué par.	J'ai rendu la réponse de Laius évoqué par.
Tireſie aſſez obſcure dans ſa clarté pour faire vn nouueau nœnd, & qui peut-eſtre n’est pas moins beau que celuy de nos Anciens:	Tiresie assez obscure dans sa clarté pour faire un nouveau nœnd, et qui peut-être n'est pas moins beau que celui de nos Anciens:
I’ay cherché meſme des raiſons pour juſtifier ce qu’Aristote y trouue ſans raiſon, & qu’il excuſe en ce qu’il arrine au commencement de la Fable, & j’ay fait en ſorte qu’Oedipe, encor qu’il fe ſouuienne d’auoir combattu trois hommes au lieu meſme où fut tué Laius, & dans le meſme temps de ſa mort, bien loin de s’en croire l'autheur, la croit auoir vangée ſur trois brigands, à qui le bruit commun l'attribuë.	J'ai cherché même des raisons pour justifier ce qu'Aristote y trouve sans raison, et qu'il excuse en ce qu'il arrine au commencement de la Fable, et j'ai fait en sorte qu'Oedipe, encor qu'il se souvienne d'avoir combattu trois hommes au lieu même où fut tué Laius, et dans le même temps de sa mort, bien loin de s'en croire l'auteur, la croit avoir vengée sur trois brigands, à qui le bruit commun l'attribue.
Cela m'a fait perdre l'auantage que ie m’eſtois promis, de n'eſtre ſouuent que le Traducteur de ces grands Hommes qui m’ont precedé.	Cela m'a fait perdre l'avantage que sans m'étais promis, de n'être souvent que le Traducteur de ces grands Hommes qui m'ont précédé.
Comme j’ay pris vne autre route que la leur, il m’a eſté impoſſible poſſible de me rencontrer avec eux:	Comme j'ai pris ainsi route que la leur, il m'a été impossible possible de me rencontrer avec eux:
mais en récompenſe j’ay eu le bon-heur de faire aduouër à la pluſpart de mes Auditeurs, que ie n’ay fait aucnne Piecs de Theatre où il ſe trouue tant d’Art qu’en colle-cy, bien que ce ne ſoit qu’vn Ouurage de deux mois, que l'impatience Françoiſe m’a fait precipiter, par vn juſte empreſſement d’exeeuter les ordres fauorables que j’anois receus.	mais en récompense j'ai eu le bonheur de faire avouer à la plupart de mes Auditeurs, que je n'ai fait aucne Piècs de Théâtre où il se trouve tant d'Art qu'en colle-cy, bien que ce ne soit qu’ avez Ouvrage de deux mois, que l'impatience Française m'a fait précipiter, par un juste empressement d'exeeuter les ordres favorables que j'anais reçus.
OEDIPE, Roy de Thebes, fils & mary de localtes	OEDIPE, Roi de Thebes, fils et mari de localtes
miinonn, rimocumthénes, & Amant de Dircé.	miinonn, rimocumthénes, et Amant de Dircé.
IOCASTE, Reine de Thebes, femme & mere d’Oedipe.	JOCASTE, Reine de Thebes, femme et mère d'Oedipe.
DIRCE, Princeſſe de Thebes, fille de Laius & de Iocaſte, iœur d'Oedipe, & Amante de Theſée.	DIRCE, Princesse de Thebes, fille de Laius et de Jocaste, jœur d'Oedipe, et Amante de Thesée.
CLEANTE, DYMAS, Confidents a Ciaipes	CLEANTE, DYMAS, Confidents a Ciaipes
PXTORBAS, Vſeillard I nebain.	PXTORBAS, Vseillard I nebain.
IPHICRATE, Vieillard de Corinthe.	IPHICRATE, Vieillard de Corinthe.
NERINE, Suiuante de la Reine.	NERINE, Suivante de la Reine.
MEGARE, Suiuante de Dircé.	MEGARE, Suivante de Dircé.
La Scene eſt à Thebes.	La Scène est à Thebes.
OE DI	ÔE DI
E - L TRAGEDIE.	E - L TRAGÉDIE.
ACTE I.	ACTE I.
SCLIE PREMIERE.	SCLIE PREMIÈRE.
THESEE, DIRCE.	THESEE, DIRCE.
THESEE.	THESEE.
ESCOUTE’Z plus, Madame vne pitié cruelle, Qui d’vn fidelle amant vous feroit vn rebelle:	ÉCOUTÉZ plus, Madame une pitié cruelle, Qui d'un fidèle amant vous ferait un rebelle:
La gloire d’obeïr n’a rien qui me ſoit doux, Lors que vous m’oidomez de meroigner de vous.	La gloire d'obéir n'a rien qui me soit doux, Lors que vous m'oidomez de méroigner de vous.
Quelque rauage affreux qu’étale icy la peſte, L’abſence aux vrais amants eſt encor plus funeſte;	Quelque ravage affreux qu'étale ici la peste, L'absence aux vrais amants est encor plus funeste;
Et d’vn ſi grand peril l’image s’offre en vein, Quand ce peril douteux épargne vn mal certain.	Et d'un si grand péril l'image s'offre en vein, Quand ce péril douteux épargne un mal certain.
DIRCE.	DIRCE.
Le trouuez-vous douteux, quand toute voſtre ſuita Par cet affreux rauage à Phædime eſt reduite, De qui meſme le front déja pâle & glacé Porte empraint le trépas dont il eſt menacé?	Le trouvez-vous douteux, quand toute votre suita Par cet affreux ravage à Phædime est réduite, De qui même le front déjà pâle et glacé Porte empraint le trépas dont il est menacé?
Seigneur, toutes ces morts dont il vous environne Sont des advis preſants que de grace il vous donne, Et Et tant leuer le bras auant que de fraper, C’eit vous dire anez naut qu’il en temps d’échaper.	Seigneur, toutes ces morts dont il vous environne Sont des avis presants que de grâce il vous donne, Et Et tant leuver le bras avant que de frapper, C'éit vous dire anez naut qu'il en temps d'échapper.
THESEE.	THESEE.
Ie le voy comme vous, mais alors qu’il m’aſſiege Vous laiſſe-t’il, Madame, vn plus grand priuilege?	Je le vois comme vous, mais alors qu'il m'assiège Vous laisse-t-il, Madame, un plus grand privilège?
Ce Phluis par la pene etcair prus rexpecté?	Ce Phluis par la pene etcair prus repecté?
Ceſte air auprés du trône eſt-il moins infecté?	Cette air auprès du trône est-il moins infecté?
DIRCE.	DIRCE.
Ah, Seigneur, quãd l'amour tient vne ame a l’armée, Il l’attache aux perils de la perſonne aimée.	Ah, Seigneur, quand l'amour tient une âme a l'armée, Il l'attache aux périls de la personne aimée.
Ie vois aux pieds du Roy chaque iour des mourants, I'y voy tomber du Ciel les oiſeaus expirants, Ie me vois expoſée à ces vaſtes miſeres, I’y voy mes ſœurs, la Reine, & les Princes mes freres, Ie ſçay qu’en ce moment ie puis les perdre tous, Et mon cœur toutefois ne tremble que pour vous;	Je vois aux pieds du Roi chaque jour des mourants, J'y vois tomber du Ciel les oiseaus expirants, Je me vois exposée à ces vastes misères, J'y vois mes sœurs, la Reine, et les Princes mes frères, Je sais qu'en ce moment ie va les perdre tous, Et mon cœur toutefois ne tremble que pour vous;
Tant de cette frayeur les profondes atteintes Repouſſent fortement toutes les autres craintes.	Tant de cette frayeur les profondes atteintes Repoussent fortement toutes les autres craintes.
THESEE.	THESEE.
Souffrez donc que l’amour me faſſe meſme loy, Que ie tremble pour vous quand vous tremblez pour moy, Et ne m’impoſez pas cette indigne foibleſſe De craindre autres perils que ceux de ma Princeſſe.	Souffrez donc que l'amour me fasse même loi, Que tu tremble pour vous quand vous tremblez pour moi, Et ne m'imposez pas cette indigne faiblesse De craindre autres périls que ceux de ma Princesse.
I’aurois en ma faueur le courage bien bas Si ie fuyois des maux que vous ne fuyez pas :	J'aurais en ma faveur le courage bien bas Si ici fuyais des maux que vous ne fuyez pas :
Voſtre exemple eſt pour moy la ſeule regle à ſuiure, Euiter vos perils c’eſt vouloir vous ſuruiure, Ia n’ay que cette honte à craindre ſous les Cieux;	Votre exemple est pour moi la seule règle à suivre, Euiter vos périls c'est vouloir vous suruiure, Ja n'ai que cette honte à craindre sous les Cieux;
Icy ie puis mourir, mais mourir à vos yeux, Et ſi, malgré la mort de tous coſtez errante, Le Deſtin me reſerue à vous y voir mourante, Mon bras ſur moy du moins enfoncera les coups Qu’aura ſon inſolence éleuez juſqu'à vous, Et ſçaura me ſouſtraire à cette ignominie, De ſouffrir apres vous quelques momens de vie, Qui dans le triſte eſtat où le Ciel nous reduit Seroient de mon depart l’infame & le ſeul fruit.	Ic ie puis mourir, mais mourir à vos yeux, Et si, malgré la mort de tous côtés errante, Le Destin me réserve à vous y voir mourante, Mon bras sur moi du moins enfoncera les coups Qu'aura son insolence élevez jusqu'à vous, Et saura me soustraire à cette ignominie, De souffrir après vous quelques moments de vie, Qui dans le triste état où le Ciel nous réduit Seraient de mon départ l'infâme et le seul fruit.
DIR	DIR
DIRCE.	DIRCE.
3 Quoy!	3 Quoi!
Dircé par ſa mort deuiendroit criminelle, Iuſqu'à forcer Theſée à mourir apres elle, Et ce cœur intrepide au milieu du danger Se defendroit ſi mal d’vn malheur ſi leger!	Dircé par sa mort deviendrait criminelle, Jusqu'à forcer Thesée à mourir après elle, Et ce cœur intrépide au milieu du danger Se défendrait si mal d'un malheur si léger!
M'immoler vne vie à tous ſi precieuſe, Ce ſeroit rendre à tous ma memoire odieuſe, Et par toute la Grece animer trop d’horteur Contre une Ombre cherie auec tant de fureur.	M'immoler une vie à tous si précieuse, Ce serait rendre à tous ma mémoire odieuse, Et par toute la Grèce animer trop d'horteur Contre une Ombre chérie avec tant de fureur.
Ces infames brigands dont vous l’auez purgée, Ces ennemis publics dont vous l’auez vangée, Apres voſtre trépas à l’envy renaiſſans, Pilleroient ſans frayeur les peuples impuiſſans, Et chacun maudiroit, en les voyant paroiſtre, La cauſe d’vne mort qui les feroit renaiſtre.	Ces infâmes brigands dont vous l'avez purgée, Ces ennemis publics dont vous l'avez vengée, Apres votre trépas à l'envi renaissants, Pilleraient sans frayeur les peuples impuissants, Et chacun maudirait, en les voyant paraître, La cause d'une mort qui les ferait renaître.
Oſeray-ie, Seigneur, vous dire hautement Qu’vn tel excez d’amour n’eſt pas d’vn tel amant?	Oserai-je, Seigneur, vous dire hautement Qu'un tel excès d'amour n'est pas d'un tel amant?
S’il eſt vertu pour nous, que le Ciel n’a formées Que pour le doux employ d’aimer, & d’eſtre aiIl faut qu’en vos pareils les belles paſſions (mées, Ne foient que l’ornement des grandes actions.	S'il est vertu pour nous, que le Ciel n'a formées Que pour le doux emploi d'aimer, et d'être aiIl faut qu'en vos pareils les belles passions (mées, Ne soient que l'ornement des grandes actions.
Ces hauts emportemens qu’vn beau feu leur inſpire Doiuent les éleuer, & non pas les détruire, Et quelque deſeſpoir que leur cauſe vn trépas, Leur vertu ſeule a droit de faire agir leurs bras, Ces bras que craint le crime à l’égal du tonnerre, Sont des dons quele Ciel fait à toute la Terre, Et l’Vniuers en eux perd vn trop grand ſecours, Pour ſouffrir que l’Amour ſoit maiſtre de leurs iours.	Ces hauts emportements qu'un beau feu leur inspire Doivent les élever, et non pas les détruire, Et quelque désespoir que leur cause un trépas, Leur vertu seule a droit de faire agir leurs bras, Ces bras que craint le crime à l'égal du tonnerre, Sont des dons quele Ciel fait à toute la Terre, Et l'Univers en eux perd vn trop grand secours, Pour souffrir que l'Amour soit maître de leurs jours.
Faites voir, ſi ie meurs, vne entiere tendreſſe, Mais viuer apres moy pour toute noſtre Grece, Et laiſſez à l’Amour conſeruer par pitié De ce tout deſvny la plus digne moitié.	Faites voir, si ici meurs, une entière tendresse, Mais viver après moi pour toute notre Grèce, Et laissez à l'Amour conserver par pitié De ce tout desvny la plus digne moitié.
Viuez, pour faire viure en tous lieux ma memoire, Pour porter en tous lieux vos ſoûpirs & ma gloire, Et faire par tout dire, Vn ſi vaillant Heros Au malheur de Dircé donne encor des ſanglots, Il en garde en ſon ame encor toute l’image, Et rend à ſa chere Ombre encor ce triſte hommage.	Vivez, pour faire vivre en tous lieux ma mémoire, Pour porter en tous lieux vos soupirs et ma gloire, Et faire par tout dire, V si aillant Héros Au malheur de Dircé donne encor des sanglots, Il en garde en son âme encor toute l'image, Et rend à sa chère Ombre encor ce triste hommage.
Cet eſpoir eſt le ſeul dont j’aime à me flater, Et l’unique douceur que ie veux emporter.	Cet espoir est le seul dont j'aime à me flatter, Et l'unique douceur que ie veux emporter.
THESEE.	THESEE.
Ah, Madame, vos yeux combatent vos maximes, Si j’en croy leur pouuoir, vos conſeils ſont des criIe ne vous feray point ce reproche odieux, (mes.	Ah, Madame, vos yeux combatent vos maximes, Si j'en crois leur pendant, vos conseils sont des criIe ne vous ferai point ce reproche odieux, (mes.
Que ſi vous aimiez bien, vous conſeilleriez mieux, Ie diray ſeulement qu’auprés de ma Princeſſe Aux ſeuls deuoirs d’amant un Heros s’intereſſe, Et que, de l’Univers fuſt-il le ſeul appuy, Aimant vn tel objet il ne doit rien qu’à luy.	Que si vous aimiez bien, vous conseilleriez mieux, Je dirai seulement qu'auprès de ma Princesse Aux seuls devoirs d'amant un Héros s'intéresse, Et que, de l'Univers fût-il le seul appui, Aimant un tel objet il ne doit rien qu'à lui.
Mais ne conteſtons point, & ſauuons l’un & l’autre, L’Hymen juſtifiera ma retraite & la voſtre, Le Roy ne pourroit-il en refufer l’adueu, Si vous en aduoüez l’audace de mon feu?	Mais ne contestons point, et sauvons l'un et l'autre, L'Hymen justifiera ma retraite et la vôtre, Le Roi ne pourrait-il en refuser l'aveu, Si vous en aduoüez l'audace de mon feu?
Pourroit-il s’oppoſer à cette illuſtre enuie ?	Pourrait-il s'opposer à cette illustre envie ?
D’aſſeurer ſur un trône vne ſi belle vie, Et ne point conſentir que des deſtins meilleurs Vous exilent d’icy pour commander ailleurs?	D'assurer sur un trône était si belle vie, Et ne point consentir que des destins meilleurs Vous exilent d'ici pour commander ailleurs?
DIRGE.	DIRGE.
