ECTIEIOE LTTDETEVTE PERSECVTEE TRAGI-COMEDIE.	ECTIEIOE LTTDETEUTE PERSÉCUTE -THRAGICOMÉDIE.
Ces conſiderations (Monſieur) ont fait naiſtre l’enuie à cette belle ORPHISE de chercher vn azile chez vous, & d’implorer voſtre protection contre les mediſans, les enuieux, & les ignorans;	Ces considérations (Monsieur) ont fait naître l'envie à cette belle ORPHISE de chercher un asile chez vous, et d'implorer votre protection contre les médisans, les envieux, et les ignorants;
le recit que ie luy ay fait de voſtre bõté, luy fait tout eſperer, & ie croy qu’elle doit tout attendre de voſtre courtoiſie.	le récit que ie luy ai fait de votre bien, lui fait tout espérer, et et fait qu'elle doit tout attendre de votre courtoisie.
Les trauerſes qu’elle à deſia reſſenties en ſes amours luy ont dõnné le tiltre de BAEVTE PERSECVTE’E, Mais elle aura doreſnauant en effet celuy de Beauté bienheureuſe ſi elle reçoit de vous vn fauorable accuell, & ſe prendray	Les traverses qu'elle à déjà ressenties en ses amours lui ont donné un titre de BANTE PERSÉCUTE, Mais elle aura dorénavant en effet celui de Beauté bienheureuse si elle reçoit de vous un favorable accuel, et se prendrai
O TRE.	Ô TRE.
beaucoup de part en ſon bon-heur, ſi vous m’accordez la qualité glorieuſe de	beaucoup de part en son bonheur, si vous m'accordez la qualité glorieuse de
MONSIEVR,	MONSIEUR,
Voſtre tres-humble & tres-affectionné ſeruiteur.	Votre très-humble et très-affectionné serviteur.
DESFONTAINES.	DESFONTAINES.
EXTRAICT DV PRIVILEGE DV ROY.	EXTRAICT DU PRIVILÈGE DU ROY.
AR grace & Priuilege de Roy donné à Paris le L 7.	AR grâce et Privilège de Roi donné à Paris le L 7.
iour de Feurier 1637.	jour de Février 1637.
Signé par le Roy, en ſon Conſeil de Monçeaux.	Signé par le Roi, en son Conseil de Moneaux.
Il eſt permis à ANTOINE DE SOMMAVILLE, Marchand Libraire à Paris, d’Imprimer ou fairelmprimer,vendre & diſtribuer vne piece de Theatre' Intitulec, ORPHISE, ou la Beauté Perſecutée Tragi-Comedie du Sieur DESFONTAINES, durant le temps de neuf ans à compter du iour qu’elle ſera acheuee d’Imprimer:	Il est permis à ANTOINE DE SOMMAVILLE, Marchand Libraire à Paris, d'Imprimer ou fairelémprimer,vendre et distribuer une pièce de Théâtre Intitulec, ORPHISE, ou la Beauté Persecutée Tragi-Comédie du Sieur DESFONTAINES, durant le temps de neuf ans à compter du jour qu'elle sera achevue d'Imprimer:
Et deffences ſont faictes à tous autres de l’Imprimer ou faire Imprimer, vendre ny diſtribuer ſans le conſentement dudit Sommauille, ou de ceux ayans droict de luy, à peine aux contreuenansde trois mille liures d’amendes, & de tous ſes deſpens, dommages & intereſts, ainſi qu’il eſt plus au long porté par leſdites lettres quiſont en vertu du preſent extraict, tenuës pour bien & deuëment ſignifiees, à ce qu’aucun n’en pretende cauſe d’ignorance.	Et défenses sont faites à tous autres de l'Imprimer ou faire Imprimer, vendre , distribuer sans le consentement dudit Sommaville, ou de ceux ayant droit de jours, à peine aux contrevenantsde trois mille livres d'amendes, et de tous ses dépens, dommages et intérêts, ainsi qu'il est plus au long porté par lesdites lettres quisont en vertu du présent extrait, tenues pour bien et deuëment signifiées, à ce qu'aucun n'en prétende cause d'ignorance.
3	3
LES ACTEVRS.	LES ACTEURS.
HERMODORE.	HÉRMODORE.
Roy de Thebes.	Roi de Thebes.
Fils d’Hlermodore amoureux d’Orphiſe.	Fils d'Hlermodore amoureux d'Orphise.
Amant d’Orphiſe.	Amant d'Orphise.
MR M  SA TXIIGICOMEDIE.	MR MA TA TXIGICOMEDIE.
ACTEI SCENE PREMIERE.	ACTEI CÈNE PREMIÈRE.
HELIONE.	HÉLIONE.
ORPHISE.	ORPHISE.
2 MBN HELIONE.	2 MBN HÉLIONE.
Ve ſert de le celer, il eſt vray (belle Orphiſe) Le Prince a tes attraits à ſoubmis ſa franchiſe, Et ce digne heritier du monarque Thebain Ie preſente deſia cette Royale main Qui doit auecque luy t'eſleuer ſur le trône.	Ve sert de le celer, il est vrai (belle Orphise) Le Prince a tes attraits à soubmis sa franchise, Et ce digne héritier du monarque Thebain Je présente déjà cette Royale main Qui doit avec lui t'élever sur le trône.
ORPHISE.	ORPHISE.
Tenez vous ce diſcours (adorable Helione).	Tenez vous ce discours (adorable Hélione).
A Afin de vous donner du diuertiſſement:	A Afin de vous donner du divertissement:
Ou bien pour eſprouuer parce beau compliment, Dans ma condition ſi ie ſuis aſſez vaine, Pour ozer eſperer la qualité de Reine?	Ou bien pour éprouver parce beau compliment, Dans ma condition si tu suis assez vaine, Pour zer espérer la qualité de Reine?
Non non, ie n’eus iamais cette preſomption, I’ay fort peu de merite, & moins d’ambition;	Non non, Seigneur n'eus jamais cette présomption, J'ai fort peu de mérite, et moins d'ambition;
Mes yeux ſont ſans attraits, Ligdamis eſt ſans flame, Ou s’ilbruſle d’amour, vous le ſçauez (Madame) ar cõme on ne ſçauroit vous voir, ſans vous aimer;	Mes yeux sont sans attraits, Ligdamis est sans flamme, Ou s'ilbrûle d'amour, vous le savez (Madame) ar me on ne saurait vous voir, sans vous aimer;
Ie troyque vos peautes ont bien put enſamer, Et que ſi quelque obiet triomphe de ſa priſe, Helione à bon droit.	Je troyque vos peautes ont bien put ensamer, Et que si quelque objet triomphe de sa prise, Hélione à bon droit.
AIEEIONL.	AIEIONL.
Peut ſe plaindre d’Orphiſe;	Peut se plaindre d'Orphise;
Puis qu'elle ne veut pas m’aduoüer vne amour Dont le bruit a deſia remply toute la Cour.	Puis qu'elle ne veut pas m'avouer une amour Dont le bruit a déjà rempli toute la Cour.
PHISE.	PHISE.
Ce hruit (belle Princeſſe) a bien peu d’apparence, Et nos conditions ont trop de difference Pour ne pas diſſiper vne ſi vaine erreur, Qui loing de me flatter me donne de l’horreur:	Ce hruit (belle Princesse) a bien peu d'apparence, Et nos conditions ont trop de différence Pour ne pas dissiper une si vaine erreur, Qui loin de me flatter me donne de l'horreur:
Oüy Madame ce bruit m'eſt de mauuais preſage, De ce funeſte amour i'apprehende i orage.	Oui Madame ce bruit m'est de mauvais présage, De ce funeste amour j'appréhende y orage.
Mais pluſtoſt que d’entendre à ce lache deſſein, On me verra porter vn poignard dans le ſein, Ie verſeray mon ſang pour eſteindre ſa flame.	Mais plutôt que d'entendre à ce lache dessein, On me verra porter un poignard dans le sein, Je verserai mon sang pour éteindre sa flamme.
HELIONE.	HÉLIONE.
Mais ſi la viue ardeur qui conſume ſon ame N'a rien qui ſoit contraire à tonhonneſteté, Pourras tu te reſoudre à cette cruauté?	Mais si la vive ardeur qui consume son âme N'a rien qui soit contraire à tonhonnesteté, Pourras tu te résoudre à cette cruauté?
ORPHISE.	ORPHISE.
Quel que ſoit ſon amour la fin m’en eſt ſuſpecte Il eſt Prince, & ſon rang veut que ie le reſpecte Mais l inegalité de ma condition Deſtine vn autre objet à mnon affection.	Quel que soit son amour la fin m'en est suspecte Il est Prince, et son rang veut que sans le respecte Mais inégalité de ma condition Destine un autre objet à mnon affection.
HELIONE.	HÉLIONE.
Q uetvo ſei fenarmamt a ion ame rauſe Qui te fait regarder vn trône ſans enuie, Et traitter vn grand Prince auec tant de rigueur?	 uetvo sei fenarmamt a ion âme rause Qui te fait regarder un trône sans envie, Et traiter un grand Prince avec tant de rigueur?
RPHISE.	RPHISE.
Theage eſt l’agreable, & l’vnique vainqueur Qinent deſſoneſesioix mauvene captiue, Et tant que le deſtin permettra que ie viue, Ie vous puis aſſeurer qu'il ſera deſormais L'obiet de tous les vœux que ie feray iamais.	Théage est l'agréable, et l'opique vainqueur Qinent dessonesioix mauvène captive, Et tant que le destin permettra que un vive, Je vous puis assurer qu'il sera désormais L'objet de tous les vœux que sans ferai jamais.
HELIONE.	HÉLIONE.
Apres beaucoup de crainte à la fin ie reſpire, Ta reſolution allege mon martyre, Et la fidelité de ton parfaict amour Malgré mes deſplaiſirs me conſerue le iour:	Après beaucoup de crainte à la fin fin respire, Ta résolution allege mon martyre, Et la fidélité de ton parfait amour Malgré mes déplaisirs me conserve le jour:
Te le diray-je Orphiſe, vn peu de jalouſie A depuis quelque temps troublé ma fantaiſie, Et voyant dans tes yeux des charmes ſi puiſſans, I'en ay maudit les traits, bien qu’ils ſoient innocens;	Te le dirai-je Orphise, un peu de jalousie A depuis quelque temps troublé ma fantaisie, Et voyant dans tes yeux des charmes si puissants, J'en ai maudit les traits, bien qu'ils soient innocents;
I'ay creu que tes beautez conſentoient à maperte, Qu’aux vœux de Ligdamis ton ame eſtoit ouuerte, Et que l’ambition auoit mis dans ton ſein L’eſpoir de reüſſir en vn ſi haut deſſein:	J'ai cru que tes beautés consentaient à maperte, Qu'aux vœux de Ligédamis ton âme était ouverte, Et que l'ambition avait mis dans ton sein L'espoir de réussir en un si haut dessein:
Mais à ce que ie voy, taraiſon mieux reglée Par de vaines grandeurs ne peut eſtre aueuglée, Dedans l’egalité tu cherches tes plaiſirs, Et ton pouuoir atteint où tendent tes deſirs.	Mais à ce que je vois, taraison mieux réglée Par de vaines grandeurs ne peut être aveuglée, Dé galité tu cherches tes plaisirs, Et ton pouvoir atteint où tendent tes désirs.
D.	D.
RPHISE.	RPHISE.
Auec iuſte raiſon ie m’eſtonne Madame Que ce jaloux ſoupçon ſoit entré dans voſtre ame;	Avec juste raison ie m'étonne Madame Que ce jaloux soupçon soit entré dans votre âme;
Veu que vous poſſediez toutes les qualitez Qui ſe font admirer aux parfaites beautez, Et qu'outre les faueurs dont lectel vous partage, Le ſang vous donne encore vn ſi grand auantage, Que ſi vous deuez craindre en vn deſtin ſi doux C’eſt de ne point trouuer qui ſoit digne de vous.	Veu que vous possédiez toutes les qualités Qui se font admirer aux parfaites beautés, Et qu'outre les faveurs dont lectel vous partage, Le sang vous donne encore un si grand avantage, Que si vous devez craindre en un destin si doux C'est de ne point trouver qui soit digne de vous.
HELIONE.	HÉLIONE.
Treue ( diuine Orphiſe) à cette complaiſance, Ie n’ay de mes desfauts que trop de cognoiſſance, Et tes charmes auroient mon eſpoirabatu Si Ligdamis euſt pû ſurmonter ta vertu;	Treve ( divine Orphise) à cette complaisance, Je n'ai de mes défauts que trop de connaissance, Et tes charmes auraient mon espoirabattu Si Ligédamis eût pu surmonter ta vertu;
Ouy ſans tous ces meſpris, & cette reſiſtance Qu'vn amour plus puiſſant fit faire à taconſtance, Ce Prince deſloyal euſt eſtouffé les feux, Qui depuis ſilong-temps nous ont bruſlé tous deux, Ces tendres ſentimens qui depuis ſix années Ont ſi parfaitement nos ames enchaiſnées En de triſtes meſpris ſe fuſſent veu changer, Et peut-eſtre me voy-ie encore ence danger, Peut-eſtre que ſoncœurremply d’ingratitude Commence d’oublier cette douce habitude Qu'il auoit de m’aymer, & de me faire voir Que ſur luy i'auois ſeule vn abſolu pouuoir;	Oui sans tous ces mépris, et cette résistance Qu'un amour plus puissant fit faire à taconstance, Ce Prince déloyal eût étouffé les feux, Qui depuis silong-temps nous ont brûlé tous deux, Ces tendres sentiments qui depuis six années Ont si parfaitement nos âmes enchaînées En de tristes mépris se fussent vu changer, Et peut-être me vois-être encore ence danger, Peut-être que soncœurrempli d'ingratitude Commence d'oublier cette douce habitude Qu'il avait de m'aimer, et de me faire voir Que sur lui nôseule absolu pouuoir;
Eſperons toutesfois, puis qu’Orphiſe eſt rebelle Aux nouuelles ardeurs de ce Prince infidele Apres tant de froideurs & de meſpris ſouffers Il pourra bienrentrer dedans ſes premiers fers.	Espérons toutefois, puis qu'Orphise est rebelle Aux nouvelles ardeurs de ce Prince infidèle Apres tant de froideurs et de mépris souffers Il pourra bienrentrer dedans ses premiers fers.
ORPHISE.	ORPHISE.
Madame, puis qu’Amour l’amis dedans vos chaiſnes Vos vœux ſont ſuperflus, & vos craintes ſont vaines Qui vous void vne fois, vous adore touſiours, Et la fin de ſa flame eſt celle de ſes iours.	Madame, puis qu'Amour l'amis dedans vos chaînes Vos vœux sont superflus, et vos craintes sont vaines Qui vous voit une fois, vous adore toujours, Et la fin de sa flamme est celle de ses jours.
HELIONE.	HÉLIONE.
Ie viuray (belle Orphiſe) auec cetté eſperance Adieu:	Je vivrai (belle Orphise) avec ceté espérance Adieu:
mais vis auſſi dedans cette aſſeurance Que ie te feray voir en meſme occaſion Et mon reſſentiment, & mon affection.	mais vis aussi dedans cette assurance Que Que te ferai voir en même occasion Et mon ressentiment, et mon affection.
A iij	À jijà
DEDNEDDVATEME	DÉDNEDVATEME
ORPHISE ſeule.	ORPHISE seule.
L'eſt vray toutes fois Princeſſe infortunée IQue le Prince trahit l’amour qu’il t’adonnée, Et qu'Orphiſe qui fuit vn ſi perfide amant Eſt l’innocent objet qui fait ce changement:	L'est vrai toutes fois Princesse infortunée IQue le Prince trahit l'amour qu'il t'adonnée, Et qu'Orphise qui fuit un si perfide amant Est l'innocent objet qui fait ce changement:
Mais lors qu’il te trahit, l’infidele ſe trompe, Ila beau ſe montrerauec beaucoup de pompe Cette vaine grandeur dont il croit m’eſblouir Ne ſeruira iamais qu'à le faire haïr:	Mais lors qu'il te trahit, l'infidèle se trompe, Ila beau se montreravec beaucoup de pompe Cette vaine grandeur dont il croit m'éblouir Ne servira jamais qu'à le faire haïr:
Il commence à m’aymer, ie commence à le craindre, Et lors que l’õ m’en parle on m’oblige à me plaindre, Mon eſprit eſt chagrin ſeulement d’y penſer;	Il commence à m'aimer, une commence à le craindre, Et lors que l'on m'en parle on m'oblige à me plaindre, Mon esprit est chagrin seulement d'y penser;
Theage muubruorpp eopurlaqneio bois uuuancert Non cet aymable objet porte ſur ſon viſage De la fidelité la plus parfaite image;	Théage mubruorp eoplaqneio bois uancert Non cet aimable objet porte sur son visage De la fidélité la plus parfaite image;
Ab genereux Amant que ie crains qu’un riual Ne ſoit doreſnauant à ton amour fatal.	Ab généreux Amant que tu crains qu'un rival Ne soit dorénavant à ton amour fatal.
SCENE TROISIEME.	SCÈNE -TROISIÈME.
THEAGE.	THÉGE.
ORPHISE.	ORPHISE.
THEAGE.	THÉGE.
Elle Orphiſe d’où vient cette melancholie, DOù voſtre ame paroit ſi fortenſeuelie?	Elle Orphise d'où vient cette mélancolie, DOù votre âme parait si fortenseuelie?
Eſt-ce pour eſtouffer mon amoureuſe ardeur Que vous me receuez, auec tant de froideur?	Est-ce pour étouffer mon amoureuse ardeur Que vous me recevez, auecjours de froideur?
Ah!	Ah!
ſii'ay le malheur d’auoir pù vous deplaire le ne muimure point tontre ooprecoltre, Pourueu qu’en me priuant & d’eſpoir, & d’amour, Vous permettiez auſſi que ie perde le iour.	sij'ai le malheur d'avoir pour vous déplaire le ne muimure point tontre ooprecoltre, Pourvu qu'en me privant et d'espoir, et d'amour, Vous permettiez aussi que je perde le jour.
PHISE.	PHISE.
Pardonne (cher Theage) à l’ennuy qui me preſſe, Et comme mon amour, partage ma triſteſſe, Loing de me conſoler en mes iuſtes douleurs, Iu dois tes ſentimens à nos communs malheurs:	Pardonne (cher Théage) à l'ennui qui me presse, Et comme mon amour, partage ma tristesse, Loin de me consoler en mes justes douleurs, Ju dois tes sentiments à nos communs malheurs:
Car encor quei attende vn violent orage Ie ne me plaindrois pas s’il eſpargnoit Theage Mais le Ciel n’auorit pas aſſouuy ſon couroux Si m’eſtant rigoureux tonſort eſtoit plus doux.	Car encor quei attende un violent orage Je ne me plaindrais pas s'il épargnait Théage Mais le Ciel n'avorit pas assoui son courroux Si m'étant rigoureux tonsort était plus doux.
HEAGE.	HÉAGE.
Ah Madame!	Ah Madame!
en ce point ſa rigueur m’eſt propice, Et ſa triſte faueur feroit vne iniuſtice;	en ce point sa rigueur m'est propice, Et sa triste faveur ferait une injustice;
Si lors que ſon reſpect manque pour vos attraits Le barbare pourmoy manquoit auſſi de traits:	Si lors que son respect manque pour vos attraits Le barbare pourmoi manquait aussi de traits:
Non non, ie beniray mon tourment, & mes peines, Si vous preſtez, la main à ſouſtenir mes chaiſnes, Et ſi mon ſang rendoit vos deſtins plus heureux Ie verrois le trépas d’vn viſage amoureux:	Non non, Seigneur bénirai mon tourment, et mes peines, Si vous prêtez, la main a soutenir mes chaînes, Et si mon sang rendait vos destins plus heureux Je verrais le trépas d'être visage amoureux:
Mais de grace!	Mais de grâce!
Madame, afin de m'y reſoudre, Dites moy de quel bras doit partir cette foudre, Quel eſt mon ennemy, que ie l’oſte du iour.	Madame, afin de m'y résoudre, Dites -moi de quel bras doit partir cette foudre, Quel est mon ennemi, que toute l'ôte du jour.
RPHISE.	RPHISE.
Tu ne ſçaurois Theage	Tu ne saurais Thage
HEAGE.	HÉAGE.
Et pourquoy?	Et pourquoi?
ORPHISE.	ORPHISE.
C’eſt Amour.	C'est Amour.
THEAGE.	THÉGE.
Madame, ceſt aſſez, ie voy mon infortune, Et ie ſcay maintenantce qui vous importune:	Madame, cet assez, je vois mon infortune, Et ici sais maintenantce qui vous importune:
Cet amour que vos yeux ont fait naiſtre en mon cœur, Cet aymable Tyran dontie faits mon vainqueur, Eſt cauſe des ennuis peints ſur voſtre viſage Et du prochain malheur quimtumn- iuentt.	Cet amour que vos yeux ont fait naître en mon cœur, Cet aimable Tyran dontie faits mon vainqueur, Est cause des ennuis peints sur votre visage Et du prochain malheur quimîntumn- iuentt.
Mais Madame eſteignez ce feu qui vous deſplait Bmployez-y mon ſang tout fidelle qu’il eſt Et pour rendre à iamais mon ardeur eſtouffée:	Mais Madame été ce feu qui vous déplaît Bmployez-y mon sang tout fidèle qu'il est Et pour rendre à jamais mon ardeur étouffée:
Donnez, à vos attraits vn plus noble trophee:	Donnez, à vos attraits un plus noble trophée:
Ie croy que ce n'eſt pas ſans vn ſenſible effort Q ue vous auez conclu cet arreſt de ma mort, Et que voſtre rigueur voyant mon innocence Se fait en me tuant be aucoup de violence, Mais Orphiſe eſtouffez, cette ingratte pitié, Perdez le ſouuenir de ma tendre amitié, Et pour mettre en repos vnobjet adorable, Neſpargnez point le ſang d’vn amant miſerable,	Je crois que ce n'est pas sans un sensible effort Q ue vous avez conclu cet arrêt de ma mort, Et que votre rigueur voyant mon innocence Se fait en me tuant be aucoup de violence, Mais Orphise étouffez, cette ingrate pitié, Perdez le souvenir de ma tendre amitié, Et pour mettre en repos vnobjet adorable, Nespargnez point le sang d'un amant misérable,
PHISE.	PHISE.
Theage, tu prens mal le ſens de mes diſcours, Deſtruirois-jele bras d’où i’attens du ſecours?	Théage, tu prends mal le sens de mes discours, Détruirais-jele bras d'où j'attends du secours?
Et croy tu que l’on puiſſe attenter à ta vie Sans que d’vn meſme coup elle me ſoit rauie?	Et crois tu que l'on puisse attenter à ta vie Sans que d'un même coup elle me soit ravie?
Non non, la paſſion dont ton cœur eſt eſpris N'auraiamais chez, moy ny froideur, ny meſpris, I'approuue tes deuoirs, & tagrace mecharme, Mais onuutrt me uonne ont jaſcheuſe alarme Bien que tu ſois au rang de ſes plus grands amis.	Non non, la passion dont ton cœur est épris N'auraiamais chez, moi était froideur, sans mépris, J'approuve tes devoirs, et tagrace mécharme, Mais onuutrt me uonne ont jascheuse alarme Bien que tu sois au rang de ses plus grands amis.
THEAGE.	THÉGE.
Le nom de ce riual?	Le nom de ce rival?
ORPHISE.	ORPHISE.
C	Ç
THEAGE.	THÉGE.
ORPHISE Qui?	ORPHISE Qui?
C’eſt Ligdamis.	C'est Ligédamis.
HEAGE.	HÉAGE.
Ligdamis ah!	Ligdamis ah!
Madame vn rayon d’eſperance Flatte encor mon amour d’vne belle apparence, Ce n’eſt pas qu'eſbloüy d’vn rangſi glorieux Ie doute aucunement du pouuoir de vos yeux;	Madame un rayon d'espérance Flatte encor mon amour d'une belle apparence, Ce n'est pas qu'ébloui d'un rangsi glorieux Je doute aucunement du pouvoir de vos yeux;
Je ſçay queleurs regards triomphent des plus braues, Et que des plus grands Rois ils ſe font des eſclaues, Mais quoy que Ligdamis brule pour vos appas Ce ſera d’vne ardeur qui ne vout nuira pas;	Je sais queleurs regards triomphent des plus braves, Et que des plus grands Rois ils se font des esclaves, Mais quoi que Ligédamis brule pour vos appas Ce sera d'une ardeur qui ne vout nuira pas;
Peut-eſtre que par vous il s’eſt laißé ſurprendre, Et que de vos attraits il n’a pù ſe deffendre;	Peut-être que par vous il s'est laisse surprendre, Et que de vos attraits il n'a pù se défendre;
Mais quand deſia l’amour vous vniroit tous deux Ce Prince ne ſçauroit diſpoſer de ſes vœux Le Roy qui le deſtine à porter ſa Couronne Luy va faire espouſercette belle Helione Qu’il ſemble qu'Almarie eſleue en cette cour Seulement pour donner au Prince de l’amour:	Mais quand déjà l'amour vous unirait tous deux Ce Prince ne saurait disposer de ses vœux Le Roi qui le destine à porter sa Couronne Lui va faire espousercette belle Hélione Qu'il semble qu'Almarie élève en cette cour Seulement pour donner au Prince de l'amour:
Celle qui mit au iour cette ieune Princeſſe Se voyant ſur le point d’vne extreme vielleſſe, Et qu'elle alloit l'aiſſer à ſa chere moitié Ce precieux objet de ſa fendre amitié, Auant quede mourir elle obtint d’Almarie Qu'Helione ſeroit aupres d’elle nourrie, Ge qu’à ſes derniers vœux Cenoſtrate accorda, Et l'effet du depuis à l’eſpoir ſucceda:	Celle qui mit au jour cette jeune Princesse Se voyant sur le point d'une extrême viellesse, Et qu'elle allait l'aisser à sa chère moitié Ce précieux objet de sa fendre amitié, Avant quede mourir elle obtint d'Alarmarie Qu'Hélione serait auprès d'elle nourrie, Ge qu'à ses derniers vœux Cenostrate accorda, Et l'effet du depuis à l'espoir succéda:
Doncq cette nourriture, & cette bien-veillance Sont l’heureux fondement d'une belle alliance, Et bien que Ligdamis fiſt vn rude combat n jant enſin cederanemaamsaEſas.	Donc cette nourriture, et cette bienveillance Sont l'heureux fondement d'une belle alliance, Et bien que Ligédamis fît un rude combat n ant ensin cederanemaamsaEsas.
ORPHISE.	ORPHISE.
Jl a le cœur trophaut, & ie ſuis trop peu vaine, Pour le vouloir reduire à prendre cette peine, S’il regloit ſon amour à mon ambition Ie ne me plaindrois point de ſon affection;	Il a le cœur trophaut, et Seigneur suis trop peu vaine, Pour le vouloir réduire à prendre cette peine, S'il règlait son amour à mon ambition Je ne me plaindrois point de son affection;
Mais ie crains que ſa flame à mõ honneur funeſte Ne garde pas long-temps vne ardeurſi modeſte, Erque Timipumte qui ſtate jes degets N'eſtouffe dans ſoncœur des ſentimens ſiſeins, Pour faire à ſon amour ſucceder l’inſolence.	Mais ainsi crains que sa flamme à mon honneur funeste Ne garde pas longtemps une ardeurs modeste, Erque Timipumte qui state je ts N'étouffe dans soncœur des sentiments sise, Pour faire à son amour succéder l'insolence.
.	.
IEAGE.	JEAGE.
Ah!	Ah!
tout beau (belle Orphiſe) eſpargnez l’innocence, Les nobles quainlea dont ileſt seutſin Nelluy permettront pas d’outrager la vertu:	tout beau (belle Orphise) épargnez l'innocence, Les nobles quainlea dont ilest seutsin Nellui permettront pas d'outrager la vertu:
Mais encor quel ſuiet à fait naiſtre ces craintes?	Mais encor quel sujet à fait naître ces craintes?
Et quelle occaſion author:	Et quelle occasion autor:
ſe vos plaintes?	se vos plaintes?
PHISE.	PHISE.
Theage:	Thage:
ne croy pas que ma preſomption Soit le ſeul fondement de cette paſſion Moneſprit qui connoiſt ce Prince opiniãtre Ne forge pas vn monſtre afin de le combattre, I’ay veu dans ſes tranſports des preſages certains Et de ce que ie dis, & de ce que ie crains;	ne crois pas que ma présomption Soit le seul fondement de cette passion Monesprit qui connaît ce Prince opinion Ne forge pas un monstre afin de le combattre, J'ai vu dans ses transports des présages certains Et de ce que sans dis, et de ce que je crains;
B ij Auoir inceſſammentede ſes gens à ma ſuitté, Veiller mes actions, eſpier ma conduitte, Entendre tous les ioürs ce facheux compliment Que i’ay pude mon Prince en faire mon Amant.	 Baj Uoir incessammentede ses gens à ma suitté, Veiller mes actions, épier ma conduite, Entendre tous les jours ce fâcheux compliment Que j'ai pude mon Prince en faire mon Amant.
Dymoy ne ſont-ce pas de ces chants de Syreines Touſiours auantcoureurs des tempeſtes prochaines Ou ie cours le danger d’vn naufrage euident Si le Cel ne deſtourné vn ſi triſte accident?	Dymoy ne sont-ce pas de ces chants de Syreines Toujours avantcoureurs des tempêtes prochaines Ou ie cours le danger d'un naufrage évident Si le Cel ne détourné un si triste accident?
Mais i'apperçoy le Prince, adieu:	Mais j'aperçois le Prince, adieu:
ie me retire:	Il me retire:
SCEIVE NVATRIEME.	SCEIVE NUATRIEME.
LIGDAMIS.	LIGDAMIS.
THEAGE.	THÉGE.
LIGDAMIS.	LIGDAMIS.
Heage eſcoute vn mot.	Héage écoute un mot.
THEAGE.	THÉGE.
Seigneur;	Seigneur;
Dieux!	Dieux!
il ſouſpire.	il soupire.
