L’IMPOSTEUR,	L'IMPOSTEUR,
Ce ſeroit dans la vie une facheuſe choſe, Si pour les ſots diſcours où l’on peut eſtre mis, Il falloit renoncer à ſes meilleurs Amis :	Ce serait dans la vie une fâcheuse chose, Si pour les sots discours où l'on peut être mis, Il fallait renoncer à ses meilleurs Amis :
Et quand meſme on pourroit ſe reſoudre à le faire, Croiriez-vous obliger tout le monde à ſe taire?	Et quand même on pourrait se résoudre à le faire, Croiriez-vous obliger tout le monde à se taire?
Contre la Mé diſance il n’eſt point de rempart;	Contre la Mé disance il n'est point de rempart;
A tous les ſots caquets n’ayons donc nul égard;	À tous les sots caquets n'ayons donc nul égard;
Efforçons-nous de viure avec toute innocence, Et laiſſons aux Cauſeurs une pleine licence.	Efforçons-nous de vivre avec toute innocence, Et laissons aux Causeurs une pleine licence.
DORINE.	DORINE.
Daphné noſtre Voiſine, & ſon petit Epous, Ne ſerojent-ils point ceux qui parlent mal de nous!	Daphné notre Voisine, et son petit Épous, Ne serojent-ils point ceux qui parlent mal de nous!
Ceux de qui la conduite offre le plus à rire, Sont toûjours ſur autruy les premiers à médire;	Ceux de qui la conduite offre le plus à rire, Sont toujours sur autrui les premiers à médire;
Ils ne manquent jamais de ſaiſir promptement L’apparente lueur du moindre attachement, D’en ſemer la nouvelle avec beaucoup de joye, Et d’y donner le tour qu’ils veulent qu’on y croye.	Ils ne manquent jamais de saisir promptement L'apparente lueur du moindre attachement, D'en semer la nouvelle avec beaucoup de joie, Et d'y donner le tour qu'ils veulent qu'on y croie.
Des actions d’autruy, teintes de leurs couleurs, Ils penſent dans le monde authoriſer les leurs, Et ſous le faux eſpoir de quelque reſſemblance, Aux intrigues qu’ils ont, donner de l’innocence, Ou faire ailleurs tomber quelques traits partagez De ce blâme public dont ils ſont trop chargez.	Des actions d'autrui, teintes de leurs couleurs, Ils pensent dans le monde autoriser les leurs, Et sous le faux espoir de quelque ressemblance, Aux intrigues qu'ils ont, donner de l'innocence, Ou faire ailleurs tomber quelques traits partagés De ce blâme public dont ils sont trop chargez.
M.	M.
PERNELLE.	PERNELLE.
Tous ces raiſonnemens ne font rien à l’affaire:	Tous ces raisonnements ne font rien à l'affaire:
On ſçait qu’Orante méne une vie exemplaire;	On sais qu'Orante mène une vie exemplaire;
Tous ſes ſoins vont au Ciel, & i’ay ſçeu par des Gens, Qu’elle condamne fort le train qui vient ceans.	Tous ses soins vont au Ciel, et j'ai su par des Gens, Qu'elle condamne fort le train qui vient céans.
DORINE.	DORINE.
L’exemple eſt admirabile, & cette Dame eſt bonne:	L'exemple est admirabile, et cette Dame est bonne:
Il eſt vray qu’elle vit en auſtere Perſonne;	Il est vrai qu'elle vit en austère Personne;
Mais l’âge, dans ſon ame, a mis ce zele ardent, Et l’on ſçait qu’elle eſt Prude, à ſon corps defendant.	Mais l'âge, dans son âme, a mis ce zèle ardent, Et l'on sait qu'elle est Prude, à son corps défendant.
Tant qu’elle a pû des Cœurs attirer les hommages, Elle a fort bien jouy de tous ſes auantagea:	Tant qu'elle a pu des Cœurs attirer les hommages, Elle a fort bien joui de tous ses avantagea:
Mais voyant de ſes yeux tous les brillans baiſſer, Au monde, qui la quitte, elle veut renoncer;	Mais voyant de ses yeux tous les brillants baisser, Au monde, qui la quitte, elle veut renoncer;
Et du voile pompeux d’une haute ſageſſe, De ſes attraits uſez, déguiſer la foibleſſe.	Et du voile pompeux d'une haute sagesse, De ses attraits usés, déguiser la faiblesse.
Ce ſont-là les retours des Coquettes du temps.	Ce sont-là les retours des Coquettes du temps.
Il leur eſt dur de voir deſerter les Galans.	Il leur est dur de voir déserter les Galants.
Dans un tel abandon, leur ſombre inquietude Ne voit d’autre recours que le meſtier de Prude;	Dans un tel abandon, leur sombre inquiétude Ne voit d'autre recours que le métier de Prude;
Et la ſeuerité de ces Femmes de bien, Cenidre toute clole, & ne paruonne à rien;	Et la sévérité de ces Femmes de bien, Cenidre toute clole, et ne parvonne à rien;
Hautement, d’vn chacun, elles blâment la vie, Non point par charité, mais par vn trait d’enuie Qui ne ſçauroit ſouffrir qu’vne autre ait les plaiſirs, Dont le panchant de l’à ge a ſe vré leurs deſirs.	Hautement, d'un chacun, elles blâment la vie, Non point par charité, mais par un trait d'envie Qui ne saurait souffrir qu'une autre ait les plaisirs, Dont le penchant de l'à gu à se vré leurs désirs.
M.	M.
PERNELLE.	PERNELLE.
Voila les contes bleus qu’il vous faut, pour vous plaire.	Voilà les contes bleus qu'il vous faut, pour vous plaire.
Ma bru, l’on eſt, chez vous, contrainte de ſe taire;	Ma bru, l'on est, chez vous, contrainte de se taire;
Oar Mauuilie, a jarei, tient le dé tout le jour:	Oar Mauvilie, a jarei, tient le dé tout le jour:
Mais enfin, ie prétens diſcourir à mon tour.	Mais enfin, je prétends discourir à mon tour.
Ie vous dy que mon Fils n’a rien fait de plus ſage, Qu'en recueillant chez ſoy ce deuot Perſonnage;	Je vous dis que mon Fils n'a rien fait de plus sage, Qu'en recueillant chez soi ce dévot Personnage;
Que le Ciel au beſoin l’a ceans enuoyé, Tour redreſſer à tous voſtre eſprit fourvoyé;	Que le Ciel au besoin l'a céans envoyé, Tour redresser à tous votre esprit fourvoyé;
4 Que pour voſtre ſalut vous le devez entendre, Et qu’il ne reprend rien, qui ne ſoit à reprendre.	4 Que pour votre salut vous le devez entendre, Et qu'il ne reprend rien, qui ne soit à reprendre.
Ces Viſites, ces Bals, ces Converſations, Sont, du malin Eſprit, toutes inventions.	Ces Visites, ces Bals, ces Conversations, Sont, du malin Esprit, toutes inventions.
Là, jamais on n’entend de pieuſes paroles, Ce ſont propos oiſifs, chanſons, & fariboles;	Là, jamais on n'entend de pieuses paroles, Ce sont propos oisifs, chansons, et fariboles;
Bien ſouvent le Prochain en a ſa bonne part, Et l’on y ſçait médire, & du tiers, & du quart.	Bien souvent le Prochain en a sa bonne part, Et l'on y sait médire, et du tiers, et du quart.
Enfin les Gens ſenſez ont leurs teſtes troublées, De la confuſion de telles aſſemblées:	Enfin les Gens sensé ont leurs têtes troublées, De la confusion de telles assemblées:
Mille caquets divers s’y font en moins de rien;	Mille caquets divers s'y font en moins de rien;
Et comme l’autre jour un Docteur dit fort bien, C’eſt veritablement la Tour de Babilone, Car chacun y babille, & tout du long de l’aune;	Et comme l'autre jour un Docteur dit fort bien, C'est véritablement la Tour de Babilone, Car chacun y babille, et tout du long de l'une;
Et pour conter l’Hiſtoire où ce poinct l’engagea.	Et pour conter l'Histoire où ce point l'engagea.
Voila-t-il pas Monſieur qui ricane déja?	Voilà-t-il pas Monsieur qui ricane déjà?
lillehenerener vos Fous qui vous donnent à rire;	lillehénérener vos Fous qui vous donnent à rire;
Et ſans.	Et sans.
Adieu, ma Bru, je ne veux plus rien dire.	Adieu, ma Bru, je ne veux plus rien dire.
Sçachez que pour ceans j’en rabats de moitié, Et qu’il fera beau temps, quand j’y mettray le pié.	Sachez que pour céans j'en rabats de moitié, Et qu'il fera beau temps, quand j'y mettrai le pié.
Donnant un ſoufflet à Flipote.	Donnant un soufflet à Flipote.
Allons, vous;	Allons, vous;
vous reſvez, & bayez aux Corneilles;	vous rêvez, et bayez aux Corneilles;
Iour de Dieu, je ſçauray vous frotter les oreilles;	Jour de Dieu, je saurai vous frotter les oreilles;
Marchons, gaupe, marchons.	Marchons, gaupe, marchons.
SCENE II.	SCÈNE II.
CLEANTE, DORINE.	CLÉANTE, DORINE.
CLEANTE.	CLÉANTE.
JE n’y veux point aller, De peur qu’elle ne vinſt encor me quereller;	JE n'y veux point aller, De peur qu'elle ne vinst encor me quereller;
Que cette bonne Femme.	Que cette bonne Femme.
DORINE.	DORINE.
Ah!	Ah!
certes, c’eſt dommage, Qu'elle ne vous ouiſt tenir un tel langage?	certes, c'est dommage, Qu'elle ne vous ouît tenir un tel langage?
Elle Elle vous diroit bien qu’elle vous trouve bon, Et qu’elle n’eſt point d’âge à luy donner ce nom.	Elle Elle vous dirait bien qu'elle vous trouve bon, Et qu'elle n'est point d'âge à lui donner ce nom.
CLEANTE.	CLÉANTE.
Coniie enie s'eit pour fien contte nous echaufféel Et que de ſon Tartuffe elle paroiſt coiffée!	Coniie enie s'éit pour sien contte nous echaufféel Et que de son Tartuffe elle paraît coiffée!
DORINE.	DORINE.
Oh vrayment, tout cela n’eſt rien au pris du Fils;	Oh vraiment, tout cela n'est rien au pris du Fils;
Et ſi vous l’aviez veu, vous diriez, c’eſt bien pis.	Et si vous l'aviez vu, vous diriez, c'est bien pis.
Nos troubles l’avojent mis ſur le pié d’Homme ſage, Et pour ſervir ſon Prince, il montra du courage:	Nos troubles l'avojent mis sur le pié d'Homme sage, Et pour servir son Prince, il montra du courage:
Mais il eſt devenu comme un Homme hébété, Depuis que de Tartuffe on le voit enteſté.	Mais il est devenu comme un Homme hébété, Depuis que de Tartuffe on le voit entêté.
Il l’appelle ſon Frere, & l’aime dans ſon ame Cent fois plus qu’il ne fait Mere, Fils, Fille, & Femme.	Il l'appelle son Frère, et l'aime dans son âme Cent fois plus qu'il ne fait Mère, Fils, Fille, et Femme.
C’eſt de tous ſes ſecrets l’unique Confident, Et de ſes actions le Directeur prudent.	C'est de tous ses secrets l'unique Confident, Et de ses actions le Directeur prudent.
Il le choye, il l’embraſſe;	Il le choie, il l'embrasse;
& pour une Maîtreſſe, On ne ſçauroit, je penſe, avoir plus de tendreſſe.	et pour une Maîtresse, On ne saurait, je pense, avoir plus de tendresse.
A table, au plus haut bout, il veut qu’il ſoit aſſis, Avecjoye il l’y voit manger autant que ſix;	A table, au plus haut bout, il veut qu'il soit assis, Avecjoie il l'y voit manger autant que six;
Les bons morceaux de tout, il fait qu’on les luy cede;	Les bons morceaux de tout, il fait qu'on les Elle cède;
Et s’il vient à rotter, il luy dit, Dieu vous aide.	Et s'il vient à rotter, il lui dit, Dieu vous aide.
C’eſt une Servante qui parle.	C'est une Servante qui parle.
Enfin il en eſt fou;	Enfin il en est fou;
cieſt ſon tout, ſon Héros;	ciest son tout, son Héros;
Il l’admire à tous coups, le cite à tout propos;	Il l'admire à tous coups, le cite à tout propos;
Ses moindres actions luy ſemblent des miracles, Et tous les mots qu’il dit, ſont pour luy des Oraclco.	Ses moindres actions était semblent des miracles, Et tous les mots qu'il dit, sont pour lui ors Raclo.
Luy qui connoiſt ſa dupe, & qui veut enjoüir, Par cent dehors fardez, a l’art de l’éblouir;	Lui qui connaît sa dupe, et qui veut enjouir, Par cent dehors fardez, à l'art de l'éblouir;
non Ougomiile entireutoute heure des ſommes, Et prend droict de gloſer ſur tous tant que nous ſommes.	non Ougomiile entireutoute heure des sommes, Et prend droit de gloser sur tous tant que nous sommes.
Il n’eſt pas juſqu’au Fat, qui luy ſert de Garçon, Qui ne ſe meſle auſſi de nous faire leçon.	Il n'est pas jusqu'au Fat, qui lui sert de Garçon, Qui ne se mêle aussi de nous faire leçon.
I vient nous ſermonner avec des yeux farouches, Et Et jetter nos Rubans, noſtre Rouge, & nos Mouches.	I vient nous sermonner avec des yeux farouches, Et Et jeter nos Rubans, notre Rouge, et nos Mouches.
Le traiſtre, l’autre jour, nous rompit de ſes mains, Un Mouchoir qu’il trouva dans une Fleur des Saints;	Le traître, l'autre jour, nous rompit de ses mains, Un Mouchoir qu'il trouva dans une Fleur des Saints;
Diſant que nous meſlions, par un crime effroyable, Avec la Sainteté, les parures du Diable.	Disant que nous mêlions, par un crime effroyable, Avec la Sainteté, les parures du Diable.
SCENE III.	SCÈNE III.
ELMIRE, MARIANE, DAMIS, CLEANTE, DORINE.	ELMIRE, MARIANE, DAMIS, CLEANTE, DORINE.
ELMIRE.	ÉLMIRE.
J Ous eſtes bien heureux, de n’eſtre point venu Au diſcours qu’a la Porte enle nous a tenu.	 Jus êtes bien heureux, de n'être point venu Au discours qu'a la Porte enle nous a tenu.
Mais j’ay veu mon Mary;	Mais j'ai vu mon Mari;
comme il ne m’a point veuë, Je veux aller là-haut attendre ſa venuë.	comme il ne m'a point vue, Je veux aller là-haut attendre sa venue.
CLEANTE.	CLÉANTE.
Moy, je l’attens icy pour moins d’amuſement, Et je vais luy donner le bonjour ſeulement.	Moi, je l'attends ici pour moins d'amusement, Et je vais lui parler le bonjour seulement.
DAMIS.	DAMIS.
De l’hymen de ma Sœur, touchez-luy quelque choſe.	De l'hymen de ma Sœur, touchez-lui quelque chose.
p'ay roupeon que Tartuffe à ſon effet s’oppoſe;	p'ai roupeon que Tartuffe à son effet s'oppose;
Qu’il oblige mon Pere à des détours ſi grans, Et vous n’ignorez pas quel intereſt j’y prens.	Qu'il oblige mon Père à des détours si grans, Et vous n'ignorez pas quel intérêt j'y prends.
Si meſme ardeur enflame, & ma Sœur, & Valere, La Sœur de cet Amy, vous le ſçavez, m’eſt chere:	Si même ardeur enflamme, et ma Sœur, et Valère, La Sœur de cet Ami, vous le savez, m'est chère:
Et sil falloit.	Et sil fallait.
DORINE.	DORINE.
Ilentre.	Ilentre.
SCE	SCE
SCENE IV.	SCÈNE IV.
ORGON, CLEANTE, DORINE.	ORGON, CLEANTE, DORINE.
ORGON.	ORGON.
AH, mon Frere, bon-jour.	AH, mon Frère, bonjour.
CLEANTE.	CLÉANTE.
Je ſortois, & j’ay joye à vous voir de retour:	Je sortais, et j'ai joie à vous voir de retour:
La Campagne, à preſent, n’eſt pas beaucoup fleurie.	La Campagne, à présent, n'est pas beaucoup fleurie.
ORGON.	ORGON.
Dorine, mon Beaufrere, attendez, je vous prie.	Dorine, mon Beaufre, attendez, je vous prie.
Vous voulez bien ſouffrir, pour m’oſter de ſoucy, Que je m’informe un peu des nouvelles d’icy.	Vous voulez bien souffrir, pour m'ôter de souci, Que je m'informe un peu des nouvelles d'ici.
Tout s’eſt-il, ces deux jours, paſſé de bonne ſorte?	Tout s'est-il, ces deux jours, passé de bonne sorte?
Qu’eſt-ce qu’on fait ceans?	Qu'est-ce qu'on fait céans?
comme eſt-ce qu’on s’y polte:	comme est-ce qu'on s'y polte:
DORINE.	DORINE.
Madame eut, avant-hyer, la fievre juiqu au ſoir, Avec un mal de teſte étrange à concevoir.	Madame eut, avant-hier, la fièvre juiqu au soir, Avec un mal de tête étrange à concevoir.
Et Tartuffe?	Et Tartuffe?
ORGON.	ORGON.
Do a ln ls Tartuffe?	Do a lun l' Tartuffe?
Il ſe porte à me rueille, Gros, & gras, le teint frais, & la bouche vermeille.	Il se porte à me rèveille, Gros, et gras, le teint frais, et la bouche vermeille.
ORGON.	ORGON.
Le pauvre Homme !	Le pauvre Homme !
DORINE.	DORINE.
Le ſoir elle eut un grand dégoût, Et ne pût au Soupé toucher à rien du tout, Tant ſa douleur de teſte eſtoit encor cruelle.	Le soir elle eut un grand dégoût, Et ne put au Soupé toucher à rien du tout, Tant sa douleur de tête était encor cruelle.
Et Tartuffe?	Et Tartuffe?
ORGON.	ORGON.
DORINE.	DORINE.
Il ſoupa, luy tout ſeul, devant, elle, Et fort devotement il mangea deux Perdris, Avec une moitié de Gigot en hachis.	Il soupa, Seigneur tout seul, devant, elle, Et fort dévotement il mangea deux Perdris, Avec une moitié de Gigot en hachis.
ORGONLe pauvre Homme!	ORGONLe pauvre Homme!
D o.	D ô.
DORINE.	DORINE.
La nuit ſe paſſa toute entiere, Sans qu’elle puſt fermer un moment la paupiere;	La nuit se passa toute entière, Sans qu'elle pût fermer un moment la paupière;
benenalemomomp cienojẽt de pouron fommeiller Et juſqu’au jour, pres d’elle, il nous fallut veiller.	benenalemomomp cienojẽt de pouron sommeiller Et jusqu'au jour, pres d'elle, il nous fallut veiller.
Et Tartuffe?	Et Tartuffe?
ORGON.	ORGON.
DORINE.	DORINE.
Preſſé d’un ſommeil agreable, ir pailid ins ſa Chamnore, au lortit de la Pagle:	Pressé d'un sommeil agréable, ir pailid ins sa Chamnore, au lortit de la Pagle:
Et dans ſ on Lit bien chaud, il ſe mit tout ſoudain, Qu ians tiouole n uomt jiques au Iendemain.	Et dans s on Lit bien chaud, il se mit tout soudain, Qu toujours tiouole n uomt jiques au Jendemain.
ORGON.	ORGON.
Le pauvi eHomme!	Le pauvi eHomme!
DORINE.	DORINE.
