Auec vne farce plaiſante & recreatifus, tiree d'un des plus gentils eſprits de te temps.	Avec une farce plaisante et recréatifus, tirée d'un des plus gentils esprits de te temps.
I iamais l'vniuers a tremblé ſous les loix O Uy vn monarque terrien,ſi le ſçeptre des Roys Qui nous ont deuancé,a eu ceſte puiſſance, Que de rompte & donter la ſuperbe arrogance De la terre & des cieux.	I Jamais l'Univers a tremblé sous les lois Ô Ui un monarque terrien,si le sçeptre des Rois Qui nous ont devancé,a eu te puissance, Que de rompte et donter la superbe arrogance De la terre et des cieux.
C’eſt moy qui puis donter, Rompre, bouleuerſer, laſcher & atr eſter La force des humains, les Cieux, l’Onde & la Terre Tremblent ſous ma parole,il ne faut point de guerre Pour leur donner le ioug, chacun tremble à ma voix, Ie ne veux qu’vn clin d’œil pour reſtraindre mes loix, Le Scite, le Gregeois, le More, le Barbare, Et ceux que l’Ocean de ſon Trident ſepare, Me payent le tribut bref ce que le Soleil, Brandon de l'vniuers eſclaire de ſon œil, Soit qu’il quitte Tetis commençant ſa carriere, Soit qu’il tourne la bride & ſon char en arriere Pour acheuer ſon cours, on n’entend que le nom De ce grand Aſſuer, ſon los & ſon renom Vole de bouche en bouche & d’oreille en oreille, Qui remplit les mortels de nouuelle merueille.	C'est moi qui puis donter, Rompre, bouleuerser, lâcher et atr ester La force des humains, les Cieux, l'Onde et la Terre Tremblent sous ma parole,il ne faut point de guerre Pour leur donner le joug, chacun tremble à ma voix, Je ne veux qu'un clin d'œil pour restraindre mes lois, Lé An, Le Grègeais, le More, le Barbare, Et ceux que l'Océan de son Trident sépare, Me point de tribut bref ce que le Soleil, Brandon de l'Univers éclaire de son œil, Soit qu'il quitte Tetis commençant sa carrière, Soit il tourne la bride et sa car en re Pour acheuer son cours, on entend que le nom De ce sa Te, son et son renom Vole de bouche en bouche et oreille en oreille, Qui remplit les m de nouuelle merveillea
Y a il en ce monde vn plus grand Roy que moy?	Y a il en ce monde un plus grand Roi que moi?
Qui eſt-ce des humains qui n’adore ma loy?	Qui est-ce des humains qui n'adore ma loi?
Qui eſt-ce des mortels qui ne craint ma colere?	Qui est-ce des mortels qui ne craint ma colère?
Qui ne tremble à ma voix, ie ſuis Dieu ſut la terre, Les Dieux meſme des Cieux me plient les genoux, Et ſi iamais luppin me mettoit en courroux, Ie iure Lacheron qu’il ſentiroit ma rage:	Qui ne tremble à ma voix, on suis Dieu sut la terre, Les Dieux même des Cieux me plient les genoux, Et si jamais luppin me mettait en courroux, Je jure Lacheron qu'il sentirait ma rage:
Car i’en ferois en bref vn tertible carnage:	Car j'en ferais en bref un tertible carnage:
Ie ne crains pas beaucoups’il a le foudre en main, S’il eſt armé de feu i’ay vn bouclier d’airamn.	Je ne crains pas beaucoups’il a le foudre en main, S'il est armé de feu j'ai un bouclier d'airn.
Qui ſouſtiendra l’effort de ſa flamme cruelle:	Qui soutiendra l'effort de sa flamme cruelle:
S’il a la lance au poing, i’ay vne arme nouuelle, Qui tranche & raze tout que ce boiteux vulcain Qui demeure aux enfers a forgé de ſa main, neci, Mars ent pourlay leuectuius pomiiſguerre, S’il eſt Dieu dans les Cieux, ie ſuis Dieu ſur la terre.	S'il a la lance au point, j'ai une arme nouvelle, Qui tranche et rase tout que ce boiteux vulcain Qui demeure aux enfers a forgé de sa main, necy, Mars ent pourlai leuectuius pomiisguerre, S'il est Dieu dans les Cieux, ie suis Dieu sur la terre.
Et bien vous que dit-on de mes braues banquets?	Et bien vous que dit-on de mes braves banquets?
Lathar.	Lathar.
Ie vous iure grand Roy que l’on ne vit iamais Banquets de telle pompe,	Je vous jure grand Roi que l'on ne vit jamais Banquets de telle pompe,
Harbena.	Harbena.
Il eſt preſque impoſſible, De vous le declarer ie croy qu’il n’eſt loiſible A homme quel qu’ilſoit de dire ſa grandeur, Soit pour les mets exquis, ſoit pour le bel honneur, Et le bel appareil ou bien pour les richeſſes Qui ont eſmerueillez les Medes & les Perſes.	Il est presque impossible, De vous le déclarer ici crois qu'il n'est loisible A homme quel qu'ilsait de dire sa grandeur, Soit pour les mets exquis, soit pour le bel honneur, Et le bel appareil ou bien pour les richesses Qui ont émerveillez les Mèdes et les Perses.
Zathar.	Zathar.
Certes ſi ie voulois raconter la beauté De ce rare banquet i’aurois pluſtoſt conté L’arene qui arriue au terres ſablonneuſes, Quand Neptun fait groſſir ſes ondes mutineuſes.	Certes si tu voulais raconter la beauté De ce rare banquet j'aurais plutôt conté L'arène qui arrive au terres sablonneuses, Quand Neptun fait grossir ses ondes mutineuses.
Harbonæ.	Harbonæ.
Certes i'aurois pluſtoſt nõbré les clairs flambeaux Qui eſclairent les cieux quant les diuins cheuaux De Phœbus halectans ſous la chaleur ardante Noyé le iour ſerain ſous l’onde eſtincelante,	Certes j'aurais plutôt nombré les clairs flambeaux Qui éclairent les cieux quant les divins chevaux De Phœbus halects sous la chaleur ardante Noyé le jour serain sous l'onde étincelante,
Aſſuere.	Assuère.
Il y auoit long temps que i'auois deſtiné Ce ſuperbe banquet mon cœur eſpoinçonné De ce fancegranan ved tounours ciiele De faire ce banquet dans le cours de ma vie.	Il y avait long temps que j'avais destiné Ce superbe banquet mon cœur espoinçonné De ce fancegran ved tounours cièle De faire ce banquet dans le cours de ma vie.
Lathar.	Lathar.
Sire.	Sire.
ie vous promets que le ſiecle auenir, Chant era voſtre los:	Il vous promets que le siècle avenir, Chant era votre los:
touſiours le ſouuenir De ce braue banquet & de voſtre alme gloire, Sera touſiours graué au temple de memoire,	toujours le souvenir De ce brave banquet et de votre âme gloire, Sera toujours gravé au temple de mémoire,
Harbona.	Harbona.
Ha, qu’il y faiſoit beau on voyoit d’vn coſté Les Princes, & Seigneurs reluiſans de clarté, Comme des beaux Soleils leur robbe en broderie, Eſtoit tiſſuë au bas de belle pierrerie, Tout eſtoit parfumé de diuines odeurs, Les tapis enrichis de celeſtes couleurs, Formez en pauillons entouroient l’aſſemblee, Toute la Cour eſtoit de merueille comblee, D’autre coſté l’argent & la vaiſſelle d’or, Brilloit de toutes parts tant le riche threſor, Des villes, du Royaume amaſſé en la place, Esblouiſſoit ſouuent des aſſiſtans la face, Les luths d’autre coſté, les cornets, les haubois, Les fifres, les tambours & les diuines voix Meſlez enſemblement de leurs chanſons diuerſes, Rauiſſoit les eſprits des Medes & des Perſes	Ha, qu'il y faisait beau on voyait d' Hôte Les Princes, et Seigneurs reluisant de clarté, Comme des beaux Soleils leur robe en broderie, Était tissue au bas de belle pierrie, Tout était parfumé de divines odeurs, Les tapis enrichis de célestes les, Formez en pavillons entouraient l'assemblée, Toute la Cour était de merveille comblée, D'autre côté l'argent et la vaisselle d'or, Brait de toutes parts tant le riche thres, Riche tor, du Royaume amassé en la place, Esblouissoit souuent Des vi la les, Les du Royautre costé, du cornets, les haubois, Me fifres, les tambours et les du voixUme ensemblement de leurs chansons diuerses, Et les sortis des Medes et des Ait
Lathar.	Lathar.
Mais vous ne dites rien de ces excellents mets Qui y furent ſeruis, certes ie vous promets Que l’on n’a iamais veu ſi delicate viande, Si excellente en gouſt, ſi tendre, ſi friande.	Mais vous ne dites rien de ces excellents mets Qui y furent servis, certes après vous promets Que l'on n'a jamais vu si délicate viande, Si excellente en goût, si tendre, si friande.
La on voyoit marcher les perdris, les chappons, Les leuraux, les lapins pour les frians frippons, Apres la venailon faiſoit la ſentinelle, Les biches & les cerſs deſtranchez en roüelle, Faiſoit ronde par tout, cependant les vaiſſeaux Subtilement grauez par lart & les trauaux De ce Dieu forgeron faits en façon de taſſe, Remp'is d’vn bon bachus aloiént parmy la place, Bref tout eſtoit ſi beau qu’en voulant dec larer Le moindre du banquet ie ſens m’entrecarrer, Mon eſprit ſe fouruoit & quand ie mets le roole Au ucuant de mes yeux le voy queina parolle Decroiſt pluſtoſt l’honneur de ce riche banquet, Que de luy donner los en ce riche parquet.	La on voyait marcher les perdris, les chapons, Les leuraux, les lapins pour les friants fripons, Après la venailon faisait la sentinelle, Les biches et les cerss destranchez en rouelle, Faisait ronde par tout, cependant les vaisseaux Subtilement gravés par lart et les travaux De ce Dieu forgeron faits en façon de tasse, Rempis d'un bon bachus aloiént parmi la place, Bref tout estoit si a en voulant larer Le mi du banquet ie sens che, Mon esprit se fouruoit et quand de mets leare Au ucuant de mes yeux Le mo in parolle Dr plustost honneur de ce riche banquet, Que de lui donner en ce riche parquet;
Aſſuere.	Assuère.
Tout euſt eſté fort bien ſi ma ſuperbe femme M’eut voulu obeyr ſans receuoir le blaſme Qu’elle auoit merité:	Tout eût été fort bien si ma superbe femme M'eut voulu obéir sans recevoir le blâme Qu'elle avait mérité:
c’eſt vn eſtrange cas Que la femme d’vn Roy ne luy obeiſt pas!	c'est un étrange cas Que la femme d'un Roi ne te obéis pas!
Ie l’auois fait manderafin que tout le monde Adora ſa beauté d'humilité profonde, Et qu’elle vint monſtrer ſes riches veſtemens, Sa robbe, ſes ioyaux & ſes beaux ornemens:	Je l'avais fait manderafin que tout le monde Adora sa beauté d'humilité profonde, Et qu'elle vint montrer ses riches vêtements, Sa robe, ses joyaux et ses beaux ornements:
Toutefois l’impudente elle n’a point de honte, Elle m'a meſpriſé ſans en faire aucun conte:	Toutefois l'impudente elle n'a point de honte, Elle m'a méprisé sans en faire aucun compte:
Qu’on ne m’en parle plus ie ne la veux plus voir, Elle a par trop manqué a faire ſon deuoir:	Qu'on ne m'en parle plus ici ne la veux plus voir, Elle a par trop manqué a faire son devoir:
Auſſi bien Dieu mercy ay-ie vne autre maiſtreſſe Qui ſurmonte Vaſty en los & en richeſſe, Ie veux qu’elle ſoit Reyne & que par deſſus tous Mes Princes les premiers luy plient le genoux.	Aussi bien Dieu merci ai-je une autre maîtresse Qui surmonte Vâti en los et en richesse, Je veux qu'elle soit Reine et que par dessus tous Mes Princes les premiers Seigneur plient le genoux.
Harbona.	Harbona.
Sire, ie vous promets que c’eſt vne Deeſſe Excellente en beauté:	Sire, je vous promets que c'est une Déesse Excellente en beauté:
car d’vn coſté ſa treſſe Qui ventille aux Zephirs mignonnement flottans, Eſt ornee au ſommet des plus riches Diamans Que le gange eut porté, ſa face rayonnante, Parfumee de lis & de roze odorante, Atrait tous les mortels de ſes diuins rayon, Sa bouche eſt de corail & le beau vermillon De ſa leure pourprine eſt parſemé de roſes, Qui ſans crainte d'hiuer y ſont touſiours eſcloſes, Son maintien graue & doux, ſon parler tout diuin, Elle eſt vn peu noirette, elle a le teint pourprin, Ses deux yeux rayonnans d'vne braue lumiere Surpaſſent loin les rais de l’aurore premiere:	car d'un côté sa tresse Qui ventille aux Zéphirs mignonnement flottants, Est ornée au sommet des plus riches Diamants Que le gange eut porté, sa face rayonnante, Parfumée de lis et de roze odorante, Atrait tous les mortels de ses divins rayon, Sa bouche est de corail et le beau vermillon De sa lure pourprine est parsemé de roses, Qui sans crainte d'hiver y sont toujours écloses, Son maintien grave et doux, son parler tout vin, Elle est un peu noire, elle a le teint pour, Le teint pou rayonnans d'ct pour le Surpassent pour des autrès laurore première:
En fin pour moy ie crois que c’eſt quelque Cypris,	En fin pour moi quelque crois que c'est quelque Cypris,
Aſſuere.	Assuère.
le veux que delormmuis ene loit coutonnee Reine de l’Orient, puis que ſa deſtinee La conuuit en ceneu, vona tout mon deſir, Voila ce que i’entens, tel eſt noſtre plaiſir,	le veux que délormuis ene loit coutonnée Reine de l'Orient, puis que sa destinée La convit en ceneu, vona tout mon désir, Voilà ce que j'entends, tel est notre plaisir,
Zathar.	Zathar.
Sire, voicy la Reine, elle a quelque nouuelle.	Sire, voici la Reine, elle a quelque nouvelle.
Aſſuere.	Assuère.
Entrez Madaine, entres,entrenieune pueeiſe, N’ayez aucune peur,	Entrez Madaine, entres,entrénieune puée, N'ayez aucune peur,
Eſter.	Ester.
Sire, pardonnez moy, St i’oſe me monſtrer deuant vn ſi grar.	Sire, pardonnez -moi, St j'ose me montrer devant un si grar.
I Roy,	I Roi,
Aſſuere.	Assuère.
Et vrayment croyez vous qu’vne tigre felonne M'euſt nourry de ſon laict eroyés vous que bellonne Me rende ſi affreux qu’on ne m’oze approcher, Non, non ie ne ſuis point dur ainſi qu’vn rocher, Vn Roy doit eſtre doux & benin de nature, C’eſt le bel ornement, c’eſt la riche parure Qui le doit reueſtir, demandés hardiment, Tout ce que vous voudrez dites moy ſimplement Ce qui vous preſſe au cœur, ie iure foy de Prince, Que quand vous manderiez la meilleure Prouince Qui fut en mon Empire auſſi bien l’auriez vous:	Et vraiment croyez -vous qu'une tigre félonne M'eût nourri de son lait eroyez vous que bellonne Me rende si affreux qu'on ne m'oze approcher, Non, non seulement ne suis point dur ainsi qu'un rocher, Un Roi doit être doux et bénin de nature, C'est le bel ornement, c'est la riche parure Qui le doit reuestir, demandez hardiment, Tout ce que vous voudrez dites -moi simplement Ce qui vous presse au cœur, je vous manderiez la Prince, Ure quand vous manderiez la meilleure Province Qui fut en mon Empire aussi bien l'auriez vous:
Car vous m’auez touſiours agreé entre tous.	Car vous m'avez toujours agréé entre tous.
Eſter.	Ester.
Sire, grand Empereur qui arreſtez Eole Et les fiers Aquilons d’vne ſeule parole, I’ay vne choſe à vous dire & à vous demander, Ie vous prie auiourd’huy ma requeſte accorder, Si i’ay quelque vigu eur & ſi i’ay trouué grace Deuant le doux aſpect de voſtre auguſte face, nuito mo yeethomneur, vouv te voitte mignon, De venir auiout d’huy dedans mon pauillon Pour ſouper à ma table, ou voſtre humble ſeruante Vous prepare vn feſtin d’vne face riante.	Sire, grand Empereur qui arrêtez Éole Et les fiers Aquilons d'une seule parole, J'ai toujours chose à vous dire et à vous demander, Je vous prie aujourd'hui ma requête accorder, Si j'ai quelque vigu eur et si j'ai trouvé grâce Deuant le doux aspect de votre auguste face, nuito mol yeethomneur, vouv te ante mignon, De venir aujout d'hui dedans mon pavillon Pour souper à ma table, ou votre humble servante Vous prépare un festin d'une face riante.
Aſſuere.	Assuère.
Ouy mon cœur nous irons, adieu viuez en paix, Ie iure foy de Roy que ie ne vis iamais Femme qui me pleuſt tant ainſi comme vous faîtes, Adieu donc nous irons faites bien vos apreſtes.	Oui mon cœur nous irons, adieu vivez en paix, Je jure foi de Roi que sans ne vis jamais Femme qui me pleut tant ainsi comme vous faîtes, Adieu donc nous irons faites bien vos apprêtes.
Eſter.	Ester.
O grand Dieu qui regis & la terre & les cieux, Qui termine le cours des Aſtres radieux, Qui fait bouffir la mer & de qui la puiſſance Fiacaſſe en vn clin d’œil des humains l’arrougance.	Ô grand Dieu qui régis et la terre et les cieux, Qui termine le cours des Astres radieux, Qui fait bouffir la mer et de qui la puissance Fiacasse en un clin d'œil des humains l'arrougance.
C’eſt auiourd’huy grand Dieu que i’ay determiné	C'est aujourd'hui grand Dieu que j'ai déterminé
De vous remercier pour m’auoir eſleué En ce lieu plain d’honneur moy qui ſuis pauure fille, D’vn pays eſtranger & d’vn eſtrange ville, De la race Hebraique & qui depuis vn an, Moy & les miens captifs demeurons dans Suſan:	De vous remercier pour m'avoir élevé En ce lieu plain d'honneur moi qui suis pauvre fille, D'un pays étranger et d'H étrange ville, De la race Hebraique et qui depuis un an, Moi et les miens captifs demeurons dans Susan:
C’eſt vous ô grand Monarque en qui noſtre eſperãce A touſiours bien fondé toute ſa confiance, C’eſt vous qui de tous temps cheriſſez les Hebreux, C’eſt vous qui par ſus tous les sendez bien heureux, Vous les auez iadis garanti du naufrage, En noyant Pharaon & tout ſon equipage, Vous les auez nourris au milieu des deſerts De la manne du Ciel par quarante ans diuers.	C'est vous ô grand Monarque en qui notre espérance À toujours bien fondé toute sa confiance, C'est vous qui de tous temps chérissez les Hebreux, C'est vous qui par sus tous les sendez bien heureux, Vous les avez jadis garanti du naufrage, En noyant Pharaon et tout son équipage, Vous les avez nourris au milieu des déserts De la manne du Ciel par quarante ans divers.
C’eſt donc ô grãd moteur auiourd’huy que i’implore Voſtre diuin ſecours, c’eſt ce iour que i’adore Voſtre grande puiſſance & voſtre Majeſté, Ie reclame ô Seigneur voſtre grande bonté Qu’il vous plaiſe accorder ceſte mienne requeſte, Deſtournez ô grand Dieu la terrible tempeſte Qui menace les Iuifs, c’eſt le cruel Aman Remply d’ambition c’eſt, cet affreux tiran, Qui nous a deſtiné au ſac & au pillage:	C'est donc ô grand eur aujourd'hui que j'implore Votre divin secours, c'est ce jour que j'adore Votre grande puissance et votre Majesté, Je réclame ô Seigneur votre grande bonté Qu'il vous plaise accorder cette mienne requête, Détournez ô grand Dieu la terrible tempête Qui menace les Juifs, c'est le cruel Aman Rempli d'ambition c'est, cet affreux tyran, Qui nous a destiné au sacne au pillage:
Deſtournez donc mon Dieu ce terrible carnage, Et remettre le peuple en franche liberté, Afin que deſormais eſtant bien arreſté Il chante voſtre nom & voſtre alme puiſſance, D’auoir ainſi rompu ceſte fiere arrogance.	Détournez donc mon Dieu ce terrible carnage, Et remettre le peuple en franche liberté, Afin que désormais étant bien arrêté Il chante votre nom et votre âme puissance, D'avoir ainsi rompu cette fière arrogance.
DVRANDA.	DURANDA.
DEMON.	DEMON.
ET AMAN.	ET AMAN.
l’Eſt trop, c’eſt trop long temps demeuré aux enfers, C’eſt trop long temps languir, c’eſt trop porter les fers, Il faut que deſormais par tout ie me promene, C’eſt par trop trauaillé il faut reprendre haleine, Ie ſuis vn pauure diable on me deuroit foüetter, Hé coquin que ie ſuis ie m’amuſe à frotter, La teſte à vn baudet de boüillante leſſiue Cependant ie m’oublye de l’expreſſe miſſiue Que Pluton m’a enioint ie m’amuſe à la peau D’vne pauure brebis & tandis le trouppeau S’enfuit hors de nous hé pauure miſerable, Ie deurois me cacher ie ne ſuis pas bon diable, Qu’ay-ie affaire aux enfers pour y mourir de faint Sans boire, ſans manger, ſans viande ſans pain, Vrayment il y fait beau tout y eſt en deſorde, On n’a pas quelquefois vn ſeul os pour le mordre, Tantoſt i’eſtois contraint de manger des ſerpens Faute d’vn bon diſné dequoy ie me repens, Tantoſt i’allois beuuant le vent ſut vne roche, Dela en deſcendant i’allois tourner la broche, De Pluton frippe tout:	l'Est trop, c'est trop long temps demeuré aux enfers, C'est par long temps languir, c'est trop porter les fers, Il faut que désormais par tout ie me promène, C'est par trop travaillé il faut reprendre haleine, Je suis un pauvre diable on me devrait foüetter, Hé coquin que ie suis -je m'amuse à frotter, La tête à un baud de boüillante lessiue Cependant mille m'oublie de l'expresse misue Que Pluton m'a enioint ie m'amuse à la peau D'une pauvre brebis et tandis et ta enfuit hors de nous pauure misérable, Le deurois me cacher ie ne suis pas bon diable, a-ie affaire aux enfers pour y mourir de saint Sans boire, sans manger, sans viande sans pain, Vrayment il y fait le tout y est en de, On na pas quelquefois seul os hors de mordre, Trop lô contraint de g des serpens Te bon disné dequoy ie m repens, a allois beuuant le vent sut roche, Sa en descendant allois tourner la broche, De Pluton frippe tout:
mais c’eſtoit bien le pis Ie n’euſſe ozé gouſter de ces ſalmi gondis, Pluton mange tout ſeul & quand il eſt à table On diroit vn pourceau au milieu de l’eſtable, Il ſe veautre, il ſe creue, il s’eſguiſe les dents, En fin il nous deffend de r’entrer la dedans,	mais c'était bien le pis Je n'eusse osé goûter de ces salmi gondis, Pluton mange tout seul et quand il est à table On dirait un pourceau au milieu de l'étable, Il se veautre, il se crève, il s'éguise les dents, En fin il nous défend de rentrer la dedans,
S’il n’a tout eſcaillé, il eſlargit ſa bouche, Et enfourne à deux mains ce qu’il prẽt en ſa louche, On n’y eſcure point, ſes plats ſont touſiours nets, Ce ne ſont point planettes:	S'il n'a tout écaillé, il élargit sa bouche, Et enfourne à deux mains ce qu'il prêt en sa louche, On n'y écure point, ses plats sont toujours nets, Ce ne sont point planètes:
ains ce ſont des planets, Mais ce n’eſtoit pas tout, c’eſt ce qui plus me faſche, On ne m’euſt point donné vne heure de relaſche:	ains ce sont des planets, Mais ce n'était pas tout, c'est ce qui plus me fâche, On ne m'eût point donné une heure de relâche:
Car ie n’auois finy, que tout incontinent La fin de ma beſongne eſtoit commencement Pour vn autre trauail, tantoſt ce vieux Cerbere, Ce chien à trois teſſons, qui garde la portiere, Me mettoit en ſa place, en cependant ce chien Alloit bouffer les plats de Pluton Stigien.	Car ie n'avais fini, que tout incontinent La fin de ma besongne était commencement Pour un autre travail, tantôt ce vieux Cerbère, Ce chien à trois tessons, qui garde la portière, Me mettait en sa place, en cependant ce chien Allait bouffer les plats de Pluton Stigien.
Tantoſt i’eſtois contrainct, de porter vne pierre Du bas au haut ſommet, qui retombant à terre Faiſoit recommencer mes penibles trauaux, I’eſtois tantoſt au feu, tantoſt dedans les eaux Ie trauaillois touſiours, ie r’atiſois les flammes De ces chaudrons boüillans, pleins d’hommes & de femmes:	Tantôt j'étais contraint, de porter une pierre Du bas au haut sommet, qui retombant à terre Faisait recommencer mes pénibles travaux, J'étais tantôt au feu, tantôt dedans les eaux Je travaillais toujours, elle ratisois les flammes De ces chaudrons bouillants, pleins d'hommes et de femmes:
En fin, quand i’apper ceus tant de gens aborder Au Royaume des morts, & que touſiours roder Ce n’eſt pas le meilleur, i’vſay d’vne fineſſe, Cependant que Pluton, pantellant d’allegreſſe, Diſnoit en ſon Palais, ie vins droit à Charon, Qui eſtoit en ſa nef, tenant ſon nauiron, Ou ie luy commanday de me faire paſſage, Et que le Dieu d’Enfer faiſoit faire vn meſſage, Luy, tout incontinent, demanda paſſe-port, Et que ſans paſſe-port ie n’irois point au bort, Ie ne m’enqueſte point, dit-il, de ton voyage, Donne moy paſſe-port, ie te feray paſſage:	En fin, quand j'aper ceus tant de gens aborder Au Royaume des morts, et que toujours roder Ce n'est pas le meilleur, j'usai d'une finesse, Cependant que Pluton, pantellant d'allégresse, Disnait en son Palais, Seigneur vins droit à Charon, Qui était en sa nef, tenant son naviron, Ou Se lui commandai à me faire passage, Et que le Dieu d'Enfer faisait faire un message, Luy, tout incontinent, demanda passe-port, Et que sans passe-port ie rais point au bort, Je ne m'enquête point, dit-il,nd ton voyage, Je ne passe point, ie te fer passage:
On te cognoiſt trop bien, t’es le maiſtre à mentir, Ce qui me cauſeroit vn triſte repentir, Ie fus bien eſtonné:	On te connaît trop bien, t'es le maître à mentir, Ce qui me causerait trop triste repentir, Je fus bien étonné:
car la groſſe riuiere De l’Orque m’empeſchoit de tourner en arriere;	car la grosse rivière De l'Orque m'empêchait de tourner en arrière;
Enfin ie me ſouuins que i’auois le cachet De Pluton, enfermé dans vn petit paquet, Ie luy baille, il me paſle, & pourſuyuant ma voye, I’arriue en ce pays en lieſſe & en ioye, Ie me garderay bien d’y iamais retourner, I’aime bien mieux, ioyeux, en ce lieu ſej ourner, Serois-je pas bien ſot de me mettre à mal-aiſe, Puis que i’ay bon moyen de me mettre à mon aiſe, I’ay deſ-ja ma maiſon & mon lieu aſſeuré, Aman ſera mon maiſtre, où ie demeureray, Ilaime les honneurs, il a l’ame bouffie D’orgueil & d’arrogance, c’eſt enquoy ie me fie, Voila ce qu’il me faut, le Roy l’a rendu grand, En los & en honneurs, il tient le premier rang Entre tous les Seigneurs, voila bien ma portée, Il faut que ie l’attrape, & que l’ame enrethée En mes filets trompeurs me pave le tribut, Quand ie l’auray ſeruy, voyla où eſt mon but, Qui fera beau le voir dans ma grande chaudiere, Où ie le tourneray & deuant & derriere.	Enfin ie me souvins que j'avais le cachet De Pluton, enfermé dans un petit paquet, Je lui Baille, il me pâle, et poursuivant ma voie, J'arrive en ce pays en liesse et en joie, Je me garderai bien d'y jamais retourner, J'aime bien mieux, joyeux, en ce lieu sej ourner, Serais-je pas bien sot de me mettre à malhaie, Puis que j'ai bon moyen de me mettre à mon aise, J'ai déjà ma maison et mon lieu assuré, Aman où m maître, où ie ma, Ilaime les honneurs, il a âme où Torgueil et darrogance, est enquoy ie me fie, Va ce il me faut, le Roy a rendu grand, En s et en honneurs, il a l' or g Entre tous les Seigneurs, voila a va portée, Il faut eue ie attrape, et que âme et En mes filets trompeurs me pave le tribut, Quand ie auray servi, voila est mon but, Qui fera beau le voir dans ma grande chaudière, ie le tournerai et deuant et derrière.
Il a fait vn gibet, mais i’ay bien grande peur Qu’il n’eſprouue premier du gibet la hauteur:	Il a fait un gibet, mais j'ai bien grande peur Qu'il n'éprouve premier du gibet la hauteur:
Il penſe eſtre bien grand:	Il pense être bien grand:
mais peut-eſtre l’eſchelle Fera croiſtre bien toſt ſa grandeur corporelle, Tout beau, ne diſons mot, voicy venir Aman, Voila pas, ie vous prie, vn braue Courtiſan?	mais peut-être l'échelle Fera croître bien tôt sa grandeur corporelle, Tout beau, ne disons mot, voici venir Aman, Voilà pas, je vous prie, un brave Courtisan?
Amun entre.	Amun entre.
