DE TVRENNE.	DE TURENNE.
C e nous n’aurons qu’vn cœur my-parti dans deux corps, Pour en mieux gouuerner les plus vaſtes reſſors, Le rendre inébrãlable, & d’vn traict tout illuſtre, Paſſer des plus grands Roys la ſplendeur & le luſtre.	Ç Cel nous n'aurons qu'Hommes cœur mi-parti dans deux corps, Pour en mieux gouverner les plus vastes ressors, Le rendre inébrãlable, et d'un trait tout illustre, Passer des plus grands Rois la splendeur et le lustre.
STELLANE.	STELANE.
Ah ma ſœur!	Ah ma sœur!
moderez cette auguſte faueur, Et croyez que ie fais mon ſouuerain bon-heur A me dire touſiours la premiere ſujette Qui viue ſous les loix d’vne Reyne parfaite:	modérez cette auguste faveur, Et croyez que je fais mon souverain bonheur A me dire toujours la première sujet Qui vive sous les lois d'une Reine parfaite:
Et ie meſpriſerois de regir l'Vniuers, Pour viure ſous vos loix & pour porter vos fers;	Et ici mépriserais de régir l'Univers, Pour vivre sous vos lois et pour porter vos fers;
Auſſi le Ciel rauy de vous voir ſans ſeconde, Veut que voſtre deſtin gouuerne tout le monde;	Aussi le Ciel ravi de vous voir sans seconde, Veut que votre destin gouverne tout le monde;
Pouo reu peuples do nonomon point d’autres projets Que de viure & mourir vos fideles Suiets.	Pouo réu peuples do nonomon point d'autres projets Que de vivre et mourir vos fidèles Suiets.
SOLIMENE.	SOLIMENE.
Ils portent trop auant ces indiſcrettes flâmes, Puis qu’à peine l'on peut arracher de leurs amet Tout ce dereglement, & l'injuſte deſir De vous priuer du troſne & de vous aſſeruir;	Ils portent trop avant ces indiscrètes flammes, Puis qu'à peine l'on peut arracher de leurs amet Tout ce dérèglement, et l'injuste désir De vous priver du trône et de vous asservir;
Mais quoy qu’ils ayent commis vous eſtes magnanime, [met Et crois qu’en ma faueur vous oublierez leur criIe vous conjure donc au nom de noſtre amour, Au nõ des grãds Heros dont nous tenons le iour, D’oublier.	Mais quoi qu’ils aient commis vous êtes magnanime, [met Et crois qu'en ma faveur vous oublierez leur criIe vous conjure donc au nom de notre amour, Au nion des grands Héros dont nous tenons le jour, D'oublier.
STELLANEAhte’eſt trop, ie ne ſçaurois permettre Qu'vne Reyne qui peut à ſes loix tout ſoûmettre, Qui ſouſtient mon honneur, qui me rend tous mes biens, Et qui ioint à mes droits l'autorité des ſiens, S’abaiſſe iuſqu’au point que me demãder grace, Pour vn peuple tout bon qui n’eut iamais d’audace, Qui n’a fait qu’obeir aux volontez des Dieux, Qui veuſent que tout cede à reciat de vos yeuxe	STELLANEAhte’ a trop, je ne saurais permettre Qu'une Reine qui peut à ses lois tout soumettre, Qui soutient mon honneur, qui me rend tous mes biens, Et qui joint à mes droits l'autorité des siens, S'abaisse jusqu'au point que me démander grâce, Pour un peuple tout bon qui n'eut jamais d'audace, Qui n'a fait qu'obéir aux volontés des Dieux, Qui vusent que tout cède à reciat de vos yeux
SOLIMENE.	SOLIMENE.
Ma ſœur, à vous vãger vous auriez peu de gloire, De tout ce qui s’eſt fait perdez.	Ma sœur, à vous vanger vous auriez peu de gloire, De tout ce qui s'est fait perdez.
en la memoire.	en la mémoire.
STELLANE.	STELANE.
Quand il auroit plus fait ie luy pardonnerois, Puiſque ſon crime a fait vn ſi glorieux choix.	Quand il aurait plus fait ie cy pardonnerais, Puisque son crime a fait un si glorieux choix.
SOLIMENE.	SOLIMENE.
Veüille le grand Moteur de la terre & de l'onde Payer ce noble effort de l'Empire du monde.	Veuille le grand Moteur de la terre et de l'onde Payer ce noble effort de l'Empire du monde.
STELLANE.	STELANE.
Puiſſe le grand Auteur des plus nobles deſtins Mettre tout l'Vniuers ſous vos decrets diuins.	Puisse le grand Auteur des plus nobles destins Mettre tout l'Univers sous vos décrets divins.
SOLIMENE.	SOLIMENE.
Le peuple à qui ie vais tout de ce pas apprendré La grace que de vous il n’euſt oſé pretendre, M’oblige à vous quitter, & fais place aux langueurs De Zenalphe qui vient vous conter ſes douleurs.	Le peuple à qui on vais tout de ce pas apprendré La grâce que de vous il n'eût osé prétendre, M'oblige à vous quitter, et fais place aux langueurs De Zénalphe qui vient vous conter ses douleurs.
SCLNE III SILLEANE.	SCLNE III SILLEANE.
LENRLYHE.	LENRLYHÉ.
STELLANE.	STELANE.
L oien zenaipne, ne bien que pretends-tu TY donc faire?	 Loyen zenaipne, ne bien que prétends-tu TY donc faire?
ZENALPHE.	ZENALPHÉE.
Mourir ou bien trouuer le moyen de vous plaire, Eſpuiſer tous les arts, conjurer tous les Dieux, De m’aprendre celuy d’agréer à vos yeux, Faire ce qui ſe peut & tenter l'impoſſible [ble Pour vous rendre a mes vœux rauorable & ſenſiEt chercher en vn mot iuſques dans les Enfers Le moyen d’adoueir la rigueur de mes fers.	Mourir ou bien trouver le moyen de vous plaire, Espuiser tous les arts, conjurer tous les Dieux, De m'apprendre celui d'agréer à vos yeux, Faire ce qui se peut et tenter l'impossible [ble Pour vous rendre à mes vœux ravorable et sensiÉt chercher en un mot jusques dans les Enfers Le moyen d'avoueir la rigueur de mes fers.
STELLANE.	STELANE.
Va, ne t’afflige plus, tes ſoûpirs & tes larmes Sont pour toucher mon cœur d’aſſez puiſſantes armes;	Va, ne t'afflige plus, tes soupirs et tes larmes Sont pour toucher mon cœur d'assez puissantes armes;
Mais pour me confirmer la grandeur de tes feur Dis-moy ce que ſur toy peut l'obiet de tes vœux.	Mais pour me confirmer la grandeur de tes seur Dis-moi ce que sur toi peut l'objet de tes vœux.
ZENALPHE.	ZENALPHÉE.
La beauté qui m’enflamme eſtant toute puiſſante Peut rendre à tous ſes vœux mon ame obe’ïſſante.	La beauté qui m'enflamme étant toute puissante Peut rendre à tous ses vœux mon âme obéissante.
STELLANE.	STELANE.
Mais ſi pour me vanger d’vn affront odieux Ie t’ordonnois d’armer meſme contre les Dieux;	Mais si pour me venger d'amour affront odieux Je t'ordonnais d'armer même contre les Dieux;
De briſer leurs Autels, de prophaner leurs Temples.	De briser leurs Autels, de prophaner leurs Temples.
ZENALPHE.	ZENALPHÉE.
S'ils auoient offenſé vos beautez ſans exemples, Mon blas s'enorcerolt.	S'ils avaient offensé vos beautés sans exemples, Mon blas s'enorcerolt.
STELLANE.	STELANE.
Voicy d’autres projets:	Voici d'autres projets:
S’il faut perdre des Roys, deſtruire leurs Suiets, Aurâs-cu breti lur toy la force ce le courage, De lauer dãs leur ſang ma hõte & mon outrage?	S'il faut perdre des Rois, détruire leurs Suiets, Aurâts-cv breti lur toi la force ce le courage, De lauer dans leur sang ma honte et mon outrage?
ZENALPHE.	ZENALPHÉE.
Quand vous m’ordonneriez de perdre PVniuers Et d’abyſmer vn Peuple au centre des Enfers, Ie le ferois ſans crainte & ſans nulles alarmes Eſtant fortifié de l'aſpect de vos charmes.	Quand vous m'ordonneriez de perdre PUnivers Et d'abîmer un Peuple au centre des Enfers, Je le ferais sans crainte et sans nulles alarmes Étant fortifié de l'aspect de vos charmes.
STELLANE.	STELANE.
A cette noble ardeur de tout faire pour moy, Pourroit-on confier?	À cette noble ardeur de tout faire pour moi, Pourrait-on confier?
ZENALPHE.	ZENALPHÉE.
Et quoy Madame, & quoy?	Et quoi Madame, et quoi?
STELLANE.	STELANE.
Vn ſecret;	Un secret;
mais auant qu’en faire P'ouuerture Il me faut des ſerments.	mais avant qu'en faire P'ouverture Il me faut des serments.
ZENALPHE.	ZENALPHÉE.
Ah!	Ah!
Madame, ie iure Par les charmes puiſsãs qui brillẽt dans vos yeux De garder à iamais ce depoſt precieux, Quon ſr oicerort prurcore coue le ratig ndi m’anje me.	Madame, Seigneur jure Par les charmes puissants qui brillent dans vos yeux De garder à jamais ce dépôt précieux, Quon sr oicerort prurcore coue le ratig nédi m'anje me.
STELLANE.	STELANE.
Puiſque ton eœur impute vn parjure à grand criDis-moy ſi cet obiet qui fait tout ton deſir Te découuroit icy ſon plus grand déplaiſir, [me Qu’il fallût pour vanger ma hõte & mon outrage Porter le coup mortel dans le cœur le plus ſage, Que ton bras en vn mot ſans eſtre combatu Ouuriſt le mouument à la meſme vertu, A l'Eſtat, à ton ſang, & meſmes à la Reyne, Le ferois-tu, dis-moy, pour me tirer de peine?	Puisque ton eœur impute int parjure à grand criDis-moi si cet objet qui fait tout ton désir Te découvrait ici son plus grand déplaisir, [me Qu'il fallut pour venger ma honte et mon outrage Porter le coup mortel dans le cœur le plus sage, Que ton bras en un mot sans seulement combattu Ouvrist le mouument à la même vertu, A l'État, à ton sang, et mêmes à la Reine, Le ferais-tu, dis-moi, pour me tirer de peine?
ZENALPHE.	ZENALPHÉE.
Ny les Dieux, ny mon Sãg,ny l'Enfer, ny la mort.	Ni les Dieux, ni mon Sãgy l'Enfer, ni la mort.
Pour me faire trẽbler n’auroiẽt rien d’aſſez fort:	Pour me faire trẽbler n'auraient rien d'assez fort:
Mais le coup qui m’accable & ſous qui ie ſuccombe C'eſt de me propoſer de mettre ſous la tombe La Reeſne ;	Mais le coup qui m'accable et sous qui ie succombe C'est de me proposer de mettre sous la tombe La Reine ;
en ejanie drerd mld dieu quaiitez Qui ſurpaſſent beaucoup toutes les Deitez, Dont les rares vertus, les attraits & les charmes, Des mains du plus méchant feroient tomber les armes.	en éjanie drd mêld dieu quaitez Qui surpassent beaucoup toutes les Deités, Dont les rares vertus, les attraits et les charmes, Des mains du plus méchant feraient tomber les armes.
STELLANÉ.	STELLANÉ.
Quoy!	Quoi!
ce cœur enflammé qui deuoit tout tenter	ce cœur enflammé qui devait tout tenter
Pour gagner mon amour & pour me meriter, Tremble quand ie luy dis d’attenter à la vie De celle qui me tient ſous ſes loix aſſeruie:	Pour gagner mon amour et pour me mériter, Tremble quand tu sens dis d'attenter à la vie De celle qui me tient sous ses lois asservie:
Ce bras n’épargne roit ny ſon ſang ny les Dieux, Et n’oſe en ma faueur faire vn coup glorieux.	Ce bras n'épargne roit ici son sang était les Dieux, Et n'ose en ma faveur faire un coup glorieux.
Son amour eſt ſi grand que l'excés de ſa flame A tout faire pour moy deuoit porter ſon ame:	Son amour est si grand que l'excès de sa flamme À tout faire pour moi devait porter son âme:
Ce conte eſt ridicule, & iamais vn amant Quì reſſent les tranſports d’vn amour violent, Ne doit conſiderer ny Prince ny Princeſſe, Quãd ils ſont en horreur aux yeux de ſa MaiſtreſAinſi tu n’as pour moy qu’vn feu diſſimulé, [ſe.	Ce conte est ridicule, et jamais un amant Quì ressent les transports d'un amour violent, Ne doit considérer ni Prince ni Princesse, Quand ils sont en horreur aux yeux de sa MaîtresAinsi tu n'as pour moi qu'un feu dissimulé, [se.
Qu'vn faux amour qui veut me paroiſtre zelé:	Qu'un faux amour qui veut me paraître zélé:
Tu penſes m’ébloüir par l'eclat du langage, Mais i’ay beſoin d’vn bras pour vanger mon outrage.	Tu penses m'éblouir par l'éclat du langage, Mais j'ai besoin d'un bras pour venger mon outrage.
Zenalphe, ſi tu veux aſpirer à mon cœur, Il faut gagner l'Empire en détruiſant ma ſœur:	Zénalphe, si tu veux aspirer à mon cœur, Il faut gagner l'Empire en détruisant ma sœur:
Il faut que par ce coup tu te montres capable D’vne Reine qui veut vn Heros redoutable, Et par ce noble effort m’aſſeurer que ta foy.	Il faut que par ce coup tu te montres capable D'une Reine qui veut un Héros redoutable, Et par ce noble effort m'assurer que ta foi.
Eſt au point de tout faire aueuglémẽt pour moyMais ie te vois ſi loin de cette noble enuie, Qu'on verroit de ma mort ma diſgrace ſuiuie, Sans que ton laſche cœur oſaſt me ſecourir, Ny détourner le coup qui me feroit perir.	Est au point de tout faire aueuglémẽt pour moiMais après te vois si loin de cette noble envie, Qu'on verrait de ma mort ma disgrâce suivie, Sans que ton lâche cœur osât me secourir, Ni détourner le coup qui me ferait périr.
ZENALPHE.	ZENALPHÉE.
Ah!	Ah!
c'eſt trop maltraitter celuy qui vous adore, Qui tenteroit pour vous ce coup & plus encores, N’eſtoit qu’il armeroit, s’il auoit éclatté, Le Ciel & les Enfers contre voſtre beauté.	c'est trop maltraiter celui qui vous adore, Qui tenterait pour vous ce coup et plus encor, N'était qu'il armerait, s'il avait éclatté, Le Ciel et les Enfers contre votre beauté.
Madame, voyez mieux l'horreur de cette idée, Et par vu noble effort ſoyez perſuadèe Qu’vn ſi noir attentat porteroit l'auenir.	Madame, voyez mieux l'horreur de cette idée, Et par vu noble effort soyez persuadée Qu'un si noir attentat porterait l'avenir.
STELLANE.	STELANE.
Va, ceſſe de me voir & de m’entretenir, Puiſque de me vanger tu n’as pas le courage;	Va, cesse de me voir et de m'entretenir, Puisque de me venger tu n'as pas le courage;
Ne me viens point troubler d’vn ſiniſtre preſage.	Ne me viens point troubler d'une sinistre présage.
Et va te conſacrer à ce diuin objet Dont tu vantes l'orgueil en infame ſujet:	Et va te consacrer à ce divin objet Dont tu vantes l'orgueil en infâme sujet:
Quand les Dieux protecteurs de cette indigne Reyne, Me cõbleroient d’horreur, de miſere & de peine, I’auray, ſans ton ſecours, moy ſeule aſſez decœur Pour la faire perir & vanger mon honneur, Meſme pour chaſtier mes peuples infidelles, Qui ſont cõme ton cœur à tous mes vœux rebelles.	Quand les Dieux protecteurs de cette indigne Reine, Mei cõbleroient d'horreur, de misère et de peine, J'aurai, sans ton secours, moi seule assez décœur Pour la faire périr et venger mon honneur, Même pour châtier mes peuples infidèles, Qui sont comme ton cœur à tous mes vœux rebelles.
ZENALPHE.	ZENALPHÉE.
Ainſi que moy rebelle?	Ainsi que moi rebelle?
Ah!	Ah!
ne m’outragez pas.	ne m'outragez pas.
Iuſqu’à me mettre au rang de ces ſujets ingrats, Ce tiltre pour Zenalphe a trop d’ignominie.	Jusqu'à me mettre au rang de ces sujets ingrats, Ce titre pour Zénalphe a trop d'ignominie.
STELLANE.	STELANE.
Cependant tu ſouſtiens leur laſche tyrannie, Puis que tu peux ſouffrir que ſa noire fureur Met mon ſceptre & mon bien dans les mains de ma ſœur.	Cependant tu soutiens leur lâche tyrannie, Puis que tu peux souffrir que sa noire fureur Met mon sceptre et mon bien dans les mains de ma sœur.
ZENALPHE.	ZENALPHÉE.
Si ſa teme rité s’en donne la licence, Le Ciel en fait pour vous auſſi-toſt la vangeanee;	Si sa teme rité s'en donne la licence, Le Ciel en fait pour vous aussitôt la vengeane;
PuiſPuiſqu’enfin cette ſœur en vous reconoiſſant Vous remet dãs les mains le pouuoir tout-puiſſãt, Et vous donne moyen de vanger voſtre iniure, Et d’en faire vn exemple à toute la Nature.	PuisPuisqu'enfin cette sœur en vous reconaissant Vous remet dans les mains le pouvoir tout-puissants, Et vous donne moyen de venger vôtre injure, Et d'en faire un exemple à toute la Nature.
STELLANE.	STELANE.
Et de ce coup d’Eſtat qu’inuente ſon grand cœux Ie doibs me ſatisfaire, & meſme auec honneur Cét offre de regner, que tu crois magnanime, Qui releue ſa gloire & ternit mon eſtime, Doit forcer mon erprle de quierenre dome Et le iuſte deſſein de la faire perir.	Et de ce coup d'État qu'invente son grand cœux Je doibs me satisfaire, et même avec honneur Cet offre de régner, que tu crois magnanime, Qui relève sa gloire et ternit mon estime, Doit forcer mon erprle de quierenre dôme Et le juste dessein de la faire périr.
ZENALPHE.	ZENALPHÉE.
Ha!	Ha!
que mal à propos vous imputez à feinte Le glorieux effort d’vne vertu ſi ſainte, Vour rendrez par ce coup voſtre nom odieux meuane cous les iorteis ce deuut cous les Dieux;	que mal à propos vous imputez à feinte Le glorieux effort d'une vertu si sainte, Vour rendrez par ce coup vôtre nom odieux meuane cous les jorteis ce dévut cous les Dieux;
Voyez combien ſa mort ternira voſtre gloire, Et dedans quelle horreur ſera voſtre memoire.	Voyez combien sa mort ternira votre gloire, Et dedans quelle horreur sera votre mémoire.
SIELLANE.	SIELANE.
Quãd ie deurois tomber dans le dernier malheur Ie vangeray par tout ma gloire & mon honneur,	Quand ici devrais tomber dans le dernier malheur Je vengerai par tout ma gloire et mon honneur,
LENALPHE.	LENALPHÉ.
Quand ie deurois ſouffrir vn eternel ſupplice, Ie ne ſeray iamais de ce crime complice.	Quand ici devrais souffrir un éternel supplice, Je ne serai jamais de ce crime complice.
STELLANE.	STELANE.
Ie ſçauray bien ſans toy luy donner le trépas.	Je saurai bien sans toi y donner le trépas.
ZENALPHE.	ZENALPHÉE.
Ah Madame!	Ah Madame!
arreſtez, & ne vous perdez pas.	arrêtez, et ne vous perdez pas.
DCENE TV ZENALPHE.	DCENE TU ZENALPHÉT.
LEONCE.	LÉONCE.
LEONCE.	LÉONCE.
T Enalphe demeurez, car des ordres receus LPortent que l'on ſe rẽde aux Autels de Venus Pour ſçauoir ſi l'on peut de ſon diuin Oraele, ul quer Dieu rontouera ce reple ou ce miracle, Que la nature & l'art font voir en ces beaux lieux Comme le vray tableau de la beauté des Cieux.	T Enréphe demeurez, car des ordres reçus LPortent que l'on se rède aux Autels de Venus Pour savoir si l'on peut de son divin Oraèle, ul quér Dieu rontouera ce reple ou ce miracle, Que la nature et l'art font voir en ces beaux lieux Comme le vrai tableau de la beauté des Cieux.
LENALPHE.	LENALPHÉ.
C'eſt à quoy maintenant tout le Conſeil s’applie que.	C'est à quoi maintenant tout le Conseil s'applie que.
LEONCE.	LÉONCE.
La Reyne qui touſiours ioint à ſa politique Le reſpect que les Roys doiuent aux immortels, Veut qu’on vienne l'apprendre aux pieds de leurs Autels, Et ne s’en tiendra pas au iugement folaſtre D’vn peuple dõt le cœur en tous lieux Pidolatre,	La Reine qui toujours joint à sa politique Le respect que les Rois doivent aux immortels, Veut qu'on vienne l'apprendre aux pieds de leurs Autels, Et ne s'en tiendra pas au jugement folâtre D'un peuple dont le cœur en tous lieux Pidolâtre,
ZENALPHE.	ZENALPHÉE.
Mais on tient pour certain que c’eſt à ſes vertus Que l'Eſtat le deſtine, & non pas a Venus.	Mais on tient pour certain que c'est à ses vertus Que l'État le destine, et non pas a Venus.
LEONCE.	LÉONCE.
Ce n’eſt point à l'Eſtat de choiſir ny d’élire Vne Diuinité pour ce lieu qu’on admire.	Ce n'est point à l'État de choisir ni d'élire Une Divinité pour ce lieu qu'on admire.
EENIETIIE On doit ce ſacrifice à ſa rare beauté.	EENIETIE On doit ce sacrifice à sa rare beauté.
LEONCE.	LÉONCE.
Oüy, le Peuple doit tout à ſa grande bonté, Mais apprens vn malheur qui n’eut iamais d’exemple;	Oui, le Peuple doit tout à sa grande bonté, Mais apprends un malheur qui n'eut jamais d'exemple;
C’eſt qu’vn Monſtre paroiſt à la porte du Tẽple, Et ron ere reioru , quop ui pume afriuer,	C'est qu'un Monstre paraît à la porte du Tendle, Et ron eure rejoru , quop ui pume afriver,
ZENALPHE.	ZENALPHÉE.
S'il en veut a ſes iours, ie ſçauray l'en ſauuer.	S'il en veut à ses jours, je saurai l'en sauver.
LEONCE.	LÉONCE.
Et malgré ſa fureur elle aura l'auantage D’y voir tous les mortels adorer ſon image.	Et malgré sa fureur elle aura l'avantage D'y voir tous les mortels adorer son image.
Pen an premier nare.	Pen an premier nare.
CIE II.	CIE II.
DOLNEI ZENALPHE.	DOLNEI ZENALPHÉE.
CONSTANCE.	CONSTANCE.
CONSTANCE.	CONSTANCE.
J Enalphe eſt donc amant & non pas geneL reux?	EN Jalphe est donc amant et non pas généL reux?
E 123	E 123
ZENALPHE.	ZENALPHÉE.
Ie reſpecte vn obiet que reuerent les Dieux.	Je respecte un objet que révèrent les Dieux.
CONSTANCE.	CONSTANCE.
A-t-on veu des amans eraindre Dieux ny Deeſſes Eois qu’iis lont obhgez de Vanger leurs Maîtreſ.	A-t-on vu des amants eraindre Dieux ni Deesses Éois qu'iis lont obhgez de Venger leurs Maîtres.
