A PARIS.	À PARIS.
Il eſt jaloux juſques en un tel point.	Il est jaloux jusques en un tel point.
MARINETTE.	MARINETTTE.
De Valere?	De Valère?
Ha!	Ha!
vrayment la penſée eſt bien belle !	vraiment la pensée est bien belle !
Bile pereretrrement hamle en tortie cervelle!	Bile pereretrrement hamle en tortie cervelle!
Je vous croyois du ſens, & juſqu’à ce moment, J’avois de voſtre eſprit quelque bon ſentiment :	Je vous croyais du sens, et jusqu'à ce moment, J'avais de votre esprit quelque bon sentiment :
Mais, à ce que je voy, je m’eſtois foit trompée.	Mais, à ce que je vois, je m'étais soit trompée.
Ta teſte de ce mal eſt-elle auſſi frapée?	Ta tête de ce mal est-elle aussi frappée?
GROS-RENE'.	GROS-RENE'.
Moyjaloux?	Moijaloux?
Dieu m’en garde, & d’eſtre aſſez badin Pour m’aller emmaigrir avec un tel chagrin;	Dieu m'en garde, et d'être assez badin Pour m'aller emmaigrir avec un tel chagrin;
Outre que de ton cœur ta foy me cautionne, L’opinion que j’ay de moy-même eſt trop bonne Tour croire auprés de moy que quel qu’autre te plûſt, A 5 Ou Ott drantle puuiloldtu tloures quinie vurdiſt?	Outre que de ton cœur ta foi me cautionne, L'opinion que j'ai de moi-même est trop bonne Tour croire auprès de moi que quel qu'autre te pluût, A 5 Ou Ot drantle puviloldtu tloures quinie vurdît?
MARINETTE.	MARINETTTE.
En effet, tu dis bien, voilà comme il faut eſtre, Jamais de ces ſoupçons qu’un jaloux fait paroiſtre;	En effet, tu dis bien, voilà comme il faut être, Jamais de ces soupçons qu'un jaloux fait paraître;
Tout le fruit qu’on en cueille eſt de ſe mettre mal, Et d’avancer par là les deſſeins d’un rival:	Tout le fruit qu'on en cueille est de se mettre mal, Et d'avancer par là les desseins d'un rival:
Au merite ſouvent de qui l’éclat vous bleſſe, Vos chagrins font ouvrir les yeux d’une maiſtreſſe;	Au mérite souvent de qui l'éclat vous blesse, Vos chagrins font ouvrir les yeux d'une maîtresse;
Et j’en ſçay tel qui doit ſon deſtin le plus doux Aux ſoins trop inquiets de ſon rival jaloux.	Et j'en sais tel qui doit son destin le plus doux Aux soins trop inquiets de son rival jaloux.
Enfin, quoy qu’il en ſoit, témoigner de l’ombrage C’eſt jouër en amour un mauvais perſonnage, Et ſe rendre aprés tout miſerable à credit:	Enfin, quoi qu'il en soit, témoigner de l'ombrage C'est jouer en amour un mauvais personnage, Et se rendre après tout misérable à crédit:
Cela, Seigneur Eraſte, en paſſant vous ſoit dit.	Cela, Seigneur Eraste, en passant vous soit dit.
ERASTE.	ERASTE.
Hé bien, n’en parlons plus, que venois tu m’aprendre?	Hé bien, n'en parlons plus, que venais -tu m'apprendre?
MARINETTE.	MARINETTTE.
Vous meriteriez bien que l’on vous fit attendre:	Vous mériteriez bien que l'on vous fit attendre:
Qu’afin de vous punir je vous tinſſe caché, Le grand ſecret pourquoy je vous ay tant cherché.	Qu'afin de vous punir je vous tinsse caché, Le grand secret pourquoi je vous ai tant cherché.
Tenez, voyez ce mot, & ſortez hors de doute.	Tenez, voyez ce mot, et sortez hors de doute.
Liſez-le donc tout haut;	Lisez-le donc tout haut;
perſonne icy n’écoute.	personne ici n'écoute.
ERASTE lit.	ERASTE lit.
Vous m’avez dit que voſtre amour Eſtoit capable de tout faire, Il ſe couronnera luy-méme dans ce jour, oii peur a dr l’aveu d’un Pere.	Vous m'avez dit que votre amour Était capable de tout faire, Il se couronnera lui-même dans ce jour, oi peur a dr l'aveu d'un Père.
Faites parler les droits qu’on a deſſus mon cœur;	Faites parler les droits qu'on a dessus mon cœur;
Je vous en donne la licence :	Je vous en donne la licence :
Et, Ic eſt en voitre faveur, Je vous répons de mon obeïſſance.	Et, Ic est en voitre faveur, Je vous réponds de mon obéissance.
215 S0 Ha!	215 S0 Ha!
quel bon-heur!	quel bonheur!
ô, toy, qui me l’as apporté Je te dois regarder comme une Deïté.	ô, toi, qui me l'as apporté Je te dois regarder comme une Deïté.
ROS-RENE', Je vous le diſois bien contre voſtre croyance, Je ne me trompe guere aux choſes que je penle.	ROS-RENE', Je vous le disais bien contre votre croyance, Je ne me trompe guère aux choses que je penle.
ERASTE lit.	ERASTE lit.
Faites parler les droits qu’on a deſſus mon cœur;	Faites parler les droits qu'on a dessus mon cœur;
Je vous en donne la licence :	Je vous en donne la licence :
Et, ſi c’eſt en voſtre faveur, Je vous répons de mon obeïſſance.	Et, si c'est en votre faveur, Je vous réponds de mon obéissance.
MARINETTE.	MARINETTTE.
Si je luy raportois vos foibleſſes d’eſprit, Elle deſavoûtoit bien-tôſt un tel écrit.	Si je était rapportais vos faiblesses d'esprit, Elle desavoûtoit bientôt un tel écrit.
ERASTE.	ERASTE.
Ha, cache luy, de grace, une peur paſſagere Où mon ame a creu voir quelque peu de lumiere;	Ha, cache sang, de grâce, une peur passagère Où mon âme a cru voir quelque peu de lumière;
Ou, ſi tu la luy dîs, adjouſte que ma mort Eſt preſte d’expier l’erreur de ce tranſport;	Ou, si tu la vertu dîts, ajoute que ma mort Est prête d'expier l'erreur de ce transport;
Que je vais à ſes pieds, ſi j’ay pû luy déplaire, Cuehllerla vie a la jule eslele.	Que je vais à ses pieds, si j'ai pu lui déplaire, Cueherla vie a la jule eslele.
MARINETTE.	MARINETTTE.
Ne parlons point de mort, ce n’en eſt pas le temps	Ne parlons point de mort, ce n'en est pas le temps
RASTE.	RASTE.
Au reſte, je te doy beaucoup, & je pretens Reconnoiſtre dans peu de la bonne maniere Les ſoins d’une nnosie te n Selle courriere	Au reste, je te dois beaucoup, et je prétends Reconnoistre dans peu de la bonne manière Les soins d'une nourrie te n Elle courrière
MARINETTE.	MARINETTTE.
A plopon, igaves-vous ou je vous ay chelene Tantoſt encore?	A plopon, igaves-vous ou je vous ai chelene Tantôt encore?
ERASTE.	ERASTE.
Hé bien ?	Hé bien ?
MARINETTE.	MARINETTTE.
Où vous ſçavez.	Où vous savez.
Tout proche du marché,	Tout proche du marché,
ERASTE.	ERASTE.
Ou donc?	Ou donc?
MARINETTE.	MARINETTTE.
Là, dans cette boutique Où dés le mois paſſé voſtre cœur magnifique Me promit, de ſa grace, une bague.	Là, dans cette boutique Où dès le mois passé votre cœur magnifique Me promit, de sa grâce, une bague.
ERASTE.	ERASTE.
A 6 Ha, j’entends.	À 6 Ha, j'entends.
G228.	G228.
La Matone.	La Matone.
GROS-RENE’.	GROS-RENE'.
ERASTE.	ERASTE.
Il eſt vray, j’ay tardé trop long-temps Il m’acquiter vers toy d’une telle promeſſe!	Il est vrai, j'ai tardé trop longtemps Il m'acquitter vers toi d'une telle promesse!
Mais.	Mais.
MARINETTE.	MARINETTTE.
Ce que j’en ay dit, n’eſt pas que je vous preſſe.	Ce que j'en ai dit, n'est pas que je vous presse.
Ho!	Ho!
que non !	que non !
ROSRENE.	ROSRENE.
ERASTE.	ERASTE.
Celle-cy peut-eſtre aura dequoy.	Celle-cy peut-être aura dequoy.
Te plaire.	Te plaire.
Accepte-la pour celle que je doy.	Accepte-la pour celle que je dois.
MARINETTE.	MARINETTTE.
Monſieur, vous vous moqués, j’aurois honte à la prendre.	Monsieur, vous vous moquez, j'aurais honte à la prendre.
BROS-RENE Pauvre honteuſe, pren, ſans davantage attendre.	BROS-RENE Pauvre honteuse, pren, sans davantage attendre.
Refuſer ce qu’on donne, eſt bon à faire aux foux.	Refuser ce qu'on donne, est bon à faire aux foux.
AHITIETTE.	AHITIETTTE.
Ce ſera pour garder quelque choſe de vous.	Ce sera pour garder quelque chose de vous.
ERASTE.	ERASTE.
Quand puis je rendre grace à cet ange adorable?	Quand puis je rendre grâce à cet ange adorable?
MARINETTE.	MARINETTTE.
Travaillez à vous rendre un pere favorable.	Travaillez à vous rendre un père favorable.
ERASTE, Mais s’il me rebutoit, dois je.	ERASTE, Mais s'il me rebutait, dois -je.
A ANENETAE.	A ANNENTAE.
A lors comme à lors, Pour vous on employra toutes ſortes d’efforts, D’une façon ou d’autre il faut qu’elle ſoit voſtre;	À lors comme à lors, Pour vous on emploira toutes sortes d'efforts, D'une façon ou d'autre il faut qu'elle soit votre;
Faites voſtre pouvoir, & nous ferons le noſtre.	Faites votre pouvoir, et nous ferons le nôtre.
ERASTE.	ERASTE.
Adieu, nous en ſçaurons le ſuccés dans ce jour.	Adieu, nous en saurons le succès dans ce jour.
MARINETTE.	MARINETTTE.
Et nous, que dirons nous auſſi de noſtre amour?	Et nous, que dirons nous aussi de notre amour?
Tu ne m’en parles point.	Tu ne m'en parles point.
GROS-RENE'.	GROS-RENE'.
Un hymen qu’on ſouhaite Entre gens comme nous eſt choſe bien toſt faite.	Un hymen qu'on souhaite Entre gens comme nous est chose bien tôt faite.
Je te veux.	Je te veux.
Me veux-tu de même?	Me veux-tu de même?
MARINETTE.	MARINETTTE.
Avec plaiſir.	Avec plaisir.
RobeR DREI Touche;	RobeR DREI Touche;
il ſuffit.	il suffit.
MARINETTE.	MARINETTTE.
Adieu, Gros-René mon deſir.	Adieu, Gros-René mon désir.
ROS-RENE'.	ROS-RENE.
Adieu, mon Aſtre.	Adieu, mon Astre.
MARINETTE.	MARINETTTE.
Adieu, beau tiſon de ma flame.	Adieu, beau tison de ma flamme.
GROS-RENE’, Adieu, cnere comete, aic-en-Ciel de mon ame.	GROS-RENE', Adieu, cnere compète, aic-Ciel de mon âme.
Le bon Dieu ſoit loüé, nos affaires vont bien;	Le bon Dieu soit loué, nos affaires vont bien;
Albert n’eſt pas un homme à vous refuſer rien.	Albert n'est pas un homme à vous refuser rien.
ERASTE.	ERASTE.
Valere vient à nous.	Valère vient à nous.
a d e u n aa la Je plains le pauvre hére, Sçachant ce qui ſe paſſe.	a d eu u n a la Je plains le pauvre hére, Sachant ce qui se passe.
SCENE III.	SCÈNE III.
ERASTE, hhbIen, GROD-RENE'.	ERASTE, hhbIen, GROD-RENE.
ERASTE.	ERASTE.
HE' bien?	HÉ bien?
Seigneur Valere.	Seigneur Valère.
ALERE.	ALÈRE.
Hé bien?	Hé bien?
Seigneur Eraſte.	Seigneur Éraste.
ERASTE.	ERASTE.
En quel eſtat l’amour?	En quel état l'amour?
A LERE, En quel eſtat vos feux?	À LERE, En quel état vos feux?
ERA.	ERA.
ERASTE.	ERASTE.
Plus foits de jour en jour.	Plus foits de jour en jour.
VALERE.	VALÈRE.
Et mon amour plus fort.	Et mon amour plus fort.
ERASTE.	ERASTE.
Pour Lucile?	Pour Lucile?
VALERE.	VALÈRE.
Pour elle.	Pour elle.
ERASTE.	ERASTE.
Ceſtes, je l’avouray, vous eſtes le modelle D’une rare conſtance.	Cestes, je l'avouerai, vous êtes le modèle D'une rare constance.
VALERE.	VALÈRE.
Et voſtre fermeté Doit eſtre un rare exemple à la poſterité.	Et votre fermeté Doit être un rare exemple à la postérité.
ERASTE.	ERASTE.
Pour moy, je ſuis peu fait à cet amour auſtere, Qui dans les ſeuls regards treuve à ſe ſatisfaire, Et je ne forme point d’aſſez beaux ſentimens, Pour ſouffrir conſtamment les mauvais traitemens.	Pour moi, je suis peu fait à cet amour austère, Qui dans les seuls regards trouve à se satisfaire, Et je ne forme point d'assez beaux sentiments, Pour souffrir constamment les mauvais traitements.
Enfin, quand j’aime bien, j’aime fort que l’on m’aime.	Enfin, quand j'aime bien, j'aime fort que l'on m'aime.
ADERE.	ADERE.
Il eſt tres-naturel, & j’en ſuis bien de même:	Il est très-naturel, et j'en suis bien de même:
Le plus palfait oojet dont je lerois charme N’auroit pas mes tributs, n’en eſtant point aimé.	Le plus palfait ojet dont je lerais charme N'aurait pas mes tributs, n'en étant point aimé.
ERASTE.	ERASTE.
Lucile cependant.	Lucile cependant.
VAEE dE.	VAE dE.
Lucile dans ſon ame Rend tout ce que je veux qu’elle rende à ma flame.	Lucile dans son âme Rend tout ce que je veux qu'elle rende à ma flamme.
ERASTE.	ERASTE.
Vous eſtes donc facile à contenter.	Vous êtes donc facile à contenter.
VALERE.	VALÈRE.
Que vous pourriez penſer.	Que vous pourriez penser.
Pas tant.	Pas tant.
ERASTE.	ERASTE.
Je puis croire pourtant, Sans ounstiep de vanite, que jerdio en la gracc.	Je puis croire pourtant, Sans ounstiep de vanité, que jerdio en la grâce.
ALERE.	ALÈRE.
Moy, je ſçay que j’y tiens une aſſez bonne place.	Moi, je sais que j'y tiens une assez bonne place.
ERASTE.	ERASTE.
Ne vous abuſez point;	Ne vous abusez point;
croyez moy.	croyez -moi.
VALERE.	VALÈRE.
