DOM PEDRE, Roy d’Aragon.	DOM PÉDRE, Roi d'Aragon.
Le plus digne degré de la grandeur d’vn maiſtre, Eſt d’eſtre égal aux ſiens, autant qu’il le peut eſtre;	Le plus digne degré de la grandeur d'un maître, Est d'être égal aux siens, autant qu'il le peut être;
Il s’eſleue plus haut par cet abaiſſement, C’eſt de ſa dignité le plus ſeur fondement, Et de l’art de regner la plus haute ſcience.	Il s'élever plus haut par cet abaissement, C'est de sa dignité le plus sûr fondement, Et de l'art de régner la plus haute science.
LE COMTE.	LE COMTE.
Chacun peut approcher:	Chacun peut approcher:
le Roy donne audience.	le Roi donne audience.
D.	D.
LOPE s’auançant.	LOPE s'avançant.
Si prompt à le ſeruir, ie tremble à l’aborder.	Si prompt à le servir, je tremble à l'aborder.
LAZARILLE.	LAZARILLE.
L'occaſion vous rit.	L'occasion vous rit.
D.	D.
LOPE.	LOPE.
Ciel, fais la ſucceder.	Ciel, fais la succéder.
Mais on m’a preuenu;	Mais on m'a prévenu;
SCENVE ILI D.	SCENVE ILI D.
SANCHE Gouuerneur de Saragoſſe.	SANCHE Gouverneur de Saragosse.
Sire, vn bruit populaire, Iette icy la terreur de l’Infant voſtre frere;	Sire, un bruit populaire, Jette ici la terreur de l'Infant votre frère;
L’armée eſt décampee, & s’auance à grands pas, L’aduantage conſiſte à ne l’attendre pas;	L'armée est décampée, et s'avance à grands pas, L'avantage consiste à ne l'attendre pas;
Et le mal nous preſſant, empeſcher qu’il n’empire Et ne vienne attaquer le cœur de voſtre Empire:	Et le mal nous pressant, empêcher qu'il n'empire Et ne vienne attaquer le cœur de votre Empire:
Vous riſqués vn grand ſiege, en attendant plus tard, Saragoſſe eſt au throne vn important rampart.	Vous risquez un grand siège, en attendant plus tard, Saragosse est au trone un important rampart.
LE ROY.	LE ROY.
Mes ordres pouruoiront contre cette diſgrace, Cependant, trauaillez, à bien munir la place;	Mes ordres pourvoiront contre cette disgrâce, Cependant, travaillez, à bien munir la place;
Et pouruoir de deffenſe aux endroits importants, Sans ſemer la frayeur parmy les habitants;	Et pourvoir de défense aux endroits importants, Sans semer la frayeur parmi les habitants;
Allez, qu’vn autre approche.	Allez, qu'un autre approche.
SCENE IV.	SCÈNE IV.
ENVEEV LE SECRETAIRE, LE ROY.	ENVEUE LE SECRÉTAIRE, LE ROY.
LE COMTE, D.	LE COMTE, D.
LO PE, LAZARILLE, LDATS.	LO PE, LAZARILLE, LDATS.
D.	D.
LOPE s’auançant.	LOPE s'avançant.
O Sort, ſois moy propice!	Ô Sort, sois moi propice!
Ne voila pas encor, vn traict de ſon caprice!	Ne voilà pas encor, un trait de son caprice!
Voy combien de hazards m’oſtent l’occaſion;	Vois combien de hasards m'ôtent l'occasion;
LAZARILLE.	LAZARILLE.
Ie forcenne de rage & de confuſion.	Je forcenne de rage et de confusion.
LE SECRETAIRE, au Roy, luy donnant vne lettre.	LE SECRÉTAIRE, au Roi, lui donnant une lettre.
Sire, aux moindres faueurs, qu’vne maiſtreſſe enuoye, C’eſt trop faire achepter, qu’en retarder la joye.	Sire, aux moindres faveurs, qu'une maîtresse envoie, C'est trop faire acheter, qu'en retarder la joie.
LE ROY, la baiſant & l’ouurant.	LE ROY, la baisant et l'ouvrant.
Cher gage d’vne main pleine de tant d’appas, Me viens-tu prononcer l'arreſt de mon treſpas?	Cher gage d'une main pleine de tant d'appas, Me viens-tu prononcer l'arrêt de mon trépas?
Ou flechiray-ie enfin la fierté qui reietté Vne ame aſſuiettie au foug at fa fuiette?	Ou fléchirai-je enfin la fierté qui rejetté Vne âme assuiettie au foug at fa fuite?
LAZARILLE.	LAZARILLE.
Quelqu’vn profitera du temps que vous perdés.	Quelqu'un profitera du temps que vous perdez.
D.	D.
Loiimiuançant.	Loiimiuançant.
Prince, rare ornement.	Prince, rare ornement.
Le Roy lit, attendez.	Le Roi lit, attendez.
LE COMTE, le faiſant retirer.	LE COMTE, le faisant retirer.
LE ROY, liſant la lettre.	LE ROY, lisant la lettre.
Ne ſoüillés point grãd Roy, les glorieuſes marques, Puipur le reſte des Monarques, Font briller voſtre Majeſté, Par vne paßion à ſon repos fatale, D’vn indigne attentat de voſtre ame Royale, Sur mon honneſteté.	Ne soüillés point grand Roi, les glorieuses marques, Puipur le reste des Monarques, Font briller votre Majesté, Par une passion à son repos fatale, D'un indigne attentat de votre âme Royale, Sur mon honnêteté.
I'ay trop long-temps ſouffert à vos ardeurs paßées, Ces friuoles écrits, porteurs de vos penſées, Ne m’en honorez plus, Ou me continuant cet honneur qui m'offence, Me vous offencez, pas, ou d’vn iuſte ſilence, Ou d’on libre refus:	J'ai trop longtemps souffert à vos ardeurs passées, Ces frivoles écrits, porteurs de vos pensées, Ne m'en honorez plus, Ou me continuant cet honneur qui m'offense, Me vous offensez, pas, ou d'un iuste silence, Ou d'on libre refus:
Il dit, ne liſant plus.	Il dit, ne lisant plus.
O rigueur inhumaine!	Ô rigueur inhumaine!
ô beauté tyrannique!	ô beauté tyrannique!
Qui cauſant mõ amour, deffends qu'elle s’explique, Beau, mais funeſte eſcueil, inſenſible rocher.	Qui causant mon amour, défends qu'elle s'explique, Beau, mais funeste écueil, insensible rocher.
Allez:	Allez:
LAZARILLE.	LAZARILLE.
LE COMIE.	LE COMIE.
Il ne lit plus, vous pouuez approcher;	Il ne lit plus, vous pouvez approcher;
D.	D.
LOPE s’approchant.	LOPE s'approchant.
Enfin tu ſeras laſſe, ô cruelle fortune!	Enfin tu seras lasse, ô cruelle fortune!
De me perſecuter & de m’eſtre importune;	De me persécuter et de m'être importune;
Prince amour des climats, où vous donnez la loy, Et de vos ennemis, la terreur & rejproy;	Prince amour des climats, où vous donnez la loi, Et de vos ennemis, la terreur et reprois;
Si voſtre Majeſté doit treuuer quelques charmes Au fidele recit du ſucces de ſes armes;	Si votre Majesté doit trouver quelques charmes Au fidèle récit du succès de ses armes;
I'oze ſatisfaiſant à ma commißion, Me promettre l’honneur de ſon attention.	J'ose satisfaisant à ma commission, Me promettre l'honneur de son attention.
LE ROY lit vn mot, ou deux, & puis dit.	LE ROY lit un mot, ou deux, et puis dit.
Et vantons orgueilleux, les droits d’vn Couronne, Et le faux aſcendant que ſon éclat nous donne;	Et vantons orgueilleux, les droits d'un Couronne, Et le faux ascendant que son éclat nous donne;
Pourrois-ie obtenir moins deſſous vn nom priué, Qu'en ce grade eminent, où ie ſuis eſleué!	Pourrais-je obtenir moins dessous un nom privé, Qu'en ce grade éminent, où ie tu esleué!
nne ingrurit fuieme u te pomume dedaigne!	nne ingrurit fuième ! te pomume dédaigne!
D.	D.
LOPE.	LOPE.
L’eſtat où Dom Bernard a reduit la Sardaigne, neru ilemoren t Durope, & ue voſtre fureur, Aux lieux plus écartés ſemera la terreur.	L'état où Dom Bernard a réduit la Sardaigne, nervu ilémoren t Urope, et ue votre fureur, Aux lieux plus écartés sèmera la terreur.
LE ROY liſant.	LE ROY lisant.
Ne m’en honorés plus, Oume continuant, cet honneur qui m'offence, Ne vous offencez pas, ou d’vn iuſte ſilence, Où d’vn libre refus.	Ne m'en honorez plus. Oume continuant, cet honneur qui m'offense, Ne vous offensez pas, ou d'un juste silence, Où d'un libre refus.
Il dit en ſuitte.	Il dit en suite.
Traicter de ces froideurs, le feu qui me deuore, Moy ſon Prince:	Traicter de ces froideurs, le feu qui me dévore, Moi son Prince:
ſon Roy, mais ſon Roy qui l’adore.	son Roi, mais son Roi qui l'adore.
D.	D.
LOPE.	LOPE.
Quand l’appareil fut preſt, & que de vos vaiſſeaux Dom Bernard eut couuert l’humide ſein des eaux, Les vents en meſme inſtant, furent ſans violence, Et volontairement s’impoſerent ſilence;	Quand l'appareil fut prêt, et que de vos vaisseaux Dom Bernard eut couvert l'humide sein des eaux, Les vents en même instant, furent sans violence, Et volontairement s'imposèrent silence;
La mer auec reſpect porta ce grand fardeau, Qui des Sardes alloit la faire le tombeau.	La mer avec respect porta ce grand fardeau, Qui des Sardes allait la faire le tombeau.
LE ROY.	LE ROY.
Mais, ô trouble friuole & vaine réuerie, Amoureux ie puis craindre, & Monarque ie prie, muijuney& puimapaummuumſpauis ſuperflus, Qui pouuant tout, demande, eſt digne du refus.	Mais, ô trouble frivole et vaine réuerie, Amoureux ie puis craindre, et Monarque quelque prie, muijune puimapaummuumspauis superflus, Qui pouvant tout, demande, est digne du refus.
D.	D.
LOPE.	LOPE.
L’air & la mer, enfin comme vos tributaires, Prirent voſtre party, contre vos aduerſaires;	L'air et la mer, enfin comme vos tributaires, Prirent votre parti, contre vos adversaires;
LE ROY.	LE ROY.
Mais au trouble importun, dont i’eſtois diuerty, N’ayant rien entendu, ie n’ay rien reparty;	Mais au trouble importun, dont j'étais diverti, N'ayant rien entendu, toujours n'ai rien réparti;
Cette diſtraction eſt vn deffaut aux Princes, Qui doiuent touſiours mettre, au bien de leurs Prouinces, Leur plus preſent objet, & leur ſoing le plus haut, Rappelons noſtre eſprit, & couurons ce deffaut.	Cette distraction est un défaut aux Princes, Qui doivent toujours mettre, au bien de leurs Provinces, Leur plus présent objet, et leur soing le plus haut, Rappelons notre esprit, et couvrons ce défauts.
ſe leuant.	se levant.
Ie ſonge à preuenir le ſiege qui s’appreſte, Si vous m’auez, ſeruy, dreßés voſtre requeſte, I'en verray le merite, & i’auray ſoing de vous.	Je songe à prévenir le siège qui s'apprête, Si vous m'avez, servi, dressés votre requête, J'en verrai le mérite, et j'aurai soin de vous.
LAZARILLE le ſuiuant.	LAZARILLE le suivant.
Denos Aſtres enfin nous vaincrons le courroux.	Denos Astres enfin nous vaincrons le courroux.
B	B
NE LE ROY, LE COMTE, LE SECRETAIRE.	NE LE ROY, LE COMTE, LE SECRÉTAIRE.
LE ROY.	LE ROY.
Voy ie regne, & regnant n’oze dire que i’ayme!	Vo ie règne, et régnant n'ose dire que j'aime!
Ie ſers, & ne puis plaire auec vn Diadeſme!	Je sers, et ne puis plaire auec un Diadesme!
Toy, dece triſte écrit funeſte meſſager, Autheur de mon ennuy, trauaille à l’alleger, Et ſi tu veux qu’encor quelque attente me flatte, Va m’obtenir, Perez, de cette belle ingrate, La faueur de paſſer en ſon appartement, Et ſans l’incommoder, luy parler vn moment.	Toi, dece triste écrit funeste messager, Auteur de mon ennui, travaille à l'alléger, Et si tu veux qu'encor quelque attente me flatte, Va m'obtenir, Pèrez, de cette belle ingrate, La faveur de passer en son appartement, Et sans l'incommoder, lui parler un moment.
Va i’attends ſa reſponſe:	Va j'attends sa réponse:
ha Comte, eſt-il poßible, Que ce front couronné cache vn cœur je ſenſible!	ha Comte, est-il puible, Que ce front couronné cache un cœur je sensible!
Et qu’vne dependante, & ſuiette beauté, A de ſi longs efforts, en cache vn indomté?	Et qu'une dépendante, et suite beauté, A de si longs efforts, en cache un indomté?
Par quel droict vantons nous malheureux que nous ſommes, L'aduantage des Roys, ſur le reſte des hommes, Si ſuiets comme vous à noſtre paßion, Nous ſouſtenons ſi mal cette preſomption, Que d’vn ſimple regard, qu’vn bel œil nous enuoye Nos libertez, ſouuent ſont la honteuſe proye?	Par quel droit vantons nous malheureux que nous sommes, L'avantage des Rois, sur le reste des hommes, Si sujets comme vous à notre passion, Nous soutenons si mal cette présomption, Que d'un simple regard, qu'un bel œil nous envoie Nos libertés, souvent sont la honteuse proie?
LECOMTE.	LECOMTE.
Le maineur de fouffrir pour a aymables obiets, Eſt le ſort außi bien des Roys que des ſuiets.	Le maineur de souffrir pour a aimables objets, Est le sort aussi bien des Rois que des sujets.
LE ROY.	LE ROY.
Ma plus ſenſible peine, en ce que ie propoſe, Eſt que mon deſſein meſme, à mon deſſein s’oppoſe, Et que pouuant vſer d’vn pouuoir abſolu, Ie ceſſe de vouloir, ſi toſt que i’ay voulu;	Ma plus sensible peine, en ce que femme propose, Est que mon dessein même, à mon dessein s'oppose, Et que pouvant user d'une pouvoir absolu, Je cesse de vouloir, si tôt que j'ai voulu;
Que dans la meſme cauſe, & criminel, & iuge, De l’obiet offencé ie deuiens le refuge, Et de quelques efforts que ie ſois combatu, Nay pas aſſez à amour pour manquer de vertu.	Que dans la même cause, et criminel, et juge, De l'objet offensé ie deuiens le refuge, Et de quelques efforts que je sois combattu, Nais pas assez à amour pour manquer de vertu.
Ainſi mon cœurpre ßé par l’vn & l’autre extréme, Eſt le champ d’vn cõbat de moy contre moy-méme, Qui laſche, ou genereux, fotoie, ou jort que ie ſuis, Protege enméme temps, l’honneur que ie pourſuis.	Ainsi mon cœurpre ssé par l'un et l'autre extrême, Est le champ d'un combat de moi contre moi-même, Qui lâche, ou généreux, foie, ou jort que je suis, Prote enméme temps, l'honneur que je suis.
LE COMTE.	LE COMTE.
C’eſt par ce beau combat, que vous rendez des marques, Du plus conſiderable, & plus grãd des monarques;	C'est par ce beau combat, que vous rendez des marques, Du plus considérable, et plus grãd dés monarques;
L’amour eſt vn doux mal commun à tous les Rois, Mais peu de la raiſon luy font ſuiure les loix, Peu ſçauent auec luy moderer leur puiſſance, Et quand il oſe trop, reprimer ſa licence;	L'amour est un doux mal commun à tous les Rois, Mais peu de la raison y font suivre les lois, Peu sçauent avec lui modérer leur puissance, Et quand il ose trop, réprimer sa licence;
Ces qualitez außi vous attirent nos vœux, De Pedre, & non du Roy, le monde eſt amoureux;	Ces qualités aussi vous attirent nos vœux, De Pèdre, et non du Roi, le monde est amoureux;
Et le ſurnom de Grand que l’Arragon vous donne, Vient plus de vos vertus, que de voſtre couronne;	Et le surnom de Grand que l'Aragon vous donne, Vient plus de vos vertus, que de votre couronne;
C’eſt vn malheur d’vn thrône où l’on eſt eſleué, Qu'eſtre touſiours en butte, & touſiours obſerué;	C'est un malheur d'être thrône où l'on est élevé, Qu'être toujours en butte, et toujours observé;
Qu’il ne ſoit mur ſi fort, dans les Palais des Princes, 4 Que ne puiſſent percer les yeux de leurs Prouinces, Toutes leurs actions regardans leurs ſuiets, De leurs ſuiets außi, ſont touſiours les obiets;	Qu'il ne soit mur si fort, dans les Palais des Princes, 4 Que ne puissent percer les yeux de leurs Provinces, Toutes leurs actions regardants leurs sujets, De leurs sujets aussi, sont toujours les objets;
Auec le peuple enfin ils partagent vn tiltre, Et iuges de l’eſtat, l’eſtat eſt leur arbitre:	Avec le peuple enfin ils partagent un titre, Et juges de l'état, l'état est leur arbitre:
Pour voſtre Majeſté, c’eſt vn repos bien doux, De pouuoir ſans rien craindre, eſtre iugé de tous;	Pour votre Majesté, c'est un repos bien doux, De pouvoir sans rien craindre, être jugé de tous;
Et c'eſt pour vn Monarque vne vertu ſublime, De hayr comme vous, iuſqu’à l’ombre du crime;	Et c'est pour un Monarque une vertu sublime, De haïr comme vous, jusqu'à l'ombre du crime;
D’estre vn ſi ſaint exemple, aux yeux de voſtre Cour, Et pouuoir accorder l’innocence & l’amour.	D'être un si saint exemple, aux yeux de votre Cour, Et pouvoir accorder l'innocence et l'amour.
LE ROY.	LE ROY.
LE ROY.	LE ROY.
L'intereſt qui m’allie auecques la Nauarre;	L'intérêt qui m'allie apprendre la Navarre;
Pouuoit ſeul me priuer d’vne beauté ſi rare;	Pouvait seul me priver d'une beauté si rare;
Et toute autre raiſon moins vtile à l’eſtat, La ſplendeur de mon rang, le nom de Potentat, Cequountee ſontomeno v one uuuucoſperance, Ne me pourroient rauir l’heur de ſon alliance.	Et toute autre raison moins vtyle à l'état, La splendeur de mon rang, le nom de Potentat, Cequountee sontomeno v one uuuucosperance, Ne me pourraient ravir l'heur de son alliance.
e d eu D.	Je d eu D.
LOPE DE LVNE, LAZARILLE, LEROY, LE COMTE, GARDES.	LOPE DE LUNE, LAZARILLE, LEROY, LE COMTE, GARDES.
LAZARILLE.	LAZARILLE.
Occaſion vous rit, mais ne la manqués pas.	Occasion vous rit, mais ne la manquez pas.
D.	D.
LOPE.	LOPE.
Elle eſt trop fauorable, ô ſort guide mes pas?	Elle est trop favorable, ô sort guide mes pas?
LE ROY prenantlarequeſte.	LE ROY prenantlarequête.
Donnez;	Donnez;
D.	D.
LOPE.	LOPE.
Cemot, grand Roy, s’il ne vous importune, Vous fera ſouuenir de Dom Lope de Lune;	Cemot, grand Roi, s'il ne vous importune, Vous fera souvenir de Dom Lope de Lune;
Autrefois par ſa charge, illuſtre en cette Cour, Sous l’heureux Souuerain, dont vous tenez le iour;	Autrefois par sa charge, illustre en cette Cour, Sous l'heureux Souverain, dont vous tenez le jour;
Qui iuſques à la mort, paya de ſa perſonne, Et fiſt de tout ſon ſang, hommage à la Couronne.	Qui jusques à la mort, paya de sa personne, Et fît de tout son sang, hommage à la Couronne.
LE NO Y Iiſant.	LE NÔ Y Jisant.
Dum Rope de .	Dum Rope de .
ALNVT VII.	ÀLNUT VII.
LE SECRETAIRE, LE ROY, D.	LE SECRÉTAIRE, LE ROY, D.
LOPE LE COMTE, LAZARILLE, GARDES.	LOPE LE COMTE, LAZARILLE, GARDES.
LE SECRETAIRE.	LE SECRÉTAIRE.
Seigneur, Leonor paſſe icy.	Seigneur, Leonor passe ici.
Pour aller chez l'Infante, auancez, la voicy.	Pour aller chez l'Infante, avancés, la voici.
Hors:	Hors:
LE COMTE, à D.	LE COMTE, à D.
LOPE.	LOPE.
D.	D.
LOPE ſortant.	LOPE sortant.
O de mon malheur, cruelle experience!	Ô de mon malheur, cruelle expérience!
LAZARILLE le ſuiuant.	LAZARILLE le suivant.
O la dure vertu, que tant de patience!	Ô la dure vertu, que tant de patience!
