AIV LROLRVRO	AIV LROLRURO
En effet ie croy, ſi tu n’es de mauuaiſe humeut, que ſes nouuelles graces te ſatisferont, & que tu excuſeras facilement ſi les autres perſonnages ſe contentent de ne rien dire de maunais.	En effet ie crois, si tu n'es de mauvaise humeut, que ses nouvelles grâces te satisferont, et que tu excuseras facilement si les autres personnages se contentent de ne rien dire de maunais.
Adieu LECTEVR, & puiſque ie te dis moy-meſme que ie n’eſtime point cet ouurage parfait;	Adieu LECTEUR, et puisque votre te dis moi-même que je n'estime point cet ouvrage parfait;
garde toy bien de le cenſurer parce que nous ne ſetions pas amys.	garde toi bien de le censurer parce que nous ne sétions pas amis.
TEOVRO.	TEOURO.
ELISE, Maiſtreſſe d’Adraſte.	ELISE, Maîtresse d'Andraste.
CLORIS, Déguiſée en homme ſous le nom de Philandre,	CLORIS, Déguisée en homme sous le nom de Philandre,
ADRASTE, Amoureux d’Eliſe, & déguiſé Ious ie nom de Ciconte.	ADRASTE, Amoureux d'Élise, et déguisé Inous ie nom de Cigomte.
IIRCIS, Alme de Cloris, & Amoureux d’Eliſe.	IIRCIS, Alme de Cloris, et Amoureux d'Élise.
TRASILE, I’ere d’Adraſte.	TRASILE, J'ère d'Andraste.
ALCIDON, Amy de Traſile, & confident a Ilutalte	ÀLCIDON, Ami de Trasile, et confident à Ilutalte
HELENE, Itourrice dEile;	HELENE, Itourrice dEile;
himoureuſe d’Adraſte.	hymoureuse d'Andraste.
FABRICE, Docteur Amoureux d’Helene.	FABRICE, Docteur Amoureux d'Hélène.
IVLIEN, Valet de Fabrice.	IVLIEN, Valet de Fabrice.
CE VR AMOVREVX.	CE VR AMOUREUX.
Comedie.	Comédie.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Mlaibon, Auſcholes	Mlaibon, Aûcholes
E le veux bien, ADRASTE, excuſe ta foibleſſe.	E le veux bien, ADRASTE, excuse ta faiblesse.
Pour te rendre agreable aux yeux d'vne Maiſtreſſe, Et pour cacher le feu qui te bruſle auiourd’huy, Paſſe tes ieunes ans ſous le pouuoir d’autruy.	Pour te rendre agréable aux yeux d'une Maîtresse, Et pour cacher le feu qui te brûle aujourd'hui, Passe tes jeunes ans sous le pouvoir d'autrui.
:	:
.	.
.	.
I-------- Abandonne ton Pere, & ſans craindre la bonie Change le nom d’Aaraſte en celuy de Cleonte, Suy tous les mouuements de cette affection Qui bleſſe ton honneur & ta condition;	I- -Abandonne ton Père, et sans craindre la bon Change le nom d'Aarraste en celui de Cléonte, Sui tous les mouvements de cette affection Qui blesse ton honneur et ta condition;
Terny ſi tu le veux le luſtre de ta race, Mau ſouffre que mon cœur au moins ſe ſatuface, Et que mon amitié cenſure iuſtement De Juutujme uegun qui pastenens i, Quoy tu ue reſponds rien?	Terni si tu le veux le lustre de ta race, Mau souffre que mon cœur au moins se satuface, Et que mon amitié censure justement De Juutujme uegun qui pastenens y, Quoi tu ue réponds rien?
ADRASTE.	ADRASTE.
I'aime, c’eſt tout te dire.	J'aime, c'est tout te dire.
Ce miracle viuant, dont i’adore l’Empire, Eliſe, d’où prouient ma joye & mon ſoucy, Eſt l’vnique ſujet qui me retient icy.	Ce miracle vivant, dont j'adore l'Empire, Elise, d'où provient ma joie et mon souci, Est l'unique sujet qui me retient ici.
Quelque puiſſant Demon m’oblige de la ſuiure:	Quelque puissant Démon m'oblige de la suivre:
Loin d’elle ie ne puis, & ne voudrois pas viure, Et quand quelqu’vn des Dieux penſant me ſecourir D'vn mal qui m’eſt ſi doux, viẽdroit pour me guerir;	Loin d'elle grande ne puis, et ne voudrais pas vivre, Et quand quelqu'un des Dieux pensant me secourir D'un mal qui m'est si doux, viendrait pour me guérir;
Mon cœur qui veut bruſter d’vne flame eternelle Appelleroit ſon aide importune & cruelle, Et bien loing de ſouffrir vn ſ laſche ſecours Gorieux de ſa peine il le fuiroit touſiours.	Mon cœur qui veut brûter d'une flamme éternelle Appelleroit son aide importune et cruelle, Et bien loing de souffrir un s lâche secours Gorieux de sa peine il le fuirait toujours.
ALCIDON.	ÀLCIDON.
Mais mon eſprit confus reſve à ton artifice, Chez ton propre nuariut ts mn en ſeruice, Qe ce deſſein m'eſtonne!	Mais mon esprit confus rêve à ton artifice, Chez ton propre nuariut ts min en service, Qe ce dessein m'étonne!
	
ADRASTE.	ADRASTE.
Ouy:	Oui:
ſans eſtre ſuſpect, Auec vn peu de peine & beaucoup de reſpect I’ay ſçeu par mes deuoirs ſi bien gaigner ſon ame Qu’il m’a fait confident de ſa nouuelle flame.	sans être suspect, Avec un peu de peine et beaucoup de respect J'ai su par mes devoirs si bien gagner son âme Qu'il m'a fait confident de sa nouvelle flamme.
Et ie vay de ſa part viſiter chaque iour Cette Belle qui fait noſtre commun Amour.	Et ici vais de sa part visiter chaque jour Cette Belle qui fait notre commun Amour.
Ne t’imagine pas alors que ie m’oublie, Ma fourbe diuertit noſtre melancolie, Et tu peux bien penſer que de cette façon Mais admire l’excés de ma bonne fortune:	Ne t'imagine pas alors que je m'oublie, Ma fourbe divertit notre mélancolie, Et tu peux bien penser que de cette façon Mais admire l'excès de ma bonne fortune:
Sa Nourrice amoureuſe à tous coups m’importune;	Sa Nourrice amoureuse à tous coups m'importune;
Et ne pouuant cacher ſon violent Amour Nous appreſte à tous deux à rire chaque iour.	Et ne pouvant cacher son violent Amour Nous apprête à tous deux à rire chaque jour.
Ie feins d’idolatrer cette vieille ridée, Quand elle me croit voir, elle eſt touſiours fardée, Et quãd ie l’entretiens pour luy plaire vn peu mieux I’appelle vn accident la rougeur de ſes yeux, Ie fais vn entregent de ſa mauuaiſe mine;	Je feins d'idolâtrer cette vieille ridée, Quand elle me croit voir, elle est toujours fardée, Et quand ie l'entretiens pour lui plaire un peu mieux J'appelle un accident la rougeur de ses yeux, Je fais un entregent de sa mauvaise mine;
Ie nomne ja laideur, vne béaute diurne:	Je nomne ja laideur, une béaute diurne:
Ses importunitez, des entretiens bien doux;	Ses importunités, des entretiens bien doux;
Bref pour mieux m'en mocquer ie feins d’eſtre jaloux.	Bref pour mieux m'en moquer ainsi feins d'être jaloux.
ALCIDON.	ÀLCIDON.
Comment jaloux?	Comment jaloux?
perſonne.	personne.
ADRASTE.	ADRASTE.
Et c'eſt ce qui t’abuſe, Vn Docteur aſſez vieux aime cette Meduſe, laune jausjuuuit vain, elle voit des appas Dans ce corps vigoureux qu’vn vieil homme n’a pai,	Et c'est ce qui t'abuse, Un Docteur assez vieux aime cette Méduse, laune jausjuvit vain, elle voit des appas Dans ce corps vigoureux qu'un vieil homme n'a pai,
ALCIDON.	ÀLCIDON.
& le rare ponsbeur qne l'Amont teprocure;	et le rare ponsbeur qne l'Amont teprocure;
Tu t’eſtimes heureux d’vne telle auanture?	Tu t'estimes heureux d'une telle aventure?
ADRASTE.	ADRASTE.
Tu t’eſlimes exempt de pareils accidens?	Tu t'élimes exempt de pareils accidents?
Mais apprẽs que l'Amour trompe les plus prudents, Il deſrobe les cœurs quand on les luy dénie, L’ame la plus rebelle eſt la plufloſt punie, Et pour te faire craindre:	Mais apprends que l'Amour trompe les plus prudents, Il dérobe les cœurs quand on les lui dénie, L'âme la plus rebelle est la pluflost ie, Et pour te faire craindre:
En vn mal quoy que lent Le plus tardif effort eſt le plus violent.	En un mal quoi que lent Le plus tardif effort est le plus violent.
Dans les bon-heurs pourtant que mon amour m'enuoye Ie ſens dans mon eſprit vne imparfaite ioye, Et mon Pere offencé de mon eſloignement, Eſt vn puiſſant obſtacle à mon contentement.	Dans les bonheurs pourtant que mon amour m'envoie Je sens dans mon esprit imparfaite joie, Et mon Père offensé de mon éloignement, Est un puissant obstacle à mon contentement.
ALCIDON.	ÀLCIDON.
Et c’eſt en tout cecy ce que i’y voy de pire, Ie te laiſſe à iuger tout ce qu’il m’a pû dire, Et combien mes raiſons ont combatu pour toy.	Et c'est en tout ceci ce que j'y vois de pire, Je te laisse à juger tout ce qu'il m'a pu dire, Et combien mes raisons ont combattu pour toi.
	
ADRASTE.	ADRASTE.
Quy, tu m’aimes beaucoup, Alcidon, ie le voy.	Qui, tu m'aimes beaucoup, Alcidon, Elle le vois.
Maus par cette amitié dont nos ames vnies Ont gouſté ſi ſouuent les douceurs infinies:	Maus par cette amitié dont nos âmes unies Ont goûté si souvent les douceurs infinies:
Par tout ce qui t’eſt cher, & ſi iamais ton cœur Respecte le pouuoir de quelque obiet vainqueur;	Par tout ce qui t'est cher, et si jamais ton cœur Respecte le pouvoir de quelque objet vainqueur;
Par ces bruſlans ſouſpirs, par cette aimable ſtame Qui doit chaſſer alors la froideur de ton ame;	Par ces brûlants soupirs, par cette aimable stame Qui doit chasser alors la froideur de ton âme;
Bref, obligeant Amy, par tout ce qui t’eſt cher, Va t’en trouuer mon Pere, & taſche à le touchez.	Bref, obligeant Ami, par tout ce qui t'est cher, Va t'en trouver mon Père, et tâche à le touchez.
ALCIDON.	ÀLCIDON.
Crois-tu que iuſques-là ſon bumeur ſoit facile?	Crois-tu que jusques-là son bumeur soit facile?
ADRASTE.	ADRASTE.
Ie ſçay bien qu'Alcidon peut beaucoup ſur Traſile;	Je sais bien qu'Alcidon peut beaucoup sur Trasile;
En tout cas, ſots certain que ie n’obeï plus Si ma ſubmißion n’en a que des refas.	En tout cas, sots certain que je n'obéir plus Si ma submion n'en a que des réas.
ALCIDON.	ÀLCIDON.
Puiſque tu t’y reſous:	Puisque tu t'y résous:
Et qu'vn autre remede de puiaamnsamd an darnmts Ie m’emploiray ſi bien pour contenter tes veux, Que Traſile appaisé voudra ce que tu veux Ouy, ie croy tant pouuoir ſur l’eſprit de ton Pere Que ſi ie l’en coniure il perdra ſa cholere.	Et qu'un autre remède de puiaamnsamd an darnts Je m'emploirai si bien pour contenter tes veux, Que Trasile apaisé voudra ce que tu veux Oui, ie Seigneur tant pouvoir sur l'esprit de ton Père Que si ie l'en conjure il perdra sa colère.
2	2
ADRASTE.	ADRASTE.
Officieux Amy, que tu ſçais iuſtement Comme il faut abliger.	Officieux Ami, que tu sais justement Comme il faut abliger.
ALCIDON.	ÀLCIDON.
Trefue de compliment.	Trefue de compliment.
Quelque libre qu’il ſoit il a de la contrainte, Ount que l'amine qui nom m eſt ſi ſainte Qu'elle ſeule me porte à ce iuſte deuoir.	Quelque libre qu'il soit il a de la contrainte, Unt que l'amine qui nom m est si sainte Qu'elle seule me porte à ce juste devoir.
ADRASTE.	ADRASTE.
Ie bruſle du deſir defia de vous reuoir.	Je brûle du désir défia de vous revoir.
AE SECONDE.	ÀE SECONDE.
T HELENE.	 HELENE.
Algré le temps vſé de me vieilles années, Que l'ordre du deſtin a preſque terminées Mon antique beauté pour ſe faire adorer Treuue encor des martyrs qu’elle fait ſouſpirer.	Algré le temps usé de me vieilles années, Que l'ordre du destin a presque terminées Mon antique beauté pour se faire adorer Treuve encor des martyrs qu'elle fait soupirer.
Mais, l’incommodité quand on eſt vn peu belle!	Mais, l'incommodité quand on est un peu belle!
Ie me ſens obligée à faire la cruelle;	Je me sens obligée à faire la cruelle;
Et malgré mon bumeur i’affecte à tous propos D’eſtre creuë inſenſible afin d’eſire en repos.	Et malgré mon bumeur j'affecte à tous propos D'être crue insensible afin d'éire en repos.
Autrement mille Amants attirez par mes charmes Pourroient aſſez ſouuent me noyer dans teurs larmes, Et preſſez qu’ils ſeroient de mille ardans deſirs Ils pourroient m’eſtouffer par leurs bruſlãs ſouſpirs.	Autrement mille Amants attirés par mes charmes Pourraient assez souvent me noyer dans teurs larmes, Et pressez qu'ils seraient de mille ardans désirs Ils pourraient m'étouffer par leurs brûlants soupirs.
Ce n’eſt pas que l’amour ne captiue mon ame;	Ce n'est pas que l'amour ne captive mon âme;
Ce n'eſt pas que mon cœur n’en reſſente la flame,	Ce n'est pas que mon cœur n'en ressente la flamme,
Et que ce puiſſant Dieu qui range tout ſous ſoy N’oblige mon eſprit à reſpecter ſa Loy:	Et que ce puissant Dieu qui range tout sous soi N'oblige mon esprit à respecter sa Loi:
Mais c’eſt qu’auec adreſſe & ſans qu’on me ſoupçonne Ie ſuccombe à l’amour d’vn Amãt qui m’en doune.	Mais c'est qu'avec adresse et sans qu'on me soupçonne Je succombe à l'amour d'un Amant qui m'en doune.
Quana i’en trouue quelqu’vn qui me merite vn peu I'obtï ſans contrainte à mon aimable feu, Et pourueu que la mine ou la taille m'en plaiſe Ie ſatufais alors mon humeur à ſon aiſe, Et i’aime à preuenir de cinq ou ſix momens L’innocente pudeur de ces ieunes Amans.	Quana j'en trouve quelqu'autre qui me mérite un peu J'obti sans contrainte à mon aimable feu, Et pourvu que la mine ou la taille m'en plaise Je satufais alors mon humeur à son aise, Et j'aime à prévenir de cinq ou six moments L'innocente pudeur de ces jeunes Amants.
C’eſt par ce moyen ſeul, tu le ſçais bien Cleonte, Que i’ay banny de toy cette premiere honte Et que par des ſouſpirs tout de flame & d’amour Ie taſche d’enhardir ton eſprit chaque iour.	C'est par ce moyen seul, tu le sais bien Cléonte, Que j'ai banni de toi cette première honte Et que par des soupirs tout de flamme et d'amour Je tâche d'enhardir ton esprit chaque jour.
Ouy, ce honteux Amant par vne amour irop grande N’oſe me demander ce que ie luy demande, Ie l’aime, il le voit bien, & ſon timide cœur Quoy qu’il bruſte d’amour, eſt tout glacé de peur.	Oui, ce honteux Amant par une amour irop grande N'ose me demander ce que ie luy demande, Je l'aime, il le voit bien, et son timide cœur Quoi qu'il brûte d'amour, est tout glacé de peur.
Mais i’entencs, ô bons Dieux!	Mais j'entends, ô bons Dieux!
le voicy qui s’approche.	le voici qui s'approche.
TROISIESME.	TROISIÈME.
ADRASTE, HELENE.	ADRASTE, HELENE.
ADRASTE.	ADRASTE.
I tu veux, Alcidon, mon bonheur eſt bien proche:	I tu veux, Alcidon, mon bonheur est bien proche:
Te peux tout ſur Traſile, & pour l’amour de toy Il perdra le courroux qu’il auoit cauatun Je	Te peux tout sur Trâile, et pour l'amour de toi Il perdra le courroux qu'il avait cavatun Je
HELENE.	HELENE.
qu’il rẽſve puiſſamment!	qu'il rẽsve puissamment!
ADRASTE.	ADRASTE.
Il eſt vray, ie l'oſſence.	Il est vrai, Seigneur l'ossence.
Mais n’a-t’il pas flechy ſouz la meſme puiſſance?	Mais n'a-t-il pas fléchi souz la même puissance?
Et ſes ieunes ardeurs n’ont-ils pas autrefois Adoré le vainqueur dont i’adore les loix?	Et ses jeunes ardeurs n'ont-ils pas autrefois Adoré le vainqueur dont j'adore les lois?
HELENE.	HELENE.
Et fongt a mou merite, ou te ſuis bien trompée.	Et fongt a mou mérite, ou te suis bien trompée.
ALRASTE.	ÀLRASTE.
Cette puiſſante main dont mon ame eſt frappée.	Cette puissante main dont mon âme est frappée.
Comme elle a triomphé de mon cœur auiourdhuy N’a-t'elle pas iadis ſceu triompher de luy?	Comme elle a triomphé de mon cœur auiourdhuy N'a-t'-elle pas jadis su triompher de Seigneur?
HELENE.	HELENE.
Ie m’en vay le tirer de ſon inquietude.	Je m'en vais le tirer de son inquiétude.
Cleonte, i’ay toufours haï l’lngratitude, Et ce cœur que ie porte ouuert à la pitié Ne reſiſta iamais aux traits de l’amitté.	Cléonte, j'ai toufours haï l'ngratitude, Et ce cœur que sans porte ouvert à la pitié Ne résista jamais aux traits de l'amitté.
Vous auez deſia ſceu par la plainte pãſſée Combien pour voſtre amour mon ame eſtoit bleßée:	Vous avez déjà su par la plainte passée Combien pour votre âme mon âme était blessée:
Vous ſçauez que vos yeux ont embrazé mon ſein, le vou ay heremenr deciare mon degein, Rendez moy la pareille, & faites, ie vous prie, Qu'on ſçache le ſujet de voſtre réſuerie.	Vous savez que vos yeux ont embrasé mon sein, le vou ai héremenr déciare mon dégein, Rendez moi la pareille, et faites, je vous prie, Qu'on sache le sujet de votre rêverie.
ADRASTE.	ADRASTE.
Quoy!	Quoi!
doutez vous encor qu’abſent de vos beaux yeux momtuu portesu borceisut mnejoient ennuyeux?	doutez -vous encor qu'absent de vos beaux yeux momtuu portesu borceisut mnejoient ennuyeux?
Apprenez loin de vous que rien ne me peut plaire, Les plus rares beautez excitent ma colere, Leurs plus puiputs attratts ue peunet iuen ſur moy Leur grace me déptaiſt, & ie ne ſçay pourquoy:	Apprenez loin de vous que rien ne me peut plaire, Les plus rares beautés excitent ma colère, Leurs plus puiputs attratts ue peunet juen sur moi Leur grâce me déptaist, et un ne sais pourquoi:
Maus il faut bien qu'Helene en elle ſeule aſſemble De plus riches treſors qu’elles n’en ont enſemble, Ent'eſt ce qui fait voir entre voſire beauté Et leurs foibles appas tant d’inegalité.	Maus il faut bien qu'Hélène en elle seule assemble De plus riches trésors qu'elles n'en ont ensemble, Ent-elle ce qui fait voir entre vosire beauté Et leurs faibles appas tant d'ingalité.
HELENE.	HELENE.
Cette raiſon, Cleonte, eſt aſſez manifeſte.	Cette raison, Cléonte, est assez manifeste.
Cet eſclat de beauté que tu vois qui me reſte.	Cet éclat de beauté que tu vois qui me reste.
Et contre qui les ans ont vainement taſché De monſtrer leur enuie, & leur deſpit caché Eſt le plus grand effort que face la Nature:	Et contre qui les ans ont vainement tâché De montrer leur envie, et leur dépit caché Est le plus grand effort que face la Nature:
Vne ieune beauté n’a que de l’impoſlure, Son embompoint excuſe ou cache ſes deffauts:	Une jeune beauté n'a que de l'imposlure, Son embompoint excuse ou cache ses défauts:
2 Mais en moy ſans ſurpriſe on voit ce que ie vaux, Et pourueu qu’vn Amant ait l'esprit fort habile, Il trouuera qu’en moy ie n’ay rien d’inutile, Et que le temps m’a pris ce qui ne ſeruoit plus:	2 Mais en moi sans surprise on voit ce que je vaux, Et pourvu qu'un Amant ait l'esprit fort habile, Il trouvera qu'en moi je n'ai rien d'inutile, Et que le temps m'a pris ce qui ne servait plus:
Ie n’ay plus de cheueux, ils eſtoient ſuperflus, Et par cette perruque ainſi bien adiuſtée La Nature par l’art eſt preſque ſurmontée.	Je n'ai plus de cheveux, ils étaient superflus, Et par cette perruque ainsi bien ajustée La Nature par l'art est presque surmontée.
←	
ADRASTE.	ADRASTE.
O le puiſſant motif pour accroiſtre mon feu!	Ô le puissant motif pour accroître mon feu!
O que vous eſtes propre!	Ô que vous êtes propre!
il y paroiſi ſi peu, Que i’ay creû tuſqu’icy que ceste treſſe noire Eflont autant à vous comme ces dents d’yuoire.	il y paraisi si peu, Que j'ai cru tusqu'ici que cette tresse noire Élont autant à vous comme ces dents d'yvoire.
HELENE.	HELENE.
Ie voy de plus en plus ton eſprit, cher Amant, Tu ne t’es point trompé dans ce raiſonnement:	Je vois de plus en plus ton esprit, cher Amant, Tu ne t'es point trompé dans ce raisonnement:
Car ces dents (mais ie tiens la choſe vn peu ſecrette Tout du long de la nuict dorment ſous la toilette.	Car ces dents (mais ie tiens la chose un peu secrète Tout du long de la nuit dorment sous la toilette.
Ce qui me fiſt ſonger à cette fictimn Fut l’effect d’vn catarre & d’vne fluxion Qui me cauſant vn iour vne douleur extréme, Me fit prenare deſſein.	Ce qui me fît songer à cette fictimn Fut l'effet d'un catarre et d'une fluxion Qui me causant un jour une douleur extrême, Me fit prenare dessein.
Mau voy comme ie t’aime, T’apprenant ces ſecrets qui m’importent ſi fort.	Mau vois comme tu t'aime, T'apprenant ces secrets qui m'importent si fort.
ADRASTE.	ADRASTE.
Afin que vos deux corps ayent vn parfait rapport, Et pour vous faire voir quelle eſt l’obeïſſance D’vn uuunpmromtucuſfouutone puiſſance, Souffrez moy d’en monſtrer des ſignes euidens, Me faiſant arracher les cheueux & les dents.	Afin que vos deux corps aient un parfait rapport, Et pour vous faire voir quelle est l'obéissance D'un uuunpmromtucusfouutone puissance, Souffrez moi d'en montrer des signes évidents, Me faisant arracher les cheveux et les dents.
HELENE.	HELENE.
Ta ſeule volonté me plaiſt & me contente, Outre que ton amour ſeroit trop euidente, Et qu’alors on pourroit auoir quelque ſoupçon Que tu n’euſſes le mal qui menace vn garçon, Et puis qui t’oſſeroit cét ornement ſi rare Seroit à mon aduis injufle & bien barbare, Tu perdrous tes cheueux?	Ta seule volonté me plaît et me contente, Outre que ton amour serait trop évidente, Et qu'alors on pourrait avoir quelque soupçon Que tu n'eusses le mal qui menace quelque garçon, Et puis qui t'osserait cet ornement si rare Serait à mon avis injufle et bien barbare, Tu perdrous tes cheveux?
& pour l’amour de moy?	et pour l'amour de moi?
Que ce mal.	Que ce mal.
heur artiue a tout auite qu'a toy;	heur artive a tout avite qu'a toi;
LA Ponme en cen efearn eſt tamau vren aimable.	LA Ponme en cen efearn est tamau vren aimable.
ADRASTE.	ADRASTE.
Ie dois donc deſirer que ce mal-heur accable.	Je dois donc désirer que ce malheur accable.
Qui?	Qui?
HELENE.	HELENE.
Fabrice.	Fabrice.
ADRASTE.	ADRASTE.
Leemrtas.	Leemrtas.
Et pourquoy luy voulez vous du mal?	Et pourquoi rien voulez -vous du mal?
ADRASTE.	ADRASTE.
I'endois luy ſouhaitter puis qu’il eſt mon riual, Cét Amant trop heureux eſt peut-eſtre la cauſe Qui fait que ma Maiſtreſſe à mon bon-heur s’oppoſe.	J'endais autre souhaiter puis qu'il est mon rival, Cet Amant trop heureux est peut-être la cause Qui fait que ma Maîtresse à mon bonheur s'oppose.
Il poſſede ſon cœur cependant que le mien Creue que ce Docteur luy retienne ſon bien.	Il possède son cœur cependant que le mien Creue que ce Docteur était retienne son bien.
HELENE.	HELENE.
Parlez vous tout de bon?	Parlez -vous tout de bon?
ADRASTE.	ADRASTE.
Ouy, ie le conſidere Comme le ſeul obiet qui produit ma colere, Comme le plus heureux des Amans d’auiourd’buy Puis qu’il a fait qu’Helene a de l’amour pour luy.	Oui, Seigneur le considère Comme le seul objet qui produit ma colère, Comme le plus heureux des Amants d'aujourd'bui Puis qu'il a fait qu'Hélène a de l'amour pour lui.
HELENE.	HELENE.
Ie veux rendre le calme à voſtre fantaſie, Et purger voſtre esprit de cette ialouſie.	Je veux rendre le calme à votre fantaisie, Et purger votre esprit de cette jalousie.
Il eſt vray que Fabrice eſt amoureux de moy, Ces yeux qui t’ont charmé l’ont mis deſſouz ma loy;	Il est vrai que Fabrice est amoureux de moi, Ces yeux qui t'ont charmé l'ont mis dessouz ma loi;
Son esprit s’eſt rangé deſſous le meſme empire:	Son esprit s'est rangé dessous le même empire:
Mais pour l’amour de toy ie ris quand il ſouspire.	Mais pour l'amour de toi On ris quand il soupire.
Et quand il m'entretient de l’excez de ſes feux Par vn deſdain moc queur ie meſpriſe ſes vœux, Tinterromps jes aiſcours, & fay tout mon poßible Afin de luy monſtrer que ie ſuis inſenſible.	Et quand il m'entretient de l'excès de ses feux Par un des moc queur ie méprise et fay, Tout mon aiscours, Afin de même mon passible Afin de même monstrer que je suis insensible.
AORASIE.	ÀORASIE.
Ay-ie tant de bon-heur?	Ai-je tant de bonheur?
HELENE.	HELENE.
Pour te le faire voir Ie veux par ce baiſer que tu vas receuoir.	Pour te le faire voir Je veux par ce baiser que tu vas recevoir.
douce- Refuſes tu?	douce- Refuses -tu?
