TREIACI	TREICI
Il diſoit dans un de ſes Poëmes, au rapport de Parthenius, qu’Achille avoit fait la conqueſte de cette Iſle avantque de joindre l’armée des Grecs, & qu’il y avoit meſme trouvé une Princeſſe qui s’eſtoit épriſe d’amour pour luy.	Il disait dans un de ses Poëmes, au rapport de Parthénius, qu'Achille avait fait la conquête de cette Île avantque de joindre l'armée des Grecs, et qu'il y avait même trouvé une Princesse qui s'était éprise d'amour pour lui.
Voila les principales choſes, en quoy je me ſuis un peu éloigné de l’Oeconomie & de la Fable d’Euripide.	Voilà les principales choses, en quoi je me suis un peu éloigné de l'Oeconomie et de la Fable d'Euripide.
Pour ce qui regarde les Paſſions, je me ſuis attaché à le ſuivre plus exactement.	Pour ce qui regarde les Passions, je me suis attaché à le suivre plus exactement.
J’avouë que je luy doy un bon nombre des endroits qui ont eſté les plus approuvez dãs ma Tragédie.	J'avoue que je lui dois un bon nombre des endroits qui ont été les plus approuvés dans ma Tragédie.
Et je l’avouë d’autant plus volontiers, que ces approbations m’ont confirmé dans l’eſtime & dans la veneration que j’ay toûſours cu pour les Ouvrages qui nous reſtent de l’Antiquité.	Et je l'avoue d'autant plus volontiers, que ces approbations m'ont confirmé dans l'estime et dans la vénération que j'ai toujours cv pour les Ouvrages qui nous restent de l'Antiquité.
J’ay reconnu avec plaiſir par l’effet qu’a pro luit ſur nôtre Theatre tout ce que j’ay imité ou d’Homere, ou d’Euripide, que le bon ſens & la raiſon eſtoient les meſmes dans tous les Siecles.	J'ai reconnu avec plaisir par l'effet qu'a pro luit sur notre Théâtre tout ce que j'ai imité ou d'Homère, ou d'Euripide, que le bon sens et la raison étaient les mêmes dans tous les Siècles.
Le gouſt de Paris s’eſt trouvé conforme à celuy d’Athenes.	Le goût de Paris s'est trouvé conforme à celui d'Athènes.
Mes ſpectateurs ont eſté émus des meſmes choſes qui ont mis autre fois en larmes le plus ſçavant peuple de la Grece, & qui ont fait dire, qu’entre les Poëtes, Euripide eſtoit extrémement tragique, τραγικώτατος, c’eſt à dire qu’il ſçavoit merveilleuſement exciter la compaſſion & la terreur, qui ſont les veritables effets de la Tragédie.	Mes spectateurs ont été émus des mêmes choses qui ont mis autre fois en larmes le plus savant peuple de la Grèce, et qui ont fait dire, qu'entre les Poètes, Euripide était extrêmement tragique, τραγικώτατος, est dire il sçavoit merveilleusement exciter la compassion et la terreur, qui sont les véritables effets de la Tragédie.
Je m’eſtonne apres cela que des Modernes ayent témoigné depuis peu tant de dégouſt pour ce grand Poëte dans le jugement qu’ils ont fait de ſon Alceſte.	Je m'étonne après cela que des Modernes aient témoigné depuis peu tant de dégoût pour ce grand Poète dans le jugement qu'ils ont fait de son Alceste.
Il ne s’agit point icy de l’Alceſte.	Il ne s'agit point ici de l'Alceste.
Mais en verité j’ay trop d’obligation à Euripide, pour ne pas prendre quelque ſoin de ſa memoire, & pour laiſſer échapper l’occaſion de le reconcilier avec ces Meſſieurs.	Mais en vérité j'ai trop d'obligation à Euripide, pour ne pas prendre quelque soin de sa mémoire, et pour laisser échapper l'occasion de le réconcilier avec ces Messieurs.
Je m’aſſure qu’il n’eſt ſi mal dans leur eſprit, que parcé qu’ils n’ont pas bien leû l’Ouvrage ſur lequel ils l’ont condanné.	Je m'assure qu'il n'est si mal dans leur esprit, que parcé qu'ils n'ont pas bien lu l'Ouvrage sur lequel ils l'ont condamné.
J’ay choiſi la plus importante de raiſon de parler ainſi.	J'ai choisi la plus importante de raison de parler ainsi.
Je dy la plus importante de leurs Objections.	Je dis la plus importante de leurs Objections.
Car ils la repetent à chaque page, & ils ne ſoupçonnent pas ſeulement que l’on y puiſſe repliquer.	Car ils la répètent à chaque page, et ils ne soupçonnent pas seulement que l'on y puisse répliquer.
Il y a dans l’Alceſte d’Euripide une Scene merveilleuſe, où Alceſte qui ſe meurt & qui ne peut plus ſe ſoûtenir, dit à ſon mary les derniers Adieux.	Il y a dans l'Alteste d'Euripide une Scène merveilleuse, où Alteste qui se meurt et qui ne peut plus se soutenir, dit à son mari les derniers Adieux.
Admete tout en larmes la prie de reprendre ſes forces & de ne ſe point abandonner elle meſme.	Admète tout en larmes la prie de reprendre ses forces et de ne se point abandonner elle -même.
Alceſte qui a l’image de la mort devant les yeux, lui parle ainſi, Ie voy dé-ja la rame, & la barque fatale:	Alceste qui a l'image de la mort devant les yeux, lui parle ainsi, Je vois déjà la rame, et la barque fatale:
I’entens le vieux Nocher ſur la rive infernale.	J'entends le vieux Nocher sur la rive infernale.
Impatient il crie;	Impatient il crie;
On t’attend icy bas, Tout eſt preſt, deſcens, vien, ne me retarde pas.	On t'attend ici bas, Tout est prêt, descends, viens, ne me retarde pas.
J’aurois ſouhaitté de pouvoir exprimer dans ces vers les graces qu’ils ont dans l’original.	J'aurais souhaité de pouvoir exprimer dans ces vers les grâces qu'ils ont dans l'original.
Mais au moins en voilà le ſens.	Mais au moins en voilà le sens.
Voicy comme ces Meſſieurs les ont entendus.	Voici comme ces Messieurs les ont entendus.
Il leur eſt tombé entre les mains une malheureuſe édition d’Euripide, où l’Imprimeur a oublié de mettre dans le latin, à coſté de ces vers un Al.	Il leur est tombé entre les mains une malheureuse édition d'Euripide, où l'Imprimeur a oublié de mettre dans le latin, à côté de ces vers un Al.
qui ſignifie que c’eſt Alceſte qui parle, & à coſté des vers ſuivans un Ad.	qui signifie que c'est Alteste qui parle, et à côté des vers suivants un Ad.
qui ſignifie que c’eſt Admete qui répond.	qui signifie que c'est Admète qui répond.
Là deſſus il leur eſt venu dans l’eſprit la plus étrange penſée du monde.	Là -dessus il leur est venu dans l'esprit la plus étrange pensée du monde.
Ils ont mis dans la bouche d’Admete les paroles qu’Alceſte dit à Admete, & celles qu’elle ſe fait dire par Charon.	Ils ont mis dans la bouche d'Admète les paroles qu'Alceste dit à Admette, et celles qu'elle se fait dire par Charon.
Ainſi ils ſuppoſent qu’Admete quoy qu’il ſoit en parfaite ſanté) penſe voir déja Charon qui le vient prendre.	Ainsi ils supposent qu'Admète quoi qu’il soit en parfaite santé) pense voir déjà Charon qui le vient prendre.
Et au lieu que dans ce paſſage d’Euripide, Charon impatient preſſe Alceſte de le venir trouver;	Et au lieu que dans ce passage d'Euripide, Charon impatient presse Alteste de le venir trouver;
Selon ces Meſſieurs c’eſt Admete effrayé qui eſt l’impatient, & qui preſſe Alceſte d’expirer de peur que Charon ne le prenne.	Selon ces Messieurs c'est Admète effrayé qui est l'impatient, et qui presse Alceste d'expirer de peur que Charon ne le prenne.
Il l’exhorte, ce ſont leurs termes, à avoir courage, à ne pas faire une laſcheté, & à mourir de bonne grase, il interromp les adieux d'Alceſte pour lui dire de ſe dépeſcher de mourir.	Il l'exhorte, ce sont leurs termes, à avoir courage, à ne pas faire une lâcheté, et à mourir de bonne grâe, il interrompt les adieux d'Alceste pour lui dire de se dépêcher de mourir.
Peu s’en faut à les entendre, qu’il ne la faſſe mourir lul meſme.	Peu s'en faut à les entendre, qu'il ne la fasse mourir lul même.
Ce ſentiment leur a paru fort vilain.	Ce sentiment leur a paru fort vilain.
Et ils ont raiſon.	Et ils ont raison.
Il n’y à perſonne qui n’en fuſt tres ſcandaliſé.	Il n'y à personne qui n'en fût très scandalisé.
Mais comment l’ont ils pû attribuer à Euripide?	Mais comment l'ont ils pu attribuer à Euripide?
En verité, quand toutes les autres éditions où cet Al.	En vérité, quand toutes les autres éditions où cet Al.
n’a point eſté oublié ne donneroient pas un démẽti au malheureux Imprimeur qui les a trompez;	n'a point été oublié ne donneraient pas un démẽti au malheureux Imprimeur qui les a trompez;
la ſuite de ces quatre vers & tous les diſcours qu’Admete tient dans la meſme Scene, eſtoient plus que ſuffiſans pour les empeſcher de tomber dans une erreur ſi deraiſonnable.	la suite de ces quatre vers et tous les discours qu'Admeté tient dans la même Scène, étaient plus que suffisans pour les empêcher de tomber dans une erreur si déraisonnable.
Car Admete bien éloigné de preſſer Alceſte de mourir, s’écrie que toutes les morts enſemble lui ſeroient moins cruelles, que de la, voir en l’état ou il la voit.	Car Admette bien éloigné de presser Alceste de mourir, s'écrie que toutes les morts ensemble lui seraient moins cruelles, que de la, voir en l'état ou il la voit.
Il la conjure de l’entraiſner avec elle.	Il la conjure de l'entraîner avec elle.
Il ne peut plus vivre ſi elle meurt.	Il ne peut plus vivre si elle meurt.
Il vit en elle.	Il vit en elle.
Il ne reſpire que pour elle.	Il ne respire que pour elle.
Ils ne ſont pas plus heureux dans les autres Objections.	Ils ne sont pas plus heureux dans les autres Objections.
Ils diſent, par exemple, qu’Euripide a fait deux Epoux ſurannez d’Admete & d’Alceſte, que l’un eſt un vieux mary, & l’autre une Princeſſe déja ſur l’âge.	Ils disent, par exemple, qu'Euripide a fait deux Époux suranné d'Admete et d'Alceste, que l'un est un vieux mari, et l'autre une Princesse déjà sur l'âge.
Euripide a pris ſoin de leur répondre en un ſeul vers, où il .	Euripide a pris soin de leur répondre en un seul vers, où il .
fait dire par le Chœur, qu’Alceſte toute jeu¬„ ne & dans la premiere fleur de ſon âge expire.	fait dire par le Chœur, qu'Alteste toute jeu„ ne et dans la première fleur de son âge expire.
pour ſon Jeune Epoux.	pour son Jeune Époux.
Ils reprochent encore à Alceſte qu’elle a deux grands Enfans à marier.	Ils reprochent encore à Alceste qu'elle a deux grands Enfants à marier.
Comment n’ontils point leû le contraire en cent endroits, & ſur fout dans ce beau Recit, où l’on dépeint Alceſte „ mourante au milieu de ſes deux petits Enfans » qui la tirent en pleurant par la robbe, & qu’elle „ prend ſur ſes bras l’un apres l’autre pour les » baiſer?	Comment n'ontils point leû le contraire en cent endroits, et sur fout dans ce beau Recit, où l'on dépeint Alceste „ mourante au milieu de ses deux petits Enfants " qui la tirent en pleurant par la robe, et qu'elle „ prend sur ses bras l'un après l'autre pour les " baiser?
Tout le reſte de leurs critiques eſt à peu prés de la force de celles-cy.	Tout le reste de leurs critiques est à peu près de la force de celles-cy.
Mais je croy qu’en voilà aſſez pour la défenſe de mon Auteur.	Mais je crois qu'en voilà assez pour la défense de mon Auteur.
Je conſeille à ces Meſſieurs de ne plus decider ſi legerement ſur les ouvrages des Anciens.	Je conseille à ces Messieurs de ne plus décider si légèrement sur les ouvrages des Anciens.
Un homme tel qu’Euripide meritoit au moins qu’ils l’examinaſſent puis qu’ils avoient ,envie de le condanner.	Un homme tel qu'Euripide méritait au moins qu'ils l'examinassent puis qu'ils avaient ,envie de le condamner.
Ils devoient ſe ſouve„ nir de ces ſages paroles de Quintilien;	Ils devaient se souve„ nir de ces sages paroles de Quintilien;
Il faut ,eſtre extrémement circonſpect & tres retenu ,à prononcer ſur les Ouvrages de ces grands » Hommes, de peur qu’il ne nous arrive, comme » à pluſieurs, de condanner ce que nous n’enten„ dons pas.	Il faut être extrêmement circonspect et très retenu ,à prononcer sur les Ouvrages de ces grands " Hommes, de peur qu'il ne nous arrive, comme " à plusieurs, de condamner ce que nous n'ent„ dons pas.
Et s’il faut tomber dans quelque ex» cez, encore vaut-il mieux pecher en admi„ rant tout dans leurs écrits, qu’en y condannant „ beaucoup de choſes.	Et s'il faut tomber dans quelque ex " cez, encore vaut-il mieux pécher en admi„ rant tout dans leurs écrits, qu'en y condamnant „ beaucoup de choses.
Modeſté tamen & circun.	Modesté tamen et circun.
ſpecto judicio de tantis viris pronuntiandum eſt, ne ( quod pleriſque accidit) damnent que non intelligunt.	specto judicio de tantis viris pronuntiandum est, ne ( quod plérisque accidit) damnent que non intelligunt.
Ac ſi neceſſe eſt in alteram errare partem, omnia eorum legentibus placere, quàm multa diſplicere maluerim.	Ac si necesse est in alteram errare partem, omnia eorum légentibus placère, quà multa displicere maluerim.
EXTRAIT DV PRIVILEGE du Roy.	EXTRAIT DU PRIVILÈGE du Roi.
DAR grace & Privilege du Roy, donné à SainA Germain en Laye le ving-huictiéme jour de Janvier 1675.	DAR grâce et Privilège du Roi, donné à SainA Germain en Laye le ving-huictième jour de Janvier 1675.
ſigné par le Roy en ſon Conſeil, DALENCE';	signé par le Roi en son Conseil, DALENCE';
il eſt permis au Sieur Racine, Treſorier de France, de faire imprimer, vendre & debiter par tel LiA braire ou Imprimeur qu’il aura choiſi, une Piece de Theatre par luy compoſée, intitulée Iphigenie.	il est permis au Sieur Racine, Trésorier de France, de faire imprimer, vendre et de par tel LiA braire ou Imprimeur qu'il aura choisi, une Pièce de Theatre par un composée, intitulée Iphigénie.
Tragedie?	Tragédie?
& ce pendant le temps & eſpace de dix années, avec défenſe à toutes perſonnes de quelque qualité ou condition qu’elles ſoient, d’en vendre ny ladebiter aucun exemplaire, que de ceux qui auront eſté imprimez de ſon conſentement, à peine de trois nin nvres d’amande, confiſcation des exemplaires, & autres peines portées par ledit Privilege.	et ce pendant le temps et espace de dix années, avec défense à toutes personnes de quelque qualité ou condition qu'elles soient, d'en vendre ni ladebiter aucun exemplaire, que de ceux qui auront été imprimés de son consentement, à peine de trois nin ninvres d'amende, confiscation des exemplaires, et autres peines portées par ledit Privilège.
Ledit Sieur Racine a cedé le droit dudit Privilege à Claude Barbin, pour en joüir ſuivant le contenu en iceluy.	Ledit Sieur Racine à cédé le droit dudit Privilège à Claude Barbin, pour en jouir suivant le contenu en icelui.
Regiſtré ſur le Livre de la Communauté.	Registré sur le Livre de la Communauté.
ACTEVRS.	ACTEURS.
AGAMEMNON,	AGAMEMNON,
ERIPHILE, AREnO,	ERIPHILE, AREnO,
Domeſtiques d’Agamemnon.	Domestiques d'Agamemnon.
ÆGINE, DORIS, relinne de la ſuite de Clytemneſtre.	ÆGINE, DORIS, relinne de la suite de Clytemnêtre.
Confidente d’Eriphile.	Confidente d'Eriphile.
TROUPE DE GARDES.	TROUPE DE GARDES.
La Scene eſt en Aulide, dans la Tente d’Agamemnon.	La Scène est en Aulide, dans la Tente d'Agamemnon.
IPHIGENIE	IPHIGENIE
IPHIGENIE 2 11 TRAGEDIE.	IPHIGENIE 2 11 TRAGÉDIE.
ACIE IREMILR.	ACIE IREMILR.
SCENE I.	SCÈNE I.
AGAMEMNON, ARCAS.	AGAMEMNON, ARCAS.
AGAMEMNON.	AGAMEMNON.
UY, c’eſt Agamemnon, c’eſt ton Roy qui t'éveille.	UY, c'est Agamemnon, c'est ton Roi qui t'éveille.
OVien, reconnoy la voix qui frappe ton oreille.	OUien, reconnais la voix qui frappe ton oreille.
ARCAS.	ARCAS.
C’eſt vous meſme, Seigneur!	C'est vous -même, Seigneur!
Quel important beſoin Vous a fait devancer l’Aurore de ſi loin?	Quel important besoin Vous a fait devancer l'Aurore de si loin?
I peine un foible jour vous éclaire & me guide.	I peine un faible jour vous éclaire et me guide.
os yeux ſeuls & les miens ſont ouverts dans l’Aulide.	os yeux seuls et les miens sont ouverts dans l'Aulide.
Ivez vous dans les airs entendu quelque bruit?	Juvez -vous dans les airs entendu quelque bruit?
Les Vents nous auroient-ils exaucez cette nuit?	Les Vents nous auraient-ils exaucés cette nuit?
Mais tout dort, & l’Armée, & les Vents, & Neptune.	Mais tout dort, et l'Armée, et les Vents, et Neptune.
AGAMEMNON.	AGAMEMNON.
Heureux!	Heureux!
qui ſatisfait de ſon humble fortune, Libre du joug ſuperbe où je ſuis attaché, Vit dans l’eſtat obſcur oû les Dieux l’ont caché	qui satisfait de son humble fortune, Libre du joug superbe où je suis attaché, Vit dans l'état obscur ouû les Dieux l'ont caché
ARCAS.	ARCAS.
Et depuis quand, Seigneur, tenez vous ce langage;	Et depuis quand, Seigneur, tenez vous ce langage;
Comblé de tant d’honneurs, par quel ſecret outrage Les Dieux à vos deſirs toûjours ſi complaiſans, Vous font-ils meſconnoiſtre, & haïr leurs preſens?	Comblé de tant d'honneurs, par quel secret outrage Les Dieux à vos désirs toujours si complaisants, Vous font-ils méconnaître, et haïr leurs présents?
Roy, Pere, Eſpoux heureux, Fils du puiſſant Atrée Vous poſſedez des Grecs la plus riche Contrée.	Roi, Père, Espoux heureux, Fils du puissant Atrée Vous possédez des Grecs la plus riche Contrée.
Du ſang de Juppiter iſſu de tous coſtez, L’hymen vous lie encore aux Dieux dont vous ſortez, Le jeune Achille enfin vanté par tant d’Oracles, Achille à qui le Ciel promet tant de miracles, Recherche voſtre Fille, & d’un Hymen ſi beau Veut dans Troye embraſée allumer le flambeau.	Du sang de Juppiter issu de tous côtés, L'hymen vous lie encore aux Dieux dont vous sortez, Le jeune Achille enfin vanté par tant d'Oracles, Achille à qui le Ciel promet tant de miracles, Recherche votre Fille, et d'un Hymen si beau Veut dans Troie embrasée allumer le flambeau.
Quelle gloire, Seigneur, quels triomphes égalent Le ſpectacle pompeux que ces bords vous étalent, Tous ces mille Vaiſſeaux, qui chargez de vingt Rois N’attendent que les vents pour partir ſous vos loix?	Quelle gloire, Seigneur, quels triomphes égalent Le spectacle pompeux que ces bords vous étalent, Tous ces mille Vaisseaux, qui chargez de vingt Rois N'attendent que les vents pour partir sous vos lois?
Ce long calme, il eſt vray, retarde vos Conqueſtes, Ces vents depuis trois mois enchaiſnez ſur nos teſtes D’Ilion trop long temps vous ferment le chemin.	Ce long calme, il est vrai, retarde vos Conquêtes, Ces vents depuis trois mois enchaînés sur nos têtes D'Ilion trop long temps vous ferment le chemin.
Mais parmy tant d’honneurs vous eſtes homme enfin, Tandis que vous vivrez, le Sort qui tousjours change, Ne vous a point promis un bonheur ſans meſlange.	Mais parmi tant d'honneurs vous êtes homme enfin, Tandis que vous vivrez, le Sort qui toujours change, Ne vous a point promis un bonheur sans mélange.
bientoit.	bientait.
Mais queis maineurs dans ce billet tracez Vous arrachent, Seigneur, les pleurs que vous verſez!	Mais que maineurs dans ce billet tracés Vous arrachent, Seigneur, les pleurs que vous versez!
Voſtre Oreſte au berceau va-t’il finir ſa vie?	Votre Oreste au berceau va-t-il finir sa vie?
Pleurez vous Clytemneſtre, ou bien Iphigenie?	Pleurez -vous Clytemnaître, ou bien Iphigénie?
Qu’eſt-ce qu’on vous eſcrit?	Qu'est-ce qu'on vous écrit?
Daignez m’en avertir,	Daignez m'en avertir,
AGAMEMNON.	AGAMEMNON.
Non, tu ne mourras point, je n’y puis conſentir,	Non, tu ne mourras point, je n'y puis consentir,
Seigneur.	Seigneur.
ARCAS.	ARCAS.
AGAMEMNON.	AGAMEMNON.
Tu vois mon trouble.	Tu vois mon trouble.
Appren ce qui le cauſe.	Appren ce qui le cause.
Et juge s’il eſt temps, Amy, que je repoſe.	Et juge s'il est temps, Ami, que je repose.
Tu te ſouviens du jour qu’en Aulide aſſemblez Nos vaiſſeaux par les vents ſembloient eſtre appellez, Nous partions.	Tu te souviens du jour qu'en Aulide assemblés Nos vaisseaux par les vents semblaient être appellez, Nous partions.
Et dé-ja par mille cris de joye Nous menaſſions de loin les Rivages de Troye.	Et déjà par mille cris de joie Nous menassions de loin les Rivages de Troie.
Un prodige eſtonnant fit taire ce tranſport, Le vent qui nous flattoit nous laiſſa dans le Port.	Un prodige étonnant fit taire ce transport, Le vent qui nous flattait nous laissa dans le Port.
Il fallut s’arreſter, & la rame inutile Fatigua vainement une mer immobile.	Il fallut s'arrêter, et la rame inutile Fatigua vainement une mer immobile.
Ce miracle inoüi me fit tourner les yeux Vers la Divinité, qu’on adore en ces lieux.	Ce miracle inoüi me fit tourner les yeux Vers la Divinité, qu'on adore en ces lieux.
Suivi de Menelas, de Neſtor, & d’Ulyſſe, J’offris ſur ſes autels un ſecret ſacrifice.	Suivi de Ménélas, de Nestor, et d'Ulysse, J'offris sur ses autels un secret sacrifice.
Quelle fut ſa reſponſe!	Quelle fut sa réponse!
Et quel devins-je, Arcas, Quand j’entendis ces mots, prononcez par Calchas!	Et quel devins-je, Arcas, Quand j'entendis ces mots, prononcez par Calchas!
Vous armez contre Troye une puiſſance vaine, Si dans ui ſacrifice auguſte & ſolennelu ne Amue un jang a Helene De Diane en ces lieux n’enſanglante l’autel.	Vous armez contre Troie une puissance vaine, Si dans ui sacrifice auguste et solennelu ne Amue un jang a Hélène De Diane en ces lieux n'ensanglante l'autel.
vur ovtenir les vents que le ciel vous dénie, SacrifieZ Iphigente.	vur otenir les vents que le ciel vous dénie, Sacrifiez Iphigente.
Voſtre Fille!	Votre Fille!
ARCAS.	ARCAS.
AGAMEMNON.	AGAMEMNON.
Surpris, comme tu peux penſer, Je ſentis dans mon corps tout mon ſang ſe glacer.	Surpris, comme tu peux penser, Je sentis dans mon corps tout mon sang se glacer.
Je demeuray ſans voix, & n’en repris l’uſage, Que par mille ſanglots qui ſe firent paſſage.	Je demeurai sans voix, et n'en repris l'usage, Que par mille sanglots qui se firent passage.
