YV RE, R Y	YU RE, R Y
May 1654 BOLLIOVD MERMET.	May 1654 BOLLIOUD MERMET.
Oit fait ſuiuant les Concluſions du OProcureur du Roy ce 22.	Oit fait suivant les Conclusions du OProcureur du Roi ce 22.
May 1654.	May 1654.
M1 4	M1 4
DVSAVZEY.	DUSAUZEY.
ACTEVRS.	ACTEURS.
ACTEN F le ua .	ACTEN F le ua .
I 3liiimi ALFONCE, Roylde Sicile.	I 3liimi ALFONCE, Roilde Sicile.
ALEXANDRE, Duc de Terre-neuue TANCREDE, Comte de Tarente.	ALEXANDRE, Duc de Terre-neuve TANCREDE, Comte de Tarente.
LILIANE, Fille du Duc Alexandre.	LILIANE, Fille du Duc Alexandre.
LEONOR, Sœur du Roy.	LEONOR, Sœur du Roi.
LEANDRE, Gentil homme amoureur de Leonor.	LÉANDRE, Gentil homme amoureur de Leonor.
MELITE, Suiuante de Liliane.	MELITE, Suivante de Liliane.
FABRICE, Plaiſant du Roy.	FABRICE, Plaisant du Roi.
FILENE, Seruiteur.	SILÈNE, Serviteur.
THBDIDI JET AGYS, General d’armée.	THBDIDI JET AGIS, Général d'armée.
THEODOSE, Admiral.	THÉODOSE, Admiral.
ALCANDRE, Magicien.	ÀLCANDRE, Magicien.
LE BOVRREAV.	LE BOURREAU.
LISIS, Vallet du Duc.	LISIS, Vallet du Duc.
DORAME, Capitaine des Gardes.	DORAME, Capitaine des Gardes.
La Scene eſt à Palerme en Sicile.	La Scène est à Palerme en Sicile.
LAEDITO DE L'OVBLY COMIEDILe	LADITO DE L'OUBLI COMIEDILe
ACTE I.	ACTE I.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LEONOR, LEANDRE.	LEONOR, LÉANDRE.
LEONOR.	LEONOR.
IEVX!	JEUX!
qui reſiſteroit à de ſi beaux deſtours?	qui résisterait à de si beaux détours?
Cét arbre, & ce rocher ſont amoureux, on ſourds, Et ie croy qu’à t’oüyr ces fleurs & ces fontaines Ont quelque ſouuenir de leurs premieres peines.	Cet arbre, et ce rocher sont amoureux, on sourds, Et je crois qu'à t'ouïr ces fleurs et ces fontaines Ont quelque souvenir de leurs premières peines.
LEANDRE.	LÉANDRE.
Dites plutoſt qu’à voir vos celeſtes attraits, Elles ſentent qu'Amour poſſede encor des traits;	Dites plutôt qu'à voir vos célestes attraits, Elles sentent qu'Amour possède encor des traits;
Cet œillet ſe penchant ſemble vous rendre hommage.	Cet œillet se penchant semble vous rendre hommage.
Et n’eſtre plus charmé de ſon propre viſage.	Et n'être plus charmé de son propre visage.
ECHO ne l’ayme plus, & le laiſſe en repos;	ECHO ne l'aime plus, et le laisse en repos;
Pour reſpondre, Madame, à vos charmans propose Iugez ſi i’ay trop dit, & ſi ie me dois taire, Oǹ meſme les rochers ne le peuuent pas faire.	Pour répondre, Madame, à vos charmants propose Jugez si j'ai trop dit, et si ici me dois taire, Â mes les rochers ne le peuvent pas faire.
LEONOR.	LEONOR.
Crois-tu que rien auſſi me puiſſe reſioüyr, Et captiuer mon ame à l’égal de t’oüyr?	Crois-tu que rien aussi me puisse réjouir, Et captiver mon âme à l'égal de t'oüyr?
Ton eſprit te dictant de ſi rares merueilles, Laſſera bien plutoſt ta voix que mes oreilles.	Ton esprit te dictant de si rares merveilles, Lassera bien plutôt ta voix que mes oreilles.
Que puis-ie deſirer qui me ſoit ſi charmant, Que d’entendre les noms de Maiſtreſſe & d’Amant?	Que puis-je désirer qui me soit si charmant, Que d'entendre les noms de Maîtresse et d'Amant?
Quelques foibles appas dont le Ciel m’ayt doüée, Leandre, ie ſuis fille, & veux eſtre loüée.	Quelques faibles appas dont le Ciel m'ait doüée, Léandre, ie suis fille, et veux être louée.
I’ayme les mots d’attraits, de charmes, de beauté, De liens, de ſouſpirs, de feux, de cruauté, I’ayme à voir ton humeur, en tout poinct me complaire, Ai'oüyr begayer, de peur de me deſplaire Ie me plais à te voir exprimer ton ſoucy, Ietter les yeux au Ciel, & faire le tranſy.	J'aime les mots d'attraits, de charmes, de beauté, De liens, de soupirs, de feux, de cruauté, J'aime à voir ton humeur, en tout point me complaire, Aj'oüyr bégayer, de peur de me déplaire Je me plais à te voir exprimer ton souci, Jeter les yeux au Ciel, et faire le trans.
Les fleurs n’ont point l’odeur ſi douce, ny ſi forte, Que quand ta belle main ſur mon ſein les apporter.	Les fleurs n'ont point l'odeur si douce, ni si forte, Que quand ta belle main sur mon sein les apporter.
Ie ne vois point de vers dignes d’eſtre priſez, Si ton diuin eſprit ne les a compoſez.	Je ne vois point de vers dignes d'être prisez, Si ton divin esprit ne les a composés.
Ie hay le ſon du luth, & ne le puis entendre, S’il eſt en d’autres mains qu’en celles de Leandre, Moy-meſme ie me hay de parler ſi long-temps, Puis-que ta ſeule voix rend mes deſirs contens.	Je hais le son du luth, et ne le puis entendre, S'il est en d'autres mains qu'en celles de Léandre, Moi-même enfin me haï de parler si longtemps, Puis-que ta seule voix rend mes désirs contents.
LEANDRE.	LÉANDRE.
Et Leandre ſe hayt de ce que ſa naiſſance, Luy reproche d'aymer auec tant de licenceEt de hauſſer les yeux où des Roys ſeulement Ont droist de s’eſtablir tout leur contentement, De quelque doux pinceau qu’on figure leur vie.	Et Léanre se hait de ce que sa naissance, Lui reproche d'aimer auec tant de licenceEt de hausser les yeux où des Rois seulement Ont droist de s'établir tout leur contentement, De quelque doux pinceau qu'on figure leur vie.
Iamais leur dignité ne toucha mon enuie.	Jamais leur dignité ne toucha mon envie.
tel, Et quel que ie ſois né, ie ſçay qu’vn Sceptre eſt Qu'il peſe infiniment en la main d’vn mortel.	tel, Et quel que Dieu sois né, Elle sais qu'un Sceptre est Qu'il pèse infiniment en la main d' mortel.
Mais ſans le ſouſtenir, poſſeder vne Reyne!	Mais sans le soutenir, posséder une Reine!
Voir deſſus vos deſirs mon ame ſouueraine!	Voir dessus vos désirs mon âme souveraine!
Estre preſt d’obtenir la qualité d’Epoux, C’eſt bien à noſtre Hymen procurer des jaloux.	Être prêt d'obtenir la qualité d'Époux, C'est bien à notre Hymen procurer des jaloux.
Que d’eſprits amoureux!	Que d'esprits amoureux!
que de puiſſants Monarques, menatent mon destin de la rigueur des Parques, Qu’ils employeront de force à me faire quitter, Vn bien que leur grandeur leur fait mieux meriter.	que de puissants Monarques, mennent mon destin de la rigueur des Parques, Qu'ils emploieront de force à me faire quitter, Un bien que leur grandeur leur fait mieux mériter.
LEONOR.	LEONOR.
Tu couures, cheramant, d’vne vaine contrainte, La meſme ambition dont mon ame est atteinte, Et iamais ton eſprit ne s’rmagineroit, Combien vn diadeſme à ton front me plairoit.	Tu couvres, cheramant, d'une vaine contrainte, La même ambition dont mon âme est atteinte, Et jamais ton esprit ne s'rmaginerait, Combien diadème à ton front me plaierait.
Le Sceptre m’eſt bien cher en la main de mon frere, I'ay me à voir que ſous luy la Sicile proſpere:	Le Sceptre m'est bien cher en la main de mon frère, J'ai me à voir que sous lui a Sicile prospère:
Mais il auroit pour moy des charmes bien plus doux, Si ie le pouuois mettre en la main d’vn eſpoux,	Mais il aurait pour moi des charmes bien plus doux, Si apprendre le pouvais mettre en la main d'un époux,
LEANDRE.	LÉANDRE.
Ce bon-heur ſera ioint aux douceurs de noſtre âge, Si voſtre affection ſeconde mon courage.	Ce bonheur sera joint aux douceurs de notre âge, Si votre affection seconde mon courage.
Ha!	Ha!
que profiteroient ces perilleux deſſeins, Le Ciel preſente icy des obſtables trop ſaincts, Mon frere conſerué, i’auoüerois ton enuie:	que profiteraient ces périlleux desseins, Le Ciel présente ici des obstables trop saints, Mon frère conservé, j'avouerais ton envie:
Mais Maun peuarin iuy rauit te vepire jans ia vie s	Mais Maun peuarin jui ravit te vepire jans ja vie s
LEANDRE.	LÉANDRE.
Quoy qu’importe ſa mort à nos ieunes amours, Touſiours ma paſſion a reſpecté ſes iours:	Quoi qu'importe sa mort à nos jeunes amours, Toujours ma passion a respecté ses jours:
Iamais d’vn tel deſſein ce cœur ne fut coulpable, De ces extremitez Leandre eſt incapable:	Jamais d'un tel dessein ce cœur ne fut coulpable, De ces extrémités Léandre est incapable:
Repoſez-vous, Madame, en la foy d’vn Amant, Pour voir tout reuſſir, aymez moy ſeulement:	Reposez-vous, Madame, en la foi d'Hô Amant, Pour voir tout réussir, aimez moi seulement:
Ie cognois vn vieillard, que le ciel n’a fait naiſtre Que pour vous faire Royne, & pour me rendre maiſtre, Les magiques ſecrets me peuuent procurer, Ce bien où voſtre amour me permet d’aſpirer.	Je connais un vieillard, que le ciel n'a fait naître Que pour vous faire Roine, et pour me rendre maître, Les magiques secrets me peuvent procurer, Ce bien où votre amour me permet d'aspirer.
conunt s uax juux un Roy, ptut couronner nos testes, Et loing de nos deſtins deſtourner ſes t'empeſtes.	conunt s' ax jueux un Roi, ptut couronner nos têtes, Et loin de nos destins détourner ses t'empestes.
LEONOR.	LEONOR.
Ouy, mon affection conſent à ce deſſein, Si ta flame eſt égale, à celle de mon ſein.	Oui, mon affection consent à ce dessein, Si ta flamme est égale, à celle de mon sein.
Bien toſt par nos accords deſtourne l’Hymenée, Où contre mon deſir, le Roy m'a deſtinée.	Bien tôt par nos accords détourne l'Hyménée, Où contre mon désir, le Roi m'a destinée.
LEANDRE.	LÉANDRE.
Rendu par cét adueu le premier des humains, Que i’égale mes vœux, ſur les lys de ces mains, Qui m’ont ſi doucement la franchiſe rauie.	Rendu par cet aveu le premier des humains, Que j'égale mes vœux, sur les lys de ces mains, Qui m'ont si doucement la franchise ravie.
s'en Qui ſous de ſi beaux fers ont mon ame aſſeruie.	s'en Qui sous de si beaux fers ont mon âme asservie.
ACTE I.	ACTE I.
ACIEI.	ÀCIEI.
SCENE SECONDE.	SCÈNE SECONDE.
LE ROY de Sicile, FABRICE.	LE ROY de Sicile, FABRICE.
FILENE.	SILÈNE.
LE ROY.	LE ROY.
ES beaux yeux vont guerir mon eſprit lanO guiſſant:	ES beaux yeux vont guérir mon esprit lanO guissant:
Mais es-tu bien certain que le Duc ſoit abſent?	Mais es-tu bien certain que le Duc soit absent?
FABRICE.	FABRICE.
Aniumi quuunt cerinmque vopire cœur ſoûpire, Que vous eſtes eſclaue en l’amoureux Empire:	Aniumi quuunt cerinminque vopire cœur soupire, Que vous êtes esclaue en l'amoureux Empire:
Qu’vn enfant vous ſurmonte, & que i’appris hier, Que Liliane à faict d’vn Roy ſon priſonnier	Qu'un enfant vous surmonte, et que j'appris hier, Que Liliane à fait d'un Roi son prisonnier
LE ROY.	LE ROY.
Cher Fabrice, il eſt vray que i’adore ſes charmes:	Cher Fabrice, il est vrai que j'adore ses charmes:
Mais qu’elle deité n’auroit mis bas les armes, Et quel eſprit ſi fort auroit veu ſes appas, Et ſe pourroit vanter de ne les aymer pas?	Mais qu'elle deité n'aurait mis bas les armes, Et quel esprit si fort aurait vu ses appas, Et se pourrait vanter de ne les aimer pas?
FABRICE.	FABRICE.
Moy, qui m’eſtime auoir vne ame naturelle, Ie la vois tous les iours ſans ſouſpirer pour elle, Et quoy que de beaux yeux faſſent pour me trahir, C’eſt bien aymer (pour moy) que de ne pas hayr, Ie ne ſents cét inſtinc, ny ce Dieu qui vous pouſſe, Et ie n’ay iamais veu, ni ſes traits, ni ſa trouſſe, Auoir donné ſon cœur, c’eſt eſtre en mauuais poinct.	Moi, qui m'estime avoir une âme naturelle, Je la vois tous les jours sans soupirer pour elle, Et quoi que de beaux yeux fassent pour me trahir, C'est bien aimer (pour moi) que de ne pas haïr, Je ne pas cet instinc, ni ce Dieu qui vous pousse, Et été n'ai jamais vu, ni ses traits, ni sa trousse, Auoir donné son cœur, c'est être en mauvais point.
Moy, i'ay beſoin du mien, & ne le donne point.	Moi, j'ai besoin du mien, et ne le donne point.
LE ROY.	LE ROY.
Et moy plus liberal, ie ne m’en puis deffendre.	Et moi plus libéral, ie ne m'en puis défendre.
Mais celle qui le tient, vn iour me le doit rendre, Vne heure de plaiſirs apres ces maux ſoufferts, Eteindra tous mes feux, & rompra tous mes fers:	Mais celle qui le tient, un jour me le doit rendre, Une heure de plaisirs après ces maux soufferts, Éteindra tous mes feux, et rompra tous mes fers:
Voyons ce beau ſuiet de mes douces furies, Et donne pour vn temps trefue à tes railleries.	Voyons ce beau sujet de mes douces furies, Et donne pour un temps trefue à tes railleries.
RCTE I.	RCTE I.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
LILIANE vient au deuant du ROY.	LILIANE vient au devant du ROY.
LE ROY.	LE ROY.
FABRICE.	FABRICE.
FILENE.	SILÈNE.
LILIANE.	LILIANE.
E voy bien aujourd'huy que l’amour n'a point Ed’yeux Il penſoit vous conduire en de plus nobles lieux, Cognoiſſant mes defaux, & peſant vos merites, Vne autre receuron l'honneur de voy oijref.	E vois bien aujourd'hui que l'amour n'a point Éd'yeux Il pensait vous conduire en de plus nobles lieux, Cognaissant mes défauts, et pesant vos mérites, autre receuron l'honneur de oijref.
LE ROY.	LE ROY.
Dy plutoſt, qu’à ce coup il a pris ſon flambeau, Conſulté la Raiſon, deſchiré ſon bandeau, Et qu’il n’eſt point ailleurs de beauté ſi puiſſante Que d’eſtre vn digne obiect à ma flame innocente.	Dis plutôt, qu'à ce coup il a pris son flambeau, Consulté la Raison, déchiré son bandeau, Et qu'il n'est point ailleurs de beauté si puissante Que d'être un digne objet à ma flamme innocente.
LILIANE.	LILIANE.
Doutant de vos diſcours, i’offencerois mon Roy, Et ie dois beaucoup plus vous eſpargner que moy:	Doutant de vos discours, j'offenserais mon Roi, Et je dois beaucoup plus vous épargner que moi:
Ie ſonge pour nourrir ces flames que i’enſerre, Que l’on voit bien le Ciel amoureux de la terre:	Je songe pour nourrir ces flammes que j'enserre, Que l'on voit bien le Ciel amoureux de la terre:
L’Horme preſte ſon ombre aux moindres arbriſſeaux, Neprune ounre fon fein unu pun peuts ruiſſeaux, Et parmy tant de fleurs dont Zephire diſpoſe, Il careſſe la moindre auſſi bien que la roſe.	L'Horme prête son ombre aux moindres arbrisseaux, Neprune ounre son sein unu pun peuts ruisseaux, Et parmi tant de fleurs dont Zéphire dispose, Il caresse la moindre aussi bien que la rose.
LE ROY.	LE ROY.
Ce reſpect eſt contraire à nos contentemens, Et doit eſtre banny d’entre les vrays amants:	Ce respect est contraire à nos contentements, Et doit être banni d'entre les vrais amants:
Qu’vn baiſer ſeulement.	Qu'un baiser seulement.
LILIANE.	LILIANE.
Ces faueurs ſont des crimes, Que voſtre affection peut rendre legitimes.	Ces faveurs sont des crimes, Que votre affection peut rendre légitimes.
Apres tant de ſerments, vn hymen bien-heureux Ne ioindra-t’il iamais nos eſprits amoureux?	Après tant de serments, un hymen bienheureux Ne joindra-t-il jamais nos esprits amoureux?
Et pouuez vous ſouffrir que le Comte Iancrede, Bien toſt à voſtre ſceu vous braue, & me poſſede, Vn pere iniurieux conſent à ſes deſirs.	Et pouuez vous souffrir que le Comte Jancrede, Bien tôt à votre sceu vous brave, et me possède, Un père injurieux consent à ses désirs.
Et ce conſentement ruyne vos plaiſirs.	Et ce consentement ruine vos plaisirs.
LE ROY.	LE ROY.
L’effet de cette foy que mon cœur t’a donnée, Doit eſtre precedé par vn autre hymenée, Acquitté Acquitté du ſoucy que ie dois a ma ſœur, Quand le Duc de Calabre en ſera poſſeſſeur, Tu n’auras plus alors de craintes qui t’affligent.	L'effet de cette foi que mon cœur t'a donnée, Doit été précédé par un autre hyménée, Acquitté Acquitté du souci que je dois a ma sœur, Quand le Duc de Calère en sera possesseur, Tu n'auras plus alors de craintes qui t'affligent.
Mais des raiſons d’eſtat à cét ordre m’obligent.	Mais des raisons d'état à cet ordre m'obligent.
LILIANE.	LILIANE.
Mais le Comte s’auance, & peut-eſtre le iour Le doit rendre en Sicile, & trahir noſtre amour.	Mais le Comte s'avance, et peut-être le jour Le doit rendre en Sicile, et trahir notre amour.
LE ROY.	LE ROY.
Laiſſe-m’en le ſoucy, quelque iniure forgée Rendre ſon eſperance en peu de temps changée.	Laisse-m'en le souci, quelque injure forgée Rendre son espérance en peu de temps changée.
Le Duc & luy ſaiſis pour vn crime imposé) Treuues-tu pas mon cœur cét artifice aysé?	Le Duc et même saisis pour un crime imposé) Trouves-tu pas mon cœur cet artifice aisé?
Meſme peur mieux courir noſtre amoureuſe feinte, Il faut que comme estant du meſme crime atteinte, Pour vn temps le Palais te ſerue de priſon:	Même peur mieux courir notre amoureuse feinte, Il faut que comme étant du même crime atteinte, Pour un temps le Palais te serve de prison:
Où la force nuiroit, la ruſe est de ſaiſon.	Où la force nuirait, la ruse est de saison.
Et ceste fauſſe peur fera tourner en honte L’aueuglement du Duc, & les deſſeins du Comte:	Et cette fausse peur fera tourner en honte L'aveuglement du Duc, et les desseins du Comte:
Mais qu’ineſperément ie me treuue ſurpris.	Mais qu'inespérément ie me trouve surpris.
Quelle crainte mon cœur altere tes eſprits?	Quelle crainte mon cœur altère tes esprits?
ACTEI.	ACTEI.
ACTEI.	ACTEI.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
LE DVC, reuenu de la chaſſe.	LE DUC, revenu de la chasse.
LE ROY.	LE ROY.
LILIANE.	LILIANE.
DES VALETS.	DES VALETS.
LE DVC.	LE DUC.
IRE, vſez en ce lieu de la meſme licence SQue voſtre Majeſté s’y donne à mon abſance, 1ej3.	IRE, vsez en ce lieu de la même licence SQue votre Majesté s'y donne à mon absance, 1ej3.
y bien que l’amour eſt vn enfant honteux, Qui fuit ceux de mon âge, & rougit deuant eux:	y bien que l'amour est un enfant honteux, Qui fuit ceux de mon âge, et rougit devant eux:
Des ſecrets de ce Dieu de vieilleſſe eſt bannie, Et deſia l’on me hayt en ceſte compagnie.	Des secrets de ce Dieu de vieillesse est bannie, Et déjà l'on me hait en cette compagnie.
LE ROY.	LE ROY.
Vous iugerez beaucoup, mais nous ſçauons au moins, Que noſtre amour ne craint, ny iuges, ny témoins, Comme la Vertu ſeule a nos ames bleſſées, La Vertu ſeulement gouuerne nos penſées, Et Liliane vit auec tant de candeur, Qu’on ne peut l’accuſer que de trop de froideur:	Vous jugerez beaucoup, mais nous savons au moins, Que notre amour ne craint, ni juges, ni témoins, Comme la Vertu seule a nos âmes blessées, La Vertu seulement gouverne nos pensées, Et Liliane vit avec tant de candeur, Qu'on ne peut l'accuser que de trop de froideur:
Mais vne expreſſe affaire au logis me r’appelle;	Mais une expresse affaire au logis me rappelle;
Qui malloit eſloigner des yeux de ceſte belle;	Qui mallait éloigner des yeux de cette belle;
Puis ie ſçay qu’vn chaſſeur cherit tant le repos, Que ie vous nuis beaucoup par de ſi langs propos	Puis ie sais qu'Hôn eur chérit tant le repos, Que tu vous nuis beaucoup par de si langs propos
LE	LE
LE DVC.	LE DUC.
Il eſt vray, i’ay couru iuſqu’à perdre l’haloine, Et deux cerfs abbatus ſont le fruict de ma peine:	Il est vrai, j'ai couru jusqu'à perdre l'haloine, Et deux cerfs abattus sont le fruit de ma peine:
Mais quoy que i’aye atteint, & chaſſé dans les bois, Le Roy Ie fais plus en ce lieu, car i’en chaſſe les Rois.	Mais quoi que j'aie atteint, et chassé dans les bois, Le Roi Je fais plus en ce lieu, car j'en chasse les Rois.
Ha fille ſans eſprit, dont l’humeur imprudente, A qui ne la veut voir ſe rend trop euidente.	Ha fille sans esprit, dont l'humeur imprudente, À qui ne la veut voir se rend trop évidente.
N'eſpargnez point le fard, friſez ces beaux cheueux.	N'épargnez point le fard, frisez ces beaux cheveux.
Allez à ſes genoux ſolliciter ſes vœux:	Allez à ses genoux solliciter ses vœux:
Il le faut appeller vos yeux, voſtre lumiere, Et s’il vous tend les bras, les ouurir la premiere.	Il le faut appeler vos yeux, votre lumière, Et s'il vous tend les bras, les ouvrir la première.
Peignez ſur mon viſage vn eternel affront elles s'é Ce moyen vous mettra le diadeſme au front.	Peignez sur mon visage un éternel affront elles s'é Ce moyen vous mettra le diadème au front.
Haique depuis long-temps ton humeur ſotte & vaine.	Haique depuis longtemps ton humeur sotte et vaine.
T’apporte peu de fruit, & me couſte de peine!	T'apporte peu de fruit, et me coûte de peine!
Combien ma preuoyance eſt iuſte en ſes ſoupçons, Et qu'inutilement on t’a fait des leçons:	Combien ma prévoyance est juste en ses soupçons, Et qu'inutilement on t'a fait des leçons:
Ce mal-heur eſt encor capable de remede:	Ce malheur est encor capable de remède:
Lyſis, allez au port preparer des vaiſſeaux, Et qu'elle y ſoit conduite en l’vn de mes chaſteaux, Dans ce lieu ſolitaire, elle attendra le Comte, Qui doit en l’eſpouſant nous affranchir de honte, Ie ſçay qu'elle eſt facile & que l’honneſteté S'accorde rarement auecques la beauté.	Lysis, allez au port préparer des vaisseaux, Et qu'elle y soit conduite en l'un de mes châteaux, Dans ce lieu solitaire, elle attendra le Comte, Qui doit en l'épousant nous affranchir de honte, Je sais qu'elle est facile et que l'honnêteté S'accorde rarement avec la beauté.
ACTE I.	ACTE I.
ACTET.	ACTET.
SCENE V.	SCÈNE V.
LEANDRE, ALCANDRE Magicien.	LÉANDRE, ALCANDRE Magicien.
ALCANDRE.	ÀLCANDRE.
Ar cette inuention ſi rare & ſi facile, Tvou pourrez a ſes yeux regner dans la Sicile.	Ar cette invention si rare et si facile, Touv pourrez à ses yeux régner dans la Sicile.
Luy meſme rangera les ſiens ſous vostre loy, Et vous honorera du nom de Vice-Roy.	Lui même rangera les siens sous votre loi, Et vous honorera du nom de Vice-Roi.
LEANDRE.	LÉANDRE.
Ie ne puis conbonon qu'anco impurience;	Je ne puis conbon qu'anco impurience;
L’effect de mon deſir & de vostre ſcience.	L'effet de mon désir et de votre science.
Que ie vous dois de vœux pour vn ſecret ſi beau?	Que ici vous dois de vœux pour un secret si beau?
Mais la peine, mon pere, eſt de changer l’anneau.	Mais la peine, mon père, est de changer l'anneau.
ALCANDRE.	ÀLCANDRE.
I'ay cette inuention pareillement preueuë:	J'ai cette invention pareillement preueuë:
Le matin tenez prompte & la main & la veuë, Pour receuoir le fien, que i’ay pris mille fois, Alors que pour lauer il l’oste de ſes doigts:	Le matin tenez prompte et la main et la vue, Pour recevoir le sien, que j'ai pris mille fois, Alors que pour lauer il l'ôte de ses doigts:
Lors vous pourreZ luy rendre, ou mettre ſur la table, Celuy que vostre Orfevre aura fait tout ſemblable, Et qui deſſous la pierre aura l’enchantement, Qui doit à ce Monarque oster le iugement?	Lors vous pourrez nom rendre, ou mettre sur la table, Celui que votre Orfevre aura fait tout semblable, Et qui dessous la pierre aura l'enchantement, Qui doit à ce Monarque ôter le jugement?
Ne luy voyant alors ny raiſon ny memoire, Vous ſçaurez ſi mon art mertte de la gloire.	Ne lui voyant alors ici raison ni mémoire, Vous saurez si mon art mertte de la gloire.
LEANDRE.	LÉANDRE.
Si i’en voy prouenir de ſi rares effects, Et s’il est fauorable au deſſein que ie fais, Or ve coup reüſſit, vous en deuez attendre Vn aduantage eſgal à celuy de Leandre.	Si j'en vois prouvenir de si rares effets, Et s'il est favorable au dessein que je fais, Or e coup réussit, vous en devez attendre Un avantage égal à celui de Léandre.
ALCANDRE.	ÀLCANDRE.
Pour tout prix de ma peine, aymez-moy ſeulement.	Pour tout prix de ma peine, aimez-moi seulement.
Mais faites commander cet anneau promptement.	Mais faites commander cet anneau promptement.
MCIEI.	MCIEI.
SOEND DIAIDOME.	SOND DIAIDOME.
LE ROY.	LE ROY.
LEONOR, ſa Sœur.	LEONOR, sa Sœur.
LE ROY.	LE ROY.
E diſſimulez point:	E dissimulez point:
des paſſions ſ'erettes NTiennent ces yeux baiſſez, & ces levres muettes.	des passions s'èrettes NTiennent ces yeux baissez, et ces lèvres muettes.
Leandre en voſtre eſtime eſt vn obiect diuin, Si vous le haiſſez, ie ſuis mauuais diuin:	Léandre en votre estime est un objet divin, Si vous le haïssez, on suis mauvais divin:
Les bonnes qualitez dont vous eſtes pourueues M’ont obligé (ma ſœur) à vous ſouffrir ſa veuë, Et voſtre eſprit vaut trop, pour former vn deſſein Qui ne puiſſe partir d’vn iugement bien ſain:	Les bonnes qualités dont vous êtes pourvues M'ont obligé (ma sœur) à vous souffrir sa vue, Et votre esprit vaut trop, pour former un dessein Qui ne puisse partir d'un jugement bien sain:
Ie vous ay touſiours creuë, & plusnoble, & mieux née, Que Que d’aſpirer au ioug d’vn honteux hymenée.	Je vous ai toujours crue, et plusnoble, et mieux née, Que Que d'aspirer au joug d' Han née.
