A PARIS.	À PARIS.
EXTRAIT DV PRIVILEGE an Ray	EXTRAIT DU PRIVILÈGE an Rai
AR grace & Priuilege du Roy donné à Paris le dernier iour de May 1660.	AR grâce et Privilège du Roi donné à Paris le dernier jour de May 1660.
ſigné LE IVGE, Il eſt permis au ſieur MOLIERE de faire Imprimer vne Piece de Theatre intitulée Le Dépit Amoureux, pendant l’eſpace de cinq années, a commancer du iour que ledit Liure ſera acheué d’imprimer:	signé LE IVGE, Il est permis au sieur MOLIÈRE de faire Imprimer une Pièce de Théâtre intitulée Le Dépit Amoureux, pendant l'espace de cinq années, a commencer du jour que ledit Livre sera achevé d'imprimer:
Et deffences ſont faſtes à tous auties deriprimer, aptine de ce qui eſt porté par leſdites Lettres.	Et défenses sont fastes à tous auties deriprimer, aptine de ce qui est porté par lesdites Lettres.
Et ledit ſieur MOLIERE a cedé & tranſporté ſon droit de Priuilege à CLAVDE BARBIN & GABRIEL.	Et ledit sieur MOLIÈRE a cédé et transporté son droit de Privilège à CLAUDE BARBIN et GABRIEL.
QVINET Marchands Libraires à Paris, pour en ioüir le temps ponte pariceraj.	QUINET Marchands Libraires à Paris, pour en jouir le temps ponte pariceraj.
Acheué d’Imprimer le 24.	Achevé d'Imprimer le 24.
Nouembre 1662.	Novembre 1662.
Regiſtré ſur le Liure de la Communauté le 27.	Registré sur le Livre de la Communauté le 27.
Les Exemplaires ont eſté fournis.	Les Exemplaires ont été fournis.
LES PERSONNAGES ÆNAJIE.	LES PERSONNAGES 3NAJE.
Amant de Lucile.	Amant de Lucile.
ALBERT.	ALBERT.
GROS-RENE'.	GROS-RENE'.
Pere de Lu cile.	Père de Lu cile.
Valet d’Eraſte.	Valet d'Eraste.
VALERE.	VALÈRE.
IVCILE.	IUCILE.
FROSINE.	FROSINE.
Fils de Polidore.	Fils de Polidore.
Fille d’Albert.	Fille d'Albert.
LA RAPIERE.	LA RAPIÈRE.
Breteur.	Breteur.
EPIT  miut ALIVIOVADTIL Conla d dl aMo	EPIT miut ALIVIOUADTIL Conla d l aMo
ACTE PREMIER.	ACTE PREMIER.
14 SCENE PREMIERE.	14 SCÈNE PREMIÈRE.
ERASTE, GROS-RENE.	ERASTE, GROS-RENE.
Mie 3 ERASTE.	Mie 3 ERASTE.
Evxtu que ie te die?	Evxtu que Seigneur te die?
vne atteinte ſecrette Ne laiſſe point mon ame en vne bonne aſſiette:	Elle atteinte secrète Ne laisse point mon âme en une bonne assiette:
Ouy, quoy qu’à mon amour tu puiſſes repartir, Il craint d’eſtre la dupe, à ne te point mentir:	Oui, quoi qu'à mon amour tu puisses répartir, Il craint d'être la dupe, à ne te point mentir:
Qu’en f'aueur d’vn riual ta foy ne ſe corrompe, Ou du moins, qu’auec moy, toy meſme on ne te trompe.	Qu'en s'aveur d'ins rival ta foi ne se corrompe, Ou du moins, qu'avec moi, toi -même on ne te trompe.
GROS-RENE'.	GROS-RENE'.
Pour moy, me ſoupçonner de quelque mauuais tour, Ie diray, n’en déplaiſe à monſieur vôtre amour, Que c’eſt iniuſtement bleſſer ma prud’hommie Et ſe connoiſtre mal en phiſionomie.	Pour moi, me soupçonner de quelque mauvais tour, Je dirai, n'en déplaise à monsieur votre amour, Que c'est injustement blesser ma prud'hommie Et se connaître mal en physionomie.
Les gens de mon minois ne ſont point accuſez D’eſtre, graces à Dieu, ny fourbes ny ruſez:	Les gens de mon minais ne sont point accusés D'être, grâces à Dieu, ni fourbes a rusez:
Cet honneur qu’on nous fait ie ne le démens gueres Et ſuis homme fort rond, de toutes les manieres.	Cet honneur qu'on nous fait ici ne le déments guères Et suis homme fort rond, de toutes les manières.
Pour que l’on me trompaſt, cela ſe pourroit bien;	Pour que l'on me trompât, cela se pourrait bien;
Le doute eſt mieux fondé;	Le doute est mieux fondé;
pourtant ie n’en croy rien.	pourtant ici n'en crois rien.
Ie ne voy point encore, ou ie ſuis vne beſte, Surquoy vous auez pû prendre martel en teſte.	Je ne vois point encore, ou on suis une bête, Surquoi vous avez pu prendre martel en tête.
Lucile, à mon auis, vous montre aſſez d’amour Elle vous voit, vous parle, à toute heure du iour, Et Valere apres tout qui canſe vôtre crainte Semble n’eſtre à preſent ſouffert que par contrainte.	Lucile, à mon avis, vous montre assez d'amour Elle vous voit, vous parle, à toute heure du jour, Et Valère après tout qui canse votre crainte Semble n'être à présent souffert que par contrainte.
ERASTE.	ERASTE.
Souuent d’vn faux eſpoir vn amant eſt nourry, Le mieux reçeu toujours n’eſt pas le plus chery;	Souvent d'un faux espoir un amant est nourri, Le mieux reçu toujours n'est pas le plus chéri;
Et tout ce que d’ardeur font paroiſtre les femmes Parfois n’eſt qu’vn beau voile à couvrir d’autres flames.	Et tout ce que d'ardeur font paraître les femmes Parfois n'est qu'un beau voile à couvrir d'autres flammes.
Valere enfin, pour eſtre vn amant rebuté, Montre depuis vn temps trop de tranquilité;	Valère enfin, pour être un amant rebuté, Montre depuis un temps trop de tranquille;
Et ce qu’à ces fau curs, dont tu crois l’apparence, Il teſmoigne de ioye ou bien d’indifference M’empoiſonne à tous coups ieurs plus enlar mans aj pas, Me donne ce chagrin que tu ne comprens pas;	Et ce qu'à ces fau curs, dont tu crois l'apparence, Il témoigne de joie ou bien d'indifférence M'empoisonne à tous coups jeurs plus enlar ants ajà pas, Me donne ce chagrin que tu ne comprends pas;
Tient mon bon-heur en doute, & me rend difficile Vne entiere croyance aux propos de Lucile.	Tient mon bonheur en doute, et me rend difficile Une entière croyance aux propos de Lucile.
Ie voudrois, pour trouuer vn tel deſtin plus doux, Y voir entrer vn peu de ſon tranſport ialoux, Et ſur ſes déplaiſirs & ſon impatience Mon ame prendroit lors vne pleine aſſurance.	Je voudrais, pour trouver un tel destin plus doux, Y voir entrer un peu de son transport jaloux, Et sur ses déplaisirs et son impatience Mon âme prendrait lors une pleine assurance.
Toy meſme, penſe tu, qu’on puiſſe, comme il fait, Voir cherir vn riual d’vn eſprit ſatisfait?	Toi -même, pense tu, qu'on puisse, comme il fait, Voir chérir un rival d'un esprit satisfait?
Et, ſi tu n’en crois rien, dy moy, ie t’en coniure, Sii'ay lieu de rever deſſus cette auanture.	Et, si tu n'en crois rien, dis -moi, une t'en conjure, Sii'ai lieu de rêver dessus cette aventure.
GROS-RENE’.	GROS-RENE'.
Teutacitie quelncuur acnanse de dens Connoiſſant qu’il pouſſoit d’inutiles ſoupirs.	Teutacitie quelncuur acnanse de dents Connaissant qu'il poussait d'inutiles soupirs.
ERASTE.	ERASTE.
NAVIUUC Lors que par les rebuts vne ame eſt detachée, Elle veut fuir l’obiet dont elle fut touchée, Et ne rompt point ſa chaiſne auec ſi peu d’êclat, Qu’elle puiſſe reſter en vn paiſible état:	NAUIUCUC Lors que par les rebuts une âme est détachée, Elle veut fuir l'objet dont elle fut touchée, Et ne rompt point sa chaîne avec si peu d'éclat, Qu'elle puisse rester en un paisible état:
De ce qu’on a chery la fatale preſence Ne nous laiſſe iamais dedans l’indifference;	De ce qu'on a chéri la fatale présence Ne nous laisse jamais dedans l'indifférence;
Et, ſi de cette veuë on n’acroiſt ſon dedain, Nôtre amour eſt bien pres de nous rentrer au ſein.	Et, si de cette vue on n'acrait son dédain, Notre amour est bien près de nous rentrer au sein.
Enfin, croy moy;	Enfin, crois -moi;
noleir qu'on eteigne tne flame, Vn peu de ialouſie occupe encore vne ame, Et l’on ne ſçauroit voir, ſans en eſtre piqué, Poſſeder par vn autre vn cœur qu’on a manqué.	noleir qu'on éteigne tête flamme, Un peu de jalousie occupe encore une âme, Et l'on ne saurait voir, sans en être piqué, Posséder par un autre vn cœur qu'on a manqué.
GROS-RENE'.	GROS-RENE'.
Pour moy, ie ne ſçay point tant de philoſophie;	Pour moi, Seigneur ne sais point tant de philosophie;
Ge que voyent mes yeux, franchement ie n’y fie, Et ne ſuis point de moy ſi mortel ennemy, Que ie m’aille affliger ſans ſuiet ny demy, Pourquoy ſubtiliſer, & faire le capable A chercher des raiſons pour eſtre miſerable?	Ge que voient mes yeux, franchement on n'y fie, Et ne suis point de moi si mortel ennemi, Que Que m'aille affliger sans sujet ni demi, Pourquoi subtiliser, et faire le capable A chercher des raisons pour être misérable?
Sur des ſoupçons en lair ie m’irois allarmer?	Sur des soupçons en lair On m'irais alarmer?
Laiſſons venir la feſte auant que la chomer.	Laissons venir la fête avant que la chômer.
Le chagrin me paroiſt vne incommode choſe;	Le chagrin me paraît une incommode chose;
Ie n’en prens point pour moy, ſans bonne & iuſte cauſe;	Je n'en prends point pour moi, sans bonne et juste cause;
Et meſmes à mes yeux cent ſuiets d’en auoir S’offrent le plus ſouuent que ie ne veux pas voir.	Et mêmes à mes yeux cent sujets d'en avoir S'offrent le plus souvent que ici ne veux pas voir.
Auec vous en amour ie cours meſme fortune;	Avec vous en amour rien cours même fortune;
Celle que vous aurez me doit eſtre commune;	Celle que vous aurez me doit été commune;
La maiſtreſſe ne peut abuſer vôtre foy, A moins que la ſuiuante en faſſe autant pour moy:	La maîtresse ne peut abuser votre foi, À moins que la suivante en fasse autant pour moi:
Mais i’en fuis la penſée auec vn ſoin extréme.	Mais j'en fuis la pensée avec un soin extrême.
Ie veux croire les gens quand on me dit ie t’ayme;	Je veux croire les gens quand on me dit ici t'aime;
Et ne vais point chercher, pour m’eſtimer heureur, Si Maſcarille ou non, s’arrache les cheueux.	Et ne vais point chercher, pour m'estimer heureur, Si Mascarille ou non, s'arrache les cheveux.
Que tantoſt Marinette, endure qu’à ſon ayſe Iodelet par plaiſir la careſſe & la baiſe, Et que ce beau riual en rie ainſi qu’vn foû, A ſon exemple auſſi i’en riray tout mon ſaoû;	Que tantôt Marinette, endure qu'à son ayse Let par plaisir la caresse et la baise, Et que ce beau riual en rie ainsi qu'un fou, À son exemple aussi j'en rirai tout mon saoû;
t lon verra qui rit auec meilleure grace.	 ton verra qui rit ude meilleure grâce.
ERASTE.	ERASTE.
Voila de tes diſcours.	Voilà de tes discours.
GROS-RENE.	GROS-RENE.
Mais ie la voy qui paſſe	Mais ici la vois qui passe
SCENE II MARINETTE,ERASTE, GROS-RENE GROS-RENE.	SCÈNE II MARINETTTE,ERASTE, GROS -RENE GROS-RENE.
T, Marinette.	T, Marinette.
MARINETTE.	MARINETTTE.
Ho, ho.	Ho, ho.
Que fais-tu là!	Que fais-tu là!
GROS-RENE'.	GROS-RENE'.
Ma foy, Demande, nous étions tout à l’heute ſur toy.	Ma foi, Demande, nous étions tout à l'hute sur toi.
MARINETTE.	MARINETTTE.
Vous eſtes auſſi là:	Vous êtes aussi là:
monſieur;	monsieur;
depuis vne heure Vous m’auez fait troter comme vn Baſque, ie meure.	depuis une heure Vous m'avez fait troter comme un Basque, tu meure.
Comment?	Comment?
ERASTE.	ERASTE.
MARINETTE.	MARINETTTE.
Pour vous chercher i’ay fait dix mille pas, Et vous promets, ma foy.	Pour vous chercher j'ai fait dix mille pas, Et vous promets, ma foi.
ERASTE.	ERASTE.
Quoy?	Quoi?
MARINETTE.	MARINETTTE.
Que vous n’eſtes pas Au temple, au cours, chez vous, ny dans la grande place.	Que vous n'êtes pas Au temple, au cours, chez vous, ni dans la grande place.
Il falloit en iurer.	Il fallait en jurer.
GROS-RENE'.	GROS-RENE'.
ERASTE.	ERASTE.
Aprend-moy donc de grace Qui te fait me chercher.	Apprend-moi donc de grâce Qui te fait me chercher.
MARINETTE.	MARINETTTE.
Queiquvn, en vente, Qui pour vous n’a pas trop mauuaiſe volonté.	Queiquvn, en vente, Qui pour vous n'a pas trop mauvaise volonté.
Ma inaiſtreſſe en vn mot.	Ma inaîtresse en un mot.
ERASTE.	ERASTE.
Ha!	Ha!
chere Marinette, Ton diſcours de ton cœur eſt-il bien l’interprete?	chère Marinette, Ton discours de ton cœur est-il bien l'interprète?
Ne me déguiſe point vn miſtere fatal, Ie ne t’en voudray pas pour cela plus de mal:	Ne me déguise point un mystère fatal, Je ne t'en voudrai pas pour cela plus de mal:
Au nom des Dieux, dy-moy ſi ta belle maiſtreſſe N’abuſe point mes vœux d’vne fauſſe tendreſſe,	Au nom des Dieux, dis-moi si ta belle maîtresse N'abuse point mes vœux d'une fausse tendresse,
MARINETTE.	MARINETTTE.
Hé, hé, d’où vous vient donc ce plaiſant mouuement ?	Hé, hé, d'où vous vient donc ce plaisant mouvement ?
Elle ne fait pas voir aſſez ſon ſentiment:	Elle ne fait pas voir assez son sentiment:
Quel garant eſt-ce encore que vôtre amour demanQue luy faut-il?	Quel garant est-ce encore que votre amour demanQue Ne faut-il?
[de?	[de?
GROS-RENE'.	GROS-RENE'.
A moins que Valere ſe pende, Bagatelle;	À moins que Valère se pende, Bagatelle;
ſon cœur ne s’aſſeurera point.	son cœur ne s'assurera point.
Comment?	Comment?
MARINETTE.	MARINETTTE.
GROS-RENEI Il eſt ialoux iuſques en vn tel point.	GROS-RENEI Il est jaloux jusques en un tel point.
MARINETTE.	MARINETTTE.
De Valere?	De Valère?
Ha!	Ha!
vrayment la penſée eſt bien belle!	vraiment la pensée est bien belle!
Elle peut ſeulement naiſtre en vôtre ceruelle!	Elle peut seulement naître en votre cervelle!
Ie vous croyois du ſens, & iuſqu’à ce moment;	Je vous croyais du sens, et jusqu'à ce moment;
I’auois de vôtre eſprit quelque bon ſentiment, Mais, à ce que ie voy, ie m’eſtois fort trompée.	J'avais de votre esprit quelque bon sentiment, Mais, à ce que je vois, ie j'étais fort trompée.
Ta teſte de ce mal eſt-elle auſſi frapée?	Ta tête de ce mal est-elle aussi frappée?
GROS-RENE'.	GROS-RENE'.
Moy ialoux?	Moi jaloux?
Dieu m’en garde, & d’eſtre aſſez badin Pour m’aller emmaigrir auec vn tel chagrin;	Dieu m'en garde, et d'être assez badin Pour m'aller emmaigrir toujours un tel chagrin;
Outre que de ton cœur ta foy me cautionne, L’opinion que i’ay de moy-meſme eſt trop bonne Pour croire aupres de moy que quel qu’autre te plur Où diantre pourrois-tu trouuer qui me valuſt?	Outre que de ton cœur ta foi me cautionne, L'opinion que j'ai de moi-même est trop bonne Pour croire auprès de moi que quel qu'autre te plur Où diantre pourrais-tu trouver qui me valût?
MARINETTE.	MARINETTTE.
En effet, tu dis bien, voila comme il faut eſtre, Iamais de ces ſoupçons qu’vn ialoux fait paroiſtre, Tout le fruit qu’on en cueille eſt de ſe mettre mal, Et d’auancer par là les deſſeins d’vn riual:	En effet, tu dis bien, voilà comme il faut être, Jamais de ces soupçons qu'un jaloux fait paraître, Tout le fruit qu'on en cueille est de se mettre mal, Et d'avancer par là les desseins d'un rival:
Au merite ſouuent de qui l’éclat vous bleſſe, Vos chagrins font ouurir les yeux d’vne maiſtreſſe;	Au mérite souvent de qui l'éclat vous blesse, Vos chagrins font ouvrir les yeux d'une maîtresse;
Et i’en ſçay tel qui doit ſon deſtin le plus doux Aux ſoins trop inquiets de ſon riual ialoux.	Et j'en sais tel qui doit son destin le plus doux Aux soins trop inquiets de son rival jaloux.
Enfin, quoy qu’il en ſoit, témoigner de l’ombrage Cent iouer en aitour vn mauvais perſonnage, Et ſe rendre apres tout milerable a creuie.	Enfin, quoi qu'il en soit, témoigner de l'ombrage Cent jouer en aitour un mauvais personnage, Et se rendre après tout milérable a cruie.
Cela, Seigneur Eraſte, en paſſant vous ſoit dit.	Cela, Seigneur Eraste, en passant vous soit dit.
ERASTE.	ERASTE.
Hé bien, n’en parlons plus, que venois tu m’apren	Hé bien, n'en parlons plus, que venais -tu m'appren
dre?	dre?
MARINETTE.	MARINETTTE.
Vous meriteriez bien que l’on vous fit attendre:	Vous mériteriez bien que l'on vous fit attendre:
Qu’afin de vous punir ie vous tinſſe caché, Le grand ſecret pourquoy ie vous ay tant cherché Tenez, voyez ce mot, & ſortez hors de doute.	Qu'afin de vous punir ainsi vous tinsse caché, Le grand secret pourquoi ici vous ai tant cherché Tenez, voyez ce mot, et sortez hors de doute.
Liſez-le donc tout haut;	Lisez-le donc tout haut;
perſonne icy n’écoute.	personne ici n'écoute.
ERASTE lit.	ERASTE lit.
Vous m’auez dit que vôtre amour Eſtoit capable de tout faire, Il ſe couronnera luy-meſme dans ce iour, S’il peut auoir l’aueu d’vn pere.	Vous m'avez dit que votre amour Était capable de tout faire, Il se couronnera lui-même dans ce jour, S'il peut avoir l'aveu d'un père.
Faites parler les droits qu’on a deſſus mon cœur;	Faites parler les droits qu'on a dessus mon cœur;
Ie vous en donne la licence:	Je vous en donne la licence:
Et, ſi c’eſt en vôtre faueur, Ie vous répons de mon obeïſſance.	Et, si c'est en votre faveur, Je vous réponds de mon obéissance.
2 Ha!	2 Ha!
quel bon-heur!	quel bonheur!
ô, toy, qui me l’as apporté le te dols leguider coile via delce.	ô, toi, qui me l'as apporté le te dols léguider coile via délèce.
GROS-RENE'.	GROS-RENE'.
Ie vous le difois bien contre vôtre croyance, Ie ne me trompe guere aux choſes que ie penſe.	Je vous le difois bien contre votre croyance, Je ne me trompe guère aux choses que personne pense.
ERASTE lit.	ERASTE lit.
Faites parler les droits qu’on a deſſus mon cœur;	Faites parler les droits qu'on a dessus mon cœur;
Ie vous en donne la licence:	Je vous en donne la licence:
Et, ſi c’eſt en vôtre faueur, Ie vous répons de mon obeïſſance.	Et, si c'est en votre faveur, Je vous réponds de mon obéissance.
MARINETTE.	MARINETTTE.
Si ie luy raportois vos foibleſſes d’eſprit, Elle deſauoüeroit bien-toſt vn tel écrit.	Si ici était rapportais vos faiblesses d'esprit, Elle desauoüeroit bientôt un tel écrit.
ERASTE.	ERASTE.
Ha, cache luy, de grace, vne peur paſſagere Où mon ame a creu voir quelque peu de lumiere, Ou, ſi tu la luy dîs, adjouſte que ma mort Eſt preſte d’expier l’erreur de ce tranſport;	Ha, cache sang, de grâce, une peur passagère Où mon âme a cru voir quelque peu de lumière, Ou, si tu la avait dîts, ajoute que ma mort Est prête d'expier l'erreur de ce transport;
Que ie vais à ſes pieds, ſi i’ay pû luy déplarre, Sacrifier ma vie à ſa iuſte colere.	Que était vais à ses pieds, si j'ai pu lui déplarre, Sacrifier ma vie à sa juste colère.
MARINETTE.	MARINETTTE.
Ne parlons point de mort, ce n’en eſt pas le temps.	Ne parlons point de mort, ce n'en est pas le temps.
ERASTE.	ERASTE.
Au reſte, ie te doy beaucoup, & ie pretens reconnoiſtre dans peu de la bonne maniere Les ſoins d’vne ſi noble & ſi belle courriere.	Au reste, Seigneur te dois beaucoup, et ie pretens reconnaître dans peu de la bonne manière Les soins d'une si noble et si belle courrière.
MARINETTE.	MARINETTTE.
A propos;	À propos;
ſçaues tous ou le vous ay cherché T’antoſt encore?	sçaues tous ou le vous ai cherché T'antôt encore?
ERASTE.	ERASTE.
He bien?	He bien?
MARINETTE.	MARINETTTE.
Tout proché du marché,	Tout proché du marché,
Où vous ſçauez.	Où vous savez.
ERASTE.	ERASTE.
Où donc?	Où donc?
MARINETTE.	MARINETTTE.
La, dulis cette boutique Où dés le mois paſſe veſtre cœur magnifique Me promit, de ſa grace, vne bague.	La, dulis cette boutique Où dès le mois passe vêtre cœur magnifique Me promit, de sa grâce, une bague.
La Matoiſe!	La Matoise!
ERASTE.	ERASTE.
GROS-RENE' Ha, i’ehtends.	GROS-RENE' Ha, j'hends.
ERASTE.	ERASTE.
Il eſt vray, i’ay tardé trop long-temps A m’acquiter vers toy d’vne telle promeſſe:	Il est vrai, j'ai tardé trop longtemps A m'acquitter vers toi d'une telle promesse:
Mais.	Mais.
MARINETTE.	MARINETTTE.
Ce que i’en ay dit, n’eſt pas que ie vous preſſe.	Ce que j'en ai dit, n'est pas que je vous presse.
Ho!	Ho!
que non!	que non!
GROS-RENE.	GROS-RENE.
ERASTE.	ERASTE.
Celle-cy peut-eſtre aura dequoy te plaire.	Celle-cy peut-être aura dequoy te plaire.
Accepte-la pour celle que ie doy.	Accepte-la pour celle que je doy.
MANINETIE.	MANINETIE.
Monſieur, vous vous moquez, i’aurois honte à la prendre.	Monsieur, vous vous moquez, j'aurais honte à la prendre.
da d a nalv.	da d' à dalu.
Pauure honteuſe, pren, ſans dauantage attendre.	Pauvre honteuse, pren, sans davantage attendre.
Refuſer ce qu’on donne, eſt bon à faire aux foux.	Refuser ce qu'on donne, est bon à faire aux foux.
MARINETTE.	MARINETTTE.
Ce ſera pour garder quelque choſe de vous.	Ce sera pour garder quelque chose de vous.
ERASTE.	ERASTE.
Quand puis-je rendre grace à cet ange adorable	Quand puis-je rendre grâce à cet ange adorable
MARINETTE.	MARINETTTE.
Trauaniez a vous lendie vn pere fauorable.	Travaniez à vous lendie un père favorable.
ERASTE.	ERASTE.
Mais, s’il me rebutoit, dois-ie.	Mais, s'il me rebutait, dois-je.
MARINETTE.	MARINETTTE.
A lors comme à lors, Pour vous on employra toutes ſortes d’efforts, D’vne façon ou d’autre il faut qu’elle ſoit voſtre;	À lors comme à lors, Pour vous on emploira toutes sortes d'efforts, D'une façon ou d'autre il faut qu'elle soit votre;
Faites vôtre pouuoir, & nous ferons le nôtre.	Faites votre pouvoir, et nous ferons le nôtre.
Eana lea Adieu, nous en ſçaurons le ſuccés dans ce iour.	Eana le Dieu, nous en saurons le succès dans ce jour.
MARINETTE.	MARINETTTE.
Et nous, que dirons-nous auſſi de nôtre amour?	Et nous, que dirons-nous aussi de notre amour?
Tu ne m’en parles point.	Tu ne m'en parles point.
GROS-RENE'.	GROS-RENE'.
en nyilen qu'on Iodhaite Entre gens comme nous eſt choſe bien toſt faite.	en Philen qu'on Jodhaite Entre gens comme nous est chose bien tôt faite.
Ie te veux.	Je te veux.
Me veux-tu de meſme?	Me veux-tu de même?
MARINETTE	MARINETTTE
MARINETTE.	MARINETTTE.
Auec plaiſic.	Avec plaisic.
GROS-RENE'.	GROS-RENE'.
Teuche;	Teuche;
il ſuffit.	il suffit.
MARINETTE.	MARINETTTE.
Adieu, Gros-René mon deſir.	Adieu, Gros-René mon désir.
GROS-RENE.	GROS-RENE.
Adieu, mon Aſtre.	Adieu, mon Astre.
MARINETTE.	MARINETTTE.
Adieu, beau tiſon de ma flame.	Adieu, beau tison de ma flamme.
GROS-RENE'.	GROS-RENE'.
Adieu, chere comete, arc-en-Ciel de mon ame.	Adieu, chère comète, arc-en-Ciel de mon âme.
Le bon Dieu ſoit loüé, nos affaires vont bien;	Le bon Dieu soit loué, nos affaires vont bien;
Albert n’eſt pas vn homme à vous refuſer rien	Albert n'est pas un homme à vous refuser rien
ERASTE.	ERASTE.
Valere vient à nous.	Valère vient à nous.
GROS-RENE'.	GROS-RENE'.
Ie plains le pauure hére, Sçachant ce qui ſe paſſe.	Je plains le pauvre hére, Sachant ce qui se passe.
SCENE III.	SCÈNE III.
ERSTE,VALERE, GROS-RENE!	ERÊTE,VALERE, GROS-RENE!
ERASTE.	ERASTE.
E' bien?	E' bien?
Seigneur Valere IT	Seigneur Valère IT
VARERE.	VARERE.
Hé bien?	Hé bien?
Seigneur Eraſte.	Seigneur Éraste.
ERITE.	ERITE.
En quel état l’amour?	En quel état l'amour?
VALERE.	VALÈRE.
En quel état vos feux?	En quel état vos feux?
ERASTE.	ERASTE.
Plus forts de iour en iour,	Plus forts de jour en jour,
œ LATMERE.	œ LATMERE.
Et mon amour plus fort.	Et mon amour plus fort.
ERASTE.	ERASTE.
Pour Lucile?	Pour Lucile?
VALERE.	VALÈRE.
Pour elle.	Pour elle.
ERASTE.	ERASTE.
Certes, ie l’auoûeray, vous eſtcs le modelle D’vne rare conſtance.	Certes, Seigneur l'avouerai, vous estcs le modèle D'une rare constance.
VALERE.	VALÈRE.
Et votre fermete Doit eſtre vn rare exemple à la poſterité.	Et votre fermeté Doit être un rare exemple à la postérité.
ERASTE.	ERASTE.
