AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
Cet arc qui pareſt & n'eſt pas, Nous découure bien moins d’apas Que les puiſſances de votre Ame, Dont les veritables attraits Font voir dans vn cœur tout de flame, Des plus rares vertus les fidelles portrais Ces grandes Dames que l’Hiſtoire A rendu maiſtreſſes des temps, Que des memoires ſi conſtans Conſeruent touſiours dans la gloire, Firent moins que vous d’actions Dignes des aclamations De tous les peuples de la terre;	Cet arcs qui parêt et n'est pas, Nous découvre bien moins d'appas Que les puissances de votre Âme, Dont les véritables attraits Font voir dans un cœur tout de flamme, Des plus rares vertus les fidèles portrais Ces grandes Dames que l'Histoire A rendu maîtresses des temps, Que des mémoires si constants Conservent toujours dans la gloire, Firent moins que vous d'actions Dignes des aclamations De tous les peuples de la terre;
Puis qu’vn ſeul regard de vos yeux Peut donner la paix ou la guerre, Plus ſouuerainement que les flames des	Puis qu'un seul regard de vos yeux Peut donner la paix ou la guerre, Plus souverainement que les flammes des
Iadis les Dieux pour faire naître La Reine de toutes les fleurs Firent des plus belles couleurs La pourpre ou l’on la voit paraître:	Jadis les Dieux pour faire naître La Reine de toutes les fleurs Firent des plus belles couleurs La pourpre ou l'on la voit paraître:
Ainſi les Aſtres embelis, Pour faire la Reine des lys Ont pourueu ſon eſprit de charmes De qui l’inuincible pouuoir S’étend außi loin que les Armes Dont mon Prince entretient tout le monde en deuoir.	Ainsi les Astres embelis, Pour faire la Reine des lys Ont pourvu son esprit de charmes De qui l'invincible pouvoir S'étend aussi loin que les Armes Dont mon Prince entretient tout le monde en devoir.
M M.	M M.
DR.	DR.
HER Lecteur, voicy cette Madonte BRM.	HÉR Lecteur, voici cette Madonte BRM.
que perſonne n’auoit pû iuſqu’icy gaigner, ny forcer en ſa retenuë;	que personne n'avait pu jusqu'ici gagner, ni forcer en sa retenue;
cette fille encore timide apres auoir paru dans pluſieurs aſſemblees n’oſe pas ſe promettre qu’on la traite ſans paſſion dedans vn cabinet.	cette fille encore timide après avoir paru dans plusieurs assemblées n'ose pas se promettre qu'on la traite sans passion dedans un cabinet.
Pour moy ie treuue ſes défiances iuſtes, & bien que pour ſe rendre plus agreable, elle ayt vn peu changé ſes premiers traits de viſage auec vn fard qui n’eſt pas condamné, i’ay de la peine toutefois à conſentir à ſon deſſein.	Pour moi quelquefois trouve ses défiances justes, et bien que pour se rendre plus agréable, elle ait un peu changé ses premiers traits de visage avec un fard qui n'est pas condamné, j'ai de la peine toutefois à consentir à son dessein.
Il n’eſt pas des enfans de l’eſprit comme des autres, dõt les aiſnez ſont d’ordinaire les plus auantagez.	Il n'est pas des enfants de l'esprit comme des autres, donnait les aîné sont d'ordinaire les plus avantagés.
l’aurois grand tort de croire que i’ay fait des ouurages parfaits prenant encore des leçons, & compris des ſecrets ſans les apprendre auparauant.	l'aurais grand tort de croire que j'ai fait des ouvrages parfaits prenant encore des leçons, et compris des secrets sans les apprendre auparavant.
Celuy qui prit des hommes pour des arbres montra par la que ſa veuë eſtoit ſaine, les vns & les autres donnent des fruits en leur ſaiſon dont ils n’ont rien dans le printemps que l’eſperance;	Celui qui prit des hommes pour des arbres montra par la que sa vue était saine, les uns et les autres donnent des fruits en leur saison dont ils n'ont rien dans le printemps que l'espérance;
les oyſeaux n’ont pas ſi toſt des plumes pour voler, & ceux qui chantent auec plus de douceur attendent la fin de leur vie.	les oiseaux n'ont pas si tôt des plumes pour voler, et ceux qui chantent avec plus de douceur attendent la fin de leur vie.
Ie doute fort de ce qu’ont dit les curieux de quelques Indiennes, qu’elles ne feſoient point de ieunes enfans, pource qu’ils blanchiſſoient venant au monde;	Je doute fort de ce qu'ont dit les curieux de quelques Indiennes, qu'elles ne fesaient point de jeunes enfants, pource qu'ils blanchissaient venant au monde;
au moins ſuis-ie aſſuré que nous n’auons pas ce priuilege en France, ou les annees ne ſe confondent point l’vne dans l’autre, ou les hommes de iour en iour ſe rendent plus parfaits, & ſelon les degrez de l’age font voir de moindres ou de plus grands ſuiets a ſe faire admirer.	au moins suis-je assuré que nous n'avons pas ce privilège en France, ou les années ne se confondent point l'une dans l'autre, ou les hommes de jour en jour se rendent plus parfaits, et selon les degré de l'age font voir de moindres ou de plus grands sujets à se faire admirer.
Toutes choſes ſont petites à leur ſource, & ces grands fleuues qui ſeruent au commerce des peuples, ont à peine dequoy remplir la main & contenter la ſoif d’vn hõme au lieu de leur principe.	Toutes choses sont petites à leur source, et ces grands fleuves qui servent au commerce des peuples, ont à peine dequoy remplir la main et contenter la soif d'Un homme au lieu de leur principe.
Perſonne ne ſe peut vra ymẽt dire grand au point de ſa naiſſance & pour meriter en ce temps des loüanges, il faudroit faire autant que Dieu qui ne fut pas plûtoſt né qu’il crea vne étoile pour ſe faire adorer.	Personne ne se peut vr yment dire grand au point de sa naissance et pour mériter en ce temps des louanges, il faudrait faire autant que Dieu qui ne fut pas plutôt né qu'il créa été étoile pour se faire adorer.
Autrefois on a vû des ſiecles ſi groſſiers que les moins ſçauãs paſſoiẽt pour Magiciens:	Autrefois on a vu des siècles si grossiers que les moins sçauãs passaient pour Magiciens:
il eſtoit des eſprits dont la foibleſſe a fait des hereſies, qui ne pouuoient rien comprẽdre qu’à la faueur des organes du corps;	il était des esprits dont la faiblesse a fait des hérésies, qui ne pouvaient rien comprendre qu'à la faveur des organes du corps;
& n’éleuãs pas l’Ame plus haut que la veuë, feſoiẽt des Dieux ſuiets à nos ſens;	et n'éleuãs pas l'Ame plus haut que la vue, fesoiẽt des Dieux sujets à nos sens;
de ſorte que c’eſtoit aſſez de les étonner pour auoir des autels & des ſacrifices.	de sorte que c'était assez de les étonner pour avoir des autels et des sacrifices.
Mais auiourd’huy les hommes neſont ſi nouueaux, ny ſi faciles, la plûpart reçoiuent vn ouurage comme vne debte ou iamais ils ne treuuent leur comte, ils s’imaginent que le peuple ne doit faire que ſur leur aueu ſes aplaudiſſemens, que leur ſoufle fait & détruit les choſes, & qu’vn diſcours ſorty de leur bouche en faueur de quelqu'vli, ie renid mamie abſolu de toutes les opinions:	Mais aujourd'hui les hommes nesont si nouveaux, ni si faciles, la plupart reçoiuent un ouvrage comme une débte ou jamais ils ne trouvent leur compte, ils s'imaginent que le peuple ne doit faire que sur leur aveu ses applaudissements, que leur souffle fait et détruit les choses, et qu'un discours sorti de leur bouche en faveur de quelqu'une, ie renid mamie absolu de toutes les opinions:
imitans en cela ces Philoſophes anciens, qui batiſſoient & renuerſoient vn monde par l’amas & deſunion de certains petits corps dont la diuiſion n’eſt pas moins dificile que la rencontre de leur pierre.	imitants en cela ces Philosophes anciens, qui bâtissaient et renversaient un monde par l'amas et désunion de certains petits corps dont la division n'est pas moins diicile que la rencontre de leur pierre.
Déja quelques expers de cette rare ſecte pour combatre Damon auec les fleurs de ſon iardin, treuuent mauuais cet entretien auec vne Maiſtreſſe, ne conſiderant pas que de tous les obiets preſens il prend ſuiet de luy parler de ſon Amour.	Déjà quelques expers de cette rare secte pour combattre Damon avec les fleurs de son jardin, trouvent mauvais cet entretien avec une Maîtresse, ne considérant pas que de tous les objets presens il prend sujet de lui parler de son Amour.
Apres tout, les écrits des Poëtes reſſemblẽt aux fruits de la terre, ce ne ſont pas des viandes mais des apetits qu’vn eſtomac foible & debile ne ſçauroit ſuporter;	Après tout, les écrits des Poètes ressemblent aux fruits de la terre, ce ne sont pas des viandes mais des apétits qu'un estomac faible et débile ne saurait supporter;
ſi ceux-cy, cher Lecteur, ne te ſemblent pas entierement deſagreables, peut eſtre en recompenſe treuueray-ie bien le moyen de te traiter auec plus d’apareil & de mets plus ſolides.	si ceux-cy, cher Lecteur, ne te semblent pas entièrement désagréables, peut -être en récompense trouverai-je bien le moyen de te traiter avec plus d'appareil et de mets plus solides.
Tu n’auras point d’argument du ſuiet que tout le monde s’eſt rendu curieux d’aprẽdre par la bouche d’Aſtree, elle a fait de ſes auantures, & des amours deſes autres compagnes la ſcience des Dames d’auiourd’huy:	Tu n'auras point d'argument du sujet que tout le monde s'est rendu curieux d'apprendre par la bouche d'Astre, elle a fait de ses aventures, et des amours des autres compagnes la science des Dames d'aujourd'hui:
& d’ailleurs ceux qui verront cette piece (ſans les arreſter trop lõg temps à la porte du cabinet pour les entrerenir des ſuiets qui s’y trouuẽt) connoiſtront aſſez dans la ſuite des vers l’inuincible conſtance de Damon, les chaſtes amours de Madonte, les ruſes & les fureurs de Leriane, les fidelitez d’Haladin, & l’ambition de Therſandre.	et d'ailleurs ceux qui verront cette pièce (sans les arrêter trop l' temps à la porte du cabinet pour les entrerenir des suiets qui s'y trouvent) connaîtront assez dans la suite des vers l'invincible constance de Damon, les chastes amours de Madonte, les ruses et les fureurs de Leriane, les fidélités d'Haladin, et l'ambition de Thersandre.
ACTEVRS.	ACTEURS.
THERSANDRE.	THÉRSANDRE.
ARCAS.	ARCAS.
LERIANE.	LERIANE.
ORMANTE.	ORMANTE.
LEOTARIS.	LEOTARIS.
SON FRERE.	SON FRÈRE.
TORISMONDE.	TORISMONDE.
LEONTIDAS.	LENTIDAS.
L’HERMITE.	L'HÉRMITE.
LES PESCHEVRS.	LES PÊCHEURS.
ſubiet de Madonte.	sujet de Madonte.
Neueux de Leriane.	Neveux de Lériane.
Roy.	Roi.
Homme d’Eſtat.	Homme d'État.
Prince du peys de Foreſts.	Prince du péis de Forêts.
MAD DV A V N TE SIEVR VRAY TRAGICOMEDIE.	MAD DU A V N TE SIEVR VRAI TRAGICOMEDIE.
A C T 2 I SCENE PREMIERE.	A Ç À 2 I SCÈNE PREMIÈRE.
2 V MN MADONTE.	2 V MN MADONTE.
VAmour offre d’apas au milieu de ſes chaiſnes Qu'il donne de douceurs pour de petites geſnes!	VAmour offre d'apas au milieu de ses chaînes Qu'il donne de douceurs pour de petites gênes!
Ses coups ſont bien receus aucœur des Ammortels Qui bruslent leurs encens au pié de ſes Autels, L’imocent va tout nu, la gloire qu’il espere » Il ne la cherche point qu’aux beauteZ de ſa mere.	Ses coups sont bien reçus aucœur des Amortels Qui brûlent leurs encens au pié de ses Autels, L'imocent va tout nu, la gloire qu'il espère " Il ne la cherche point qu'aux beautés de sa mère.
Quoy qu’il peuſt pour nous vaincre, & pour nous fraAracher le bãdeau qu’il a deuant les yeux (per mieux Ha que ce dieu de feu me donne des atteintes Qui captiuent mes ſens par de douces contraintes, Et que ſes traits vainqueurs treuuent en ma raiſon Vne foible puiſſance à rompre ma priſon!	Quo qu’il pût pour nous vaincre, et pour nous fraAracher le bandau qu'il a devant les yeux (per mieux Ha que ce dieu de feu me donne des atteintes Qui captivent mes sens par de douces contraintes, Et que ses traits vainqueurs trouvent en ma raison oible puissance à rompre ma prison!
Rare obiet de mes vœux dont la ſeule peinture Seruiroit d’ornement à toute la Nature Veritable ſuiët de mes contentemens Toy qui porte l’eſprit à des rauiſſemens Voy, voy dedans ce cœur, ce cœur nouri de flame L’aymable Deité qu’idolâtre mon ame!	Rare objet de mes vœux dont la seule peinture Servirait d'ornement à toute la Nature Véritable suiët de mes contentements Toi qui porte l'esprit à des ravissements Voi, vois dedans ce cœur, ce cœur nouri de flamme L'aimable Dité qu'idolâtre mon âme!
Si Diane viuoit, te voyant tant d’apas Toute chaſte qu’elle eſt, elle ſuiuroit tes pas:	Si Diane vivait, te voyant tant d'appas Toute chaste qu'elle est, elle suivrait tes pas:
Ie croy que les vertus trouueroient impoßsible De ne le pas cherir ayant vn corps ſenſible, Il pourroit adoucir tous les flots de la Mer Et s’il flattoit vn Tygre on le verroit aymer.	Je crois que les vertus trouveraient impossible De ne le pas chérir ayant un corps sensible, Il pourrait adoucir tous les flots de la Mer Et s'il flattait un Tigre on le verrait aimer.
Mais la nuict a déia leue ſes ſombres voiles Et laißé ſucceder le Soleil aux étoiles, La ſeur s’enfuit du frere, & ſes feux empruntez Páliſſent a l’abor de plus viues clarteZ C’eſt le temps ou le Ciel me veut rendre contente Par la poſſeßion des fruits de mon attente Et que ie dois iouïr des rauiſſans diſcours De ce ieune voleur de mes chaſtes Amours Tu verras, cher Damon, que l’Aurore amoureuſe Sçait preuenir le iour, & n'eſt point pareſſeuſe!	Mais la nuit a déjà lève ses sombres voiles Et laissé succéder le Soleil aux étoiles, La seur s'enfuit du frère, et ses feux empruntés Plissent a l'abor de plus vives clartés C'est le temps ou le Ciel me veut rendre contente Par la passion des fruits de mon attente Et que je dois jouir des ravissants discours De ce jeune voleur de mes chastes Amours Tu verras, cher Damon, que l'Aurore amoureuse Sait prévenir le jour, et n'est point paresseuse!
Pour voir plutoſt l’obiet qui tient ma liberté, I'oſerois deſirer plus de legereté.	Pour voir plutôt l'objet qui tient ma liberté, J'oserais désirer plus de légèreté.
A T CENE D T I	À T CÈNE DE T I
LEONTIDAS, LERIANE.	LENTIDAS, LERIANE.
LEONTIDAS SEVL.	LENTIDAS SEUL.
Aez Vſqu’icy la fortune & facile & propice A fait en ma faueur diuorce à ſon caprice MNN C’eſt vn Soleil pour moy touſiours dãs l’OQui regarde mes biens d’vn viſage riant:	Aez Vsqu'ici la fortune et facile et propice A fait en ma faveur divorce à son caprice MN C'est un Soleil pour moi toujours dans l'OQui regarde mes biens d'un visage riant:
MI vieilleſſe du iour que ie veis la lumiere A gardecherement ſaliberté premiere Le Ciel à pris le ſoin de flater mes deſirs Se montrant complaiſant à mes iuſtes plaiſirs (rient Mes vertus m’ont aquis du nom & de la gloire Plus que n'en peut porter vn volume d’Hiſtoire	MI vieillesse du jour que sans véis la lumière A gardechèrement saliberté première Le Ciel à pris le soin de flatter mes désirs Se montrant complaisant à mes justes plaisirs (rients Mes vertus m'ont aquis du nom et de la gloire Plus que n'en peut porter un volume d'Histoire
Meſme ſous ce poil gris pres la mort que i’attens Les hyuers ſont encore à chaſſer mon printemps Ma ſanté qui parest iuſque ſur mon viſage I'ait que vingtans entiers on dérobe à mon âge;	Même sous ce poil gris pres la mort que j'attends Les hivers sont encore à chasser mon printemps Ma santé qui parêt jusque sur mon visage J'ait que vingtants entiers on dérobe à mon âge;
Ma ieuneſſe au milieu des pompes de la Cour N’a iamais recueilly que les roſes d’Amour, Quand mon cœur eſtoit pris d’vne flame diuine Ma liberté ſoudain en détournoit l’espine, Les plus rares beauteZ qui charmerent mes ſens Ne toucherent mon cœur que de coups innocens;	Ma jeunesse au milieu des pompes de la Cour N'a jamais recueilly que les roses d'Amour, Quand mon cœur était pris d'une flamme divine Ma liberté soudain en détournait l'épine, Les plus rares beautés qui charmèrent mes sens Ne touchèrent mon cœur que de coups innocents;
Mais quand l’Estat m’a fait Capitaine à la guerre I’ay fait douter de moy, ſi i’eſtois vn tonnerre, Et i’ay meſme obligé les eſprits médiſans De dire que les Dieux eſtoient mes partiſans:	Mais quand l'État m'a fait Capitaine à la guerre J'ai fait douter de moi, si j'étais un tonnerre, Et j'ai même obligé les esprits médisans De dire que les Dieux étaient mes partisans:
Peu de temps s’eſt paße depuis que mon épee Au ſang des ennemis s’eſt encore trempee;	Peu de temps s'est passée depuis que mon épée Au sang des ennemis s'est encore trempée;
Quelque ſoucy pourtant vient ſouuent m'engager A des regrets que i’ayme & taſche à prolonger De ne pouuoir borné dans ce bon heur extreſme Me le rendre eternel par vn autre moy-meſme De n’auoir pour témoins des actes triomphans D'vn pere genereux de ſemblables enfans.	Quelque souci pourtant vient souvent m'engager A des regrets que j'aime et tâche à prolonger De ne pouvoir borné dans ce bon heur extrême Me le rendre éternel par un autre moi-même De n'avoir pour témoins des actes triomphants D'un père généreux de semblables enfants.
I’ay pourtant vn neueu que la maiſon commune De ſa mere & de moy fait.	J'ai pourtant un neu que la maison commune De sa mère et de moi fait.
ſuiure à ma fortune;	suivre à ma fortune;
Le ſeul contentement que i’eſpere auiourd’huy C’est de faire vn accor de Modonte & de luy, Et d’auoir ce bon-heur de ioindre à ma famille Le ſang & les vertus de cette rare fille Pour luy donner des vœux, c’eſtaſſeZ de la voir, Toute la Cour l’honore, & luy cede en pouuoir, Mais outre les attraits qui ſont en ſon viſage Ce qui la rend außi plus digne d’vn hommage C’eſt qu’elle a des beauteZ dedans ſes reuenus Que ne poſſedoient pas Diane ny Venus.	Le seul contentement que j'espère aujourd'hui C'est de faire un accor de Modonte et de jours, Et d'avoir ce bonheur de joindre à ma famille Le sang et les vertus de cette rare fille Pour lui donner des vœux, c'estasseZ de la voir, Toute la Cour l'honore, et lui cede en pouvoir, Mais outre les attraits qui sont en son visage Ce qui la rend aussi plus digne d'un hommage C'est qu'elle a des beauts dedans ses revenus Que ne possédaient pas Diane aux Venus.
Or, d’autant que pluſieurs amoureux & folâtres Mettent le point d’honneur à s’en rendre Idolátres Et que Damon déia bien venu dans la Cour La regarde d’vn œil à luy faire l’Amour, Pour chaſſer du logis cette troupe profane Ie m’en puis repoſer aux ſoins de Leriane Ie l’oblige à cela ſous des conditions Qui la fera veiller aux moindres actions:	Or, d'autant que plusieurs amoureux et folâtres Mettent le point d'honneur à s'en rendre Idolátres Et que Damon déjà bien venu dans la Cour La regarde d'un œil à avait faire l'Amour, Pour chasser du logis cette troupe profane Je m'en puis reposer aux soins de Lériane Je l'oblige à cela sous des conditions Qui la fera veiller aux moindres actions:
Ne l’aperçoy-ie pas?	Ne l'aperçois-je pas?
hé bien quelle nouuelle Fais-tu bien ton deuoir, m’es-tu touſiours fidelle A quoy penſe Madonte à ce nouueau printemps?	hé bien quelle nouvelle Fais-tu bien ton devoir, m'es-tu toujours fidèle À quoi pense Madonte à ce nouveau printemps?
LERIANE.	LERIANE.
A paſſer ſans ennuyles beaux iours de ce temps Et diuertir d’vn ſoin petit & domestique Son pumeur que ie trenue aſſe (melancolique.	A passer sans ennuiles beaux jours de ce temps Et divertir d'un soin petit et domestique Son pumeur que ie clenue asse (mélancolique.
LEONTIDAS.	LENTIDAS.
Et Clite mon neueu la voit-il pas touſiours Luy fait-il à propos recit de ſes Amours?	Et Clite mon neu la voit-il pas toujours Lui fait-il à propos récit de ses Amours?
LERIANE.	LERIANE.
Ie croy que l’vn & l’autre en fait l’aprentiſſage Pour Clite, il ſcait fort bien contrefaire le ſage, Et le Dieu des ſçauans ne parleroit pas mieux Que quand ce beau ſoleil ſe preſente à ſes yeux.	Je crois que l'un et l'autre en fait l'apprentissage Pour Clite, il sait fort bien contrefaire le sage, Et le Dieu des savants ne parlerait pas mieux Que quand ce beau soleil se présente à ses yeux.
LEONTIDAS.	LENTIDAS.
Quel accueil luy fait elle?	Quel accueil cause fait elle?
LERIANE.	LERIANE.
aſſez froid, ce me ſemble, Et qui ne leur permet d’eſtre long temps enſemble, Elle affecte deia certaine grauité Qui la feroit paſſer pour quelque Deité Son ame toutefois a ſi peu de malice Qu'elle fuiroit l’Amour comme l’horreur d’vn vice Mais la ſincerité qui ſuit ſes actions Fera place a la fin aux belles paſsions Et ſon eſprit changé ſe iugera coupable De s’en eſtre montré ſi long temps incapable.	assez froid, ce me semble, Et qui ne leur permet d'être long temps ensemble, Elle affecte déjà certaine gravité Qui la ferait passer pour quelque Deité Son âme toutefois a si peu de malice Qu'elle fuirait l'Amour comme l'horreur d'un vice Mais la sincérité qui suit ses actions Fera place à la fin aux belles passions Et son esprit changé se jugera coupable De s'en être montré si long temps incapable.
LEONTIDAS.	LENTIDAS.
Cet agreable Auteur des ieux & des plaiſirs Se fera ſuiure en fin de ſes ieunes deſirs;	Cet agréable Auteur des jeux et des plaisirs Se fera suivre en fin de ses jeunes désirs;
C est encore vne fleur nouuellement écloſe Vn miroir qui reçoit l’obiet qu’on luy propoſe, Son eſprit eſt vn blanc où l’Amour de ſes traits Peut tirer ayſement quelqu’vn de ſes pourtraits C'eſt vne cire vierge, vne table d’attente.	Ç est encore une fleur nouvellement éclose Un miroir qui reçoit l'objet qu'on était propose, Son esprit est un blanc où l'Amour de ses traits Peut tirer aisément quelqu'un de ses pourtraits C'est une cire vierge, une table d'attente.
Ou mon intention ſe peut rendre contente, On y peut allumer de ces feux innocens Qui rangent la raiſon ſous l’Empire des ſens.	Ou mon intention se peut rendre contente, On y peut allumer de ces feux innocents Qui rangent la raison sous l'Empire des sens.
LERIANE.	LERIANE.
LERIANE.	LERIANE.
Le temps dont le pouuoir ne treuue point d’obſtac Le fait voir tous les iours par de plus grands mirae.	Le temps dont le pouvoir ne trouve point d'obstac Le fait voir tous les jours par de plus grands mirae.
Madonte eſt plus facile a traiter qu’vn lion dont l'Amour deuient maiſtre en ſa rebellion, elle s'adoucira.	Madonte est plus facile a traiter qu'un lion dont l'Amour devient maître en sa rébellion, elle s'adoucira.
LEONTIDAS.	LENTIDAS.
Ie te la recommande, Ne luyrefuſe rien de ce qu’elle demande Reconnois s’il ſe peut ce qu’elle a dans le ſein Sonde tout à loiſir ſon amoureux deſſein, Et ſcache que Damon de qui le grand courage Acorde les vertus aux beauteZ du viſage, Eſt veu d’elle d’vn œil qui n’eſt point ennemy Que luy d’autre coſté ne la voit qu’a demy;	Je te la recommande, Ne luyrefuse rien de ce qu'elle demande Reconnois s'il se peut ce qu'elle a dans le sein Sonde tout à loisir son amoureux dessein, Et scache que Damon de qui le grand courage Acorde les vertus aux beautés du visage, Est vu delle 'un œil qui n'est point ennemi Que était d'autre côté ne la voit qu'a demi;
Que l’vn & l’autre en fin brulent de meſmes flaQu’vn amour mutuel entretient dans leurs ames Détourne doncce coup, & prens garde qu’vn L Sans eſtre veu d’aucun peut allor en tout lieu, Vrayment il en fait bien pareſtre icy la ruſe?	Que l'autre et l'autre en fin brûlent de mêmes flaQu’un amour mutuel entretient dans leurs âmes Détourne doncce coup, et prends garde qu'un Sans être vu d'aucun peut allor en tout lieu, Vraiment il en fait bien paraître ici la ruse?
E Adieu:	 Adieu:
ce m’eſtaſſeZ, pourueu qu’on ne t’abuſe.	ce m'estasseZ, pourvu qu'on ne t'abuse.
LERIANE.	LERIANE.
Vous ſereZ ſatisfait, i’ay trop d’inuentions Pour ne pas mettre fin aces affections:	Vous serez satisfait, j'ai trop d'inventions Pour ne pas mettre fin aces affections:
Mais pauure Leriane, ou git ton eſperance Le remede du mal n’eſt pas en ta puiſſance:	Mais pauvre Lériane, ou gît ton espérance Le remède du mal n'est pas en ta puissance:
EI r.	EI r.
4.	4.
ſeule.	seule.
