PAALTAANDRE ITARDI,PaTſnen.	PALTANDRE ITARDI,PaTsnen.
L’excellence de cet ouurage meritoit bien que ie priſſe ce ſoin extraordinaire, & comme les vertus & les viſages de Theagene, & de Cariclée ſont ſans défaut & ſans imperfection, auſſi eſtoit-il raiſonnable & bienſeant à moy que ie te fiſſe voir imprimé ſans tache le recit de leurs auantures.	L'excellence de cet ouvrage méritait bien que sans prisse ce soin extraordinaire, et comme les vertus et les visages de Thagène, et de Cariclée sont sans défaut et sans imperfection, aussi était-il raisonnable et bienséant à moi que je te fisse voir imprimé sans tache le récit de leurs aventures.
Ioüy cher Lecteur de ce petit trauail, & reçoy fauorablement ce beau preſent que ie te fais.	Joui cher Lecteur de ce petit travail, et reçois favorablement ce beau présent que sans te fais.
Iamais homme ne ſortit triſte, ny mécontant de la lecture de cette Hiſtoire, & ne luy fut iamais aſſez de l’auoir leuë qu’vne ſeule fois, & moy ie ne me laſſeray iamais de te ſeruir, & de contribuer tout ce qu’il me ſera poſſible aux honeſtes diuertiſſemens de ton eſprit.	Jamais homme ne sortit triste, ni mécontant de la lecture de cette Histoire, et ne lui fut jamais assez de l'avoir lue qu'une seule fois, et moi rien ne me lasserai jamais de te servir, et de contribuer tout ce qu'il me sera possible aux honnêtes divertissements de ton esprit.
IN DOM.	IN DOM.
HARDY THEAGENEM, & CHARICLEAM.	HARDY THÉGENEM, et CHARICLEAM.
OCTOSTICON.	OCTOSTICON.
Ngenij famà, quamuis circum ſonet orbem, I Sublimis patrijs Heliodorus equis:	Négénij amà, quamuis circum sonet orbem, I Jublimis patrijs Éliodorus équis:
Componi tamen ad numeros, enchomia dudùm, Et ſibi Theagenes, & Chariclea petunt.	Componi tamen ad numéros, enchomia dudùm, Et sibi Theagenes, et Chariclea petunt.
Annuit Aonio de vertice.	Hannuit Aonio de vertice.
Gallus Apollo, Et genium Audacem carmina ad iſta dedit.	Gallus Apollo, Et génium Audacem carmina ad ista dédit.
deuctnanuna, quonte poiaiis amdre, Nec Græco, aut dignius ore cant.	deuctnanuna, quonte poiaiis amdre, Néc ô, aut dignius ore cant.
DISTICON.	DISTICON.
Maieſtas, & amor, ne quid deſideret artis, Aemula diuino eſt Muſa reperta ſtylo.	Majestas, et amor, ne quid déideret artis, Aemula divino est Musa reperta stylo.
AYM.	AYM.
MONETVS.	MONETUS.
in Curia Pariſ.	in Curia Paris.
Aduocatus.	Aduocatus.
Εἰς λαμπρθτατον α λογήτατον ἀνθεα APAION, ἀωτον τ τραγωδῶν.	Εἰς λαμπρθτατον λογήτατον ἀνθεα APAION, ἀωτον τραγωδῶν.
Zὲ σκήνη μελίγηρυν ἀηθθ́να, κόσμον ἀοίθῶν, Εἰναι ποις Κέλταις, APAIE, πας αϋει.	 σκήνη μελίγηρυν ἀηθθ́να, κόσμον ἀοίθῶν, Εἰναι ποις Κέλταις, APAIE, été,
Σὺ πραγκον φώνημα, κ οφρυόέσσαν ἀοιθην, Πύργωσας σιβαρῆ κομδός εν ἐυέπιν.	 πραγκον φώνημα, „ été ἀοιθην, Πύργωσας σιβαρῆ κομδός té ἐυέπιν,
Oύτω δ'έν τάυταις σελίσι φανερῶς αναφαίνει, Νὐν πνείοντα μέλη τῆς πρμγιαης χαριτος.	Oύτω τάυταις σελίσι φανερῶς αναφαίνει, Νὐν πνείοντα μέλη τῆς πρμγιαης χαριτος.
Τένεκα ἴσθ' ότισοι κλέος ἀφθητον ἔσσεται, ἰσον, Αιχύλο ἀυάνις ὠ Σοφοκλος χύρισι.	Τένεκα ἴσθ' été été ἀφθητον ἔσσεται, ἰσον, Αιχύλο ἀυάνις Σοφοκλος §,
EIE THNIETOPIAN AIOIOHIKHN Αλεξάνδρς APAAIOY ANAPOΣ λογOτάτς, ποιητς Βασιλικς, κ το βν παy50o1s & poseporro.	EYE -THNIETOPIAN AIOIOHIKHN Αλεξάνδρς APAIOIOY ANAPO λογOτάτς, ποιητς Βασιλικς, παy50o1s et poseporro.
Oαὐμα μέγα γέφονεν.	Ô μέγα γέφονεν.
φύσεως ὰ̓ γνήσιον έγον, Αμβρόσιος τέγνης μῦ δεδέμηκε πόνος.	φύσεως γνήσιον έγον, Αμβρόσιος τέγνης δεδέμηκε πόνος,
Ιωφράφος εὔσημος (ἀρρητον πορᾶγμα) τοκηων, Ἐν τῶ τος παῖδας ποιέμθυαι κρατέδ.	Ιωφράφος εὔσημος (ἀρρητον πορᾶγμα) τοκηων, παῖδας ποιέμθυαι κρατέδ.
Tίς παραδοξα γελᾶ, ἐν ἐνι παραδέιγματι τθτο, Αέξι χ Αρδιαιος χ Πλιόθωρος ἐρει.	Tίς παραδοξα γελᾶ, ἐνι παραδέιγματι τθτο, Αέξι Αρδιαιος Πλιόθωρος ἐρει,
Αρδαιος ποιει, τικτει δε κ Πλιόθωρος.	Αρδαιος ποιει, τικτει δε κ Πλιόθωρος.
Πoinτiς νικᾶ φειαγενς τοκέα.	Πoinτiς νικᾶ φειαγενς τοκέα.
Ε’μγυχον μέν γερ ΠOΙHΤω λαμπρα θέατρα, Αλυυχν ΤOΚΕφE, Oααγενμί δὲ Βλέπει.	μγυχον μέν „ ÉTé été Ô, Αλυυχν ΤOΚΕφE, Oααγενμί été Βλέπει,
AD INSIGNE HELIODORI OPVS,OCTO TRAGEDIIS REDDITVM, & admirando artificio expreſſum à Clariſſ.	AD INSIGNE HÉLIODORI OPUS,OCTO TRAGEDIS REDDITVM, et admirando artificio expressum à Clariss.
V.	V.
ALEXAN.	ALEXAN.
HARDY, RE	HARDY, RE
*T JHeagenes iuuenis, pulchraq;	*T JHeagenes juenis, pulchraq;
Cariclea forma, T Elyſium nuper cum ſubiere nemus:	Caricle forma, T Lysium nuper cum subière nemus:
Ceſſanti ex templo ſeſe per amœna vireta, Iunxerunt comites, Heliodore, tibi, Viſne, aiunt, quoniam ceſſas, vt & otia noſtra, Iam fallat lepidis fabula mixta iocis.	Cessanti ex templo zée per amina vireta, Iunxerunt comités, Héliodore, tibi, Visne, aiunt, quoniam cessas, ut et otia nostra, Iam fallat lepidis fabula mixta jocis.
Præſtat, & eſt melius noſtros euoluere amores:	Prætat, et est mélius nostros euoluere amores:
I Nam tuus ille labor, noſter & ille dolor.	I Nam tuus ille labor, noster et ille dolor.
Ordine cœperunt varios percurre recaſus, Quos memor es Græcà te poſuiſſe manu.	Ordine cœpérunt varios percurre recasus, Quos mémor es Græcà te posuisse manu.
Vix dum finierant, aliud cùm pumice cultum, E caſto volumen replicuere ſinu.	Vix dum finierant, aliud cùm culice cultum, E asto volumen replicuère sinu.
En noſtras referunt, non vnica Græcia curas, Sed grauis eloquio Gallia tota legit.	En nostras reférunt, non unica Græcia curas, Sed gravis éloquio Gallia tota légit.
Aſpice te grandi vinctumsplendere cothurno:	Aspice te grandi vinctumsplendère cothurno:
Et quà RES TRAGICAE fulgere veſte ſolent.	Et quà RÉS TRAGICAE fulgère vête solent.
Atque, vt ſtent ibi cuncta locum ſortit adecenter:	Atque, ut stent ibi cuncta locum sortit adecent:
Verborum & quàm ſit vis animata, vide.	Verborum et quàm sit vis animata, vide.
Quid Paranymphe ſtupes?	Quid Paranymphe stupes?
quid terras lumine figis?	quid terras lumine figis?
Dic, age, ſi fas eſt, quàm placet iſtud opus.	Dic, age, si sas est, quàm placet istud opus.
Tum, Tu equidem breuiter, quæ nunc ſententia ſurgit, Anxietas cum vos mordeat iſta, dabo.	Tum, Tu equidem breviter, quit nunc sententia surgit, Anxiétas cum vos mordeat ista, dabo.
Nam mihi Pontifici qualis fluit optio dicta, Et quali (noſtis) conditione data.	Nam mihi Pontifici qualis fluit optio dicta, Et quali (ntis) conditione data.
Græca vt ſeruarem, quæ ſola extare liquebat, Perdere tum volui Pontificale pedum.	Græca vt servarem, quæ zola extare liquebat, Perde tum volui Pontificale pedum.
Sed mihi apud Manes nunc optio ſi noua fiat, Gallica vtiſeruem, perdere Græca velim.	Sed mihi apud Manes nunc optio si noua fiat, Galica vtiservem, perdere Græca velim.
A MONSIEVR HARDY	À MONSIEUR HARDY
STANCES.	STANCES.
L.	L.
otur Ardy, c’eſt eſtre vain au delà du trépas, II Que de chercher ſans ceſſe en ecriuãt vn liure Le moyen de ſe faire viure, Apres que nous ne ſommes pas.	otur Ardi, c'est être vain au delà du trépas, II Que de chercher sans cesse en ecriuãtivre livre Le moyen de se faire vivre, Après que nous ne sommes pas.
celuy-là qui pourchaſſe vn bien ſi deçeuant, Que chaque moment nous enuie Et qui n’eſt qu'vn ſoupir de vent.	celui-là qui pourchasse un bien si décevant, Que chaque moment nous envie Et qui n'est qu'un soupir de vent.
Mais außy celuy-là ne ſe trompe pas moins, Qui viuant icy bas, ſe dérobe la gloire, Et ne veut pas que la memoire, En ait ſes ecrits de témoins.	Mais aussi celui-là ne se trompe pas moins, Qui vivant ici bas, se dérobe la gloire, Et ne veut pas que la mémoire, En ait ses écrits de témoins.
Au lieu que c'eſt au ſage vn modeſte ſouy, De flairer les odeurs d’vne douce fumée, Que nous donne la renommée, Tandis que nous ſommes icy.	Au lieu que c'est au sage un modeste soui, De flairer les odeurs d'une douce fumée, Que nous donne la renommée, Tandis que nous sommes ici.
Toy qui de nos François écris ſi doctement, Veux-tu cacher au iour les honneurs de la Scene, Sans goûter apres tant de peine, Quelque peu de contentement.	Toi qui de nos Français écris si doctement, Veux-tu cacher au jour les honneurs de la Scène, Sans goûter après tant de peine, Quelque peu de contentement.
Ce que la Tragœdie à de rare, & de beau, Mourra-t’il ſans honneur par ton ingratitude, A qui la poudre d’vne étude Sert déja comme de tombeau?	Ce que la Tragœdie à de rare, et de beau, Mourra-t-il sans honneur par ton ingratitude, À qui la poudre d'une étude Sert déjà comme de tombeau?
Tout le monde eſt aigry de ta ſeuerité, Et le bois d'vne biere, où l’aitin d'vne lamé, Ne pourra te couurir du blâme De toute la poſterité.	Tout le monde est aigri de ta sévérité, Et le bois d'une bière, où l'aitin d'une lamé, Ne pourra te couvrir du blâme De toute la postérité.
141 Si tes vers auec toy dans vne tombe enclos, Luy rauiſſent l’honneur d’admirer les merueilles De tant de trauaux, & de veilles, Lors que tu ſeras en repõs.	141 Si tes vers auec toi dans une tombe enclos, Lui ravissent l'honneur d'admirer les merveilles De tant de travaux, et de veilles, Lors que tu seras en repõs.
I'excuſe ton dépit, quand ie me ramentoy Que la France eſt ingrate à ta Muſe immortelle, Et qu’apres auoir fait pour elle, Elle deuoit faire pour toy.	J'excuse ton dépit, quand je me ramentais Que la France est ingrate à ta Muse immortelle, Et qu'après avoir fait pour elle, Elle devait faire pour toi.
Atas que l home prudent de malheurs combatu;	Atas que l home prudent de malheurs combattu;
Qui s’imagine tout moindre que ſon courage, Lors que la fortune l’outrage, Fait mieux éclater ſa vertu.	Qui s'imagine tout moindre que son courage, Lors que la fortune l'outrage, Fait mieux éclater sa vertu.
Ton exemple nous montre en ce fiecte pemers, Où l’ignorance regne, & le ſçauoir ſuccombe, Que c'eſt pour tapiſſer la tombe, Que nons deuons faire des vers.	Ton exemple nous montre en ce fiècte pemers, Où l'ignorance règne, et le savoir succombe, Que c'est pour tapisser la tombe, Que nons devons faire des vers.
Autrement, le merite, où le plus grand labeur, Sert de ioüet infâme à l’auare fortune, Et quelque ſoin qui l’importune, Ne gaigne iamais ſa faueur.	Autrement, le mérite, où le plus grand labeur, Sert de jet infâme à l'avare fortune, Et quelque soin qui l'importune, Ne gagne jamais sa faveur.
A 1 RE.	À 1 RE.
Nfin notre priere a vaincu ta conſtance, L'Et le iuſte ſouhait des plus rares eſprits, Doit à cette faueur, tout ce que doit la France Au trauail glorieux de tes doctes écrits.	Nfin notre prière a vaincu ta constance, L'Et le juste souhait des plus rares esprits, Doit à cette faveur, tout ce que doit la France Au travail glorieux de tes doctes écrits.
La belle Cariclée, & ſon cher Theagene, Du Theatre fameux ont reſoné les vers, 0 Pour cueillir auec toy la moiſſon de leur peine Sur celuy que la gloire éleue en d'vniuers A Vous dont le nom doit eſtre à iamais memorable, Apres tant de trauaux il vous faut conſoler, Car Hardy vous va rendre Apollon fauorable.	La belle Cariclée, et son cher Théagène, Du Théâtre fameux ont résoné les vers, 0 Pour cueillir avec toi la moisson de leur peine Sur celui que la gloire élève en d'Hivers A Vous dont le nom doit être à jamais mémorable, Apres tant de travaux il vous faut consoler, Car Hardi vous va rendre Apollon favorable.
Auquel vn Roy cruel vous voulut immoler.	Auquel quelque Roi cruel vous voulut immoler.
H Ce Dieu même eſt le chef du troüpeau de Parnaſſe.	H H Dieu -même est le chef du troupeau de Parnasse.
Hardy ſon Preſtre ſaint, préſide à ſes autels LI.	Hardi son Prêtre saint, préside à ses autels LI.
Et vous craigneZ en vain la mort qui vous menace, Puiſque par ſes écrits il vous fait immortels.	Et vous craignez en vain la mort qui vous menace, Puisque par ses écrits il vous fait immortels.
Vous fûtes malheureux en la courſe premieré, Suiuans l’aueuglement de fortune, & d’Amour, Mais maintenant le Dieu qui dõne la lumiere, Vous ſeruira de guide en vous donant le iour.	Vous fûtes malheureux en la course premieré, Suivants l'aveuglement de fortune, et d'Amour, Mais maintenant le Dieu qui donne la lumière, Vous servira de guide en vous donant le jour.
Courez heureuſement ſur la terre, & ſur l’onde, Publier votre gloire aux climats étrangers, Votre amour ſerutra d’exemple à tout le monde, Qui fut toujours plus ferme au milieu des dangers.	Courez heureusement sur la terre, et sur l'onde, Publier votre gloire aux climats étrangers, Votre amour serutra d'exemple à tout le monde, Qui fut toujours plus ferme au milieu des dangers.
Que ſi vous arriuez en la noire contrée, Qui voit rougir l Aurore au point de ſon réueil, On vous éleuera des autels à l’entrée, Afin d'eſtre adorez ainſy que le Soleil.	Que si vous arrivez en la noire contrée, Qui voit rougir l Aurore au point de son réueil, On vous éleuera des autels à l'entrée, Afin d'être adorez ainsi que le Soleil.
L’Amour inuiolable y rendra ſes Oracles, Ses pelerins deuots y porteront leurs vœux, Et les vers du Poëtey diront vos miracles, Ariuez d'âge en age à nos derniers neueux.	L'Amour inviolable y rendra ses Oracles, Ses pèlerins dévots y porteront leurs vœux, Et les vers du Poètey diront vos miracles, Arivez d'âge en age à nos derniers neueux.
A MONSIEVR HARDY.	À MONSIEUR HARDY.
ONNET.	ONNNET.
Rãd demon du ſçauoir, veine la plus hardie,  Que la Muſe honora de ſon affection, HARDY, de qui l’eſprit a mis la Tragœdie Au ſouuerain degré de ſa perfection.	Rand démon du savoir, veine la plus hardie, Que la Muse honora de son affection, HARDY, de qui l'esprit a mis la Tragédie Au souuerain degré de sa perfection.
La Scene n’ût iamais (quoy que la Grece die, L’ornement qu'elle a pris de ton inuention, Sur qui Mars, et l’Amour, font voir leur perfidie, Et les actes ſanglans de leur ambition.	La Scène n'ut jamais (quoi que la Grèce die, L'ornement qu'elle a pris de ton invention, Sur qui Mars, et l'Amour, font voir leur perfidie, Et les actes sanglants de leur ambition.
Ta diuine fureur, qui n'a point de pareille, Remplit l’âme des Dieux, & nos cœurs, de merueille, Les Muſes à ta gloire érigent des autels.	Ta divine fureur, qui n'a point de pareille, Remplit l'âme des Dieux, et nos cœurs, de merveille, Les Muses à ta gloire érigent des autels.
Tu ſerois eſtimé Dieu de la Poëſie, Et tioit ce rang d’honeur, où notre fantaiſie, Met encor Apollon parmy les immortels.	Tu serais estimé Dieu de la Poésie, Et tiait ce rang d'honeur, où notre fantaisie, Met encor Apollon parmi les immortels.
A.	A.
DVBRETON.	DUBRETON.
A MONSIEVR HARDY.	À MONSIEUR HARDY.
EPIGRAMME.	ÉPIGRAMME.
Viſque l’Autheur de cette Hiſtoire.	Visque l'Auteur de cette Histoire.
I Voulut en préferer lagloire, A ſes biens, & à ſon crédit;	I Voulut en préférer lagloire, À ses biens, et à son crédit;
HARDY, qui la done à la France, Merite bien de récompance, Ce qu'Heliodore perdit.	HARDY, qui la done à la France, Mérite bien de récompance, Ce qu'Héliodore perdit.
GABRIEL ANISSON, Aduocar au Parlement de Grenoble.	GABRIEL ANISON, Aduocar au Parlement de Grenoble.
Extrait du Priuilege du Roy.	Extrait du Privilège du Roi.
At grace & Priuilege du Roy, il eſt permis à AleTxandre Hardy, Poëte de ſa Majeſté, de faire imprimer par tels Libraires, & Imprimeurs, que bon luy ſemblera, toutes & chacunes ſes œuures, contenantes pluſieurs Poëmes, Tragœdies & Paſtorales;	At grâce et Privilège du Roi, il est permis à AleTxandre Hardi, Poète de sa Majesté, de faire imprimer par tels Libraires, et Imprimeurs, que bon lui semblera, toutes et chacunes ses œuvres, contenantes plusieurs Poèmes, Tragœdies et Pastorales;
& ſpecialement (les Chaſtes & loyalles amours de Theagene, & Cariclée, reduites du Grec de l’Hiſtoire d’Heliodore en 8.	et spécialement (les Chastes et loyalles amours de Théagène, et Cariclée, réduites du Grec de l'Histoire d'Héliodore en 8.
Poëmes Dramatiques, où Theatres conſecutifs) par luy reueuë & corrigée pour cét éfet, auec defences à tous Libraires, Imprimeurs & Relieurs, & autres perſonnes de quelque eſtat, & condition qu’ils ſoient, de l’imprimer, où faire imprimer,ny en extraire, ou tirer aucune choſe, ny en autres œuures, ſi ce n’eſt du conſentement dudit ſieur Hardy, pendant le temps & eſpace de dix ans, à pelie de j666.	Poèmes Dramatiques, où Théatres consécutifs) par même revue et corrigée pour cet éfet, avec défenses à tous Libraires, Imprimeurs et Relieurs, et autres personnes de quelque état, et condition qu'ils soient, de l'imprimer, où faire imprimer, en extraire, ou tirer aucune chose, ni en autres œuvres, si ce n'est du consentement dudit sieur Hardy, pendant le temps et espace de dix ans, à pelie de j666.
flures d’amende, & autres peines contenuës en l’original du preient extraict, donné à Paris le 8.	flures d'amende, et autres peines contenues en l'original du preient extraict, donné Paris le 8.
iour d’Octobre 1622.	jour d'Octobre 1622.
ſigné L’AMY, & ſeellé de cire iaune.	signé L'AMY, et seellé de cire jaune.
t Ledit ſieur Hardy a éleu & choiſi pour imprimer ſes dites œuures, Jacques Queſnel, auquel il a fait tranſport dudit Priuilege, ſuiuant l’accord qu’ils ont paſſe enſemblement, pardeuant deux Notaires du Chaſtelet de Paris.	 Ledit sieur Hardi a éleu et choisi pour imprimer ses dites œuvres, Jacques Quesnel, auquel il a fait transport dudit Privilège, suivant l'accord qu'ils ont passe ensemblement, pardevant deux Notaires du Châtelet de Paris.
JAR grace & Priuilege du Roy, il eſt perY mis à lacques Queſnel Marchant Libraire à Paris, d’imprimer où faire imprimer, Les Chaſtes & loyales Amours de Theagene, & Cariclée, réduite du Grec de l’Hiſtoire d'Heliodore, en huict Poëmes Dramatiques, où de Theatre conſecutifs.	JAR grâce et Privilège du Roi, il est pérY mis à lacques Quesnel Marchant Libraire à Paris, d'imprimer où faire imprimer, Les Chastes et loyales Amours de Thagène, et Cariclée, réduite du Grec de l'Histoire d'Héliodore, en huit Poèmes Dramatiques, où de Théâtre consécutifs.
Par Alexandre Hardy, auec défences à tous Libraires, Imprimeurs, & autres perſones de quelque eſtat, & condition qu’ils ſoient d’imprimer, où faire imprimer ledit liure, pendant le temps & eſpace de dix ans entiers & conſecutifs, à peine de mil liures d’amende, & de confiſcation de tous les exemplaires, qui ſe trouueront contrefais, & de tous deſpens, dommages & intereſts, nonobſtant oppoſitions, ou appellations quelconques, clameur de Haro, ny autres chartres à ce contraire, ainſy qu’il eſt plus au long contenu en l’original, donné à Paris le 11.	Par Alexandre Hardi, avec défenses à tous Libraires, Imprimeurs, et autres persones de quelque état, et condition qu'ils soient d'imprimer, où faire imprimer ledit livre, pendant le temps et espace de dix ans entiers et consécutifs, à peine de mille livres d'amende, et de confiscation de tous les exemplaires, qui se trouveront contrefais, et de tous dépens, dommages et intérêts, nonobstant oppositions, ou appellations quel, clameur de Haro, ç autres de à ce contraire, ainsy l'il est plus au long contenu en l'il, donné st Plus le 11.
Feuriet 1623.	Feuriet 1623.
S é, Par le Roy en ſon Conſeil.	S é, Par le Roi en son Conseil.
CROYSET.	CROYSET.
Scellé du grand Sceau de cire iaune.	Scellé du grand Sceau de cire jaune.
SOMMAIRE DV ſujet de la premiere Ra eillneaa	SOMMAIRE DU sujet de la première Ra eillneaa
HEAGENE, & Cariclée, choiſis ſelon la coutume, celebrent le ſacrifice annuel, qui ſe faiſoit à Delphes en l’honneur d’Apollon, ou deuenus reciproquement amoureux l’vn de l’autre, Cariclée, du Temple ſe retire malade au logis de Charicle ſon pere putatif, ainſy que Theagene;	HÉGENE, et Cariclée, choisis selon la coutume, célèbrent le sacrifice annuel, qui se faisait à Delphes en l'honneur d'Apollon, ou devenus réciproquement amoureux l'un de l'autre, Cariclée, du Temple se retire malade au logis de Charicle son père putatif, ains que Théagène;
à qui ce mal contagieux cauſe les meſmes accidens.	à qui ce mal contagieux cause les mêmes accidents.
