A 3591.	À 3591.
C’eſt là que cét autheur de nos maux tient ſa Cour, Ce fut là que tu vis premierement le iour.	C'est là que cet auteur de nos maux tient sa Cour, Ce fut là que tu vis premièrement le jour.
C’eſt là que de nos maux ie veux l’aller inſtruire, Et c’eſt là qu'auiourd’huy ie te veux reconduire.	C'est là que de nos maux ie veux l'aller instruire, Et c'est là qu'aujourd'hui jour te veux reconduire.
Sortons donc, mon cher fils, de ces vaſtes forêts, Où nos biens ſont trop ieute te not muur trop ſecrets.	Sortons donc, mon cher fils, de ces vastes forêts, Où nos biens sont trop jeute te not muvr trop secrets.
De cette ſolitude en ſouffrance feconde Vne Vne ſeconde fois ie te veux mettre au monde.	De cette solitude en souffrance féonde Une seconde fois ie te veux mettre au monde.
A ce Pere inconnu ie te veux preſenter dour gages de ma fay dontſola douter.	À ce Père inconnu après te veux présenter dour gages de ma fais dontsolà douter.
BENONI.	BENONI.
Marchons donc au pluſtoſt, mes pleurs & mee careſſes, Pour le perſuader n’auront que trop d’addreſſes.	Marchons donc au plustost, mes pleurs et mee caresses, Pour le persuader n'auront que trop d'adresses.
GENEVIEVE.	GENEVIÈVE.
Non, mon fils, ce deſſein ſeroit trop hazardeux, Si ſur la même route on nous voyoit tous deux:	Non, mon fils, ce dessein serait trop hasardeux, Si sur la même route on nous voyait tous deux:
Il vaut mieux te cacher dans ce bois pour m’attendre, Ayant ſondé ee guay ie viendray te reprendre.	Il vaut mieux te cacher dans ce bois pour m'attendre, Ayant sondé ce guai toujours viendrai te reprendre.
BENONI.	BENONI.
Quoy donc me voulez-vous abandonner ainſi?	Quoi donc me voulez-vous abandonner ainsi?
GENEVIEVE.	GENEVIÈVE.
Ie laiſſe auecque toy tous mes amours icy;	Je laisse auecque toi tous mes amours ici;
Ie t’y viendray querir, ce baiſer t’en aſſeure;	Je t'y viendrai quérir, ce baiser t'en assure;
Cache-toy ſeulement dans cette grotte obſcure.	Cache-toi seulement dans cette grotte obscure.
Avant que le Soleil ait terminé le jour, Ie tepromets, mon ſils, d’eſtre icy de retour.	Avant que le Soleil ait terminé le jour, Je tepromets, mon sils, d'être ici de retour.
DENONI.	DENONI.
Ah vous dois-je quitter!	Ah vous dois-je quitter!
GENEVIE'VE.	GENEUIE'UE.
Veux tu donc que ie reſte?	Veux -tu donc que Ne reste?
BENONI.	BENONI.
Non.	Non.
Mais ie crains pour vous cette maiſon funeſte.	Mais ainsi crains pour vous cette maison funeste.
GENEVIE'VE.	GENEUIE'UE.
Va, mon fils, ne crains rien.	Va, mon fils, ne crains rien.
BENONI.	BENONI.
Reuenez donc bien-toſt, dot la fo	Revenez donc bientôt, dot la fo
Ent lebaiſe.	Ent lebaise.
L’Innocence.	L'Innocence.
Reconnuë,	Reconnue,
GENEVIEVE ſeule.	GENEVIÈVE seule.
’Eſt en vos mains, Seigneur, que ie mets ce depoſt, Ie le laiſſe en ces bois ſous voſtre ſainte garde, Pendant qu’en ce Chaſteau pour luy ie me hazarde.	Ô Laisse en vos mains, Seigneur, que je mets ce dépôt, Je le laisse en ces bois sous votre sainte garde, Pendant qu'en ce Château pour lu ie me hasarde.
Que ſi ie dois perir, Arbitre de nos jours Vous le pourrez ſauuer, par quelque autre ſecours.	Que si ici dois périr, Arbitre de nos jours Vous le pourrez sauver, par quelque autre secours.
Et vous, chers confidents de mes inquiétudes Rochers, arbres, ruiſſeaux, aimables ſolitudes Dont les charmes ſecrets en flattant ma douleur N’ont fait que prolonger ma peine & mon malheur, Puis qu’vn ſi beau deſſein m’a iuſqu’icy conduite, Pour me rendre à Sifroy ſouffrez que ie vous quitte, Et que pour voir lafin d’vn ſi funeſte ſort, I'aille chez luy chercher ou ma grace ou ma mort.	Et vous, chers confidents de mes inquiétudes Rochers, arbres, ruisseaux, aimables solitudes Dont les charmes secrets en flattant ma douleur N'ont fait que prolonger ma peine et mon malheur, Puis qu'un si beau dessein m'a jusqu'ici conduite, Pour me rendre à Sifroy souffrez que ici vous quitte, Et que pour voir lafin d'un si este sort, J'aille chez lui chercher ou ma grâce ou ma mort.
Il eſt vray, chers deſerts, que ie vous dois la vie Qu’vne ialouſe humeur m’auoit preſque rauie.	Il est vrai, chers déserts, que je vous dois la vie Qu'une jalouse humeur m'avait presque ravie.
Il eſt vray, chers deſerts, que ie treuuay chez vous, Ce que ie n’auois pû dans l’eſprit d’vn Eſpoux.	Il est vrai, chers déserts, que je trouvai chez vous, Ce que ici n'avais pu dans l'esprit d'un Époux.
Vous permiſtes au moins que ie vous informaſſe Et n’apriſtes mes maux que pour me faire grace;	Vous permîtes au moins que ici vous informasse Et n'apristes mes maux que pour me faire grâce;
Mais ſoufftez que ie l'aille au moins deſabuſer, De ce que l’Enfer ſeula pû me ſuppoſer;	Mais soufftez que Madame l'aille au moins désabuser, De ce que l'Enfer seula pu me supposer;
Ah!	Ah!
que me dites vous par ces ſecrets reproches	que me dites -vous par ces secrets reproches
Que me font là deſſus vos arbres & vos roches.	Que me font là dessus vos arbres et vos roches.
Helas!	Hélas!
me dites-vous, vne ſeconde ffame:	me dites-vous, une seconde ffâme:
A deſia fait mourir la tienne dans ſon ame, Cieux!	À déjà fait mourir la tienne dans son âme, Cieux!
auroit-il eſté ſi traiſtre à l’amitié, Qu’il aura deû garder à ſa chere moitié?	aurait-il été si traître à l'amitié, Qu'il aura dû garder à sa chère moitié?
Non, il aura voulu ſe conſerner la gloire D'auoir du moins eſté fidelle à ma memoire.	Non, il aura voulu se conserner la gloire D'avoir du moins été fidèle à ma mémoire.
Soupçons, craintes, deſirs, que voulez-vous de moy, Que dois-ie me promettre ou craindre de Sifroy?	Soupçons, craintes, désirs, que voulez-vous de moi, Que dois-je me promettre ou craindre de Sifroy?
Quoy qu’il en ſoit, cherchons chez luy noſtre refuge, s’il n’eſt plus mon Eſpoux, il doit eſtre mon Iuge.	Quoi qu'il en soit, cherchons chez lui notre refuge, s'il n'est plus mon Époux, il doit être mon Juge.
Allons finir la vie en ces funeſtes tours Où furent éclipſez les plus beaux de mes iours, Ne pouuant autrement prouuer mon innocence, Ie la puis hazarder pour ſa propre deſfence;	Allons finir la vie en ces funestes tours Où furent éclipsez les plus beaux de mes jours, Ne pouvant autrement prouver mon innocence, Je la puis hasarder pour sa propre desfence;
Mais helas!	Mais hélas!
mon Sifroy ſçaura t’il qui ie ſuis, Dans ce grand changement qu’ont cauſé mes ennuis?	mon Sifroy après t'il qui Rom suis, Dans ce grand changement qu'ont causé mes ennuis?
S’il ne me connoiſt plus, ce qui me défigure, nuj veta de ines maux la naïfue peinture, Ces traits tout émouſſez, ces yeux tout languiſſans, Pour luy percer le cœur en ſeront plus puiſſans.	S'il ne me connaît plus, ce qui me défigure, nuj veta de ines maux la naïve peinture, Ces traits tout émoussez, ces yeux tout languissants, Pour lui percer le cœur en seront plus puissants.
pourſutir,	poursutir,
SCENE III.	SCÈNE III.
GENEVIEVE, ORISMOND.	GENEVIÈVE, ORISMOND.
ORISMOND.	ORISMOND.
Eneuiéve?	Eneuiéve?
GENEVIE’VE.	GENEUIE'UE.
D’où vient cette voix qui m’appeller B	D'où vient cette voix qui m'appeler B
ORISMOND.	ORISMOND.
ma emcle niiee	ma emcle niée
GENEVIEVE.	GENEVIÈVE.
O Dieu!	Ô Dieu!
c’eſt ce vieillard fidelle Dont le ſoin m'éleua pendant mes premiers ans.	c'est ce vieillard fidèle Dont le soin m'éleva pendant mes premiers ans.
ORISMOND.	ORISMOND.
Eſpargne les ennuis, qui depuis ſi long-temps Me font en vain chercher en des lieux ſifuneſtes, De ton corps déchiré les pitoyables reſtes, Et me montre l’endroit qui nous cache tes os, Pour leur rendre l’honneur auecque le repos;	Épargne les ennuis, qui depuis si longtemps Me font en vain chercher en des lieux sifunestes, De ton corps déchiré les pitoyables restes, Et me montre l'endroit qui nous cache tes os, Pour leur rendre l'honneur auecque le repos;
Ou ſi de cét honneur tu mépriſe la gloire, Au moins dans mon eſpiit viens purger ta meBeloino Et me tirer du doute où ta mort m’a laiſſé Que ton cœur n’ait eſté d’vn ſalle amour bleſſé,	Ou si de cet honneur tu méprise la gloire, Au moins dans mon épiit viens purger ta meBeloino Et me tirer du doute où ta mort m'a laissé Que ton cœur n'ait été d'un salle amour blessé,
GENEVIE’VE.	GENEUIE'UE.
Et bien pour me purger de cette calomnie t'eteit c Ie viens repreſenter mon innocente vie;	Et bien pour me purger de cette calomnie t'étit ç Ie viens représenter mon innocente vie;
Quoy, ſur vn faux rapport vous en auez douté?	Quoi, sur un faux rapport vous en avez douté?
ORISMOND.	ORISMOND.
Ah!	Ah!
chere ombre, i’ay tort de l’auoir écouté.	chère ombre, j'ai tort de l'avoir écouté.
GENEVIEVE.	GENEVIÈVE.
Quoy que de ma beauté ie ne ſois plus qu’vne ombre, Ie n’ay pas pour cela des morts accreu lę nombre.	Quoi que de ma beauté ie ne sois plus qu'une ombre, Je n'ai pas pour cela des morts accreu l ombre.
Ie vis, chef Otiſmond, & ie garde à Sifroy Dauis ce corps rururdant des marques de ma foy,	Je vis, chef Otismond, et ainsi garde à Sifroy Davis ce corps rurdant des marques de ma foi,
vous vuez, ORISMOND.	vous vez, ORISMOND.
GENEVIEVE.	GENEVIÈVE.
Oüy pourueu que Sifroy ſoit en vie.	Oui pourvu que Sifroy soit en vie.
ORISMOIVO, Il vit dans le regret de vous l’auoit rauie,	ORISMOIVO, Il vit dans le regret de vous l'avait ravie,
GENEVIEVE, Il penſe donc à moy?	GENEVIÈVE, Il pense donc à moi?
ORISMOND.	ORISMOND.
C'eſt de ce ſouuenir Que ſon amour conſtant aime à s’entrotenir;	C'est de ce souvenir Que son amour constant aime à s'entrotenir;
Iamais vn autre obiet n’a pû prendre ſa place, Iamais le ſommeil meſme auoun trait n’en efface, Il en fait ſon plaiſir, il en fait ſon tourment, Et ceſſant d’eſtre époux il redeuient amant.	Jamais un autre objet n'a pu prendre sa place, Jamais le sommeil même avoun trait n'en efface, Il en fait son plaisir, il en fait son tourment, Et cessant d'être époux il redevient amant.
inuis quel eica vous lauut o ve mern certaine?	invis quel eica vous lauut ô ve mern certaine?
GENEVIEVE.	GENEVIÈVE.
Celuy dont l’équité n’aprouuoit pas ma peine.	Celui dont l'équité n'approuvait pas ma peine.
Deſia deux aſſaſſins auoient le fer en main, Pour immoler icy mon cher fils ſur mon ſein, Quand touchez de mes pleurs & de mon innocence, lls cureſt derlorreur de cette violence, Mais de peur qu’on ne vint à les en rechercher Dans le fonds de ces bois ils nous firent cacher.	Déjà deux assassins avaient le fer en main, Pour immoler ici mon cher fils sur mon sein, Quand touchez de mes pleurs et de mon innocence, lus curest derloreur de cette violence, Mais de peur qu'on ne vint à les en rechercher Dans le fond de ces bois ils nous firent cacher.
ORBSMOND.	ORBÊMOND.
Dequoy donc ces ſoreſts du tout abandonnées Ont-elles pû depuis vous nourrir ſept années?	Dequoy donc ces sorêts du tout abandonnées Ont-elles pu depuis vous nourrir sept années?
GENEVIE'VE.	GENEUIE'UE.
I eſt vray que d’abord i’eus beaucoup à ſouffrir, Et ie creus mille fois m’y voir bien-toſt mourir.	I est vrai que d'abord j'eus beaucoup à souffrir, Et tu crus mille fois m'y voir bientôt mourir.
I n’eſt point de rocher qui ne receuſt mes plaine tes, Et qui n’en teſmoignaſt de ſenſibles atteintes.	I n'est point de rocher qui ne reçût mes plaine tes, Et qui n'en témoignât de sensibles atteintes.
Il n’eſt point de ruiſſeau que n’enflaſſent mes pleurs, Et qui nemuimurait alors de mes malheurs, la terre, les rochers, les buiſſons & les arbres, Pour les eterniſer m’y ſeruirent de matbre.	Il n'est point de ruisseau que n'enflassent mes pleurs, Et qui nemuimurait alors de mes malheurs, la terre, les rochers, les buissons et les arbres, Pour les éterniser m'y servirent de matbre.
Mais Dieu me fit bien-toſt changer de ſentimẽt, Faiſant mon Paradis de mon banniſſement.	Mais Dieu me fit bientôt changer de sentiment, Faisant mon Paradis de mon bannissement.
ORISMOND.	ORISMOND.
N'auoit point d’ẽtretien que des bêtes ſauuages, B iij Se voir à tout moment expoſée à leur rage, N’entendre que leurs cris & que leurs hurlemẽs, Vrayment ce Paradis n’eſt pas des plus charmanse.	N'avait point d'entretien que des bêtes sauvages, B iij Se voir à tout moment exposée à leur rage, N'entendre que leurs cris et que leurs hurlements, Vraiment ce Paradis n'est pas des plus charmanse.
GENEVIE’VE.	GENEUIE'UE.
Vous faites bien valoir ce que la ſolitude Aux ames du commun paroiſt auoir de rude.	Vous faites bien valoir ce que la solitude Aux âmes du commun paraît avoir de rude.
Mais vous ne ſçauez pas les ſecretes douceurs Dont le Ciel prend plaiſir d’y conſoler les cœurs, La Mere du Sauueur, qui par mille merueilles Fait reſſentir par tout ſes bontez ſans pareilles, Vint m’aſſeurer d’abord que ſes aimables ſoins Ne nous manqueroient pas dans nos plus grands beſoins:	Mais vous ne savez pas les secrètes douceurs Dont le Ciel prend plaisir d'y consoler les cœurs, La Mère du Sauveur, qui par mille merveilles Fait ressentir par tout ses bontés sans pareilles, Vint m'assurer d'abord que ses aimables soins Ne nous manqueraient pas dans nos plus grands besoins:
Et deſlors de ces ſoins vn effet admirable Fit voir qu’elle ſeroit à nos maux fauorable:	Et deslors de ces soins un effet admirable Fit voir qu'elle serait à nos maux favorable:
Comme ie penſois voir mon pauure fils mourir N’eſtant plus en eſtat de le pouuoir nourrir, Vne biche s’offrit pour eſtre ſa nourrice, Et continué encor ce charitable office;	Comme ie pensais voir mon pauvre fils mourir N'étant plus en état de le pou nourrir, v biche offrit pour être sa nourri, Et continué encor ce charitable office,
Dans nos autres beſoins les tygres & les ours Nous vinrent preſenter leurs innocens ſecours, Et dãs les froides nuits pour ſoulager nos peines Ils viẽnent éc hauffer nos corps de leurs haleines;	Dans nos autres besoins les tigres et les ours Nous vinrent présenter leurs innocents secours, Et dans les froides nuits pour soulager nos peines Ils viennent éc hausser nos corps de leurs haleines;
Ies loups aprés auoir égorgé quelque agneaur Pour habiller mon fils, m’en preſentẽt les peaux;	Jes loups après avoir égorgé quelque âgneaur Pour habiller mon fils, m'en présent les peaux;
La terre à noſtre faim nons fournit ſes racines que nou, donne dey irults taiquesluries pines;	La terre à notre faim nons fournit ses racines que nouv, donne dey irults taiquesluries pines;
Que diray-ie, Oriſmond, des celeſtes plaiſirs Dont-Dieu par ſes bontez a-comblé nos deſirs?	Que dirai-je, Orismond, des célestes plaisirs Dont-Dieu par ses bontés a-comblé nos désirs?
Mais iuſqu’à mes habits conſeruez par mit acle Me font de ſes bontez vn illuſtre ſpectacle.	Mais jusqu'à mes habits conservés par mit acle Me font de ses bontés un illustre spectacle.
ORISMOND.	ORISMOND.
Ah!	Ah!
que tout ce diſcours m’a doucement charmé, Et que Dieu dans nos maux merite d’eſtre aimé.	que tout ce discours m'a doucement charmé, Et que Dieu dans nos maux mérite d'être aimé.
Mais dites moy cõment & par quelle impoſture;	Mais dites -moi comment et par quelle imposture;
aol acaso lulsgiuuse mniure.	aol acaso lulsgivuse ménivre.
GENEVIËVE.	GENEVIËVE.
