AV LECTEVR.	AU LECTEUR.
Ie voy bien que nous aurons encore vn embraſement pareil à celuy qui nous a eſté cauſé de la cheute de Phaëton:	Je vois bien que nous aurons encore un embrasement pareil à celui qui nous a été causé de la chute de Phaéton:
O Dieux, arreſtez vos coleres, eſpargnez nos teſtes de ce deſaſtre.	Ô Dieux, arrêtez vos colères, épargnez nos têtes de ce désastre.
Helas!	Hélas!
ma pauure ſœur, ma compagne, où és-tu?	ma pauvre sœur, ma compagne, où ès-tu?
peut eſtre que ie ne te verray iamais.	peut avoir que ici ne te verrai jamais.
*e2	Ve2
EVRISTE.	EURISTE.
mla emane, mon fimnazonc, à la En ſortant chaſſe.	mla emande, mon fimnazonc, à la En sortant chasse.
du bois.	du bois.
LLHKHN AMAZONE.	LLHHN AMAZONE.
C’eſt pour toy, mon Eumnte, c'eſt pour toy que ie ſouſpire.	C'est pour toi, mon Eumnte, c'est pour toi que tu soupire.
Ip Hom	Ip Hom
3α xe EVRISTE.	3 xe EVRISTE.
4 a Paaaoltaſlss Quel regret vous ennuye?	4 a Paaaoltaslss Quel regret vous ennuie?
Quel ſoin vous afflige?	Quel soin vous afflige?
La 3 14.	La 3 14.
01	01
AMAZONE.	AMAZONE.
Helas!	Hélas!
tu ne le peux penſer.	tu ne le peux penser.
Lors que ie ſortois de ce bois i’ay fait rencontre de ie ne ſçay quel perſonnage de grande apparece, auquel i’ay demandé s’il n’auoit point veu de mes compagnes;	Lors que ie sortais de ce bois j'ai fait rencontre de personne ne sais quel personnage de grande appare, auquel j'ai demandé s'il n'avait point vu de mes compagnes;
il m’a reſpondu que non, F mais que i’apprinſſe que les Dieux eſtoient en querelle.	il m'a répondu que non, mais que j'apprinsse que les Dieux étaient en querelle.
EVRISTE.	EURISTE.
*101 Il auſ S’il n’y a autre ſujet de tes triſteſſes, mon Amazone, bannis les de ton ame:	*10 Il aus S'il n'y a autre sujet de tes tristesses, mon Amazone, bannis les de ton âme:
car ie m’aſſeure que ces querelles des Dieux ne peuuent prouenir que de quelque rauiſſement de Nymphe que Iupiter aura enleuee, & les autres en voudront iouïr, ou tout au plus ce ſera quelque meſcontentement que Iunon aura receu:	car personne m'assure que ces querelles des Dieux ne peuvent provenir que de quelque ravissement de Nymphe que Jupiter aura enlevée, et les autres en voudront jouir, ou tout au plus ce sera quelque mécontentement que Junon aura reçu:
Mais quitte la tous ces ſoins, & que cela ne nous empeſche l’agreable exercice de noſtre chaſſe;	Mais quitte la tous ces soins, et que cela ne nous empêche l'agréable exercice de notre chasse;
vous auez encore des ſlelcnes.	Vous avez encore des slelènes.
AMAzoune Le ſoin ne m’auoit pas encore deſarmee.	AMAzoune Le soin ne m'avait pas encore désarmée.
311 EVRISTE.	311 EVRISTE.
Et qu’eſt-ce que ie voy?	Et qu'est-ce que ie cy?
Qu’eſt-ce que nous entendons fremir parmy ces feuillages?	Qu'est-ce que nous entendons frémir parmi ces feuillages?
Tirons à tout hazard,	Tirons à tout hasard,
EVRISTE.	EURISTE.
Et que ie conſidere auſſi ma chere compagne, que ie te baiſe mon petit.	Et que ici considère aussi ma chère compagne, que tu te baise mon petit.
Elle embraſſe Bachus.	Elle embrasse Bachus.
Ie te demande pardon, d’auoir temerairement décoché ma fléche ſur ton viſage.	Je te demande pardon, d'avoir témérairement décoché ma flèche sur ton visage.
AMAZONE.	AMAZONE.
HE Mais qui a eſté ſi barbare que de laiſſer ce petit mignon en ee lieu-là;	HÉ Mais qui a été si barbare que de laisser ce petit mignon en ce lieu-là;
voyons vn peu s’il ny auroit perſonne dans ce meſme endroit.	voyons un peu s'il apprendre aurait personne dans ce même endroit.
SEMELE.	SEMELE.
Elles cherchent dans ce bocage.	Elles cherchent dans ce bocage.
Ne verray-je iamais la fin demes triſteſſes;	Ne verrai-je jamais la fin de tristesses;
ha!	ha!
mon cher fils, mon bien aymé, que de larmes à mes yeux, que R40 „*6u al oumn!	mon cher fils, mon bien aimé, que de larmes à mes yeux, que R40 „6u al oumn!
*.	*.
2 de ſouſpirs en ma bouche, que de regrets en mon ame me cauſe ton abeſence, ne te reuerray-ie iamais?	2 de soupirs en ma bouche, que de regrets en mon âme me cause ton abesence, ne te reuerray-je jamais?
AMAZONE.	AMAZONE.
Madame, ne pourriõs nous point alleger voſtre eſprit de ce que nous venons de trouuer ma compagne & enis mon- ihloy dund couuecege lord que noue ſtrent le petit Bachus.	Madame, ne pourriõs nous point alléger votre esprit de ce que nous venons de trouver ma compagne et enis mon- hloi dund couvecege lord que noue strent le petit Bachus.
y chaſſions.	y chassions.
88 EDSEMELE.	88 EDSEMELE.
O mon cher fils, que tu me rauis de contentement, que tume ſoulage maintenant que ie te porte & que le t’embraſſe.	Ô mon cher fils, que tu me ravis de contentement, que tume soulage maintenant que ie te porte et que le t'embrasse.
O mes cheres Amazones, combien m’eſtheureuſe la rencontre que i’ay fait de voſtre compagnie;	Ô mes chères Amazones, combien m'heureuse la rencontre que j'ai fait de votre compagnie;
Que ie vous ſuis obligee:	Que ici vous suis oblige:
Ha mon cher fils!	Ha mon cher fils!
mõ petit Bachus, que tu me rauis de la beauté de ton viſage;	mon petit Bachus, que tu me ravis de la beauté de ton visage;
Les Dieux m’ot fait ſçauoir que tu ſerois vn iour ſeigneur vniuerſel de toute la terre;	Les Dieux m'ot fait savoir que tu serais un jour seigneur universel de toute la terre;
que tous les hommes & les ſois meſmes te ſeroient aſſuiettis, comme au plus victorieux, & au plus puiſſant delvniuers.	que tous les hommes et les sois mêmes te seraient assuiétis, comme au plus victorieux, et au plus puissant delunivers.
EVRISTE.	EURISTE.
O rencontre que tu es heureuſe:	Ô rencontre que tu es heureuse:
mais quel bon-heur pour moy, lors cherchant la proye que ie m’eſtois aquile a la chane, ray eu pour buem ce Dieu de la terre.	mais quel bonheur pour moi, lors cherchant la proie que tu m'étais aquille à la chane, ray eu pour buem ce Dieu de la terre.
SEMELE.	SEMELE.
Et quoy;	Et quoi;
courageuſé Amazone, vôtre valeur s’eſt elle employee pour le deliurer de quelque perilleux danger.	courageusé Amazone, votre valeur s'est elle emploie pour le délivrer de quelque périlleux danger.
EVRISTE.	EURISTE.
Non, non, grande Deeſſe, ny l’effroy, ny le peril ne m’auoient pas armée lors que i’ay trouué ce precieux treſor que vous tenez.	Non, non, grande Déesse, ni l'effroi, ni le péril ne m'avaient pas armée lors que j'ai trouvé ce précieux trésor que vous tenez.
Vn petit bruit que i’ay entendu dans ce boccage m’a donné ſujet de tirer dedans, où ma fléche heureuſement es décochee m’amis entre le mains cette ieune fleur toute entiere:	Un petit bruit que j'ai entendu dans ce bocage m'a donné sujet de tirer dedans, où ma flèche heureusement es cochée m'amis entre le mains cette jeune fleur toute entière:
car cette fléche par vn hazard miraculeux, cõme vne colombe volante dans les capagnes s’eſt arreſtee aux pieds de voſtre fils, lequel m’a rauy d’eſtonnement & d’admiration pluſtoſt que de frayeur & de crainte.	car cette flèche par un hasard miraculeux, comme une colombe volante dans les capagnes s'est arrête aux pieds de votre fils, lequel m'a ravi d'étonnement et d'admiration plutôt que de frayeur et de crainte.
AMAZONE.	AMAZONE.
AMAZONE.	AMAZONE.
Grande Deeſſe, voſtre fils eſtant tel nous luy rendons foy & hommage, nous quittõs fléches & quarquois &laiſſons-là nos plaiſirs champeſtres pour prendre vn plus particulier ſoin de l’acheuer de nourrir, & vous nous obligerez tant que de nous preferer à tout autre pour luy rendre ce deuoir.	Grande Deesse, votre fils étant tel nous lui rendons foi et hommage, nous quittons flèches et quarquois etlaissons-là nos plaisirs champêtres pour prendre un plus particulier soin de l'achever de nourrir, et vous nous obligerez tant que de nous préférer à tout autre pour lui rendre ce devoir.
SEMEtE.	SEMEtE.
Ouy, tres-volontiers, ie vous le donne à voſtre garde pendant que ie ne ſeray pas en ce lieu, eſperant pourtant de reuenir bien toſt;	Oui, très-volontiers, je vous le donne à votre garde pendant que je ne serai pas en ce lieu, espérant pourtant de révenir bien tôt;
ie vous le done, adieu donc mon cher fils:	Elle vous le done, adieu donc mon cher fils:
mais Leur ayant puis-ie dire adieu à celuy qui eſt pre lent à mes yeux.	mais Leur ayant puis-je dire adieu à celui qui est pré lent à mes yeux.
Ne penſe pas, mon le baiſer.	Ne pense pas, mon le baiser.
cher fils, que ie te die adieu, c’eſt que le te veux baiſer.	cher fils, que Seigneur te die adieu, c'est que le te veux baiser.
EVRISTE.	EURISTE.
Il nous faut donc preuoir à ce qui eſt neceſſaire pour le nourrir;	Il nous faut donc prévoir à ce qui est nécessaire pour le nourrir;
ie m'en tient ſur ſes Q	Le m'en tient sur ses Q
18 Le combat victorieux de Bachus, vay querir du laict.	18 Le combat victorieux de Bachus, vais quérir du lait.
Voyla ce que i’ay peu trouuer icy 8 1 Elle luy dõne aux enuirons.	Voilà ce que j'ai peu trouver ici 8 1 Elle avait donné aux environs.
O Dieux que veut dire Bachus ſe- ccla.	Ô Dieux que veut dire Bachus se- cla.
AMAZONE.	AMAZONE.
&iereiette.	etiereiette.
Donnez, ma compagne, que i'ex perimente auſſi, & que i’eſſaye, peut eſtre prendra-il de ma main.	Donnez, ma compagne, que j'ex périmente aussi, et que j'essaie, peut -être prendra-il de ma main.
Helas!	Hélas!
c’eſt tout de meſme, que veut dire ce la?	c'est tout de même, que veut dire ce la?
& ne mange-il point?	et ne mange-il point?
ha!	ha!
ma chere compagne quel malheur nous talonne.	ma chère compagne quel malheur nous talonne.
EVRISTE.	EURISTE.
Ha ma chere ſœur, ie crains qu’il ne u periſſe entre nos mains, & que peut il manger autre choſe?	Ha ma chère sœur, ie crains qu'il ne veu périsse entre nos mains, et que peut il manger autre chose?
ha miſerables que nous ſommes, pleuſt à Dieu que nous ne l’euſſions iamais trouué que mort, nous n’aurions pas le deuil & le regret de le voir mourir entre nos mains.	ha misérables que nous sommes, pleût à Dieu que nous ne l'eussions jamais trouvé que mort, nous n'aurions pas le deuil et le regret de le voir mourir entre nos mains.
ASTROLOGVE.	ASTROLOGUE.
Il nya pas long temps que i’eſtois tout penſif à conſiderer le mouue genoux, & le remuë.	Il nia pas long temps que j'étais tout pensif à considérer le mouve genoux, et le remue.
ment des Aſtres, où i’ay apperceu par larencõtre que fit lupiter auec Mars, ſuruint ie ne ſçay quel changeinent dans ces Planettes:	mens des Astres, où j'ai aperçu par larencontre que fit lupiter toujours Mars, survint Je ne sais quel changeinent dans ces Planètes:
en ſuitte de cela Emphora parut qui alloit à l’encontre d’Aquarius, & ie puis dire en ſeurete, que de ceſte conſtellation y aura grand changement ſur la terre.	en suite de cela Emphora parut qui allait à l'encontre d'Aquarius, et Se puis dire en seurete, que de cette constellation y aura grand changement sur la terre.
EVRISTE.	EURISTE.
O illuſtre perſonnage de qui les hommes honnorent les paroles, & admirent la ſcience:	Ô illustre personnage de qui les hommes honorent les paroles, et admirent la science:
nous venons à vous pour auoir le ſoulagement de nos peines, & pour ſçauoir de vous que veulent dire ces prodiges qui pa- Elles luy loient en cet enſant, n'nle veut ny petit Bachus.	nous venons à vous pour avoir le soulagement de nos peines, et pour savoir de vous que veulent dire ces prodiges qui pa- Était lui loient en cet ensant, n'nle veut ni ici Bachus.
& le laict, ny eau, & ne ſçauons dequoy le nourrir.	et le lait, ni eau, et ne savons dequoy le nourrir.
ASTROLOGVE.	ASTROLOGUE.
Voyons ce que c’eſt:	Voyons ce que c'est:
Voyla vne	Voilà quelque
tois merueilleuſe beauté, il preſage par ces yeux quelque choſe prodigieuſe:	tois merveilleuse beauté, il présage par ces yeux quelque chose prodigieuse:
20 Combot victorieux de Bachus.	20 Combot victorieux de Bachus.
Combien y a il que vous l’auez en voſtre garde?	Combien y a -il que vous l'avez en votre garde?
Emphora, faut luy donner du vin.	Emphora, faut venir donner du vin.
EVRISTE.	EURISTE.
Ie m’en vay en querir icy pres.	Je m'en vais en quérir ici pres.
AMAZONE.	AMAZONE.
O que nous ſerons redeuable à l’induſtrie & à la ſubtilité de voſtre eſprit, ſi voſtre prediction eſt veritable.	Ô que nous serons redevable à l'industrie et à la subtilité de votre esprit, si votre prédiction est véritable.
EVRISTE.	EURISTE.
Voyla ceſte liqueur que vous di- Bachus auale tout le vin tes faiſons en l’experience viſtement.	Voilà cette liqueur que vous di-là Bachus auale tout le vin tes faisons en l'expérience vitement.
& ſourit à AMAZONE.	et sourit à AMAZONE.
O que de bon heur pour nous, mon Euriſte, & que veut dire tout cetout le monde.	Ô que de bon heur pour nous, mon Évriste, et que veut dire tout cetout le monde.
la, portons-le viſtement à ſa mere.	la, portons-le vitement à sa mère.
Faiſant la reuerence à Adieu grand Prophete, nous parle-l'Aſtrelogue.	Faisant la révérence à Adieu grand Prophète, nous parle-l'Astrelogue.
rons à iamais de voſtre ſcience admirable de voſtre prediction veritable.	rons à jamais de votre science admirable de votre prédiction véritable.
ASTROLOGVE.	ASTROLOGUE.
Voyla ce que me vouloit ſignifier le mouuemẽt extraordinaire des Planettes, quand i’ay apperceu dans le roulemẽt des Aſtres qu’vn ſigne qui n’eſt qu’inferieur aux autres eſtoit le plus haut de tous:	Voilà ce que me voulait signifier le mouuemẽt extraordinaire des Planettes, quand ay apperceu dans le roulemẽt des Astres signe qui est inférieur aux autres estoit le plus haut de tous:
car la bouteille m'a ſemblé ſurmonter tous les autres Aſtres, & i’ay coniecturé de là qu’elle domineroit en ce temps icy dans l’vniuers, & ie crains bien qu’il ne nous arriue encore vn plus grand changement ſur terre que ie n’ay veu dans le ciel.	car la bouteille m'a semblé surmonter tous les autres Astres, et j'ai coniecturé de là qu'elle dominerait en ce temps ici dans l'Univers, et ainsi crains bien qu'il ne nous arrive encore un plus grand changement sur terre que Un n'ai vu dans le ciel.
CHANSON Vand Bachus naſquit au monde Petit enfant qu’il eſtoit, Faiſoit ſigne de la teſte Que le vin bon luy ſembloit:	CHANSON Vand Bachus nasquit au monde Petit enfant qu'il était, Faisait signe de la tête Que le vin bon lui semblait:
Nous qui ſommes ſes ſuppots, Qui n'engendrons point d'ennuy, Vuidons les verres & les pots, Et beuuons tous comme luy.	Nous qui sommes ses suppôts, Qui n'engendrons point d'ennui, Vidons les verres et les pots, Et buvons tous comme lui.
Quand on luy monſtroit la tette, point gouter il n'en vouloit, Faiſant ſigne de la teſte Que le vin ſeul luy plaiſoit.	Quand on avait montrait la tette, point goûter il n'en voulait, Faisant signe de la tête Que le vin seul homme plaisait.
Nous qui ſommes ſes ſuppots, Qui n'engendrons point d’ennuy, Vuidons les verres & les pots, El ochhents toas comme llay.	Nous qui sommes ses suppôts, Qui n'engendrons point d'ennui, Vidons les verres et les pots, Él ochhents toas comme loulay.
ACTE SECOND.	ACTE SECOND.
BACHVS.	BACHUS.
MERCVRE.	MERCURE.
NRPTVNE.	NRPTUNE.
TENTHEE.	TENTHÉE.
F SCENE I.	 SCÈNE I.
BACHVS.	BACHUS.
*IS que ie tiens ma naiſſance du tres-illuſtre ſang des Dieux, qui me fait autant inuincible comme ma valeur me rend redoutable, dois-ie ceder à perſonne quelconque?	*IS que Dieu tiens ma naissance du très-illustre sang des Dieux, qui me fait autant invincible comme ma valeur me rend redoutable, dois-je céder à personne quelconque?
Ce m’eſt aſſez d’auoir IupiL’inuiolable deſtinee porte l’enterinement de vos requeſtes, ô Deîté ſublime, & ſçache que pour ce ſujet ie ſuis enuoyé du grand Maiſtre des foudres pour t’annoncer le conſente.	Ce m'est assez d'avoir JupiL'inviolable destine porte l'entérinement de vos requêtes, ô Deîté sublime, et sache que pour ce sujet de suis envoyé du grand Maître des foudres pour t'annoncer le consente.
ment qu’il donne à tes demandes.	ment qu'il donne à tes demandes.
Mais pour te declarer plus particulie.	Mais pour te déclarer plus particulie.
rement les ſecrets myſterieux de la deſtinee, qui veut que tu commande ter pour pere, s’il commande dans le Ciel ie regneray ſur terre.	rement les secrets mystérieux de la destinée, qui veut que tu commande ter pour père, s'il commande dans le Ciel ie regneray sur terre.
Et encore bien que i’aye pour ennemy de ma gloire & de mon bon-heur vne des plus hautes Deïtez, ie luy veux ſacrifier tous les inſtruments qu’elle a preparé pour ma ruine, & feray que ſes haines me baſtiront des Autels, & feront voir aux autres Dieux que non ſeulement vne place m’eſt deuë dans le Ciel auec eux, mais auſſi que ie dois regner ſur terre tant que i’y ſejourne ray.	Et encore bien que j'aie pour ennemi de ma gloire et de mon bonheur une des plus hautes Deïtez, ie lui veux sacrifier tous les instruments qu'elle a préparé pour ma ruine, et ferai que ses haines me bâtiront des Autels, et feront voir aux autres Dieux que non seulement une place m'est deve dans le Ciel avec eux, mais aussi que ieclais régner sur terre tant que j'y séjourne rai.
MERCVRE.	MERCURE.
par tout, que tu ſois obey de tous, que e les Rois meſme t’honorent & t’offrent ſacrifice.	par tout, que tu sois obéi de tous, que les Rois même t'honorent et t'offrent sacrifice.
Et pour ce ſujet i’ay commiſſion des Dieux de te preſenter cette liqueur, liqueur plus eſtimala ble que le nectar & l’ambroſie, liqueur qui animera ton courage, qui donnera nouuelle vigueur à tes forces, & qui te rendra ſi genereux & ſi puiſſant que tout pliera ſous l’effort de ton bras;	Et pour ce sujet j'ai commission des Dieux de te présenter cette liqueur, liqueur plus estimala blé que le nectar et l'ambrosie, liqueur qui animera ton courage, qui donnera nouvelle vigueur à tes forces, et qui te rendra si généreux et si puissant que tout pliera sous l'effort de ton bras;
& c’eſt de cette liqueur que tu te ſeruiras pour conquerir l’Vniuers.	et c'est de cette liqueur que tu te serviras pour conquérir l'Univers.
BACHVS.	BACHUS.
Me ſera-il permis d’en vſer ſans mon dommage?	Me sera-il permis d'en user sans mon dommage?
MERCVRE.	MERCURE.
Ouy à toy particulierement, puis qu’elle te ſeruira d’armes.	Oui à toi particulièrement, puis qu'elle te servira d'armes.
BACHVS.	BACHUS.
Il me ſemble que c’eſt vne liqueut ſemblable à celle dequoy i’ay eſté lay donns nourry en mon bas aage.	Il me semble que c'est une liqueut semblable à celle dequoy j'ai été lai donns nourri en mon bas âge.
2121O MERCYRE.	2121O MERCYRE.
3 Il eſt certain que c’eſt là meſme, & pour autant que tu n'en auois eu que l’vſage ie t en ay dit les particulieres vertus!	3 Il est certain que c'est là même, et pour autant que tu n'en avais eu que l'usage iecy en ai dit les particulières vertus!
BACHVS.	BACHUS.
Aduancez maintenant tous mes ennemis, que l’vn ſuiue l’autre, l’on ne me verra plus deſormais que vainqueur;	Aduancez maintenant tous mes ennemis, que l'un suive l'autre, l'on ne me verra plus désormais que vainqueur;
ce bras que ie doutois foible pour reſiſter à mes ennemis, m’aſſeure qu’eſtant ainſi armé, de leur faire plier le genoüil deuant moy.	ce bras que peine doutais faible pour résister à mes ennemis, m'assure qu'étant ainsi armé, de leur faire plier le genouil devant moi.
Que tu as eu ſuict d’enuier ma naiſſance, ô cruelle Iunon, puis que tu preuoyois l’hõneur & la gloire dont ie dois iouyr:	Que tu as eu suct d'envier ma naissance, ô cruelle Junon, puis que tu prévoyais l'honneur et la gloire dont ils dois jouir:
mais ie ne dois plus rien craindre deſormais ſinon que tu ne puiſſe pas aſſez occuper ma valeur, & que tu ne veuille glorifier mes armes d’vne ſignalee victoire contre mes ennemis:	mais personne ne dois plus rien craindre désormais sinon que tu ne puisse pas assez occuper ma valeur, et que tu ne veuille glorifier mes armes d'une signée victoire contre mes ennemis:
mais i’iray au deuant d’iceux, & me feray iour par	mais j'irai au devant d'iceux, et me ferai jour par
SCENE II.	SCÈNE II.
NEPTVNE.	NEPTUNE.
PENTHEE.	PENTHÉE.
BACHVS.	BACHUS.
NEPTVNE.	NEPTUNE.
Se-t’on bien ſiaudacieuſemẽt irriter ma puiſſance, & ſuſeiter tels ennemis, qui nõ ſeullemẽt m’offenſent de leurs temeraires deſſeins:	Se-t-on bien siaudacieusemẽt irriter ma puissance, et suseiter tels ennemis, qui nom seullemẽt m'offensent de leurs téméraires desseins:
mais encores qui veulent diſputer auec moy de l’honneur & de la gloire qui m’eſt deuë, & de l’Empire meſme que ie poſſede.	mais encore qui veulent disputer avec moi de l'honneur et de la gloire qui m'est due, et de l'Empire même que ie possede.
Ie ceſſerai d’eſtre Dieu pluſtoſt que de ne luy faire reſſentir la valeur de mes armes.	Je cesserai d'être Dieu plutôt que de ne lui faire ressentir la valeur de mes armes.
Parlea Ne BACHVS.	Parlea Ne BACHUS.
