TRCEIIICE	TRCEIICE
Il eſt vêtu de gris.	Il est vêtu de gris.
delle.	delle.
Mais c’étoit la nuit, dame.	Mais c'était la nuit, dame.
ils parloient ſans chan	ils parlaient sans chan
PANDOLPHE.	PANDOLPHÉ.
Va-t’en, chien de pendard, va querir Iſabelle.	Va-t-en, chien de pendard, va quérir Isabelle.
SCENE IV.	SCÈNE IV.
PANDOLPHE.	PANDOLPHÉ.
Our cõnoître qui c’eſt, faiſons tout ce qu’il faut.	Our cõnoître qui c'est, faisons tout ce qu'il faut.
Y D’un jeune homme pour elle on m’a parlé tantôt.	Y D'un jeune homme pour elle on m'a parlé tantôt.
Si c’eſt là le galand, j’ay peur, comme elle l’aime, Que ſans qu’on la luy donne, il la prenne luy-même.	Si c'est là le galant, j'ai peur, comme elle l'aime, Que sans qu'on la lui donne, il la prenne seule-même.
Et puis avec ſa mere elle n’a nul repos.	Et puis avec sa mère elle n'a nul repos.
La Diableſſe la fait pleurer à tout propos.	La Diablesse la fait pleurer à tout propos.
C’eſt pitié.	C'est pitié.
Je ſerois ravy qu’un mariage La tirât de les mains, mre ert ton avantage.	Je serais ravi qu'un mariage La tirât de les mains, mère ert ton avantage.
SCENE V.	SCÈNE V.
PANDOLPHE, ISABELLE, LUBIN.	PANDOLPHÉ, ISABELLE, LUBIN.
ISABELLE.	ISABELLE.
Ue vous plaît-il, mon Pere?	Que vous plaît-il, mon Père?
PAN DOLPHE.	PAN DOLPHÉE.
Approche.	Approche.
Tu ſçauras.	Tu sauras.
LODIN, a Tamoiphe.	LODIN, a Tamoiphe.
Ne m’allez pas trahir, morgué je n’aime pas Ces jeux-là franchement.	Ne m'allez pas trahir, morgué je n'aime pas Ces jeux-là franchement.
PANDOLPHE.	PANDOLPHÉ.
Tay-toy, maudite bête.	Tais-toi, maudite bête.
LODINV.	LODINV.
Je ne me tairay point, Cela n’eſt pas honnête.	Je ne me tairai point, Cela n'est pas honnête.
PANDOLPHE.	PANDOLPHÉ.
Ah tu t’attireras quelque coup de ma main.	Ah tu t'attireras quelque coup de ma main.
Ma fille, tu ſçauras que j’ay fait le deſſein De te marier.	Ma fille, tu sauras que j'ai fait le dessein De te marier.
ISADDILE.	ISADILE.
Moy?	Moi?
PANDOLPHE.	PANDOLPHÉ.
Si cela te plaira.	Si cela te plaira.
Toy-meme.	Toi-même.
Conndere	Connère
ISABELLE.	ISABELLE.
Je l’avouray, mon Pere, L’hymen eſt un lien fort ſuſpect a mon cœur.	Je l'avouerai, mon Père, L'hymen est un lien fort suspect a mon cœur.
Mille exemples preſens me font trembler de peur.	Mille exemples prés me font trembler de peur.
L'Epoux qu’on m’offriroit, je voudrois le connoitre.	L'Époux qu'on m'offrirait, je voudrais le connaître.
Comme prendre un mari, c’eſt ſe donner un maître, Quand on s’y voit contrainte, il eſt juſte, je crois, De prendre le plus doux,puis qu’on en a le choix.	Comme prendre un mari, c'est se donner un maître, Quand on s'y voit contrainte, il est juste, je crois, De prendre le plus doux,puis qu'on en a le choix.
LU BIN.	LU BIN.
Vivat.	Vivat.
On ne ſçauroit mieux dire ſur mon ame.	On ne saurait mieux dire sur mon âme.
Et ſi pour tant, morgué, ce n’eſt la qu’une femme.	Et si pour tant, morgué, ce n'est la qu'une femme.
PANDOLTIE, dEGVHI.	PANDOLTIE, dEGUHI.
Quoy toûjours.	Quoi toujours.
LUBIN.	LUBIN.
Eh Monſieur, je ne diray plus rien.	Eh Monsieur, je ne dirai plus rien.
PANDOLPHE.	PANDOLPHÉ.
Si tu t’oles meler chcor dans l'entretien, Tu vois bien ce bras, crain.	Si tu t'oles mêler chcor dans l'entretien, Tu vois bien ce bras, crain.
Ce que tu viens de dire, Ma fiſle, n’eſt auſſ que ce que je deme.	Ce que tu viens de dire, Ma fîle, n'est aussi que ce que je dème.
n Voyons donc.	 Noyons donc.
De tous ceux qui te ſont mieux coPour qui ton cœur touché pancberoit-il le plus?	De tous ceux qui te sont mieux coPour qui ton cœur touché pancerait-il le plus?
ISABELLE.	ISABELLE.
Moy?	Moi?
je ne les ay pas examinez encore.	je ne les ai pas examinez encore.
PANDOLPHE.	PANDOLPHÉ.
Hé bien, examinons enſemble.	Hé bien, examinons ensemble.
Ormin t’adore, Te plait-il.	Ormin t'adore, Te plaît-il.
ISABELLE.	ISABELLE.
Ormin ?	Ormin ?
PANDOLPHE.	PANDOLPHÉ.
Oüy.	Oui.
AOADELLE.	ÀOADELLE.
Fy, c’eſt un homme veuf.	Fi, c'est un homme veuf.
Gomment?	Gomment?
PANDOLPHE.	PANDOLPHÉ.
IBABELLE.	IBABELLE.
Ah Fy, vous dis-je,	Ah Fi, vous dis-je,
LUBIN.	LUBIN.
Elle en veut un tout neuf.	Elle en veut un tout neuf.
ISABELLE.	ISABELLE.
Je n’aime point les veufs, fût-ce toutes merveilles.	Je n'aime point les veufs, fut-ce toutes merveilles.
Ils vous viennent toûjours rebattre les oreilles, Feu ma femme par çy, feu ma femme par-là.	Ils vous viennent toujours rebattre les oreilles, Feu ma femme par çi, feu ma femme par-là.
Elle faiſoit ceçy, s’abſtenoit de cela, Et cependant on ſçait que cent fois en allarmes, Les voiſins ſont venus appaiſer leurs vãcarmes.	Elle faisait ceçi, s'abstenait de cela, Et cependant on sait que cent fois en alarmes, Les voisins sont venus apaiser leurs vendre.
PANDOLPHE.	PANDOLPHÉ.
Et Damis?	Et Damis?
qu’en dis-tu?	qu'en dis-tu?
ISABELLE.	ISABELLE.
Ce jeune Damoiſeau?	Ce jeune Damoiseau?
Luy qui lait conniter ſon meri e en la peau?	Lui qui lait conniter son mery e en la peau?
q’a-t’il beſoin de femme?	Oq'a-t-il besoin de femme?
a le voir comme il s’aime, Il Ie ſert de maîtreſſe, & d’amant à luy-même.	à le voir comme il s'aime, Il Ie sert de maîtresse, et d'amant à lui-même.
Pusrine, plus pare que femme de l’aris, On ne voit rien en luy d’homme que les habits.	Pusrine, plus pare que femme de l'aris, On ne voit rien en notre d'homme que les habits.
PANDOLPHE.	PANDOLPHÉ.
Adraſte a donc dequoy te plaire?	Adraste a donc dequoy te plaire?
Il eſt honnête, Sage,	Il est honnête, Sage,
ISABELLE.	ISABELLE.
Trop.	Trop.
Quand il rit c’eſt pour luy jour de Fête.	Quand il rit c'est pour lui jour de Fête.
C’eſt un rêveur profond, & je l’ay veu ſouvent.	C'est un rêveur profond, et je l'ai vu souvent.
Détacher mes quarreaux de vitres en rêvant,	Détacher mes quarreaux de vitres en rêvant,
Et Lycas?	Et Lycas?
PANDOLPHE.	PANDOLPHÉ.
ISABELLE.	ISABELLE.
Le plaiſir eſt ſa premiere affaire.	Le plaisir est sa première affaire.
PAN DOLPHE.	PAN DOLPHÉE.
Tant mieux pour toy.	Tant mieux pour toi.
ISABELLE.	ISABELLE.
Tant-pis.	Tant-pis.
Ceux de ce caractere Ne ſont bons que pour eux, & malgré leurs ſermẽts, Ils ne ſont plus, maris, ce qu’ils étoient amans.	Ceux de ce caractère Ne sont bons que pour eux, et malgré leurs serments, Ils ne sont plus, maris, ce qu'ils étaient amants.
Ce ſont eux dont on a le moins de compagnie;	Ce sont eux dont on a le moins de compagnie;
Et ſur tout, les premiers que leur maiſon ennuye Ailleurs, à dire vray, loin de femme & d’enfans, On les voit chanter, rire, & faire les plaiſans:	Et sur tout, les premiers que leur maison ennuie Ailleurs, à dire vrai, loin de femme et d'enfants, On les voit chanter, rire, et faire les plaisants:
te Mais r’ent-ent-ils cl ez eux?	te Mais rent-ils cl é eux?
Toute leur joye eſt moron enagriniemrogne les lannt d'la potte.	Toute leur joie est moron enagriniemrogne les lannt d'la potte.
Un rien choque leurs yeux, & les met en courroux.	Un rien choque leurs yeux, et les met en courroux.
Non, ce n’eſt point, mon Pere, entre eux qu’eſt mon époux.	Non, ce n'est point, mon Père, entre eux qu'est mon époux.
PANDOLPHE.	PANDOLPHÉ.
Ou diantre a-t’elle pris toute cette morale?	Ou diantre a-t-elle pris toute cette morale?
Si je te propoſois Damon, rien ie l’égale.	Si je te proposais Damon, rien Seigneur l'égale.
ISABELLE.	ISABELLE.
C’eſt une bête.	C'est une bête.
PANDOLPHE.	PANDOLPHÉ.
Luy ne chante-t’il pas bien?	Lui ne chante-t-il pas bien?
ISABELLE.	ISABELLE.
D’accord.	D'accord.
Mais à l’eſprit le chant ne ſert de rien.	Mais à l'esprit le chant ne sert de rien.
Peut-on pas bien chanter, & n’être qu’une bête ?	Peut-on pas bien chanter, et n'être qu'une bête ?
Helas on en voit tant, qui nous rompant la tête, Montrent dans leurs talents bornez à leurs chanſons La voix des roſſiguols, & l’eſprit des oyſons.	Hélas on en voit tant, qui nous rompant la tête, Montrent dans leurs talents bornés à leurs chansons La voix des rossiguols, et l'esprit des oisons.
E	E
PANDOLPHE.	PANDOLPHÉ.
La peſte, de quel air va ſa langue affilée;	La peste, de quel air va sa langue affilée;
Qu'elle en ſçait, ah ma foy, le Galand l’a ſiflée.	Qu'elle en sait, ah ma foi, le Galant l'a siflée.
ISABELLE.	ISABELLE.
Plaît-il, mon Pere?	Plaît-il, mon Père?
PANDOLPHE.	PANDOLPHÉ.
Rien.	Rien.
C’eſt que je ſonge en moy Qu’étant ſi mal-aiſé de meriter ta foy, Je n’ay plus à ton choix à propoſer perſonne.	C'est que je songe en moi Qu'étant si mal-aisé de mériter ta foi, Je n'ai plus à ton choix à proposer personne.
ISABELLE.	ISABELLE.
Peut-ontrop regarder, quand il faut qu’on ſe donne?	Peut-ontrop regarder, quand il faut qu'on se donne?
Mais il en eſt encor que vous ne nommez pas.	Mais il en est encor que vous ne nommez pas.
FANNDOLIIIL.	FANNDOLIIIL.
Je m’en ſouviens.	Je m'en souviens.
Valere.	Valère.
On en fait bien du cas.	On en fait bien du cas.
d len iemble;	 len apmble;
ISABELLE.	ISABELLE.
nttenden aeune tray, mon Pere,.	ntenden aîne trai, mon Père,.
Ah Ah.	Ah Ah.
PANDOLPHE.	PANDOLPHÉ.
ISABELLE.	ISABELLE.
Il me paroît honnête homme & ſincere.	Il me paraît honnête homme et sincère.
Je ne ſçay point qu’il ait aucun défaut.	Je ne sais point qu'il ait aucun défaut.
Et vous?	Et vous?
TNDOLPHE.	TNDOLPHÉ.
Ny moy.	Ni -mo.
Tu ne pouvois choiſir mari plus doux.	Tu ne pouvais choisir mari plus doux.
Ce matin il t’a fait demander à moi-même.	Ce matin il t'a fait demander à moi-même.
Cet honnête deſſein fait connoître qu’il t’aime.	Cet honnête dessein fait connaître qu'il t'aime.
Mais on dit qu’en Iecret ila d’autres amours.	Mais on dit qu'en Jecret ila d'autres amours.
ISABELLE.	ISABELLE.
Je ſçais à quel ſujet on ſeme ce diſcours Aux yeux de Clidamire il plait ſans vouloir plaire.	Je sais à quel sujet on ferme ce discours Aux yeux de Clidamire il plaît sans vouloir plaire.
Au moins il me l'a dit.	Au moins il me l'a dit.
PANDOLPHE.	PANDOLPHÉ.
Hé bica, laiſſe moy faire.	Hé bica, laisse -moi faire.
LUBIN.	LUBIN.
Quelque ſot.	Quelque sot.
Vous m’avez défendu de lâcher aucun mot.	Vous m'avez défendu de lâcher aucun mot.
Le ſot.	Le sot.
FAIHOEE IIE.	FAIHOE IIE.
LUBIN.	LUBIN.
Non voyez-vous, il n’eſt point de puiſſance Qui me puiſſe obliger à rompre le lllence, Et le Diable viendroit.	Non voyez-vous, il n'est point de puissance Qui me puisse obliger à rompre le lence, Et le Diable viendrait.
mais morguè, le voicy.	mais morguène, le voici.
PANDOLPHE Va-t’en querir Valere, & me l’amene icy.	PANDOLPHE Va-t-en quérir Valère, et me l'amène ici.
SCENE VI.	SCÈNE VI.
PANDOLPHE, Madame PANDOLPHE.	PANDOLPHÉE, Madame PANDOLPHE.
ISABELLE.	ISABELLE.
MAD.	MAD.
AME PANDOLPHE.	ÂME PANDOLPHÉ.
Ue fait ma fille ici?	Que fait ma fille ici?
Par quel libertinage m 'eſt-elle pas là haut à f.	Par quel libertinage m 'est-elle pas là haut à f.
ire ſon ouvrage?	ire son ouvrage?
La grande faineante, il faut inceſſamment Avoir l’œil ſur cela.	La grande faineante, il faut incessamment Avoir l'œil sur cela.
PANDOLPHE.	PANDOLPHÉ.
Tout beau, tout doucement, Ma mignonne.	Tout beau, tout doucement, Ma mignonne.
C’eſt moi qui pour certaine a ffaire L'ay fait venir ici.	C'est moi qui pour certaine a fait L'ai fait venir ici.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Voyez le joli Pere à Iſabelle Qui détourne ſa fille, &.	Voyez le joli Père à Isabelle Qui détourne sa fille, et.
Qu’eſt-ce ou courez-vous?	Qu'est-ce ou courez-vous?
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Venez ça.	Venez ça.
Je ſçais un bon Epoux, Que je veux vous donntr.	Je sais un bon Époux, Que je veux vous donntr.
ISABELLE.	ISABELLE.
Vous dites.	Vous dites.
PHT DOLPHE.	PHT DOLPHÉ.
Ma joye en eſt extrême.	Ma joie en est extrême.
Ie t’en voulois parler.	Je t'en voulais parler.
Ie voy que chacun l’aime	Je vois que chacun l'aime
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
Et qui?	Et qui?
valere;	valère;
PANDOLPHE.	PANDOLPHÉ.
MADAME PANDOLPHE.	MADAME PANDOLPHÉE.
De quel ſonge êtes-vous prévenu?	De quel songe êtes-vous prévenu?
Qui vous parle de lui?	Qui vous parle de lui?
Vale e?	Vale ?
le bel homme,	le bel homme,
PANDOLPHE.	PANDOLPHÉ.
De qui donc parlois-tu?	De qui donc parlais-tu?
